Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Perfect in every aspect.,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film.",perfect every aspect,truly masterpiece best hollywood film 2019 one best films decade truly best film bring comic book so chillingly realistically real ife remarkable direction cinematography music acting some people are surprised find it disturbing violent but its necessity message its about society reflects those underappreciated unrecognized bullied people proving they can do something too way it shows class difference corruption how rich talented rule others around them is not exaggerated thats what makes it different its believable there could be multiple jokers living our society that could shake those around them much bitter way than film shows making people uncomforting people consider this wake up call message but first film perfect film,0.6015873015873017,0.30833333333333335,Positive,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.4, 'Sad': 0.35, 'Fear': 0.15}"
10.0,"A psychological study, rather than a superhero flick","I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.Despite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nolan's movies, or at least very close). It is a small-scaled film, with a distinct style and cinematography (that cannot but be appreciated) and a set of very cinephile references that however do not feel too forced or overly opressive. (most notable are the similarities to Scorsese's 'Taxi Driver' and his 'The King of Comedy', but also Chaplin's 'Modern Times' is somewhat referenced).I am eager to see more non-comedic efforts by Todd Phillips. This movie was so far probably the best of 2019 (at worst contested so far only by Dolor Y Gloria or Once Upon a Time in Hollywood), and that should be very convincing.",psychological study rather than superhero flick,i have seen joker yesterday at venice early ill fated screening we had some trouble with audio that lead near hour delay but it definitely was worth it joker deserved be presented at venice film festival event that regards cinema as form art because this film is far blockbuster or mere entertainer movie as most films genre are it focuses psyche main character as it slowly crumbles under pressure society thus joaquin phoenix does wonderful performance earning almost surely nomination at oscars at least its take joker that differs ledgers but id say that both are equally as good main difference might be that ledgers joker is rational that acts insane while phoenixs is insane root despite being movie about superhero villain joker is much superior most movies genre id exclude dark knight trilogy only but joker is easily as good as nolans movies or at least very close it is small scaled film with distinct style cinematography that cannot but be appreciated set very cinephile references that however do not feel too forced or overly opressive most notable are similarities scorseses taxi driver his king comedy but also chaplins modern times is somewhat referenced i am eager see more non comedic efforts by todd phillips this movie was so far probably best 2019 at worst contested so far only by dolor y gloria or once upon time hollywood that should be very convincing,0.5623306233062331,0.10203252032520325,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.13, 'Fear': 0.41}"
10.0,It's About a Man,"While I've watched many of the superhero movies that have come down the pike, they are often the same. So the compensation for sensational plots involves great special effects and non-stop action. They are fun and I don't mean to dis them. What is missing is a truly psychological drama. We don't get into the heads of the characters. This film is incredible as we watch a man confront his demons. We see him made fun of, attacked, and beaten. When he responds, he is seen as crazy. He also find that he is diminished in the eye of a counselor, and his mother has kept a secret. I thought it gave us a foundation for the Batman mythos without getting to deeply into it. Acting, atmosphere, and a sophisticated plot makes this a really excellent film.",its about man,while ive watched many superhero movies that have come down pike they are often same so compensation sensational plots involves great special effects non stop action they are fun i dont mean dis them what is missing is truly psychological drama we dont get into heads characters this film is incredible as we watch man confront his demons we see him made fun attacked beaten when he responds he is seen as crazy he also find that he is diminished eye counselor his mother has kept secret i thought it gave us foundation batman mythos without getting deeply into it acting atmosphere sophisticated plot makes this really excellent film,0.48102548036758574,0.19767126148705091,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.18, 'Fear': 0.29}"
10.0,Went for a second time to watch,"I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.",went second time watch,i get why some people hate this its because political message how some people think that you need get empathy arthurs madness but come that is not point it will never be enjoy this masterpiece because joaquin phoenix todd phillips overdid themselves with this movie acting music cinematography are just amazing please enjoy movie without overthinking it,0.41428571428571426,0.08571428571428573,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.45, 'Sad': 0.18, 'Fear': 0.09}"
10.0,JUST AMAZING. How does this movie exist.,"Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director",just amazing how does this movie exist,let me start off by saying if joaquin phoneix doesnt get his oscar this movie then oscars should be cancelled phoneix is amazing as you mightve heard every review ever but todd phillips is at his best here story lines he takes visuals are just breathtaking score omg score every time that score came i felt very uncomfortable like something horrible was about happen it was great inspirations taxi driver king comedy are there add so much movie i got be honest there are scenes that are very violent its disturbing but i honestly expected it be wayyyy more violent all controversy going overall this movie was great come oscar season it needs be nominated best picture screenplay cinematography actor score director,0.6882352941176472,0.17941176470588238,Positive,"{'Happy': 0.12, 'Angry': 0.17, 'Surprise': 0.46, 'Sad': 0.12, 'Fear': 0.12}"
10.0,Outstanding movie with a haunting performance and best character development ever seen,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen.",outstanding movie with haunting performance best character development ever seen,every once while movie comes that truly makes impact joaquins performance scenography all its brilliance grotesque haunting cringy hard watch at times but so mesmerizing you wont blink eye watching it tragic but with seriously funny moments emotional rollercoaster sometimes with multiple emotions popping up at same time this is far typical action riddled predictable super hero movie its proper psychological thriller drama with single best character development i have ever seen,0.4959273182957393,0.08176691729323307,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.39, 'Sad': 0.17, 'Fear': 0.26}"
10.0,Only certain people can relate,"This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.",only certain people can relate,this is movie that only those who have felt alone isolated can truly relate it you understand motive you feel sorry character lot people will see this movie think that it encourages violence but truly this movie should encourage each every one us become better person treat everyone with respect make each other feel like they belong this world instead making them feel isolated,0.7410714285714285,0.014880952380952384,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.38, 'Fear': 0.31}"
7.0,I would not call it a masterpiece as some did,"There is no doubt that the movie was well thought of - from the plot to execution. I must praise Phoenix's superb acting. He managed to portray very believably the awkward social reject and also the crazy murderer that he became. I really think it's a role only few could do. It was also very interesting to watch how he deteriorated mentally and little by little gave up on trying to fit into society. Gotta hand it to the script writer - the plot was unpredictable.But...There wasn't anything too complex about Arthur's mental state. No deep psychological analysis, or a web of many deep factors that created a one of a kind psychotic maniac. Could it be that I was expecting too much? Very possible since I came with very high expectations after reading some reviews. What doesn't have anything with expectations is that at the end he didn't remind much of the original Joker. He felt more like a simply society reject that went completely crazy and started killing people. Not that much different from many other serial killers or mass murderers. He didn't have the master mind that so much designated the Joker and made him different from a simple murderer. Another thing is that there were long parts of the movie that felt very dull. Also I found it hard to buy the reason behind the riots in the city and the role the Joker played in them. Even if taken into account that the poverty and anger was cooking for a long time in that society, it still feels somewhat absurd that killing three people in the subway made the joker so notorious. In conclusion, I can identify with the character which gave me a lasting impression of the movie, and this movie could have been very great if it was a movie about how a person that's rejected by society turns slowly into a serial killer. But as a movie about the Joker I felt it was lacking. Lacking the things that made the Joker actually the Joker, and not just another crazy murderer.",i would not call it masterpiece as some did,there is no doubt that movie was well thought plot execution i must praise phoenixs superb acting he managed portray very believably awkward social reject also crazy murderer that he became i really think its role only few could do it was also very interesting watch how he deteriorated mentally little by little gave up trying fit into society gotta hand it script writer plot was unpredictable but there wasnt anything too complex about arthurs mental state no deep psychological analysis or web many deep factors that created one kind psychotic maniac could it be that i was expecting too much very possible since i came with very high expectations after reading some reviews what doesnt have anything with expectations is that at end he didnt remind much original joker he felt more like simply society reject that went completely crazy started killing people not that much different many other serial killers or mass murderers he didnt have master mind that so much designated joker made him different simple murderer another thing is that there were long parts movie that felt very dull also i found it hard buy reason behind riots city role joker played them even if taken into account that poverty anger was cooking long time that society it still feels somewhat absurd that killing three people subway made joker so notorious conclusion i can identify with character which gave me lasting impression movie this movie could have been very great if it was movie about how person thats rejected by society turns slowly into serial killer but as movie about joker i felt it was lacking lacking things that made joker actually joker not just another crazy murderer,0.54054708994709,-0.014914814814814818,Negative,"{'Happy': 0.12, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.2, 'Fear': 0.39}"
10.0,"Joaquin 'OSCAR', Joker = best Dark suspense thriller ... Darker than dark Knight.","It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting. To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience.",joaquin oscar joker best dark suspense thriller darker than dark knight,its sad that joaquin missed oscar gladiator as he was very compelling villain but i am quite confident he will win it joker damn what movie keeps u toes all time unpredictable storyline really deep interesting plot did i forget mention acting damn do niro joaquin teach u what really is 5 star acting enjoy this movie get wine your hand close curtains turn ur cellphones put do not disturb sign ur door best dark thriller suspense movie you will get experience,0.4633333333333334,0.22958333333333333,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.42, 'Fear': 0.11}"
10.0,MASTERPIECE 😍,"Joaquin Phoenix gives a tour de force performance, fearless and stunning in its emotional depth and physicality. It's impossible to talk about this without referencing Heath Ledger's Oscar-winning performance from The Dark Knight, widely considered the definitive live-action portrayal of the Joker, so let's talk about it. The fact is, everyone is going to be stunned by what Phoenix accomplishes, because it's what many thought impossible - a portrayal that matches and potentially exceeds that of The Dark Knight's Clown Prince of Crime",masterpiece,joaquin phoenix gives tour de force performance fearless stunning its emotional depth physicality its impossible talk about this without referencing heath ledgers oscar winning performance dark knight widely considered definitive live action portrayal joker so lets talk about it fact is everyone is going be stunned by what phoenix accomplishes because its what many thought impossible portrayal that matches potentially exceeds that dark knights clown prince crime,0.6416666666666667,0.0002525252525252565,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.35, 'Fear': 0.41}"
