Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Jabbardast Movie Ever,"I don't know Tamil, yet watched with subtitles. Man, it's an edge of the seat movie. Many scenes were jaw dropping. Great direction, great background music. Actor Karthi was great. Even between the serious scenes, director has perfectly added emotional scenes. Girl's role was very cute.And its a family movie. No adult scene.Do Watch.",jabbardast movie ever,i dont know tamil yet watched with subtitles man its edge seat movie many scenes were jaw dropping great direction great background music actor karthi was great even between serious scenes director has perfectly added emotional scenes girls role was very cute its family movie no adult scene do watch,0.7074074074074074,0.462962962962963,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.23, 'Fear': 0.0}"
9,India's own John Wick,"Oh man..... this one was splendid. Speechless, edge of the seat. As i am watching this late, i was waiting for the hero's entry and boy, did the movie deliver it! Throughout the movie you want the hero to win, the director has somehow found a way to make us feel that way. My heart was pounding throughout the duration of the movie. It is definitely going to glue your eye to the screen. The direction and screenplay is out of the world. He has even managed to capture the father daughter sentiments in this all round action movie. The cast is wonderful. Everybody did justice to their role. The story is fantastic. Its like desi version of John Wick. I would definitely love to see a sequel. Overall its an outstanding movie.",indias own john wick,oh man this one was splendid speechless edge seat as i am watching this late i was waiting heros entry boy did movie deliver it throughout movie you want hero win director has somehow found way make us feel that way my heart was pounding throughout duration movie it is definitely going glue your eye screen direction screenplay is out world he has even managed capture father daughter sentiments this all round action movie cast is wonderful everybody did justice their role story is fantastic its like desi version john wick i would definitely love see sequel overall its outstanding movie,0.6145833333333334,0.3527777777777778,Positive,"{'Happy': 0.2, 'Angry': 0.08, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.32}"
10,Kanagraj has majic,This is the first film of Karthi I have seen but it doesn't disappoint me. One the the best action thrillers seen in my life l. That bgm is really next level. And that action sequences are simply mind-blowing. Overall a once in a life time experience.,kanagraj has majic,this is first film karthi i have seen but it doesnt disappoint me one best action thrillers seen my life l that bgm is really next level that action sequences are simply mind blowing overall once life time experience,0.17006802721088435,0.20714285714285716,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.1, 'Fear': 0.4}"
10,"You won't sit comfortably throughout the movie, means you'll sit on the edge",Karthi is one of the Best and underrated actor in Tamil Cinema. He did different roles in different movies. He did a very good job in this movie too. Camera work is another plus for this movie. Sam CS done a very good work in Background score!. Direction and screenplay are 💥. Definitely a worth movie to watch.,you wont sit comfortably throughout movie means youll sit edge,karthi is one best underrated actor tamil cinema he did different roles different movies he did very good job this movie too camera work is another plus this movie sam cs done very good work background score direction screenplay are definitely worth movie watch,0.5657142857142858,0.5028571428571428,Positive,"{'Happy': 0.25, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.08, 'Fear': 0.42}"
9,Tamil industry on 🔥🔥🔥,"I'm from Northeast India but I'm a fan of Tamil industry. After Vada Chennai this is what I loved a lot. Wonderful screenplay by Lokesh kanagaraj sir. This is the first movie of Karthi I've watched and really loved his performance, Wonderful actor. Overall a must watch movie.",tamil industry,im northeast india but im fan tamil industry after vada chennai this is what i loved lot wonderful screenplay by lokesh kanagaraj sir this is first movie karthi ive watched really loved his performance wonderful actor overall must watch movie,0.6555555555555556,0.6083333333333333,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.11, 'Fear': 0.0}"
9,Lokesh made a better film than Managaram,"A drug burst, an injured cop and a Convicted Criminal who wants to meet her Daughter for First time in Life. Karthi is back as seen in Paruthiveeran. A seat edge thriller without masala.",lokesh made better film than managaram,drug burst injured cop convicted criminal who wants meet her daughter first time life karthi is back as seen paruthiveeran seat edge thriller without masala,0.2966666666666667,0.11000000000000001,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.17}"
10,Kaithi pure 24K Gold,"Kaithi pure 24K Gold...Crown Jewel of 2019 Deepavali, Can take the viewer to a sense of curiosity, leave them in Awe & leaves one disturbingly inspiring with its soul. Magnanimous Director. No Fanfare No Bandha No Hyped Propaganda",kaithi pure 24k gold,kaithi pure 24k gold crown jewel 2019 deepavali can take viewer sense curiosity leave them awe leaves one disturbingly inspiring with its soul magnanimous director no fanfare no bandha no hyped propaganda,0.525,0.20714285714285716,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.17}"
8,Masterpiece,Extraordinary action film and daughter sentiment was awesome.thriller and drama works terrific,masterpiece,extraordinary action film daughter sentiment was awesome thriller drama works terrific,0.775,0.35833333333333334,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.29}"
7,An action thriller with heart! [+68%],"It's fairly impossible to craft an action-thriller suited to the Tamil sensibilities without acknowledging its audience. Lokesh Kanagaraj does a pretty amazing job of staying true to the pure action genre in Kaithi. It's that action thriller with a lot of heart. As we saw in Kanagaraj's earlier venture Maanagaram, Kaithi too has interweaving storylines. But the treatment is what renders it engaging throughout. It's a long film (153 minutes or so) yes, but the story moves at such a rapid pace that the audience remains consistently hooked. To put it across in a funny way, Kaithi is the kind of film where there's so much happening at breakneck speed that a viewer who's about to open the lid of a water bottle to hydrate himself/herself may hold back from doing so, till the end of another elaborate set-piece.And when we talk about set-pieces, their crafting is stunning (though exaggerated at times). Anbariv is the man behind these well-thought-out sequences that often raise the levels of adrenaline in the audience. Sathyan Sooryan (the DOP of Theeran Adhigaaram Ondru) handles the cinematography - Kaithi has been shot entirely in the night (except for the last few frames) and yet, everything that unravels in artificial light looks good on screen. The background score by Sam CS definitely ups the style element of the film, and it's one soundtrack you'll want to check up on YouTube or SoundCloud immediately once you're done watching.There are no songs or sappy romances in Kaithi - well, that's how an action thriller ought to be. I appreciate Kanagaraj for doing away with these unnecessary commercial elements, even when there are numerous 'invincible mass hero' moments. It's wonderful how Kanagaraj has given emphasis to characters other than that of Karthi's Dilli. George Maryan, who is relegated to comical roles in most films, gets a meaty character with a fair bit of action - he does a brilliantly memorable job of it! Narain, whom we're seeing in movies after a while, is wonderfully restrained and lets Karthi shine in the scenes that are for the whistling fans. Dheena offers some comic relief in the form of pop-culture references and lightens the tone of the otherwise serious flick.At the core, there's also a story about a father who's travelling to meet his daughter for the first time. While this amps up the sentimental quotient, certain scenes such as the one featuring the crushed earrings, could have been written better (or completely subverted). There isn't any suspense as the important twisty bits are given away in the opening (half) itself, but Kanagaraj's packaging works wonders here. The action bits are strongly done, and that's a more-than-good reason to watch Kaithi. Well, how often do you see a lungi-clad hero using a Gatling gun?",action thriller with heart,its fairly impossible craft action thriller suited tamil sensibilities without acknowledging its audience lokesh kanagaraj does pretty amazing job staying true pure action genre kaithi its that action thriller with lot heart as we saw kanagarajs earlier venture maanagaram kaithi too has interweaving storylines but treatment is what renders it engaging throughout its long film 153 minutes or so yes but story moves at such rapid pace that audience remains consistently hooked put it across funny way kaithi is kind film where theres so much happening at breakneck speed that viewer whos about open lid water bottle hydrate himself herself may hold back doing so till end another elaborate set piece when we talk about set pieces their crafting is stunning though exaggerated at times anbariv is man behind these well thought out sequences that often raise levels adrenaline audience sathyan sooryan dop theeran adhigaaram ondru handles cinematography kaithi has been shot entirely night except last few frames yet everything that unravels artificial light looks good screen background score by sam cs definitely ups style element film its one soundtrack youll want check up youtube or soundcloud immediately once youre done watching there are no songs or sappy romances kaithi well thats how action thriller ought be i appreciate kanagaraj doing away with these unnecessary commercial elements even when there are numerous invincible mass hero moments its wonderful how kanagaraj has given emphasis characters other than that karthis dilli george maryan who is relegated comical roles most films gets meaty character with fair bit action he does brilliantly memorable job it narain whom were seeing movies after while is wonderfully restrained lets karthi shine scenes that are whistling fans dheena offers some comic relief form pop culture references lightens tone otherwise serious flick at core theres also story about father whos travelling meet his daughter first time while this amps up sentimental quotient certain scenes such as one featuring crushed earrings could have been written better or completely subverted there isnt any suspense as important twisty bits are given away opening half itself but kanagarajs packaging works wonders here action bits are strongly done thats more than good reason watch kaithi well how often do you see lungi clad hero using gatling gun,0.547208538587849,0.16845238095238096,Positive,"{'Happy': 0.08, 'Angry': 0.07, 'Surprise': 0.21, 'Sad': 0.21, 'Fear': 0.43}"
10,Wow. Wow. Wow👏👏👏👏,No words... Outstanding job by the director and actor karthi... Lovely to see karthi with a wonderful film after Dev..worth to watch in teatre.. Great story... Please watch it in teatres..,wow wow wow,no words outstanding job by director actor karthi lovely see karthi with wonderful film after dev worth watch teatre great story please watch it teatres,0.809375,0.42499999999999993,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.5, 'Sad': 0.07, 'Fear': 0.14}"
9,Grip you ... great screen play !,Fantastic movie...recommended...👍👍👍👏👏Part 2 most expected... hats off to the director!,grip you great screen play,fantastic movie recommended part 2 most expected hats off director,0.6375,0.4,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.17}"
9,Don't get on the bad side is Dilli,"Karthi feels very raw and rugged in this movie.i feel nowadays the entire story doesn't have to be good, but some really good scenes make you feel the movie is good. kaithi has some ridiculously enjoyable scenes and a good story too.there might be some logical flaws, but who cares if the stunts are that good. All the supporting cast fit their roles to perfection. The best aspect of the movie is the bgm from sam c.s . Brilliant guy but not recognised as much. The cinematography of the movie was one to talk about. Provided the lighting of the movie should be dark ,they have done a fantastic job at that. Overall a very enjoyable movie",dont get bad side is dilli,karthi feels very raw rugged this movie i feel nowadays entire story doesnt have be good but some really good scenes make you feel movie is good kaithi has some ridiculously enjoyable scenes good story too there might be some logical flaws but who cares if stunts are that good all supporting cast fit their roles perfection best aspect movie is bgm sam c s brilliant guy but not recognised as much cinematography movie was one talk about provided lighting movie should be dark they have done fantastic job at that overall very enjoyable movie,0.5248245614035089,0.3631578947368422,Positive,"{'Happy': 0.45, 'Angry': 0.09, 'Surprise': 0.14, 'Sad': 0.18, 'Fear': 0.14}"
7,An Engaging one!,"An engaging one! No songs, no heroine, no romance but emotionally charged actions and twists & turns kept us engaged throughout the film.",engaging one,engaging one no songs no heroine no romance but emotionally charged actions twists turns kept us engaged throughout film,0.6833333333333332,0.26666666666666666,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.67}"
