Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Deeply touching...,"I saw this film at the 2002 Toronto International Film Festival.This is the first Indian film I've seen in the Tamil language, and while it does share some similarities with other Indian films (wonderful music and choreography, sweeping storyline), the director attempts more than just to entertain. The film tells the story of Amudha, a precocious nine-year old whose parents reveal to her that she was adopted, thus beginning an odyssey that takes them all from India to war-torn Sri Lanka. Gorgeous visuals mix with horrifying scenes of violence expressly to make a point, though it is a simplistic one. Amudha is played by P.S. Keerthana, and she is one of the few child actors I've seen who can be precocious and yet not annoying. Her charm and beauty held the film together.",deeply touching,i saw this film at 2002 toronto international film festival this is first indian film ive seen tamil language while it does share some similarities with other indian films wonderful music choreography sweeping storyline director attempts more than just entertain film tells story amudha precocious nine year old whose parents reveal her that she was adopted thus beginning odyssey that takes them all india war torn sri lanka gorgeous visuals mix with horrifying scenes violence expressly make point though it is simplistic one amudha is played by p s keerthana she is one few child actors ive seen who can be precocious yet not annoying her charm beauty held film together,0.5256944444444445,0.14375000000000002,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.35, 'Fear': 0.15}"
9.0,Splendid,"Sri Lanka... not a country I've ever given much thought to, I have to admit. I didn't even know it was near India, let alone that there has been a bloody civil war going on there since 1983. It seems that the rebels of the Tamil minority have been in an ongoing conflict with the military regime that runs the country for many years, causing many deaths and widespread suffering on the island.Mani Ratman's latest film, A PECK ON THE CHEEK, tells the story of a young girl named Amudha, who is separated from her Sri Lankan parents by the war and raised by a young Indian couple. Amudha is a bright and mischievous girl, whose life is turned upside down when her parents tell her that she was adopted as a child. Although her adopted parents love her as much as could be, and have raised her without prejudice along with their biological children, Amudha cannot help but want to learn more about her biological family.Mani Ratman is probably best known for his 1998 film DIL SE, which hides a story about terrorism and politics inside a love story (or is it the other way around?). A PECK ON THE CHEEK inhabits similar territory, but is perhaps more ambitious in the ground it covers. The central theme that binds the movie is of love between all the various members of a family, and especially that between a child and her adopted parents. It's a pretty honest and open look at feelings, that can be extremely touching and heartwarming at some times and quite painful at others. It's an emotionally complex film, with characters that are somewhat idealised but still behave in a very human way.The film revolves around 9 year old Amudha, played with charm and vivaciousness by young actress P.S. Keerthana in her first and only acting role. She's a princess and a monster, always getting into trouble but so disarmingly charming nobody can stay mad at her for long. The young actress is perfectly cast for the role, and does a tremendous job in the various and often difficult emotional scenes required of her.A PECK ON THE CHEEK has such an innocent name I was quite unprepared for the intensity of the experience. Never has such a small act come with such an enormous emotional impact, I dare say. The film is a bold and artistic effort to explore issues that are not frequently covered on the silver screen.Mani Ratman's direction is superb, very confident and mature - the most sophisticated work I've seen from this director yet. The film is visually very stylish, with some excellent camerawork and imagery. A.R. Rahman provides the film's soundtrack, which is not as good as his classic DIL SE or BOMBAY music (based on first impressions at least) but still shows his great musical talent.I'm not aware of a DVD release for the film yet - I saw it in Tamil with English subtitles thanks to the San Francisco International Film Festival, of which the film was undoubtedly the highlight. The production is a truly world class effort, and I am sure it will be popular with western audiences as it begins to receive wider exposure.Recommended.",splendid,sri lanka not country ive ever given much thought i have admit i didnt even know it was near india let alone that there has been bloody civil war going there since 1983 it seems that rebels tamil minority have been ongoing conflict with military regime that runs country many years causing many deaths widespread suffering island mani ratmans latest film peck cheek tells story young girl named amudha who is separated her sri lankan parents by war raised by young indian couple amudha is bright mischievous girl whose life is turned upside down when her parents tell her that she was adopted as child although her adopted parents love her as much as could be have raised her without prejudice along with their biological children amudha cannot help but want learn more about her biological family mani ratman is probably best known his 1998 film dil se which hides story about terrorism politics inside love story or is it other way around peck cheek inhabits similar territory but is perhaps more ambitious ground it covers central theme that binds movie is love between all various members family especially that between child her adopted parents its pretty honest open look at feelings that can be extremely touching heartwarming at some times quite painful at others its emotionally complex film with characters that are somewhat idealised but still behave very human way film revolves around 9 year old amudha played with charm vivaciousness by young actress p s keerthana her first only acting role shes princess monster always getting into trouble but so disarmingly charming nobody can stay mad at her long young actress is perfectly cast role does tremendous job various often difficult emotional scenes required her peck cheek has such innocent name i was quite unprepared intensity experience never has such small act come with such enormous emotional impact i dare say film is bold artistic effort explore issues that are not frequently covered silver screen mani ratmans direction is superb very confident mature most sophisticated work ive seen this director yet film is visually very stylish with some excellent camerawork imagery r rahman provides films soundtrack which is not as good as his classic dil se or bombay music based first impressions at least but still shows his great musical talent im not aware dvd release film yet i saw it tamil with english subtitles thanks san francisco international film festival which film was undoubtedly highlight production is truly world class effort i am sure it will be popular with western audiences as it begins receive wider exposure recommended,0.5530230880230879,0.20674603174603173,Positive,"{'Happy': 0.15, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.2, 'Fear': 0.36}"
,The Unconditional Love Of Two Parents,"Mani Ratnam's 'Kannathil Muthamittal' is another of the movie from his 'political terror' series (along with films like 'Roja', 'Bombay' and 'Dil se'). It tells an intense story about 9 year old Amudha who, with the help of her adopted parents, seeks to find her birth mother in Sri Lanka. The movie is set with the backdrop of the civil war in Sri Lanka. With the help of the actors, Ratnam terrifically demonstrates the depth of the relationships between the adopt parents and the child. Their unconditional love for Amudha brings them all the way to war-driven and terror stricken villages in search for Amudha's answers. In a beautiful scene, even after being attacked and escaping a fatal encounter, Indra, for her daughter's satisfaction, bravely suggests without hesitation that they go to the park to check if Shama has arrived.The cinematography is wonderful and the sets and the exotic locations are mindblowing. In addition to that there is A.R. Rahman's soulful score. I loved the songs, the title song being my favourite. The soundtrack reminds us Rahman's older music. I did not like how the last song was visualized on the father and daughter. It uses the clichéd meditation scenes, the Buddha statue (ridiculously positioned at different angles) and the typical monks-walking-at-the back. While many of the songs are beautiful, they look a little out of place. A question, why was Amudha so obsessed with finding her biological mother while she asks no questions regarding her biological father.'Kannathil Muthamittal' boasts of some very strong performances. Simran delivers a beautifully understated performance who loves her daughter no matter what. Madhavan is sublime. His intensity and restraint prove what a skillful actor he is. Young actress P.S. Keerthana holds her own with these professional actors. The film centres around her and she does a fine job by pulling it off. Nandita Das is fabulous. Prakash Raj is irritating and his Sinhalese is all wrong.Though 'Kannathil Muthamittal' revolves mainly around the Tamil people, the film is, in a way, arguably a bit partial as it shows how the war has affected the Tamil people in Sri Lanka without implying how this also had severely dangerous consequences for the non-Tamil Sri Lankan. Then again, the war is only a part of the film as 'Kannathil Muthamittal' is more about the unconditional love between two parents and their daughter. This is another outstanding movie by Mani Ratnam before he went downhill with movies like 'Yuva' and 'Guru'.",unconditional love two parents,mani ratnams kannathil muthamittal is another movie his political terror series along with films like roja bombay dil se it tells intense story about 9 year old amudha who with help her adopted parents seeks find her birth mother sri lanka movie is set with backdrop civil war sri lanka with help actors ratnam terrifically demonstrates depth relationships between adopt parents child their unconditional love amudha brings them all way war driven terror stricken villages search amudhas answers beautiful scene even after being attacked escaping fatal encounter indra her daughters satisfaction bravely suggests without hesitation that they go park check if shama has arrived cinematography is wonderful sets exotic locations are mindblowing addition that there is r rahmans soulful score i loved songs title song being my favourite soundtrack reminds us rahmans older music i did not like how last song was visualized father daughter it uses clich d meditation scenes buddha statue ridiculously positioned at different angles typical monks walking at back while many songs are beautiful they look little out place question why was amudha so obsessed with finding her biological mother while she asks no questions regarding her biological father kannathil muthamittal boasts some very strong performances simran delivers beautifully understated performance who loves her daughter no matter what madhavan is sublime his intensity restraint prove what skillful actor he is young actress p s keerthana holds her own with these professional actors film centres around her she does fine job by pulling it off nandita das is fabulous prakash raj is irritating his sinhalese is all wrong though kannathil muthamittal revolves mainly around tamil people film is way arguably bit partial as it shows how war has affected tamil people sri lanka without implying how this also had severely dangerous consequences non tamil sri lankan then again war is only part film as kannathil muthamittal is more about unconditional love between two parents their daughter this is another outstanding movie by mani ratnam before he went downhill with movies like yuva guru,0.6656018518518518,0.23821759259259256,Positive,"{'Happy': 0.28, 'Angry': 0.06, 'Surprise': 0.09, 'Sad': 0.09, 'Fear': 0.48}"
10.0,How did they miss this movie?,"I am a big follower of Indian Movies especially Malayalam and Tamil.Shame on India for not sending this movie as their official Oscar entry. I have seen this movie and it has clearly revealed to me the maturity Tamil cinema has in its screenplay and narrative which bollywood better catch up with.By the way to all we westerners, Tamil Cinema is more qualitative and very different from Bollywood which is all about good looks glamour and promotion.Coming to the point what was India thinking when they sent a movie like 'Devdas' to the Oscars? That was a really a Masochist move. I think they are trying to punish Oscar judges with boredom by sending Devdas since the judges toppled Lagaan last year.'Devdas' is just a brigthly colored but stale and predictable melodrama of Love, fate and destiny. I would keep away from it. Anyway, not sending a movie like Kanathil Muthital shows how much of a revamp Indian administration needs to save them from poor administrators who lack intelligence. Now I know why this country has so many issues. They are heavily talented but not showcased properly.",how did they miss this movie,i am big follower indian movies especially malayalam tamil shame india not sending this movie as their official oscar entry i have seen this movie it has clearly revealed me maturity tamil cinema has its screenplay narrative which bollywood better catch up with by way all we westerners tamil cinema is more qualitative very different bollywood which is all about good looks glamour promotion coming point what was india thinking when they sent movie like devdas oscars that was really masochist move i think they are trying punish oscar judges with boredom by sending devdas since judges toppled lagaan last year devdas is just brigthly colored but stale predictable melodrama love fate destiny i would keep away it anyway not sending movie like kanathil muthital shows how much revamp indian administration needs save them poor administrators who lack intelligence now i know why this country has so many issues they are heavily talented but not showcased properly,0.45722222222222214,0.1388888888888889,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.33, 'Sad': 0.24, 'Fear': 0.24}"
9.0,An entertaining film that also tackles serious issues,"In Sri Lanka, a country divided by religion and language, the civil war between the pro-Sinhalese government and the Liberation Tigers of Tamil Eelam (LTTE), a separatist organization, has claimed an estimated 68,000 lives since 1983. Human rights groups have said that, as a result of the war, more than one million people have been displaced, homeless or living in camps. The impact on children and families caught in the conflict is sensitively dramatized by acclaimed Tamil director Mani Ratnam in his 2002 film A Peck on the Cheek, winner of several awards at the National Film Awards in India. While the civil war is merely a backdrop for the story of a young girl's voyage of discovery, the human cost of war is made quite clear and Ratnam gives the fighting a universal context, pointing the finger at global arms traffickers as the source of wrongdoing.Beautifully photographed in Southern India by cinematographer Ravi K Chandran in a setting mirroring the terrain of Sri Lanka, the film tells a moving story about an adopted 9-year old girl who sets out to find her real mother in the middle of the fighting in Sri Lanka. Played with deep feeling and expressiveness by P.S. Keerthana in a memorable performance, Amudha is brought up by a loving middle class family with two younger brothers after her natural parents Shyama (Nandita Das) and Dileepan (J.D. Chakravarthi) were forced to flee when the fighting broke out, leaving her in a Red Cross camp. In a loving flashback, we see Amudha's adoptive parents, father Thiru (Madhavan) a prominent Tamil writer, and mother Indra (Simran) a TV personality, marry to facilitate their adoption of the darker-skinned little girl.Young Amudha has no idea that she is adopted until it is sprung upon her abruptly on her ninth birthday, according to the parents' prior agreement. While she is playing, Thiru tells her almost in a matter of fact tone that ""you are not our daughter"" and the response is predictable. Distraught, she questions who her father was, what her mother's name was, why she gave her up, and so forth but few answers are forthcoming. Amudha runs away several times until her parents agree to go to Sri Lanka to help her find her true mother, now a fighter for the Tamil separatists. The family's immersion in the reality of the civil war leads to some traumatic moments and difficult decisions, handled mostly with skill by Ratnam, though a sequence where the family was caught in a crossfire felt amateurish.A Peck on the Cheek is of course a Bollywood-style film and that means tons of music and melodrama. The melodrama did not get in the way because of the strong performances by the lead actors; however, I found the musical dramatizations of songs by A. R. Rahman counter to the mood of the film with their slick, high production techniques and fast-paced music video-style editing. Yet the compelling nature of the story and the honesty in which it is told transcend the film's limitations. Tamil cinema has been criticized by many, even within the country as being too clichéd and commercial, yet A Peck on the Cheek is both a film of entertainment and one that tackles serious issues. That it successfully straddles the line between art and commerce is not a rejection but a tribute.",entertaining film that also tackles serious issues,sri lanka country divided by religion language civil war between pro sinhalese government liberation tigers tamil eelam ltte separatist organization has claimed estimated 68 000 lives since 1983 human rights groups have said that as result war more than one million people have been displaced homeless or living camps impact children families caught conflict is sensitively dramatized by acclaimed tamil director mani ratnam his 2002 film peck cheek winner several awards at national film awards india while civil war is merely backdrop story young girls voyage discovery human cost war is made quite clear ratnam gives fighting universal context pointing finger at global arms traffickers as source wrongdoing beautifully photographed southern india by cinematographer ravi k chandran setting mirroring terrain sri lanka film tells moving story about adopted 9 year old girl who sets out find her real mother middle fighting sri lanka played with deep feeling expressiveness by p s keerthana memorable performance amudha is brought up by loving middle class family with two younger brothers after her natural parents shyama nandita das dileepan j d chakravarthi were forced flee when fighting broke out leaving her red cross camp loving flashback we see amudhas adoptive parents father thiru madhavan prominent tamil writer mother indra simran tv personality marry facilitate their adoption darker skinned little girl young amudha has no idea that she is adopted until it is sprung upon her abruptly her ninth birthday according parents prior agreement while she is playing thiru tells her almost matter fact tone that you are not our daughter response is predictable distraught she questions who her father was what her mothers name was why she gave her up so forth but few answers are forthcoming amudha runs away several times until her parents agree go sri lanka help her find her true mother now fighter tamil separatists familys immersion reality civil war leads some traumatic moments difficult decisions handled mostly with skill by ratnam though sequence where family was caught crossfire felt amateurish peck cheek is course bollywood style film that means tons music melodrama melodrama did not get way because strong performances by lead actors however i found musical dramatizations songs by r rahman counter mood film with their slick high production techniques fast paced music video style editing yet compelling nature story honesty which it is told transcend films limitations tamil cinema has been criticized by many even within country as being too clich d commercial yet peck cheek is both film entertainment one that tackles serious issues that it successfully straddles line between art commerce is not rejection but tribute,0.43201923076923077,0.06758012820512821,Positive,"{'Happy': 0.06, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.27, 'Fear': 0.33}"
9.0,The two faces of motherhood.,"I finally snagged a copy of Kannathil Muthamittal through Netflix and spent New Yera's Eve watching an amazing drama unfold. It began with Shyama (a winsome Nandita Das) getting married to Dhileepan in the backwaters of Sri Lanka and then a war takes over their romance. Shyama has to flee to India and is in a refugee camp as she gives birth to a child. Several years later we see Amudha, a playful well-loved child (P. S. Keerthana), who is the darling (or burden) of teachers, parents and fellow schoolmates alike, in a very How to Solve a Problem Like Maria sequence. On her birthday she is told by her parents Thiru (Madhavan) and Indra (Simran) that she is not their biological child, she was adopted. This tilts her confident love-filled world and she constantly dwells on why her birth mother left her. Several attempts at truancy later the adoptive parents take her to Sri Lanka to try to find her birth mother. The country is torn asunder by a raging civil war and the trio are inevitably caught up in the mess. But this also leads to their meeting the new Shyama - one who finally is confronted by Amudha and asked why she abandoned her daughter.The story of a child who has to grapple with the fact that she was abandoned at birth, her obsessive drive to reconnect with her birth mother, the unconditional love of the adoptive parents, the demons that drive the birth mother, the normalcy of Chennai and the horrors of terrorism ravaged Sri Lanka - Mani Ratnam made a masterful film that blended many ingredients into a saga that is soul stirring. AR Rahman's music beautifully complements the magical and the poignant moments in the film. The film has excellent performances from Madhavan, Nandita Das, Simran and an absolute stunner role as Amudha - the abandoned one - done by the child artiste P. S. Keerthana. This performance won her a National award.The cinematography is visual poetry - each frame is beautifully crafted and breathtakingly shot. I am intrigued by the connection Mani Ratnam has with terrorism, love and obsessions. I think his exploration of these subjects is absolutely outstanding. Mahadevan's character was quite unique - his passion and idealism did not make him selfish, rather was well matched with how much he cared for the little girl. His one liners were hilarious. The mother played by Simran was also quite multi-dimensional - she was idealistic, loved the adopted daughter but also worried about her biological kids. The shock, angst, and obsession of the child Amudha was outstandingly portrayed by P. S. Keerthana. Her wide accusing eyes did most of the talking. In fact the enigmatic characters were those of Nandita Das, and her husband. Perhaps Mani deliberately made them mysterious so as to not give us overt ideas of why they were the way they were - the enigma of why a terrorist becomes what he or she becomes. It also kept him from being judgmental - this was another conflict in which he took no sides but merely reported while showing the human tragedy.Kannathil Muthamittal is visual poetry and a soul stirring drama - I rarely weep in the movies, but this one left me moist eyed and a little heartsick. This is a beautiful film - a treasure and a keeper if you can find a copy; beg borrow or steal one today and watch the film!",two faces motherhood,i finally snagged copy kannathil muthamittal through netflix spent new yeras eve watching amazing drama unfold it began with shyama winsome nandita das getting married dhileepan backwaters sri lanka then war takes over their romance shyama has flee india is refugee camp as she gives birth child several years later we see amudha playful well loved child p s keerthana who is darling or burden teachers parents fellow schoolmates alike very how solve problem like maria sequence her birthday she is told by her parents thiru madhavan indra simran that she is not their biological child she was adopted this tilts her confident love filled world she constantly dwells why her birth mother left her several attempts at truancy later adoptive parents take her sri lanka try find her birth mother country is torn asunder by raging civil war trio are inevitably caught up mess but this also leads their meeting new shyama one who finally is confronted by amudha asked why she abandoned her daughter story child who has grapple with fact that she was abandoned at birth her obsessive drive reconnect with her birth mother unconditional love adoptive parents demons that drive birth mother normalcy chennai horrors terrorism ravaged sri lanka mani ratnam made masterful film that blended many ingredients into saga that is soul stirring ar rahmans music beautifully complements magical poignant moments film film has excellent performances madhavan nandita das simran absolute stunner role as amudha abandoned one done by child artiste p s keerthana this performance won her national award cinematography is visual poetry each frame is beautifully crafted breathtakingly shot i am intrigued by connection mani ratnam has with terrorism love obsessions i think his exploration these subjects is absolutely outstanding mahadevans character was quite unique his passion idealism did not make him selfish rather was well matched with how much he cared little girl his one liners were hilarious mother played by simran was also quite multi dimensional she was idealistic loved adopted daughter but also worried about her biological kids shock angst obsession child amudha was outstandingly portrayed by p s keerthana her wide accusing eyes did most talking fact enigmatic characters were those nandita das her husband perhaps mani deliberately made them mysterious so as not give us overt ideas why they were way they were enigma why terrorist becomes what he or she becomes it also kept him being judgmental this was another conflict which he took no sides but merely reported while showing human tragedy kannathil muthamittal is visual poetry soul stirring drama i rarely weep movies but this one left me moist eyed little heartsick this is beautiful film treasure keeper if you can find copy beg borrow or steal one today watch film,0.5872697563874035,0.2568181818181818,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.42}"
9.0,realistic and touching ... an emotional drainer,"Kannathil Muthamittal was simply one of the most touching and sincere movies ive seen in a long time. the story of an adopted girl who on her 9th birthday learns the truth about her parentage. she sets out in an endeavour to find out more about her real mother and learns that her mother is now a terrorist.the greatness of the movie lies in its simplicity. mani ratnam generally has a tendency to create unreal and pompous overblown characters in this movie, every person seems real and their interactions are touching and sincere. this is the reason why this ranks as one of his best movies.the movie is emotionally draining and tugs at the heart of the viewer, keerthana as the 9 year old amudha and simran as her adopted mother are simply brilliant. their relationship is the cornerstone of this movie. there are some notable flaws here, particularly the scene where amudha learns that she is an adopted child is jarring and seems totally unreal. it is hard to believe that such sensitive parents would break such a news in the manner that they did. another flaw is, surprisingly enough, the brilliant songs. they again seem forced and stand out, not gelling with the rest of the script.having said these, this still is one of the most poignant and beautiful movies to come out of india in a long long time. this beauty is not just in the script or characters but in teh technical brilliance as well, ravi chandran's camera work is sheer poetry. all characters perform creditably and the realistic humour, especially in teh flashback scenes are entertaining.a sincere 9!!",realistic touching emotional drainer,kannathil muthamittal was simply one most touching sincere movies ive seen long time story adopted girl who her 9th birthday learns truth about her parentage she sets out endeavour find out more about her real mother learns that her mother is now terrorist greatness movie lies its simplicity mani ratnam generally has tendency create unreal pompous overblown characters this movie every person seems real their interactions are touching sincere this is reason why this ranks as one his best movies movie is emotionally draining tugs at heart viewer keerthana as 9 year old amudha simran as her adopted mother are simply brilliant their relationship is cornerstone this movie there are some notable flaws here particularly scene where amudha learns that she is adopted child is jarring seems totally unreal it is hard believe that such sensitive parents would break such news manner that they did another flaw is surprisingly enough brilliant songs they again seem forced stand out not gelling with rest script having said these this still is one most poignant beautiful movies come out india long long time this beauty is not just script or characters but teh technical brilliance as well ravi chandrans camera work is sheer poetry all characters perform creditably realistic humour especially teh flashback scenes are entertaining sincere 9,0.5230463980463979,0.24508547008547005,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.11, 'Sad': 0.32, 'Fear': 0.43}"
10.0,"If not perfect, what is?","The Director of Kannathil Muthamittal directed the first Indian film I had seen ""Dil Se"" which led me down the path of buying well over 122 Hindi DVDs in thecourse of four months. I can say I understood the total attraction, I wassomehow confused as to why the film would stop for ""music videos"". It was an excellent movie, I didn't know what to make of the dancing and the femalevocals were a bit shrill for my western ears, but somehow I found AR Rahmen's score hypnotic. I bought the soundtrack the following day and then Lagan, Kuch Kuch Hota Hai and K3G the following week and with the exception of ""Ichi thekiller"" a few other Korean films , I can't be bothered to watch much else. Kind of strange for someone who has only watched a strict diet of Hong Kong, Horrorand Action/Science fiction films for the past 30 years. But I should get back to Kannathil Muthamittal, It is one of the Mani Ratman's latest efforts and I laughed, Cried, Got totally mad, terrified and most of all I didn't feel manipulated. The acting was superb, the photography was beautiful, I think you could stop the movie at any given time and would notice that any give frame would be worthy of painting. The music fit the movie perfectly and after thecredits rolled, I wanted to watch again... so I did.It would be foolish to discuss the plot for fear that you may miss the pleasure of watching the events unfold and the characters develop. This is what great film is all about! I stood and applauded in my home theater when it was over!My wife is watching now, and I can't wait for her reaction, I can't expect it will be anything less than mine.",if not perfect what is,director kannathil muthamittal directed first indian film i had seen dil se which led me down path buying well over 122 hindi dvds thecourse four months i can say i understood total attraction i wassomehow confused as why film would stop music videos it was excellent movie i didnt know what make dancing femalevocals were bit shrill my western ears but somehow i found ar rahmens score hypnotic i bought soundtrack following day then lagan kuch kuch hota hai k3g following week with exception ichi thekiller few other korean films i cant be bothered watch much else kind strange someone who has only watched strict diet hong kong horrorand action science fiction films past 30 years but i should get back kannathil muthamittal it is one mani ratmans latest efforts i laughed cried got totally mad terrified most all i didnt feel manipulated acting was superb photography was beautiful i think you could stop movie at any given time would notice that any give frame would be worthy painting music fit movie perfectly after thecredits rolled i wanted watch again so i did it would be foolish discuss plot fear that you may miss pleasure watching events unfold characters develop this is what great film is all about i stood applauded my home theater when it was over my wife is watching now i cant wait her reaction i cant expect it will be anything less than mine,0.5085125448028673,0.17293906810035842,Positive,"{'Happy': 0.21, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.16, 'Fear': 0.35}"
10.0,Wow!,"This movie was astonishing how good it was! The plot is extraordinary, and the acting spectacular. At first I thought this wasn't going to be that great because of a summary, but after about the first five or ten minutes of the movie, it struck me that I was dead wrong. I literally cried about four or five times in this movie, and despite this, I must've watched the same scenes over and over again about thirty times in one week! No, the song scenes were not as awesome as they could've been, but the plot is what really gets you. American or Asain, I would recommend this to anyone--and I have now. I guarantee that after seeing this one, you'll get the best out of it, and its plot. I hope you feel the same, and write a rave review too!",wow,this movie was astonishing how good it was plot is extraordinary acting spectacular at first i thought this wasnt going be that great because summary but after about first five or ten minutes movie it struck me that i was dead wrong i literally cried about four or five times this movie despite this i mustve watched same scenes over over again about thirty times one week no song scenes were not as awesome as they couldve been but plot is what really gets you american or asain i would recommend this anyone i have now i guarantee that after seeing this one youll get best out it its plot i hope you feel same write rave review too,0.4981481481481482,0.2796296296296296,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.56, 'Sad': 0.06, 'Fear': 0.17}"
,"Sensitive, top-notch film from a great director ...","The film has Maniratnam written all over it. It is subtle in its content, yet manages to be in-your-face with some trademark-Maniratnam blunt dialogs and blunt visuals too. I've only seen Spielberg and Benigni who have managed to balance subtlety and directness wonderfully. Maniratnam is not their class but very close on their heels. At times he is better than them!The performances are superb, the production values are excellent, particularly the camera and art direction. Yet I have to mention two let downs in the movie. One is sort of major - Rahman's background score. It had a widely fluctuating quality - at times (in the final scenes and in the scenes following Amudha's birthday) bordering on superb and at times (in most of the war scenes, in the scene when Amudha sees the young LTTE girls) downright intrusive. The second one is a minor let down - editing. The movie could have used a good 10 minute trimming in the middle stages. The first half hour is a series of disjointed events thrown at you at a rapidfire pace, which may not be easy for even Tamilians to follow, not to say how difficult it is for the Western audience. Yet, being a Tamilian, while I relished the first half hour of the movie so much, I can't help but wonder how much of that brilliance remained after translating the dialogs. Personally I had a very hard time translating all the comedy in the movie when I attempted it for North Indians and Americans!That said, I have watched the movie 5 times already. I don't think I'll stop watching it anytime soon. One of the best to come out of India, heck, one of the finest movies ever made. Kudos to Maniratnam and the entire team!A hearty 8.5 out of 10.0!",sensitive top notch film great director,film has maniratnam written all over it it is subtle its content yet manages be your face with some trademark maniratnam blunt dialogs blunt visuals too ive only seen spielberg benigni who have managed balance subtlety directness wonderfully maniratnam is not their class but very close their heels at times he is better than them performances are superb production values are excellent particularly camera art direction yet i have mention two let downs movie one is sort major rahmans background score it had widely fluctuating quality at times final scenes scenes following amudhas birthday bordering superb at times most war scenes scene when amudha sees young ltte girls downright intrusive second one is minor let down editing movie could have used good 10 minute trimming middle stages first half hour is series disjointed events thrown at you at rapidfire pace which may not be easy even tamilians follow not say how difficult it is western audience yet being tamilian while i relished first half hour movie so much i cant help but wonder how much that brilliance remained after translating dialogs personally i had very hard time translating all comedy movie when i attempted it north indians americans that said i have watched movie 5 times already i dont think ill stop watching it anytime soon one best come out india heck one finest movies ever made kudos maniratnam entire team hearty 8 5 out 10 0,0.5117492492492492,0.20570570570570573,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.41, 'Sad': 0.18, 'Fear': 0.18}"
