Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Why this film didn't release in theaters?,"If MSD : THE UNTOLD STORY could release on the big screen , then why didn't this film. I genuinely feel this is another untold story that needed a wider audience to witness.KPT covers two journeys of Pravin Tambe, one, his journey from the small tournaments to the big stage IPL and Ranji and two, his journey from being a medium pacer to a leg spinner.The man kept fighting for a place in the ranji for and kept practicing for years despite his age going against his ambition. His job was a headache still he didn't give up. This is the inspiring tale of the man Pravin Tambe, who went on to make a hattrick on debut against KKR .KPT definitely gives off the MSD biopic vibes but it is of a shorter length . Shreyas Talpade gets to show his superb talent he posseses with this role. The final match between RR and KKR has been choreographed really well despite limited budget.Also thr film never gets boring. It is always entertaining or emotional or inspiring.Flaws : Parambrata's part is a waste addition. Also, the final call up for Pravin to RR was really abrupt. No information as to how RR selected him is given which is why it felt so abrupt. The guy who played Rahul Dravid was hilariously bad.Overall, if you loved the MSD biopic, you will definitely love KPT. It is an inspiration. And it is engaging as well. Also, that one song that plays in this film is superb, reminded me of Besabriyaan of MSD biopic.",why this film didnt release theaters,if msd untold story could release big screen then why didnt this film i genuinely feel this is another untold story that needed wider audience witness kpt covers two journeys pravin tambe one his journey small tournaments big stage ipl ranji two his journey being medium pacer leg spinner man kept fighting place ranji kept practicing years despite his age going against his ambition his job was headache still he didnt give up this is inspiring tale man pravin tambe who went make hattrick debut against kkr kpt definitely gives off msd biopic vibes but it is shorter length shreyas talpade gets show his superb talent he posseses with this role final match between rr kkr has been choreographed really well despite limited budget also thr film never gets boring it is always entertaining or emotional or inspiring flaws parambratas part is waste addition also final call up pravin rr was really abrupt no information as how rr selected him is given which is why it felt so abrupt guy who played rahul dravid was hilariously bad overall if you loved msd biopic you will definitely love kpt it is inspiration it is engaging as well also that one song that plays this film is superb reminded me besabriyaan msd biopic,0.6274801587301587,0.13452380952380952,Positive,"{'Happy': 0.17, 'Angry': 0.07, 'Surprise': 0.1, 'Sad': 0.2, 'Fear': 0.45}"
10,"Salute to whoever thought to present Pravin,s biography",As an indian most of us are die hard cricket fan and all of us thought to become cricketer at one point of time in our life.But only 10's out of crore could achieve it.This story really motivates to never give up on your dreams.,salute whoever thought present pravin s biography,as indian most us are die hard cricket fan all us thought become cricketer at one point time our life but only 10s out crore could achieve it this story really motivates never give up your dreams,0.44833333333333336,0.08166666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.12, 'Surprise': 0.62, 'Sad': 0.0, 'Fear': 0.25}"
9,Best sports drama after Bhaag Milkha Bhaag,"I'm cricket fan we don't get too many cricket based film and when we do most of them are terrible I was the most disappointed when 83 film was released the film had a lot of potential but can't deliver the productEvery Indian cricket fan knows the story about Praveen tambey this film tries to capture the struggle of the player and it does tremendously well the film is very personal and it doesn't lack in anything it will keep you engagedWhen the film is done you would have a sense of awe The film successfully captured the struggle of Pravin tambe,without a shadow of doubt the best film I have seen based on cricket after Iqbal. And one of the best sports drama based on real person I have seen after Bhaag Milkha bhag.",best sports drama after bhaag milkha bhaag,im cricket fan we dont get too many cricket based film when we do most them are terrible i was most disappointed when 83 film was released film had lot potential but cant deliver productevery indian cricket fan knows story about praveen tambey this film tries capture struggle player it does tremendously well film is very personal it doesnt lack anything it will keep you engagedwhen film is done you would have sense awe film successfully captured struggle pravin tambe without shadow doubt best film i have seen based cricket after iqbal one best sports drama based real person i have seen after bhaag milkha bhag,0.585,0.28095238095238095,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.37, 'Fear': 0.21}"
10,The Shawshank Redemption of Sports Biopics,"You don't need to be a legend always to inspire. Sometimes all you need is an honest, sincere & continuous effort. Pravin Tambe is a 40+ struggling cricketer, who didn't get a chance to prove his talent and his career looks to end even before it starts. But, the only ray of hope is his honest dedication towards his life that is Cricket. When all seems over, life gives him a super over. The Wall, Rahul Dravid, spots his talent & he gets into the playing 11 of Rajasthan Royals for the most astonishing franchise league of cricket in the world, IPL. His debut comes at an age when most players get retired. At a crucial juncture, when the opponents are about to chase the score made by Rajasthan, Pravin Tambe gets his debut over & guess what, he takes a hattrick. On top of that, he becomes the highest wicket taker in that IPL Tournament. Above all, this is an absolutely 💯 true story. What an inspirational story that requires your patience, but rewards you handsomly! Must Watch. Simple, yet super special. Boy next door, yet a superhero. Soulful performance of Shreyas Talpade.",shawshank redemption sports biopics,you dont need be legend always inspire sometimes all you need is honest sincere continuous effort pravin tambe is 40 struggling cricketer who didnt get chance prove his talent his career looks end even before it starts but only ray hope is his honest dedication towards his life that is cricket when all seems over life gives him super over wall rahul dravid spots his talent he gets into playing 11 rajasthan royals most astonishing franchise league cricket world ipl his debut comes at age when most players get retired at crucial juncture when opponents are about chase score made by rajasthan pravin tambe gets his debut over guess what he takes hattrick top that he becomes highest wicket taker that ipl tournament above all this is absolutely true story what inspirational story that requires your patience but rewards you handsomly must watch simple yet super special boy next door yet superhero soulful performance shreyas talpade,0.6359943977591036,0.3278711484593837,Positive,"{'Happy': 0.07, 'Angry': 0.11, 'Surprise': 0.32, 'Sad': 0.14, 'Fear': 0.36}"
10,Real fighter,Inspiring & amazing movie great work by Shreyas Sir Hats of to Pravin Sir Motive to never step back makes him a real legend he is a perfect example of that age is just a number he gives a example that nothing matters if fight for your dreams.,real fighter,inspiring amazing movie great work by shreyas sir hats pravin sir motive never step back makes him real legend he is perfect example that age is just number he gives example that nothing matters if fight your dreams,0.6071428571428571,0.4714285714285715,Positive,"{'Happy': 0.14, 'Angry': 0.07, 'Surprise': 0.07, 'Sad': 0.43, 'Fear': 0.29}"
8,Story should be heard,"Some untold stories are much greater than the stories we know. Some are legends because of cricket. Cricket is a legend because of such characters who have love and passion for the game. Such is a story of Pravin Tambe who get through the odds with his sheer persistence and hardwork achieves the goal at the penultimate phase of the career. Actually it is incorrect to say that, because it is believed that cricketers end their career at the age of 40, whereas this man achieved new heights at the age of 41.",story should be heard,some untold stories are much greater than stories we know some are legends because cricket cricket is legend because such characters who have love passion game such is story pravin tambe who get through odds with his sheer persistence hardwork achieves goal at penultimate phase career actually it is incorrect say that because it is believed that cricketers end their career at age 40 whereas this man achieved new heights at age 41,0.47556818181818183,0.09204545454545454,Positive,"{'Happy': 0.12, 'Angry': 0.38, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.25}"
10,Stunning biography..!,This movie tells about the story of Pravin tambe who was play debut in international cricket... Really it's impossible for normal human being to follow their passion.. After marriage still he looks to follow cricket apart from against of their friends and parents.. Must watch movie..!,stunning biography,this movie tells about story pravin tambe who was play debut international cricket really its impossible normal human being follow their passion after marriage still he looks follow cricket apart against their friends parents must watch movie,0.4916666666666667,0.030555555555555555,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.38, 'Sad': 0.12, 'Fear': 0.25}"
10,Age Doesn't Matter,What An Amazing Acting By Shreyas Talpade Sir He Is Outstanding...He Is Playing Fantastic Role Of Pravin Tambe Sir... Amazing Real Life Story... Inspirational I Love The Movie 💓🏏👍....,age doesnt matter,what amazing acting by shreyas talpade sir he is outstanding he is playing fantastic role pravin tambe sir amazing real life story inspirational i love movie,0.684375,0.41250000000000003,Positive,"{'Happy': 0.36, 'Angry': 0.09, 'Surprise': 0.18, 'Sad': 0.09, 'Fear': 0.27}"
10,Superb Inspirational and emotional story of perseverance,"Wow, what a movie. After watching Pravin Tambe during IPL i was already amazed with his skills for his age, but this movie gave completely revealed the hard work put behind it. What great inspirational and emotional biopic and story of great perseverance. Great acting by Shreyas Talpade, superb story and screenplay. In many scenes you can actually picturize Pravin Tambe with his innocent look. Hats off!",superb inspirational emotional story perseverance,wow what movie after watching pravin tambe during ipl i was already amazed with his skills his age but this movie gave completely revealed hard work put behind it what great inspirational emotional biopic story great perseverance great acting by shreyas talpade superb story screenplay many scenes you can actually picturize pravin tambe with his innocent look hats off,0.6759803921568627,0.3475490196078431,Positive,"{'Happy': 0.32, 'Angry': 0.09, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.09}"
8,Upcoming Biopic makers must take note of this one,"Biopics sure have an advantage with a ready-story. But that comes with its own challenges.You cannot use much of your imagination (fictional ideas).Yet, you need to impress the audience. Make the audience watch. Keep it interesting.To be honest, 'Kaun Pravin Tambe?' movie kept me more engaged than '83'.'Kaun Pravin Tambe?' seemed quite genuine, no unnecessary masala, sticks to the biopic's cause, shows you the end-to-end story coverage and keeps you rooting for the hero.Sure, 'Kaun Pravin Tambe?' may not be among the best indian biopics out there. If i recall, i'm sure 'Bhaag Milkha Bhaag' was a much better story teller.But, after a long time, 'Kaun Pravin Tambe?' showed why biopics can be interesting.Shreyas Talpade is a very under-rated actor. Such roles, especially biopic characters, are his specialities. He debuted as a cricketing character in his 1st movie after all.Must watch - if you can sit through a good drama / biopic.",upcoming biopic makers must take note this one,biopics sure have advantage with ready story but that comes with its own challenges you cannot use much your imagination fictional ideas yet you need impress audience make audience watch keep it interesting be honest kaun pravin tambe movie kept me more engaged than 83 kaun pravin tambe seemed quite genuine no unnecessary masala sticks biopics cause shows you end end story coverage keeps you rooting hero sure kaun pravin tambe may not be among best indian biopics out there if i recall im sure bhaag milkha bhaag was much better story teller but after long time kaun pravin tambe showed why biopics can be interesting shreyas talpade is very under rated actor such roles especially biopic characters are his specialities he debuted as cricketing character his 1st movie after all must watch if you can sit through good drama biopic,0.6008333333333333,0.3775,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.07, 'Fear': 0.52}"
