Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Read my comment.,"Shaquille O'Neal delivers an Oscar worthy performance in what might be the most powerful performance of the 90's. All around, it is brilliant. This is a gripping and amazing tale about a genie and his friendship with a lonely child. Acting is purely amazing and the story is beautifully played out like poetry in motion. Honestly, this film goes down as one of the all time greats. Top to bottom, this film is perfectly mastered. Every actor in this film comes through and nails the role perfectly. 11/10Now, imagine the exact opposite of that. Got it? Okay, the truth is...the movie isn't even *that* good. Shaq, what were you thinking?",read my comment,shaquille oneal delivers oscar worthy performance what might be most powerful performance 90s all around it is brilliant this is gripping amazing tale about genie his friendship with lonely child acting is purely amazing story is beautifully played out like poetry motion honestly this film goes down as one all time greats top bottom this film is perfectly mastered every actor this film comes through nails role perfectly 11 10now imagine exact opposite that got it okay truth is movie isnt even that good shaq what were you thinking,0.6862573099415205,0.46725146198830403,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.14}"
6.0,Deserves more credit.,"The movie and plot is dumb, but the concept is a fun idea (who doesn't like genies?). It could have been a much more entertaining movie, however.",deserves more credit,movie plot is dumb but concept is fun idea who doesnt like genies it could have been much more entertaining movie however,0.48,0.28500000000000003,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
10.0,This movie changed my life.,"This movie really helped me find myself. Before I saw this movie, I wandered this streets crying often knowing my life had no purpose. Until one faithful day, I found myself in Chuckey Cheese on my usual drinking binge. When to my surprise, the robotic Chucky Cheese and gang started singing ""Happy Birthday"" which sounds exactly like ""You're the Best"" (a song from Karate Kid) after an eleven day drink binge. I saw a bright light, which many witnesses argue was a fire cause from the bad wiring in the Chucky Cheese band, pointing at the prize shelf. I took the remaining money I found on a passed out man outside the Chucky Cheese and went to play the Wack-A-Mole game that changed my life. I furiously pounded the moles while I was in the middle of the Chucky Cheese. The children screamed and cried as I fulfilled my destiny; if I could see those children again, I would hug them, for I would not have been able to win those two magical tickets. I went over to thank Chucky which soon after I blacked out, passing out on stage I woke up a few days later in my one room apartment with the tape super-glued to my face. In my excitement I quickly tore it from my skin and shoved it into my VCR. The next hour and thirty-six minutes (I got the special edition) of my life would be the happiest any man could ask for. I was so blown away by the amazing special effects that I was overcame and called an ambulance to pick me up after the movie ended. Shaq play a stunning and realistic role as a rapping Genie. I often found myself dancing in room to his tunes while my neighbor was yelling hurtful words and threats through the wall. After awhile though, I passed out on my floor. Awaking from another blackout, I caught glimpses of Shaq giving candy to all the children. I laughed, I cried. Could this movie be as brilliant as I realized. The ambulance pulled up and I told the paramedics to grab my belly; I was immediately tared. After a few weeks in intensive care, I returned to my house how I left it. Kazaam has given me a new out look on life and hopefully it will help shape your views.",this movie changed my life,this movie really helped me find myself before i saw this movie i wandered this streets crying often knowing my life had no purpose until one faithful day i found myself chuckey cheese my usual drinking binge when my surprise robotic chucky cheese gang started singing happy birthday which sounds exactly like youre best song karate kid after eleven day drink binge i saw bright light which many witnesses argue was fire cause bad wiring chucky cheese band pointing at prize shelf i took remaining money i found passed out man outside chucky cheese went play wack mole game that changed my life i furiously pounded moles while i was middle chucky cheese children screamed cried as i fulfilled my destiny if i could see those children again i would hug them i would not have been able win those two magical tickets i went over thank chucky which soon after i blacked out passing out stage i woke up few days later my one room apartment with tape super glued my face my excitement i quickly tore it my skin shoved it into my vcr next hour thirty six minutes i got special edition my life would be happiest any man could ask i was so blown away by amazing special effects that i was overcame called ambulance pick me up after movie ended shaq play stunning realistic role as rapping genie i often found myself dancing room his tunes while my neighbor was yelling hurtful words threats through wall after awhile though i passed out my floor awaking another blackout i caught glimpses shaq giving candy all children i laughed i cried could this movie be as brilliant as i realized ambulance pulled up i told paramedics grab my belly i was immediately tared after few weeks intensive care i returned my house how i left it kazaam has given me new out look life hopefully it will help shape your views,0.4480959145021645,0.24949945887445887,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.15, 'Fear': 0.39}"
1.0,Shaq should stay OUT of music and acting!!!,What a pathetic movie.I won't waste much time commenting about it. I'm still trying to get back the couple hours I wasted on it.Let me leave it simply with - Shaq has NO BUSINESS being an actor or singer. He is utterly without talent at both discplines. It's a crying shame that substantially more talented people waste away in community theatres and karaoke bars while Shaq uses his name as a basketball player to undeservedly get cast in movies and cut CDs.Much of the failure of this movie was the pathetic no-talent that is Shaq.,shaq should stay out music acting,what pathetic movie i wont waste much time commenting about it im still trying get back couple hours i wasted it let me leave it simply with shaq has no business being actor or singer he is utterly without talent at both discplines its crying shame that substantially more talented people waste away community theatres karaoke bars while shaq uses his name as basketball player undeservedly get cast movies cut cds much failure this movie was pathetic no talent that is shaq,0.41047619047619044,-0.13444444444444445,Negative,"{'Happy': 0.0, 'Angry': 0.29, 'Surprise': 0.0, 'Sad': 0.57, 'Fear': 0.14}"
10.0,Nostalgia overload,"The critics were way too rough on this one. I loved Kazaam as a kid and when I recently rewatched it I can see why.A kids perspective is different from an adult. A kid got a lot of imagination and a good sense of fun. So while this movie is corny and silly from an adults perspective these were exactly the things I loved as a kid.A giant rapping genie, a fun friendship, family, the struggle of a kid growing up in the city and a ridiculous music business villain. I had a blast watching this movie over and over again. 90s kids know the truth about Kazaam!",nostalgia overload,critics were way too rough this one i loved kazaam as kid when i recently rewatched it i can see why kids perspective is different adult kid got lot imagination good sense fun so while this movie is corny silly adults perspective these were exactly things i loved as kid giant rapping genie fun friendship family struggle kid growing up city ridiculous music business villain i had blast watching this movie over over again 90s kids know truth about kazaam,0.5596153846153846,0.1628205128205128,Positive,"{'Happy': 0.55, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.15}"
10.0,"WTF, man?","Dude. This movie was AWESOME. I loved when he dunked it. Alright, i'm drinking, but so what? So, apparently I have to fill 10 lines of text. That's terrible. Good thing I got half a bottle of wine left. So, yeah, Kazaam was amazing. Shaq was a genie. Who better to play the part? No one, that's who. Yizzeah. So, anyway, Max lives in Compton and is sick of getting shot at so he hires this basketball player to be his genie. Said basketball player is terrible at free-throws. Anyway, this guy is always..like..turning crap into something else and making some other crap fall from the sky. Then he (and the Miami Heat) beat the Washington Wizards 105-86 in the opening game of their Eastern-Conference-semifinals playoff series, but then he lost to Steve Nash in the MVP voting. So, the moral is, genies are better than wizards.",wtf man,dude this movie was awesome i loved when he dunked it alright im drinking but so what so apparently i have fill 10 lines text thats terrible good thing i got half bottle wine left so yeah kazaam was amazing shaq was genie who better play part no one thats who yizzeah so anyway max lives compton is sick getting shot at so he hires this basketball player be his genie said basketball player is terrible at free throws anyway this guy is always like turning crap into something else making some other crap fall sky then he miami heat beat washington wizards 105 86 opening game their eastern conference semifinals playoff series but then he lost steve nash mvp voting so moral is genies are better than wizards,0.636779448621554,-0.055576441102756904,Negative,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.21, 'Fear': 0.25}"
1.0,Please make it stop.,This is the worst film I have ever seen.I was watching this film with some friends and after 40 minutes we had enough. The plot was bad and there wasn't a single likeable character.I could get more entertainment watching static. I gave this movie a 1 only because the scale didn't go into negative numbers. Avoid this movie at all costs.,please make it stop,this is worst film i have ever seen i was watching this film with some friends after 40 minutes we had enough plot was bad there wasnt single likeable character i could get more entertainment watching static i gave this movie 1 only because scale didnt go into negative numbers avoid this movie at all costs,0.6476190476190476,-0.1339285714285714,Negative,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.2}"
9.0,"I feel enlightened after watching this movie (in the good way, not the naked after a party way).","I remember watching this film as a semi-retarded adolescent and not enjoying it due to the vague underlying themes that flew over my head at such a young age. However, last week, passing this movie in the Blockbuster Mega-Discount bin, I decided to re-watch it and see if my opinion has changed.(I tried to keep this review as spoiler free as possible, without losing some of the movie's flair. I feel I have succeeded) I must say, spending that 2.50$ plus tax was the greatest decision of my pitiful and shameful life. In the 5 days I have had the VHS, I have watched this film at least 15 times, I unfortunately lost track after blacking out naked on my carpet on the 2nd day. This movie goes down in history as one of the 5 greatest drama sequels of all time, and If I had to put a rating on it's comedy factor, I would give it 4 thumbs way up. I found myself laughing throughout the entire film, calling my friends and family to repeat jokes I had heard. The casting in this film is absolutely excellent, with Shaq leading the performance like a Frenchman in a yogurt factory. The story revolves around a genie named Shaq, and a small Italian boy named Max. Upon finding a magic stereo player, Max discovers a small black genie living inside, and offers to give him a place to sleep and eat for a week. Ironically, this is where the theme of pedophilia comes into play, with multiple scenes of Max and Shaq showering together and close up shots of them smiling. I hate to repeat myself, but as a child, I understood nothing about this subject. However, as a fleshy man, I see it in a new and blinding light.There are several moments throughout the play where the development of the characters and storyline drag, but the rest of the film certainly make up for it. The end is griping, and keeps me on the edge of my seat every time I watch it. At the same time, I cry when the credits roll and long to see Shaq's black face one more time (of course, I will rewind the movie at this point and watch it over again).On a final note, this movie is almost perfect in every aspect. This is the epitome of what a Hollywood blockbuster should be. The casting is amazing, the special effects are mind-blowingly realistic and stunning, the fully orchestrated soundtrack fits the mood perfectly and amplifies the experience. If I were to put a grade on this, I would have to give it a 9/10, losing a point because of the slight nudity (i'm not the biggest fan, but I won't say no!). But, this is not a movie to be rated, it is a movie to be bought, watched, and enjoyed. Do yourself a big favor and buy this movie, your taste buds will thank you.",i feel enlightened after watching this movie good way not naked after party way,i remember watching this film as semi retarded adolescent not enjoying it due vague underlying themes that flew over my head at such young age however last week passing this movie blockbuster mega discount bin i decided re watch it see if my opinion has changed i tried keep this review as spoiler free as possible without losing some movies flair i feel i have succeeded i must say spending that 2 50 plus tax was greatest decision my pitiful shameful life 5 days i have had vhs i have watched this film at least 15 times i unfortunately lost track after blacking out naked my carpet 2nd day this movie goes down history as one 5 greatest drama sequels all time if i had put rating its comedy factor i would give it 4 thumbs way up i found myself laughing throughout entire film calling my friends family repeat jokes i had heard casting this film is absolutely excellent with shaq leading performance like frenchman yogurt factory story revolves around genie named shaq small italian boy named max upon finding magic stereo player max discovers small black genie living inside offers give him place sleep eat week ironically this is where theme pedophilia comes into play with multiple scenes max shaq showering together close up shots them smiling i hate repeat myself but as child i understood nothing about this subject however as fleshy man i see it new blinding light there are several moments throughout play where development characters storyline drag but rest film certainly make up it end is griping keeps me edge my seat every time i watch it at same time i cry when credits roll long see shaqs black face one more time course i will rewind movie at this point watch it over again final note this movie is almost perfect every aspect this is epitome what hollywood blockbuster should be casting is amazing special effects are mind blowingly realistic stunning fully orchestrated soundtrack fits mood perfectly amplifies experience if i were put grade this i would have give it 9 10 losing point because slight nudity im not biggest fan but i wont say no but this is not movie be rated it is movie be bought watched enjoyed do yourself big favor buy this movie your taste buds will thank you,0.5260164892977394,0.11306743025493025,Positive,"{'Happy': 0.18, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.16, 'Fear': 0.32}"
6.0,it wasn't that bad,"Kazaam is an alright movie and isn't that bad. It doesn't deserve to be rated so low and in the bottom 100. It was decent. The movie starts out a little shaky but it gets better. The acting in the movie is kinda bad and the plots are very predictable but it was still okay. I'll admit that Shaq's acting is bad and he should stick to rapping and the NBA, the other characters acting weren't that awful.The movie has a nice fell to it while watching, the scenes and designs are cool. One of my favorite parts in the movie is when Max is talking to Kazaam and Kazaam tells him that he has 3 wishes, so Max wishes that it would rain burgers and fries. That part was funny and cool. I also liked the ending in the movie.Id recommend this movie",it wasnt that bad,kazaam is alright movie isnt that bad it doesnt deserve be rated so low bottom 100 it was decent movie starts out little shaky but it gets better acting movie is kinda bad plots are very predictable but it was still okay ill admit that shaqs acting is bad he should stick rapping nba other characters acting werent that awful movie has nice fell it while watching scenes designs are cool one my favorite parts movie is when max is talking kazaam kazaam tells him that he has 3 wishes so max wishes that it would rain burgers fries that part was funny cool i also liked ending movie id recommend this movie,0.5981884057971015,-0.060398550724637665,Negative,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.32, 'Fear': 0.23}"
10.0,2 Stars? Come ON!!,"To any kid who grew up in the 90s this movie was excellent! I show it to my students now that I am a teacher and they love it still. It's a kids movie for goodness sake. The story is good, it is entertaining and funny so for a kids movie it's dang great! People giving this low ratings either didn't grow up in the 90s, had a really sucky childhood, or are just hating on the greatness that is Kazaam!",2 stars come,any kid who grew up 90s this movie was excellent i show it my students now that i am teacher they love it still its kids movie goodness sake story is good it is entertaining funny so kids movie its dang great people giving this low ratings either didnt grow up 90s had really sucky childhood or are just hating greatness that is kazaam,0.64375,0.49375,Positive,"{'Happy': 0.54, 'Angry': 0.08, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.08}"
