Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
4,Interesting Premise but overall a huge letdown!,"I don't watch a lot of kannada films...I pick and choose and look for kannada films that are popular and we'll appreciated, hence happened to stumble on Kirk Party! The IMDB ratings ensured that I gave it a try and I did. Result: A little disappointed!To start off I am really surprised that this film has such a cult following among audience...while everyone has a different taste but over the years I have seen that the really successful films have something unique that appeals to almost everyone the quantum of appeal could be different but appeal is undeniable.What works for Kirk Party is without a doubt the premise of engg college, boy meets girl and heartbreak that kind of is a magic formula...add to it popular actors you have a recipe for success! However when I started watching this film the initial set up was fine, infact the first half keeps you hooked without absolutely blowing you away. However, the second half is a real dampener....the lethargic pace does no good...I almost had to wait when the movie would end... The story in the second half is very uneven and slow ...the life goes out of the film.... Technically everything is in place without being spectacular....Actors have done justice. May be I had very high expectations, I expected it to be a lot more fun...the heartbreak angle did not land effectively... thought was over stretched the second half was whimsical to say the least.",interesting premise but overall huge letdown,i dont watch lot kannada films i pick choose look kannada films that are popular well appreciated hence happened stumble kirk party imdb ratings ensured that i gave it try i did result little disappointed start off i am really surprised that this film has such cult following among audience while everyone has different taste but over years i have seen that really successful films have something unique that appeals almost everyone quantum appeal could be different but appeal is undeniable what works kirk party is without doubt premise engg college boy meets girl heartbreak that kind is magic formula add it popular actors you have recipe success however when i started watching this film initial set up was fine infact first half keeps you hooked without absolutely blowing you away however second half is real dampener lethargic pace does no good i almost had wait when movie would end story second half is very uneven slow life goes out film technically everything is place without being spectacular actors have done justice may be i had very high expectations i expected it be lot more fun heartbreak angle did not land effectively thought was over stretched second half was whimsical say least,0.44686363636363635,0.10648863636363637,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.31, 'Sad': 0.2, 'Fear': 0.31}"
10,One hell of a fun ride!,"I wasn't around when Premaloka was released and pulled people to theaters big time. But, I assume it was the similar situation as today when you see people cheering, enjoying and celebrating the KIRRIK PARTY with such indulgence in and outside the theaters. I had been to the premier show and couldn't thank my friend more for asking me to join. The best part was the whole crowd sang in chorus for Sananvi as she appeared onto the stage after the premier, You know the same way the freshers sing for her in the film. Of-course she blushed in her typical killer way. Well, Though the film has its own plus and minuses, It keeps you smiling, laughing and heartbroken at times all through the 'Party's journey. Each and every character is so awesomely performed. The new boys are very much fun to watch. I was longing to see the gang more than Rakhsith himself. The beautiful girls, the well carved cinematography, the actors, dialogues, songs and most of all the screenplay, This movies has so much to take you off this world into its own college cocoon. Kudos to the Director Rishabh Shetty and the writers of the film. I am sure I will watch this one at-least 2 more times in cinemas. Thank you guys for this lovely Kirrik!",one hell fun ride,i wasnt around when premaloka was released pulled people theaters big time but i assume it was similar situation as today when you see people cheering enjoying celebrating kirrik party with such indulgence outside theaters i had been premier show couldnt thank my friend more asking me join best part was whole crowd sang chorus sananvi as she appeared onto stage after premier you know same way freshers sing her film course she blushed her typical killer way well though film has its own plus minuses it keeps you smiling laughing heartbroken at times all through partys journey each every character is so awesomely performed new boys are very much fun watch i was longing see gang more than rakhsith himself beautiful girls well carved cinematography actors dialogues songs most all screenplay this movies has so much take you off this world into its own college cocoon kudos director rishabh shetty writers film i am sure i will watch this one at least 2 more times cinemas thank you guys this lovely kirrik,0.5028514309764309,0.3424873737373737,Positive,"{'Happy': 0.32, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.12, 'Fear': 0.32}"
9,Rakshit and team is a new year gift to the engineering students,"Kirik Party is a perfect mixture of comedy, emotion and action. Kirik party gives a big feast to the youngsters especially to the people of engineering background. The movie brings the feeling of their college days.Karna(rakshit shetty) starts being a naughty guy, later faces some tough situations and ends up to bring fear when someone hears his name.The story has unexpected twists which keeps the audience alive throughout the film. Few scenes in the second half seems to bore a bit but then the twists and emotions bring back the interest.Somewhere you get a feeling of Malayalam movies like Premam and Bangalore Days. Rakshit shetty has again given a stellar performance. He continues to keep the faith of his audience in every movie. Rashmika mandanna and samyuktha hegde gave the justice to their part. Execution of every scene has been incredible thanks to the Cinematography by karm chawla. Music and the background score by ajanish is simply great. Songs have been taken a big advantage in expressing the scenes.Overall Kirik party movie has lived up to those expectations and is not at all a 'Kirik' to any class of audience.",rakshit team is new year gift engineering students,kirik party is perfect mixture comedy emotion action kirik party gives big feast youngsters especially people engineering background movie brings feeling their college days karna rakshit shetty starts being naughty guy later faces some tough situations ends up bring fear when someone hears his name story has unexpected twists which keeps audience alive throughout film few scenes second half seems bore bit but then twists emotions bring back interest somewhere you get feeling malayalam movies like premam bangalore days rakshit shetty has again given stellar performance he continues keep faith his audience every movie rashmika mandanna samyuktha hegde gave justice their part execution every scene has been incredible thanks cinematography by karm chawla music background score by ajanish is simply great songs have been taken big advantage expressing scenes overall kirik party movie has lived up those expectations is not at all kirik any class audience,0.4127272727272728,0.13404040404040404,Positive,"{'Happy': 0.18, 'Angry': 0.06, 'Surprise': 0.15, 'Sad': 0.26, 'Fear': 0.35}"
9,A refreshing & emotional college youth story!,"This movie is a wonderfully directed entertainer packed with funny dialogues, emotional scenes, love story and everything else which a typical student experiences in his college life! The plot is really engaging and there are many instances when the viewer gets captivated by the movie characters. The cinematography, music and everything else which makes up this movie is really incredible and so refreshing! The engineering college story in the film is really nostalgic if you are an engineering student or had been one! One can relive their college journey through this film! Rakshit Shetty's amazing performance and Rashmika Mandanna's cuteness will have you mesmerized! All other actors have also acted exceptionally and this movie is one of the best student life based movies to come out in Sandalwood cinema in the recent years!",refreshing emotional college youth story,this movie is wonderfully directed entertainer packed with funny dialogues emotional scenes love story everything else which typical student experiences his college life plot is really engaging there are many instances when viewer gets captivated by movie characters cinematography music everything else which makes up this movie is really incredible so refreshing engineering college story film is really nostalgic if you are engineering student or had been one one can relive their college journey through this film rakshit shettys amazing performance rashmika mandannas cuteness will have you mesmerized all other actors have also acted exceptionally this movie is one best student life based movies come out sandalwood cinema recent years,0.7250000000000001,0.3544117647058823,Positive,"{'Happy': 0.07, 'Angry': 0.0, 'Surprise': 0.31, 'Sad': 0.24, 'Fear': 0.38}"
10,The Perfect Movie!,"It had been years since a movie as good as Kirik Party was screened across the theaters in Karnataka. It is evident that this film is nurtured and molded with care. Once the movie starts, nostalgia sets in. Like a sweet ride, it takes us back to the time in our lives I'm sure where most of us would want to revisit. This story blends with finesse a tale of friendship, love and a route to self discovery with ease, riddled with plenty of laughs right through to the end without a dull moment cropping up. You are guaranteed to exit the hall with a laugh. Director Rishab Shetty does a very good job of grabbing hold of your attention from scene one and not letting it go till the end credits roll. All the elements added to the story are pretty much what college goers go through collectively as a bunch. Coming to the acting, most of the cast are new comers and do more than just a decent job. The 'chemistry' between the characters is not forced and you can actually make out the bond the cast shares with one another. Again the credit must go to the director for extracting the best out of them. Both the leading ladies shine in their roles. The versatile actor Achyuth Kumar as always does a wonderful job in this comparatively smaller role. The music takes second place in this race to entertain the audience. Its refreshingly fresh. No song feels dragged on or repetitive. Each are of a different tune and melody. Music Director Ajaneesh Loknath brings something new to the table with every song that has something for everybody's liking. The nostalgic 'Katheyonda Helide' setting the tone for the movie, to the brilliant 'Hey Who are You' that has a sort of 90's feel to it, right to 'Kaagadada Doniyalli' sung by the upcoming singer Vasuiki Vaibhav penned by the wonderful Jayanth Kaikini are all perfect to the T. Last but not the least, the leading man, Rakshit Shetty takes the cake and eats it too. His work is as good as he did in 'UK'. He literally carries the movie on. From writing the story which is the true Winner here, to penning 'Katheyonda Helide' and 'Thirboki Jeevana' he shows his immense potential and his love for the craft. A man of many talents as he showed the world with his incomparable film 'UK', he's just scratching the surface of his potential I'm sure. Here's to a cult classic and hoping that Rakshit Shetty and the Seven Odds bring us more such visual treats.",perfect movie,it had been years since movie as good as kirik party was screened across theaters karnataka it is evident that this film is nurtured molded with care once movie starts nostalgia sets like sweet ride it takes us back time our lives im sure where most us would want revisit this story blends with finesse tale friendship love route self discovery with ease riddled with plenty laughs right through end without dull moment cropping up you are guaranteed exit hall with laugh director rishab shetty does very good job grabbing hold your attention scene one not letting it go till end credits roll all elements added story are pretty much what college goers go through collectively as bunch coming acting most cast are new comers do more than just decent job chemistry between characters is not forced you can actually make out bond cast shares with one another again credit must go director extracting best out them both leading ladies shine their roles versatile actor achyuth kumar as always does wonderful job this comparatively smaller role music takes second place this race entertain audience its refreshingly fresh no song feels dragged or repetitive each are different tune melody music director ajaneesh loknath brings something new table with every song that has something everybodys liking nostalgic katheyonda helide setting tone movie brilliant hey who are you that has sort 90s feel it right kaagadada doniyalli sung by upcoming singer vasuiki vaibhav penned by wonderful jayanth kaikini are all perfect t last but not least leading man rakshit shetty takes cake eats it too his work is as good as he did uk he literally carries movie writing story which is true winner here penning katheyonda helide thirboki jeevana he shows his immense potential his love craft man many talents as he showed world with his incomparable film uk hes just scratching surface his potential im sure heres cult classic hoping that rakshit shetty seven odds bring us more such visual treats,0.543638719557087,0.317261683894337,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.19, 'Fear': 0.42}"
2,2 points given only for Rashmika,This was one of the worst movie i have ever watched ... i will not forgive its crew for wasting my time,2 points given only rashmika,this was one worst movie i have ever watched i will not forgive its crew wasting my time,1.0,-0.5,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.2, 'Fear': 0.2}"
9,Hilarious.,This movie brings back memories of your college days while also making you laugh till the very end. A must watch movie for people of all age groups.,hilarious,this movie brings back memories your college days while also making you laugh till very end must watch movie people all age groups,0.35000000000000003,0.25,Positive,"{'Happy': 0.25, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.12}"
5,A headless chicken didn't know where to go,"I checked IMDB rating and felt I should watch this movie.... like every college movie it started well and reached to a point where something new starts...or ill say a climax... However, I was looking for a climax or something interesting but all in vain.And in the end everything got sorted on its own as it itself was waiting for the end.... all I can say is just an OK movie ..but nowhere close to expectation as per IMDB rating.",headless chicken didnt know where go,i checked imdb rating felt i should watch this movie like every college movie it started well reached point where something new starts or ill say climax however i was looking climax or something interesting but all vain end everything got sorted its own as it itself was waiting end all i can say is just ok movie but nowhere close expectation as per imdb rating,0.734090909090909,0.10606060606060606,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.15, 'Fear': 0.23}"
10,10 stars speaks everything,Just amazing movie.... u will definitely get your college days back for sure...,10 stars speaks everything,just amazing movie u will definitely get your college days back sure,0.5722222222222222,0.275,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.57}"
6,A Better 'Looking' Kannada Film,"I waited 7 days to watch the film because I had second thoughts of watching the film. The trailer showed glimpses of fun during engineering days and nothing to know what's so special about it. The previous film by this gang (though not by Rakshit Shetty's home production Paramvah which this film is) was Ricky and it was SO BAD. I hated it. And hence I went to watch Kirik Party with zero expectations. The film was delightful. There was nothing so unique or great about the story (Story by Rakshit Shetty & the 7 odds) or even the screenplay. I think Rakshit learnt a lesson that people of Karnataka don't appreciate good cinema (post a wonderfully executed Ulidavaru Kandanthe) and hence he has put his worth into the dialogues (which were written by Abhijit Mahesh & Dhananjay Ranjan. Hats off to them) and the looks of the lead character (played by Shetty). AND this works. The two newcomer actresses have acted to their character beautifully. Kudos to them. The supporting cast have played exceptionally. Achyuta plays a small character and no doubt he knows how to act brilliantly. Ajaneesh's work is worth more than an applause. Now the story. So much of Premam into it. Well, am not comparing Kirik to Premam. Premam was a class act. But Kirki has it's own platform yet it feels like a diluted version of Premam. The female characters, the style, the fights, the college days moments and Rakshit Shetty's looks. At one point I was taken back to 3 idiots with one scene. The film has its moments of laughter and even though there are incidents that hurt the lead character it doesn't make us feel the same. Unfortunately, it reminds me a lot of Premam. Apart from that, the film was worth a watch. It is definitely so much better than the remakes done by superstars of Kannada Film Industry. At least Rakshit and Rishab have self-respect. Next time Rakshit signs a 'Vaastu Prakaara' or a 'Godhi Banna..' or even a 'Ricky' he should look at Kirik Party and think twice before signing those kinds of films.",better looking kannada film,i waited 7 days watch film because i had second thoughts watching film trailer showed glimpses fun during engineering days nothing know whats so special about it previous film by this gang though not by rakshit shettys home production paramvah which this film is was ricky it was so bad i hated it hence i went watch kirik party with zero expectations film was delightful there was nothing so unique or great about story story by rakshit shetty 7 odds or even screenplay i think rakshit learnt lesson that people karnataka dont appreciate good cinema post wonderfully executed ulidavaru kandanthe hence he has put his worth into dialogues which were written by abhijit mahesh dhananjay ranjan hats off them looks lead character played by shetty this works two newcomer actresses have acted their character beautifully kudos them supporting cast have played exceptionally achyuta plays small character no doubt he knows how act brilliantly ajaneeshs work is worth more than applause now story so much premam into it well am not comparing kirik premam premam was class act but kirki has its own platform yet it feels like diluted version premam female characters style fights college days moments rakshit shettys looks at one point i was taken back 3 idiots with one scene film has its moments laughter even though there are incidents that hurt lead character it doesnt make us feel same unfortunately it reminds me lot premam apart that film was worth watch it is definitely so much better than remakes done by superstars kannada film industry at least rakshit rishab have self respect next time rakshit signs vaastu prakaara or godhi banna or even ricky he should look at kirik party think twice before signing those kinds films,0.5095622119815668,0.218778801843318,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.2, 'Fear': 0.41}"
