Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Lakshya!!What a movie,"I'm the kind of guy who enjoys mindless action movies as well as movies that are intelligent,sensitive&thought-provoking.Lakshya falls in the latter category. The promos were slick and the music sounded good.But when i read the box-office report on this movie i was surprised at the lukewarm response this movie got because i thought this movie would be a runaway hit.However what can people like us do when such gifted film-makers like Farhan Akhtar are discouraged because their movies don't spoon-feed facts to the audience.But all said and done,This is among my personal favourites and i'm giving it a 10/10.2004 has produced some mature and intelligent movies like Lakshya,Yuva,Hum Tum,Swades etc and i'm happy that film-makers are growing up.This movie inspired me a lot and has played a role in me realising the truth that we should always have an aim in life because a life without an aim is like a body minus the soul.+ points-Acting,Music(Background),Sound,Story,Tight Screenplay,Inspiring,Photography,Cinematography(nicely shot) -points-Length,Slow Pace,2nd half songs.",lakshya what movie,im kind guy who enjoys mindless action movies as well as movies that are intelligent sensitive thought provoking lakshya falls latter category promos were slick music sounded good but when i read box office report this movie i was surprised at lukewarm response this movie got because i thought this movie would be runaway hit however what can people like us do when such gifted film makers like farhan akhtar are discouraged because their movies dont spoon feed facts audience but all said done this is among my personal favourites im giving it 10 10 2004 has produced some mature intelligent movies like lakshya yuva hum tum swades etc im happy that film makers are growing up this movie inspired me lot has played role me realising truth that we should always have aim life because life without aim is like body minus soul points acting music background sound story tight screenplay inspiring photography cinematography nicely shot points length slow pace 2nd half songs,0.5303075396825397,0.2043650793650794,Positive,"{'Happy': 0.23, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.13, 'Fear': 0.29}"
9.0,A must watch movie and yet another masterpiece from Farhan Akhtar...,"The movie is all about having a LAKSHYA (aim) in our lives. It would'nt be inappropriate at all to comment that this film in one way points out at today's indecisive youth who are not clear about what they are going to do of their lives, and change their focus every now and then.The story is about Karan (Hrithik Roshan) who is very talented but utterly confused about his future. Rather his girlfriend Romila (Preity Zinta) has since the very beginning ambition of being a news channel correspondent. Karan's indecisiveness widens the gap between him and his father (Boman Irani) who expects nothing from his son and the same thing ultimately results in his breakup with Romila too. This changes Karan's life and he gets determined of getting in the army and passes out from the IMA (Indian Military Academy) with a very enviable record. At the same time Romila too becomes a successful news channel correspondent. But both of them don't know what their futures has in store for them. They meet again after the turmoil in Romila's life from a broken engagement and this time the backdrop is the picturesque Kashmir valley and the event being the Kargil war. Karan has been deputed there as an army officer and Preity comes for a live coverage of the war. The story now flows ahead with the attempt of Indian forces to get back peak no.5179 from the Pakistani forces and the intersection of Karan's and Romila's lives at many instances acting as the currents. The ending is predictable but yet you would love to watch it.The movie is yet another masterpiece from Farhan Akhtar,the Director after the tremendous success of ""Dil Chahta Hai"". This is also yet another testimony of Javed Akhtar's writing prowess. The lyrics and dialogues are superb. Moreover the choreography (Prabhu Deva) and photography (Christopher Popp) are worthy of praises. Hrithik Roshan gives another flawless performance after ""Koi Mil Gaya"". Another attraction is Colonel Sunil Damle (Amitabh Bachchan). Amitabh Bachchan gives those dialogues a beauty and charm which is so characteristic to himself. Preity Zinta is good in her role too. You can't pinpoint anybody or anything specifically as that would diminish other's efforts as all of them have performed commendably. The backdrop of Kashmir valley and the Himalayas has been so beautifully captured in the frame. Also the war scenes look so much authentic which is very tough job to do. The running time of the film is above 3 hours but you can't realize that ( you can't help it as you get fully engrossed in the film.....). Hrithik's dancing skills are unveiled so beautifully yet again. He can easily claim to have a rubber body--so flexible,so much in tune with the rhythm. Good music from Shankar-Ehsaan-Loy trio once again. Actually i could'nt think of any flaw in the movie as every aspect has been given it's due attention.I would claim it to be a must watch movie and rate it a hefty 8.5/10",must watch movie yet another masterpiece farhan akhtar,movie is all about having lakshya aim our lives it wouldnt be inappropriate at all comment that this film one way points out at todays indecisive youth who are not clear about what they are going do their lives change their focus every now then story is about karan hrithik roshan who is very talented but utterly confused about his future rather his girlfriend romila preity zinta has since very beginning ambition being news channel correspondent karans indecisiveness widens gap between him his father boman irani who expects nothing his son same thing ultimately results his breakup with romila too this changes karans life he gets determined getting army passes out ima indian military academy with very enviable record at same time romila too becomes successful news channel correspondent but both them dont know what their futures has store them they meet again after turmoil romilas life broken engagement this time backdrop is picturesque kashmir valley event being kargil war karan has been deputed there as army officer preity comes live coverage war story now flows ahead with attempt indian forces get back peak no 5179 pakistani forces intersection karans romilas lives at many instances acting as currents ending is predictable but yet you would love watch it movie is yet another masterpiece farhan akhtar director after tremendous success dil chahta hai this is also yet another testimony javed akhtars writing prowess lyrics dialogues are superb moreover choreography prabhu deva photography christopher popp are worthy praises hrithik roshan gives another flawless performance after koi mil gaya another attraction is colonel sunil damle amitabh bachchan amitabh bachchan gives those dialogues beauty charm which is so characteristic himself preity zinta is good her role too you cant pinpoint anybody or anything specifically as that would diminish others efforts as all them have performed commendably backdrop kashmir valley himalayas has been so beautifully captured frame also war scenes look so much authentic which is very tough job do running time film is above 3 hours but you cant realize that you cant help it as you get fully engrossed film hrithiks dancing skills are unveiled so beautifully yet again he can easily claim have rubber body so flexible so much tune with rhythm good music shankar ehsaan loy trio once again actually i couldnt think any flaw movie as every aspect has been given its due attention i would claim it be must watch movie rate it hefty 8 5 10,0.5323809523809524,0.24426118326118323,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.33, 'Sad': 0.06, 'Fear': 0.43}"
9.0,"Clean Unadulterated entertainment, Great performances","Lakshya is a very well made war, coming of age movie, which can compete with anything from the west.I personally, feel it ends two debates, other than the fact that it establishes Hrithik as the ultra star-great actor mould (la Kamal Hassan),a) Farhan Akhtar is the talent to watch for, A Mani Ratnam in the making for Hindi Cinemab) Prabhu Deva can hand over mantel of the best ever dancer on screen to Hrithik Roshan (you have to see to believe what happens on the screen in the song ""Main Asia kyun hoon"", which Prabhu Deva himself has choreographed).Just go and enjoy, this wonderful clean entertainer, which has great music and cinematography to complement the performances from the actors, and the skillful direction of Farhan AkhtarBadri",clean unadulterated entertainment great performances,lakshya is very well made war coming age movie which can compete with anything west i personally feel it ends two debates other than fact that it establishes hrithik as ultra star great actor mould la kamal hassan farhan akhtar is talent watch mani ratnam making hindi cinemab prabhu deva can hand over mantel best ever dancer screen hrithik roshan you have see believe what happens screen song main asia kyun hoon which prabhu deva himself has choreographed just go enjoy this wonderful clean entertainer which has great music cinematography complement performances actors skillful direction farhan akhtarbadri,0.5737179487179487,0.475,Positive,"{'Happy': 0.24, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.29}"
9.0,Lakshya is absolutely excellent: A Class Product from India!,"Absolutely fantastic. Hrithik Roshan is brilliantly understated in this coming-of-age epic. World-class production values and high father-son, soldier-soldier emotional content that's not forced (Like the overdone mess LOC). The war scenes were brilliant. People must remember, this film was NOT BASED ON KARGIL. Akhtar took the war as a backdrop to show Karan's transformation - his path from irresponsible and misguided childhood to manhood. This film was quite an experience. I just can't understand how this flopped (If grossing 22 Crores in India can be termed ""poor box office performance""). Man, my countrymen really take the cake. Garbage like Veer Zaara (Stunning locales, beautiful people, and amazing music, but overall POOR in terms of content) and Kal Ho Na Ho are lapped up by audiences, but Yuva and Lakshya are rejected completely. After Shah Rukh Khan murdered Asoka with his obsessive megalomania and J.P. Dutta took jingoism to an all-time low in LOC, Lakshya is an epic motion picture. Somewhat muted and subtle, but never EVER slight. Hrithik's a star.",lakshya is absolutely excellent class product india,absolutely fantastic hrithik roshan is brilliantly understated this coming age epic world class production values high father son soldier soldier emotional content thats not forced like overdone mess loc war scenes were brilliant people must remember this film was not based kargil akhtar took war as backdrop show karans transformation his path irresponsible misguided childhood manhood this film was quite experience i just cant understand how this flopped if grossing 22 crores india can be termed poor box office performance man my countrymen really take cake garbage like veer zaara stunning locales beautiful people amazing music but overall poor terms content kal ho na ho are lapped up by audiences but yuva lakshya are rejected completely after shah rukh khan murdered asoka with his obsessive megalomania j p dutta took jingoism all time low loc lakshya is epic motion picture somewhat muted subtle but never ever slight hrithiks star,0.5681746031746032,0.21357142857142855,Positive,"{'Happy': 0.13, 'Angry': 0.1, 'Surprise': 0.35, 'Sad': 0.16, 'Fear': 0.26}"
10.0,"Good story, well told","Enjoyable, good story, well told. Farhan Akhtar has done it again, after his first movie Dil Chahta Hai.Hrithik Roshan's character grows up from being a confused young lad to a man with a mission. Shades of An Officer and a Gentleman, Guns of Navarone, and a little of Saving Private Ryan.Shankar-Ehsaan-Loy have created more of their world music, and it rocks. The first two songs were fabulous; the other songs should be skipped, I thought.As in Dil Chahta Hai, the parents are all ultra-supportive. They also dress and decorate in expensive nouveau handlooms, rattan furniture, slip covers, etc. Boston Brahmin did a good review.Very nice and straightforward; none of the Hindu Family Values reactionary material that Bollywood routinely churns out.",good story well told,enjoyable good story well told farhan akhtar has done it again after his first movie dil chahta hai hrithik roshans character grows up being confused young lad man with mission shades officer gentleman guns navarone little saving private ryan shankar ehsaan loy have created more their world music it rocks first two songs were fabulous other songs should be skipped i thought as dil chahta hai parents are all ultra supportive they also dress decorate expensive nouveau handlooms rattan furniture slip covers etc boston brahmin did good review very nice straightforward none hindu family values reactionary material that bollywood routinely churns out,0.5877450980392157,0.2672058823529412,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.17, 'Fear': 0.28}"
8.0,Bang on Target! (Almost perfect ),"Farhan Akhtar has shown it once again! This man is amazingly creative and magical. His style is great and his efforts of making a movie which has something to be learnt from is fantastic. His movies are not just for entertainment, but also for inspiration. Lakshya is story of a boy who hasn't an aim, a LAKSHya in his life. He doesn't know what he wants to be or what he is good at. Karan Shergill played by Hrithik Roshan (a very sincere actor) is like any other person who wants to know what he wants to be. Inspired by his friend he applies for military school and joins it and then his journey of becoming a MAN from a BOY starts... Performances: Hrithik Roshan: Great performance, just awesome. This actor is the brightest actor in Bollywood today. His performance in KMG was highly appreciated and this performance is on par with his KMG act. Om Puri: great actor.. some of the really great dialogs were given to him.. He is a living legend. Amitabh Bachchan: Great performance, His eyes and silence in the movie say a lot more than words. Preity Zinta: good performance, the character wasn't well-sketched but still good efforts from her side in some of the scenes. Sushant Singh: This actor is superb, one more under-rated great performance of him after his awesome acting in TLOBS. Boman Irani: This man is good in everything. His telephone scene with Hrithik Roshan was great. One of the best scenes in the movie.Overall: A very well-made movie. Great acting by almost everyone in the cast. Great choreography, great cinematography and fantastic direction. Keep it up Hrithik, Farhan and Ritesh (the young producer) 9.5/10 Almost perfect",bang target almost perfect,farhan akhtar has shown it once again this man is amazingly creative magical his style is great his efforts making movie which has something be learnt is fantastic his movies are not just entertainment but also inspiration lakshya is story boy who hasnt aim lakshya his life he doesnt know what he wants be or what he is good at karan shergill played by hrithik roshan very sincere actor is like any other person who wants know what he wants be inspired by his friend he applies military school joins it then his journey becoming man boy starts performances hrithik roshan great performance just awesome this actor is brightest actor bollywood today his performance kmg was highly appreciated this performance is par with his kmg act om puri great actor some really great dialogs were given him he is living legend amitabh bachchan great performance his eyes silence movie say lot more than words preity zinta good performance character wasnt well sketched but still good efforts her side some scenes sushant singh this actor is superb one more under rated great performance him after his awesome acting tlobs boman irani this man is good everything his telephone scene with hrithik roshan was great one best scenes movie overall very well made movie great acting by almost everyone cast great choreography great cinematography fantastic direction keep it up hrithik farhan ritesh young producer 9 5 10 almost perfect,0.5916666666666666,0.5532051282051282,Positive,"{'Happy': 0.5, 'Angry': 0.03, 'Surprise': 0.15, 'Sad': 0.17, 'Fear': 0.15}"
,Lakshya - Landmark Indian Movie,"I found Lakshya to be a refreshing step up in the quality of Indian films. It depicted courage, loyalty and other exemplary values in an interesting storyline. The musical song-dance numbers were well done, and the background musical scores were also emotive. I found the cinematography really stood out in this movie as above par, showing off the scenic landscape of the mountainous Kargil region. Regarding krishnam's commentary, I really have to disagree. Firstly, it's silly and petulant to single out this movie for such criticisms while ignoring the glaring errors and inaccuracies typical of most other Indian movies. I feel it should be judged relative to Indian cinema in general, although it could even compare favorably with various Hollywood hits.I thought the director, composers and cast did a very good job, and hope this film becomes a benchmark for future Bollywood creations to be measured against.",lakshya landmark indian movie,i found lakshya be refreshing step up quality indian films it depicted courage loyalty other exemplary values interesting storyline musical song dance numbers were well done background musical scores were also emotive i found cinematography really stood out this movie as above par showing off scenic landscape mountainous kargil region regarding krishnams commentary i really have disagree firstly its silly petulant single out this movie such criticisms while ignoring glaring errors inaccuracies typical most other indian movies i feel it should be judged relative indian cinema general although it could even compare favorably with various hollywood hits i thought director composers cast did very good job hope this film becomes benchmark future bollywood creations be measured against,0.37888095238095243,0.10609523809523809,Positive,"{'Happy': 0.27, 'Angry': 0.09, 'Surprise': 0.18, 'Sad': 0.09, 'Fear': 0.36}"
9.0,Farhan is a very promising film maker,"One of the best Hindi films i have ever seen. I have never heard background music like that in any other Hindi film, at least in the last decade. The special effects in the rock climbing scene were done very well. Farhan has proved to be a good film maker by making two completely different sorts of films and made them both beautifully. The shots were like paintings and everything looked authentic and real, like the uniforms and the helicopters and the camps fitted perfectly with the surroundings and the imagination of it all as a whole is just amazing. Farhan to me is a very promising film maker. Hritiks acting was outstanding, except for a little over acting in the beginning. Overall i must say that i know i can expect great things from farhan and from Hritik. Good luck! and Congratulations!",farhan is very promising film maker,one best hindi films i have ever seen i have never heard background music like that any other hindi film at least last decade special effects rock climbing scene were done very well farhan has proved be good film maker by making two completely different sorts films made them both beautifully shots were like paintings everything looked authentic real like uniforms helicopters camps fitted perfectly with surroundings imagination it all as whole is just amazing farhan me is very promising film maker hritiks acting was outstanding except little over acting beginning overall i must say that i know i can expect great things farhan hritik good luck congratulations,0.5038302277432712,0.3267236024844721,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.25, 'Fear': 0.17}"
10.0,Lakshya: Must watch movie.,"Before watching this movie, I thought it is some indo-pak war film. But after watching it became one of my personal favorite. Lakshya is absolutely fantastic. The movie has a very good story and the director has done a very good job. Priety and Rhitik acted magnificently. The songs are very melodious and really make sense to the movie. The movies is picturized brilliantly with the optimum use of special effects. Few scenes from Kargil are truly breathtaking. Its a family entertainer which has everything for everyone. You got to be either a fool or a pro-pakistani to hate this movie. I am rating it as 10 out 10, because it deserves that. I wish to see more movies like this in future.",lakshya must watch movie,before watching this movie i thought it is some indo pak war film but after watching it became one my personal favorite lakshya is absolutely fantastic movie has very good story director has done very good job priety rhitik acted magnificently songs are very melodious really make sense movie movies is picturized brilliantly with optimum use special effects few scenes kargil are truly breathtaking its family entertainer which has everything everyone you got be either fool or pro pakistani hate this movie i am rating it as 10 out 10 because it deserves that i wish see more movies like this future,0.6472767857142857,0.4110714285714286,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.47, 'Sad': 0.16, 'Fear': 0.16}"
10.0,Cinematographic Excellence!,"Farhan Akhtar (Dil Chahta Hai) outdoes himself on his sophomore directorial effort the lesser successful Lakshya, which deals with a young man coming of age and trying to find himself in the world. The ever charming Hrithik Roshan plays Karan Shergill, a preppy happy-go-lucky slacker who is just comfortable going to school, hanging out with his best buddy Romila Dutta (Preity Zinta sporting really bad hair in the first half of the film) and just taking it easy in his parents house. Everything is fine until one day, his father begins to pressure and pester him about what he intends to do with his life, then he compares him to his brother who lives and works abroad which brings down Karan's spirit. He (Karan) tries to seek comfort with Romila but in the long run, she stands up to him as well and tells him that if he doesn't give up his slacker ways, she cannot continue to hangout with him. Most of this is told in flashback, as present day Karan (in a quest to prove himself to all of him friends and loved ones) has already joined the army and is about embark on a very dangerous journey to secure the Indian perimeter and get rid of Pakistani terrorists. Romila is the reason for most of the flashbacks, as her present day self is now a famed reporter and is engaged to somebody else. The chemistry between Zinta and Hrithik is as solid as it has been, which is probably why they have starred in so many films together. Every song and piece of music in this film is great, especially the song and dance between Karan and Romila, and not to mention that knockout 'Main Aisa Kyu Hoon.' Amitabh Bachchan, Om Puri, Sharad Kapoor, Amrish Puri (in a very special appearance) among others, round out the stellar cast in strong supporting roles. It's a great film and cinematographically stunning! India should have been proud but instead, the movie was ignored at the box office.",cinematographic excellence,farhan akhtar dil chahta hai outdoes himself his sophomore directorial effort lesser successful lakshya which deals with young man coming age trying find himself world ever charming hrithik roshan plays karan shergill preppy happy go lucky slacker who is just comfortable going school hanging out with his best buddy romila dutta preity zinta sporting really bad hair first half film just taking it easy his parents house everything is fine until one day his father begins pressure pester him about what he intends do with his life then he compares him his brother who lives works abroad which brings down karans spirit he karan tries seek comfort with romila but long run she stands up him as well tells him that if he doesnt give up his slacker ways she cannot continue hangout with him most this is told flashback as present day karan quest prove himself all him friends loved ones has already joined army is about embark very dangerous journey secure indian perimeter get rid pakistani terrorists romila is reason most flashbacks as her present day self is now famed reporter is engaged somebody else chemistry between zinta hrithik is as solid as it has been which is probably why they have starred so many films together every song piece music this film is great especially song dance between karan romila not mention that knockout main aisa kyu hoon amitabh bachchan om puri sharad kapoor amrish puri very special appearance among others round out stellar cast strong supporting roles its great film cinematographically stunning india should have been proud but instead movie was ignored at box office,0.5717151675485009,0.2804276895943563,Positive,"{'Happy': 0.25, 'Angry': 0.02, 'Surprise': 0.2, 'Sad': 0.16, 'Fear': 0.38}"
