Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
6,"Straight forward plot, but still an enjoyable movie...","Well, while the 2022 crime thriller ""Last Seen Alive"" is hardly rocket science or a movie that particularly revolutionized the genre, then it was actually still rather enjoyable.Sure, ""Last Seen Alive"" was pretty generic and straight forward, even for a movie of this genre. But writer Marc Frydman still managed to churn out a storyline and script that was interesting, enjoyable and entertaining in the good old fashioned way that a movie should be entertaining.No secret about the fact that I sat down to watch ""Last Seen Alive"" because it had Gerard Butler on the cast list, and yeah he did carry the movie rather well with his performance. I will say that his performance was actually one that showed realism and a human touch to it, making it all the more realistic.This wasn't a movie that bolstered a lot of high profile actors and actresses. But the movie does manage to show that you don't need actors and actresses paid laughably-insane-amounts of money per movie to be an enjoyable one. The actors and actresses in this movie all put on good and realistic performances, carrying the movie rather nicely.If you enjoy crime thrillers then ""Last Seen Alive"" is worth taking the time to watch. I was actually genuinely entertained by the movie from start to end.My rating of director Brian Goodman's ""Last Seen Alive"" lands on a six out of ten stars.",straight forward plot but still enjoyable movie,well while 2022 crime thriller last seen alive is hardly rocket science or movie that particularly revolutionized genre then it was actually still rather enjoyable sure last seen alive was pretty generic straight forward even movie this genre but writer marc frydman still managed churn out storyline script that was interesting enjoyable entertaining good old fashioned way that movie should be entertaining no secret about fact that i sat down watch last seen alive because it had gerard butler cast list yeah he did carry movie rather well with his performance i will say that his performance was actually one that showed realism human touch it making it all more realistic this wasnt movie that bolstered lot high profile actors actresses but movie does manage show that you dont need actors actresses paid laughably insane amounts money per movie be enjoyable one actors actresses this movie all put good realistic performances carrying movie rather nicely if you enjoy crime thrillers then last seen alive is worth taking time watch i was actually genuinely entertained by movie start end my rating director brian goodmans last seen alive lands six out ten stars,0.42125661375661366,0.1967328042328042,Positive,"{'Happy': 0.26, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.2, 'Fear': 0.26}"
6,Low-Budget Butler?,"The way this movie was shot felt low-budget. Not that it was not entertaining, it was but it just felt like a b- movie. Gerard is always at his best and he was a bad-ass in this movie. Everyone else their acting felt a bit forced except for the wife she was good. Do not expect magic going into this movie but it was at least half good, so there was that I guess. Good for a one time watch, I hope Butler steps up his game and works with a REAL director next time. He is WAY too good for a movie like this!",low budget butler,way this movie was shot felt low budget not that it was not entertaining it was but it just felt like b movie gerard is always at his best he was bad ass this movie everyone else their acting felt bit forced except wife she was good do not expect magic going into this movie but it was at least half good so there was that i guess good one time watch i hope butler steps up his game works with real director next time he is way too good movie like this,0.41960784313725497,0.14019607843137255,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.36, 'Fear': 0.18}"
5,Been done before and been done better,"Average thriller about a man whose wife disappears at a gas station and he starts looking for her . The film is a bit similar to Taken , Gone Girl , The Vanishing and Breakdown. Sadly it's not as good as any or them . Gerard Butler is okay as the husband in search of his missing wife. (who isn't a likeable character) Luckily the film isn't too long ., The film didn't get much publicity and I can see why.,",been done before been done better,average thriller about man whose wife disappears at gas station he starts looking her film is bit similar taken gone girl vanishing breakdown sadly its not as good as any or them gerard butler is okay as husband search his missing wife who isnt likeable character luckily film isnt too long film didnt get much publicity i can see why,0.4883333333333334,0.1333333333333333,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.09, 'Fear': 0.36}"
7,Entertaining thriller,"I love these movies that Gerard Butler makes now. I'm never gonna complain about him running around kicking butt and being the hero of the piece.I loved the pacing in this one. After all the excessively long movies being released lately it was nice to see a 90 minute movie at the cinema. It felt like it just flew by. Plenty of action and tension which meant it never dragged or had any unnecessary scenes.The sound and score were also fantastic. It's worth seeing at the movies just for that.I just really like movies that know their movies, and Last Seen Alive definitely fits into that category.It's an easy, enjoyable watch which does exactly what a movie is supposed to do: it entertains.",entertaining thriller,i love these movies that gerard butler makes now im never gonna complain about him running around kicking butt being hero piece i loved pacing this one after all excessively long movies being released lately it was nice see 90 minute movie at cinema it felt like it just flew by plenty action tension which meant it never dragged or had any unnecessary scenes sound score were also fantastic its worth seeing at movies just that i just really like movies that know their movies last seen alive definitely fits into that category its easy enjoyable watch which does exactly what movie is supposed do it entertains,0.5194444444444444,0.2351851851851852,Positive,"{'Happy': 0.3, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.15, 'Fear': 0.3}"
6,Basic but effective thriller,Ok so this is obviously a total ripoff of the superlative film The Vanishing (1993) with Kiefer Sutherland and Sandra Bullock which is one of my all time favourite thrillers so this is obviously never going to compete.The story is very basic and I was hoping for a true to life ending but no they had to go and give us the usual Hollywood ending instead of brutal reality.The film is mainly carried on the shoulders of Gerard Butler and the excellent Russell Hornsby as without them it would have just fallen into the category of a Lifetime Wet Sunday afternoon movie. Even so it is as basic as a plot can get but with good acting and some decent direction it lifts it above your usual mundane thriller so gets an above average 6/10.,basic but effective thriller,ok so this is obviously total ripoff superlative film vanishing 1993 with kiefer sutherland sandra bullock which is one my all time favourite thrillers so this is obviously never going compete story is very basic i was hoping true life ending but no they had go give us usual hollywood ending instead brutal reality film is mainly carried shoulders gerard butler excellent russell hornsby as without them it would have just fallen into category lifetime wet sunday afternoon movie even so it is as basic as plot can get but with good acting some decent direction it lifts it above your usual mundane thriller so gets above average 6 10,0.4228174603174602,0.08055555555555556,Positive,"{'Happy': 0.23, 'Angry': 0.08, 'Surprise': 0.08, 'Sad': 0.0, 'Fear': 0.62}"
6,Decent film for a quiet night,Gerard Butler is quite good. His real accent slips out and it makes him more real. He's also not mr super warrior which is unusual and pleasant. Jaimie Alexander is hardly in the film and that's ok because the character is tiresome. The detective is well played but the rest of the supporting cast are really just there.Cinematography is ok. It drags at the start and so feels much longer than it actually is which is not a good thing. My biggest frustration is the colour work which is very greenish and flat. Personally I find it off putting.I would have liked it more with different LUTS and more of Butler's actual accent.,decent film quiet night,gerard butler is quite good his real accent slips out it makes him more real hes also not mr super warrior which is unusual pleasant jaimie alexander is hardly film thats ok because character is tiresome detective is well played but rest supporting cast are really just there cinematography is ok it drags at start so feels much longer than it actually is which is not good thing my biggest frustration is colour work which is very greenish flat personally i find it off putting i would have liked it more with different luts more butlers actual accent,0.47884615384615387,0.2044871794871795,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.25}"
6,Wasn't so bad,"Pretty standard kidnapping movie, which was kind of like a rough version of taken. The acting and thrill was rather decent, the plot however was a bit lacking as the story is a bit short well as the ending is a little let down. One cgi scene was terrible that looked like it was done by students. It should deserve a better rating if it had ended with better twist and intensity, 5.7 is a little underrated this movie deserves a 6.",wasnt so bad,pretty standard kidnapping movie which was kind like rough version taken acting thrill was rather decent plot however was bit lacking as story is bit short well as ending is little let down one cgi scene was terrible that looked like it was done by students it should deserve better rating if it had ended with better twist intensity 5 7 is little underrated this movie deserves 6,0.5158730158730158,-0.02242063492063492,Negative,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.35, 'Sad': 0.18, 'Fear': 0.29}"
4,A Day in the Life of...,"Frantically chasing a lost wife who's disappeared, poor old Will can't make his mind up if he's Scottish or just weird, though you'll soon come to realise that this is just a cunning ploy, to irritate, provoke and needle, even to annoy.Love a bit of Butler at his best, sadly, on this occasion, it isn't the case.",day life,frantically chasing lost wife whos disappeared poor old will cant make his mind up if hes scottish or just weird though youll soon come realise that this is just cunning ploy irritate provoke needle even annoy love bit butler at his best sadly this occasion it isnt case,0.6285714285714287,0.028571428571428564,Positive,"{'Happy': 0.15, 'Angry': 0.23, 'Surprise': 0.15, 'Sad': 0.31, 'Fear': 0.15}"
7,"She needed a break, and she gets a break.","The message of the movie is: beautiful women are hard to understand at times.The story is not spectacular, but it totally gets the job done to generate nonstop tension. There is not a single boring minute in that movie.Good actors, and screenplay. All in all a very entertaining thriller.",she needed break she gets break,message movie is beautiful women are hard understand at times story is not spectacular but it totally gets job done generate nonstop tension there is not single boring minute that movie good actors screenplay all all very entertaining thriller,0.7394940476190477,0.08050595238095239,Positive,"{'Happy': 0.29, 'Angry': 0.14, 'Surprise': 0.29, 'Sad': 0.14, 'Fear': 0.14}"
4,Last Seen Alive,"Taken, The Vanishing, Frantic and Breakdown are inspirations for Gerard Butler witless underpowered action thriller.Will Spann (Butler) is a property developer who has hit a rough patch in his marriage with wife Lisa.While taking to her parents house, he stops at a gas station and she disappears, believed to be abducted while Will was talking to someone on the phone.The police led by Detective Paterson (Russell Hornsby) is sceptical of Will at first and so are her parents.Will decides to conduct his own search, his way. One lead is a CCTV image of someone his wife might have been familiar with.The picture opens with a flashforward that robs the movie of suspense. The movie has too many plot holes and absurd situations.Butler plays an everyman who has to descend into violence in order to find his wife. It is Hornsby who comes off best.",last seen alive,taken vanishing frantic breakdown are inspirations gerard butler witless underpowered action thriller will spann butler is property developer who has hit rough patch his marriage with wife lisa while taking her parents house he stops at gas station she disappears believed be abducted while will was talking someone phone police led by detective paterson russell hornsby is sceptical will at first so are her parents will decides conduct his own search his way one lead is cctv image someone his wife might have been familiar with picture opens with flashforward that robs movie suspense movie has too many plot holes absurd situations butler plays everyman who has descend into violence order find his wife it is hornsby who comes off best,0.45999999999999996,0.2325,Positive,"{'Happy': 0.0, 'Angry': 0.11, 'Surprise': 0.28, 'Sad': 0.17, 'Fear': 0.44}"
