Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1,Worst film of 2020,Stupidest movie ... no story.. poor acting.. poor jokes,worst film 2020,stupidest movie no story poor acting poor jokes,0.55,-0.44999999999999996,Negative,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1,Worst movie ever,I suggest you save some time of your life and ignore this movie. Rubbish.,worst movie ever,i suggest you save some time your life ignore this movie rubbish,1.0,-1.0,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
1,Waste of time,Original movie is far better than this.plz don't waste ur precious time on this propaganda movie,waste time,original movie is far better than this plz dont waste ur precious time this propaganda movie,0.4785714285714286,0.1392857142857143,Positive,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
1,Boring and stupid acting,"I guess it is 2nd worst movie after Sadak. No Story, Senseless timing of senseless songs. Stupid acting. Message to Laxmii team- Nakal ke lye bhi akal chaiye hota hai.",boring stupid acting,i guess it is 2nd worst movie after sadak no story senseless timing senseless songs stupid acting message laxmii team nakal ke lye bhi akal chaiye hota hai,0.5714285714285714,-0.5142857142857142,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.67, 'Fear': 0.0}"
1,Pure torture,2 hours 20 mins of pure torture ... this has to be the worst movie of my life time .. please avoid this movie,pure torture,2 hours 20 mins pure torture this has be worst movie my life time please avoid this movie,0.6666666666666666,-0.19047619047619047,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}"
1,"Copy-paste, no creativity",Typical copy paste movie. No creativity. Bollywood quality all time low.,copy paste no creativity,typical copy paste movie no creativity bollywood quality all time low,0.4,-0.08333333333333333,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1,Worst movie of the year,This is one of the worst movie of the year. Akshay Kumar pls retire from acting and go back to Canada,worst movie year,this is one worst movie year akshay kumar pls retire acting go back canada,0.5,-0.5,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1,"Backwass Movie, Don't waste your Precious Time.","Acting Below average, Story Below average, Song Good, Cinematography Poor.... ""Overall Full Paisa barbad"".",backwass movie dont waste your precious time,acting below average story below average song good cinematography poor overall full paisa barbad,0.39444444444444443,0.07222222222222222,Positive,"{'Happy': 0.25, 'Angry': 0.25, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
1,Totally wrost,The producers makes the worst movie of 2020 ... .. kanchana ji 10 times better than laxmiii,totally wrost,producers makes worst movie 2020 kanchana ji 10 times better than laxmiii,0.75,-0.16666666666666666,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.5, 'Fear': 0.25}"
2,another creative copy work by Bollywood,The actual movie was far better than this xerox copy. unnecessary songs,another creative copy work by bollywood,actual movie was far better than this xerox copy unnecessary songs,0.7,0.14,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.75}"
1,Copy and paste,Why Hindi actors always choose scripts from south indian hit movies. And change lot of good things. Third rated people. No match to the original. My head is paining severely after watching this movie :(,copy paste,why hindi actors always choose scripts south indian hit movies change lot good things third rated people no match original my head is paining severely after watching this movie,0.45,0.35833333333333334,Positive,"{'Happy': 0.14, 'Angry': 0.14, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.14}"
1,Copy movie from south and hinduphobic movie,This the copy from south and worth remake of original movie and this movie showing Muslim man married with hindu girl and making fun of hindus gid and goddesses. And promoting love-jihad.,copy movie south hinduphobic movie,this copy south worth remake original movie this movie showing muslim man married with hindu girl making fun hindus gid goddesses promoting love jihad,0.38,0.34500000000000003,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
1,Atleast copy properly,Southern make was much better.Kindly copy properly,atleast copy properly,southern make was much better kindly copy properly,0.375,0.275,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.0}"
1,Waste,"Very bad , total time waste, Akshay Kumar needs to do some good movies not this types of waste and worthless movies",waste,very bad total time waste akshay kumar needs do some good movies not this types waste worthless movies,0.44523809523809527,-0.22999999999999998,Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.33}"
1,Stop copying,Why should one watch copied movies when one can see original one...... bollywood is no more creative......just getting benifits of hindi speaking audience population benefits......,stop copying,why should one watch copied movies when one can see original one bollywood is no more creative just getting benifits hindi speaking audience population benefits,0.75,0.20833333333333334,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}"
1,Bakwaas Movie,"This is a snoozefest, overacting. Avoid this one if you can.",bakwaas movie,this is snoozefest overacting avoid this one if you can,0.0,0.0,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1,Don't waste your valuable time,Just Don't waste your time and money for this nonsense,dont waste your valuable time,just dont waste your time money this nonsense,0.0,-0.2,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1,Total waste of time,Bakwas movie and total waste of time... Boycott all bollywood movies. Nothing in this film only copy past of south Indian movies.,total waste time,bakwas movie total waste time boycott all bollywood movies nothing this film only copy past south indian movies,0.4583333333333333,-0.10833333333333334,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
