Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,Bollywood's First of its kind.......Perfection Personified,"Aha..Finally Bollywood has a full fledged sports movie.This one is certainly worth a watch for every movie lover.This is a very well made movie with nothing unnecessary being added.Being an SRK fan I love to see him in all sorts of roles but these are the ones which bring the real actor out of him, Swades being another example.Role of a coach is perfectly portrayed by SRK.He is the most energetic actor around and he has put it all into it.The story of this movie moves very subtly and augments the excitement every next second.For a country like India with its national game as hockey this movie was long due.Finally, when it has arrived,it hasn't disappointed.It has also indirectly displayed the crippled Indian sports system which needs much improvement.Lets hope concerned people learn something from it.This movie can really do wonders for the next generation of aspiring hockey players.CDI is entertaining,insightful,inspiring and yet very simple which is its greatness.This movie succeeds in bringing out tears and giggles and also lets the adrenaline flow in full pace.The cinematography and editing are equally good.They succeeded in capturing each moment with its complete emotion.The director has treated the subject extremely well and has brought 100% from all the new actors.The character selection was spot on too. SRK and all others rocked!!!! All in all 10/10. Nothing less for this one!",bollywoods first its kind perfection personified,aha finally bollywood has full fledged sports movie this one is certainly worth watch every movie lover this is very well made movie with nothing unnecessary being added being srk fan i love see him all sorts roles but these are ones which bring real actor out him swades being another example role coach is perfectly portrayed by srk he is most energetic actor around he has put it all into it story this movie moves very subtly augments excitement every next second country like india with its national game as hockey this movie was long due finally when it has arrived it hasnt disappointed it has also indirectly displayed crippled indian sports system which needs much improvement lets hope concerned people learn something it this movie can really do wonders next generation aspiring hockey players cdi is entertaining insightful inspiring yet very simple which is its greatness this movie succeeds bringing out tears giggles also lets adrenaline flow full pace cinematography editing are equally good they succeeded capturing each moment with its complete emotion director has treated subject extremely well has brought 100 all new actors character selection was spot too srk all others rocked all all 10 10 nothing less this one,0.4890342500636618,0.15204991087344027,Positive,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.19, 'Sad': 0.33, 'Fear': 0.31}"
8.0,"A full cup, a nice surprise from SRK & YRF","Having originally planned to both not see Chak De and also to hate it, I went to see the first show and I now love it very much!!Two nights ago I saw Kal Ho Naa Ho for the 100th time. I found it beautiful, as always, but also realized it never makes me want to cry. Chak De!, on the other hand, is relatively ""plain"" to look at, and understated (at least for Bollywood), and I felt that wonderful emotional brimming-up-but-not-quite-over time and again throughout the story.The whole thing about this team of girls from all over India who have to be made into a team really works - you get to know enough about several girls to have a secure sense of the essence of each -- the one with the bad temper, the one whose husband wants her to come home and cook, the senior player who resents the new coach's control, the ones who are out for themselves -- and the problem each presents in relation to SRK's task of making a team out of a collection of individuals Of course this is any coach's job, but I like the moral resonance with the sad back-story of Shah Rukh Khan's character. Kabir Khan, like the real Indian player on whom the story is based, is an Indian Muslim. He was unjustly accused of throwing a match to Pakistan, and lost his career. A team where all have the identity ""India"" is an actual team; implicitly I think a country with the identity ""India"" doesn't engage in persecutory projection and hatred toward a member perceived as ""other.""A note about the photography, I like the use of a dusty tone for the first half of the movie, and then a much brighter color skin for the second half, when we leave India and practice fields and go to Australia. The girls' exposure to the bigness and luxury of the west was handled so nicely - we're given their pleasure in all that's new to their eyes--giant swimming pools, exercise machinery, lavish hotel buffets -- but in passing: the Bollywood Visual Excess machine is not in operation, and the shed has several locks on the door. At some official function, we get to see them all in saris and a bit of makeup, but here too it's all under control, they're all dressed alike and half of them hate it.Shah Rukh is great. There is no sentimentality in the movie and his character is restrained. The music -- no ""songs"" -- is varied and good -- if I could do without the rap music (for life!!), I loved the Sufi refrain that turns up over and over, that seems to express SRK's character's anguish in separation, longing for reunion (with God).I've always felt that sadness was quite nearby for Shah Rukh -- here he neither conceals nor dramatizes it, he just lets us feel it. On a more mundane note, though I love Shah Rukh in all his Karan-Johar-selected beautiful clothes, I found it relaxing to see him in a small number of normal coach's costumes, shirts, khakis, and blazers that appropriately looked bought off the racks in Macy's.The movie really never hits a wrong note. It's also just wonderful in its feminist position. Generally speaking I feel just boredom and agitation at movie violence; in this one, when the girls beat up boys who'd been harassing them, I felt joy.",full cup nice surprise srk yrf,having originally planned both not see chak de also hate it i went see first show i now love it very much two nights ago i saw kal ho naa ho 100th time i found it beautiful as always but also realized it never makes me want cry chak de other hand is relatively plain look at understated at least bollywood i felt that wonderful emotional brimming up but not quite over time again throughout story whole thing about this team girls all over india who have be made into team really works you get know enough about several girls have secure sense essence each one with bad temper one whose husband wants her come home cook senior player who resents new coachs control ones who are out themselves problem each presents relation srks task making team out collection individuals course this is any coachs job but i like moral resonance with sad back story shah rukh khans character kabir khan like real indian player whom story is based is indian muslim he was unjustly accused throwing match pakistan lost his career team where all have identity india is actual team implicitly i think country with identity india doesnt engage persecutory projection hatred toward member perceived as other note about photography i like use dusty tone first half movie then much brighter color skin second half when we leave india practice fields go australia girls exposure bigness luxury west was handled so nicely were given their pleasure all thats new their eyes giant swimming pools exercise machinery lavish hotel buffets but passing bollywood visual excess machine is not operation shed has several locks door at some official function we get see them all saris bit makeup but here too its all under control theyre all dressed alike half them hate it shah rukh is great there is no sentimentality movie his character is restrained music no songs is varied good if i could do without rap music life i loved sufi refrain that turns up over over that seems express srks characters anguish separation longing reunion with god ive always felt that sadness was quite nearby shah rukh here he neither conceals nor dramatizes it he just lets us feel it more mundane note though i love shah rukh all his karan johar selected beautiful clothes i found it relaxing see him small number normal coachs costumes shirts khakis blazers that appropriately looked bought off racks macys movie really never hits wrong note its also just wonderful its feminist position generally speaking i feel just boredom agitation at movie violence this one when girls beat up boys whod been harassing them i felt joy,0.4886587957497047,0.14139590712317987,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.21, 'Sad': 0.33, 'Fear': 0.31}"
10.0,"Lots of goosebumps, adrenaline rush and hot Segarika Ghatge","What's in a name? Although initially this movie drew some amount of controversy outside India among viewers of non-Indian origin, the final movie just falsifies all those who advocated that the title ""Chak De! India"" was non-representative and was supposed to mean to only a niche of moviegoers. This movie would've been just what it is no matter what is was called or which country made it. Director Shimit Amin's entry in YRF simply transforms the entire perspective of movie-making and movie watching, both for the production house and the viewers.Generally, you enter the theatre for a Yashraj movie expecting foreign locales, lots of song and dance, impossible and unbelievable characters, poor storyline, bad performances and a helluva investment but this movie delivers what no other Yashraj film ever did. Initially a sports movie, Chak De is rather a story of hope, courage, unity, integrity and the dreams. This film finally proves that you don't need Preity or Rani opposite SRK, and he all by himself, with a great screenwriter, great director and a good cast of the hockey team can make a great movie. There are lots of heroes in the movie - the women's team and these ladies simply steal the show. Mainly Bindiya, Balbir, Priya (the hot chic) and Komal.See it gets very hard when there is an incredible amount of character development to do. There is a ghost that follows Kabir throughout the film and writer Jaideep Sahani makes a very good use of it. I do admit the fact that he's watched an incredible amount of Hollywood sports flick to develop this script, but he adds his very homely formulas and successfully manages to retain this film as an original Indian movie. Some parts of the film are directly lifted like the part of Kabir's ghost and few of the women, but all in all I refuse to say this is a Hollywood copy.All in all, this is the best summer Hindi movie I've watched so far, not because it's got SRK but I love the script, the witty one-liners where sometimes with double meanings, every girl with her story (but I feel at most points the characters don't fully grow), well coordinated game sequences (though the practise scenes may bore you because there are a LOT), and above all the message the film delivers - when united, there's nothing you can't win over. The message is pretty well conveyed. You feel the adrenaline rush through the World Cup matches, a lot of goosebumps thanks to the great scoring by the Salim Sulaiman duo, well crafted script and good direction. Shimit's work is original contrary to the reservations I carried for him being a product of Ram Gopal Verma's school of direction.SRK, as usual is great with his acting (and beard,) Vidya Malvade is the overly publicised captain but unfortunately other girls outdo her, the Jharkhand girls provide a dimension against contrasting Bindya and her queen bees. Segarika Ghatge's character Priya Saberwal is most memorable for her looks, style and for being hot and everything. The North East girls do answer some of vital questions of the North East Indians about their existence in their country as foreigners. The class conflict, egoistic chicks and their attitude problem and stuffs are absolutely well portrayed in the film.All in all a well worth. Requires basic knowledge and enthusiasm in hockey. But avoid if you're looking for SRK as the lover-boy - he's the tough coach.",lots goosebumps adrenaline rush hot segarika ghatge,whats name although initially this movie drew some amount controversy outside india among viewers non indian origin final movie just falsifies all those who advocated that title chak de india was non representative was supposed mean only niche moviegoers this movie wouldve been just what it is no matter what is was called or which country made it director shimit amins entry yrf simply transforms entire perspective movie making movie watching both production house viewers generally you enter theatre yashraj movie expecting foreign locales lots song dance impossible unbelievable characters poor storyline bad performances helluva investment but this movie delivers what no other yashraj film ever did initially sports movie chak de is rather story hope courage unity integrity dreams this film finally proves that you dont need preity or rani opposite srk he all by himself with great screenwriter great director good cast hockey team can make great movie there are lots heroes movie womens team these ladies simply steal show mainly bindiya balbir priya hot chic komal see it gets very hard when there is incredible amount character development do there is ghost that follows kabir throughout film writer jaideep sahani makes very good use it i do admit fact that hes watched incredible amount hollywood sports flick develop this script but he adds his very homely formulas successfully manages retain this film as original indian movie some parts film are directly lifted like part kabirs ghost few women but all all i refuse say this is hollywood copy all all this is best summer hindi movie ive watched so far not because its got srk but i love script witty one liners where sometimes with double meanings every girl with her story but i feel at most points characters dont fully grow well coordinated game sequences though practise scenes may bore you because there are lot above all message film delivers when united theres nothing you cant win over message is pretty well conveyed you feel adrenaline rush through world cup matches lot goosebumps thanks great scoring by salim sulaiman duo well crafted script good direction shimits work is original contrary reservations i carried him being product ram gopal vermas school direction srk as usual is great with his acting beard vidya malvade is overly publicised captain but unfortunately other girls outdo her jharkhand girls provide dimension against contrasting bindya her queen bees segarika ghatges character priya saberwal is most memorable her looks style being hot everything north east girls do answer some vital questions north east indians about their existence their country as foreigners class conflict egoistic chicks their attitude problem stuffs are absolutely well portrayed film all all well worth requires basic knowledge enthusiasm hockey but avoid if youre looking srk as lover boy hes tough coach,0.5523653395784545,0.1916712204007286,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.18, 'Sad': 0.24, 'Fear': 0.35}"
8.0,Very enjoyable movie with an excellent ensemble cast,"I have always loved good melodramatic underdog sports movies such as Remember the Titans,Invincible etc and now we have the bollywood version with Chak De India.Hats off to the production team and the director for coming out with a fresh and very high quality product with excellently filmed hockey scenes that are quite realistic. I loved the wonderful cast of unknown girls who make up the Indian national women's hockey team. All of them had a part to play and they played them beautifully while executing some rigorous hockey action. They were excellent and gave wonderfully natural performances that should shame some of the already established actresses. Special mention should be given to the actress playing Bindya Naik. My favourite was the actress who played the spirited but pint sized forward from Haryana, she was really cute and funny in a tomboyish sort of way.Shahrukh Khan was excellent in this movie..... his best performance since Swades in my opinion as he played against type. Had some wonderful moments with the girls and drew lots of cheers and laughs from the audience. If the movie succeeds then a lot of the credit has to go the King khan's crowd pulling power.If this film succeeds and I sincerely hope it does, I think Amin (director) and Yashraj films are going to start a whole new trend a la DDLJ with a whole slew of sports related movies coming from Bollywood. I am sure cricket will be next on the agenda.A thoroughly enjoyable ride....go watch it.P.S. - some interesting trailers shown as well Laga Chunari Main Daag, Aaja Nachle and Goal (the Indian bend it like beckham maybe?)",very enjoyable movie with excellent ensemble cast,i have always loved good melodramatic underdog sports movies such as remember titans invincible etc now we have bollywood version with chak de india hats off production team director coming out with fresh very high quality product with excellently filmed hockey scenes that are quite realistic i loved wonderful cast unknown girls who make up indian national womens hockey team all them had part play they played them beautifully while executing some rigorous hockey action they were excellent gave wonderfully natural performances that should shame some already established actresses special mention should be given actress playing bindya naik my favourite was actress who played spirited but pint sized forward haryana she was really cute funny tomboyish sort way shahrukh khan was excellent this movie his best performance since swades my opinion as he played against type had some wonderful moments with girls drew lots cheers laughs audience if movie succeeds then lot credit has go king khans crowd pulling power if this film succeeds i sincerely hope it does i think amin director yashraj films are going start whole new trend la ddlj with whole slew sports related movies coming bollywood i am sure cricket will be next agenda thoroughly enjoyable ride go watch it p s some interesting trailers shown as well laga chunari main daag aaja nachle goal indian bend it like beckham maybe,0.6189579880437023,0.4881382807668522,Positive,"{'Happy': 0.24, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.1, 'Fear': 0.37}"
8.0,well done Shahrukh!!!!!!!,"As Shahrukh khan is trying do work in different type of movies than he has done till now(mostly romantic) he makes an attempt at the sports genre and delivers yet another brilliant performance.The story is of the Indian women hockey team which because of its poor performance and lack of sponsors is unable to find a good coach.Kabir Khan (Shahrukh Khan ) a former national hockey team player steps in to take the responsibility of the new coach .The rest of the movie shows how he takes Indian women hockey team to a new hight and how he regains his lost dignity The plot of the movie is linear and predictable without any twist or surprises, in fact it is quality of direction and acting by Shahrukh khan ( well supported by the rest of the cast),which sucks you in the movie and does not let you get bored. Music of the movie is good including the title song which is quite inspirational.It has to be said that good level of effort has been put into every part of the movie whether it is casting or hockey(matches)choreography (which is acceptable).Although the winning streak of the team at the world cup may seem to an extent unrealistic but overall Chak De India can be said as an entertaining and inspirational movie and is a must watch for every Shah Rukh Khan fan and critic for his brilliant performance.",well done shahrukh,as shahrukh khan is trying do work different type movies than he has done till now mostly romantic he makes attempt at sports genre delivers yet another brilliant performance story is indian women hockey team which because its poor performance lack sponsors is unable find good coach kabir khan shahrukh khan former national hockey team player steps take responsibility new coach rest movie shows how he takes indian women hockey team new hight how he regains his lost dignity plot movie is linear predictable without any twist or surprises fact it is quality direction acting by shahrukh khan well supported by rest cast which sucks you movie does not let you get bored music movie is good including title song which is quite inspirational it has be said that good level effort has been put into every part movie whether it is casting or hockey matches choreography which is acceptable although winning streak team at world cup may seem extent unrealistic but overall chak de india can be said as entertaining inspirational movie is must watch every shah rukh khan fan critic his brilliant performance,0.5981404958677685,0.1714876033057851,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.23, 'Fear': 0.23}"
10.0,MY views on CHak De India,"In plain and simple words, I loved CDI. Heck, even if you take SRK out of it, I would still love it! This movie is about a man trying to prove his dedication and love for his sport, his people, and his country. This is about a man scorned by the nation, shunned by his close ones, and his redemption in the way he knows best. Its this main underlying theme that makes CDI special. This theme is so universal, and so identifiable, that your heart connects instantly.CDI is about Indian sportswomen coming to the forefront, about the stark and grim realities staring at our national sport, and the reasons behind that. It is about unity in diversity, strength in weakness, and putting the team above oneself. Its about the sacrifices one has to make in order to achieve his goals. Its about the success of true sporting spirit! Its real, yet entertaining. Its patriotic without being jingoistic. Its international, yet soaked in Indianness. Its a collage of the different states of India, and the difficult but fruitful formation of this collage.I have never played or watched or been interested in hockey! But this movie does not need that to touch your heart. All it needs is some patriotism, humility and goodness in your heart. If thats in abundance, I am sure you will love it.As for the performances, I would just say the entire team rocks. the keyword here is TEAM, as thats what this film is all about! Enjoy !",my views chak de india,plain simple words i loved cdi heck even if you take srk out it i would still love it this movie is about man trying prove his dedication love his sport his people his country this is about man scorned by nation shunned by his close ones his redemption way he knows best its this main underlying theme that makes cdi special this theme is so universal so identifiable that your heart connects instantly cdi is about indian sportswomen coming forefront about stark grim realities staring at our national sport reasons behind that it is about unity diversity strength weakness putting team above oneself its about sacrifices one has make order achieve his goals its about success true sporting spirit its real yet entertaining its patriotic without being jingoistic its international yet soaked indianness its collage different states india difficult but fruitful formation this collage i have never played or watched or been interested hockey but this movie does not need that touch your heart all it needs is some patriotism humility goodness your heart if thats abundance i am sure you will love it as performances i would just say entire team rocks keyword here is team as thats what this film is all about enjoy,0.5129482657260435,0.14850088183421517,Positive,"{'Happy': 0.24, 'Angry': 0.05, 'Surprise': 0.12, 'Sad': 0.33, 'Fear': 0.26}"
7.0,Extremely formulaic but also quite enjoyable.,"""Chak De India!"" is a sports film, and like MOST other sports films, it's nearly 100% predictable. However, while it very closely follows the expected formula and has many of the usual sports films clichés, it manages to be enjoyable and worth while.The film begins with a world championship match between the Indian and Pakistani field hockey teams. Kabir misses what seems like a sure goal and then he is treated abominably by the Indian press and his community--as if he WANTED his team to lose! Seven years pass. Now Kabir wants to redeem himself but not as a player but as a coach for a new Indian WOMEN'S field hockey team. His odds look pretty much impossible except for one important thing--it's a sports film and you pretty much know how it's all going to occur! But, as I said above, the plot does offer a bit more. Some nice performances and a few tiny plot twists help it to be a good film.By the way, although you might expect the usual song and dance numbers like you usually see in Bollywood films, this one has none. My aunt was actually pretty disappointed. She really liked the film but wanted the musical numbers as well!",extremely formulaic but also quite enjoyable,chak de india is sports film like most other sports films its nearly 100 predictable however while it very closely follows expected formula has many usual sports films clich s it manages be enjoyable worth while film begins with world championship match between indian pakistani field hockey teams kabir misses what seems like sure goal then he is treated abominably by indian press his community as if he wanted his team lose seven years pass now kabir wants redeem himself but not as player but as coach new indian womens field hockey team his odds look pretty much impossible except one important thing its sports film you pretty much know how its all going occur but as i said above plot does offer bit more some nice performances few tiny plot twists help it be good film by way although you might expect usual song dance numbers like you usually see bollywood films this one has none my aunt was actually pretty disappointed she really liked film but wanted musical numbers as well,0.5005760732323231,0.1373342803030303,Positive,"{'Happy': 0.29, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.11, 'Fear': 0.31}"
9.0,"A superior sports film, brilliantly led by Mr. Khan","Chak De India is without a doubt a one-of-a-kind Hindi film, one that you'd hardly ever expect to see in Indian cinema, and one that is at par with any great foreign production. It is an exceptional sports film, more because there's much more to it than just a series of games, and you never care about the fact that the ending is easy to predict. Shimit Amin, who previously directed Ab Tak Chapphan, directs the film with great skill, care, and feeling for the subject. Jaideep Sahni is responsible for the fantastic script, and that's where we get an original example of expert storytelling.This is the story of Kabir Khan, once a hockey star and a captain of the Indian team. Seven years ago, he was accused of treason in favour of Pakistan because he missed a crucial penalty against them. Being a Muslim and being good sport about it did the job and, branded a traitor, Kabir left his ancestral home in shame. We know nothing about what he's been through in these seven years, but we do know that he's got a new chance to prove his innocence when he comes back as the coach of the Indian woman's field hockey team. A chance as crucial as this damned penalty stroke.The second half is much stronger than the first (not that this one's bad), but that's the case with most sports films as the most enjoyable sequences are often in later portions, when the matches finally take place. And well, it is just full of suspense, tension, and even though I could easily predict the ending, the script and direction were good enough to keep me on the edge of my seat and give me quite a few goosebumps throughout it. In fact several moments throughout the matches were so exhilarating and overwhelming that I found myself jumping up off my seat with sheer joy.Technically the film is superb. The cinematography is amazing, with the camera moving intelligently to focus the viewer's attention on the proceedings. The film is efficiently edited, and the background score more than contributes to the film, building tension where necessary, and making everything so much more captivating. The title track, ""Chak De India"" is really a treat. It is patriotic, joyful, and very well used in the film. That the film's songs atypically play only over montage sequences, as opposed to the traditional style of song and dance, is certainly a great plus.Shahrukh Khan is tremendous. This is one of his most restrained performances, yet his charismatic presence is as evident as ever. He is perfectly natural and controlled in a most nuanced portrayal that never fails to convey the inner pain, the frustration, the hope and the quiet determination to clear his name and finally make a place in the sun. The supporting cast is roundly good, and the girls are great as a group. Shilpa Shukla enjoys the meatiest part, an assertive girl driven by ego and jealousy, and she is excellent. Sagarika Ghatge and Vidya Malvade are pretty and convincing.Chak De India can be described as patriotic, feminist, but for me it's more than anything about willpower and the importance of hard and collaborative work. It teaches and reaffirms that what really makes such games work--and for that matter, many other things in life--is lots of training, patience, and team work, without which nothing would quite click. According to me the best Hindi film of 2007; a thrilling and inspiring cinematic experience which is worth many a repeat viewing for more than one reason. Take a bow, Mr. Amin, Mr. Sahni, Mr. Khan, and all of you, twelve brave cuties.",superior sports film brilliantly led by mr khan,chak de india is without doubt one kind hindi film one that youd hardly ever expect see indian cinema one that is at par with any great foreign production it is exceptional sports film more because theres much more it than just series games you never care about fact that ending is easy predict shimit amin who previously directed ab tak chapphan directs film with great skill care feeling subject jaideep sahni is responsible fantastic script thats where we get original example expert storytelling this is story kabir khan once hockey star captain indian team seven years ago he was accused treason favour pakistan because he missed crucial penalty against them being muslim being good sport about it did job branded traitor kabir left his ancestral home shame we know nothing about what hes been through these seven years but we do know that hes got new chance prove his innocence when he comes back as coach indian womans field hockey team chance as crucial as this damned penalty stroke second half is much stronger than first not that this ones bad but thats case with most sports films as most enjoyable sequences are often later portions when matches finally take place well it is just full suspense tension even though i could easily predict ending script direction were good enough keep me edge my seat give me quite few goosebumps throughout it fact several moments throughout matches were so exhilarating overwhelming that i found myself jumping up off my seat with sheer joy technically film is superb cinematography is amazing with camera moving intelligently focus viewers attention proceedings film is efficiently edited background score more than contributes film building tension where necessary making everything so much more captivating title track chak de india is really treat it is patriotic joyful very well used film that films songs atypically play only over montage sequences as opposed traditional style song dance is certainly great plus shahrukh khan is tremendous this is one his most restrained performances yet his charismatic presence is as evident as ever he is perfectly natural controlled most nuanced portrayal that never fails convey inner pain frustration hope quiet determination clear his name finally make place sun supporting cast is roundly good girls are great as group shilpa shukla enjoys meatiest part assertive girl driven by ego jealousy she is excellent sagarika ghatge vidya malvade are pretty convincing chak de india can be described as patriotic feminist but me its more than anything about willpower importance hard collaborative work it teaches reaffirms that what really makes such games work that matter many other things life is lots training patience team work without which nothing would quite click according me best hindi film 2007 thrilling inspiring cinematic experience which is worth many repeat viewing more than one reason take bow mr amin mr sahni mr khan all you twelve brave cuties,0.5713166144200627,0.31143329850226403,Positive,"{'Happy': 0.22, 'Angry': 0.02, 'Surprise': 0.17, 'Sad': 0.2, 'Fear': 0.39}"
9.0,Predictable Yet Great,"Bollywood finally Manages to Pull out a Wonderful Sports Movie and After some upsets, Yash Raj Production comes with a brilliant film (Though they have nothing to do with it (Except the money).. Real stars are indeed the hockey players, SRK and the director Shimit Amin).Movie starts seven years back when Shahrukh Khan is accused of Match fixing in a hockey world cup final. After seven years, he returns to coach a hopeless Women hockey team. The rest of the movie deals with his journey to glory of the National team..The things that stands out for me are.. the Team. Talented actresses gathered from all over the country have done a wonderful job. Acting was top class. Shahrukh Khan have played a character that suits his age and does seriously well. Hockey sequences are great and do give a feel of an international tournament. A nice blend of funny and amazingly inspiring dialogs adds to the brilliance.However, the movie has its share of shortcomings. Most of the times, movie successfully manages to overshadow the predictable nature of the story, but the ending sequence was absolutely the same what i thought of before the movie started. We all knew what would happen in the end, but a bit of fine tuning would have made this film a masterpiece.Anyways, 'Chak de India' is not just a brave attempt. It goes beyond that tag. It's a wonderful and a courageous attempt. A movie that manages to match the brilliance of Jo Jeeta Wahi Sikander.",predictable yet great,bollywood finally manages pull out wonderful sports movie after some upsets yash raj production comes with brilliant film though they have nothing do with it except money real stars are indeed hockey players srk director shimit amin movie starts seven years back when shahrukh khan is accused match fixing hockey world cup final after seven years he returns coach hopeless women hockey team rest movie deals with his journey glory national team things that stands out me are team talented actresses gathered all over country have done wonderful job acting was top class shahrukh khan have played character that suits his age does seriously well hockey sequences are great do give feel international tournament nice blend funny amazingly inspiring dialogs adds brilliance however movie has its share shortcomings most times movie successfully manages overshadow predictable nature story but ending sequence was absolutely same what i thought before movie started we all knew what would happen end but bit fine tuning would have made this film masterpiece anyways chak de india is not just brave attempt it goes beyond that tag its wonderful courageous attempt movie that manages match brilliance jo jeeta wahi sikander,0.6776666666666666,0.3993333333333334,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.41}"
7.0,"Inspiring, Empowering, Liberating...","Using the diverse cultures encountered in India and highlighting the inequalities faced by women this inspiring and entertaining piece of cinema is perhaps more original than you may at first conceive. It is, after all, the empowerment of the women of Asia and Africa that will lead us away from the brink of chaos that we're currently perched upon, so anything, even half as entertaining and liberating as this, has to be applauded and encouraged. Dangal is a similarly joyous and celebratory epic that achieves the same, albeit founded in reality.",inspiring empowering liberating,using diverse cultures encountered india highlighting inequalities faced by women this inspiring entertaining piece cinema is perhaps more original than you may at first conceive it is after all empowerment women asia africa that will lead us away brink chaos that were currently perched upon so anything even half as entertaining liberating as this has be applauded encouraged dangal is similarly joyous celebratory epic that achieves same albeit founded reality,0.5395833333333334,0.25486111111111115,Positive,"{'Happy': 0.33, 'Angry': 0.22, 'Surprise': 0.11, 'Sad': 0.0, 'Fear': 0.33}"
