Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Not intriguing,"""Licorice Pizza"" tells a meandering journey of two young lovebirds. Things happen in the film, but I don't find the events of the plot intriguing or interesting. I honestly was bored by it.",not intriguing,licorice pizza tells meandering journey two young lovebirds things happen film but i dont find events plot intriguing or interesting i honestly was bored by it,0.6,0.1416666666666667,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.33}"
4.0,"Wait, was this supposed to be romantic???","I was curious about the film's title. As it turns out, the film is named after a record store chain called 'Licorice Pizza'. Also, according to director Paul Thomas Anderson, both licorice and pizza resonate with childhood memories, and he liked the sound of that for a coming of age movie.I have several issues with this highly acclaimed film. Firstly, the characters. The most obvious is having a romance between a 15-year old boy and a 25-year old woman. Not that age gap is an issue in relationships, but because the boy is a minor and the film therefore had a bit of a sour taste in the mouth being a 'love story'.Also, none of the characters were likable. No, not even the leads Alana and Gary. I mean, was this supposed to be a romantic film? Gary wanted to be with Alana from the moment he saw her, and when he got the chance he suddenly didn't want her anymore. Then, when she didn't want him anymore, he wanted her again. Then not, then he did, then she didn't, then she did... oh whatever!! As for Alana, she threw herself at every man she met! Wow, now there's romance for you (pffff!!!!!)With so many characters coming and going, I completely lost track of them and the film simply felt like a bunch of short stories gelled together to make one movie. As for Gary, I didn't find this character believable. This guy had so many mood changes that it was hard to summarize him. He is an actor and entrepreneur, and businessman at the age of fifteen...I also found the film slow moving with not all that much interesting happening - or, at least, nothing that interested me. This is not my kind of movie, and found it a bit boring since the 'love story' was anything but romantic. So, where did I want the movie to go? Honestly, I didn't care because I didn't root for any of the characters. I certainly didn't care for Gary and Alana being a couple, that's for sure!On a positive note, the performances are very good.",wait was this supposed be romantic,i was curious about films title as it turns out film is named after record store chain called licorice pizza also according director paul thomas anderson both licorice pizza resonate with childhood memories he liked sound that coming age movie i have several issues with this highly acclaimed film firstly characters most obvious is having romance between 15 year old boy 25 year old woman not that age gap is issue relationships but because boy is minor film therefore had bit sour taste mouth being love story also none characters were likable no not even leads alana gary i mean was this supposed be romantic film gary wanted be with alana moment he saw her when he got chance he suddenly didnt want her anymore then when she didnt want him anymore he wanted her again then not then he did then she didnt then she did oh whatever as alana she threw herself at every man she met wow now theres romance you pffff with so many characters coming going i completely lost track them film simply felt like bunch short stories gelled together make one movie as gary i didnt find this character believable this guy had so many mood changes that it was hard summarize him he is actor entrepreneur businessman at age fifteen i also found film slow moving with not all that much interesting happening or at least nothing that interested me this is not my kind movie found it bit boring since love story was anything but romantic so where did i want movie go honestly i didnt care because i didnt root any characters i certainly didnt care gary alana being couple thats sure positive note performances are very good,0.5293696118696121,0.1694203019203019,Positive,"{'Happy': 0.26, 'Angry': 0.12, 'Surprise': 0.16, 'Sad': 0.14, 'Fear': 0.33}"
5.0,Bored two run...and run and run.,"Licorice Pizza comes across as if it was written on the fly. A jumble of ill fitting scenes with quirky adults and hip cameos (Sean Penn, Tom Waits, Bradley Cooper) it banks its edge on two average looking characters, Gary and Alana and their age gap; precocious 15 year old boy, 25 year old woman, both annoyingly overplayed by Alana Haim and Cooper Hoffman.Gary meets Alana at a student yearbook (ID?) photo session. He's bewitched and pursues her. She bites and the two enter into an on again off again relationship that alas is rife with heartache and pain as they start a water bed business together. His obsession with Alana however begins to cool. She seeks and enters into more age appropriate relationships but they fail to advance. Gary meanwhile has opened a pinball business but cannot get over Alana and runs into the night in search of her.Pizza has its moments but very few with some imaginative incidentals and arch characterization that soon become contrived and repetitive. An absurdist rom-com with the fuel crisis as key backdrop it seems content to be sparingly funny as it incoherently moves from scene to scene of hodgepodge editing and poorly lit cinematography. Director PT Anderson seems to be missing in action with overlong scenes of drive by tracking and trail off dialogue with heavy handed interplay between the two leads as well as ancillary characters doing their darndest to be unctuous and annoying. Licorice Pizza is offbeat at its most banal and boring.",bored two run run run,licorice pizza comes across as if it was written fly jumble ill fitting scenes with quirky adults hip cameos sean penn tom waits bradley cooper it banks its edge two average looking characters gary alana their age gap precocious 15 year old boy 25 year old woman both annoyingly overplayed by alana haim cooper hoffman gary meets alana at student yearbook id photo session hes bewitched pursues her she bites two enter into again off again relationship that alas is rife with heartache pain as they start water bed business together his obsession with alana however begins cool she seeks enters into more age appropriate relationships but they fail advance gary meanwhile has opened pinball business but cannot get over alana runs into night search her pizza has its moments but very few with some imaginative incidentals arch characterization that soon become contrived repetitive absurdist rom com with fuel crisis as key backdrop it seems content be sparingly funny as it incoherently moves scene scene hodgepodge editing poorly lit cinematography director pt anderson seems be missing action with overlong scenes drive by tracking trail off dialogue with heavy handed interplay between two leads as well as ancillary characters doing their darndest be unctuous annoying licorice pizza is offbeat at its most banal boring,0.589888888888889,-0.10533333333333333,Negative,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.14, 'Sad': 0.34, 'Fear': 0.34}"
3.0,"Well made, but utterly pointless","I really wanted to like this film but it felt like there was absolutely nothing there. I didn't understand why these two would be a fit for each other, they really were not. The film was it of nonsensical diatribe, the movie just did not make sense on any level, it wasn't funny, although there were a couple moments that were a chuckle, but it was just a tiring story. It was a good period production, but what a waste.I was only able to get through it with a sense of long-suffering pain and difficulty. There are a lot of good movies out there, please please don't waste your time or wait for it streaming or DVD at least, and that way you can fast forward through the nonsense scenes.It felt very, very manipulative and it felt very, very indulgent on the part of Anderson.",well made but utterly pointless,i really wanted like this film but it felt like there was absolutely nothing there i didnt understand why these two would be fit each other they really were not film was it nonsensical diatribe movie just did not make sense any level it wasnt funny although there were couple moments that were chuckle but it was just tiring story it was good period production but what waste i was only able get through it with sense long suffering pain difficulty there are lot good movies out there please please dont waste your time or wait it streaming or dvd at least that way you can fast forward through nonsense scenes it felt very very manipulative it felt very very indulgent part anderson,0.4766666666666668,0.1525,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.25}"
4.0,VIEWS ON FILM review of Licorice Pizza,"The odd title of 2021's Licorice Pizza doesn't add up to much. Licorice Pizza the movie? Well it doesn't add up to much either. The film's blueprint involves a 15-year-old boy and a 25-year-old girl hanging out together in Southern California circa 1973. Why these two would ever have anything to do with each other or even be attracted to each other is well, beyond me.So yeah, Licorice Pizza is a comedy-drama that saunters and irks. It's like a series of random, ""Me Decade"" scenes that sort of taper off into the wind. The leads (Alana Haim, Cooper Hoffman) are not horrible, they're just dupes of automation. They begrudgingly do whatever Paul Thomas Anderson's implausible screenplay tells them to.Speaking of Anderson, well he's the director. Once the boy genius behind my favorite flick of all time (Boogie Nights), Paul Thomas Anderson has now regressed to the point of jumbled-ness. With Licorice Pizza, he dips back into the 70s again butchering the almighty cinematic form. There's no continuity, no lucid story, no scripted 411.So OK, Anderson knows where to put the camera and yeah, his soundtracks are earthy and retro (this one is good but lacks a little freshness). Still, you can't help but wish PTA would spend two-plus hours on something more than a messy, bipolar character study. In truth, I was annoyed by Alana Haim's Alana Kane to the point where I wanted to shake the wishy-washy out of her. I mean what a royal pain in the butt.Per the last paragraph, I said that Licorice Pizza was a messy film. True dat. It could learn age-old wisdom from a tidy one. Licorice Pizza is also cock and bull film. I mean you'd have to believe that Hoffman's Gary Valentine could own a pinball arcade, successfully mack on a twentysomething, and manage a waterbed factory as a blackhead juvenile. Wha??Add pointless cameos (I'm talking to you Bradley Cooper and Sean Penn) and fading personas whose plot threads add to nil and you have the movie equivalent of a failed competitor on The Gong Show. ""Hold the anchovies"".",views film review licorice pizza,odd title 2021s licorice pizza doesnt add up much licorice pizza movie well it doesnt add up much either films blueprint involves 15 year old boy 25 year old girl hanging out together southern california circa 1973 why these two would ever have anything do with each other or even be attracted each other is well beyond me so yeah licorice pizza is comedy drama that saunters irks its like series random me decade scenes that sort taper off into wind leads alana haim cooper hoffman are not horrible theyre just dupes automation they begrudgingly do whatever paul thomas andersons implausible screenplay tells them speaking anderson well hes director once boy genius behind my favorite flick all time boogie nights paul thomas anderson has now regressed point jumbled ness with licorice pizza he dips back into 70s again butchering almighty cinematic form theres no continuity no lucid story no scripted 411 so ok anderson knows where put camera yeah his soundtracks are earthy retro this one is good but lacks little freshness still you cant help but wish pta would spend two plus hours something more than messy bipolar character study truth i was annoyed by alana haims alana kane point where i wanted shake wishy washy out her i mean what royal pain butt per last paragraph i said that licorice pizza was messy film true dat it could learn age old wisdom tidy one licorice pizza is also cock bull film i mean youd have believe that hoffmans gary valentine could own pinball arcade successfully mack twentysomething manage waterbed factory as blackhead juvenile wha add pointless cameos im talking you bradley cooper sean penn fading personas whose plot threads add nil you have movie equivalent failed competitor gong show hold anchovies,0.4684895833333334,0.05533854166666667,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.26, 'Sad': 0.29, 'Fear': 0.32}"
5.0,No rhyme or reason pure hype. Even my 18 year old son found it boring.,Generous with a 5 cos of Sean Penn n Bradley Cooper's small roles.This movie has absolutely no character development and the screenplay is abysmal.Better watch Crazy Stupid Love. At least it's funny.,no rhyme or reason pure hype even my 18 year old son found it boring,generous with 5 cos sean penn n bradley coopers small roles this movie has absolutely no character development screenplay is abysmal better watch crazy stupid love at least its funny,0.6727272727272727,-0.13506493506493505,Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.3}"
5.0,"Unknown leading characters arent charismatic whatsoever. Too bad. Not dramatic or thrilling, neither really funny. Kinda tedious to be honest...","The story is simple. Teenagers falling in love in the seventies. There really isnt anything more to this story. A bit of a bummer!I am really disappointed that this is the best that director P. T Anderson had to offer. I have seen better days, much better...The bad: one of the lesser movies by director P. T Anderson, because the leading characters are unknowns, who are simply lacking charisma of the likes of brilliant A-list actors, like Joaquin Phoenix, Philip Seymour Hofmann, Tom Cruise etc, who were starring in P. T Anderson's movies before...Forget about the leading actor being the son of Philip Seymour Hofmann, the guy just hasnt got the charisma of his father, nowhere near!The few (very short) supporting roles by A-list actors like Sean Penn, Tom Waits and Bradley Cooper may sound interesting, but when they act together with these unknown leading actors, they only accentuate the LACK OF CHARISMA of these leading uncharismatic unknown actors. A bit painful to watch.More bad: there is definitely a lack of drama and thrill. It really does become a bit tedious after an hour and that's a first for me when watching a P. T Anderson movie.Most people did come to see it because of an Oscar nomination for Best Picture. That nomination is rather laughable, because P. T. Anderson has made several movies worthy of an Oscar, but this is NOT one of them. Not bad, but it certainly aint brilliant either.Not any good? Famous director P. T Anderson always delivers. It ain a terrible movie, only a bit tedious.Rest asured you will get to see true to life characters in doubt, in pain or in love. Probably only suited for a patient arthouse audience though, because it is quite a bit slowburning, bordering on TEDIOUS...",unknown leading characters arent charismatic whatsoever too bad not dramatic or thrilling neither really funny kinda tedious be honest,story is simple teenagers falling love seventies there really isnt anything more this story bit bummer i am really disappointed that this is best that director p t anderson had offer i have seen better days much better bad one lesser movies by director p t anderson because leading characters are unknowns who are simply lacking charisma likes brilliant list actors like joaquin phoenix philip seymour hofmann tom cruise etc who were starring p t andersons movies before forget about leading actor being son philip seymour hofmann guy just hasnt got charisma his father nowhere near few very short supporting roles by list actors like sean penn tom waits bradley cooper may sound interesting but when they act together with these unknown leading actors they only accentuate lack charisma these leading uncharismatic unknown actors bit painful watch more bad there is definitely lack drama thrill it really does become bit tedious after hour thats first me when watching p t anderson movie most people did come see it because oscar nomination best picture that nomination is rather laughable because p t anderson has made several movies worthy oscar but this is not one them not bad but it certainly aint brilliant either not any good famous director p t anderson always delivers it ain terrible movie only bit tedious rest asured you will get see true life characters doubt pain or love probably only suited patient arthouse audience though because it is quite bit slowburning bordering tedious,0.6457681940700809,0.11159029649595689,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.31}"
5.0,An Aesthetic Masterpiece That Is Also Devoid Of Any Discernible Plot Or Meaning,"What an experience watching ""Licorice Pizza"" was. In terms of aesthetic qualities like the ability to put the viewer in a setting (in this case 1970s Los Angeles), a wonderful soundtrack, some rollicking fun sequences, and phenomenal cinematography. Truly a technical masterpiece in nearly every sense.Sadly, ""Licorice Pizza"" is also not all that great of a film for one very specific reason: it completely and utterly lacks a plot or overall meaning to all the technical expertise.For a very basic overview, the movie tells the story of Gary (Cooper Hoffman), a high school student with a taste for showbiz, and Alana (Alana Haim), a 25-year-old Jewish ""Valley Girl"" stuck in neutral but always looking for the next adventure. As the two circle around each other trying to determine their romantic wants/needs, they stumble in and out of any number of period-specific historical events/schemes, such as a fuel shortage, waterbed craze, and pinball machine ban being lifted, to name a few.Like I said, ""Licorice Pizza"" is truly remarkable at setting a scene. I felt like I was back in time and nothing ever broke that illusion. I was also extremely impressed by the acting performances from newcomers (at least to the big screen) Hoffman & Haim. They are more than capable of carrying the entire film, which is exactly what they are asked to do here.But when the credits rolled--and even some time after--I'm struggling to figure out any discernible value or lasting concepts to take from the experience. In a certain sense, the viewing experience (plot-wise) felt like a cipher to which I wasn't given the key. A whole bunch of mini-escapades transpire--all at least somewhat entertaining--and the movie just ends. No more, no less.I very much liken ""Licorice Pizza"" to 2019's ""Once Upon A Time In Hollywood"", though I have to say I liked that Tarentino film a bit more because even it hewed to the plot--not just the spirit--of the current events it was depicting. Here, director Paul Thomas Anderson creates a movie that is almost entirely aesthetic and eschews plot/meaning entirely. As such, it is difficult for me to grade it as ""good"" or ""bad"", hence the right-down-the-middle five stars.",aesthetic masterpiece that is also devoid any discernible plot or meaning,what experience watching licorice pizza was terms aesthetic qualities like ability put viewer setting this case 1970s los angeles wonderful soundtrack some rollicking fun sequences phenomenal cinematography truly technical masterpiece nearly every sense sadly licorice pizza is also not all that great film one very specific reason it completely utterly lacks plot or overall meaning all technical expertise very basic overview movie tells story gary cooper hoffman high school student with taste showbiz alana alana haim 25 year old jewish valley girl stuck neutral but always looking next adventure as two circle around each other trying determine their romantic wants needs they stumble out any number period specific historical events schemes such as fuel shortage waterbed craze pinball machine ban being lifted name few like i said licorice pizza is truly remarkable at setting scene i felt like i was back time nothing ever broke that illusion i was also extremely impressed by acting performances newcomers at least big screen hoffman haim they are more than capable carrying entire film which is exactly what they are asked do here but when credits rolled even some time after im struggling figure out any discernible value or lasting concepts take experience certain sense viewing experience plot wise felt like cipher which i wasnt given key whole bunch mini escapades transpire all at least somewhat entertaining movie just ends no more no less i very much liken licorice pizza 2019s once upon time hollywood though i have say i liked that tarentino film bit more because even it hewed plot not just spirit current events it was depicting here director paul thomas anderson creates movie that is almost entirely aesthetic eschews plot meaning entirely as such it is difficult me grade it as good or bad hence right down middle five stars,0.4081136621315193,0.12004960317460318,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.35}"
6.0,Muddled With Interesting Details,"Alana Haim admits to being 25, and may be 28. She has no idea what she wants to do. Cooper Hoffman is 15, a successful child actor, a budding entrepreneur -- waterbeds and newly decriminalized pinball machines -- and wants her.Paul Thomas Anderson's latest movie is set, like Tarrantino's ONCE UPON A TIME IN HOLLYWOOD, in Los Angeles some time in the 1960s or 1970s -- the scripts make Leave It To Beaver contemporaneous with the Oil Crisis. Anderson takes a viewpoint that is more realistic, more sympathetic, and at the same time, more cynical. His camera looks at its subjects like 1970s cameras did; people are not flattered by the 1970s clothes they wear, and the visible architecture is tired and ugly. And no one approves of the relationship between the leads, not even Miss Haim.The movie is filled out with contemporary individuals, some appearing under their real names -- John C. Reilly appears as Fred Gwynne in Munsters make-up, and Bradley Cooper as Jon Peters -- while others show up under pseudonyms -- Christine Ebersole is Lucy Doolittle, clearly a drunken, foul-mouthed Lucille Ball hyping a thinly disguised YOURS, MINE, AND OURS.As for the story, well, it's like most of Anderson's movies, a tale about not particularly likeable people trying to be happy in a world that doesn't approve of anything. I suppose it reflects reality, in that it's thoroughly muddled, but I prefer a bit more clarity in my stories.",muddled with interesting details,alana haim admits being 25 may be 28 she has no idea what she wants do cooper hoffman is 15 successful child actor budding entrepreneur waterbeds newly decriminalized pinball machines wants her paul thomas andersons latest movie is set like tarrantinos once upon time hollywood los angeles some time 1960s or 1970s scripts make leave it beaver contemporaneous with oil crisis anderson takes viewpoint that is more realistic more sympathetic at same time more cynical his camera looks at its subjects like 1970s cameras did people are not flattered by 1970s clothes they wear visible architecture is tired ugly no one approves relationship between leads not even miss haim movie is filled out with contemporary individuals some appearing under their real names john c reilly appears as fred gwynne munsters make up bradley cooper as jon peters while others show up under pseudonyms christine ebersole is lucy doolittle clearly drunken foul mouthed lucille ball hyping thinly disguised yours mine ours as story well its like most andersons movies tale about not particularly likeable people trying be happy world that doesnt approve anything i suppose it reflects reality that its thoroughly muddled but i prefer bit more clarity my stories,0.5518484848484849,0.20145454545454544,Positive,"{'Happy': 0.26, 'Angry': 0.0, 'Surprise': 0.04, 'Sad': 0.33, 'Fear': 0.37}"
4.0,A blip,"Paul Thomas Anderson has written and directed so many excellent films that it saddens me to declare this one to be underwhelming, but that's the way it is. It feels like one, long in-joke masquerading as a coming-of-age movie. Lots of talent involved, including, fortunately, Alana Haim, around whom the movie seems to have been built, given the rest of her family play the rest of her character's family. That's all fine and funny. But there's something icky in the presence of Hollywood princes and princesses such as Cooper Hoffman, Willa Hoffman, Tallulah Hoffman, Sasha Spielberg, Dexter Demme. Not to mention Leonard di Caprio's dad. George. It's as if we're intruding on a home movie. Maybe that was the idea. If so, I'm surprised that Mr Anderson didn't realise how patronising that might seem.There are minor joys in the bravura turns of Christine Ebersole, Tom Waits, Sean Penn and Bradley Cooper, though perhaps the last goes so over-the-top he's probably in orbit by now.Come back soon, Paul Thomas Anderson, and bring us another good movie. We'll call this one a blip.",blip,paul thomas anderson has written directed so many excellent films that it saddens me declare this one be underwhelming but thats way it is it feels like one long joke masquerading as coming age movie lots talent involved including fortunately alana haim around whom movie seems have been built given rest her family play rest her characters family thats all fine funny but theres something icky presence hollywood princes princesses such as cooper hoffman willa hoffman tallulah hoffman sasha spielberg dexter demme not mention leonard di caprios dad george its as if were intruding home movie maybe that was idea if so im surprised that mr anderson didnt realise how patronising that might seem there are minor joys bravura turns christine ebersole tom waits sean penn bradley cooper though perhaps last goes so over top hes probably orbit by now come back soon paul thomas anderson bring us another good movie well call this one blip,0.5333333333333333,0.24761904761904763,Positive,"{'Happy': 0.15, 'Angry': 0.06, 'Surprise': 0.3, 'Sad': 0.21, 'Fear': 0.27}"
