Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
3,Boring,"I saw this in the theater with my 6 year old. She fell asleep and I almost did too...boring, nonsensical, inconsistent, and worst of all, not funny. What was the point?Should have been free to watch on Disney plus.",boring,i saw this theater with my 6 year old she fell asleep i almost did too boring nonsensical inconsistent worst all not funny what was point should have been free watch disney plus,0.8333333333333334,-0.4375,Negative,"{'Happy': 0.11, 'Angry': 0.33, 'Surprise': 0.22, 'Sad': 0.33, 'Fear': 0.0}"
6,No signs of intelligent life anywhere....,"6.4/10The nostalgia was there for ten minutes and then it went away as the story trails away into something that just didn't sit right. While we never got firm info about Buzz's origins in the ""Toy Story"" films. This isn't what I expected for his story. I expected this to be an emotional journey, but there were maybe three moments where a tear was shed. The rest was just ""empty"" space.The voice acting was good. Chris Evans sounded like Buzz and brought the character to life. The surrounding characters were just as enjoyable. Definitely some funny moments amongst them. I did get a few laughs out, but it felt forced sometimes to be able to enjoy the film.The film definitely looked, and sounded, great, but it didn't do enough to grasp a love for the character, or the story. Honestly, I don't think this film was for adults to reach back to the childhood nostalgia, but rather its for a new generation to make the character it's own meaning. Flip side to Buzz was Zurg. Zurg was perhaps the biggest disappointment with how they portrayed him. Who he was in ""Toy Story"" is not the same as who is here, and again, it didn't sit right.I think the biggest thing is to forget the trailer. Go in with an open-mind and make of it what you will. The kids in the theatre seemed to have loved.Overall, not the outstanding film I was expecting even with all the great visual and sound. The story lacked expectations for a nostalgic character, but wasn't necessarily terrible, so again, go in with an open-mind.Thank you for reading my review. Until next time.... Enjoy the show!",no signs intelligent life anywhere,6 4 10the nostalgia was there ten minutes then it went away as story trails away into something that just didnt sit right while we never got firm info about buzzs origins toy story films this isnt what i expected his story i expected this be emotional journey but there were maybe three moments where tear was shed rest was just empty space voice acting was good chris evans sounded like buzz brought character life surrounding characters were just as enjoyable definitely some funny moments amongst them i did get few laughs out but it felt forced sometimes be able enjoy film film definitely looked sounded great but it didnt do enough grasp love character or story honestly i dont think this film was adults reach back childhood nostalgia but rather its new generation make character its own meaning flip side buzz was zurg zurg was perhaps biggest disappointment with how they portrayed him who he was toy story is not same as who is here again it didnt sit right i think biggest thing is forget trailer go with open mind make it what you will kids theatre seemed have loved overall not outstanding film i was expecting even with all great visual sound story lacked expectations nostalgic character but wasnt necessarily terrible so again go with open mind thank you reading my review until next time enjoy show,0.5000243506493506,0.1326948051948052,Positive,"{'Happy': 0.22, 'Angry': 0.08, 'Surprise': 0.15, 'Sad': 0.17, 'Fear': 0.38}"
4,"""Zurg.""","""In 1997, a child named Andy bought a Buzz Lightyear action figure after seeing the character in his favorite movie. This is that movie."" These sentences precede Lightyear, a gorgeously realized and superbly animated film which has also been finely calculated and sterilized to assuage those who greenlit its production. Despite its visual splendor, Lightyear is not always easy to look at, with the knowledge that a soulless, artless, superficial corporate entity has hollowed out the insides, and is wearing the film like a glossy, finely crafted skinsuit.The film follows Buzz Lightyear as he attempts to bring home a crew aboard ""The Turnip"" an exploratory vessel used by Star Command. His attempts bring about strange consequences with time, and he is quickly thrust into an unfamiliar timeline with a trio of unlikely helpers, including the teenaged granddaughter of his compatriot, Izzy Hawthorne. Together, they must stop a robot invasion and complete the mission Buzz began almost a century ago.There are a number of threads and disparate qualities to Lightyear, many of wildly varying quality, but one thing is certain; this is a proudly corporate and sterilized product. This nagging fact presents itself with the aforementioned opening lines, a reminder that the film currently being watched is explicitly and purposefully nothing more than a product consumed by a child twenty-five years ago. The message is stated not only to help Disney merchandise the film, but to remind and entice their audience about the wonderful array of products present under their corporate umbrella, their distressingly tightening grip on all entertainment. The sentiment registers early and often; this is not story, this is product.This corporate slavishness manifests itself in the typical risk-aversion attitude and spinelessness of contemporary Hollywood. Lightyear is bland; not visually, but in its story, in most of its directorial choices, and its tone. It's a painstakingly manufactured blandness, meticulously constructed to smooth over or erase the rough edges of human complication. The nature of the story and the moodiness of the animation call for a mature telling, but the writers and producers of the film clearly aren't interested in mining any potential emotional complexity or intrigue.Another irritating and telling sign of Lightyear's men-in-suits meddling is its frantic pace and fear of looking death in the eye. Buzz's story here is actually quite tragic, a futuristic vision of uncontrolled loss and temporal grief akin to Interstellar or Ad Astra. A film more attuned with its characters and their psychological needs and nightmares would nurture this tragedy, use it to frame their journey early and often. Lightyear not only blows by this thread in the pursuit of lubricating its plot, but its final twist runs totally counter to Buzz's previous motivations and desires. Buzz is not allowed to feel true human-like grief because he's not human. He's merchandise. The same could be said for all other characters.A counterargument arises: ""It's just a kid's film!"" But if there's any animation studio which has shown the propensity for mature children's programming in the past, it's Pixar Animation. Even goofier franchises, like Kung Fu Panda, have occasionally hit emotional paydirt because the writers were aligned with their characters, psychologically and plot-wise. When Po learns of his parents' death at the hands of Lord Shen, he mourns, and the film mourns with him. He's allowed time to focus within and process the information. He doesn't immediately stumble onto a new plot point, he doesn't mindlessly enter into a final confrontation, he doesn't make any insipid quips. Buzz Lightyear, when presented with emotionally charged material, does all three...though not in that order.The writing is simply too cartoonish for the material presented, in terms of both visual awe and narrative substance. No character is fleshed out beyond a few superficial quirks. The trio which accompanies Buzz succeeds too often in spite of themselves, careening jollily from one set piece to the next with no recognition of the stakes or danger within the film.All four characters are at least twenty-two years of age, but consistently behave like children, hooting and hollering in the face of clear and present danger. Just quip, quip, quip, quip, quip. No setups, no punchlines, few personality-driven situations; just quip, quip, quip, as if the film were ghostwritten by a prepubescent James Gunn. Again, this approach usually works in lighter, lower-staked children's material, but Lightyear promises to be something more early on. The immediacy and frequency with which the film reneges on that promise is incredibly frustrating.There is a final problem with Lightyear which is difficult to describe without spoiling. Buzz makes an all-cinema selfish decision at the film's climax, which is inexplicably framed as heroic and unquestionably morally correct. The decision is framed as such in no small part because of Disney's creative bankruptcy. It's a sad reality that the company most noted for typifying villainous roles and creating memorable, distinct, and creative threats has succumbed to believing that no one individual is ever a true villain. Everyone is simply misunderstood or morally gray. It's a shame. Another small but relevant note is the film's general lack of structure or causality. The whole endeavor feels generally purposeless, and the film struggles to sustain itself.As mentioned, for all of the film's narrative and emotional problems, there is an incredible team using unbelievable technology at work. The animators of Lightyear have created a stunning, immersive, and moody alien environment. It's staggering to look back at the original Toy Story and realize just how far the medium has come. Extensive and frequent credit must be given to the artists at work, who are undoubtably the best of their craft. Many of the sequences feel like hyper-stylized renderings of recent sci-fi extravaganzas, like the aforementioned Ad Astra or Interstellar, with just a sprinkling of 2001: A Space Odyssey for good measure. Some of the film's images are truly breathtaking.All in all, Lightyear is a typically disappointing and spiritless stab to create new life from old IP. There are many problems with the film's writing, but the central issue is Lightyear's eponymous caricature. The audience is told Andy wanted a Buzz toy after seeing this movie; even beyond the transparent cynicism of such a statement, it's hard to even believe at face value. This film's Buzz Lightyear is a mostly incompetent, insecure, rash, and boneheaded figure. Younger viewers will probably enjoy the space-age antics, but most out of grade school will feel the familiar tinge of disappointment. What could've been!",zurg,1997 child named andy bought buzz lightyear action figure after seeing character his favorite movie this is that movie these sentences precede lightyear gorgeously realized superbly animated film which has also been finely calculated sterilized assuage those who greenlit its production despite its visual splendor lightyear is not always easy look at with knowledge that soulless artless superficial corporate entity has hollowed out insides is wearing film like glossy finely crafted skinsuit film follows buzz lightyear as he attempts bring home crew aboard turnip exploratory vessel used by star command his attempts bring about strange consequences with time he is quickly thrust into unfamiliar timeline with trio unlikely helpers including teenaged granddaughter his compatriot izzy hawthorne together they must stop robot invasion complete mission buzz began almost century ago there are number threads disparate qualities lightyear many wildly varying quality but one thing is certain this is proudly corporate sterilized product this nagging fact presents itself with aforementioned opening lines reminder that film currently being watched is explicitly purposefully nothing more than product consumed by child twenty five years ago message is stated not only help disney merchandise film but remind entice their audience about wonderful array products present under their corporate umbrella their distressingly tightening grip all entertainment sentiment registers early often this is not story this is product this corporate slavishness manifests itself typical risk aversion attitude spinelessness contemporary hollywood lightyear is bland not visually but its story most its directorial choices its tone its painstakingly manufactured blandness meticulously constructed smooth over or erase rough edges human complication nature story moodiness animation call mature telling but writers producers film clearly arent interested mining any potential emotional complexity or intrigue another irritating telling sign lightyears men suits meddling is its frantic pace fear looking death eye buzzs story here is actually quite tragic futuristic vision uncontrolled loss temporal grief akin interstellar or ad astra film more attuned with its characters their psychological needs nightmares would nurture this tragedy use it frame their journey early often lightyear not only blows by this thread pursuit lubricating its plot but its final twist runs totally counter buzzs previous motivations desires buzz is not allowed feel true human like grief because hes not human hes merchandise same could be said all other characters counterargument arises its just kids film but if theres any animation studio which has shown propensity mature childrens programming past its pixar animation even goofier franchises like kung fu panda have occasionally hit emotional paydirt because writers were aligned with their characters psychologically plot wise when po learns his parents death at hands lord shen he mourns film mourns with him hes allowed time focus within process information he doesnt immediately stumble onto new plot point he doesnt mindlessly enter into final confrontation he doesnt make any insipid quips buzz lightyear when presented with emotionally charged material does all three though not that order writing is simply too cartoonish material presented terms both visual awe narrative substance no character is fleshed out beyond few superficial quirks trio which accompanies buzz succeeds too often spite themselves careening jollily one set piece next with no recognition stakes or danger within film all four characters are at least twenty two years age but consistently behave like children hooting hollering face clear present danger just quip quip quip quip quip no setups no punchlines few personality driven situations just quip quip quip as if film were ghostwritten by prepubescent james gunn again this approach usually works lighter lower staked childrens material but lightyear promises be something more early immediacy frequency with which film reneges that promise is incredibly frustrating there is final problem with lightyear which is difficult describe without spoiling buzz makes all cinema selfish decision at films climax which is inexplicably framed as heroic unquestionably morally correct decision is framed as such no small part because disneys creative bankruptcy its sad reality that company most noted typifying villainous roles creating memorable distinct creative threats has succumbed believing that no one individual is ever true villain everyone is simply misunderstood or morally gray its shame another small but relevant note is films general lack structure or causality whole endeavor feels generally purposeless film struggles sustain itself as mentioned all films narrative emotional problems there is incredible team using unbelievable technology at work animators lightyear have created stunning immersive moody alien environment its staggering look back at original toy story realize just how far medium has come extensive frequent credit must be given artists at work who are undoubtably best their craft many sequences feel like hyper stylized renderings recent sci fi extravaganzas like aforementioned ad astra or interstellar with just sprinkling 2001 space odyssey good measure some films images are truly breathtaking all all lightyear is typically disappointing spiritless stab create new life old ip there are many problems with films writing but central issue is lightyears eponymous caricature audience is told andy wanted buzz toy after seeing this movie even beyond transparent cynicism such statement its hard even believe at face value this films buzz lightyear is mostly incompetent insecure rash boneheaded figure younger viewers will probably enjoy space age antics but most out grade school will feel familiar tinge disappointment what couldve been,0.47390401886670536,0.08777621632099242,Positive,"{'Happy': 0.04, 'Angry': 0.06, 'Surprise': 0.21, 'Sad': 0.25, 'Fear': 0.44}"
4,Snoozefest,"First 10 minutes or so were great, got you excited for what was to come but....what a disappointment. Flat out plain ole boring. Chris Evans did a great job but the story line was poorly written. Even kids (I'd say between the ages 8-13) were talking after about 30 minutes because of the lack of interest when a movie like this should have everyone's attention from start to Finnish. My 7 year old fell asleep and wanted to leave! Overall I would not recommend this movie. Save your money for something else which is awful to say since it's Pixar and we all had such high expectations.",snoozefest,first 10 minutes or so were great got you excited what was come but what disappointment flat out plain ole boring chris evans did great job but story line was poorly written even kids id say between ages 8 13 were talking after about 30 minutes because lack interest when movie like this should have everyones attention start finnish my 7 year old fell asleep wanted leave overall i would not recommend this movie save your money something else which is awful say since its pixar we all had such high expectations,0.5218197278911564,-0.05387755102040816,Negative,"{'Happy': 0.2, 'Angry': 0.15, 'Surprise': 0.15, 'Sad': 0.2, 'Fear': 0.3}"
5,Disappointment,Second Pixar in a row that I couldn't get into at all. The other one was Turning Red. The artwork in both is tremendous but what used to separate Pixar from the rest of the pack was the depth of feelings. That wasn't here at all. I didn't give a hoot about the characters at all.,disappointment,second pixar row that i couldnt get into at all other one was turning red artwork both is tremendous but what used separate pixar rest pack was depth feelings that wasnt here at all i didnt give hoot about characters at all,0.355,-0.07833333333333334,Negative,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.38}"
1,"Kids want fun entertainment, not wokeness",Hit Disney/pic at in the pockets and skip this nonsense movie. Go watch the original toy story movies. Top Gun Maverick is the best movie out right now.,kids want fun entertainment not wokeness,hit disney pic at pockets skip this nonsense movie go watch original toy story movies top gun maverick is best movie out right now,0.45714285714285713,0.4921428571428571,Positive,"{'Happy': 0.29, 'Angry': 0.14, 'Surprise': 0.43, 'Sad': 0.0, 'Fear': 0.14}"
2,Buzz wasn't the main character in his own movie!,"Not good. This movie wasn't about Buzz, but was about Izzy and her grandmother (sorry I can't remember her name, she is equally forgettable).And Buzz chooses a terrible untrained group of misfits who screws up EVERYTHING over the trained people for Star Command? Please!?! Awful.",buzz wasnt main character his own movie,not good this movie wasnt about buzz but was about izzy her grandmother sorry i cant remember her name she is equally forgettable buzz chooses terrible untrained group misfits who screws up everything over trained people star command please awful,0.7761904761904762,-0.36904761904761907,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.42, 'Fear': 0.25}"
1,No Heart!,"The worst Pixar movie ever!!! Poor storyline, boring with no heart. Very disappointing!!! Not worthy of seeing it at the theater. It should be straight to Disney+.",no heart,worst pixar movie ever poor storyline boring with no heart very disappointing not worthy seeing it at theater it should be straight disney,0.8183333333333334,-0.5244444444444444,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.83, 'Fear': 0.0}"
3,Just going thru the motions,"When 4th graders ask to leave the theatre before a Pixar is over, there are real problems. It wasn't bad, but it just wasn't good. The humour falls flat with wooden delivery, and Pixar found a way to make the characters dull.",just going thru motions,when 4th graders ask leave theatre before pixar is over there are real problems it wasnt bad but it just wasnt good humour falls flat with wooden delivery pixar found way make characters dull,0.3652777777777778,-0.019444444444444427,Negative,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.55, 'Fear': 0.36}"
1,"Oh Disney, when will you learn?","Disney continues to run out of good ideas. They really can't just make something new for a change. The Toy Story universe should be dead right now and to be fair, they should never have made Toy Story 4 either. What a joke!",oh disney when will you learn,disney continues run out good ideas they really cant just make something new change toy story universe should be dead right now be fair they should never have made toy story 4 either what joke,0.5150432900432901,0.30367965367965366,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.17}"
