Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,Terrific Thriller!!!,"This movie is best example of how an age old masala political story can be made interesting with new concepts like 'time loop'. The screenplay and editing is stunning, and makes you go ""Wow!!"". SJ Suryah owns the screen in 2nd half and has great moments in the film. The strong antagonist makes this movie absolutely worth it. Do not miss!",terrific thriller,this movie is best example how age old masala political story can be made interesting with new concepts like time loop screenplay editing is stunning makes you go wow sj suryah owns screen 2nd half has great moments film strong antagonist makes this movie absolutely worth it do not miss,0.48496503496503496,0.2848484848484848,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.27, 'Fear': 0.2}"
10,STR 's Maanaadu,Simbu is Officially back with SuperHit package after Vaanam. To be Honest SJSuriya Steals the show Woh! What an actor! VenkatPrabhu also back with his Own Style. Good Direction and screenplay. An interesting & unpredictable TimeLoop Film. U1 Mass bgm makes more thrilling. Simbu acting is Extraordinary and will Become his career best film. Best Theatre released Movie of 2021. Firsthalf Mass. SecondHalf MaranaMass. A Must watch Worthy Film in recent times only in theatre.,str s maanaadu,simbu is officially back with superhit package after vaanam be honest sjsuriya steals show woh what actor venkatprabhu also back with his own style good direction screenplay interesting unpredictable timeloop film u1 mass bgm makes more thrilling simbu acting is extraordinary will become his career best film best theatre released movie 2021 firsthalf mass secondhalf maranamass must watch worthy film recent times only theatre,0.584375,0.35312499999999997,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.11, 'Fear': 0.0}"
8,Stunning screenplay..!!,I am very happy to watch time loop in tamil... Excellent screenplay and very fast and thriller movie... Simbu and sj sury acted soo well... I am very happy to watch time loop in tamil... Excellent screenplay and very fast and thriller movie... Simbu and sj surya acted soo well...,stunning screenplay,i am very happy watch time loop tamil excellent screenplay very fast thriller movie simbu sj sury acted soo well i am very happy watch time loop tamil excellent screenplay very fast thriller movie simbu sj surya acted soo well,0.9371428571428572,0.7171428571428571,Positive,"{'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.0, 'Fear': 0.0}"
10,TREAT FOR STR FANS AND A STRONG COMEBACK,A Time Loop concept which has used perfectly by Venkat Prabhu. STR shining in this movie. SJ Suriya's comic sense and villainism was really enjoyed by audience. A perfect entertainer for sure. This is an actual DIWALI🔥🔥🔥🔥,treat str fans strong comeback,time loop concept which has used perfectly by venkat prabhu str shining this movie sj suriyas comic sense villainism was really enjoyed by audience perfect entertainer sure this is actual diwali,0.7031746031746032,0.5261904761904762,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
8,A Tamil movie unlike any other in the recent past!,"I went into this movie with 0 expectations, and it was SO MUCH better than I thought it would be.People have tried different things in Kollywood in past with little success, while this different attempt deserves credit, if the movie is bad, it's just bad. But Tamil audience gets up in arms about the bad reviews and says ""You'd watch the exact same concept in a Hollywood movie, but you trash it in Kollywood? You're anti-national!"" LMAOwut?THIS is how those movies should have panned out. Glad that the general Tamil audience has something to compare the deservedly trash movies to. Shoutout to Venkat Prabhu for trying something different and actually pulling it off really well.I can't believe I'm saying this but Simbu, SJ Surya did a great job, however, the writing and editing steal the show. This bold script could have ended up being trash, but faaar from it. You, of course, have to suspend some disbelief (which you need to do for Hollywood movies as well) and this movie will keep you engaged, from start to finish. No mirch masala, no drama. No duets and unnecessary songs and dances; overall a no-nonsense movie, the likes of which you've not watched in Tamil cinema for a while.Watch this in the theaters to really be immersed, especially for Yuvan Shankar Raja's music.",tamil movie unlike any other recent past,i went into this movie with 0 expectations it was so much better than i thought it would be people have tried different things kollywood past with little success while this different attempt deserves credit if movie is bad its just bad but tamil audience gets up arms about bad reviews says youd watch exact same concept hollywood movie but you trash it kollywood youre anti national lmaowut this is how those movies should have panned out glad that general tamil audience has something compare deservedly trash movies shoutout venkat prabhu trying something different actually pulling it off really well i cant believe im saying this but simbu sj surya did great job however writing editing steal show this bold script could have ended up being trash but faaar it you course have suspend some disbelief which you need do hollywood movies as well this movie will keep you engaged start finish no mirch masala no drama no duets unnecessary songs dances overall no nonsense movie likes which youve not watched tamil cinema while watch this theaters really be immersed especially yuvan shankar rajas music,0.4646666666666666,-0.0071666666666666415,Negative,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.33, 'Sad': 0.21, 'Fear': 0.31}"
7,ENTERTAINING BRAIN TEASER: VP Repeats MANKATHA Magic For STR,"Maanaadu is a feast of sound, vision, even taste. It is noteworthy that Venkat Prabhu tells a complex sci-fi story, but it is completely plausible with a good first half of being confronted with a film whose plot one can predict after a while, only to be confronted a little later with twists and turns that were simply KICKASS. You could say that halfway through as it makes you anticipate for an interval bang and the film does a U-turn which pays off.Venkat Prabhu shows the power dynamics and how corrupt people incite violence in the name of religion and the depths of the human mind where terrifying creatures can hide. But what makes the film so interesting: The irony with which the he proceeded here with his writing for SJ Suryah (Dhanuskodi) whose over the top antics is fun to watch supported by Simbu's (Abdul Khaaliq) excellent performance and it is commendable to see him experiment shedding his mass hero image. The conflict fits in harmoniously and with disastrous consequences in the event and challenging their own fate. They both hold the plot together and it is the beginning and the end and it repeats (maybe Part 2).The editing deserves a special mention here, so expect a break neck pace and whiplash sequences which keeps the 2nd half in a tense zone, It is supported with terrific soundtrack by Yuvan Shankar Raja (whoever saw the film will understand that).Conclusion: It has a unique vision, and VP stages scenes in an interesting way to express the tug-of-war and i'm sure it will cater to all types of audiences. This film contains all the things that an audience would expect to make it a pure entertaining and HOOT worthy watch.",entertaining brain teaser vp repeats mankatha magic str,maanaadu is feast sound vision even taste it is noteworthy that venkat prabhu tells complex sci fi story but it is completely plausible with good first half being confronted with film whose plot one can predict after while only be confronted little later with twists turns that were simply kickass you could say that halfway through as it makes you anticipate interval bang film does u turn which pays off venkat prabhu shows power dynamics how corrupt people incite violence name religion depths human mind where terrifying creatures can hide but what makes film so interesting irony with which he proceeded here with his writing sj suryah dhanuskodi whose over top antics is fun watch supported by simbus abdul khaaliq excellent performance it is commendable see him experiment shedding his mass hero image conflict fits harmoniously with disastrous consequences event challenging their own fate they both hold plot together it is beginning end it repeats maybe part 2 editing deserves special mention here so expect break neck pace whiplash sequences which keeps 2nd half tense zone it is supported with terrific soundtrack by yuvan shankar raja whoever saw film will understand that conclusion it has unique vision vp stages scenes interesting way express tug war im sure it will cater all types audiences this film contains all things that audience would expect make it pure entertaining hoot worthy watch,0.6025493025493025,0.1719877344877345,Positive,"{'Happy': 0.22, 'Angry': 0.08, 'Surprise': 0.35, 'Sad': 0.18, 'Fear': 0.16}"
8,Time loop regionalised brilliantly ...,"RATED 8/10 Language: Tamil RECOMMENDEDThe time loop concept is regionalised superbly. They added nice mass masala and the repeated scenes are handled cleverly.Its definitely the comeback movie for both STR and VP. And cherry on the top is SJ Surya. I cant imagine anyone on his Role. He is so comic and con at the same time.After second half the sequences between STR and SJ are high level entertainment points of the movie... it has its own drawback also like templated time loop sequences, bit slow pace in the first half and bit lengthy action sequences... Still the movie is entertaining to the core.Worth the watch.",time loop regionalised brilliantly,rated 8 10 language tamil recommendedthe time loop concept is regionalised superbly they added nice mass masala repeated scenes are handled cleverly its definitely comeback movie both str vp cherry top is sj surya i cant imagine anyone his role he is so comic con at same time after second half sequences between str sj are high level entertainment points movie it has its own drawback also like templated time loop sequences bit slow pace first half bit lengthy action sequences still movie is entertaining core worth watch,0.49805555555555553,0.2607407407407407,Positive,"{'Happy': 0.07, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.07, 'Fear': 0.29}"
10,"Yes, concept copied, But Screenplay Original","Maanaadu, One of the best Indian film in recent years. I am sure that this movie will be remaked in Hindi. Such a great movie. S. J. Suriya acting is really excellent.I want the film to collect more than 100 crores. Every one watch the film in theatre.",yes concept copied but screenplay original,maanaadu one best indian film recent years i am sure that this movie will be remaked hindi such great movie s j suriya acting is really excellent i want film collect more than 100 crores every one watch film theatre,0.5487654320987655,0.46388888888888885,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.14}"
10,Best Entertainer with Good Information and Ideology,"I didn't expect this kind of film, script, screenplay from Venkat Prabhu. Used his talent usefully and greatly.Very outstanding seat edge Time loop Sci-Fi thriller film not only for Tamil Audience but also for everyone in India. Real political based PAN India Film.While watching the films like Source Code, Tenet we must involve and raise questions ourselves ""What's next? What's next?"". Likewise we feel it here.SilambarasanTR and SJ Suriya performed very neatly with their beast mode of acting. Rest other actors gave their contribution clearly. Yuvan BGM Thunder Storm.Praveen KL Editing Extra-ordinary (His Work must be more challenge-able than others. Handled Rightly and Perfectly).Cinematography and Visual Effects made the film as a visual treat. For one Single shot, they kept many angles with different perspective view of the scene. It's really challenge-able and Interestingly Worked.Surely we will give standing ovation for their mind-blowing work. Fully satisfy all class of audience. Definitely you will feel the different set of experience if you're the first time Timeloop film watcher. Commercial film need to be like this!Worldwide Blockbuster Hit. Gain more repeat audience. Another Biggest Box Office Collection Film of this year.Theme: Root of one big artificial disaster happening for the society or community lies on one's greediness and for their own profit.Exact Diwali Treat it is!Now Simbhu Fans, its time for you to celebrate well.. Audience Reaction: ""Theater'ku Vandhom Paarthom Magizhndhom Repeat'u""",best entertainer with good information ideology,i didnt expect this kind film script screenplay venkat prabhu used his talent usefully greatly very outstanding seat edge time loop sci fi thriller film not only tamil audience but also everyone india real political based pan india film while watching films like source code tenet we must involve raise questions ourselves whats next whats next likewise we feel it here silambarasantr sj suriya performed very neatly with their beast mode acting rest other actors gave their contribution clearly yuvan bgm thunder storm praveen kl editing extra ordinary his work must be more challenge able than others handled rightly perfectly cinematography visual effects made film as visual treat one single shot they kept many angles with different perspective view scene its really challenge able interestingly worked surely we will give standing ovation their mind blowing work fully satisfy all class audience definitely you will feel different set experience if youre first time timeloop film watcher commercial film need be like this worldwide blockbuster hit gain more repeat audience another biggest box office collection film this year theme root one big artificial disaster happening society or community lies ones greediness their own profit exact diwali treat it is now simbhu fans its time you celebrate well audience reaction theaterku vandhom paarthom magizhndhom repeatu,0.44413832199546477,0.22867346938775515,Positive,"{'Happy': 0.12, 'Angry': 0.02, 'Surprise': 0.24, 'Sad': 0.17, 'Fear': 0.45}"
10,Maanadu movie fantastic time loop,"This movie time loop concept full intersting thriller.story,screeplay awesome Str acting comeback form, Sj surya energetic mass perfomance, U1 bgm super comeback, Other all characters acting good, OVERALL maanadu venkat prabhu treat.",maanadu movie fantastic time loop,this movie time loop concept full intersting thriller story screeplay awesome str acting comeback form sj surya energetic mass perfomance u1 bgm super comeback other all characters acting good overall maanadu venkat prabhu treat,0.45916666666666667,0.3158333333333333,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.2}"
10,Best time loop movie of tamil cinema,SJ SURYA acting is rocking. Simbu interval scene is the best in this movie. I expect part 2 from venkat prabu. Hats off to director for the script.Yuvan Bgm is the terrific. For every scene different bgm. Simbu and yuvan combo are always a magic.,best time loop movie tamil cinema,sj surya acting is rocking simbu interval scene is best this movie i expect part 2 venkat prabu hats off director script yuvan bgm is terrific every scene different bgm simbu yuvan combo are always magic,0.5333333333333333,0.4166666666666667,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.62, 'Sad': 0.25, 'Fear': 0.0}"
