Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,What makes the Telugu industry so interesting again ? Mahanati.,"From a person who has almost zero knowledge about the telugu film industry and its upbringing, Mahanati's aura and atmosphere will always be distant from me. But even from that itself i was able to witness an epic, drawn from a simple script and effort that makes this a great, if not , a must watch. Telugu film industry is probably considered by many as the place that houses simple, no nonsense mass masala films. But recent times has proven us wrong. From Rangasthalam , Baahubali and Arjun Reddy, it has proven itself to be able to sustain well executed, brilliant films as well.Mahanati will be a film that has the potential to be a classic. But not all biographies achieve the reach and attention that Mahanati so easily gets. It's not about the making, but how the story is told that makes it so damn exciting. From the loose opening to the grandeur ending, Mahanati is a gift to all those who embrace film in its raw form : to tell a story. Biographies often have the tendency to fictionalize certain events for dramatic purposes. And i don't know how much Mahanati is fictionalized. As much as i can differ between those which are fictionalized and those which are real, Mahanti has done that expertly. The fictionalization is on spot. It can be compared to, perhaps as a event that is to emphasize something more, rather than just a blunt scene.Mahanati's biggest plus might be its cast. Keerthy Suresh has grown from a simple, 'cute' actress to someone who can wield powerful performances, if demanded. Dulquer, Samantha all provided the performance that everyone expects. It is sure a economical casting. Dulquer has his roots in Malayalam. So does Keerthy. Samantha has established herself a prominent actress in the whole of south India and Vijay Deverakonda's next film is sure to make the counters ticking. The cinematography does need some mention. The frames were slick, moving and fast. It doesn't sacrifice space for sub-par elements. Though the comedic scenes were bit of a mess. Perhaps it appeals to the region based film critics.Mahanati is south India's answer to a legend. And it sure is one. .",what makes telugu industry so interesting again mahanati,person who has almost zero knowledge about telugu film industry its upbringing mahanatis aura atmosphere will always be distant me but even that itself i was able witness epic drawn simple script effort that makes this great if not must watch telugu film industry is probably considered by many as place that houses simple no nonsense mass masala films but recent times has proven us wrong rangasthalam baahubali arjun reddy it has proven itself be able sustain well executed brilliant films as well mahanati will be film that has potential be classic but not all biographies achieve reach attention that mahanati so easily gets its not about making but how story is told that makes it so damn exciting loose opening grandeur ending mahanati is gift all those who embrace film its raw form tell story biographies often have tendency fictionalize certain events dramatic purposes i dont know how much mahanati is fictionalized as much as i can differ between those which are fictionalized those which are real mahanti has done that expertly fictionalization is spot it can be compared perhaps as event that is emphasize something more rather than just blunt scene mahanatis biggest plus might be its cast keerthy suresh has grown simple cute actress someone who can wield powerful performances if demanded dulquer samantha all provided performance that everyone expects it is sure economical casting dulquer has his roots malayalam so does keerthy samantha has established herself prominent actress whole south india vijay deverakondas next film is sure make counters ticking cinematography does need some mention frames were slick moving fast it doesnt sacrifice space sub par elements though comedic scenes were bit mess perhaps it appeals region based film critics mahanati is south indias answer legend it sure is one,0.5673052173052173,0.20941243441243443,Positive,"{'Happy': 0.11, 'Angry': 0.04, 'Surprise': 0.06, 'Sad': 0.36, 'Fear': 0.43}"
10,Thank you Nag Ashwin,"I wanted to give it 9 stars because movie did take artistic liberty with a few of the scenes, but I have nothing but praise for how they went about making this film. The parallel story to help us connect with the past is brilliant story telling. The research done by the costume department paired with the cinematography of Dani Sanchez-Lopez gives us the closest one can come to time traveling into the past while staying put. Venkateswara Rao Kotagiri's editing features seamless transitions when switching between time periods and helps with Savithri's aging process without abrupt change. The soundtracks and background music isn't you typical people breaking into song and dance but an extension to the emotions experienced by the characters. The director can pat his back for the casting. You have given a chance for Keerthi to show her acting skills. The support cast did a great job too. Samanth's dialog delivery at the end of the film gave me goosebumps. DQ's performance as a charmer translated across the screen. This is the sort of cinema I have been waiting for. If film making is one of the prominant art forms of contemporary telugu people, the commercial mass films do little to progress the art form. There is art for art's sake. There is art for a reason. This film is definitely the latter. I have often wondered how we went from the likes of Satyajit Ray to what we have today. This film is what I have missed for a long time. It makes me proud of my heritage. I cant wait to watch some of the older films featured in this film.It left me teary eyed and stronger somehow. Thank you Nag Ashwin for this work. I will follow your career closely from now on.",thank you nag ashwin,i wanted give it 9 stars because movie did take artistic liberty with few scenes but i have nothing but praise how they went about making this film parallel story help us connect with past is brilliant story telling research done by costume department paired with cinematography dani sanchez lopez gives us closest one can come time traveling into past while staying put venkateswara rao kotagiris editing features seamless transitions when switching between time periods helps with savithris aging process without abrupt change soundtracks background music isnt you typical people breaking into song dance but extension emotions experienced by characters director can pat his back casting you have given chance keerthi show her acting skills support cast did great job too samanths dialog delivery at end film gave me goosebumps dqs performance as charmer translated across screen this is sort cinema i have been waiting if film making is one prominant art forms contemporary telugu people commercial mass films do little progress art form there is art arts sake there is art reason this film is definitely latter i have often wondered how we went likes satyajit ray what we have today this film is what i have missed long time it makes me proud my heritage i cant wait watch some older films featured this film it left me teary eyed stronger somehow thank you nag ashwin this work i will follow your career closely now,0.39285714285714296,0.1351190476190476,Positive,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.2, 'Sad': 0.27, 'Fear': 0.39}"
9,A movie to be remembered as historic film in TFI,"#MAHANATI has all the fine elements of a great cinema in making like it is biopic, also a parallel plot running in 1980 (Vijay Antony and madhura vani portrayed by vijay and samantha) to tell the story of savitri amma since childhood to her death bed. Film director Nag Ashwin had taken time to research every detailed aspect of the film be it talking to savitri's family members to know about her in detailed and to study the sets for recreating 1950s era.( lot of story-boarding work was done ).Initially it takes us some time to adjust to era's of 1950s and 1980s then as we slowly encounter and adjust to characters especially little cute child savitra amma with song aagipo balyamma there is no looking back. Costumes are designed picture perfect just to mesmerize as if we are looking exactly 1950s era.Thanks to cinematographer Dani Sanchez Lopez for making us visualize resplendent montage of golden era. There is huge star cast enacted with main leads Keerthy Suresh brilliant portrayal as cute innocent #Mahanati and Dulquer salmaan as loverboy with grey shades (Gemini ganeshan) well supported by others like Rajendra prasad(chowdary garu), Mohanbabu (as Late SV Rangarao garu), Prakash raj, Krishh (legendary KV Reddy garu), Naga chaitanya (Late ANR garu ),Naresh(in a key role). One important aspect of the film is it has recreated the grandeur of small bits and pieces of famous films like mayabazaar and Devadasu (1953) to name a few which are exquisitely shot in vintage black and white. A film which tells the tale of savitri as great human being(philanthropist), vintage car enthusiast besides great acting(300 films), singing and directing across multiple languages. Music and BGM by Mickey J meyer has soothing effect which matches the golden era. This film is a honest tribute to Legendary MAHANATI Savithri Garu. Take a bow to all the cast and crew for their wonderful performances.# This film will be remembered in history of TFI as the first BIOPIC with reverences of stalwarts like NTR garu, ANR garu, K V reddy garu, SV Rangarao garu, Savitri amma, LV prasad garu, etc. , NOTE: the above are just my views and understanding ...and don't treat this as review. EPICs cannot be reviewed just see and enjoy.",movie be remembered as historic film tfi,has all fine elements great cinema making like it is biopic also parallel plot running 1980 vijay antony madhura vani portrayed by vijay samantha tell story savitri amma since childhood her death bed film director nag ashwin had taken time research every detailed aspect film be it talking savitris family members know about her detailed study sets recreating 1950s era lot story boarding work was done initially it takes us some time adjust eras 1950s 1980s then as we slowly encounter adjust characters especially little cute child savitra amma with song aagipo balyamma there is no looking back costumes are designed picture perfect just mesmerize as if we are looking exactly 1950s era thanks cinematographer dani sanchez lopez making us visualize resplendent montage golden era there is huge star cast enacted with main leads keerthy suresh brilliant portrayal as cute innocent dulquer salmaan as loverboy with grey shades gemini ganeshan well supported by others like rajendra prasad chowdary garu mohanbabu as late sv rangarao garu prakash raj krishh legendary kv reddy garu naga chaitanya late anr garu naresh key role one important aspect film is it has recreated grandeur small bits pieces famous films like mayabazaar devadasu 1953 name few which are exquisitely shot vintage black white film which tells tale savitri as great human being philanthropist vintage car enthusiast besides great acting 300 films singing directing across multiple languages music bgm by mickey j meyer has soothing effect which matches golden era this film is honest tribute legendary mahanati savithri garu take bow all cast crew their wonderful performances this film will be remembered history tfi as first biopic with reverences stalwarts like ntr garu anr garu k v reddy garu sv rangarao garu savitri amma lv prasad garu etc note above are just my views understanding dont treat this as review epics cannot be reviewed just see enjoy,0.55,0.2918560606060607,Positive,"{'Happy': 0.28, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.23, 'Fear': 0.23}"
7,A Compelling biopic on Savitri's reel and real persona. can't praise it enough!!,"I've never in my wildest thought would have imagined Keerthy Suresh could be a testament, her presence match on par to the late Savitri that there is not a frame in this film that doesn't feel her infection leaving a mark which will remain with you long after the cinema. It was a facepalm moment for the Keerthy Suresh critic in me while witnessing Mahanati, the star who has slogged her way through so much mediocre films, has had her fair share of significance in tinsel town to woo bozos with her expressions. Well let me stop, this was my perception of the star and it's a kick in the teeth moment for me after getting to see Mahanati. Well I wanted to do my ritual of having a little booze before entering a mediocre film with my friends. To add to the tragedy with a day left for Karnataka elections, Government had notified pubs and bars to be closed till 12th of May. Well, a U-turn to return home was couple of Kms away, but stayed for the sake of Dulquer Salman. Tada, a decent reason to put aside the cringe Keerthy Suresh and watch the film. So entered the cinema hall full sober in Gandhinagar which is the hubspot of cinema fans across Bangalore.The movie ended, i walked out of cinema with such a great joy of seeing a good Telugu film after ages. The last movie which fits the bill will forever be 2013's 'Seethamma Vakitlo Sirimalle Chettu'. Keerthy Suresh had maintained a childlike innocence throughout the runtime, might look artificial and cringey but the score helps. As you may be aware that the story follows Savitri's exodus from her village to Madras who dreams of making it big while her well-wishers believe that she can create waves in repertoire cinema. She then meets the Quixotic Gemini Ganeshan and her life blooms as she travels in green pastures.Well good things come to an end so does this love story of rags to riches and riches to rags. I don't want dig more on the story as the movie plays out like a partly like a melodrama documentary. The screenplay filled with subtext provided a sort of ongoing commentary on the story that makes it much more interesting. Seeing obvious parallels with the lead actress' reel and real lives collide is odd, but like the parallels between Savitri and the character she is preparing to play, it only adds depth to the story and gives us more insight into what is happening and mixes effortlessly with the central story. Sure to captivate, Mahanati is a fine piece of film which will be lauded by cinema enthusiasts.",compelling biopic savitris reel real persona cant praise it enough,ive never my wildest thought would have imagined keerthy suresh could be testament her presence match par late savitri that there is not frame this film that doesnt feel her infection leaving mark which will remain with you long after cinema it was facepalm moment keerthy suresh critic me while witnessing mahanati star who has slogged her way through so much mediocre films has had her fair share significance tinsel town woo bozos with her expressions well let me stop this was my perception star its kick teeth moment me after getting see mahanati well i wanted do my ritual having little booze before entering mediocre film with my friends add tragedy with day left karnataka elections government had notified pubs bars be closed till 12th may well u turn return home was couple kms away but stayed sake dulquer salman tada decent reason put aside cringe keerthy suresh watch film so entered cinema hall full sober gandhinagar which is hubspot cinema fans across bangalore movie ended i walked out cinema with such great joy seeing good telugu film after ages last movie which fits bill will forever be 2013s seethamma vakitlo sirimalle chettu keerthy suresh had maintained childlike innocence throughout runtime might look artificial cringey but score helps as you may be aware that story follows savitris exodus her village madras who dreams making it big while her well wishers believe that she can create waves repertoire cinema she then meets quixotic gemini ganeshan her life blooms as she travels green pastures well good things come end so does this love story rags riches riches rags i dont want dig more story as movie plays out like partly like melodrama documentary screenplay filled with subtext provided sort ongoing commentary story that makes it much more interesting seeing obvious parallels with lead actress reel real lives collide is odd but like parallels between savitri character she is preparing play it only adds depth story gives us more insight into what is happening mixes effortlessly with central story sure captivate mahanati is fine piece film which will be lauded by cinema enthusiasts,0.4893055555555555,0.15947916666666667,Positive,"{'Happy': 0.18, 'Angry': 0.11, 'Surprise': 0.15, 'Sad': 0.27, 'Fear': 0.29}"
9,Telegu Who Knew?,"I'm mostly familiar with Bollywood, although I have seen a few Tamil movies. This title was both a cinematic and a learning experience for me. It's a biopic of the most famous actress in Telegu cinema of the 50's and 60's. The story may seem awfully familiar, but I guess that's the fate of fame. Here's what I loved about this film: the integration of two stories, one modern, one historical; the amazing abilitiy, innocence, sweetness and essential goodness of Savitri (and the actress who portrayed her); the use of the black & white recreations of old film; the depiction of a wide-open film industry like Hollywood was said to be in the 1930's; and finally, the scaled-down musical numbers (I really don't like the nouveau Bollywood musical numbers, with the hip-hop, modern clothing and blondes). I did some reading and You-Tubing after I watched this, and the accuracy of this depiction seems spot-on. I don't give 10s as a rule, but this film is 9+.",telegu who knew,im mostly familiar with bollywood although i have seen few tamil movies this title was both cinematic learning experience me its biopic most famous actress telegu cinema 50s 60s story may seem awfully familiar but i guess thats fate fame heres what i loved about this film integration two stories one modern one historical amazing abilitiy innocence sweetness essential goodness savitri actress who portrayed her use black white recreations old film depiction wide open film industry like hollywood was said be 1930s finally scaled down musical numbers i really dont like nouveau bollywood musical numbers with hip hop modern clothing blondes i did some reading you tubing after i watched this accuracy this depiction seems spot i dont give 10s as rule but this film is 9,0.38282828282828285,0.1421717171717172,Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.1, 'Fear': 0.55}"
8,An unfinished beautiful painting,"A rags to riches story fascinates and provokes admiration, just as riches to rags story evokes sympathy. How are we to feel about the life of Savithri who in a short life span of 45 years combined both? She was never in destitution, to be sure, but the film wants the audience to experience extreme highs and lows along with her, and by and large delivers. The film fields some of the biggest names, even in minor roles, a sign of the admiration, nay, veneration with which she is held. It is an honor just to be part of this film.It begins at the end, with a poignant scene of one of greatest actresses, lively and proud, who reached highest levels of stardom brought down on a stretcher, to the lowly grungy hospital floor as an unknown, nearly lifeless and in coma. The exploration of her past comes in the form of two journalists Samantha's Madhuravani (surely a tribute to Savithri's outstanding role in kanyaasulkam which unfortunately does not feature in the film), and Vijaya Devarakonda's Anthony. Child Savithri shelters a stray dog when she herself is seeking a shelter. If true, what happened to that dog may forever be lost to the posterity. What we know, however, is unlike some dog lovers, her caring and sharing nature extended to 'stray' humans who often repaid this magnanimity with emotional and financial exploitation.We see that Savithri is raised in her uncle and aunt's home after her father passes away when she is still a months baby. The uncle (ably played by Rajendra Prasad) motivated by the lucrative glitter of film world puts every effort to make her an actress. He is protective more than affectionate, merely a guardian, not a father figure she craves for. Then in her first visit to Madras she comes into contact with Gemini Ganesan. Dulqer Salman whose supremely charming portrayal will win many a female hearts, gives a hint of what impact handsome Gemini Ganesan had on an impressionable young teenager who finds in a guy twice her age what she misses in her life - caring father figure and an attentive romantic lover. A tiny detail of his being an already married man, with kids, and with an appetite for extramarital affairs on the side is hidden from her until she is already emotionally too far into the relationship to step back.In the popular imagination, marrying an already married man was the source of her tribulations. Surprisingly, as per the film, it plays little role in her downfall. One gets the impression that things would pan out in the same way, if she were the only married wife of Gemini Ganesan. The first wife rarely comes into picture, and the husband convinces Savithri with his male sophistry that his relationships with multiple women weighed less than his love for her. Then the film dwells into some of her finest performances, and lucky breaks, for her and for Telugu cinema, like missamma. The film initially, tantalizingly predicts her acting with NTR and ANR, but all three were never shown together in any frame, in spite of excellent candidates like missamma and gundamma katha (the latter did not make it to the cut, though superior to doctor chakravarthy which did). Mohan Babu's SVR got more screen presence with her and the only major actor shown talking about her acting prowess. Why? Because there is also an elephant in the room - in this case missing - when depicting her film career: NTR. He is virtually absent. Reportedly this was due to the refusal of Jr NTR portraying the legend, out of some pig headed humility, and the director refusal to field any one else. Unfortunately, even while making such great films, crass clannish considerations seep into and blight Telugu cinema. The director simply should have fielded some one else. This was an egregious blunder. At least among Telugu audience, depicting Savithri's professional world without NTR is akin to showing her personal world without Gemini Ganesan. The cracks appear in the marriage when her career is taking off when husband's is nosediving. Skirmishes are legion. When she takes to acting the guy takes to drinking and philandering. He protests disingenuously that she knew all this before the marriage. That was 'when she was Savithri, but now she is Savithri Ganesan' is her caustic reply. What she valued above anything else was trust and when people close to her break it, she is broken, repeatedly. The emotional turmoil compels her to walk out on Gemini Ganesan, in the process, severing her from the only support system she would otherwise have had in handling her finances which fall prey to a series of misjudgments and chicanery by the people she trusted.All this was by and large known and it was the details that were lacking in the public domain. How well she was taken care of during her last months had been a controversy. Her own daughter, in earlier interviews, and her son, more recently, have refuted allegations that Savithri suffered due to neglect. There were millions of her admirers and reportedly some donors who came forward to bear the expenses. The film could have been an opportunity to set the record straight.This most crucial and tragic phase of her life remains unanswered, due to director playing it safe. Admittedly it is a tightrope act to make a bioepic that could potentially offend those who are still alive. One gets the feeling that his role as a husband has been sanitized.Where the director excels is in the script and the introduction of fictional characters in the form of journalists. In the interleaving of past and present, their love is blossoming at the same time Savithri's is wilting. While the biography limits the director's ability to take too many liberties with the story, no such restraint existed for the fictional part and he exploits this creative dimension to the hilt and provides contrasting comic, but empathetic juxtaposition to increasingly gloomy downturn of Savithri's life. Madhuravani's Samantha speaks in stutters because she got stammer. There is no reason for Vijay Devarakonda speaking as if he is about to acquire one. He appeared to be the same character downloaded from his earlier 'pelli choopulu'. He could have been cast bit differently. However, both of them carried their roles with aplomb. So did Mohan Babu as SVR. It is charming to see the roles of legendary figures like Marcus Bartley, Singeetham, KV Reddy, mercurial Chakrapani. We miss countless others like Jamuna, Relangi, Suryakantam, Gummadi, redoubtable Adurti Subbaarao; and no MGR, Sivaji Ganesan either. The film could have an extended version for non-theatrical release. There is little mention of living contemporaries like Jamuna (Gudipudi Srihari, giant of a film critic, places her ahead of Savihtri), Kakarala Satyanarayana, who, but for his age, could have walked into SVR's role.Even these excellent performances are majestically upstaged by mesmerizing Keerthi Suresh in the title role. Her portrayal in the iconic 'aha naa pellanta' song is so close to the original that people, even without the excuse of short sight could mistake one for the other. This is just one of the many scenes she radiates as the legend. This is also severe indictment of hidebound Telugu film's habit treating female leads as decorative pieces instead of harnessing their talent.The director's another significant achievement is to bring Savithri to a new generation of young people. Finally this film is a beautiful, albeit an unfinished painting on a great canvas. I highly recommend seeing this on big screen.",unfinished beautiful painting,rags riches story fascinates provokes admiration just as riches rags story evokes sympathy how are we feel about life savithri who short life span 45 years combined both she was never destitution be sure but film wants audience experience extreme highs lows along with her by large delivers film fields some biggest names even minor roles sign admiration nay veneration with which she is held it is honor just be part this film it begins at end with poignant scene one greatest actresses lively proud who reached highest levels stardom brought down stretcher lowly grungy hospital floor as unknown nearly lifeless coma exploration her past comes form two journalists samanthas madhuravani surely tribute savithris outstanding role kanyaasulkam which unfortunately does not feature film vijaya devarakondas anthony child savithri shelters stray dog when she herself is seeking shelter if true what happened that dog may forever be lost posterity what we know however is unlike some dog lovers her caring sharing nature extended stray humans who often repaid this magnanimity with emotional financial exploitation we see that savithri is raised her uncle aunts home after her father passes away when she is still months baby uncle ably played by rajendra prasad motivated by lucrative glitter film world puts every effort make her actress he is protective more than affectionate merely guardian not father figure she craves then her first visit madras she comes into contact with gemini ganesan dulqer salman whose supremely charming portrayal will win many female hearts gives hint what impact handsome gemini ganesan had impressionable young teenager who finds guy twice her age what she misses her life caring father figure attentive romantic lover tiny detail his being already married man with kids with appetite extramarital affairs side is hidden her until she is already emotionally too far into relationship step back popular imagination marrying already married man was source her tribulations surprisingly as per film it plays little role her downfall one gets impression that things would pan out same way if she were only married wife gemini ganesan first wife rarely comes into picture husband convinces savithri with his male sophistry that his relationships with multiple women weighed less than his love her then film dwells into some her finest performances lucky breaks her telugu cinema like missamma film initially tantalizingly predicts her acting with ntr anr but all three were never shown together any frame spite excellent candidates like missamma gundamma katha latter did not make it cut though superior doctor chakravarthy which did mohan babus svr got more screen presence with her only major actor shown talking about her acting prowess why because there is also elephant room this case missing when depicting her film career ntr he is virtually absent reportedly this was due refusal jr ntr portraying legend out some pig headed humility director refusal field any one else unfortunately even while making such great films crass clannish considerations seep into blight telugu cinema director simply should have fielded some one else this was egregious blunder at least among telugu audience depicting savithris professional world without ntr is akin showing her personal world without gemini ganesan cracks appear marriage when her career is taking off when husbands is nosediving skirmishes are legion when she takes acting guy takes drinking philandering he protests disingenuously that she knew all this before marriage that was when she was savithri but now she is savithri ganesan is her caustic reply what she valued above anything else was trust when people close her break it she is broken repeatedly emotional turmoil compels her walk out gemini ganesan process severing her only support system she would otherwise have had handling her finances which fall prey series misjudgments chicanery by people she trusted all this was by large known it was details that were lacking public domain how well she was taken care during her last months had been controversy her own daughter earlier interviews her son more recently have refuted allegations that savithri suffered due neglect there were millions her admirers reportedly some donors who came forward bear expenses film could have been opportunity set record straight this most crucial tragic phase her life remains unanswered due director playing it safe admittedly it is tightrope act make bioepic that could potentially offend those who are still alive one gets feeling that his role as husband has been sanitized where director excels is script introduction fictional characters form journalists interleaving past present their love is blossoming at same time savithris is wilting while biography limits directors ability take too many liberties with story no such restraint existed fictional part he exploits this creative dimension hilt provides contrasting comic but empathetic juxtaposition increasingly gloomy downturn savithris life madhuravanis samantha speaks stutters because she got stammer there is no reason vijay devarakonda speaking as if he is about acquire one he appeared be same character downloaded his earlier pelli choopulu he could have been cast bit differently however both them carried their roles with aplomb so did mohan babu as svr it is charming see roles legendary figures like marcus bartley singeetham kv reddy mercurial chakrapani we miss countless others like jamuna relangi suryakantam gummadi redoubtable adurti subbaarao no mgr sivaji ganesan either film could have extended version non theatrical release there is little mention living contemporaries like jamuna gudipudi srihari giant film critic places her ahead savihtri kakarala satyanarayana who but his age could have walked into svrs role even these excellent performances are majestically upstaged by mesmerizing keerthi suresh title role her portrayal iconic aha naa pellanta song is so close original that people even without excuse short sight could mistake one other this is just one many scenes she radiates as legend this is also severe indictment hidebound telugu films habit treating female leads as decorative pieces instead harnessing their talent directors another significant achievement is bring savithri new generation young people finally this film is beautiful albeit unfinished painting great canvas i highly recommend seeing this big screen,0.5044860947133674,0.16501423870742055,Positive,"{'Happy': 0.15, 'Angry': 0.07, 'Surprise': 0.21, 'Sad': 0.27, 'Fear': 0.3}"
10,Must watch movie,Great biography and fantastic narration. It's like 5 hrs after the movie n I can still carry the feel. Credit goes to all the Cast n crew. Everyone performed their best.Must n Worth Watch film. #SavithriLivesForever #Mahanati,must watch movie,great biography fantastic narration its like 5 hrs after movie n i can still carry feel credit goes all cast n crew everyone performed their best must n worth watch film,0.5125,0.625,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.0, 'Fear': 0.38}"
10,Wonderful Film! Definitely one of my top movies.,"Keerthi Suresh the Savitri role played actress had given the pure justice to the veteran actress by her fabulous acting. In each scene she was exactly acted how audience need her to act. Director had made the film more interesting and emotional. My top list movie. I watched it late but my time had gone worth it. Trust me. Thanks for directing, producing and acting very well. All credits to All the team.",wonderful film definitely one my top movies,keerthi suresh savitri role played actress had given pure justice veteran actress by her fabulous acting each scene she was exactly acted how audience need her act director had made film more interesting emotional my top list movie i watched it late but my time had gone worth it trust me thanks directing producing acting very well all credits all team,0.41764705882352937,0.2508403361344538,Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.16, 'Fear': 0.47}"
9,Awesome movie; go for it!,"Direction, Background Music, artist performances....everything is superb.Especially 2nd half is really really good.",awesome movie go it,direction background music artist performances everything is superb especially 2nd half is really really good,0.5533333333333333,0.5066666666666666,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.0}"
10,Must watch,"I am not one of the best describer but here it goes. The movie was beautiful and it teared up people. One main thing to keep in mind is that don't expect Keerthi Suresh to be exactly like Savithri. In my opinion Keerthi's acting was perfect, in few scenes it was as if it was Savithri herself. Dulqar Salman acting as Gemini Ganesan was good. They way he would call her ""Amadi"" with affection was so beautiful. Samantha and Vijay Devarakonda, they did their best, the comedy was plesant. I love how the late 80's is shot, it was as if we are watching 80's movie. There were many actors whom I didn't expect to be in the movie but did well, even Sandeep Vanga was there. Shalini Pandey has not so big but imporatant role which she did perfectly. Ending credits showed old pictures and new pictures imitating old pictures. The way it would change from present to past is fluid. They did their best to fit everything in three hours. The costumes were beautiful. Director, producers and everyone else did such a good job. They did their research, I read how they spent long time recreating the costumes and jewelry. If the team is reading this, you people did your best. I haven't seen old people, my grandparent's generation coming to theaters to watch movies but there were people of all age groups, especially older people.Please don't miss this movie. This is movie of the year so far.",must watch,i am not one best describer but here it goes movie was beautiful it teared up people one main thing keep mind is that dont expect keerthi suresh be exactly like savithri my opinion keerthis acting was perfect few scenes it was as if it was savithri herself dulqar salman acting as gemini ganesan was good they way he would call her amadi with affection was so beautiful samantha vijay devarakonda they did their best comedy was plesant i love how late 80s is shot it was as if we are watching 80s movie there were many actors whom i didnt expect be movie but did well even sandeep vanga was there shalini pandey has not so big but imporatant role which she did perfectly ending credits showed old pictures new pictures imitating old pictures way it would change present past is fluid they did their best fit everything three hours costumes were beautiful director producers everyone else did such good job they did their research i read how they spent long time recreating costumes jewelry if team is reading this you people did your best i havent seen old people my grandparents generation coming theaters watch movies but there were people all age groups especially older people please dont miss this movie this is movie year so far,0.43498622589531677,0.3556473829201101,Positive,"{'Happy': 0.27, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.24}"
