Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,A Delightful Work Of Art. ♦ Grade B+,"This is the first Malayalam film after Drishyam (2013) where some of the audience got up and applauded during the end credits. And the another great thing about this sweet little dramedy is that an evening show in the cinema theater (INOX) was houseful, which is a rare occurrence in Mumbai.Mahesh (Faasil) is a small-time photographer who lives with his aging father in a town located in the hilly district of Idukki in Kerala. In love with a girl (Anusree) whom he wishes to marry and settle down with, things are going generally good for Mahesh until when he fatefully gets involved in an unrelated street fight, ultimately gifting him a black eye and several bruises along with ounces of shame for having been beaten up by a nobody in front of his own people in the middle of the town where his studio sits. What follows is an unabashed intention of seeking vengeance, but has Mahesh got the balls?The most interesting element about the film is inarguably the butterfly effect which causes the street fight. And watching it unfold is the most delightful thing you will see in a Malayalam film all year. How Mahesh gathers courage to find the guy who beat him up and to retaliate just to show that he's a man with dignity. Aggressive as it may sound, the screenplay is nothing but comic. The humor timing is perfect, and with the characters delivering one crispy dialogue after another, you will surely roll down the aisle laughing. The first act is full of genuine and creative comedy, while the second act takes a virulent turn but still keeping us hooked. By virulent, do not visualize gore or violence, but Mahesh's audacity to challenge his nemesis as he prepares to fight him and settle scores.The film even teaches you two or more things about love and photography (or any profession for that matter), educating you that if you move forward with your heart and wait for the right time, things WILL happen in your favor.What a person goes through when life turns upside down and when reality hits that one is nothing but a loser in life is the central theme of the film. How Mahesh bounces back is a pleasure to watch. Faasil is fantastic as he plays the typecast role with great finesse. Happy to see Anusree climbing up the ladder, and lesser-known Aparna Balamurali doing a good job. However, it is not because of the performance of one or two cast members that the film ejects pleasure bulbs, but because of how well the supporting cast have been directed. Soubin Shahir is amazing, no doubt.The use of silence between and during the sequences is another highlight of the film as the story maneuvers between comedy, drama, romance, and thrills. Nicely composed songs and fine camera work drives the 2-hour long film into a palpable work of art. Special mention for the titles and a sorta ambiguous ending, providing the audience a sugary taste in the mouth to relish the whole subject later.BOTTOM LINE: Débutante Dileesh Pothan's Maheshinte Prathikaaram is a highly entertaining comedy drama that will make you rave about it to your friends just because you can go watch it again with them. Worth the ticket price.Can be watched with a typical Indian family? YES",delightful work art grade b,this is first malayalam film after drishyam 2013 where some audience got up applauded during end credits another great thing about this sweet little dramedy is that evening show cinema theater inox was houseful which is rare occurrence mumbai mahesh faasil is small time photographer who lives with his aging father town located hilly district idukki kerala love with girl anusree whom he wishes marry settle down with things are going generally good mahesh until when he fatefully gets involved unrelated street fight ultimately gifting him black eye several bruises along with ounces shame having been beaten up by nobody front his own people middle town where his studio sits what follows is unabashed intention seeking vengeance but has mahesh got balls most interesting element about film is inarguably butterfly effect which causes street fight watching it unfold is most delightful thing you will see malayalam film all year how mahesh gathers courage find guy who beat him up retaliate just show that hes man with dignity aggressive as it may sound screenplay is nothing but comic humor timing is perfect with characters delivering one crispy dialogue after another you will surely roll down aisle laughing first act is full genuine creative comedy while second act takes virulent turn but still keeping us hooked by virulent do not visualize gore or violence but maheshs audacity challenge his nemesis as he prepares fight him settle scores film even teaches you two or more things about love photography or any profession that matter educating you that if you move forward with your heart wait right time things will happen your favor what person goes through when life turns upside down when reality hits that one is nothing but loser life is central theme film how mahesh bounces back is pleasure watch faasil is fantastic as he plays typecast role with great finesse happy see anusree climbing up ladder lesser known aparna balamurali doing good job however it is not because performance one or two cast members that film ejects pleasure bulbs but because how well supporting cast have been directed soubin shahir is amazing no doubt use silence between during sequences is another highlight film as story maneuvers between comedy drama romance thrills nicely composed songs fine camera work drives 2 hour long film into palpable work art special mention titles sorta ambiguous ending providing audience sugary taste mouth relish whole subject later bottom line d butante dileesh pothans maheshinte prathikaaram is highly entertaining comedy drama that will make you rave about it your friends just because you can go watch it again with them worth ticket price can be watched with typical indian family yes,0.5376609763402216,0.3095350404312669,Positive,"{'Happy': 0.18, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.3}"
10.0,A perfect movie experience,"""Maheshinte Prathikaaram"", what else could fit for a revenge drama other than this title? Maheshinte Prathikaaram is a portrait of Mahesh and everything related to Mahesh. A place playing a prominent role in a movie is something rare. And only few directors tried to do so, like Rajiv Ravi did in ""Annayum Rasoolum"" and "" Njan Steve Lopez"". Here, director Dhileesh Pothan also presented ""Idukki"" as a main Character.The primary aim of Maheshinte Prathikaaram is to make people laugh. Comedy is the main ingredient here. But, sometimes it is romantic. Sometimes very thrilling. The makers didn't used anything artificial to make us laugh, all the comedies were very realistic and situational. I felt a freshness in the presentation of this film. All the technical departments raced in the same pace. Shyju Khalid's photography, Bijibal's music and Saiju Sreedharan's editing, all these acted with mutual understanding and mutual respect. 100 marks for these departments.I have no more words to praise the performance of the cast. Fahadh Faasil played the lead character Mahesh with such an ease. No doubt he's the best actor among the youngsters in the industry. He's an actor with tremendous potential. The Soubin - Alancier combo just made the theater hall crazy. Anusree also did a great job. All the actors in this film just rocked.Maheshinte Prathikaaram is the best Malayalam movie released this year so far.",perfect movie experience,maheshinte prathikaaram what else could fit revenge drama other than this title maheshinte prathikaaram is portrait mahesh everything related mahesh place playing prominent role movie is something rare only few directors tried do so like rajiv ravi did annayum rasoolum njan steve lopez here director dhileesh pothan also presented idukki as main character primary aim maheshinte prathikaaram is make people laugh comedy is main ingredient here but sometimes it is romantic sometimes very thrilling makers didnt used anything artificial make us laugh all comedies were very realistic situational i felt freshness presentation this film all technical departments raced same pace shyju khalids photography bijibals music saiju sreedharans editing all these acted with mutual understanding mutual respect 100 marks these departments i have no more words praise performance cast fahadh faasil played lead character mahesh with such ease no doubt hes best actor among youngsters industry hes actor with tremendous potential soubin alancier combo just made theater hall crazy anusree also did great job all actors this film just rocked maheshinte prathikaaram is best malayalam movie released this year so far,0.5696428571428572,0.19761904761904758,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.2, 'Sad': 0.17, 'Fear': 0.49}"
,"The simple life, as you like it","A veritable breath of fresh air, this has to be one of the more hilarious movies I've seen in a long time, especially one that does not think you have to make things dumb in order to make your audience laugh. Thematically speaking, this has more to do with something of a butterfly effect, where the director actually shows something like that in motion for the audience to get used to how he plans to use it to propel the movie forward, and then goes and does it. Kind of dumbing-down a concept, but that's not the sound of me complaining, especially since the 1st instance of that is a veritable laugh-riot (many bouts of unexpected humor help too - especially the one with the flash mob, and the background conversations....hilarious!). While the 1st instance of said effect is on play, the makers also take the time to gradually setup the lives and real-time situation of the main characters, almost placing us within their lives, allowing us to begin caring for their fates. There is remarkable consistency, and looping back into previous instances, in a deceptively not all that engrossing fashion, but end up taking almost center-stage later in the movie. Kinda forces us to keep everything that's unfolding in perspective. Fahaadh Faasil, of 'Iyobinte pusthakam', 'Annayum Rasoolum', 'Bangalore days', '22, female, Kottayam' and many more, does a bang- up job, as always, with his natural responses to occurring stimuli, ably supported by everyone around him, especially Soubin Shahir ('Premam'), Aparna Balamurli (kudos to doing away with makeup), Aparna and Lijo Mol Jose (as also the actors who play his friend/business+home-neighbor) and father, respectively. The makers have taken care in fleshing out almost every character that surrounds our leads, and the actors are definitely lucky to get that on their drawing boards, getting actually mea that they can build upon. The cinematography deserves special mention, and I'm always fond of actual location work dictating the product and set designs, that Malayalam movies (other than the likes of something like '2 countries', which, for all its strengths, does not do well in this department) do so well. Both the background score and the songs are relevant and appropriate (courtesy Bijibal, somewhat of a legend like Rajesh Murugesan or Shaan Rehman), and this is an album worth listening to, on repeat mode. The fight choreography goes for something more realistic (albeit simple) that something mainstream Indian audiences are used to viewing, and though it is not in the league of 'Iyobinte Pusthakam', it definitely passes muster, and almost gets the tone that (I suspect) 'Action hero Biju' aspired to (but ultimately did not get, succumbing to finally using wire-fu). Not to be missed, and perhaps worth multiple viewings, at a large screen cinema close by...",simple life as you like it,veritable breath fresh air this has be one more hilarious movies ive seen long time especially one that does not think you have make things dumb order make your audience laugh thematically speaking this has more do with something butterfly effect where director actually shows something like that motion audience get used how he plans use it propel movie forward then goes does it kind dumbing down concept but thats not sound me complaining especially since 1st instance that is veritable laugh riot many bouts unexpected humor help too especially one with flash mob background conversations hilarious while 1st instance said effect is play makers also take time gradually setup lives real time situation main characters almost placing us within their lives allowing us begin caring their fates there is remarkable consistency looping back into previous instances deceptively not all that engrossing fashion but end up taking almost center stage later movie kinda forces us keep everything thats unfolding perspective fahaadh faasil iyobinte pusthakam annayum rasoolum bangalore days 22 female kottayam many more does bang up job as always with his natural responses occurring stimuli ably supported by everyone around him especially soubin shahir premam aparna balamurli kudos doing away with makeup aparna lijo mol jose as also actors who play his friend business home neighbor father respectively makers have taken care fleshing out almost every character that surrounds our leads actors are definitely lucky get that their drawing boards getting actually mea that they can build upon cinematography deserves special mention im always fond actual location work dictating product set designs that malayalam movies other than likes something like 2 countries which all its strengths does not do well this department do so well both background score songs are relevant appropriate courtesy bijibal somewhat legend like rajesh murugesan or shaan rehman this is album worth listening repeat mode fight choreography goes something more realistic albeit simple that something mainstream indian audiences are used viewing though it is not league iyobinte pusthakam it definitely passes muster almost gets tone that i suspect action hero biju aspired but ultimately did not get succumbing finally using wire fu not be missed perhaps worth multiple viewings at large screen cinema close by,0.47281746031746036,0.18107448107448104,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.18, 'Sad': 0.22, 'Fear': 0.43}"
10.0,Maheshinte Prathikaaram: A Different Take on life,Maheshinte Prathikaaram.. A different sort of a film when you compare it to the movies Fahad Faasil has done. The studio photographer Mahesh is a simple person without any high ambitions in life. His dad.. The most silent person you would see in that film.. But conveying his message through his silence beautifully. Mahesh likes a girl called Sowmya who is his childhood friend and the same applies to her. Unexpected turn of events leads to Mahesh engaging in a fight with a thug called Jimson who ends up beating Mahesh in front of the crowd. Mahesh gets all embarrassed in front of everyone. The following events that occur in Mahesh's life have been put together really well and is presented to you by Dileesh Pothan in a very good manner. Soubin's timely appearance along with the evergreen music of Bijibal make the film an absolute treat to watch. Special credits to Fahad Faasil for bringing out Mahesh so well. Overall rating:9/10,maheshinte prathikaaram different take life,maheshinte prathikaaram different sort film when you compare it movies fahad faasil has done studio photographer mahesh is simple person without any high ambitions life his dad most silent person you would see that film but conveying his message through his silence beautifully mahesh likes girl called sowmya who is his childhood friend same applies her unexpected turn events leads mahesh engaging fight with thug called jimson who ends up beating mahesh front crowd mahesh gets all embarrassed front everyone following events that occur maheshs life have been put together really well is presented you by dileesh pothan very good manner soubins timely appearance along with evergreen music bijibal make film absolute treat watch special credits fahad faasil bringing out mahesh so well overall rating 9 10,0.5045982142857144,0.2298214285714286,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.18, 'Fear': 0.39}"
9.0,Idukki kalakki,"Ever read a Maeve Binchy novel? Her books are never about just the central character but about the towns in Ireland, their people, culture and how all the characters are interwoven seamlessly to one another. MP is more than Mahesh's sweet revenge. It's about Idukki and its people. This is probably not a movie that I'd recommend to a non Malayali as the essence of the movie would be lost to them. This is one of my all time favourite movies of all time. Yes, it's slow paced and the plot is thin but this is a movie that one must savour like an exquisite wine. What a beautiful movie!! I became a fan of Fahadh Faasil after this one.",idukki kalakki,ever read maeve binchy novel her books are never about just central character but about towns ireland their people culture how all characters are interwoven seamlessly one another mp is more than maheshs sweet revenge its about idukki its people this is probably not movie that id recommend non malayali as essence movie would be lost them this is one my all time favourite movies all time yes its slow paced plot is thin but this is movie that one must savour like exquisite wine what beautiful movie i became fan fahadh faasil after this one,0.59375,0.2625,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4}"
7.0,Powerhouse Fahadh Faasil in the decent but messy story of dignitarial revenge.,"Maheshinte Prathikaaram (2016) : Brief Review -Powerhouse Fahadh Faasil in the decent but messy story of dignitarial revenge. Maheshinte Prathikaaram is unexpectedly pretty much entertaining film, quite nice and humourous break from intense filmography of Faasil. Although, it doesn't surpass those high level expectations, the normal hype is easily matched by the film. Mahesh, a studio photographer and studio owner gets into a fight and loses his dignity in front of village. He ends up taking revenge which leads to certain realizations in his life. The film has its flaws and too many to be excluded. First, the love story, sorry love stories, there are two so. The first one looks quite dumb even for the rural standards, i mean naturally one cannot expect an intellectual lovestory of urban zone from the film set in village, right? The second is better though, however, the external behavior doens't really suit the characters. The girl looks like a college girl of around 18-19 years old and Faasil on the other side looks a man of 30+ age. It doesn't look happening and convincing somehow. Gladly, the film gas got powerhouse like Fahadh Faasil to have quality in at least one department otherwise the screenplay had messed it like a spring. Till the interval point film does not come to point and wastes those 50 minutes in telling useless stuff. From the beginning till the interval there are hardly 10 minutes which are related to the essence, and for rest 40 minutes, one has no clue what's going on. There is a scene when Mahesh sees his love interest for the first in the film in funeral scene and he's clicking picture. Can you believe, the girl who is supposed to be unhappy and sorrowful is smiling while posing beside the dead body. How? What the hell was that? Anyways, its a good one time flick but please don't expect anything classy except for performances of all the actors.RATING - 7/10*By - #samthebestest.",powerhouse fahadh faasil decent but messy story dignitarial revenge,maheshinte prathikaaram 2016 brief review powerhouse fahadh faasil decent but messy story dignitarial revenge maheshinte prathikaaram is unexpectedly pretty much entertaining film quite nice humourous break intense filmography faasil although it doesnt surpass those high level expectations normal hype is easily matched by film mahesh studio photographer studio owner gets into fight loses his dignity front village he ends up taking revenge which leads certain realizations his life film has its flaws too many be excluded first love story sorry love stories there are two so first one looks quite dumb even rural standards i mean naturally one cannot expect intellectual lovestory urban zone film set village right second is better though however external behavior doenst really suit characters girl looks like college girl around 18 19 years old faasil other side looks man 30 age it doesnt look happening convincing somehow gladly film gas got powerhouse like fahadh faasil have quality at least one department otherwise screenplay had messed it like spring till interval point film does not come point wastes those 50 minutes telling useless stuff beginning till interval there are hardly 10 minutes which are related essence rest 40 minutes one has no clue whats going there is scene when mahesh sees his love interest first film funeral scene hes clicking picture can you believe girl who is supposed be unhappy sorrowful is smiling while posing beside dead body how what hell was that anyways its good one time flick but please dont expect anything classy except performances all actors rating 7 10 by,0.5087241200828156,0.10374999999999998,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.31, 'Sad': 0.15, 'Fear': 0.31}"
7.0,The audience clapped when the film ended .....,"Dear Dileesh Pothan,I enjoyed Maheshinte Prathikaram. Everyone else in the movie theater also seemed to enjoy it. They clapped when the film ended.I liked the film's plot. A lovable and devote loser called Mahesh lives with his senile father. He goes through a bad patch in his life when he is beaten up in public, ditched by his girlfriend and criticized for being bad at his job (as a photographer). Mahesh seeks a revival in his life. He refuses to wear sandals until he takes revenge on the person who beat him up in public. It reminded me of Warren Oates vow of silence after his chicken is killed in a cockfight in Monte Hellman's Cockfighter.The film works as a character study with the upwardly mobile Christian community of Idukki as a background.Fahadh Fazil as Mahesh turns in a very respectable performance as usual. I hope he finally scores a hit with this one. Soubin Shahir had some of the best dialogs in the film. He really stole the show as Fahad's sidekick. Aparna Balamurali as the feisty and flirtatious young Christian girl is the perfect foil for the sober and humble Mahesh. Alancier Lay and Jaffer Idukki were decent without being spectacular. The actor who played Jimson had great body language, he brought back memories of Salim Ghose the villain in Bharathan's Thazhvaram.Dileesh, I would not have made the film the way you did. You did have some good ideas. But Mahesh's desperate attempts at regaining his confidence and masculinity could have been more interesting. But you seemed to be intent on making a feel good film without lingering for too long in the dark side. Why does every new Malaylam film have to eventually turn into a feel good film?Anyway I am glad that people like yourself are making films about some of the interesting people living in Kerala's villages and small towns. While the films made by some of you new generation filmmakers are not masterpieces, they are a lot better than the superhero films of Mammooty/Lalettan/Sureshgopi or the mediocre slapstick films of Jayram and Dileep.I also noticed that you and writer Sham Pushkaran adhered to the the ""New-gen directors manifesto"" containing the golden rules for New-gen filmmakers:1) Your film must contain one or more references to Lalettan or Mammukka or some film of theirs.2) Your film must contain a few scenes where the characters consume alcohol. 3) Your film must have a few scenes related to food - usually meen/fish curry or some obscure ""appam"" eaten by the people of that area and not known to people living in other parts of Kerala.4) Your film must portray extreme religiosity (like carrying a wooden cross to the top of Malayatoor Mala) as exotica.5) The hero must live in an extremely run down and dirty house with a dirty kitchen. You may use lighting or clever cinematography to take attention away the basic squalor of the house/kitchen. This would help in strengthening your ghetto credentials.I look forward to your next film. Best Regards,Pimpin.(7/10)",audience clapped when film ended,dear dileesh pothan i enjoyed maheshinte prathikaram everyone else movie theater also seemed enjoy it they clapped when film ended i liked films plot lovable devote loser called mahesh lives with his senile father he goes through bad patch his life when he is beaten up public ditched by his girlfriend criticized being bad at his job as photographer mahesh seeks revival his life he refuses wear sandals until he takes revenge person who beat him up public it reminded me warren oates vow silence after his chicken is killed cockfight monte hellmans cockfighter film works as character study with upwardly mobile christian community idukki as background fahadh fazil as mahesh turns very respectable performance as usual i hope he finally scores hit with this one soubin shahir had some best dialogs film he really stole show as fahads sidekick aparna balamurali as feisty flirtatious young christian girl is perfect foil sober humble mahesh alancier lay jaffer idukki were decent without being spectacular actor who played jimson had great body language he brought back memories salim ghose villain bharathans thazhvaram dileesh i would not have made film way you did you did have some good ideas but maheshs desperate attempts at regaining his confidence masculinity could have been more interesting but you seemed be intent making feel good film without lingering too long dark side why does every new malaylam film have eventually turn into feel good film anyway i am glad that people like yourself are making films about some interesting people living keralas villages small towns while films made by some you new generation filmmakers are not masterpieces they are lot better than superhero films mammooty lalettan sureshgopi or mediocre slapstick films jayram dileep i also noticed that you writer sham pushkaran adhered new gen directors manifesto containing golden rules new gen filmmakers 1 your film must contain one or more references lalettan or mammukka or some film theirs 2 your film must contain few scenes where characters consume alcohol 3 your film must have few scenes related food usually meen fish curry or some obscure appam eaten by people that area not known people living other parts kerala 4 your film must portray extreme religiosity like carrying wooden cross top malayatoor mala as exotica 5 hero must live extremely run down dirty house with dirty kitchen you may use lighting or clever cinematography take attention away basic squalor house kitchen this would help strengthening your ghetto credentials i look forward your next film best regards pimpin 7 10,0.4781545614878948,0.12039041205707876,Positive,"{'Happy': 0.11, 'Angry': 0.1, 'Surprise': 0.25, 'Sad': 0.23, 'Fear': 0.31}"
10.0,A ROLLER COASTER RIDE.,"Maheshinte Prathikaaram is the film I didn't want to be finished. I literally clapped after finishing the movie. This is all because of the brilliance of the writer Syam Pushkaran & Director Dileesh Pothan. Syam Pushkaran is also The Writer of Kumbalangi Nights - the film that made me a fan of Malayalam Cinema.The film can't be put in one genre. It is funny, romantic & also thrilling. The film won Best Screenplay & Best Film in Malayalam in 64th National Film Award. A Beautiful Movie Experience.You Can watch The Film on ManoramaMAX.©MandalBros.",roller coaster ride,maheshinte prathikaaram is film i didnt want be finished i literally clapped after finishing movie this is all because brilliance writer syam pushkaran director dileesh pothan syam pushkaran is also writer kumbalangi nights film that made me fan malayalam cinema film cant be put one genre it is funny romantic also thrilling film won best screenplay best film malayalam 64th national film award beautiful movie experience you can watch film manoramamax mandalbros,0.6833333333333332,0.5583333333333333,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.0}"
10.0,"""Super-Natural""","It is a 'Super' film with the amazing acting from Fahad Fasil, Aparna, Soubhin, Alancier, Jaffer Idukki and Antony Kochi. It is also a 'Natural' film with the amazing nature of 'Idukki'. *After watching this film, I decided to go to meet my relatives in Idukki when I get to Kerala. Especially, the slang and language in Idukki is beautifully used in this film. And the song 'Idukki' with lines, Ividuthe Kaattanu kaattu.... is very nostalgic. No words to express my feelings about this film. I'll surely suggest this film to anyone who love Malayalam Cinema.Simply, ""Beautiful"".",super natural,it is super film with amazing acting fahad fasil aparna soubhin alancier jaffer idukki antony kochi it is also natural film with amazing nature idukki after watching this film i decided go meet my relatives idukki when i get kerala especially slang language idukki is beautifully used this film song idukki with lines ividuthe kaattanu kaattu is very nostalgic no words express my feelings about this film ill surely suggest this film anyone who love malayalam cinema simply beautiful,0.7444444444444445,0.25833333333333336,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.42, 'Sad': 0.08, 'Fear': 0.25}"
9.0,Received a standing ovation when the film ended..........,"I went with my family to the theater on the 75th day of Maheshinte Prathikaram. Though I went with high expectations I was welcomed with a huge crowd in the hall (The day was also the release of Batman V Superman) I clearly doubted that it must be the viewers of BvS but surprisingly most of the youngsters and families were in the line for Maheshinte Prathikaram. I went on to watch the film with this in mind.First Half : The film starts with the 8 size lunar's chappal, introduced as symbolic of his coming revenge. the first half was mostly interesting. It revolved around Mahesh, his friends, family, love and Idukki. The Song 'idukki' gave the spectators a glimpse of the life and beauty of Idukki. The director had done well to indulge deep into the characters, but failed to cast a thrilling sensation between the fight. The audience became silent when the fight began, but I found one or two still laughing at the previous frame's joke. The first half ended with hilarious jokes and Mahesh's vow for revenge.Second Half : I saw in the first half one of the most well scripted story and I would definitely say that this film breached my expectations far beyond(better than Premam I would say). The second half did not lose its momentum but slightly lost its balance during the middle of the second half. The film mainly concentrated on comedy. But the first half love failure was also cast as a comedic genre.The second half, as I said was a bit laggy. I felt that most of my near spectators were becoming sleepy.But the film carried on, Fahadh's and Soubin's performance's being the most enjoyed. Babykuttan portrayed by Alancier Lay was the most laughed at character. The female lead roles's performance, was not up to the mark, I would say. The second half sparks in to life (nearing the end) when Mahesh (after learning Kung Fu and investigating about his avenger) returns to take his revenge. The Fight choreography and cinematography was superb, full marks for them. Breaking out of traditional fights, this film concentrated on realism and hand-held visuals.The fight was about 7 to 8 Min's, but that was worth it, Mahesh surely and splendidly avenged him. The film's climax and ending was a bit surprising for everyone. But I expected it to end any time, considering that it is a drama genre. I am not spoiling everything for you, left some twists and turns for you, the romantic scenes and of course his father.Verdict : One Of The Most Dramatic Films Released In Malayalam Ever.8 / 10",received standing ovation when film ended,i went with my family theater 75th day maheshinte prathikaram though i went with high expectations i was welcomed with huge crowd hall day was also release batman v superman i clearly doubted that it must be viewers bvs but surprisingly most youngsters families were line maheshinte prathikaram i went watch film with this mind first half film starts with 8 size lunars chappal introduced as symbolic his coming revenge first half was mostly interesting it revolved around mahesh his friends family love idukki song idukki gave spectators glimpse life beauty idukki director had done well indulge deep into characters but failed cast thrilling sensation between fight audience became silent when fight began but i found one or two still laughing at previous frames joke first half ended with hilarious jokes maheshs vow revenge second half i saw first half one most well scripted story i would definitely say that this film breached my expectations far beyond better than premam i would say second half did not lose its momentum but slightly lost its balance during middle second half film mainly concentrated comedy but first half love failure was also cast as comedic genre second half as i said was bit laggy i felt that most my near spectators were becoming sleepy but film carried fahadhs soubins performances being most enjoyed babykuttan portrayed by alancier lay was most laughed at character female lead roless performance was not up mark i would say second half sparks life nearing end when mahesh after learning kung fu investigating about his avenger returns take his revenge fight choreography cinematography was superb full marks them breaking out traditional fights this film concentrated realism hand held visuals fight was about 7 8 mins but that was worth it mahesh surely splendidly avenged him films climax ending was bit surprising everyone but i expected it end any time considering that it is drama genre i am not spoiling everything you left some twists turns you romantic scenes course his father verdict one most dramatic films released malayalam ever 8 10,0.38900000000000007,0.1585,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.17, 'Fear': 0.35}"
