Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,Fictional but powerful!!,"There are some movies that bashes on politics and corruption in the name of political drama. But, this movie is refreshing with multiple new angles - not vilifying the antagonist - they have a proper motive which the hero lacks, corrupt people - in fact everyone has a corrupt side right from the townsmen, the wives and even our hero. The beauty of this movie is the concept of 'one vote'. How the villains and the hero uses it makes it an absolutely engaging watch. Must watch!!",fictional but powerful,there are some movies that bashes politics corruption name political drama but this movie is refreshing with multiple new angles not vilifying antagonist they have proper motive which hero lacks corrupt people fact everyone has corrupt side right townsmen wives even our hero beauty this movie is concept one vote how villains hero uses it makes it absolutely engaging watch must watch,0.5582054309327037,0.05655253837072019,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.08, 'Fear': 0.54}"
10,Worth watching!!!! in recent times,"A fantastic experience with fun and emotions all along side with political and castism drama. Yogibabu excels his complete talents in his acting, well managed camera work and other technical aspects were also good.. worth watching.. should have been a better climax to have a completed experience although we can understand director's ideology to not to show mandela's vote to audience since vote is personal... Worth watching... Expecting more like this from the director..",worth watching recent times,fantastic experience with fun emotions all along side with political castism drama yogibabu excels his complete talents his acting well managed camera work other technical aspects were also good worth watching should have been better climax have completed experience although we can understand directors ideology not show mandelas vote audience since vote is personal worth watching expecting more like this director,0.3016666666666667,0.21833333333333332,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.06, 'Fear': 0.33}"
10,A wonderfully written political satire!,One of the best movies I've ever watched. An astounding movie. Yogi Babu killed it!,wonderfully written political satire,one best movies ive ever watched astounding movie yogi babu killed it,0.4800000000000001,0.48,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10,Perfect movie,Excellent plot and released exactly at the required time. All the performers in this movie should be acclaimed. Cinematography and locations are great.,perfect movie,excellent plot released exactly at required time all performers this movie should be acclaimed cinematography locations are great,0.75,0.7625,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0}"
8,A long walk for Mr.Yogibabu.,Beautiful story line & screenplay. A long walk/journey for Mr.yogibabu who excels in acting.,long walk mr yogibabu,beautiful story line screenplay long walk journey mr yogibabu who excels acting,0.44999999999999996,0.18749999999999997,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.0, 'Fear': 0.6}"
10,An unexpected good entertainer with some social message,After seeing the trailer I just sat in front of TV just expecting some mokka climax with some yogi Babu's cracking jokes... But the movie started with how community acts towards dalits n then showed how even small politicians earn in politics... Then went very funnily how value a single vote is... And finished with acceptable climax... The movie is definitely a milestone for yogi babu... Kudos to team... Would be happy if I were able to see this in big screens.,unexpected good entertainer with some social message,after seeing trailer i just sat front tv just expecting some mokka climax with some yogi babus cracking jokes but movie started with how community acts towards dalits n then showed how even small politicians earn politics then went very funnily how value single vote is finished with acceptable climax movie is definitely milestone yogi babu kudos team would be happy if i were able see this big screens,0.5505952380952381,0.21369047619047618,Positive,"{'Happy': 0.55, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.45}"
10,A Must watch movie...,"Apart from election situation, this movie can stand alone ... it should have to be released on theatres. A superb quality story line and a deserving finish...🔥",must watch movie,apart election situation this movie can stand alone it should have be released theatres superb quality story line deserving finish,0.9,0.8,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.5}"
10,Not exxagerating this movie deserves an National Award.,Every Indian voter must see this movie.The movie has to be voice dubbed in all our Indian languages and must be released in all states of our country Nothing much to say.Hatsoff to the entire team of Mandela.,not exxagerating this movie deserves national award,every indian voter must see this movie movie has be voice dubbed all our indian languages must be released all states our country nothing much say hatsoff entire team mandela,0.4125,0.1,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.33}"
9,Good,From all aspects good. Unexpected i watched this movie. This should have been one of the block buster movie if it was marketed properly.Few more strong scence to show people and mandala bond would have taken this to next level.,good,all aspects good unexpected i watched this movie this should have been one block buster movie if it was marketed properly few more strong scence show people mandala bond would have taken this next level,0.5047619047619049,0.3190476190476191,Positive,"{'Happy': 0.45, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.0, 'Fear': 0.36}"
8,Tales from Tamil Nadu !!,"Quality movies are rare in Tamil cinema, movies that impress both mainstream audiences and film connoisseurs are rarer, full credit to director Madonne Ashwin, Tamil audiences get a chance to experience something that is very well crafted and swashbuckling, at least once in 3 years. It's a big shame that Mandela couldn't garner a much wider theatrical release. Mandela is a comical political satire, that is wonderfully presented to us by its loveable, authentic, rustic, well defined and strong characters led by the inimitable Yogi Babu.Mandela has a strong storyline, that will make the viewers think and inspire in various ways. Cinematography is topnotch, with the DOP's choice of filter aiding the mood of the tale. Screenplay laced with some sprinkling of black humour is near masterpiece levels, it is fresh yet very profound and strong. Production design and makeup are good. Costumes are very good and accurate, a rarity in Tamil movies. Music with its songs are outstanding in some portions.Yogi Babu as a lead actor, delivers wonderfully well, ably supported by by a huge brigade of junior artistes, led by Sheela Rajkumar.Overall, Mandela is an brilliant all round film that answers some questions on socio-political spectrum in a mature way. The movie is designed for the entire family, again which is a rarity these days. The raw film is a thorough voice over of the common man and is brutally open and honest to the point of answering questions that have no answers. There is not a single dull moment in the screenplay, Two Thumbs for story, direction and for the satire. Thank you Madonne Ashwin, 8.2 stars out of 10 for team Mandela for a peek into Soorakudi Village.",tales tamil nadu,quality movies are rare tamil cinema movies that impress both mainstream audiences film connoisseurs are rarer full credit director madonne ashwin tamil audiences get chance experience something that is very well crafted swashbuckling at least once 3 years its big shame that mandela couldnt garner much wider theatrical release mandela is comical political satire that is wonderfully presented us by its loveable authentic rustic well defined strong characters led by inimitable yogi babu mandela has strong storyline that will make viewers think inspire various ways cinematography is topnotch with dops choice filter aiding mood tale screenplay laced with some sprinkling black humour is near masterpiece levels it is fresh yet very profound strong production design makeup are good costumes are very good accurate rarity tamil movies music with its songs are outstanding some portions yogi babu as lead actor delivers wonderfully well ably supported by by huge brigade junior artistes led by sheela rajkumar overall mandela is brilliant all round film that answers some questions socio political spectrum mature way movie is designed entire family again which is rarity these days raw film is thorough voice over common man is brutally open honest point answering questions that have no answers there is not single dull moment screenplay two thumbs story direction satire thank you madonne ashwin 8 2 stars out 10 team mandela peek into soorakudi village,0.5538813379602853,0.24776171197223837,Positive,"{'Happy': 0.29, 'Angry': 0.03, 'Surprise': 0.29, 'Sad': 0.11, 'Fear': 0.29}"
9,Elucidates the importance of voting for the right people for the right reasons.,The movie is engaging and clearly delivers what it has to. It leaves us all in the cliffhanger in the end. But it doesn't come off as a shortcoming. The plot isnot deep and the director didn't try to make it as such. It is thoughtful and enjoyable.,elucidates importance voting right people right reasons,movie is engaging clearly delivers what it has it leaves us all cliffhanger end but it doesnt come off as shortcoming plot isnot deep director didnt try make it as such it is thoughtful enjoyable,0.519345238095238,0.24642857142857144,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.38, 'Fear': 0.38}"
