Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,"Me Am Writer of ""Meet Spartans"". You Like Me Movie!","Me movie is good. Me am smart. Make funny ha ha joke! Ha Ha! Me show you... ug.... people you am know from pop culture tabloids. Me make fun of them! Me show you fat person and you laugh! You laugh at little midgets and farting! PBBBLLLP! Fart noise! HA HA Funny! Me poop my pants. In funny movie Meet Spartans I make fun of other movie. I take scenes from movies you know and make them funny. I add farts or have people kicked down into a hole. I make funny gay jokes about gay people! Ha ha! Don't forget, you laugh at Kevin Federline because he is big loser! Him think he can rap just like me think me can write joke! Me write movie! You remember Epic Movie? Me write that too. Me write with crayons or my own poop that I scoop out of toilet after I fart and go pooh. Me make funny jokes about Paris Hilton. She so stupid! She am loose sexually. Ha HA HA! Me write sequel soon. Me deserve bazillions of dollars for buying things me stupid family deserve. Me ug fbloduad boodle! HAHA!",me am writer meet spartans you like me movie,me movie is good me am smart make funny ha ha joke ha ha me show you ug people you am know pop culture tabloids me make fun them me show you fat person you laugh you laugh at little midgets farting pbbblllp fart noise ha ha funny me poop my pants funny movie meet spartans i make fun other movie i take scenes movies you know make them funny i add farts or have people kicked down into hole i make funny gay jokes about gay people ha ha dont forget you laugh at kevin federline because he is big loser him think he can rap just like me think me can write joke me write movie you remember epic movie me write that too me write with crayons or my own poop that i scoop out toilet after i fart go pooh me make funny jokes about paris hilton she so stupid she am loose sexually ha ha ha me write sequel soon me deserve bazillions dollars buying things me stupid family deserve me ug fbloduad boodle haha,0.5620732148509928,0.1470113734002623,Positive,"{'Happy': 0.29, 'Angry': 0.03, 'Surprise': 0.39, 'Sad': 0.29, 'Fear': 0.0}"
1.0,Terrible in every way possible.,"A dismal failure of a spoof with only the slightest bit of funny. This dreck breaks all the rules of good spoofing.1. Be timely. A joke about Ellen in Mr Wrong? Really? 2. Be funny when offensive. Accident prone kid in Scary Movie 3, mildly funny. Assault on a kid by Spartian, not funny.3. Be subtle sometimes. Not everything has to go to the extreme.4. Be broad. Go everywhere for your spoofs, not just the same wells over and over.AND MOST IMPORTANTLY....5. DON'T EXPLAIN EVERY RIFF AND SOURCE MATERIAL. If you have to tell your audience where it comes from, chances are it's not funny.The fact that this film is only 60 odd minutes plus one of the longest credit sequences loaded with even more unfunny deleted scenes (seriously can't those wait for the DVD no one should buy either), that's just adding insult to injury.",terrible every way possible,dismal failure spoof with only slightest bit funny this dreck breaks all rules good spoofing 1 be timely joke about ellen mr wrong really 2 be funny when offensive accident prone kid scary movie 3 mildly funny assault kid by spartian not funny 3 be subtle sometimes not everything has go extreme 4 be broad go everywhere your spoofs not just same wells over over most importantly 5 dont explain every riff source material if you have tell your audience where it comes chances are its not funny fact that this film is only 60 odd minutes plus one longest credit sequences loaded with even more unfunny deleted scenes seriously cant those wait dvd no one should buy either thats just adding insult injury,0.7327898550724639,-0.030978260869565212,Negative,"{'Happy': 0.17, 'Angry': 0.07, 'Surprise': 0.24, 'Sad': 0.21, 'Fear': 0.31}"
1.0,I left the movie tired and depressed.,"The only reason I went to see this movie, was because I knew it was going to be bad. That's obviously not a good reason, but in retrospect, some really bad movies are funny when thought about later. I've had chuckles about how bad Epic Movie was, but this....this was different. Maybe it was the fact that half the audience was laughing at these awful jokes, or the fact that this stupid monstrosity was even green lighted, but after this ended I felt drained of my life. No movie has ever made me feel this way.""Meet the Spartans"" has the sparse running time of 65 minutes (not counting the lengthy end credits), which was a blessing to the audience. The jokes all feel like ones that 9 year old boys would find hysterical, where everyone else would just hate them. Other than spoof jokes, every other joke is one involving pain. There were dozens of crotch hits and back breaks. There are also many gross out, vomit, sneezing, and boil bursting jokes. There was one joke that had me mildly chuckling, but then they killed the joke by over explaining it. It didn't need to be explained, a monkey could understand it. Repetitiveness was the only word that comes to mind when watching this. King Leonidas knocks a messenger in the hole, then his two men. Okay, not funny, but at least it's over....right? Nope. Then he knocks Sanjaya, Brittany Spears, Kevin Federline, The American Idol judges and Ryan Seacrest in the hole. After the credits seem to be over, deleted scenes are shown simply to make the movie more than 70 minutes. During the deleted scenes, Dane Cook, George W. Bush, Tom Cruise, and Ellen Degeneres are also knocked in the hole. The joke is done 10 times over.The two extremely untalented writers of this mess want to include every movie possible, and mention every celebrity they can, and include any show they can cram in. There are 3 instances of celebrity panels judging the Spartans in this, and it's not like it was a running joke either. It was just lack of ideas. Much of the celebrity humor was just the celebrities pointing out their character traits. Paris Hilton, who is in a few scenes, but ultimately disappears with no point, talks about her jail time. Brittany Spears acts crazy. Lindsey Lohan gets out of rehab. Tyra Banks shows her cellulite. And every other celebrity that is made fun of, has the exact same role. Also, there is a joke in poor taste. When Leonidas is going to be killed by a talking penguin, it says, ""Say hi to Anna Nicole Smith for me."" These idiot writers are stooping as low as to make fun of people being dead? It's terrible. References to TV were thrown around, usually making no sense and totally pointless. Ugly Betty is the oracle. Just plain stupid. The movies were also thrown about all over so people in the audience could say, ""Duh, I know what they're referencing."" To give away a mild spoiler and one of the dumbest scenes in the movie, Carmen Electra's character turns into Spiderman and she beats up the Sandman, who is then pooped on by a cat. It made no sense why it was thrown in here. That's how I felt about pretty much every part of this movie though.Now, back to myself. When the movie ended after just over an hour, I had a headache, and wondered how dumb some people truly are, because nobody of any intelligence could've thought this was hilarious. But of course this is my opinion, and warning, don't see this movie! It will cause depression.My rating: Possibly worst movie I've ever seen. 80 mins. PG-13 for language, sexual and crude humor.",i left movie tired depressed,only reason i went see this movie was because i knew it was going be bad thats obviously not good reason but retrospect some really bad movies are funny when thought about later ive had chuckles about how bad epic movie was but this this was different maybe it was fact that half audience was laughing at these awful jokes or fact that this stupid monstrosity was even green lighted but after this ended i felt drained my life no movie has ever made me feel this way meet spartans has sparse running time 65 minutes not counting lengthy end credits which was blessing audience jokes all feel like ones that 9 year old boys would find hysterical where everyone else would just hate them other than spoof jokes every other joke is one involving pain there were dozens crotch hits back breaks there are also many gross out vomit sneezing boil bursting jokes there was one joke that had me mildly chuckling but then they killed joke by over explaining it it didnt need be explained monkey could understand it repetitiveness was only word that comes mind when watching this king leonidas knocks messenger hole then his two men okay not funny but at least its over right nope then he knocks sanjaya brittany spears kevin federline american idol judges ryan seacrest hole after credits seem be over deleted scenes are shown simply make movie more than 70 minutes during deleted scenes dane cook george w bush tom cruise ellen degeneres are also knocked hole joke is done 10 times over two extremely untalented writers this mess want include every movie possible mention every celebrity they can include any show they can cram there are 3 instances celebrity panels judging spartans this its not like it was running joke either it was just lack ideas much celebrity humor was just celebrities pointing out their character traits paris hilton who is few scenes but ultimately disappears with no point talks about her jail time brittany spears acts crazy lindsey lohan gets out rehab tyra banks shows her cellulite every other celebrity that is made fun has exact same role also there is joke poor taste when leonidas is going be killed by talking penguin it says say hi anna nicole smith me these idiot writers are stooping as low as make fun people being dead its terrible references tv were thrown around usually making no sense totally pointless ugly betty is oracle just plain stupid movies were also thrown about all over so people audience could say duh i know what theyre referencing give away mild spoiler one dumbest scenes movie carmen electras character turns into spiderman she beats up sandman who is then pooped by cat it made no sense why it was thrown here thats how i felt about pretty much every part this movie though now back myself when movie ended after just over hour i had headache wondered how dumb some people truly are because nobody any intelligence couldve thought this was hilarious but course this is my opinion warning dont see this movie it will cause depression my rating possibly worst movie ive ever seen 80 mins pg 13 language sexual crude humor,0.5141304347826087,-0.15874741200828155,Negative,"{'Happy': 0.16, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.28, 'Fear': 0.27}"
6.0,I think I'm in the Minority Here,"Was this a bad movie? Compellingly bad. So bad that you have to see what comes next. There are more gay jokes in this flick than can be found in a double feature of ""The Bird Cage"" and ""The Torch Singer"". Were the Spartans homosexuals? Duh! Why did I like this movie? ""Meet the Spartans"" was a structure-free movie, possibly made without a script. Each joke must stand on its own and does. Throughout is the best imitation of Leonidas I can imagine, saying things that I never thought would leave the actor's mouth.This movies isn't Airplane, but it is funny. More than funny, it is fun. Anyone that can fit spiderman into a movie about ancient Greece isn't all bad...",i think im minority here,was this bad movie compellingly bad so bad that you have see what comes next there are more gay jokes this flick than can be found double feature bird cage torch singer were spartans homosexuals duh why did i like this movie meet spartans was structure free movie possibly made without script each joke must stand its own does throughout is best imitation leonidas i can imagine saying things that i never thought would leave actors mouth this movies isnt airplane but it is funny more than funny it is fun anyone that can fit spiderman into movie about ancient greece isnt all bad,0.5552631578947368,0.0728070175438597,Positive,"{'Happy': 0.24, 'Angry': 0.04, 'Surprise': 0.36, 'Sad': 0.24, 'Fear': 0.12}"
1.0,The movie you'll watch when you dine in hell.,"This is perhaps one of the most awful films I've seen. Much as I enjoy tacky spoof humor, this movie just falls flat. So many of the film's jokes are so drawn out that whatever humor originally present just gets diluted. It was funny kicking a celebrity into the pit of death once. Five times later, it's just stale and dragging. If you've seen the trailers to this, you've basically seen about 90% of the film. The script could have been easily condensed to a 10 minute sketch for Saturday Night Live. The humor is so repetitive; almost all of the jokes play off either the Spartans questionable sexuality or celebrities' promiscuity. A blurred-out vagina just isn't that funny, why did the movie choose to use it 5 times? While there were numerous pop-culture references, there simply wasn't much done with it. Someone forgot to tell the middle-schooler who wrote this that having a poorly impersonated celebrity appear isn't funny by itself.Don't see this movie, even if you liked similar spoof movies (like Scary Movie).",movie youll watch when you dine hell,this is perhaps one most awful films ive seen much as i enjoy tacky spoof humor this movie just falls flat so many films jokes are so drawn out that whatever humor originally present just gets diluted it was funny kicking celebrity into pit death once five times later its just stale dragging if youve seen trailers this youve basically seen about 90 film script could have been easily condensed 10 minute sketch saturday night live humor is so repetitive almost all jokes play off either spartans questionable sexuality or celebrities promiscuity blurred out vagina just isnt that funny why did movie choose use it 5 times while there were numerous pop culture references there simply wasnt much done with it someone forgot tell middle schooler who wrote this that having poorly impersonated celebrity appear isnt funny by itself dont see this movie even if you liked similar spoof movies like scary movie,0.5186190476190476,0.005787878787878786,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.36}"
1.0,Jason Friedberg & Aaron Seltzer are hacks,"Anyone who would remotely consider themselves to be a fan of the spoof genre would reject this trash. I'll be the first one to admit that taste is subjective, but the guys that made this movie lack any sort of talent for this type of movieI implore anyone to check out the following spoof movies: Airplane! Top Secret The Naked Gun The Naked Gun 2 1/2 Hot Shots Hot Shots: Part Deux Kentucky Fried Movie (yes, its ""old"" but a classic none the less) Mafia! BASEketball Scary Movie 3 Sacry Movie 4 Not all of these are great. Many are a product of their era. Some are downright ""average"" spoof movies, at best. But compared to ""Meet the Spartans"" (or Epic Movie or Date Movie) they are a BILLION times better. And they have one thing in common... Zucker / Abrahams / Zucker (also must give props to writer Pat Proft). These guys INVENTED this genre. Watch these films and you will realize Jason Friedberg & Aaron Seltzer are talentless hacks who think just making a reference to pop culture is funny. If Jason Friedberg & Aaron Seltzer are reading this, I suggest you might want to watch these movies as well. You might learn a thing or two.",jason friedberg aaron seltzer are hacks,anyone who would remotely consider themselves be fan spoof genre would reject this trash ill be first one admit that taste is subjective but guys that made this movie lack any sort talent this type moviei implore anyone check out following spoof movies airplane top secret naked gun naked gun 2 1 2 hot shots hot shots part deux kentucky fried movie yes its old but classic none less mafia baseketball scary movie 3 sacry movie 4 not all these are great many are product their era some are downright average spoof movies at best but compared meet spartans or epic movie or date movie they are billion times better they have one thing common zucker abrahams zucker also must give props writer pat proft these guys invented this genre watch these films you will realize jason friedberg aaron seltzer are talentless hacks who think just making reference pop culture is funny if jason friedberg aaron seltzer are reading this i suggest you might want watch these movies as well you might learn thing or two,0.4686666666666667,0.09000000000000002,Positive,"{'Happy': 0.06, 'Angry': 0.1, 'Surprise': 0.35, 'Sad': 0.23, 'Fear': 0.26}"
10.0,The reason cinema was invented,"Having previously seen ""Date Movie"" and ""Epic Movie"" (also by these gentlemen) and ""Plan 9 From Outer Space"" (by the equally talented Edward Woodward) I was gasping and sweating and feeling my anus slacken with anticipation when I heard this movie was going to be released. I was even more delighted when I saw the trailer. All too often comedy movie trailers contain all the best jokes, leaving nothing funny for the actual movie. I knew this movie was going to be great when I saw the trailer and there wasn't ONE FUNNY BIT IN IT!!!!! Clearly these were film makers who did not need to advertise their greatness, as they could rely on their genius to advertise itself. I knew we were going to experience a comedy masterpiece on par with ""Diff'rent Strokes"", ""Australia's Funniest Home Videos"" or Michael Jackson's cosmetic surgery.I set up camp outside the box office 2 days before tickets went on sale to be sure we got the first tickets accompanied, after a sound thrashing, by my wife and my little boy. For two days and nights we struggled on that lonely sidewalk against hunger and thirst and heat and exposure, and towards the end we had to resort to drinking our own urine. But it was worth it, because when ""Meet the Spartans"" finally opened we were the only people in the cinema.And what a movie it was! My own memories are a little hazy given the addled state I was in after two days in the street. For my own part, I was laughing and hollering too much at the little purple animals floating around in the cinema to notice much of the movie. I do remember bits of the trailer getting repeated over and over again, but that must have been the hallucinations as well. However I do remember my wife and my little boy found it so funny they were too astonished to laugh. After a while the exertions of the previous 2 days took their toll and they fell asleep with their precious heads lolling into my unwashed groin. But shoot, I wasn't complaining :-) All in all it was probably the greatest day of my life, and perhaps anyone's life.I was delighted to learn that there was a ""Meet the Spartans 2"". If there was one film crying out for a sequel, it must surely be this one. As with ""Weekend at Bernie's"", you just got the feeling that one movie was not enough to fully explore the vast richness of ideas on display. One can only hope it will produce more sequels than the Star Wars and the Police Academy series combined.",reason cinema was invented,having previously seen date movie epic movie also by these gentlemen plan 9 outer space by equally talented edward woodward i was gasping sweating feeling my anus slacken with anticipation when i heard this movie was going be released i was even more delighted when i saw trailer all too often comedy movie trailers contain all best jokes leaving nothing funny actual movie i knew this movie was going be great when i saw trailer there wasnt one funny bit it clearly these were film makers who did not need advertise their greatness as they could rely their genius advertise itself i knew we were going experience comedy masterpiece par with diffrent strokes australias funniest home videos or michael jacksons cosmetic surgery i set up camp outside box office 2 days before tickets went sale be sure we got first tickets accompanied after sound thrashing by my wife my little boy two days nights we struggled that lonely sidewalk against hunger thirst heat exposure towards end we had resort drinking our own urine but it was worth it because when meet spartans finally opened we were only people cinema what movie it was my own memories are little hazy given addled state i was after two days street my own part i was laughing hollering too much at little purple animals floating around cinema notice much movie i do remember bits trailer getting repeated over over again but that must have been hallucinations as well however i do remember my wife my little boy found it so funny they were too astonished laugh after while exertions previous 2 days took their toll they fell asleep with their precious heads lolling into my unwashed groin but shoot i wasnt complaining all all it was probably greatest day my life perhaps anyones life i was delighted learn that there was meet spartans 2 if there was one film crying out sequel it must surely be this one as with weekend at bernies you just got feeling that one movie was not enough fully explore vast richness ideas display one can only hope it will produce more sequels than star wars police academy series combined,0.6290277777777777,0.24374999999999997,Positive,"{'Happy': 0.18, 'Angry': 0.11, 'Surprise': 0.21, 'Sad': 0.12, 'Fear': 0.38}"
1.0,An All Time Low for Comedy,"I work at a movie theater, so the only reason I went to see this movie was because it was free and I thought that it just might be the kind of movie that's so bad me and my friends could entertain ourselves by making fun of it. However, Meet the Spartans left us completely dumbfounded and speechless. It's beyond bad! There was nothing you could say that could make of this movie, it does it all by itself and it doesn't even allow you to laugh while you watch it going down in flames. I considered its predecessor, Epic Movie, to be among one of the worst movies ever made. I didn't think it could possibly get worse, but it did. It's like watching 300 all over again expect with ridiculous pop culture references that aren't even funny. The guys who made this movie obviously don't understand comedy in the slightest bit. I hope that this is the last one of these ridiculous comedies that gets to occupy a theater over another film that might actually be worth something. This film is a waste of money for starters, but even if you don't have to pay, it's just a waste of time.",all time low comedy,i work at movie theater so only reason i went see this movie was because it was free i thought that it just might be kind movie thats so bad me my friends could entertain ourselves by making fun it however meet spartans left us completely dumbfounded speechless its beyond bad there was nothing you could say that could make this movie it does it all by itself it doesnt even allow you laugh while you watch it going down flames i considered its predecessor epic movie be among one worst movies ever made i didnt think it could possibly get worse but it did its like watching 300 all over again expect with ridiculous pop culture references that arent even funny guys who made this movie obviously dont understand comedy slightest bit i hope that this is last one these ridiculous comedies that gets occupy theater over another film that might actually be worth something this film is waste money starters but even if you dont have pay its just waste time,0.521256038647343,-0.07270531400966182,Negative,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.31, 'Fear': 0.19}"
4.0,"Sloppy, but fun","I was looking forward to seeing Meet the Spartans, from the first few theatrical trailers, it looked like a lot of fun and not like a horrible parody. But I have to admit that when it had it's TV spots, it was starting to look bad, but my boyfriend and I still saw it last night, just to see maybe if it still had some laughs. Now, while I'm still disappointed in most of the movie, there were a few good laughs I think. It was made pretty badly, but I think most spoof movies are made that way since they don't have a sense of reality, so I'll be kind on that subject. Plus, the movie in general was weird, they took on the movie 300, fully, like re-shot the entire film, and just added their own jokes on TV, movies, pop culture, and random things.Leonidas has just been made king of Sparta, and his world is rocking with his bombshell wife, Queen Margo, and life couldn't be better. But when he is challenged by the Persians, he must protect Sparta with, well, only 8 guys. But hoping that ""they will survive"", they go into a battle of stomping the yard, talking smack, and even having to deal with some transformers. Leonidas is getting more and more steamed though as he realizes that the blue screen Persians may be too much for he and his team can handle.Meet the Spartans had some really funny moments, like I loved and nearly died laughing when the Spartans were leaving their country and they left hand in hand singing ""I will Survive"", it was so stupid, I know, but if you let go and have fun, I'm sure you'll laugh too. But there were things I was disappointed in, like the constant potty humor, it would be nice if the writers grew past the second grade level humor. There was some jokes that were predictable and used too many times in other spoofs. But over all this was definitely better than Epic Movie or Date Movie. If you go to see this, there are a few laughs, but don't expect the best comedy of the year.4/10",sloppy but fun,i was looking forward seeing meet spartans first few theatrical trailers it looked like lot fun not like horrible parody but i have admit that when it had its tv spots it was starting look bad but my boyfriend i still saw it last night just see maybe if it still had some laughs now while im still disappointed most movie there were few good laughs i think it was made pretty badly but i think most spoof movies are made that way since they dont have sense reality so ill be kind that subject plus movie general was weird they took movie 300 fully like re shot entire film just added their own jokes tv movies pop culture random things leonidas has just been made king sparta his world is rocking with his bombshell wife queen margo life couldnt be better but when he is challenged by persians he must protect sparta with well only 8 guys but hoping that they will survive they go into battle stomping yard talking smack even having deal with some transformers leonidas is getting more more steamed though as he realizes that blue screen persians may be too much he his team can handle meet spartans had some really funny moments like i loved nearly died laughing when spartans were leaving their country they left hand hand singing i will survive it was so stupid i know but if you let go have fun im sure youll laugh too but there were things i was disappointed like constant potty humor it would be nice if writers grew past second grade level humor there was some jokes that were predictable used too many times other spoofs but over all this was definitely better than epic movie or date movie if you go see this there are few laughs but dont expect best comedy year 4 10,0.495940170940171,0.048878205128205135,Positive,"{'Happy': 0.23, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.21}"
5.0,not bad at all,"I was looking at the top worst 100 list and saw the name of this movie so I felt the urge to write about it. I watched Meet the Spartans last year and it was funny. It is a comedy and it gives what it promises. I read some of the comments and people are really harsh on it. Come on, it is not a masterpiece for sure but it is not that bad. I am pretty sure a lot of people voted without watching and they voted very low since this is making fun of 300. I personally liked 300, it was a great movie but that doesn't mean you can't make fun of it. Humor is a very difficult subject and I strongly suggest not to get influenced by the comments for comedy movies. Just watch it and see it for yourself. If you don't find it funny, then you just stop watching.",not bad at all,i was looking at top worst 100 list saw name this movie so i felt urge write about it i watched meet spartans last year it was funny it is comedy it gives what it promises i read some comments people are really harsh it come it is not masterpiece sure but it is not that bad i am pretty sure lot people voted without watching they voted very low since this is making fun 300 i personally liked 300 it was great movie but that doesnt mean you cant make fun it humor is very difficult subject i strongly suggest not get influenced by comments comedy movies just watch it see it yourself if you dont find it funny then you just stop watching,0.6735972222222222,0.10020833333333334,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.36, 'Fear': 0.11}"
