Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Too weird for me...,"This is really weird stuff. Not real horror, but more of a psychological mindbender.The bad: it doesnt really get scary or thrilling. It gets weird allright.The good: decent acting in a incredibly weird mindbending script.Not suited for casual viewers.",too weird me,this is really weird stuff not real horror but more psychological mindbender bad it doesnt really get scary or thrilling it gets weird allright good decent acting incredibly weird mindbending script not suited casual viewers,0.66,-0.1322222222222222,Negative,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.45, 'Sad': 0.18, 'Fear': 0.18}"
5.0,Meandering is right,"MIDSOMMAR is the latest film from arthouse director Ari Aster, whose HEREDITARY wowed audiences a few years ago. While I liked that film I didn't love it, but I do love folk horror and THE WICKER MAN so I expected a lot from this one. Sadly, I didn't get it. MIDSOMMAR is a real mixed bag of a movie, with a decent first half. Florence Pugh gives a fine performance and the opening sequence is particularly powerful, getting off to a good footing. The slow-burning suspense works effectively until the genuine shocks of the 'cliff' sequence, but after this things really stop working. There's the usual sex and violent content, but it all feels very meandering and dragged out, saddled with unlikeable characters and a genuine lack of meaning and narrative cohesion. The cinematography is great and the actors certainly do their best, but by the end I felt this had become predictable, random (Viking execution methods for shock value, etc.) and a bit like a boring slasher film.",meandering is right,midsommar is latest film arthouse director ari aster whose hereditary wowed audiences few years ago while i liked that film i didnt love it but i do love folk horror wicker man so i expected lot this one sadly i didnt get it midsommar is real mixed bag movie with decent first half florence pugh gives fine performance opening sequence is particularly powerful getting off good footing slow burning suspense works effectively until genuine shocks cliff sequence but after this things really stop working theres usual sex violent content but it all feels very meandering dragged out saddled with unlikeable characters genuine lack meaning narrative cohesion cinematography is great actors certainly do their best but by end i felt this had become predictable random viking execution methods shock value etc bit like boring slasher film,0.5568555008210181,0.13850574712643682,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.18, 'Fear': 0.25}"
4.0,Not for everyone,"Let me first say, this is not a ""bad"" movie. It utilizes creative camera work and cinematography to add to the narrative. But I personally still didn't like it. Its main goal in my opinion is to disturb the viewer as much as possible through the use of sound, gory visuals and the feeling of isolation and insanity. While I can see how this can speak to a certain audience, it didn't appeal to me and made me want to turn of the movie quite a few times. If you are into these kinds of films, definitely give this a try but if you, like me, enjoy being scared by a horror movie instead of weirded out and disturbed, this might not be for you.",not everyone,let me first say this is not bad movie it utilizes creative camera work cinematography add narrative but i personally still didnt like it its main goal my opinion is disturb viewer as much as possible through use sound gory visuals feeling isolation insanity while i can see how this can speak certain audience it didnt appeal me made me want turn movie quite few times if you are into these kinds films definitely give this try but if you like me enjoy being scared by horror movie instead weirded out disturbed this might not be you,0.5587301587301586,0.13174603174603172,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.25, 'Fear': 0.35}"
3.0,Midsommar murders.,"Spurred on by his friends, anthropology student Christian (Jack Reynor) is on the verge of breaking up with his girlfriend Dani (Florence Pugh), but a family tragedy for Dani changes his mind. Feeling guilty about putting his girlfriend through further emotional trauma, Christian asks her to accompany him and his pals on a once-in-a-lifetime trip to the remote ancestral village of their Swedish friend Pelle (Vilhelm Blomgren), who has invited them take part in the commune's nine-day midsummer festival.Director Ari Aster (Hereditary) might claim that Midsommar only pays homage to brilliant UK folk horror The Wicker Man, but all I can see is a blatant, bloated and extremely tedious rip-off. Where The Wicker Man (Director's Cut) runs at a reasonable 99 minutes, its engrossing story whisking the viewer along as Edward Woodward's character attempts to solve a mystery on a remote Scottish island, Aster's film (The Director's Cut) takes a whopping 171 minutes to tell its very familiar tale of unwary outsiders falling foul of an strange religion that practises bizarre rituals.Moving at a snail's pace, the first hour of Midsummar is a massive challenge for the viewer, as the students travel to the village of the Hårga, meet the locals, and take part in ancient rites which involve lots of chanting and taking of hallucinogens. Those who make it through this tedium will eventually be rewarded with a shocking scene that is the equivalent of Hereditary's decapitation (ie., it's designed to wake up the viewer and become a talking point): before the eyes of the horrified students, elders of the village throw themselves off a precipice, falling onto the rocks below with very messy results.Anyone hoping that this will herald a turning point in the film will be sorely disappointed: the dull drama continues, with an excess of singing, dancing and a glut of aerial overhead shots, with hints of weirdness to indicate where the film is heading (as if we didn't know already). As Christian's friends go missing one-by-one, and the locals become increasingly weird in their behaviour, neither he nor Dani question the wisdom of remaining in the village, both continuing to partake in the commune's activities. A bit of ritualistic sex and the sight of a bloke with his lungs pulled out of his back are about the film's only other noteworthy moments before the whole boring mess finishes in inevitable fashion, stealing its fiery climax from... you guessed it.... The Wicker Man.In short, what a load of (Swedish meat)balls! If you haven't already seen it, watch The Wicker Man first.",midsommar murders,spurred by his friends anthropology student christian jack reynor is verge breaking up with his girlfriend dani florence pugh but family tragedy dani changes his mind feeling guilty about putting his girlfriend through further emotional trauma christian asks her accompany him his pals once lifetime trip remote ancestral village their swedish friend pelle vilhelm blomgren who has invited them take part communes nine day midsummer festival director ari aster hereditary might claim that midsommar only pays homage brilliant uk folk horror wicker man but all i can see is blatant bloated extremely tedious rip off where wicker man directors cut runs at reasonable 99 minutes its engrossing story whisking viewer along as edward woodwards character attempts solve mystery remote scottish island asters film directors cut takes whopping 171 minutes tell its very familiar tale unwary outsiders falling foul strange religion that practises bizarre rituals moving at snails pace first hour midsummar is massive challenge viewer as students travel village h rga meet locals take part ancient rites which involve lots chanting taking hallucinogens those who make it through this tedium will eventually be rewarded with shocking scene that is equivalent hereditarys decapitation ie its designed wake up viewer become talking point before eyes horrified students elders village throw themselves off precipice falling onto rocks below with very messy results anyone hoping that this will herald turning point film will be sorely disappointed dull drama continues with excess singing dancing glut aerial overhead shots with hints weirdness indicate where film is heading as if we didnt know already as christians friends go missing one by one locals become increasingly weird their behaviour neither he nor dani question wisdom remaining village both continuing partake communes activities bit ritualistic sex sight bloke with his lungs pulled out his back are about films only other noteworthy moments before whole boring mess finishes inevitable fashion stealing its fiery climax you guessed it wicker man short what load swedish meat balls if you havent already seen it watch wicker man first,0.5602020202020203,-0.08376262626262625,Negative,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.34, 'Sad': 0.22, 'Fear': 0.28}"
10.0,Summer time,"Let's get right into it. The movie will divide viewers. Actually some might not even read what I'm typing right now, dismissing or liking my review just based on the score I gave it. I'm not complaining or trying to get your attention. I gave this a 10/10, something that many would consider sacred (like how some people view trees or other things). But I think the movie deserves it. And while I watched the theatrical version in cinemas, I did watch the Directors Cut the other day too to get a complete picture - no pun intended.Now I know that pacing will be an issue for some - this takes its time and those expecting horror or their version of horror, will have quite a few issues with the movie. Especially in the long version (almost 3 hours). But the framing, the pictures you get are worth it. I would argue that if you ask Ari, why he chose that or this angle, why he lingered on that shot, why he used special effects that are subtle and almost not unnoticeable ... he will be able to answer them. He probably won't, letting you decipher and decide what you just watched, but he had a plan. He really knows his stuff.Now that doesn't mean that you will like the movie. Just because it is made with love and care and attention to every detail, does not make it invincible. It is a taste thing - what do you like to watch in movies. Subtle horror, that is also a drama? Nods to classics like Wicker Man? Will you hate this because to heighten things it takes creative liberty? I don't know if the sun thing (allegedly some claim it is positioned wrong geographically) is a mistake or actually another detail, to make this even more eerie. The costumes may not be traditional, but what the village people do, hopefully isn't traditional either ... if you get hung up on those things, you would be missing the bigger picture. This is not here to critisize or make fun of swedish traditions. This is here to entertain and to hold the viewers suspense - edge of the seat kind of stuff.So yes this isn't your regular horror movie and it is better for it. And while there is not much violence in it (on screen), the occasional outbursts are really spiking! This is not for the faint hearted or the easily offended ... be aware and have the strong stomach to get through it. This is beautiful and horrifying at the same time and really demands to be seen many times - every time you do, you will discover something new! And with that accidental rhyme, I'll say give this movie your dime",summer time,lets get right into it movie will divide viewers actually some might not even read what im typing right now dismissing or liking my review just based score i gave it im not complaining or trying get your attention i gave this 10 10 something that many would consider sacred like how some people view trees or other things but i think movie deserves it while i watched theatrical version cinemas i did watch directors cut other day too get complete picture no pun intended now i know that pacing will be issue some this takes its time those expecting horror or their version horror will have quite few issues with movie especially long version almost 3 hours but framing pictures you get are worth it i would argue that if you ask ari why he chose that or this angle why he lingered that shot why he used special effects that are subtle almost not unnoticeable he will be able answer them he probably wont letting you decipher decide what you just watched but he had plan he really knows his stuff now that doesnt mean that you will like movie just because it is made with love care attention every detail does not make it invincible it is taste thing what do you like watch movies subtle horror that is also drama nods classics like wicker man will you hate this because heighten things it takes creative liberty i dont know if sun thing allegedly some claim it is positioned wrong geographically is mistake or actually another detail make this even more eerie costumes may not be traditional but what village people do hopefully isnt traditional either if you get hung up those things you would be missing bigger picture this is not here critisize or make fun swedish traditions this is here entertain hold viewers suspense edge seat kind stuff so yes this isnt your regular horror movie it is better it while there is not much violence it screen occasional outbursts are really spiking this is not faint hearted or easily offended be aware have strong stomach get through it this is beautiful horrifying at same time really demands be seen many times every time you do you will discover something new with that accidental rhyme ill say give this movie your dime,0.4968828157657944,0.07558372478585243,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.37, 'Sad': 0.2, 'Fear': 0.25}"
7.0,This movie was a trip,"I'm not sure how but the movie had me on edge the entire time. You have to enjoy cinematography to really enjoy this. I left the movie like I just came down from a high. The whole thing felt like a bad trip afterwards, I was pleased and not at the same time but I think that's how we're meant to feel. It's a good change from super hero movies and terribly made horror movies.",this movie was trip,im not sure how but movie had me edge entire time you have enjoy cinematography really enjoy this i left movie like i just came down high whole thing felt like bad trip afterwards i was pleased not at same time but i think thats how were meant feel its good change super hero movies terribly made horror movies,0.5572222222222222,0.041984126984127,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.24}"
8.0,"A surreal, but pretty awesome trip.","Be first thing I wanted to do after leaving the cinema, was to discover what the swedish thought of this film, in general they saw it with humour, and an open mind, as I expected.It's pretty much split right down the middle, first half, dare I say it, normality, drama, with a heavy focus on grief, and the harsh way it can affect someone, particularly if there's trauma involved. The second half is very trippy, and we delve into the world of pagan ritual and bizarre rights, which makes The Whicker Man look like a tea party.The main leads, Florence Pugh and Jack Reynor, were terrific. Pugh had impressed previously in The Little Drummer Girl, it was obvious she was destined for big things, she played Dani with a real sense of torment, very impressive. The cast had a realism, it was refreshing not to watch a cast that look set for a Dior catwalk.It won't be for everyone, and I must point out that some scenes are painfully long, needlessly. Some amazing special effects.Violence and nudity, but neither are gratuitous or simply for shock. A few laughs, several times the cinema erupted in laughter.Very good. 8/10",surreal but pretty awesome trip,be first thing i wanted do after leaving cinema was discover what swedish thought this film general they saw it with humour open mind as i expected its pretty much split right down middle first half dare i say it normality drama with heavy focus grief harsh way it can affect someone particularly if theres trauma involved second half is very trippy we delve into world pagan ritual bizarre rights which makes whicker man look like tea party main leads florence pugh jack reynor were terrific pugh had impressed previously little drummer girl it was obvious she was destined big things she played dani with real sense torment very impressive cast had realism it was refreshing not watch cast that look set dior catwalk it wont be everyone i must point out that some scenes are painfully long needlessly some amazing special effects violence nudity but neither are gratuitous or simply shock few laughs several times cinema erupted laughter very good 8 10,0.5183293650793652,0.12649503968253967,Positive,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.43, 'Sad': 0.2, 'Fear': 0.2}"
10.0,"Traumatic, Surreal, Bizarre Masterpiece","I'll start this off with a warning. If you're a mainstream horror fan, you will not like this. It is not The Conjuring, it does not have jump scares, it is a slow movie. It's not scary in the way that most horror films are scary. It doesn't frighten you. It felt traumatic. This is an artsy movie for sure. If you don't like that, don't see it.Florence Pugh is absolutely phenomenal. She provides the heart for the film and is what keeps the audience emotionally invensted in such a disturbing film. It's one of the greatest horror performances that I have ever seen.The cinematography is stunningly gorgeous. I've never seen a film look so gory and grotesque and yet absolutely beatiful at the same time. It's some of the best cinematography that I've seen in years. The art direction is also phenomenal in providing us with a floral, candy colored, nightmare world.And Ari Aster's screenplay and direction is what makes this so special and separates it from other horror pieces. It's slow, methodical, eerie. But the characters are psychological and deep. The dialogue is real and colorful. The plot is surreal and disturbing. He let's the scares crawl at you as opposed to jump at you. He allows you to see what will happen, process it, feel the shock of what's about to happen, and then still shock you even more when it happens.This film will be divisive. I have no doubt that many people here will hate this. However, while this is a challenging film, it's also a great film. Halfway through a character says something along the lines of ""That was so messed up, but I'm trying to keep an open mind."" I suggest that audiences take this advice.PSA, this movie is extremely violent, bloody, and gory. It's pretty horrifying and it could have stuff that is triggering.",traumatic surreal bizarre masterpiece,ill start this off with warning if youre mainstream horror fan you will not like this it is not conjuring it does not have jump scares it is slow movie its not scary way that most horror films are scary it doesnt frighten you it felt traumatic this is artsy movie sure if you dont like that dont see it florence pugh is absolutely phenomenal she provides heart film is what keeps audience emotionally invensted such disturbing film its one greatest horror performances that i have ever seen cinematography is stunningly gorgeous ive never seen film look so gory grotesque yet absolutely beatiful at same time its some best cinematography that ive seen years art direction is also phenomenal providing us with floral candy colored nightmare world ari asters screenplay direction is what makes this so special separates it other horror pieces its slow methodical eerie but characters are psychological deep dialogue is real colorful plot is surreal disturbing he lets scares crawl at you as opposed jump at you he allows you see what will happen process it feel shock whats about happen then still shock you even more when it happens this film will be divisive i have no doubt that many people here will hate this however while this is challenging film its also great film halfway through character says something along lines that was so messed up but im trying keep open mind i suggest that audiences take this advice psa this movie is extremely violent bloody gory its pretty horrifying it could have stuff that is triggering,0.7215079365079367,0.033303571428571446,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.37, 'Sad': 0.2, 'Fear': 0.31}"
6.0,Meh,"Gorgeous visuals, creative cinematography and solid performances but the movie feels long winded and disconnected. The characters are underdeveloped and the plot is a little all over the place. The movie does however manage to be intentionally funny at times but not scary or very disturbing.",meh,gorgeous visuals creative cinematography solid performances but movie feels long winded disconnected characters are underdeveloped plot is little all over place movie does however manage be intentionally funny at times but not scary or very disturbing,0.7375,0.10156249999999999,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.62}"
9.0,An Operatic Catharsis On Emotional Dependency,"""I have always felt held. By a family... a real family. Do you feel held?""One of the most universal and innately human desires is a sense of belonging. The human brain is not meant to be alone; we are evolved to be a part of something. Belonging fundamentally allows us to form our own sense of identity, establish social connections through community, and provides us with love, attention, security, and purpose. Perhaps more importantly, a lack of belonging is when we begin to lose sense of ourselves and who we are. This loss of touch with who we are when the world around us suddenly disappears... this slight loss of footing, dip in reality, always feeling somewhat displaced and perpetually unsettled... this encapsulates the mood of Ari Aster's Midsommar.Aster has delivered a psychedelic genre-defying horror fable that wins its audience by creeping into our darkest corners of angst, longing, and loneliness. At its core, the film is about a young woman who copes with crippling anxiety rooted in a desperate and fearful need for love as she comes to terms with the end of a relationship. It's about anxiety, fear of abandonment, and moving on. It is a meditation on human belonging; an operatic catharsis played on the strings of emotional dependency; a journey both inward and outward, to finally let go of something that was never meant to be.Midsommar is not a mystery or suspense movie. It unveils itself unapologetically, as if the filmmaker has no intention of hiding anything from us in the first place (the entire movie is visually depicted almost constantly in the background on walls or tapestries). Yet the film establishes its own rhythm and pacing. As the characters embark on a mushroom trip and grow weightless and spacey, so do we get entranced by the beautiful Swedish settings and sounds-at times indistinguishable from flutes being played by characters on-screen, and at other times, woven with a spell-binding aural hypnosis (listen to ""Attestupan"" without falling into a meditative trip).Like Hereditary before it, the casting is exceptional. Florence Pugh portrays and embodies isolation and anxiety so effectively that the ideas feel nearly concrete. Her part as Dani demands an incredible range and her commitment to the role is apparent. Her character has an air of desperation to her. A perfect casting for a lonely soul. Jack Reynor, a critical piece to this opera as the unlikeable and detached boyfriend, also delivers in a solid performance that leaves us conflicted, or at the very least, challenged.If Satan and Cannibal Corpse got together to shoot Blue Valentine in Sweden, I'd imagine it would be something like Midsommar. Aster taps into a dark and vulnerable place-he opens the door to chests you may have locked away and have had no intention of coming back to. If you've gone through a break-up recently, it may resonate even stronger. It's uncomfortable, unpleasant, but ultimately, cathartic.The director goes on to describe the film as almost a perverse wish-fulfillment fantasy. You see what you want to see. The inclusion of this overarching idea bears a universal relevance to how we can behave in the midst of the most toxic relationships. Entering the ethereal fog of Hårga perhaps a metaphor for willfully indulging in our clouded judgment to escape our fears.If Hereditary was a thematic exploration of inescapable fate, Midsommar is a tighter, more centered thematic reflection on emotional dependence. The thought given to the characters and script and the details within the various shots, symbols, and sounds will all surely leave many viewers coming back for more.Plan to watch it twice, if for nothing else, to drink the tea again.",operatic catharsis emotional dependency,i have always felt held by family real family do you feel held one most universal innately human desires is sense belonging human brain is not meant be alone we are evolved be part something belonging fundamentally allows us form our own sense identity establish social connections through community provides us with love attention security purpose perhaps more importantly lack belonging is when we begin lose sense ourselves who we are this loss touch with who we are when world around us suddenly disappears this slight loss footing dip reality always feeling somewhat displaced perpetually unsettled this encapsulates mood ari asters midsommar aster has delivered psychedelic genre defying horror fable that wins its audience by creeping into our darkest corners angst longing loneliness at its core film is about young woman who copes with crippling anxiety rooted desperate fearful need love as she comes terms with end relationship its about anxiety fear abandonment moving it is meditation human belonging operatic catharsis played strings emotional dependency journey both inward outward finally let go something that was never meant be midsommar is not mystery or suspense movie it unveils itself unapologetically as if filmmaker has no intention hiding anything us first place entire movie is visually depicted almost constantly background walls or tapestries yet film establishes its own rhythm pacing as characters embark mushroom trip grow weightless spacey so do we get entranced by beautiful swedish settings sounds at times indistinguishable flutes being played by characters screen at other times woven with spell binding aural hypnosis listen attestupan without falling into meditative trip like hereditary before it casting is exceptional florence pugh portrays embodies isolation anxiety so effectively that ideas feel nearly concrete her part as dani demands incredible range her commitment role is apparent her character has air desperation her perfect casting lonely soul jack reynor critical piece this opera as unlikeable detached boyfriend also delivers solid performance that leaves us conflicted or at very least challenged if satan cannibal corpse got together shoot blue valentine sweden id imagine it would be something like midsommar aster taps into dark vulnerable place he opens door chests you may have locked away have had no intention coming back if youve gone through break up recently it may resonate even stronger its uncomfortable unpleasant but ultimately cathartic director goes describe film as almost perverse wish fulfillment fantasy you see what you want see inclusion this overarching idea bears universal relevance how we can behave midst most toxic relationships entering ethereal fog h rga perhaps metaphor willfully indulging our clouded judgment escape our fears if hereditary was thematic exploration inescapable fate midsommar is tighter more centered thematic reflection emotional dependence thought given characters script details within various shots symbols sounds will all surely leave many viewers coming back more plan watch it twice if nothing else drink tea again,0.5001532567049809,0.12186781609195402,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.17, 'Sad': 0.34, 'Fear': 0.35}"
