Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9,Beautiful.!!,"'Mimi' is a well written, well made film which carries a heart.Story revolves around the surrogate mother whose biological parents abandon the surrogacy and the struggle she goes through.Kriti Sanon may have a ton of films under her wings that shows off her glamour but this definitely proves she's more than just the pretty face. Perhaps the first time she's going to be loved as an actress, instead of a model.Pankaj Tripathi , as usual is at his best as a character that drives the story initially and later adds humour and fun when the plot gets tense.Evelyn and Aiden, instead of being a usual 'english couple in Indian film' did invest emotionally as the chatacters who wants a kid. Evelyn did an amazing job especially in the latter half of the film.Manoj ,Supriya and Sai were impressive even as side characters.A. R. Rahman's music score was good but the background score was flawless, both of which flows beautifully throughout the film, adding an extra cherry on top.Overall it is a beautiful film that deserves a watch.",beautiful,mimi is well written well made film which carries heart story revolves around surrogate mother whose biological parents abandon surrogacy struggle she goes through kriti sanon may have ton films under her wings that shows off her glamour but this definitely proves shes more than just pretty face perhaps first time shes going be loved as actress instead model pankaj tripathi as usual is at his best as character that drives story initially later adds humour fun when plot gets tense evelyn aiden instead being usual english couple indian film did invest emotionally as chatacters who wants kid evelyn did amazing job especially latter half film manoj supriya sai were impressive even as side characters r rahmans music score was good but background score was flawless both which flows beautifully throughout film adding extra cherry top overall it is beautiful film that deserves watch,0.4673076923076923,0.3403846153846154,Positive,"{'Happy': 0.22, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.14, 'Fear': 0.42}"
9,Beautiful,"I think after this movie, kriti Sanon is gonna be on a sky rocket. Kisi aur heroine ko kaam nhi milne wala hai..",beautiful,i think after this movie kriti sanon is gonna be sky rocket kisi aur heroine ko kaam nhi milne wala hai,1.0,0.85,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
10,It's a Kriti Sanon show!!,"A good and entertaining hindi movie, in a while.Story is about a girl(Kriti Sanon), an aspiring actress from small indian town, who agrees to be a surrogate mother for an American couple. And what happens when that couple decide to abandon her due to some unforeeen circumstances. How she deals with it, forms the rest of the story.The execution of the plot is very engaging. The movie keeps you glued to the screen for its entire runtime. Screenplay and dialogues are crisp and applaud worthy.Performances by each and every cast member is terrific. Sai Tamhanakar leaves a mark. Manoj Pahwa and Supriya Pathak are adorable as Mim's parents. Pankaj Tripathi is excellent and almost steals the thunder in every scene he is.But it's Kriti Sanon who just wins you over with her range of emotions. She shines and shines bright in every scene she is in. She brings Mimi to life. Watch her acting during the child birth scene and you would be in awe. The fact that she stands out in midst of some of India's finest actors, says a lot about her.The American actors are good too.Blemishes? Very minor. The characterization of John and Summer could have been better developed. Some of their motivations don't make sense. Length could have been shortened by 10-15 mins. The culmination is very predictable and convenient. Makers could have been a little more creative. But that aside this is great cinema.Recommended!",its kriti sanon show,good entertaining hindi movie while story is about girl kriti sanon aspiring actress small indian town who agrees be surrogate mother american couple what happens when that couple decide abandon her due some unforeeen circumstances how she deals with it forms rest story execution plot is very engaging movie keeps you glued screen its entire runtime screenplay dialogues are crisp applaud worthy performances by each every cast member is terrific sai tamhanakar leaves mark manoj pahwa supriya pathak are adorable as mims parents pankaj tripathi is excellent almost steals thunder every scene he is but its kriti sanon who just wins you over with her range emotions she shines shines bright every scene she is she brings mimi life watch her acting during child birth scene you would be awe fact that she stands out midst some indias finest actors says lot about her american actors are good too blemishes very minor characterization john summer could have been better developed some their motivations dont make sense length could have been shortened by 10 15 mins culmination is very predictable convenient makers could have been little more creative but that aside this is great cinema recommended,0.5634666666666667,0.2806333333333333,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.17, 'Fear': 0.3}"
10,I WANT TO GIVE 11 STARS INSTEAD OF 10,KRITI SANON NE AAG LAGA DI...BAHUT EMOTIONAL MOVIE...TRIPATHI SIR KA BHI HAMESA KI TARAH BEHTARIN KAAM.... RAJ THE CHILD WAS SO CUTE...SABHI ACTORS NE APNA ROLE BAKHUBI NIBHAYA.. MASTERPIECE 🔥🔥🔥🔥🔥👍👍👍👍,i want give 11 stars instead 10,kriti sanon ne aag laga di bahut emotional movie tripathi sir ka bhi hamesa ki tarah behtarin kaam raj child was so cute sabhi actors ne apna role bakhubi nibhaya masterpiece,0.825,0.25,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4}"
10,Mimi!!,"Mimi is inspired from the 2010 marathi film 'mala aai vhhaychy' which in itself is a national award winner. Here are the positives and negatives.Acting:kriti sanon has given her best performance till date. I was at loss of words talking about her performance. Her dialogue delivery,expressions everything is top notch. She is a potential star. The supporting cast has done a tremendous job. Sai tamhankar, manoj pahwa, supriya pathak hv ably supported the film.The 'pankaj tripathi' factor:i think appreciating him is an under appreciation itself. This man is a legend in true sense. His dialogue delivery, comic timing, expressions, body language, everything is so inch perfect. He is a masterclass of acting.Climax: the climax is so so good. It left me with a smile and happy tears. After a long time the climax of a movie has impressed me. The film will make u weep at several places. U just cannot take ur eyes off the screen.Music: the music by AR Rahman is brilliant. Every song is so soulful and melodious. Be it param sundari or hututu or any song. But the song 'rihaai 'and its placement will make u weep. Its so beautiful.Bgm:okay so this my only little criticism. The bgm in the emotional scenes is brilliant. But in the comedy scenes it was used excessively at several places. The director should hv trusted the situation and writing(which is brilliant) a bit more.The message:so who is a mother?the one who gives birth or the one who looks after the child or both? A question which would require centuries to answer. And an urge for adoption as well.I cannot talk less about this film and the impact it has had on me. So go and watch the film. Its so heartwarming and emotional. I rate it 10 out of 10.",mimi,mimi is inspired 2010 marathi film mala aai vhhaychy which itself is national award winner here are positives negatives acting kriti sanon has given her best performance till date i was at loss words talking about her performance her dialogue delivery expressions everything is top notch she is potential star supporting cast has done tremendous job sai tamhankar manoj pahwa supriya pathak hv ably supported film pankaj tripathi factor i think appreciating him is under appreciation itself this man is legend true sense his dialogue delivery comic timing expressions body language everything is so inch perfect he is masterclass acting climax climax is so so good it left me with smile happy tears after long time climax movie has impressed me film will make u weep at several places u just cannot take ur eyes off screen music music by ar rahman is brilliant every song is so soulful melodious be it param sundari or hututu or any song but song rihaai its placement will make u weep its so beautiful bgm okay so this my only little criticism bgm emotional scenes is brilliant but comedy scenes it was used excessively at several places director should hv trusted situation writing which is brilliant bit more message so who is mother one who gives birth or one who looks after child or both question which would require centuries answer urge adoption as well i cannot talk less about this film impact it has had me so go watch film its so heartwarming emotional i rate it 10 out 10,0.5597222222222222,0.37097222222222226,Positive,"{'Happy': 0.27, 'Angry': 0.05, 'Surprise': 0.18, 'Sad': 0.25, 'Fear': 0.25}"
9,Balanced and compact story telling with a deep message.,"A well written and nicely executed movie with fantastic casting. Perfectly balanced story telling. Pankaj Tripathi as usual has been at his best, and did complete justice to his role. And, this has to be the best performance of Kriti sanon in her career following Bareilly ki barfi. And yes, you just cannot complain anything about music when A. R Rahman is the music director.",balanced compact story telling with deep message,well written nicely executed movie with fantastic casting perfectly balanced story telling pankaj tripathi as usual has been at his best did complete justice his role this has be best performance kriti sanon her career following bareilly ki barfi yes you just cannot complain anything about music when r rahman is music director,0.5166666666666666,0.4277777777777778,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.36, 'Fear': 0.27}"
10,A Perfect Entertainer After A Long Time 😀,"What A Movie It Was !!!Pankaj Tripathi Nailed It As Usual . Kriti Sanon Gave Her Career Best Performance.The Story , Comic Timing , Acting Everything Was On Point ... Highly Recommended 👍😊",perfect entertainer after long time,what movie it was pankaj tripathi nailed it as usual kriti sanon gave her career best performance story comic timing acting everything was point highly recommended,0.42714285714285716,0.30142857142857143,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
10,Mimi,Omgg!!!! What a movie!!What a acting!What a storyline!!I Just watched Mimi this movie is filled with amazing actors who truly make the film. Our all time favourite pankaj tripathi gives a legendary performance in this film and he was absolutely hilarious n stunning kriti sanon she rocked it man by her acting skills what a performance by kriti sanon justt loved it..!!Overall this is a great movie with a mix a ton of a laughs and a emotional touch in last all rolled into one.. Mustt watch.,mimi,omgg what movie what acting what storyline i just watched mimi this movie is filled with amazing actors who truly make film our all time favourite pankaj tripathi gives legendary performance this film he was absolutely hilarious n stunning kriti sanon she rocked it man by her acting skills what performance by kriti sanon justt loved it overall this is great movie with mix ton laughs emotional touch last all rolled into one mustt watch,0.5888888888888889,0.375,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.21, 'Fear': 0.21}"
10,One of the finest movies of 2021,"Great story.Great actors(Pankaj is out of this world, Kriti is awesome).Great execution with enough suspense and drama.Beautiful cinematic experience.Excellent direction by Laxman.Thank you, Netflix for making a sensible movie for the Indian people.",one finest movies 2021,great story great actors pankaj is out this world kriti is awesome great execution with enough suspense drama beautiful cinematic experience excellent direction by laxman thank you netflix making sensible movie indian people,0.74375,0.65625,Positive,"{'Happy': 0.71, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.0}"
10,"Kriti Sanon nailed it, one of the best movies of 2021","Everything was perfect, Best performance by kriti sanon till now, Pankaj tripathi again aced the role he was given. Didn't get bore even once. Amazing storyline, well directed. If A. R. Rahman is the composer, you cannot complain about the songs. A must watch.",kriti sanon nailed it one best movies 2021,everything was perfect best performance by kriti sanon till now pankaj tripathi again aced role he was given didnt get bore even once amazing storyline well directed if r rahman is composer you cannot complain about songs must watch,0.625,0.9,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.2}"
