Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,"Adorable, funny, perfect voice casting for the lead roles","I thought Billy Crystal and John Goodman were great. I like them anyway, but I can't imagine anyone else in their roles. John Goodman comes across as a warm, fuzzy teddy bear type in so many of his roles, and this time he was actually drawn that way. Crystal and Goodman were great together, even when their characters showed signs of not getting along. And Boo sounded so natural, so childlike. There's no way an adult could have done her lines the way they were executed.And the writing was so intelligent, this movie was not just for kids. There were a lot of clever jokes that kids might not get. Still, the warm and fuzzy qualities of so many of the monsters make this a perfect choice for kids as well as adults, and I really don't get why ABC couldn't give this a TV-G rating. It may have been a little violent or scary at times, but never all that intense. Kids see worse on Saturday morning.",adorable funny perfect voice casting lead roles,i thought billy crystal john goodman were great i like them anyway but i cant imagine anyone else their roles john goodman comes across as warm fuzzy teddy bear type so many his roles this time he was actually drawn that way crystal goodman were great together even when their characters showed signs not getting along boo sounded so natural so childlike theres no way adult could have done her lines way they were executed writing was so intelligent this movie was not just kids there were lot clever jokes that kids might not get still warm fuzzy qualities so many monsters make this perfect choice kids as well as adults i really dont get why abc couldnt give this tv g rating it may have been little violent or scary at times but never all that intense kids see worse saturday morning,0.6920634920634919,0.2966269841269841,Positive,"{'Happy': 0.22, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.22, 'Fear': 0.31}"
10.0,"Does For Monsters What ""Toy Story"" Did For Toys!","Monsters, Inc.We were all, at one time, scared of monsters under the bed. Shadows of clothes in the closet. Weird sounds outside in the trees. I remember thinking there were all kinds of monsters in my room - not as much under my bed as in the closet. And once again, Pixar, who brought us ""Toy Story"" 1 & 2, plays on both adults' memories and children's dreams, making it equally enjoyable for both children and adults.John Goodman voices James P. Sullivan, known as ""Sulley"" to friends. He is a big, blue, hairy monster with horns on his head and hands the size of a watermelon. Billy Crystal is Mike Wazowski, his wisecracking, one-eyed best friend. Both of these monsters live in Monstropolis, a world where monsters roam freely. Their city is powered by a rare source of power - children's screams. That is where Monsters, Incorporated comes in. At Monsters, Inc., monsters like Sulley and Mike open portals into children's rooms - through closet doors - and scare the children, capturing their scream in a little yellow bottle. Sulley is the top-scarer, bringing in the most scares. But Randall (the always enjoyable - even when animated - Steve Buscemi), a wormy, multiple-armed lizard-monster with the ability to change appearances to its surroundings, is jealous of Sulley, and will attempt anything to get more scares...even if it means taking a child from the real world and bringing it into Monstropolis. But after the child escapes, Sulley and Mike reluctantly look after it, all the while trying to get it back to the real world before Mr. Waternoose (the late James Coburn) and others find out about the incident...""Monsters, Inc."" does for monsters what ""Toy Story"" did for toys. Pixar once again not only expands our mind, but our very worlds. I respect their company and commitment values very much, as you can read in my ""Toy Story"" review. They stick to the values that made Disney films so family-friendly back in the fifties and sixties: Respect for the audience, respect for quality, and respect for the audience's INTELLIGENCE, something Disney, who has recently coughed up a bunch of lousy, thoughtless sequels, has forgotten. Now, I know that LEGALLY Disney is co-creator of ""Toy Story"" and ""Monsters, Inc.,"" but they really are not. They just give Pixar the money and get their name branded on the front box of the film. And even then, I have heard multiple claims that Disney is very mean-spirited towards Pixar (read into sequel trouble for ""Toy Story 3"") and gives them the bare minimum.But that is straying off the subject. ""Monsters, Inc."" is one of the most enjoyable animated films I have ever had the pleasure of viewing. I didn't enjoy it as much the first time, but I then bought it, and have since watched it many times. It is an instant classic. I will be watching it years from now, when I am old and frail and in a rocking chair. It ranks right up there with ""Toy Story"" 1 & 2, and all the OLDER Disney films from the 50's-70's. It has all the elements of a sweet, charming, emotional and pleasurably good-natured animated film. And, more coudos to Pixar: Thank you for not packing it full of the language and inappropriate content that Disney shoves into the dark recesses of their films nowadays.Not only has Pixar brought back the ""Family Film"" genre to what it should be, but it also redefines it. Pixar's animated films are some of the most thoughtful, imaginative and enjoyable animated films ever - not to mention 100 % family safe. Thank you, Pixar, for getting back on track.5/5 stars",does monsters what toy story did toys,monsters inc we were all at one time scared monsters under bed shadows clothes closet weird sounds outside trees i remember thinking there were all kinds monsters my room not as much under my bed as closet once again pixar who brought us toy story 1 2 plays both adults memories childrens dreams making it equally enjoyable both children adults john goodman voices james p sullivan known as sulley friends he is big blue hairy monster with horns his head hands size watermelon billy crystal is mike wazowski his wisecracking one eyed best friend both these monsters live monstropolis world where monsters roam freely their city is powered by rare source power childrens screams that is where monsters incorporated comes at monsters inc monsters like sulley mike open portals into childrens rooms through closet doors scare children capturing their scream little yellow bottle sulley is top scarer bringing most scares but randall always enjoyable even when animated steve buscemi wormy multiple armed lizard monster with ability change appearances its surroundings is jealous sulley will attempt anything get more scares even if it means taking child real world bringing it into monstropolis but after child escapes sulley mike reluctantly look after it all while trying get it back real world before mr waternoose late james coburn others find out about incident monsters inc does monsters what toy story did toys pixar once again not only expands our mind but our very worlds i respect their company commitment values very much as you can read my toy story review they stick values that made disney films so family friendly back fifties sixties respect audience respect quality respect audiences intelligence something disney who has recently coughed up bunch lousy thoughtless sequels has forgotten now i know that legally disney is co creator toy story monsters inc but they really are not they just give pixar money get their name branded front box film even then i have heard multiple claims that disney is very mean spirited towards pixar read into sequel trouble toy story 3 gives them bare minimum but that is straying off subject monsters inc is one most enjoyable animated films i have ever had pleasure viewing i didnt enjoy it as much first time but i then bought it have since watched it many times it is instant classic i will be watching it years now when i am old frail rocking chair it ranks right up there with toy story 1 2 all older disney films 50s 70s it has all elements sweet charming emotional pleasurably good natured animated film more coudos pixar thank you not packing it full language inappropriate content that disney shoves into dark recesses their films nowadays not only has pixar brought back family film genre what it should be but it also redefines it pixars animated films are some most thoughtful imaginative enjoyable animated films ever not mention 100 family safe thank you pixar getting back track 5 5 stars,0.4366580261136712,0.19806442885071915,Positive,"{'Happy': 0.23, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.3, 'Fear': 0.19}"
10.0,Adorable movie with top class entertainment.,"The best way to describe this movie in one word is; fun! ""Monsters, Inc."" is a movie you can easily fall in love with. It has some great fun character, some awesome moments and some well placed comical moments. ""Monsters, Inc."" is entertainment at its bests.The voice cast is amazing. John Goodman and Billy Crystal form a great leading duo. Steve Buscemi is a great villain and James Coburn has a great voice that fits his character perfectly. John Ratzenberger as always is very entertaining this time in a role as banished Yeti.The story itself is pretty simple but thats what makes it easy to follow and so much fun to watch. The movie not only knows how to entertaining but also knows how and when to emote. The combination of fun and emotional things is perfectly balanced and placed within the movie.There is some great dialog but the true power of ""Monsters, Inc."" are the wonderful characters. Not is there only a wild variety of strange and weird characters but also some characters that are good for some serious laughs and Boo is simply adorable and a pretty fair representation of a kid in real life. Well done Pixar!Pure entertainment for the entire family!10/10http://bobafett1138.blogspot.com/",adorable movie with top class entertainment,best way describe this movie one word is fun monsters inc is movie you can easily fall love with it has some great fun character some awesome moments some well placed comical moments monsters inc is entertainment at its bests voice cast is amazing john goodman billy crystal form great leading duo steve buscemi is great villain james coburn has great voice that fits his character perfectly john ratzenberger as always is very entertaining this time role as banished yeti story itself is pretty simple but thats what makes it easy follow so much fun watch movie not only knows how entertaining but also knows how when emote combination fun emotional things is perfectly balanced placed within movie there is some great dialog but true power monsters inc are wonderful characters not is there only wild variety strange weird characters but also some characters that are good some serious laughs boo is simply adorable pretty fair representation kid real life well done pixar pure entertainment entire family 10 10,0.6981369047619047,0.42994047619047626,Positive,"{'Happy': 0.31, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.13, 'Fear': 0.33}"
,"`Monsters, Inc.' is the best animated feature this year and one of the greatest of all time.","You may admire the hair detail on Sully the Yeti's arm, but you will be amazed at the warmth of characterization in `Monsters, Inc.,' surpassing even the great `Shrek' earlier this year. Goodman and Crystal are a comedic team reminiscent of the zaniest Martin and Lewis days. Crystal's Borscht-belt routines brought smiles even to this jaded and admittedly tough-on-comedy critic. I thought Eddie Murphy's donkey in `Shrek' was smart and funny; Crystal's one-eyed monster is even better with its wry and annoying wit.Cleaning the environment of child contamination is a hilarious conceit that turns around the usual fears children have of monsters in closets. It is also a chilling parallel to the challenge of removing anthrax from today's letters. Generally, the allegorical underpinnings of animation are natural for the medium, powerful like the images of the novel `Animal Farm' for political and sociological levels of meaning. For example, the endless-door motif in this film is an ingenious metaphor for the scary and glorious possibilities the present and future hold for kids.Even before you see this feature, Pixar offers the short feature `For the Birds' -- a brilliant takeoff on Hitchcock's memorable film besides being a great commentary on diversity. The expressions around the animated eyes, as the little birds deal with the big bird interloper, are more expressive than those of most contemporary film actors, with the exception of Brando, Pacino, Depp, and Streep.The short trailer for `Star Wars II: Attack of the Clones' may precede the showing as it did ours for an added delight.`Monsters, Inc.' is the best animated feature this year and one of the greatest of all time.",monsters inc is best animated feature this year one greatest all time,you may admire hair detail sully yetis arm but you will be amazed at warmth characterization monsters inc surpassing even great shrek earlier this year goodman crystal are comedic team reminiscent zaniest martin lewis days crystals borscht belt routines brought smiles even this jaded admittedly tough comedy critic i thought eddie murphys donkey shrek was smart funny crystals one eyed monster is even better with its wry annoying wit cleaning environment child contamination is hilarious conceit that turns around usual fears children have monsters closets it is also chilling parallel challenge removing anthrax todays letters generally allegorical underpinnings animation are natural medium powerful like images novel animal farm political sociological levels meaning example endless door motif this film is ingenious metaphor scary glorious possibilities present future hold kids even before you see this feature pixar offers short feature birds brilliant takeoff hitchcocks memorable film besides being great commentary diversity expressions around animated eyes as little birds deal with big bird interloper are more expressive than those most contemporary film actors with exception brando pacino depp streep short trailer star wars ii attack clones may precede showing as it did ours added delight monsters inc is best animated feature this year one greatest all time,0.5775096525096527,0.2359341484341484,Positive,"{'Happy': 0.22, 'Angry': 0.12, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.22}"
9.0,Nothing To Criticize Here - Very Solid Animated Film,"This is a very entertaining animated film. I've seen it twice and enjoyed even more the second time. Billy Crystal said he enjoyed making this film as much as any film he's ever done, so that's a good testimony that you'll get some laughs and enjoy this movie as an adult, too. Kids will love it, I am sure. The ""monsters"" in here are funny-looking and almost lovable, nothing that would scare your kids (or you). Crystal has a bunch of funny lines but overall I found this to be as much if not more of a human interest story than a comedy. There is a lot of sentimentality to it, even overdone a bit at the end, but that's okay. There is absolutely nothing offensive in here, either. The colors look spectacular, too.",nothing criticize here very solid animated film,this is very entertaining animated film ive seen it twice enjoyed even more second time billy crystal said he enjoyed making this film as much as any film hes ever done so thats good testimony that youll get some laughs enjoy this movie as adult too kids will love it i am sure monsters here are funny looking almost lovable nothing that would scare your kids or you crystal has bunch funny lines but overall i found this be as much if not more human interest story than comedy there is lot sentimentality it even overdone bit at end but thats okay there is absolutely nothing offensive here either colors look spectacular too,0.5285858585858585,0.3090909090909091,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.19}"
,An instant classic,"MONSTERS, INC. (2001) **** (Voices of: Billy Crystal, John Goodman, James Coburn, Jennifer Tilly, Steve Buscemi, Mary Gibbs, Bonnie Hunt, Bob Peterson, John Ratzenberger, Frank Oz, Steve Susskind, Jeff Pidgeon, Sam ""Penguin"" Black, Daniel R. Gerson. (Dir: Peter Docter/Co-directors: David Silverman, Lee Unkrich)There's something undeniably magical about a Disney movie that brings out your inner child and the streak continues to manifest itself in the latest with its fine track record with upstarts Pixar (the ""Toy Story "" films) in delighting children of all ages in one of the year's funniest (and most fun) films.The childhood phenomena of imagining monsters lurking in one's bedroom closet or under the bed is in actuality a reality that exists solely for the world of the monsters to use all the energy extracted from a child's screams as their natural resource to power their communities and subsist in their parallel universe. Specifically Scream Heat (""We Scare Because We Care""), the corporate entity that harnesses the youngsters' reactions to its hard-working crew of creatures including our heroes James P. ""Sulley"" Sullivan (marvelously voiced by Goodman) and his best buddy Mike Wazowski (ditto Crystal). Sulley is a bear-like, blue and purple hairy and horned monster and Mike is a cyclopean lime green M&M clone. The two couldn't be more different yet both share their passion for their vocation and the only thing getting in their way is their rival colleague Randall Boggs (Buscemi, at his oiliest menacing), a reptilian nasty who wants to beat Sulley for the all-time factory record of most points racked up in a single day on the job  at any cost. Watching the proceedings is Sulley's father-figure boss Henry J. Waternoose (Coburn) – a cross between a crab and Edward G. Robinson – whose main priority is avoiding any ""rolling blackouts"" (in one of the film's subtle jabs at the current climate in our nation). Mike is in love with cutie pie receptionist Celia (Tilly) who also sports one eye and is afoot taller than him, with a hairdo sporting a Medusa twist (snakes sit atop her head) who wants something from him besides excuses to their frequently put-upon dates together. One day after work Sulley accidentally lets into their world a tiny 4 year old girl – a big no-no – legend has it that one touch is toxic and fatal! – which causes mass havoc wreaked upon the populace as the authorities attempt to corral the tyke while decontaminating the infected workshop's workers (a running gag has the SWAT like DEA agents popping in at a moment's notice whenever a sign of human contact – i.e. a small cotton white sock attached to an unsuspecting monster – makes its ugly presence known!) Mike is in a panicky sweat that they will lose their jobs and tells Sulley he can't hide Boo (the nickname the big guy dubs the adorable tot) and they must return her to her bedroom. Easier said than done when Randall gets wind of the partners abetting the unsuspecting crime and he too has his plans to use Boo for his own selfish endeavorsat any cost! The film is a laugh a minute romp and an incredible mix of state-of-the-art computer generated dynamics that truly enhance the candy-colored world of Mike & Sulley with its picture perfect depictions of moveable hair (see how Sulley's locks sway to and fro so naturally! A first for CGI imagery!) and expressiveness given to the one-eyed Mike who works his brow into a real sweat. Never before has voice talent been so perfectly matched and acted to a t than in the comic team of Crystal and Goodman with their characteristics smartly enhanced into their characters with Crystal's liberal use of his ""SNL"" Willy the Masochist (""Oh I hate when that happens!"") and Goodman's burly, awshucks demeanor fits his soft-hearted meanie like a golden glove. Sulley is the true star of the show with his emotional overload not unlike a kid learning to make a new life transition as he discovers there's more to his existence than meets the eye (same for Mike; pun intended). When he realizes that Boo (by the way, nice job by the producers to use real-life 4 year old Gibbs, in easily the cutest turn by a child performer ever without making an audience gag) is not threatened by his hulking presence. The laughs are largely thanks to Crystal's myopic M&M who is always one-step behind his behemoth buddy and slow on the uptake as the plot proceeds with his sly one-liners, sudden bursts of unrestrained anger and confusion, and slapstick antics leads the film into uncharted territories of hysterical laughter and a great breakneck roller-coaster ride with Mike & Sulley attempting to find Boo's bedroom door with Randall in hot pursuit gives the film a giddy headrush of adrenaline. The film is witty, bright, upbeat and has its shares of incisiveness (I loved the use of HarryHausen's as a local chic eatery that all the monsters are dying to get into; in case of those who don't know Harryhausen, Ray Harryhausen, is the premier stop-motion animator pioneer who gave life to scores of sci-fi creatures including the fabled ""Sinbad"" flicks of the 1960s and 1970s among others) that will undoubtedly have its constituents clamoring for a sequel pronto. Arguably one of the best films and funniest of the year; I loved it and so will you (and your kids if you have any; if not all the more to see it again) An instant classic.",instant classic,monsters inc 2001 voices billy crystal john goodman james coburn jennifer tilly steve buscemi mary gibbs bonnie hunt bob peterson john ratzenberger frank oz steve susskind jeff pidgeon sam penguin black daniel r gerson dir peter docter co directors david silverman lee unkrich theres something undeniably magical about disney movie that brings out your inner child streak continues manifest itself latest with its fine track record with upstarts pixar toy story films delighting children all ages one years funniest most fun films childhood phenomena imagining monsters lurking ones bedroom closet or under bed is actuality reality that exists solely world monsters use all energy extracted childs screams as their natural resource power their communities subsist their parallel universe specifically scream heat we scare because we care corporate entity that harnesses youngsters reactions its hard working crew creatures including our heroes james p sulley sullivan marvelously voiced by goodman his best buddy mike wazowski ditto crystal sulley is bear like blue purple hairy horned monster mike is cyclopean lime green m m clone two couldnt be more different yet both share their passion their vocation only thing getting their way is their rival colleague randall boggs buscemi at his oiliest menacing reptilian nasty who wants beat sulley all time factory record most points racked up single day job at any cost watching proceedings is sulleys father figure boss henry j waternoose coburn cross between crab edward g robinson whose main priority is avoiding any rolling blackouts one films subtle jabs at current climate our nation mike is love with cutie pie receptionist celia tilly who also sports one eye is afoot taller than him with hairdo sporting medusa twist snakes sit atop her head who wants something him besides excuses their frequently put upon dates together one day after work sulley accidentally lets into their world tiny 4 year old girl big no no legend has it that one touch is toxic fatal which causes mass havoc wreaked upon populace as authorities attempt corral tyke while decontaminating infected workshops workers running gag has swat like dea agents popping at moments notice whenever sign human contact i e small cotton white sock attached unsuspecting monster makes its ugly presence known mike is panicky sweat that they will lose their jobs tells sulley he cant hide boo nickname big guy dubs adorable tot they must return her her bedroom easier said than done when randall gets wind partners abetting unsuspecting crime he too has his plans use boo his own selfish endeavors at any cost film is laugh minute romp incredible mix state art computer generated dynamics that truly enhance candy colored world mike sulley with its picture perfect depictions moveable hair see how sulleys locks sway fro so naturally first cgi imagery expressiveness given one eyed mike who works his brow into real sweat never before has voice talent been so perfectly matched acted t than comic team crystal goodman with their characteristics smartly enhanced into their characters with crystals liberal use his snl willy masochist oh i hate when that happens goodmans burly awshucks demeanor fits his soft hearted meanie like golden glove sulley is true star show with his emotional overload not unlike kid learning make new life transition as he discovers theres more his existence than meets eye same mike pun intended when he realizes that boo by way nice job by producers use real life 4 year old gibbs easily cutest turn by child performer ever without making audience gag is not threatened by his hulking presence laughs are largely thanks crystals myopic m m who is always one step behind his behemoth buddy slow uptake as plot proceeds with his sly one liners sudden bursts unrestrained anger confusion slapstick antics leads film into uncharted territories hysterical laughter great breakneck roller coaster ride with mike sulley attempting find boos bedroom door with randall hot pursuit gives film giddy headrush adrenaline film is witty bright upbeat has its shares incisiveness i loved use harryhausens as local chic eatery that all monsters are dying get into case those who dont know harryhausen ray harryhausen is premier stop motion animator pioneer who gave life scores sci fi creatures including fabled sinbad flicks 1960s 1970s among others that will undoubtedly have its constituents clamoring sequel pronto arguably one best films funniest year i loved it so will you your kids if you have any if not all more see it again instant classic,0.5122842178397731,0.16280931003153215,Positive,"{'Happy': 0.13, 'Angry': 0.08, 'Surprise': 0.24, 'Sad': 0.22, 'Fear': 0.33}"
,"Superb animation, a most inventive story, fun for the whole family.","""Monsters Inc"" came out on DVD this week, and now I have my own copy!! It is not very useful to try to evaluate this one against others since such an evaluation is so subjective. But I put it in the same superb category that such animated films as ""Toy Story"", ""A Bug's Life"", ""Shrek"", and ""Disney's Tarzan"" are in. First, the quality of the animation and the picture quality. Unbelievably good. I can categorically say it is the best picture quality I have seen on DVD, and the movement and facial expressions of the animated characters makes it almost feel like they are real. Second, the story. How inventive! The only thing separating the monster world from the real world are the doors. The company, Monsters Inc, must have millions of them in inventory, computerized for quick call-up to send in a monster to get screams and charge up their energy cells.The main characters are voiced by John Goodman (big, blue, hairy ""kitty"" with purple spots) and Billy Crystal (short, green, one-eyed monster) and their acting add so much. Plus the great music provided by Randy Newman. Overall an hour and a half of pure edge of your seat entertainment. And that doesn't even include the 3+ hours of extras on the second disk. You can select either standard or widescreen format, and I watched mine widescreen on a 16:9 HDTV with 5-channel surround system with powered subwoofer. Almost like being in a theater!!",superb animation most inventive story fun whole family,monsters inc came out dvd this week now i have my own copy it is not very useful try evaluate this one against others since such evaluation is so subjective but i put it same superb category that such animated films as toy story bugs life shrek disneys tarzan are first quality animation picture quality unbelievably good i can categorically say it is best picture quality i have seen dvd movement facial expressions animated characters makes it almost feel like they are real second story how inventive only thing separating monster world real world are doors company monsters inc must have millions them inventory computerized quick call up send monster get screams charge up their energy cells main characters are voiced by john goodman big blue hairy kitty with purple spots billy crystal short green one eyed monster their acting add so much plus great music provided by randy newman overall hour half pure edge your seat entertainment that doesnt even include 3 hours extras second disk you can select either standard or widescreen format i watched mine widescreen 16 9 hdtv with 5 channel surround system with powered subwoofer almost like being theater,0.3941919191919192,0.24188589188589188,Positive,"{'Happy': 0.17, 'Angry': 0.11, 'Surprise': 0.19, 'Sad': 0.22, 'Fear': 0.31}"
10.0,"The best computer animated film of them all, and the most adult","Until now I couldn't bring myself to believe that computer animation was the equal of either stop motion animation or hand-drawn animation. All computer animated films looked a little (usually more than a little) too sterile, many were animated poorly (""Antz"", ""Shrek"", ""Final Fantasy""), and even the single unqualified success (""Toy Story 2"") provided little evidence that a computer animated film COULD reach the heights other kinds of animation could. ""Toy Story 2"" had flawless character animation, but nothing as inspired as the best in ""Tarzan"" (released the same year, although I could have chosen almost any other Disney cartoon to make my point); effective art direction, but nothing to match ""Fantasia"" or ""The Nightmare Before Christmas"". And I thought that ""Toy Story 2"" was as good as the art was ever going to get.I was wrong. This is far better. And what's more, there's no sense whatever that the script (an unusually rich and uninhibited script) is bumping up against the limits of what the medium will allow. It's now been proven that computer animation CAN be just as good as any other kind. Whether it will be allowed to be in future is another question, but for now, I'm hopeful. What we have here is computer animation's first ENTIRELY unalloyed artistic delight, with every character gracefully and characteristically animated, every virtual set just right and pleasing to look at, and an eye-tickling mastery of colour, light and shade that I thought would forever elude CGI artists.It's not fair to judge anything good as ""Monsters, Inc."" as though it were a children's movie, but I can't resist comparing it with ""Shrek"" - which emphatically IS a children's movie. ""Monsters, inc."" is admittedly ABOUT children, in a sort of a way. The inhabitants of Monstropolis rely on children's screams for their energy, and the central story is kicked off when one of the monsters accidentally brings a small child (which he calls ""Boo"") into the city. But we never see things from her point of view. We see things from the point of view of the monsters, who are all adults - and who, like most adults, see children as frightening, almost incomprehensible members of another species. And they ARE. To be sure, Wazowski comes to feel strong affection for Boo, but she never becomes more than a humanoid pet (which is not to demean the relationship). This is a story about adults looking at childhood from the outside.""Shrek"", of course, is a children's movie through and through. Its attention span is short, it has an unthinking mean streak, and children will have a whale of a time watching the central characters (the bigger they are, the more fun it is) act childishly and make poo-poo jokes. ""Monsters, Inc."" has too much genuine wit, characters too rich, a world with too much depth, and a story at once too coherent and too complicated, to be PRIMARILY a film for children. This is not to say children won't like it. Maybe they will. (Who can say?) Here's the bonus: if they DO like it, it will (unlike ""Shrek"") actually have a beneficial effect. It will make them less frightened of the dark.",best computer animated film them all most adult,until now i couldnt bring myself believe that computer animation was equal either stop motion animation or hand drawn animation all computer animated films looked little usually more than little too sterile many were animated poorly antz shrek final fantasy even single unqualified success toy story 2 provided little evidence that computer animated film could reach heights other kinds animation could toy story 2 had flawless character animation but nothing as inspired as best tarzan released same year although i could have chosen almost any other disney cartoon make my point effective art direction but nothing match fantasia or nightmare before christmas i thought that toy story 2 was as good as art was ever going get i was wrong this is far better whats more theres no sense whatever that script unusually rich uninhibited script is bumping up against limits what medium will allow its now been proven that computer animation can be just as good as any other kind whether it will be allowed be future is another question but now im hopeful what we have here is computer animations first entirely unalloyed artistic delight with every character gracefully characteristically animated every virtual set just right pleasing look at eye tickling mastery colour light shade that i thought would forever elude cgi artists its not fair judge anything good as monsters inc as though it were childrens movie but i cant resist comparing it with shrek which emphatically is childrens movie monsters inc is admittedly about children sort way inhabitants monstropolis rely childrens screams their energy central story is kicked off when one monsters accidentally brings small child which he calls boo into city but we never see things her point view we see things point view monsters who are all adults who like most adults see children as frightening almost incomprehensible members another species they are be sure wazowski comes feel strong affection boo but she never becomes more than humanoid pet which is not demean relationship this is story about adults looking at childhood outside shrek course is childrens movie through through its attention span is short it has unthinking mean streak children will have whale time watching central characters bigger they are more fun it is act childishly make poo poo jokes monsters inc has too much genuine wit characters too rich world with too much depth story at once too coherent too complicated be primarily film children this is not say children wont like it maybe they will who can say heres bonus if they do like it it will unlike shrek actually have beneficial effect it will make them less frightened dark,0.5226620370370371,0.18690476190476193,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.36, 'Sad': 0.12, 'Fear': 0.32}"
10.0,"""We scare because we care""","Monsters generate their city's power by scaring children, but they are terribly afraid themselves of being contaminated by children, so when one enters Monstropolis, top scarer Sulley finds his world disrupted.Monster's Inc explores childhood fear, the fear of looking under your bed or looking at your open closet thinking a monster would pop out. Pixar of course wouldn't make it fearful, but brought lightheartedness to it and made a highly imaginative tale of a fictional world where monsters scare children to power their city. This film is illustrated with creative monsters and styled with classy/jazzy music. The feeling while watching this is amazing and the emotions you feel for the monsters is just magical. Pixar has once again OUTDONE their-selves with every project they have thought of. Monster's Inc is definitely one of the top Pixar movies and also one of the most creative. If you can outlook the childish themes and look deeper into the movie's heart and soul, you will definitely be immersed in Pixar's movie-making magic. Most people would complain about the animation because animated movies have this thing when where one sees one, it's automatically horrible and childish. If one is made by Pixar, I highly recommend you sit down and see what they can do to animations; you will be amazed. 10/10.",we scare because we care,monsters generate their citys power by scaring children but they are terribly afraid themselves being contaminated by children so when one enters monstropolis top scarer sulley finds his world disrupted monsters inc explores childhood fear fear looking under your bed or looking at your open closet thinking monster would pop out pixar course wouldnt make it fearful but brought lightheartedness it made highly imaginative tale fictional world where monsters scare children power their city this film is illustrated with creative monsters styled with classy jazzy music feeling while watching this is amazing emotions you feel monsters is just magical pixar has once again outdone their selves with every project they have thought monsters inc is definitely one top pixar movies also one most creative if you can outlook childish themes look deeper into movies heart soul you will definitely be immersed pixars movie making magic most people would complain about animation because animated movies have this thing when where one sees one its automatically horrible childish if one is made by pixar i highly recommend you sit down see what they can do animations you will be amazed 10 10,0.7081313131313132,0.10929292929292928,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.29, 'Sad': 0.34, 'Fear': 0.26}"
9.0,Monstrously clever and funny early Pixar CGI feature,"Sully and Mike (voiced by John Goodman and Billy Crystal) are employees at Monsters Inc., a scream-fueled plant that provides power to Monsteropolis. Screams are generated by 'scarers' (and Sully is the best), who enter children's bedrooms via the closet and are harvested by their partners (in Sully's case, his best friend Mike). Extreme care must be taken, as children are highly toxic to monsters, so when one is accidently transported to the factory, pandemonium ensues. The film is the fourth of Pixar's full length animated features and like most of the studio's work, is excellent. The story is fun with a clever 'twist' to the ending, the animators manage to inject a tremendous amount of character and personality into the CGI characters, and the choice of voice talent is perfect (I especially liked Steve Buscemi as the chameleonic villain Randall). CGI technology has advanced considerably since the film was released but the imagery still holds up and the vast 'closet door' storage facility is great. Typical of the studio, there are a lot of amusing details in the background that are worth watching for. Good, timeless fun for all ages.",monstrously clever funny early pixar cgi feature,sully mike voiced by john goodman billy crystal are employees at monsters inc scream fueled plant that provides power monsteropolis screams are generated by scarers sully is best who enter childrens bedrooms via closet are harvested by their partners sullys case his best friend mike extreme care must be taken as children are highly toxic monsters so when one is accidently transported factory pandemonium ensues film is fourth pixars full length animated features like most studios work is excellent story is fun with clever twist ending animators manage inject tremendous amount character personality into cgi characters choice voice talent is perfect i especially liked steve buscemi as chameleonic villain randall cgi technology has advanced considerably since film was released but imagery still holds up vast closet door storage facility is great typical studio there are lot amusing details background that are worth watching good timeless fun all ages,0.6222666666666665,0.40940000000000004,Positive,"{'Happy': 0.18, 'Angry': 0.12, 'Surprise': 0.18, 'Sad': 0.06, 'Fear': 0.45}"
