Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,WHAT is the capital of Assyria? I don't know that!,"I do know, however, that Monty Python and the Holy Grail is one of the funniest movies ever made. Let's face it, if the Python hadn't showed up in 1969, someone would have created them by now, or the world would be a much sadder place. Alongside Life of Brian, which is the sextet's masterpiece, Holy Grail is an excellent start if you want to get addicted to their surreal humor.As suggested in the title, the film deals with the Arthurian stories, freely reinterpreted by the Python ensemble: after recruiting his knights, including Sir Lancelot (John Cleese), Sir Robin (Eric Idle), Sir Bedevere (Terry Jones) and Sir Galahad (Michael Palin), King Arthur (Graham Chapman) embarks on a mission from God (also Chapman, voice only though): to seek and find the Holy Grail. No need to say, the journey is going to be perilous, but also hilarious, our heroes doing their ""best"" to screw everything up.As in Life of Brian, there are so many good bits choosing just one or two feels reductive and disrespectful, given the material. It's pure comedy gold from start to finish, a non-stop gag marathon: from the mock Scandinavian subtitles in the opening credits to the argument about swallows, from the Killer Rabbit to the Black Knight and the jaw-dropping epilogue, you will keep grinning like never before (if you're unfamiliar with these comedians, that is). Actually, after some serious thinking I can select two particular sequences as particularly memorable: the Knights who say ""Ni!"" and the Bridge of Death. The rest of the film is ace too, but those two scenes are the ones I can't stop thinking of fondly whenever the movie is mentioned.Oh, and let's not forget Terry Gilliam's vital contribution: he doesn't appear that much as an actor (his Bridgekeeper is absolute genius, though), but he compensates that with the remarkable animations used to depict part of this epic adventure. Speaking of epic, this picture has one of the most brilliant tag-lines in comedy history, if not film history in general.Oh yes, the world wouldn't be quite the same without the Monty Python. Even the most miserable person on the planet will laugh like a lunatic after viewing any of their films.P.S. Ni!",what is capital assyria i dont know that,i do know however that monty python holy grail is one funniest movies ever made lets face it if python hadnt showed up 1969 someone would have created them by now or world would be much sadder place alongside life brian which is sextets masterpiece holy grail is excellent start if you want get addicted their surreal humor as suggested title film deals with arthurian stories freely reinterpreted by python ensemble after recruiting his knights including sir lancelot john cleese sir robin eric idle sir bedevere terry jones sir galahad michael palin king arthur graham chapman embarks mission god also chapman voice only though seek find holy grail no need say journey is going be perilous but also hilarious our heroes doing their best screw everything up as life brian there are so many good bits choosing just one or two feels reductive disrespectful given material its pure comedy gold start finish non stop gag marathon mock scandinavian subtitles opening credits argument about swallows killer rabbit black knight jaw dropping epilogue you will keep grinning like never before if youre unfamiliar with these comedians that is actually after some serious thinking i can select two particular sequences as particularly memorable knights who say ni bridge death rest film is ace too but those two scenes are ones i cant stop thinking fondly whenever movie is mentioned oh lets not forget terry gilliams vital contribution he doesnt appear that much as actor his bridgekeeper is absolute genius though but he compensates that with remarkable animations used depict part this epic adventure speaking epic this picture has one most brilliant tag lines comedy history if not film history general oh yes world wouldnt be quite same without monty python even most miserable person planet will laugh like lunatic after viewing any their films p s ni,0.5795977011494254,0.24934318555008203,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.15, 'Fear': 0.49}"
,the ultimate nonsense comedy,"Well, this is unquestionably one of the funniest movies ever made. The first time a saw it I laughed to tears and this is the only time that counts. The first time you get the best experience. I really envy those who haven't seen it yet. From the opening scene to the sudden ending this one won't let you leave the room. Especially the opening scene: ""Are you trying to say that coconuts migrate"" or when John Cleese trying to be Tarzan, hanging on the rope said: ""Can somebody give me a push."" An absolute masterpiece. Considering the low budget that the creators of the movie had at their disposal would probably make ""The Holy Grail"" the best movie in this genre-silly nonsense kind of stuff. It shows the great creativity and acting capabilities of the Monty Python crew. It comes to say that a movie can be made with a little bit of money - a great movie. 10 out of 10",ultimate nonsense comedy,well this is unquestionably one funniest movies ever made first time saw it i laughed tears this is only time that counts first time you get best experience i really envy those who havent seen it yet opening scene sudden ending this one wont let you leave room especially opening scene are you trying say that coconuts migrate or when john cleese trying be tarzan hanging rope said can somebody give me push absolute masterpiece considering low budget that creators movie had at their disposal would probably make holy grail best movie this genre silly nonsense kind stuff it shows great creativity acting capabilities monty python crew it comes say that movie can be made with little bit money great movie 10 out 10,0.563425925925926,0.2840277777777778,Positive,"{'Happy': 0.08, 'Angry': 0.03, 'Surprise': 0.35, 'Sad': 0.22, 'Fear': 0.32}"
10.0,They could grab it by the husk.....,"King Arthur and his Knights of the Round Table set out on a quest to find the Holy Grail...as told to do so by a cartoon God that lives in the clouds... Easily the most hilarious and original comedy ever made, Monty Python and the Holy Grail claims it's undisputed throne through insanely ridiculous situations and characters that will very likely never be duplicated. Pure comedic genius that doesn't go stale with age or decades of competition having been released. Simply seeing the way comedy films are made today, this film will very likely have a long reign before anything can even hold a candle to it. An absolute belly-laugh fest that never lets up.Only the cast of Monty Python could have pulled this film off, with each actor playing many different characters...all hilarious! The genius in the actors' lines themselves are truly to be admired. The comedic style of talking in circles is one technique that most comedies do not try to do, simply because they can't compete with the genius of this film, which uses it flawlessly. Those that do try usually fall flat on their faces. Two particularly excellent examples of this can be seen in the beginning scene, in which the characters discuss the origins of coconuts.....and the other when Lancelot breaks into the swamp castle to save the ""damsel in distress."" This is merely one technique that the cast has perfected to conjure up laughs consistently throughout the entire film. The only way that I can imagine that someone might not like this film is if they simply do not enjoy it's type of humor. Too bad for them.Another hilarious technique used in the film is the use of comedy in the background. From people slamming cats against poles for no apparent reason, to people filling up baskets with mud in the fields....all very strange and hilarious at the same time. It's also simply amazing that all of the characters are played by the same group of actors, which shows the great range all of them have. Some are simply unrecognizable from one character to the other and it sometimes takes a good eye to pick them out, which makes it fun. And I don't want to ruin it for anyone, but this film takes some turns that no sane person could see coming.Ridiculous characters in ridiculous situations equals ridiculous laughter.The epitome of all-star comedy that will no doubt continue to stand the test of time. Kudos to Gilliam and the rest of the Python crew. If you haven't seen it yet, make it your first priority in life!",they could grab it by husk,king arthur his knights round table set out quest find holy grail as told do so by cartoon god that lives clouds easily most hilarious original comedy ever made monty python holy grail claims its undisputed throne through insanely ridiculous situations characters that will very likely never be duplicated pure comedic genius that doesnt go stale with age or decades competition having been released simply seeing way comedy films are made today this film will very likely have long reign before anything can even hold candle it absolute belly laugh fest that never lets up only cast monty python could have pulled this film off with each actor playing many different characters all hilarious genius actors lines themselves are truly be admired comedic style talking circles is one technique that most comedies do not try do simply because they cant compete with genius this film which uses it flawlessly those that do try usually fall flat their faces two particularly excellent examples this can be seen beginning scene which characters discuss origins coconuts other when lancelot breaks into swamp castle save damsel distress this is merely one technique that cast has perfected conjure up laughs consistently throughout entire film only way that i can imagine that someone might not like this film is if they simply do not enjoy its type humor too bad them another hilarious technique used film is use comedy background people slamming cats against poles no apparent reason people filling up baskets with mud fields all very strange hilarious at same time its also simply amazing that all characters are played by same group actors which shows great range all them have some are simply unrecognizable one character other it sometimes takes good eye pick them out which makes it fun i dont want ruin it anyone but this film takes some turns that no sane person could see coming ridiculous characters ridiculous situations equals ridiculous laughter epitome all star comedy that will no doubt continue stand test time kudos gilliam rest python crew if you havent seen it yet make it your first priority life,0.6079658385093168,0.11719461697722569,Positive,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.21, 'Sad': 0.2, 'Fear': 0.39}"
9.0,Monty Python at their best,"In the Realm of King Arthur, the Monty Python team set out on a quest to recruit the best Knights in the kingdom and find the Holy Grail.This is Classic Python Mayhem, where we encounter Killer rabbits, Knights who go Nee! and Horny Nuns who lure the unsuspecting in with there Grail Shaped Beacon.The Cast all give Typically Hilarious Performances, bringing another must see to the Python Loving Audience.If You Like Monty Python, you'll love it, if you don't then stay away.If you've never seen Monty Python before then give it a try, yes it's dated but its still great fun.9/10Also see, The Life Of Brian and The Meaning of Life",monty python at their best,realm king arthur monty python team set out quest recruit best knights kingdom find holy grail this is classic python mayhem where we encounter killer rabbits knights who go nee horny nuns who lure unsuspecting with there grail shaped beacon cast all give typically hilarious performances bringing another must see python loving audience if you like monty python youll love it if you dont then stay away if youve never seen monty python before then give it try yes its dated but its still great fun 9 10also see life brian meaning life,0.5333333333333333,0.6083333333333333,Positive,"{'Happy': 0.29, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.12, 'Fear': 0.35}"
10.0,The King of Comedies!,"The first time I saw this was on CBS at 11:30 on a Friday night. I had seen a few Monty Python shows on PBS, so I knew who they were, and I was very interested in seeing this.This film shows you just what all around comedy is all about.It starts during the opening credits and ends in a way you don't see coming. The songs are....memorable. The drawings/animation are imaginative for its time and the Monty Python troupe was at its shining best playing a host of characters from the days of King Arthur. If you don't laugh at this today, you have no funny bone! Many other reviewers here hit this film on the nose, there isn't much more to add to how brilliant this piece of work it.This is one of my all time favorites and is one of the top 10 films of all time.",king comedies,first time i saw this was cbs at 11 30 friday night i had seen few monty python shows pbs so i knew who they were i was very interested seeing this this film shows you just what all around comedy is all about it starts during opening credits ends way you dont see coming songs are memorable drawings animation are imaginative its time monty python troupe was at its shining best playing host characters days king arthur if you dont laugh at this today you have no funny bone many other reviewers here hit this film nose there isnt much more add how brilliant this piece work it this is one my all time favorites is one top 10 films all time,0.542948717948718,0.37884615384615383,Positive,"{'Happy': 0.25, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.05, 'Fear': 0.4}"
9.0,"""I am your king."" ""Well, I didn't vote for you.""","Monty Python (or John Cleese, Michael Palin, Terry Jones, Terry Gilliam, Graham Chapman and Eric Idle) brought their brilliant wit and smart humour to theatrical audiences back in 1975 with this nice little gem. If you have never seen Monty Python before it will either change your life and how you look at comedy or you will scratch your head and wonder what is so funny.In this farcical story King Arthur (to me a brilliant performance and played extremely straight by Graham Chapman) armed with his Knights of the Round Table is on his search for the Holy Grail.They come face to face with deadly black knights, killer rabbits and lonely lustful nuns to name a few.There really isn't a low point in the film as the laughs keep coming and ridiculous characters keep showing up. My favourite scenes are King Arthur's sword fight with the black knight (John Cleese), meeting the Knights Who Say Ni! lead by Michael Palin and dealing with the bridgekeeper (Terry Gilliam) of the Bridge of Death.While this is a film from Python about one thing that being King Arthur's quest for the Holy Grail it still to me has the soul of sketch comedy due to silly characters that show up for generally one scene and then you move onto the next character. Which to me is completely fine. I think this group may have been the absolute best at sketch comedy.Last night my fiancee, my sister, my niece and I went and saw this at a theatre, but it was very interactive. They gave you two halves of coconuts and lines to shout out to the screen. If you are a fan of Monty Python or this film it is not just highly recommended it is a must for those people.",i am your king well i didnt vote you,monty python or john cleese michael palin terry jones terry gilliam graham chapman eric idle brought their brilliant wit smart humour theatrical audiences back 1975 with this nice little gem if you have never seen monty python before it will either change your life how you look at comedy or you will scratch your head wonder what is so funny this farcical story king arthur me brilliant performance played extremely straight by graham chapman armed with his knights round table is his search holy grail they come face face with deadly black knights killer rabbits lonely lustful nuns name few there really isnt low point film as laughs keep coming ridiculous characters keep showing up my favourite scenes are king arthurs sword fight with black knight john cleese meeting knights who say ni lead by michael palin dealing with bridgekeeper terry gilliam bridge death while this is film python about one thing that being king arthurs quest holy grail it still me has soul sketch comedy due silly characters that show up generally one scene then you move onto next character which me is completely fine i think this group may have been absolute best at sketch comedy last night my fiancee my sister my niece i went saw this at theatre but it was very interactive they gave you two halves coconuts lines shout out screen if you are fan monty python or this film it is not just highly recommended it is must those people,0.4952210884353742,0.10399234693877554,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.15, 'Fear': 0.38}"
10.0,The reason Robin Williams isn't in a nut house.,"This is perhaps one of the greatest, funniest parodies in the history of film. I think the greatest definition of irony is that to be believably stupid on screen, you have to be very intelligent. This is a rare occasion where something can be so stupid that it's funny, with the addition of feeling you got your money's worth at the end. Examples of failures would be anchorman, austin powers, scary movie etc. The gore and clichés of three headed, and goofy ""NI!"" yelling knights are what give this movie discreet beauty.Did I mention that the acting is also very good for a movie of this sort. All of the main characters, as they do in the series, take on numerous characters, all of whom are well established and each have their quirks about them. This was a well written, well thought out, and perfectly directed, low budget comedy. The funniest of any monty python film, and amongst the top comedies of all time. I laughed from beginning to end and bruised one of my lungs. I highly recommend this film to anyone. This is living proof that all you need is a good script and good actors.",reason robin williams isnt nut house,this is perhaps one greatest funniest parodies history film i think greatest definition irony is that be believably stupid screen you have be very intelligent this is rare occasion where something can be so stupid that its funny with addition feeling you got your moneys worth at end examples failures would be anchorman austin powers scary movie etc gore clich s three headed goofy ni yelling knights are what give this movie discreet beauty did i mention that acting is also very good movie this sort all main characters as they do series take numerous characters all whom are well established each have their quirks about them this was well written well thought out perfectly directed low budget comedy funniest any monty python film amongst top comedies all time i laughed beginning end bruised one my lungs i highly recommend this film anyone this is living proof that all you need is good script good actors,0.6834920634920634,0.33746031746031746,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.28, 'Sad': 0.14, 'Fear': 0.41}"
10.0,The Silliest Film Ever Made...,"From a technical viewpoint, ""Monty Python and the Holy Grail"" could be called a seriously flawed and impaired film. Filmed on location in the UK with a minimal budget and regular ""Python"" cast members, I seriously doubt that anyone working on the project at the time had believed it would spark such a cultural phenomenon. And revisiting the movie now, post its release 28 years ago, is magical.First-time viewers may be puzzled by the film's odd opening--in fact, stories of those who thought that they had entered into the wrong screening room come in abundance. But as soon as the voice of the coarse British man is audible the viewer realizes that he or she has been duped once again by the Python Troupe.King Arthur and his Knights of the Round Table have been sent on a most glorious quest by God Himself--to seek and maintain the Holy Grail, the legendary cup that Christ drank from during The Last Supper, prior to His execution, and which later caught His blood as he was left danging upon the cross.But the seriousness surrounding the Holy Grail is left wholly untouched by the members of Monty Python--instead, we follow King Arthur and his men as they come upon an odd assortment of characters, including The Black Knight, Dennis, The Knights Who Say ""Ni!"", and The Killer Rabbit, all of whom hinder the daring soldiers in their quest for the Holy Grail.Many people will find the humor of ""Monty Python and the Holy Grail"" ingenious, while others will find the exact same jokes and stints repetitive and ridiculous. I myself did not enjoy the film the first time I saw it as a child, but over the years I have come to appreciate its humor a bit more. I still find the jokes a bit too stretched out at times, and certain gags, though hilarious the first ten times, get a bit humorless the twentieth time around (the coconuts, for example, which are amazingly silly when first introduced, soon become tiring when they are treated as the highlight of a joke repetitively). However, often enough the jokes introduced at certain points in the films are merely played in the background further into the film--for example, the fact that the men do not ride on horses is quite a major idea the first time it is revealed, and becomes the central subject of a conversation between Arthur and the man atop the castle battlements. But later on the notion of no horses is played smaller and in the background as so we can concentrate on the current jokes at hand, as well as the missing horses as an added bonus.There is absolutely nothing to truthfully discuss about ""Monty Python and the Holy Grail,"" other than to say that at first it seems quite obnoxious, but it starts to grow on you. And this movie has definitely made a deep dig into our culture. In fact, on the commentary track for the newer DVD, John Cleese mentions that a pro American football player (or ""footballer"" as the English call them) and his buddy were thinking of a plan in the midst of a serious game. Their strategy was this on the field: Run away! Run away!There are countless classic scenes, including the battle between The Black Knight and King Arthur (""I've had worse!""); the scene where Sir Lancelot the Brave (or Launcelot, as the script for the film names him) storms the Swamp Castle in hopes of rescuing a fair maiden and, in result, ends up destroying everything in his path (including the candle mounted along the wall leading to the spiralling staircase), saying that he gets a bit frantic and over-excited in this genre; Sir Robin and the Three-Headed Knight (""...when danger reared its ugly head he bravely turned his tail and fled...""); The Knights Who Say ""Ni!"" and their request for a shrubbery; the Killer Rabbit's attack on Arthur's merry men. That's just to name a few memorable scenes.""Monty Python and the Holy Grail"" may be the silliest film ever put on celluloid. It rarely makes sense, sometimes falls a bit flat, but always puts a smile on your face. And that's an achievement.",silliest film ever made,technical viewpoint monty python holy grail could be called seriously flawed impaired film filmed location uk with minimal budget regular python cast members i seriously doubt that anyone working project at time had believed it would spark such cultural phenomenon revisiting movie now post its release 28 years ago is magical first time viewers may be puzzled by films odd opening fact stories those who thought that they had entered into wrong screening room come abundance but as soon as voice coarse british man is audible viewer realizes that he or she has been duped once again by python troupe king arthur his knights round table have been sent most glorious quest by god himself seek maintain holy grail legendary cup that christ drank during last supper prior his execution which later caught his blood as he was left danging upon cross but seriousness surrounding holy grail is left wholly untouched by members monty python instead we follow king arthur his men as they come upon odd assortment characters including black knight dennis knights who say ni killer rabbit all whom hinder daring soldiers their quest holy grail many people will find humor monty python holy grail ingenious while others will find exact same jokes stints repetitive ridiculous i myself did not enjoy film first time i saw it as child but over years i have come appreciate its humor bit more i still find jokes bit too stretched out at times certain gags though hilarious first ten times get bit humorless twentieth time around coconuts example which are amazingly silly when first introduced soon become tiring when they are treated as highlight joke repetitively however often enough jokes introduced at certain points films are merely played background further into film example fact that men do not ride horses is quite major idea first time it is revealed becomes central subject conversation between arthur man atop castle battlements but later notion no horses is played smaller background as so we can concentrate current jokes at hand as well as missing horses as added bonus there is absolutely nothing truthfully discuss about monty python holy grail other than say that at first it seems quite obnoxious but it starts grow you this movie has definitely made deep dig into our culture fact commentary track newer dvd john cleese mentions that pro american football player or footballer as english call them his buddy were thinking plan midst serious game their strategy was this field run away run away there are countless classic scenes including battle between black knight king arthur ive had worse scene where sir lancelot brave or launcelot as script film names him storms swamp castle hopes rescuing fair maiden result ends up destroying everything his path including candle mounted along wall leading spiralling staircase saying that he gets bit frantic over excited this genre sir robin three headed knight when danger reared its ugly head he bravely turned his tail fled knights who say ni their request shrubbery killer rabbits attack arthurs merry men thats just name few memorable scenes monty python holy grail may be silliest film ever put celluloid it rarely makes sense sometimes falls bit flat but always puts smile your face thats achievement,0.4241852164929088,0.0493513431013431,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.26, 'Sad': 0.2, 'Fear': 0.35}"
9.0,Another hilarious comedy from the Pythons!,"After the brilliant Life of Brian, I was looking forward to watching Monty Python and the Holy Grail. And I loved it, I don't think it is quite as good as Life of Brian, but it is definitely one of the better Monty Python comedies for sheer hilarity and fun. The story like Life of Brian isn't the strongest component but this is in no way a criticism and yes the special effects are cheesy but perhaps that was the intention. My only problem with the film was that the ending is a little flat, but that is a minor criticism compared to how much I loved this film. The script is irreverent and highly quotable, and the soundtrack is even funnier. As a comedy it is wonderfully inventive, that debunks the Dark Ages and legends of chivalry through King Arthur, The Black Knight, God and the ""knights who say ni"". Comedy highlights include the trial with Connie Booth's witch and the Holy Hand Grenade of Antioch sequence. Even the sets are quite well designed and authentic. And the acting is simply wonderful, John Cleese, Terry Jones(the encounter with Dennis's mother was hilarious), Graham Chapman, Terry Gilliam, Michael Palin and Eric Idle perfectly live up to their exceptional talents. Overall, a great comedy and a great film. 9.5/10 Bethany Cox",another hilarious comedy pythons,after brilliant life brian i was looking forward watching monty python holy grail i loved it i dont think it is quite as good as life brian but it is definitely one better monty python comedies sheer hilarity fun story like life brian isnt strongest component but this is no way criticism yes special effects are cheesy but perhaps that was intention my only problem with film was that ending is little flat but that is minor criticism compared how much i loved this film script is irreverent highly quotable soundtrack is even funnier as comedy it is wonderfully inventive that debunks dark ages legends chivalry through king arthur black knight god knights who say ni comedy highlights include trial with connie booths witch holy hand grenade antioch sequence even sets are quite well designed authentic acting is simply wonderful john cleese terry jones encounter with denniss mother was hilarious graham chapman terry gilliam michael palin eric idle perfectly live up their exceptional talents overall great comedy great film 9 5 10 bethany cox,0.631062925170068,0.308607374768089,Positive,"{'Happy': 0.29, 'Angry': 0.03, 'Surprise': 0.29, 'Sad': 0.09, 'Fear': 0.29}"
10.0,The most memorable comedy of all time,"Name another context where the line ""your mother was a hamster and your father smelt of elderberries"" is funny. If it's not John Cleese as the taunting Frenchman or said in that very same obnoxiously fake French accent, it's about as funny as missing tea time.""The Holy Grail,"" far and away the greatest comedic work of the Monty Python gang of Graham Chapman, Eric Idle, John Cleese, Michael Palin and Terry Gilliam is a masterful example of the power of improvisational humor and satire. It is also testament that nonsense, when executed properly, is brilliance.No comedy can even touch what King Arthur and the knights of the round table's divinely charged quest for the Holy Grail does. Whether it is a rant about various forms of government, a tragically flawed scientific logic for burning witches or knights who keep sacred words like ""Ni"" and demand shrubberies, just about everything in the film is memorable, quotable or at least highly enjoyed by those with bad recall abilities.The Middle Ages is perfect fodder for Monty Python, mixing a definite sense of history with tales of fantasy -- the ideal balance for satire and nonsensical fun. But truly, comedy is about timing and execution and no one does it better. The subtleties of ""I'm not dead yet"" and ""i'm getting better"" are examples. Delivered in another way they could miss the mark entirely, but the Python crew gets just about anything to be funny. A definite improvisational element keeps the scenes fresh and all the more hilarious.""Holy Grail"" nails joke after joke and only lacks a satisfying end. Still, the sheer comedic genius of the rest of the film is so good that the whole unit is meaningless. You don't walk away thinking it's a bad ending, you start quoting the taunting Frenchman, or the leader of the nights who say ""Ni!"" or the Black Knight. That's what makes the film a true classic.",most memorable comedy all time,name another context where line your mother was hamster your father smelt elderberries is funny if its not john cleese as taunting frenchman or said that very same obnoxiously fake french accent its about as funny as missing tea time holy grail far away greatest comedic work monty python gang graham chapman eric idle john cleese michael palin terry gilliam is masterful example power improvisational humor satire it is also testament that nonsense when executed properly is brilliance no comedy can even touch what king arthur knights round tables divinely charged quest holy grail does whether it is rant about various forms government tragically flawed scientific logic burning witches or knights who keep sacred words like ni demand shrubberies just about everything film is memorable quotable or at least highly enjoyed by those with bad recall abilities middle ages is perfect fodder monty python mixing definite sense history with tales fantasy ideal balance satire nonsensical fun but truly comedy is about timing execution no one does it better subtleties im not dead yet im getting better are examples delivered another way they could miss mark entirely but python crew gets just about anything be funny definite improvisational element keeps scenes fresh all more hilarious holy grail nails joke after joke only lacks satisfying end still sheer comedic genius rest film is so good that whole unit is meaningless you dont walk away thinking its bad ending you start quoting taunting frenchman or leader nights who say ni or black knight thats what makes film true classic,0.6249031007751938,0.1767441860465116,Positive,"{'Happy': 0.17, 'Angry': 0.12, 'Surprise': 0.21, 'Sad': 0.23, 'Fear': 0.27}"
