Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7.0,A Bit of a Carry On...,"You need to suspend your belief in reality for two and a half hours and, if you do, there's a charming story that grows out of deception to reveal a caring and endearing heart, that opens a door to empathy and compassion, shows us what can be achieved when we care and, perhaps more importantly what happens when we do not. Plenty of wacky humour to ease the swelling if this isn't your thing and choc full of everything else you would expect form a piece of cinema from India, all those things that make it so special.",bit carry,you need suspend your belief reality two half hours if you do theres charming story that grows out deception reveal caring endearing heart that opens door empathy compassion shows us what can be achieved when we care perhaps more importantly what happens when we do not plenty wacky humour ease swelling if this isnt your thing choc full everything else you would expect form piece cinema india all those things that make it so special,0.6610119047619047,0.3925595238095238,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.29, 'Fear': 0.24}"
8.0,Laughter Guaranteed!!,"Storyline: Munna Bhai (Sanjay Dutt) and his gang are the typical 'Bhai's in Mumbai who claims to be a social worker helping out people in recovery (through kidnapping, haath-pair todna) etc and has lied to his father that he is a doctor. When the truth is discovered, an insulted Munna then makes a resolve to become a doctor. Coincidentally, he joins the same college where his enemy Dr. Asthana (Boman Irani) is a strict Dean. A comedy of troubles starts when the 'cool' don confronts strict Asthana.Comment: Although the story is quite similar to Hollywood's 'Patch Adams', the movie can make u laugh non-stop except for some serious scenes that are very few in that movie. The tapori style of Sanjay Dutt and Arshad Warsi is just too good. Sunil Dutt has acted after a really really long time of 17 years. Gracy Singh is graceful and sweet. Boman Irani has done a good job as a Strict Dean of the medical college who accidentally believes in Laughter therapy. Although the punchline of the movie says ""He might just cure you"", forget about the curing, he will surely make you laugh!! Truly Amazing Humour!! Rating: 4/5",laughter guaranteed,storyline munna bhai sanjay dutt his gang are typical bhais mumbai who claims be social worker helping out people recovery through kidnapping haath pair todna etc has lied his father that he is doctor when truth is discovered insulted munna then makes resolve become doctor coincidentally he joins same college where his enemy dr asthana boman irani is strict dean comedy troubles starts when cool don confronts strict asthana comment although story is quite similar hollywoods patch adams movie can make u laugh non stop except some serious scenes that are very few that movie tapori style sanjay dutt arshad warsi is just too good sunil dutt has acted after really really long time 17 years gracy singh is graceful sweet boman irani has done good job as strict dean medical college who accidentally believes laughter therapy although punchline movie says he might just cure you forget about curing he will surely make you laugh truly amazing humour rating 4 5,0.42357638888888893,0.1889583333333333,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.27, 'Sad': 0.23, 'Fear': 0.27}"
,The introduction to Munnabhai and Circuit,"Inspired by the Hollywood movie 'Patch Adam', 'Munnabhai M.B.B.S.' tells the comedic story of a thug who wants to become a doctor. The film has its major share of comedic moments and its dramatic moments. It is indeed an entertaining film with the famously lovable characters like Munnabhai and Circuit. Rajkumar Hirani may have taken the idea of an older outsider wanting to become a doctor from 'Patch Adams' but in essence 'Munnabhai M.B.B.S.' is its own film and it is the performances and comedy that make it worth the watch because most the dramatic moments are a little over the top. While the dialogue in the comedic scenes are witty and hilarious, the ones in the dramatic scenes are a mess.Sanjay Dutt totally nails Munnabhai. It's hard to picture anyone else in the title role. The actor does full justice. It was nice to see Sunil Dutt after a long time and that too as father to his own son. The actor has a strong presence, even in a brief role. Gracy Singh is cute and adorable. Jimmy Shergill is awesome and holds his own as Zaheer and Boman Irani too does very well. However, it is Arshad Warsi who steals the show in a breakthrough performance as one of the most memorable film characters of recent time, Circuit.Most of the songs are well balanced and are good additions to the film. I found Munnabhai's romantic ballad hilarious when he tries to convince the suicider to cut the crap. On the technical side, it's alright. On the whole this is one enjoyable flick. One would have expected more from the second Munnabhai film which I found boring but why should that prevent the pleasure that comes from this movie?",introduction munnabhai circuit,inspired by hollywood movie patch adam munnabhai m b b s tells comedic story thug who wants become doctor film has its major share comedic moments its dramatic moments it is indeed entertaining film with famously lovable characters like munnabhai circuit rajkumar hirani may have taken idea older outsider wanting become doctor patch adams but essence munnabhai m b b s is its own film it is performances comedy that make it worth watch because most dramatic moments are little over top while dialogue comedic scenes are witty hilarious ones dramatic scenes are mess sanjay dutt totally nails munnabhai its hard picture anyone else title role actor does full justice it was nice see sunil dutt after long time that too as father his own son actor has strong presence even brief role gracy singh is cute adorable jimmy shergill is awesome holds his own as zaheer boman irani too does very well however it is arshad warsi who steals show breakthrough performance as one most memorable film characters recent time circuit most songs are well balanced are good additions film i found munnabhais romantic ballad hilarious when he tries convince suicider cut crap technical side its alright whole this is one enjoyable flick one would have expected more second munnabhai film which i found boring but why should that prevent pleasure that comes this movie,0.597037037037037,0.2001851851851852,Positive,"{'Happy': 0.3, 'Angry': 0.05, 'Surprise': 0.2, 'Sad': 0.07, 'Fear': 0.38}"
10.0,Real nice comedy,"I saw Munnabhai MBBS primarily because of Sunjay Dutt. He has always been good in comedy, and his movies make you laugh without having to take help of double meaning dialogues or crossing the line into bitchiness. Ofcourse, Sunjay Dutt has to have a gangster connection, only then the movie can sell. He is the eternal gangster and those roles fit him well, no body can deny that. But where you really have to give director the full points is that he saw the comedic talents of the junior Dutt and put them into a simplistic, well made movie. All the characters, be it ""Circuit"" (Arshad Warsi) or the ""Dean"", or Sunil Dutt, have been portrayed well enough in the movie. Some of the scenes, like the one where Sanjay Dutt ""rags"" the seniors make you laugh out from the heart, because this is something which every fresher in the college dreams of. I think, the movie deserves full points for direction, story, acting, nice title.... This movie was a real treat to watch when most of the other Hindi movies (especially the over-hyped stuff) turn out to be below average.10 out of 10.",real nice comedy,i saw munnabhai mbbs primarily because sunjay dutt he has always been good comedy his movies make you laugh without having take help double meaning dialogues or crossing line into bitchiness ofcourse sunjay dutt has have gangster connection only then movie can sell he is eternal gangster those roles fit him well no body can deny that but where you really have give director full points is that he saw comedic talents junior dutt put them into simplistic well made movie all characters be it circuit arshad warsi or dean or sunil dutt have been portrayed well enough movie some scenes like one where sanjay dutt rags seniors make you laugh out heart because this is something which every fresher college dreams i think movie deserves full points direction story acting nice title this movie was real treat watch when most other hindi movies especially over hyped stuff turn out be below average 10 out 10,0.47875000000000006,0.22125,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.33, 'Sad': 0.24, 'Fear': 0.21}"
9.0,Absolutely wonderful movie!,This movie was terrific. The comedy caused rip-roaring laughter. Sanjay Dutt makes a comeback after his poor performance in Ek Aur Ek Gyarah. The emotional scenes are very poignant. The emotions and comedy have been integrated perfectly. The themes of the movie are very inspiring.,absolutely wonderful movie,this movie was terrific comedy caused rip roaring laughter sanjay dutt makes comeback after his poor performance ek aur ek gyarah emotional scenes are very poignant emotions comedy have been integrated perfectly themes movie are very inspiring,0.8428571428571429,0.32142857142857145,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.25, 'Sad': 0.38, 'Fear': 0.12}"
10.0,A Laugh Riot!,"The funniest film of 2003 and perhaps the DECADE. Munna Bhai MBBS is a non-stop laugh riot! Sanjay Dutt gives another mind-blowing performance.Rajkumar Hirani is the new kid on the Block, but it doesn't show, one of would think he's a veteran filmmaker by the way he has directed his debut venture. Vidhu Vinod Chopra is not know for producing comedies, but his risk has paid off BIG TIME!!! The film also stars Sunil Dutt, after a very long gap, but he does full justice to his role, he's in full form and doesn't miss a single beat. Rohini Hattangadi is excellent. Arshad Warsi and Boman Irani simply steal the show. Gracy Singh is Sweet, Sensitive and spellbinding. Jimmy Shergill is excellent in a role that seems tailor made for him.Abbas Tyrewalla's Dialogues are superb and are the soul of the film. A definite must see!!!",laugh riot,funniest film 2003 perhaps decade munna bhai mbbs is non stop laugh riot sanjay dutt gives another mind blowing performance rajkumar hirani is new kid block but it doesnt show one would think hes veteran filmmaker by way he has directed his debut venture vidhu vinod chopra is not know producing comedies but his risk has paid off big time film also stars sunil dutt after very long gap but he does full justice his role hes full form doesnt miss single beat rohini hattangadi is excellent arshad warsi boman irani simply steal show gracy singh is sweet sensitive spellbinding jimmy shergill is excellent role that seems tailor made him abbas tyrewallas dialogues are superb are soul film definite must see,0.4997483766233767,0.29687094155844157,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.42}"
9.0,You'll laugh and you'll cry !!,"It has been added to my version of the Indian classics.Parinda,Lamhe,1942 A Love Story,Dil Chahta Hai,Kaante,Shool,Satya,and now Munna Bhai M.B.B.S.(Forgive me if I am forgetting some great movies).I myself am a student of medicine and though its so unrealistic and atmosphere and so melodramatic a storyline but for once I don't care if it is.The dialogues have been written by some wizard.It was really good to see V.V.Chopras name in the writing credits.Sanjay Dutt was at his killer best and the rest were there to supplement him.And they supported big time from Arshad Warsi to Boman Irani to Gracy Singh.I Don't know whether I would cry and laugh both the same time ever again in my lifetime.",youll laugh youll cry,it has been added my version indian classics parinda lamhe 1942 love story dil chahta hai kaante shool satya now munna bhai m b b s forgive me if i am forgetting some great movies i myself am student medicine though its so unrealistic atmosphere so melodramatic storyline but once i dont care if it is dialogues have been written by some wizard it was really good see v v chopras name writing credits sanjay dutt was at his killer best rest were there supplement him they supported big time arshad warsi boman irani gracy singh i dont know whether i would cry laugh both same time ever again my lifetime,0.4083333333333334,0.3444444444444444,Positive,"{'Happy': 0.25, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.25}"
10.0,One of the best movies ever made in Indian Film Industry.,"Well, watched it past-night once again(nth time, I guess!). Just came to IMDb to see the response of our desis! Disappointed!!! Just 381 people have voted for it and the rating is going below 9! This movie deserves to be in top-250 of IMDb! This type of movies are made once every 2-3 decades. Munnabhai M.B.B.S. is a class.I remember very well, when I first saw the promos of this movie on TV, I was considering it as yet another timepass-govinda-sanju-type-comedy- movie. The night next to its release, there was a party in Mumbai having guests like Nasiruddin Shah and Om Puri! Mr. Shah stated ""This movie will go ahead of Vaastav."" I was surprised like hell! Vaastav!!! Went to theatre the same week and watched it. GREAT MOVIE! I can't mention a point against it. Everything was simply superb. If we talk about acting! Even the sweeper or peon acted far better than the lead-actors of other Indian movies.Don't go on anything, watch it and decide yourselves. You will love the movie, I swear!",one best movies ever made indian film industry,well watched it past night once again nth time i guess just came imdb see response our desis disappointed just 381 people have voted it rating is going below 9 this movie deserves be top 250 imdb this type movies are made once every 2 3 decades munnabhai m b b s is class i remember very well when i first saw promos this movie tv i was considering it as yet another timepass govinda sanju type comedy movie night next its release there was party mumbai having guests like nasiruddin shah om puri mr shah stated this movie will go ahead vaastav i was surprised like hell vaastav went theatre same week watched it great movie i cant mention point against it everything was simply superb if we talk about acting even sweeper or peon acted far better than lead actors other indian movies dont go anything watch it decide yourselves you will love movie i swear,0.48020833333333335,0.2390625,Positive,"{'Happy': 0.1, 'Angry': 0.03, 'Surprise': 0.42, 'Sad': 0.26, 'Fear': 0.19}"
,Superb Comedy,"When I went to watch the movie I was not so sure on how well the director could handle a comedy ( He is not exactly known for that!), BUT 10 minutes into the show and all my doubts were dispelled! This is a superb comedy, and you should watch it for Arshad Warsi's acting, if not anything else. 8/10",superb comedy,when i went watch movie i was not so sure how well director could handle comedy he is not exactly known that but 10 minutes into show all my doubts were dispelled this is superb comedy you should watch it arshad warsis acting if not anything else 8 10,0.6277777777777778,0.475,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.44}"
10.0,Excellent Tapori Movie,"An excellent tapori-comedy movie after a long time. The plot line revolves around Munna Bhai(Sanjay Dutt) and his sidekick - Circuit (Arshad Warsi). Murli Prasad Sharma (Sanjay Dutt) becomes a bhai after coming to Mumbai. His father(Sunil Dutt) wanted him to become a doctor. Every time his father visits him in the city, his dhobi ghaat place has to be transformed into a hospital to show that he is a doctor. That scene is hilarious.But once Sunil Dutt finds out the reality, he is heart-broken and leaves. So now Sanjay Dutt has a point to prove and gets an admission to become a doctor. He doesn't get along well with the dean of the college. He is also in love with his daughter (Gracy Singh). The story now focuses on how people in the hospital need to be loved and appreciated. Arshad Warsi provides humour after every few scenes. Songs weren't that great except I really liked the ""Subah Ho Gayi Mamu"".Sanjay Dutt does justification to his role as the Bhai. Arshad Warsi in the supporting role has acted very well. His role in this reminded me a movie he had done earlier - Tere Mere Sapne.",excellent tapori movie,excellent tapori comedy movie after long time plot line revolves around munna bhai sanjay dutt his sidekick circuit arshad warsi murli prasad sharma sanjay dutt becomes bhai after coming mumbai his father sunil dutt wanted him become doctor every time his father visits him city his dhobi ghaat place has be transformed into hospital show that he is doctor that scene is hilarious but once sunil dutt finds out reality he is heart broken leaves so now sanjay dutt has point prove gets admission become doctor he doesnt get along well with dean college he is also love with his daughter gracy singh story now focuses how people hospital need be loved appreciated arshad warsi provides humour after every few scenes songs werent that great except i really liked subah ho gayi mamu sanjay dutt does justification his role as bhai arshad warsi supporting role has acted very well his role this reminded me movie he had done earlier tere mere sapne,0.5666666666666665,0.30666666666666664,Positive,"{'Happy': 0.37, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.16, 'Fear': 0.26}"
