Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,"""When a person grows up, do his dreams become smaller?""","I'm gradually becoming less and less surprised when I see a foreign film that's every bit as good as those produced by Americans or the Brits. This was my first Turkish film, and for those of you struggling to find it, I would direct you to Youtube where you can find it in it's entirety with English subtitles. As the translated title suggests, the story is about a man struggling to come to terms with a father who disowned him, and his feelings of growing away from his own seven year old son. The back story of Sadik's (Fikret Kuskan) personal history does not fully come to light until well into the picture, when we learn that he became an anarchist journalist, much to the dismay of his father, who had designs for his son to take over the family farm upon attaining an agricultural degree. For viewers with a Turkish background, the conflict that resulted in Sadik's jail time and torture will probably be understood better within the context of that country's history, so for someone like myself, a lot of that perspective is lost. However that doesn't affect the impact of the story when it's finally revealed that Sadik's reconciliation with his father occurred because of his impending death due to a pulmonary edema condition. The man did a noble thing for his own son Deniz (Ege Tanman) by returning him to the village of Sadik's childhood to remain with family and friends. I would challenge the viewer to maintain a dry eye as the mystery of father/grandfather Huseyin's (Çetin Tekindor) 'secret room' reveals Sadim's happy and hopeful youth before he left his family. One comes away from the film with a serene sense of family bond that transcends nationality, as in the end, we are all humans subject to the same emotions of love and loyalty.",when person grows up do his dreams become smaller,im gradually becoming less less surprised when i see foreign film thats every bit as good as those produced by americans or brits this was my first turkish film those you struggling find it i would direct you youtube where you can find it its entirety with english subtitles as translated title suggests story is about man struggling come terms with father who disowned him his feelings growing away his own seven year old son back story sadiks fikret kuskan personal history does not fully come light until well into picture when we learn that he became anarchist journalist much dismay his father who had designs his son take over family farm upon attaining agricultural degree viewers with turkish background conflict that resulted sadiks jail time torture will probably be understood better within context that countrys history so someone like myself lot that perspective is lost however that doesnt affect impact story when its finally revealed that sadiks reconciliation with his father occurred because his impending death due pulmonary edema condition man did noble thing his own son deniz ege tanman by returning him village sadiks childhood remain with family friends i would challenge viewer maintain dry eye as mystery father grandfather huseyins etin tekindor secret room reveals sadims happy hopeful youth before he left his family one comes away film with serene sense family bond that transcends nationality as end we are all humans subject same emotions love loyalty,0.46120689655172414,0.15804597701149428,Positive,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.36, 'Sad': 0.11, 'Fear': 0.33}"
10.0,A masterpiece that must be seen by everyone!,"A masterpiece that must be seen by everyone!It's the better film I have seen so far. It's not only about the relationships between fathers and sons, or the sequences from a coup d' etat, especially against leftist people. There are a lot of things and ideas included. For example the attitude of a former lover, wounded, married to another man, but still carrying. Its an insight to the human relationships as a whole, the role of the family in Mediterranean countries. This does not mean that people from the North for example will not understand or will not be moved. But the situations depicted, fit especially to Turks, or Greeks (like me), or perhaps Italians. The director is really one of the highest class. I had previously watched his later film Issiz Adam (Always alone), and I was so impressed that I looked for another of his movies, so I found this film. I found very good the actor who played the young boy. I was really shocked from the scene of the father regretting for his behavior, it looked very much like a Greek ancient tragedy. Also the music of the film was excellent. Everyone must see this film. Not only he will like it, but I am sure that he will be moved.",masterpiece that must be seen by everyone,masterpiece that must be seen by everyone its better film i have seen so far its not only about relationships between fathers sons or sequences coup d etat especially against leftist people there are lot things ideas included example attitude former lover wounded married another man but still carrying its insight human relationships as whole role family mediterranean countries this does not mean that people north example will not understand or will not be moved but situations depicted fit especially turks or greeks like me or perhaps italians director is really one highest class i had previously watched his later film issiz adam always alone i was so impressed that i looked another his movies so i found this film i found very good actor who played young boy i was really shocked scene father regretting his behavior it looked very much like greek ancient tragedy also music film was excellent everyone must see this film not only he will like it but i am sure that he will be moved,0.5597106481481482,0.19414930555555554,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.41, 'Sad': 0.21, 'Fear': 0.24}"
8.0,One of the best Turkish movies ever,"The movie starts on the days of military government, which started Sep.12th, 1980, and lasted 3 years (Effects of this action against democracy lasted more than 15 years). A young socialist newspaper writer (Fikret Kuskan) loses his wife on birth of his only son on the very first day of the military action, because he can not find any help for delivery of the child. After 6 years past, the father was desperate to find any jobs on the papers, which are now supporters of the new order, and decides to return his father (Çetin Tekindor)'s home in a small village near Izmir: A house that he has left years ago fighting his father's wills to make him a person that his father would like him to be.I can not even summarize the rest of the movie, since one should see the movie himself/herself to understand the encounters of two strangers, father and son. One should notice the mother (Humeyra)'s role on the relationship (or non-relationship) of these two different men, and the grandson (Ege Tanman).If you have a Mediterrenean blood, Greek, Italian, whatever, you will find many things in this movie. You don't have to be Turk to understand the emotional rivers in this movie. It really touches hearts of the Turkish people.",one best turkish movies ever,movie starts days military government which started sep 12th 1980 lasted 3 years effects this action against democracy lasted more than 15 years young socialist newspaper writer fikret kuskan loses his wife birth his only son very first day military action because he can not find any help delivery child after 6 years past father was desperate find any jobs papers which are now supporters new order decides return his father etin tekindor s home small village near izmir house that he has left years ago fighting his fathers wills make him person that his father would like him be i can not even summarize rest movie since one should see movie himself herself understand encounters two strangers father son one should notice mother humeyra s role relationship or non relationship these two different men grandson ege tanman if you have mediterrenean blood greek italian whatever you will find many things this movie you dont have be turk understand emotional rivers this movie it really touches hearts turkish people,0.34490358126721765,0.06642561983471074,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.35, 'Fear': 0.26}"
10.0,This movie will touch your soul and will not let go!,"**** 10 out of 10 for this movie **** One of the best movies ever made worldwide.I write this review right after seeing this movie because I want to put down the emotions that stir me this second. I must admit that before watching this masterpiece I was a bit skeptical about it being a drama because most dramas I have seen evolve around irrelevant topics - but this movie will change the way you think.The story is so heartwarming and real that it will move you far beyond anything you have probably ever experienced before. The actors do such an amazing job that you will sympathize with them and might indulge in some crying even if you are a male.Even if you don't cry this movie will touch you and will make you think about your own life.Movies that are able to and make you REFLECT and THINK about yourself, for my taste, are part of the best movies of all time because their messages are delivered in a way so that you will never forget them.Go see this movie and vote because this is not only the best Turkish movie ever, but one of the best movies ever made.",this movie will touch your soul will not let go,10 out 10 this movie one best movies ever made worldwide i write this review right after seeing this movie because i want put down emotions that stir me this second i must admit that before watching this masterpiece i was bit skeptical about it being drama because most dramas i have seen evolve around irrelevant topics but this movie will change way you think story is so heartwarming real that it will move you far beyond anything you have probably ever experienced before actors do such amazing job that you will sympathize with them might indulge some crying even if you are male even if you dont cry this movie will touch you will make you think about your own life movies that are able make you reflect think about yourself my taste are part best movies all time because their messages are delivered way so that you will never forget them go see this movie vote because this is not only best turkish movie ever but one best movies ever made,0.5474801587301588,0.31150793650793646,Positive,"{'Happy': 0.03, 'Angry': 0.05, 'Surprise': 0.41, 'Sad': 0.33, 'Fear': 0.18}"
10.0,An Incredible Movie,"As I watched that movie, I saw the Turkish relationships in the best way that it could be shown. A very good choice of cast is the most powerful criterion of the success of the movie. Humeyra, the grandmother is a very talented woman in acting. Emotional scenes become more frequent while we see the movie to get to the end. Unfortunate events make the Turkish people get closer to each other. The movie shows that perfectly. Hospitality, love, grief, laughs... Everything is included in this movie. An emotional breakthrough. The movie also points on the elderly reality -now an impossibility- the torture, made by the cops.Better to be watched by fathers and sons. Also, crying may occur, don't worry; too many people who watched the movie had the same.",incredible movie,as i watched that movie i saw turkish relationships best way that it could be shown very good choice cast is most powerful criterion success movie humeyra grandmother is very talented woman acting emotional scenes become more frequent while we see movie get end unfortunate events make turkish people get closer each other movie shows that perfectly hospitality love grief laughs everything is included this movie emotional breakthrough movie also points elderly reality now impossibility torture made by cops better be watched by fathers sons also crying may occur dont worry too many people who watched movie had same,0.5466666666666666,0.29976190476190473,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.05}"
10.0,"Clever, poignant, brilliant and ""human""..","A simple story becomes a sad and poignant movie about ordinary people.. Every person I know who had the chance to watch this wonderful movie have cried -especially during the second half.. I applause everyone involved in the production of this magnificent piece of work.. Really brilliant work, presenting some top-notch performances (esp by Humeyra and Cetin Tekindor) and a clever collection of spectacular moments. No special effects, no superhuman strengths no fantastic landscapes.. Just human and the ordinary feelings. I felt some rush to call my mom and dad just after the movie to be sure that they are OK and to make them know once again that I really care about them. This movie makes you think deeper on values that make us human and also etches itself irreversibly to your memory by touching the deepest possible regions of your soul.. Highly recommended; a must-see! Do not forget your tissue papers because you probably will not be able to keep your tears from flowing...Thanks Cagan Irmak, and continue to blow our minds away..",clever poignant brilliant human,simple story becomes sad poignant movie about ordinary people every person i know who had chance watch this wonderful movie have cried especially during second half i applause everyone involved production this magnificent piece work really brilliant work presenting some top notch performances esp by humeyra cetin tekindor clever collection spectacular moments no special effects no superhuman strengths no fantastic landscapes just human ordinary feelings i felt some rush call my mom dad just after movie be sure that they are ok make them know once again that i really care about them this movie makes you think deeper values that make us human also etches itself irreversibly your memory by touching deepest possible regions your soul highly recommended must see do not forget your tissue papers because you probably will not be able keep your tears flowing thanks cagan irmak continue blow our minds away,0.5938597883597884,0.20826984126984127,Positive,"{'Happy': 0.14, 'Angry': 0.06, 'Surprise': 0.31, 'Sad': 0.2, 'Fear': 0.29}"
10.0,AWESOME - the word is not enough,"I have never seen a movie ever before, that brings a tear to anybody who sees it, at the sound of a violin, or a single word uttered.Babam Ve Oglum.Director: Cagan ImrakLead Characters: Ege Tanman ... Deniz Çetin Tekindor ... Hüseyin Fikret Kuskan ... Sadik Hümeyra ... Babanne Serif Sezer ... Teyze Yetkin Dikinciler ... SalimI Salute them all. I have always despised the entertainment industry, most of all the Film industry, at the back of my mind, though I fancy a career there. I have always thought that half the money that goes into movie production or theatres or things like that could feed so many people out there or give them a job, get a living for them.If someone's going to bring to the screen a movie like Babam ve Oglum, I'd never ever utter a single word against the industry. You won't believe that one movie can affect you so much for the moment that you, even if you haven't cried since 5th grade, would be overwhelmed so much that you'd cry more than the characters on screen. Especially when you watch it alone, without anyone to distract you from the scenes. I have never felt the urge to cry for a long time. This movie reminded me of a lot of things that were hidden in me, that I strongly urge everyone who has had even a glance of this page to watch it at any cost. A must watch movie.Apart from the Director, who deserves to be recognized at the highest level, I must mention a few words about the background score. NO other BGM I have heard has ever got even close to this. . Out of this World.Finally, Coming to the story, this movie is about a father, who, after the loss of his wife, takes his little son back to his hometown (from where he had run away, defying his dad) because he suffers from a lung disorder. He wants to ensure that his child has a home when he's gone, and decides to confront his father and tell him about his condition and reconcile one final time before the final goodbye. And the characters portray the situations and experiences so convincingly that I couldn't help but put their names on top of this post.I am sure that this will remain my most favourite movie of all time for a long time to come.Bravo.",awesome word is not enough,i have never seen movie ever before that brings tear anybody who sees it at sound violin or single word uttered babam ve oglum director cagan imraklead characters ege tanman deniz etin tekindor h seyin fikret kuskan sadik h meyra babanne serif sezer teyze yetkin dikinciler salimi salute them all i have always despised entertainment industry most all film industry at back my mind though i fancy career there i have always thought that half money that goes into movie production or theatres or things like that could feed so many people out there or give them job get living them if someones going bring screen movie like babam ve oglum id never ever utter single word against industry you wont believe that one movie can affect you so much moment that you even if you havent cried since 5th grade would be overwhelmed so much that youd cry more than characters screen especially when you watch it alone without anyone distract you scenes i have never felt urge cry long time this movie reminded me lot things that were hidden me that i strongly urge everyone who has had even glance this page watch it at any cost must watch movie apart director who deserves be recognized at highest level i must mention few words about background score no other bgm i have heard has ever got even close this out this world finally coming story this movie is about father who after loss his wife takes his little son back his hometown where he had run away defying his dad because he suffers lung disorder he wants ensure that his child has home when hes gone decides confront his father tell him about his condition reconcile one final time before final goodbye characters portray situations experiences so convincingly that i couldnt help but put their names top this post i am sure that this will remain my most favourite movie all time long time come bravo,0.5137352790578597,0.14297235023041477,Positive,"{'Happy': 0.06, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.25, 'Fear': 0.28}"
10.0,An emotional roller-coaster of epic proportions!,"Very rarely can you find a movie that can make a person shed tears of sorrow one minute, then laugh out loud the next. This is a heart wrenching tale that will make people look at themselves and how they can better their own family units. Viewers will find that they will relate to one of the many stories within the movie. It's been a long time since a movie has made me feel this type of sadness and sorrow, followed by a warm fuzzy feeling right in my chest. An amazing film, with amazing people. The supporting actors complete what is truly an inspirational film. It has inspired me to be a better father and a better son. Watch this movie.",emotional roller coaster epic proportions,very rarely can you find movie that can make person shed tears sorrow one minute then laugh out loud next this is heart wrenching tale that will make people look at themselves how they can better their own family units viewers will find that they will relate one many stories within movie its been long time since movie has made me feel this type sadness sorrow followed by warm fuzzy feeling right my chest amazing film with amazing people supporting actors complete what is truly inspirational film it has inspired me be better father better son watch this movie,0.5755639097744362,0.3355639097744361,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.39, 'Fear': 0.22}"
,In case you come across 'Babam ve Oglum'...,"This movie came out in Turkey late 2005, without much advertising. It's a small family drama, set largely in western rural turkey in 1987. Within a couple of weeks, the film became a smash hit solely through word-of-mouth. Since then, it has received every national award and has become the third-biggest grossing film of the country's history by mid-March (it could go even higher, considering it's still playing in theaters after several months). It is indeed a good movie, but i doubt it'll reach the same kind of wide audiences outside the country. It's well-written, well-acted and well-shot; but some of the jokes, and especially the local accent that adds the movie a lot of its charm will be lost on international audiences i'm afraid. Similarly, the film doesn't give much information about the political events that unfold in the background. I think one of the reasons the film did so well is that it reflects the atmosphere of the older Turkish films, from the industry's heyday in the sixties. Its mixture of comedy and tearjerker melodrama catches a very subtle balance. Granted, the melodrama bits are rather manipulative, but effective nonetheless. I heard that a tissue company did a campaign where they distributed tissues to the ingoing audiences, don't know if it's true though. My one (small) problem with the film is a few anachronistic details, but i guess they wouldn't even be noticed by someone who wasn't around then and there. If you come across this movie at a local festival or some other way (not very likely, but anyway), give it a shot. It's worth watching just to see the little kid in the leading role.",case you come across babam ve oglum,this movie came out turkey late 2005 without much advertising its small family drama set largely western rural turkey 1987 within couple weeks film became smash hit solely through word mouth since then it has received every national award has become third biggest grossing film countrys history by mid march it could go even higher considering its still playing theaters after several months it is indeed good movie but i doubt itll reach same kind wide audiences outside country its well written well acted well shot but some jokes especially local accent that adds movie lot its charm will be lost international audiences im afraid similarly film doesnt give much information about political events that unfold background i think one reasons film did so well is that it reflects atmosphere older turkish films industrys heyday sixties its mixture comedy tearjerker melodrama catches very subtle balance granted melodrama bits are rather manipulative but effective nonetheless i heard that tissue company did campaign where they distributed tissues ingoing audiences dont know if its true though my one small problem with film is few anachronistic details but i guess they wouldnt even be noticed by someone who wasnt around then there if you come across this movie at local festival or some other way not very likely but anyway give it shot its worth watching just see little kid leading role,0.31674436674436673,0.009722222222222217,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.17, 'Sad': 0.27, 'Fear': 0.37}"
10.0,A Must See!,"Having seen a lot of Turkish films, I do agree with someone writing in this site that this is perhaps the best Turkish movie ever and one that can hold proudly its place amongst the best worldwide. Everything is perfect, direction, photography, acting, you cannot help but feel for its characters and identify with them, especially if you share the same location in the map, similarities in history and personality traits.I loved the child actor, he can make you smile and cry, but also the whole movie is about feelings, pain, sadness, anger, love, forgiveness and most important the joy of life.Another strong point is the music, made by the Greek composer Euanthia Reboutsika. Gave the movie wholeheartedly a 10 rating! I wish there were more of its kind.",must see,having seen lot turkish films i do agree with someone writing this site that this is perhaps best turkish movie ever one that can hold proudly its place amongst best worldwide everything is perfect direction photography acting you cannot help but feel its characters identify with them especially if you share same location map similarities history personality traits i loved child actor he can make you smile cry but also whole movie is about feelings pain sadness anger love forgiveness most important joy life another strong point is music made by greek composer euanthia reboutsika gave movie wholeheartedly 10 rating i wish there were more its kind,0.5083333333333333,0.42280701754385963,Positive,"{'Happy': 0.3, 'Angry': 0.04, 'Surprise': 0.19, 'Sad': 0.22, 'Fear': 0.26}"
