Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,More Western than 'The Western' itself,"In full silence, three mysterious men in long trench coats wait in a remote train station. Their faces have anticipation written all over them, even while the most interesting things they can find to do are toying with a fly, drinking water from a hat and cracking their fingers. A dog runs past. The windmill squeaks. The ticket vendor is locked away. The heath bounces off the wooden platform. The men sweat.Are you bored yet? Then this movie is probably not for you.But are you dying to know what the three men are waiting for? Does a light anxiety creep onto you whilst reading that description? Can't you wait for the tension to resolve? Then this movie is all you ever wanted.The almost lawless world where outlaws and bandits roam the country with ease that is the setting of the story, is shown by Tonino Delli Colli (director of photography) in all its splendorous grandeur and it's uncountable little details. The set pieces, the costumes and the real life locations in Arizona and Utah make everything believable. And together with the characters and figurants, everything creates a vibrant and utterly believable Western civilisation.Charles Bronson plays the man with the harmonica: a lone wolf looking for something that he chooses not to reveal to anyone until he gets it. A character with no name roaming the endless fields under the sun, announcing his presence at all times with the same melody he plays on his harmonica that echo's in an unsettling way. Bronson does this brilliantly, with a face that overflows with held back emotions and a determination that is downright scary.In a tavern the man meets Manuel 'Cheyenne' Gutiérrez (Jason Robards), a bandit that recently escaped being hung by the neck, re-joining his band of outlaws. With already greying hair, he takes on the situation that arises in the area, trying his part to be the hero that saves the day. Robards portrays a character that, by only one look at him, we can see how the years have shaped him. His performance is outstanding; we want to grab a drink with Cheyenne, but we also get the feeling that being on your guard around him wouldn't be an overrated luxury.The 'damsel in distress' (although she isn't in the original meaning of the word) Jill McBain (played by Claudia Cardinale) turns into a toy of Fate itself. Without any warning she gets involved in something quite over her head, but she handles it masterfully; she refuses to return to New Orleans with her tail between her legs and stays to face the difficulties put before her. Cardinale playing Jill is both an erotic marvel and a woman you wouldn't want to cross.They are all opposed by Frank (Henry Fonda): the local gang leader with a heart of stone and a business proposal at the ready at all times. With his ruthless blue eyes and his gun at the ready he keeps the town quiet. Fonda gives you the creeps with just one gaze at the camera and every sentence leaves the bitter taste of malfeasance.And finally, Gabriele Ferzetti finishes the line of main characters with his deliciously sickening portrayal of the crippled railroad baron Morton. A character that you'd like to slap in the face, but one you feel pity for as well. Outstandingly brought!The soundtrack is composed by the never beaten maestro of film scoring himself: Ennio Morricone. His genius lies in the creation of themes and melodies that will haunt your dreams forever for better or worse. The melancholic main theme that is brought with a heavenly choir draws tears from your eyes after hearing only a couple of chords. The theme of the man with the harmonica is as unsettling as it is epic and Cheyennes' theme creates the lighter counter points in the movie. Morricone uses these motifs ingeniously, hinting at plot points, character motifs and feelings and giving you a sense of the world the movie takes place in. If I could give twelve out of ten stars for the score, I'd do it.Sergio Leone was a masterful director, no need to prove that. He manages to turn even a scene of seven minutes, where three men are merely waiting for a train, into an epic storyline. Two hours and three quarters the tension builds and then resolves... partially, always building towards the end. And that finale! That finale! That finale chilled me to the bone! Throughout the film, question after question is raised, and when one question is answered, another one pops up. So when all pieces of the puzzle fall into place to the score of Ennio Morricone, how can one not be moved by it?For Leone, there was no better way to reach the top of the Western genre.And for us, there never will be a film that is more Western than 'Once Upon a Time in the West'.",more western than western itself,full silence three mysterious men long trench coats wait remote train station their faces have anticipation written all over them even while most interesting things they can find do are toying with fly drinking water hat cracking their fingers dog runs past windmill squeaks ticket vendor is locked away heath bounces off wooden platform men sweat are you bored yet then this movie is probably not you but are you dying know what three men are waiting does light anxiety creep onto you whilst reading that description cant you wait tension resolve then this movie is all you ever wanted almost lawless world where outlaws bandits roam country with ease that is setting story is shown by tonino delli colli director photography all its splendorous grandeur its uncountable little details set pieces costumes real life locations arizona utah make everything believable together with characters figurants everything creates vibrant utterly believable western civilisation charles bronson plays man with harmonica lone wolf looking something that he chooses not reveal anyone until he gets it character with no name roaming endless fields under sun announcing his presence at all times with same melody he plays his harmonica that echos unsettling way bronson does this brilliantly with face that overflows with held back emotions determination that is downright scary tavern man meets manuel cheyenne guti rrez jason robards bandit that recently escaped being hung by neck re joining his band outlaws with already greying hair he takes situation that arises area trying his part be hero that saves day robards portrays character that by only one look at him we can see how years have shaped him his performance is outstanding we want grab drink with cheyenne but we also get feeling that being your guard around him wouldnt be overrated luxury damsel distress although she isnt original meaning word jill mcbain played by claudia cardinale turns into toy fate itself without any warning she gets involved something quite over her head but she handles it masterfully she refuses return new orleans with her tail between her legs stays face difficulties put before her cardinale playing jill is both erotic marvel woman you wouldnt want cross they are all opposed by frank henry fonda local gang leader with heart stone business proposal at ready at all times with his ruthless blue eyes his gun at ready he keeps town quiet fonda gives you creeps with just one gaze at camera every sentence leaves bitter taste malfeasance finally gabriele ferzetti finishes line main characters with his deliciously sickening portrayal crippled railroad baron morton character that youd like slap face but one you feel pity as well outstandingly brought soundtrack is composed by never beaten maestro film scoring himself ennio morricone his genius lies creation themes melodies that will haunt your dreams forever better or worse melancholic main theme that is brought with heavenly choir draws tears your eyes after hearing only couple chords theme man with harmonica is as unsettling as it is epic cheyennes theme creates lighter counter points movie morricone uses these motifs ingeniously hinting at plot points character motifs feelings giving you sense world movie takes place if i could give twelve out ten stars score id do it sergio leone was masterful director no need prove that he manages turn even scene seven minutes where three men are merely waiting train into epic storyline two hours three quarters tension builds then resolves partially always building towards end that finale that finale that finale chilled me bone throughout film question after question is raised when one question is answered another one pops up so when all pieces puzzle fall into place score ennio morricone how can one not be moved by it leone there was no better way reach top western genre us there never will be film that is more western than once upon time west,0.508140933140933,0.10156926406926407,Positive,"{'Happy': 0.06, 'Angry': 0.07, 'Surprise': 0.23, 'Sad': 0.22, 'Fear': 0.43}"
10.0,It doesn't get any better than this: this is movie history,"This one only gets better with each viewing. Leone's masterful storytelling and Morricone's crazy, beautiful, epic soundtrack; desperate, haunted faces which look like the barren landscapes the story is set in and a plot that unfolds with impeccable pacing to culminate in THE ultimate western finale.As in Leone's previous films, music isn't just used to add to the atmosphere but is essential to the story, or perhaps even more: Morricone's main musical theme plays the actual role of a (or rather: the) protagonist in the film. Anyone who thought that the so called ""Spaghetti westerns"" were nothing but cheap, violent B-movies had to reconsider after seeing this film. It doesn't get any better than this: this is movie history; iconic, classic, unforgettable, epic. For this film, I just run out of superlatives.My vote: 10 out of 10Favorite films: http://www.IMDb.com/list/mkjOKvqlSBs/Lesser-known Masterpieces: http://www.imdb.com/list/ls070242495/Favorite Low-Budget and B-movies: http://www.imdb.com/list/ls054808375/Favorite TV-Shows reviewed: http://www.imdb.com/list/ls075552387/",it doesnt get any better than this this is movie history,this one only gets better with each viewing leones masterful storytelling morricones crazy beautiful epic soundtrack desperate haunted faces which look like barren landscapes story is set plot that unfolds with impeccable pacing culminate ultimate western finale as leones previous films music isnt just used add atmosphere but is essential story or perhaps even more morricones main musical theme plays actual role or rather protagonist film anyone who thought that so called spaghetti westerns were nothing but cheap violent b movies had reconsider after seeing this film it doesnt get any better than this this is movie history iconic classic unforgettable epic this film i just run out superlatives my vote 10 out 10favorite films masterpieces low budget b movies tv shows reviewed,0.5606666666666666,0.18666666666666665,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.33, 'Sad': 0.11, 'Fear': 0.44}"
9.0,thumping good Western with an almost operatic quality,"One of the great classics : a riveting, wildly immersive Western set against the historical backdrop of the expansion of the railroads. The Ennio Morricone music is rousing, the scenery is jaw-dropping and the various characters spring to colourful life.This last fact owes much to the casting, which includes a bit of truly inspired counter-casting : actor Henry Fonda, used to playing pretty decent guys, takes on the sable-black persona of an amoral middle-aged mercenary fully capable of killing random children. It's a marvellously chilling performance - but wait for the ending of the movie, where a short flash-back shows the mercenary as a young man already much given to taunting and torturing. Fonda takes on a sick, twisted intensity that can only be described as diabolical.Now this is a long and intense movie which requires attentive viewing, meaning that it is a good idea to create an intermission and watch it in two parts. But do watch it - it's excellent.",thumping good western with almost operatic quality,one great classics riveting wildly immersive western set against historical backdrop expansion railroads ennio morricone music is rousing scenery is jaw dropping various characters spring colourful life this last fact owes much casting which includes bit truly inspired counter casting actor henry fonda used playing pretty decent guys takes sable black persona amoral middle aged mercenary fully capable killing random children its marvellously chilling performance but wait ending movie where short flash back shows mercenary as young man already much given taunting torturing fonda takes sick twisted intensity that can only be described as diabolical now this is long intense movie which requires attentive viewing meaning that it is good idea create intermission watch it two parts but do watch it its excellent,0.5157936507936509,0.09952380952380953,Positive,"{'Happy': 0.19, 'Angry': 0.09, 'Surprise': 0.31, 'Sad': 0.12, 'Fear': 0.28}"
9.0,"""When you've killed Four, it's easy to make it five.""","In the annals of western film lore, there are good and bad films. This is one of the finest. Because ""Once Upon A Time in The West"" is such a remarkable film, it is hard to define what makes it so memorable. The story centers on a beautiful former prostitute called Jill McBain (Claudia Cardinale) who arrives to assume the role of wife to a stubborn, crazy, red-headed Irishman with a dream. Waiting, instead is tragedy and 'Mr. Morton' who is a powerful, but ailing land grabbing baron (Gabriele Ferzetti) who desires to crush everything and everyone who stands in his way to reach the Pacific ocean with his railroad. To help him is an equally ruthless gunfighter named Frank (Henry Fonda; the success of this movie owes much to Fonda who plays a very convincing heavy) who has been removing obstacles for years and now targets the McBain family for death and that includes Jill. Unfortunately for Frank, he has accrued many enemies over the years with one particular, mysterious and deadly Harmonica playing stranger seeking revenge. Frank arranges for three of his best and fastest gun hands to meet and eliminate the stranger at the train-station. Joining the instrument playing stranger is an unpredictable, half-breed, renegade, who is a notorious gunfighter called 'Cheyenne.' ( Jason Robards ) The entire film is a triumph to the superb direction of Sergio Leone, who christens each major character with their own theme song. Each theme was created by Ennio Morricone and when the character makes an entrance, the theme prepares the audience for mood change, drama, action, and lifelong memories. Special guest appearances, by Woody Strode, Jack Elam, Keenan Wynn and Lionel Stander add to the classic nature of this excellent story. ****",when youve killed four its easy make it five,annals western film lore there are good bad films this is one finest because once upon time west is such remarkable film it is hard define what makes it so memorable story centers beautiful former prostitute called jill mcbain claudia cardinale who arrives assume role wife stubborn crazy red headed irishman with dream waiting instead is tragedy mr morton who is powerful but ailing land grabbing baron gabriele ferzetti who desires crush everything everyone who stands his way reach pacific ocean with his railroad help him is equally ruthless gunfighter named frank henry fonda success this movie owes much fonda who plays very convincing heavy who has been removing obstacles years now targets mcbain family death that includes jill unfortunately frank he has accrued many enemies over years with one particular mysterious deadly harmonica playing stranger seeking revenge frank arranges three his best fastest gun hands meet eliminate stranger at train station joining instrument playing stranger is unpredictable half breed renegade who is notorious gunfighter called cheyenne jason robards entire film is triumph superb direction sergio leone who christens each major character with their own theme song each theme was created by ennio morricone when character makes entrance theme prepares audience mood change drama action lifelong memories special guest appearances by woody strode jack elam keenan wynn lionel stander add classic nature this excellent story,0.5609395109395112,0.14760296010296012,Positive,"{'Happy': 0.14, 'Angry': 0.04, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.39}"
9.0,"Without a doubt, one of the best Westerns of all time","I won't claim to have the ability to say anything new about this movie. It's been around for nearly fifty years, and is widely regarded as not just one the best Spaghetti Westerns of all time, but one of the best Westerns full stop. And it's not hard to see why: an incredible soundtrack, strong performances from the entire main cast, some surprisingly good humour and funny one-liners, a few tense sequences, a well-told story that doesn't rely on excessive dialogue or exposition, and consistently amazing cinematography and direction throughout. At least half the frames in this movie would probably make good paintings- no exaggeration.It's probably the marriage of the great visuals and soundtrack that make Once Upon a Time in the West work as well as it does. There's a good number of dramatic camera movements and interesting reveals that are tied up perfectly with the music- almost like some kind of singing-free musical at some points.Sergio Leone was one of the greatest directors of all time. It's a real shame that he apparently never got the kind of recognition he gets nowadays while he was still alive. Out of all his films, there's a strong argument to be made for this one being the closest to perfect. Honestly, there's not a lot that could be changed to make it better. My biggest direct gripe is the way the title pops up at the very end of the film, and rotates in a full circle before it disappears. It looks really cheesy, and comes close to killing the mood the otherwise extremely strong ending creates. While we're on complaints, another minor one would be that I want to say the film feels a little too long- maybe about 10 to 15 minutes. But at the same time, I wouldn't really know what to cut. Every scene is so well-constructed and orchestrated, and there's always something interesting to look at or listen to or think about, so I'm not really sure what should be cut. It's a pretty weak complaint, I know. Like I said, this thing's close to perfect.The Good The Bad and The Ugly might be a tiny bit more entertaining, and Once Upon a Time in America might have a slightly better soundtrack and stronger emotional moments (for me, personally), but it's still really hard to find much to complain about here. Absolutely recommended to any Western fan, and it gets a little better every time I watch it (four for me now, and counting).",without doubt one best westerns all time,i wont claim have ability say anything new about this movie its been around nearly fifty years is widely regarded as not just one best spaghetti westerns all time but one best westerns full stop its not hard see why incredible soundtrack strong performances entire main cast some surprisingly good humour funny one liners few tense sequences well told story that doesnt rely excessive dialogue or exposition consistently amazing cinematography direction throughout at least half frames this movie would probably make good paintings no exaggeration its probably marriage great visuals soundtrack that make once upon time west work as well as it does theres good number dramatic camera movements interesting reveals that are tied up perfectly with music almost like some kind singing free musical at some points sergio leone was one greatest directors all time its real shame that he apparently never got kind recognition he gets nowadays while he was still alive out all his films theres strong argument be made this one being closest perfect honestly theres not lot that could be changed make it better my biggest direct gripe is way title pops up at very end film rotates full circle before it disappears it looks really cheesy comes close killing mood otherwise extremely strong ending creates while were complaints another minor one would be that i want say film feels little too long maybe about 10 15 minutes but at same time i wouldnt really know what cut every scene is so well constructed orchestrated theres always something interesting look at or listen or think about so im not really sure what should be cut its pretty weak complaint i know like i said this things close perfect good bad ugly might be tiny bit more entertaining once upon time america might have slightly better soundtrack stronger emotional moments me personally but its still really hard find much complain about here absolutely recommended any western fan it gets little better every time i watch it four me now counting,0.5654845557019469,0.24128787878787872,Positive,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.3, 'Sad': 0.24, 'Fear': 0.23}"
9.0,Masterpiece,The score is amazing and Henry Forda is magnficent. I can see why this is James Gunn's favorite movie. One of the best westerns packed with action and tension.,masterpiece,score is amazing henry forda is magnficent i can see why this is james gunns favorite movie one best westerns packed with action tension,0.575,0.55,Positive,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.17}"
8.0,"Hey, it's slow on purpose. Is that a good thing? When it's this gorgeous, yes.","Once Upon a Time in the West (1968)On the heels of ""The Good, The Bad, and The Ugly,"" is this equally sprawling and archetypal Western, this time with less obvious dubbing, and Henry Fonda as a kind of tie in to Hollywood's hero paradigm. It's indescribably beautiful, one of the most gorgeous Westerns ever photographed, indeed a model for good visual directing and cinematography in any genre. That alone makes the almost three hours a pure pleasure.But it's not a fast movie in any other way. It can't be. It depends on lingering over delicious details, small ones, shot up close in startling detail and ever deadpan looks and steely eyes. Nothing is believable and it's not meant to be. It's not even a fable, quite, but more a celebration of being inside an incredible film, as strange as that sounds. Not that the scenes are not believable--even the very last shots of the makeshift town and the railroad being built is about as realistic as it gets. Great stuff.Plot? You might, at times, wonder where the plot went. There are lots of bad guys, and you're not totally sure there's a protagonist, unless the one woman in the movie is the center of our concerns, even if she is clearly a bystander to it all. When it gets clear, in the last twenty minutes, it's again archetypal (and has echoes of the over the tops showdown in ""Good Bad and Ugly""). A small bit of slow motion (not needed normally in a movie where everything is slow already) makes clear this is the key moment in the film, the thing that made the rest of it, with all its confusing and violent layers, sensible.For my money, I'd love all this incredible visceral stuff, the sounds and sights, filled in with some kind of deeply felt conflict, not a purely dramatic one. I watch and am shocked, or swept away, or impressed, or dazzled, but I'm actually never moved, not from the heart. And there are plenty of aspects here that should really move us--including feeling for the woman's plight, rather than simply recognizing that it is, after all, quite a plight.Still, another landmark Sergio Leone movie.",hey its slow purpose is that good thing when its this gorgeous yes,once upon time west 1968 heels good bad ugly is this equally sprawling archetypal western this time with less obvious dubbing henry fonda as kind tie hollywoods hero paradigm its indescribably beautiful one most gorgeous westerns ever photographed indeed model good visual directing cinematography any genre that alone makes almost three hours pure pleasure but its not fast movie any other way it cant be it depends lingering over delicious details small ones shot up close startling detail ever deadpan looks steely eyes nothing is believable its not meant be its not even fable quite but more celebration being inside incredible film as strange as that sounds not that scenes are not believable even very last shots makeshift town railroad being built is about as realistic as it gets great stuff plot you might at times wonder where plot went there are lots bad guys youre not totally sure theres protagonist unless one woman movie is center our concerns even if she is clearly bystander it all when it gets clear last twenty minutes its again archetypal has echoes over tops showdown good bad ugly small bit slow motion not needed normally movie where everything is slow already makes clear this is key moment film thing that made rest it with all its confusing violent layers sensible my money id love all this incredible visceral stuff sounds sights filled with some kind deeply felt conflict not purely dramatic one i watch am shocked or swept away or impressed or dazzled but im actually never moved not heart there are plenty aspects here that should really move us including feeling womans plight rather than simply recognizing that it is after all quite plight still another landmark sergio leone movie,0.558887543718052,0.09671105730427763,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.21, 'Sad': 0.33, 'Fear': 0.18}"
9.0,I Never Get Tired Of Watching...,"I won't go into the story, but it's true, I never tire of this movie---At first i thought Charles Bronson wouldn't be able to keep up with acting heavyweights Henry Fonda and Jason Robards, but Bronson's physical abilities, combined with his minimalist close-ups practically steal the show---His goodness came through in the close-ups toward the movie's end, I thought it was Charles Bronson's greatest screen work.",i never get tired watching,i wont go into story but its true i never tire this movie at first i thought charles bronson wouldnt be able keep up with acting heavyweights henry fonda jason robards but bronsons physical abilities combined with his minimalist close ups practically steal show his goodness came through close ups toward movies end i thought it was charles bronsons greatest screen work,0.49302721088435375,0.24285714285714285,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.11}"
,"""Something To Do With Death""","Sergio goes Hollywood for this big-name, big-budget Spaghetti Western. Fonda, Bronson, Robards and Cardinale queue up and take Leone's choreographic direction in an epic tale of blood and revenge.Frank is a bad guy who has killed a lot of people. He now works for a railroad entrepreneur whose ruthless sterile tracks are spreading ever westward. The time has come for the real Americans to confront both the railroad and Frank.Leone sat down with film intellectuals Bernardo Bertolucci and Dario Argento and watched dozens of Hollywood westerns. From this saturation-viewing emerged a 300-page treatment which was eventually distilled into the script, penned by Leone and Sergio Donati. There are conscious echoes of ""Shane"" and ""High Noon"" in the meticulously-plotted screenplay. Ennio Morricone apparently sat in on the planning stage and had composed the score in toto before shooting began, the reverese of the usual process of fitting music to existing footage. The result is a tight matching of soundtrack and visuals. Robards, Bronson and Cardinale each have musical 'signatures' which play whenever their characters are onscreen. Bronson's is an eerily-wailing harmonica, Robards has the plonking banjo and Cardinale the lush strings. So intricately was everything structured that the themes were available to be played on set, so that the actors could co-ordinate every nuance of gesture to fit with the score.The film is a grandiose lament to the death of the Wild West. Decay is everywhere to be seen. Streets, bars, buildings and people all have a beat-up, grungy look. When Cheyenne (Robards) pauses beside a rough-hewn wooden post, there is little difference in texture between his face and the post. Morton the cripple is killing the romantic West of open spaces with his ""snail trail"" of railroad tracks, leaving the fine adventurous men (Cheyenne and Harmonica) nowhere to go.There can be few opening scenes with the visual and aural brilliance of this one. Three bad guys stake out Flagstone's railroad depot in a High Noon pastiche. Jack Elam (who was actually in ""High Noon"") leads the villains. The only spoken words throughout this long (but totally gripping) scene are uttered by the old station clerk. Haunting rhythms raise the tension to an unbearable pitch ... the squeaking windmill, the chattering tickertape, the creaking bench. This wonderful crescendo climaxes with the appearance of Bronson, a sequence as stylised and choreographed as a Shinto ceremony, all the more effective for the absence of spontaneity.Equal to and counterbalancing this scene is the very next one, the introduction of Frank. This time it is ""Shane"" that gets the treatment as the McBain boy spots five men in yellow duster topcoats. A growing sense of unease on the McBain homestead is beautifully conveyed (was the stopping of a cicada chirp ever so effective?) A cinematic multiple orgasm ensues, with the musical theme crashing in as the boy sees the devastation, and the camera swoops round to reveal the baddie to be none other than Henry Fonda as Morricone's trademark solitary tubular bell peals out.Cheyenne's entrance is also a piece of impressive cinema. Inside Lionel Stander's strange labyrinthine tavern, quite unlike any saloon ever filmed before, the violence which hovers around Cheyenne like a dustcloud is heard but not seen, preparing us for his appearance in person. The sliding of the lamp towards Bronson works brilliantly, the film's two good men sharing the light of humour, the symbolic forging of a meaningful friendship.By a slow accretion, the plot reveals itself. The leviathan of the railroad must be stopped, and there must be a reckoning with Frank. Gradually the fates of the main characters converge, and swim into sharp focus for the shoot-out.It is not the story, excellent though that is, which lingers in the memory, but rather a hundred individual flashes of brilliance: Claudia Cardinale (are those eyes for real?) filmed on the bed, viewed vertically downward, through a lace canopy: Cheyenne's surprise method of concealing himself on the train: Morton (""when you're not on that train, you're like a turtle out of its shell"") imprisoned by the armature that helps him walk: the 'heartbeat' of the train's engine during the cardgame: the tension of the ambush preparations against Frank: the eruption of guitar music as Bronson enters the frame: Bronson's stillness and self-possession, the emblem of his righteousness: Fonda's eyes flickering rapidly in his motionless head, denoting the waning of his self-confidence: the amazing super-close-ups of Bronson: and the weird brick arch, the only man-made intrusion into the entire terrain, and the focus of human depravity.",something do with death,sergio goes hollywood this big name big budget spaghetti western fonda bronson robards cardinale queue up take leones choreographic direction epic tale blood revenge frank is bad guy who has killed lot people he now works railroad entrepreneur whose ruthless sterile tracks are spreading ever westward time has come real americans confront both railroad frank leone sat down with film intellectuals bernardo bertolucci dario argento watched dozens hollywood westerns this saturation viewing emerged 300 page treatment which was eventually distilled into script penned by leone sergio donati there are conscious echoes shane high noon meticulously plotted screenplay ennio morricone apparently sat planning stage had composed score toto before shooting began reverese usual process fitting music existing footage result is tight matching soundtrack visuals robards bronson cardinale each have musical signatures which play whenever their characters are onscreen bronsons is eerily wailing harmonica robards has plonking banjo cardinale lush strings so intricately was everything structured that themes were available be played set so that actors could co ordinate every nuance gesture fit with score film is grandiose lament death wild west decay is everywhere be seen streets bars buildings people all have beat up grungy look when cheyenne robards pauses beside rough hewn wooden post there is little difference texture between his face post morton cripple is killing romantic west open spaces with his snail trail railroad tracks leaving fine adventurous men cheyenne harmonica nowhere go there can be few opening scenes with visual aural brilliance this one three bad guys stake out flagstones railroad depot high noon pastiche jack elam who was actually high noon leads villains only spoken words throughout this long but totally gripping scene are uttered by old station clerk haunting rhythms raise tension unbearable pitch squeaking windmill chattering tickertape creaking bench this wonderful crescendo climaxes with appearance bronson sequence as stylised choreographed as shinto ceremony all more effective absence spontaneity equal counterbalancing this scene is very next one introduction frank this time it is shane that gets treatment as mcbain boy spots five men yellow duster topcoats growing sense unease mcbain homestead is beautifully conveyed was stopping cicada chirp ever so effective cinematic multiple orgasm ensues with musical theme crashing as boy sees devastation camera swoops round reveal baddie be none other than henry fonda as morricones trademark solitary tubular bell peals out cheyennes entrance is also piece impressive cinema inside lionel standers strange labyrinthine tavern quite unlike any saloon ever filmed before violence which hovers around cheyenne like dustcloud is heard but not seen preparing us his appearance person sliding lamp towards bronson works brilliantly films two good men sharing light humour symbolic forging meaningful friendship by slow accretion plot reveals itself leviathan railroad must be stopped there must be reckoning with frank gradually fates main characters converge swim into sharp focus shoot out it is not story excellent though that is which lingers memory but rather hundred individual flashes brilliance claudia cardinale are those eyes real filmed bed viewed vertically downward through lace canopy cheyennes surprise method concealing himself train morton when youre not that train youre like turtle out its shell imprisoned by armature that helps him walk heartbeat trains engine during cardgame tension ambush preparations against frank eruption guitar music as bronson enters frame bronsons stillness self possession emblem his righteousness fondas eyes flickering rapidly his motionless head denoting waning his self confidence amazing super close ups bronson weird brick arch only man made intrusion into entire terrain focus human depravity,0.459969654528478,0.12150793650793655,Positive,"{'Happy': 0.09, 'Angry': 0.06, 'Surprise': 0.18, 'Sad': 0.23, 'Fear': 0.43}"
9.0,Leone goes a new route with the same results.,"With a style very much unlike that of his previous three Westerns, Once Upon a Time in the West takes a long time to tell this epic and powerful tale of three men all connected by their past and all destined to connect in the future. The acting is universally excellent with Fonda playing a very uncharacteristic part, but since he is such a great actor he has no problem filling the shoes of the merciless gunslinger, Frank. Jason Robards is great as the outlaw with a good heart, Cheyenne; and Charles Bronson is very Eastwood-like as a man known only as Harmonica with a mysterious past and a quick draw. The central character, though, is that of the beautiful Claudia Cardinale as Jill, a widow seeking revenge.Sergio Leone used a slower, more romantic style for this Western, but he still was able to produce some great images and a story that will forever be remembered. He doesn't deal too much with character development, rather showing us their actions and letting that speak for themselves. And, of course we cannot forget the score by Ennio Moriconne. Though not as memorable as The Good, Bad and the Ugly, it adds a great deal to the film. Certainly one of the best Westerns ever made, this is film making at a very high degree.",leone goes new route with same results,with style very much unlike that his previous three westerns once upon time west takes long time tell this epic powerful tale three men all connected by their past all destined connect future acting is universally excellent with fonda playing very uncharacteristic part but since he is such great actor he has no problem filling shoes merciless gunslinger frank jason robards is great as outlaw with good heart cheyenne charles bronson is very eastwood like as man known only as harmonica with mysterious past quick draw central character though is that beautiful claudia cardinale as jill widow seeking revenge sergio leone used slower more romantic style this western but he still was able produce some great images story that will forever be remembered he doesnt deal too much with character development rather showing us their actions letting that speak themselves course we cannot forget score by ennio moriconne though not as memorable as good bad ugly it adds great deal film certainly one best westerns ever made this is film making at very high degree,0.5406922989291412,0.21803463203463208,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.11, 'Sad': 0.27, 'Fear': 0.34}"
