Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Not for everyone,"The first 2 hours is only for lovers of everything late 60s retro,great cinematography and outstanding acting. The last 45 minutes fasten your seatbelts because classic Tarantino kicks in.",not everyone,first 2 hours is only lovers everything late 60s retro great cinematography outstanding acting last 45 minutes fasten your seatbelts because classic tarantino kicks,0.4739583333333333,0.17708333333333334,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.0}"
10.0,"Best Movie I Have Seen In At Least 10 Years, Should Be Seen Twice, BIG SPOILERS","I have seen this film twice in the last two days, I probably will see it many more times.Tarantino has shocked and surprised me before, but this was the biggest shock of all. The movie is set in the Hollywood of 1969, just before the brutal Manson family murders.Leonard Dicaprio and Brad Pitt give career high performances. Dicaprio is Rick Dalton, a TV cowboy actor who longs for movie stardom but has now hit the skids. Pitt plays Cliff Booth his stunt double/driver and all around best bud. They also represent doubles of each other in real life, though Dalton is angry and frustrated at his failings in life while Booth is perfectly happy to be his pal's gopher and handyman. There is good recreations of TV westerns of the time, Dalton had been the star of ""Bounty Law"" a show that never existed but is clearly based on Steve McQueen's ""Wanted Dead Or Alive"" series. Dalton is now playing guest role villains on TV. An actual series ""Lancer"" is recreated here, I never saw this show when it aired since it was on up against ""The Mod Squad"" in the late 1960s and early 1970s. Dalton has some funny and touching scenes opposite a precocious 8 year old actress while doing the ""Lancer"" episode. The late Luke Perry has his final film appearance in these scenes also.Margot Robbie has an almost magical presence playing actress Sharon Tate. Tate unfortunately is best known today as the most famous of the Manson family murder victims. We see not only how beautiful she was but also how good and kind she was as well. One of my favorite scenes is when she goes to a movie theater to watch ""The Wrecking Crew"" a film she made in 1968 with Dean Martin. We see actual clips of the movie, (with the real Sharon Tate) and cuts back to her reactions, she becomes delighted when the audience laughs at her comedy bits and applauds at her fight scene with Nancy Kwan.The film starts to turn dark when Cliff picks up a teenage girl hitchhiker who wants to be taken to Spahn Ranch, a run down movie set where he once worked. I have read nearly everything about the Manson case, so I knew where it was going now. Cliff sees a bunch of mostly hippie girls hanging around and asks if George Spahn the original owner of the ranch still lives there. The scenes at the ranch are quietly disturbing. Dakota Fanning (I did not recognize her) plays Squeaky, one of the real life Manson girls. Her vacant eyes and cold manner make for some suspenseful moments. Cliff is concerned about his old friend George and demands to see him. He finds him now old and blind (Bruce Dern in a great cameo) but at least alive. Cliff is still suspicious but leaves the ranch.The final act comes up for the biggest shock of all. Rick has returned from several months filming some spaghetti westerns in Italy.He has also gotten married to an Italian actress. It is now August 8 1969. Cliff and his faithful pit bull Brandy are staying the night at Rick's house. Sharon Tate and some of her friends arrive at her home (which is right next door to Rick) to spend the evening together. Then Manson followers Charles ""Tex"" Watson, Patricia ""Katie"" Krenwinkel, Susan ""Sadie"" Atkins and Linda Kasabian are driving up the road. I knew what was coming and was dreading this moment, I was hoping that Tarantino would not show the gruesome murders but I was preparing myself. Then Rick hears them driving up and has an angry altercation with them, then I was a bit surprised that real life characters were suddenly intermingling with fictional characters on a night when a horrible historic moment happened. When Rick goes into the house, the killers suddenly realize that he was the star of the TV show ""Bounty Law"". Then psycho Sadie goes on a rant about how TV showed her generation how to kill by showing murders every week on the small screen. I had heard some Manson followers had actually said this. Linda is too scared to go with the other three and takes the car keys and drives off leaving them. Another change in the real story, Linda did not participate in the murders but did stay with them, so once again I am getting bewildered. Tex, Sadie and Katie than decide to go to Rick's house rather than Sharon's. I am wondering are they now going to kill them also? Then the most surprising thing happens, Cliff, his pit bull and Rick decide to fight back against these scummy creeps leaving them to be battered and massacred. Brandy has some great scenes as one of the most heroic dogs I have seen in film. My head was reeling by this time, I kept thinking ""Are they really doing this?"" Then came the ending, Rick is now safe, Cliff injured but alive. And now Rick gets to meet his next door neighbor Sharon and her friends. I am still in shock but then for the first time we see the title on screen ""Once Upon A Time... In Hollywood"" and then I finally get it, this is a Hollywood story not real life, this is what we wish would have happened.I finally had to see the film again for a second time so I could actually enjoy that climatic scene, without the dread and confusion I had the first time. This is a phenomenal work, like nothing I have ever seen and probably never will again.",best movie i have seen at least 10 years should be seen twice big spoilers,i have seen this film twice last two days i probably will see it many more times tarantino has shocked surprised me before but this was biggest shock all movie is set hollywood 1969 just before brutal manson family murders leonard dicaprio brad pitt give career high performances dicaprio is rick dalton tv cowboy actor who longs movie stardom but has now hit skids pitt plays cliff booth his stunt double driver all around best bud they also represent doubles each other real life though dalton is angry frustrated at his failings life while booth is perfectly happy be his pals gopher handyman there is good recreations tv westerns time dalton had been star bounty law show that never existed but is clearly based steve mcqueens wanted dead or alive series dalton is now playing guest role villains tv actual series lancer is recreated here i never saw this show when it aired since it was up against mod squad late 1960s early 1970s dalton has some funny touching scenes opposite precocious 8 year old actress while doing lancer episode late luke perry has his final film appearance these scenes also margot robbie has almost magical presence playing actress sharon tate tate unfortunately is best known today as most famous manson family murder victims we see not only how beautiful she was but also how good kind she was as well one my favorite scenes is when she goes movie theater watch wrecking crew film she made 1968 with dean martin we see actual clips movie with real sharon tate cuts back her reactions she becomes delighted when audience laughs at her comedy bits applauds at her fight scene with nancy kwan film starts turn dark when cliff picks up teenage girl hitchhiker who wants be taken spahn ranch run down movie set where he once worked i have read nearly everything about manson case so i knew where it was going now cliff sees bunch mostly hippie girls hanging around asks if george spahn original owner ranch still lives there scenes at ranch are quietly disturbing dakota fanning i did not recognize her plays squeaky one real life manson girls her vacant eyes cold manner make some suspenseful moments cliff is concerned about his old friend george demands see him he finds him now old blind bruce dern great cameo but at least alive cliff is still suspicious but leaves ranch final act comes up biggest shock all rick has returned several months filming some spaghetti westerns italy he has also gotten married italian actress it is now august 8 1969 cliff his faithful pit bull brandy are staying night at ricks house sharon tate some her friends arrive at her home which is right next door rick spend evening together then manson followers charles tex watson patricia katie krenwinkel susan sadie atkins linda kasabian are driving up road i knew what was coming was dreading this moment i was hoping that tarantino would not show gruesome murders but i was preparing myself then rick hears them driving up has angry altercation with them then i was bit surprised that real life characters were suddenly intermingling with fictional characters night when horrible historic moment happened when rick goes into house killers suddenly realize that he was star tv show bounty law then psycho sadie goes rant about how tv showed her generation how kill by showing murders every week small screen i had heard some manson followers had actually said this linda is too scared go with other three takes car keys drives off leaving them another change real story linda did not participate murders but did stay with them so once again i am getting bewildered tex sadie katie than decide go ricks house rather than sharons i am wondering are they now going kill them also then most surprising thing happens cliff his pit bull rick decide fight back against these scummy creeps leaving them be battered massacred brandy has some great scenes as one most heroic dogs i have seen film my head was reeling by this time i kept thinking are they really doing this then came ending rick is now safe cliff injured but alive now rick gets meet his next door neighbor sharon her friends i am still shock but then first time we see title screen once upon time hollywood then i finally get it this is hollywood story not real life this is what we wish would have happened i finally had see film again second time so i could actually enjoy that climatic scene without dread confusion i had first time this is phenomenal work like nothing i have ever seen probably never will again,0.4913932980599646,0.12313291646624977,Positive,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.33, 'Sad': 0.19, 'Fear': 0.33}"
4.0,Do we need a tenth?,"Once Upon a Time ... in Hollywood has been receiving some great reviews (it's currently rated 8.3 here on IMDb), but I think it's one of Tarantino's weakest movies. For well over two hours, virtually nothing of interest happens: as much as I didn't particularly enjoy Kill Bill Pt 2, Death Proof or Jackie Brown, I can't say I was bored, but OUATIH is just that -- boring! There's none of Tarantino's sparkling dialogue, no iconic scenes, and the ending simply pulls off the same trick that the director employed in Inglourious Basterds -- changing history (only in this instance, it all seems to be in questionable taste given what really happened fifty years ago).As a fan of cult movies, Italian westerns, Bruce Lee and old TV shows, and as someone with an interest in the Manson murders, I fully expected to be enthralled by Tarantino's re-creation of 60s Hollywood, its colourful characters, and one of the darkest moments in its history, but was totally taken aback by how mundane this movie is. If you want to watch Brad Pitt feed his dog, mend a TV aerial and drive a car, then this is the movie for you; if you want to see Leonardo DiCaprio talk about books to an 8 year old and record an episode of a dull TV western (a scene that went on way too long) then have at it. I think that if this is the standard of movie that Tarantino is dishing up, he should call it quits at nine.4/10 for the face-smashing, dog-biting, flame-throwing finalé, which actually perked me up. But that's being generous.",do we need tenth,once upon time hollywood has been receiving some great reviews its currently rated 8 3 here imdb but i think its one tarantinos weakest movies well over two hours virtually nothing interest happens as much as i didnt particularly enjoy kill bill pt 2 death proof or jackie brown i cant say i was bored but ouatih is just that boring theres none tarantinos sparkling dialogue no iconic scenes ending simply pulls off same trick that director employed inglourious basterds changing history only this instance it all seems be questionable taste given what really happened fifty years ago as fan cult movies italian westerns bruce lee old tv shows as someone with interest manson murders i fully expected be enthralled by tarantinos re creation 60s hollywood its colourful characters one darkest moments its history but was totally taken aback by how mundane this movie is if you want watch brad pitt feed his dog mend tv aerial drive car then this is movie you if you want see leonardo dicaprio talk about books 8 year old record episode dull tv western scene that went way too long then have at it i think that if this is standard movie that tarantino is dishing up he should call it quits at nine 4 10 face smashing dog biting flame throwing final which actually perked me up but thats being generous,0.4478670634920634,-0.04409722222222223,Negative,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.3, 'Sad': 0.19, 'Fear': 0.3}"
5.0,Mediocre and Overrated Film,"""Once Upon a Time ...in Hollywood"" is one of the most overrated film released by Hollywood industry. The hype is difficult to be understood but certainly has influenced those puppets that like to read the professional reviews to have their own opinion. The screenplay is boring and the good point is the references to films and the soundtrack based on the 60's. As usual in Quentin Tarantino's films, the cast is impressive. But this time, the film is a great disappointment. My vote is five.Title (Brazil): 'Era Uma Vez em... Hollywood"" (""Once Upon a Time ...in Hollywood"")",mediocre overrated film,once upon time hollywood is one most overrated film released by hollywood industry hype is difficult be understood but certainly has influenced those puppets that like read professional reviews have their own opinion screenplay is boring good point is references films soundtrack based 60s as usual quentin tarantinos films cast is impressive but this time film is great disappointment my vote is five title brazil era uma vez em hollywood once upon time hollywood,0.6809523809523809,0.08869047619047617,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.11, 'Sad': 0.33, 'Fear': 0.22}"
3.0,The Emperor with No Clothes,It reminds me of that old fable. People go to see Brad Pitt and Leonardo DiCaprio in a film by Tarantino and assume it has to be great despite what they are actually seeing on the screen.. The film is incredibly slow paced and neither funny nor suspenseful. Throwing in a 5 minute fantasy violent scene at the end after over two hours of boredom did NOT make me change my mind.. Sadly disappointing to this fan of most Tarantino films.,emperor with no clothes,it reminds me that old fable people go see brad pitt leonardo dicaprio film by tarantino assume it has be great despite what they are actually seeing screen film is incredibly slow paced neither funny nor suspenseful throwing 5 minute fantasy violent scene at end after over two hours boredom did not make me change my mind sadly disappointing this fan most tarantino films,0.6277777777777778,-0.00555555555555556,Negative,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.4, 'Sad': 0.3, 'Fear': 0.1}"
1.0,Flagrant Tarantino Fame Abuse,"If a no name writer came with such non-sense, their script would've hit the bin within the first ten pages. The script mocks every theory on character and plot development. Yet, the same gurus who would trash a rookie script writer for bringing anything less then perfect, are bowing now in humble awe to the great QT. This in not about double standards, but about Hollywood having no standards at all.",flagrant tarantino fame abuse,if no name writer came with such non sense their script wouldve hit bin within first ten pages script mocks every theory character plot development yet same gurus who would trash rookie script writer bringing anything less then perfect are bowing now humble awe great qt this not about double standards but about hollywood having no standards at all,0.35277777777777775,0.18703703703703703,Positive,"{'Happy': 0.1, 'Angry': 0.2, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.2}"
8.0,QT9 - a Hollywood fairy tale,"Greetings again from the darkness. Hippies, westerns, short skirts, pompadours, catchy pop songs ... all have (mostly) disappeared from our world. Back to save the day and the memories, and twist a little history, is Quentin Tarantino, the ultimate film geek. His latest reminds us of a bygone era of movie stars and old school filmmaking ... a once beloved industry which has been described as being on life support. There have been plenty of big screen love letters to Hollywood, but few if any, were filmed with so many personal touches and call-backs to the director's own films.In keeping with the request from Mr. Tarantino, this review will not include any spoilers or details that might negatively impact anyone's initial viewing of the film. It's a reasonable request since the film is so unique and literally packed with nostalgia, sight gags, and historical bits and pieces - some accurate, some not so much. There is a lot to take in and process, and the full impact of the initial viewing might result in awe, shock or disgust ... and maybe even all of the above. So this will be a pretty simple overview peppered with some insight that should enhance rather than spoil the experience.The film covers about 6 months in 1969, but in reality, it all takes place (at least what we see on screen) in 3 days. Leonardo DiCaprio (possibly his best ever performance) plays Rick Dalton, an actor who had a hit (fictional) TV western series in the 50's and 60's entitled ""Bounty Law"". Since the show ended, Rick has been unable to make the successful transition to movies. For comparison, think of Clint Eastwood, Steve McQueen and Burt Reynolds - all actors in TV westerns who found greater career success in movies. Brad Pitt (the epitome of cool) stars as Cliff Booth, Rick's stunt double, friend, driver, handyman, etc. While Rick is desperate to find the next stage of his career and fend off being forgotten, Cliff, a Vietnam vet, is accepting of his lot in life. Rick lives in a swanky Hollywood Hills home next door to hotshot director Roman Polanski and his starlet wife Sharon Tate; and Cliff lives in a trailer behind the Van Nuys Drive-In with his well-trained Rottweiler Brandy.There are multiple parallel stories to follow, and a key one involves the aforementioned Sharon Tate. Margot Robbie nails the role and bounces about town with the energy and sweet aura that we imagine she possessed. All 3 of the lead actors - DiCaprio, Pitt, Robbie - have knockout scenes that I'd love to be able to discuss, but I'm not sure how without giving away too much. What I can say is that each of these three talented actors prove that movie stars still exist.This is Tarantino's 9th film as a director (he counts the 2-part KILL BILL as one film), and he claims he will stop making films after number 10. There are multiple features we can count on in a QT film, and a ridiculously deep supporting cast is one. Going through each of the characters played by actors you will recognize would take a page and a half, so I'll cover only a few here. Margaret Qualley is a scene stealer as Pussycat, one of the Manson family girls. You likely remember her from the recent ""Fosse/Verdon"" or ""The Leftovers"", and here she fully embraces the hippie look and spirit. Emile Hirsch plays hairdresser Jay Sebring, one of those in the house with Ms. Tate on that fateful night, and Mike Moh plays Bruce Lee so convincingly that I was momentarily confused when he took off his sunglasses. Also making appearances are some Tarantino regulars: Kurt Russell (as a stunt coordinator and narrator), Michael Madsen (as an actor), and Bruce Dern as George Spahn (a late replacement after Burt Reynolds passed away). Others of note include Maya Hawke (Uma Thurman's daughter), Austin Butler (recently cast in the title role of Baz Luhrmann's Elvis biopic) as Tex Watson, Rumer Willis (Bruce's daughter) as actress Joanna Pettet, Damian Lewis as Steve McQueen, Al Pacino as agent Marvin Schwarzs, Dakota Fanning as Squeaky Fromme, and the late Luke Perry as actor Wayne Maunder (""Lancer""). 90 year old Clu Gulager (""The Virginian"", THE LAST PICTURE SHOW) makes an appearance, and Nicholas Hammond (Friedrich from THE SOUND OF MUSIC) tears into his role with gusto as director Sam Wanamaker. There is even a TV Guide cover featuring the late great character actor Andrew Duggan (""Lancer""). Some of these, and many more, are like cameos, but it's still fascinating to see the faces.1969 was 50 years ago, and Tarantino does a remarkable job of recreating the look of Sunset Boulevard, Hollywood Boulevard, Cielo Drive, and studio backlots. Much credit goes to Production Designer Barbara Ling and Set Decorator Nancy Haigh (frequent Coen Brothers collaborator and an Oscar winner for BUGSY). Arianne Phillips does a tremendous job with the costumes that look natural for the time period, and not like something right off the wardrobe racks. Three-time Oscar winning Cinematographer Robert Richardson (HUGO, THE AVIATOR, JFK) is back for his 6th Tarantino film, and he captures the look and feel and vibe of a time that is so personal to the director.It's been three and a half years since THE HATEFUL EIGHT, Tarantino's most recent film, and probably his worst received. This one is clearly personal as it captures the time and place that he fell in love with movies. The dichotomy of rising starlet and fading cowboy as neighbors is a brilliant way to make a point about times changing. This was a time of transition in the United States - a new culture was upon us, and whatever innocence remained, was surely snuffed out on a hot August night in 1969. As usual, his use of music serves a purpose. We are treated to Roy Head, The Royal Guardsmen, and Paul Revere and the Raiders, among others. QT also shows us plenty of bare feet (another trademark). What is unusual is that the film lacks the trademark mass dialogue. This one kind of meanders ... right up until it doesn't.Quentin Tarantino is a living, breathing film geek (that's a compliment) who has earned the right to make the movies he wants to make. This one took him a lifetime to live, 5 years to write, and it will take you 161 minutes to watch. It was warmly received at Cannes, but no one can expect to ""catch"" everything Mr. Tarantino has served up in one viewing. That said, one viewing will likely be one too many for quite a few folks (especially many under 40 who have no recollection of this Hollywood). Some will categorize this as an overindulgent nostalgia trip for movie nerds. And they are likely correct. But for those of us who complain that too many movies are remakes, re-treads and comic books, there is no denying Tarantino delivers a unique and creative viewing experience - and it's not meant for everyone.",qt9 hollywood fairy tale,greetings again darkness hippies westerns short skirts pompadours catchy pop songs all have mostly disappeared our world back save day memories twist little history is quentin tarantino ultimate film geek his latest reminds us bygone era movie stars old school filmmaking once beloved industry which has been described as being life support there have been plenty big screen love letters hollywood but few if any were filmed with so many personal touches call backs directors own films keeping with request mr tarantino this review will not include any spoilers or details that might negatively impact anyones initial viewing film its reasonable request since film is so unique literally packed with nostalgia sight gags historical bits pieces some accurate some not so much there is lot take process full impact initial viewing might result awe shock or disgust maybe even all above so this will be pretty simple overview peppered with some insight that should enhance rather than spoil experience film covers about 6 months 1969 but reality it all takes place at least what we see screen 3 days leonardo dicaprio possibly his best ever performance plays rick dalton actor who had hit fictional tv western series 50s 60s entitled bounty law since show ended rick has been unable make successful transition movies comparison think clint eastwood steve mcqueen burt reynolds all actors tv westerns who found greater career success movies brad pitt epitome cool stars as cliff booth ricks stunt double friend driver handyman etc while rick is desperate find next stage his career fend off being forgotten cliff vietnam vet is accepting his lot life rick lives swanky hollywood hills home next door hotshot director roman polanski his starlet wife sharon tate cliff lives trailer behind van nuys drive with his well trained rottweiler brandy there are multiple parallel stories follow key one involves aforementioned sharon tate margot robbie nails role bounces about town with energy sweet aura that we imagine she possessed all 3 lead actors dicaprio pitt robbie have knockout scenes that id love be able discuss but im not sure how without giving away too much what i can say is that each these three talented actors prove that movie stars still exist this is tarantinos 9th film as director he counts 2 part kill bill as one film he claims he will stop making films after number 10 there are multiple features we can count qt film ridiculously deep supporting cast is one going through each characters played by actors you will recognize would take page half so ill cover only few here margaret qualley is scene stealer as pussycat one manson family girls you likely remember her recent fosse verdon or leftovers here she fully embraces hippie look spirit emile hirsch plays hairdresser jay sebring one those house with ms tate that fateful night mike moh plays bruce lee so convincingly that i was momentarily confused when he took off his sunglasses also making appearances are some tarantino regulars kurt russell as stunt coordinator narrator michael madsen as actor bruce dern as george spahn late replacement after burt reynolds passed away others note include maya hawke uma thurmans daughter austin butler recently cast title role baz luhrmanns elvis biopic as tex watson rumer willis bruces daughter as actress joanna pettet damian lewis as steve mcqueen al pacino as agent marvin schwarzs dakota fanning as squeaky fromme late luke perry as actor wayne maunder lancer 90 year old clu gulager virginian last picture show makes appearance nicholas hammond friedrich sound music tears into his role with gusto as director sam wanamaker there is even tv guide cover featuring late great character actor andrew duggan lancer some these many more are like cameos but its still fascinating see faces 1969 was 50 years ago tarantino does remarkable job recreating look sunset boulevard hollywood boulevard cielo drive studio backlots much credit goes production designer barbara ling set decorator nancy haigh frequent coen brothers collaborator oscar winner bugsy arianne phillips does tremendous job with costumes that look natural time period not like something right off wardrobe racks three time oscar winning cinematographer robert richardson hugo aviator jfk is back his 6th tarantino film he captures look feel vibe time that is so personal director its been three half years since hateful eight tarantinos most recent film probably his worst received this one is clearly personal as it captures time place that he fell love with movies dichotomy rising starlet fading cowboy as neighbors is brilliant way make point about times changing this was time transition united states new culture was upon us whatever innocence remained was surely snuffed out hot august night 1969 as usual his use music serves purpose we are treated roy head royal guardsmen paul revere raiders among others qt also shows us plenty bare feet another trademark what is unusual is that film lacks trademark mass dialogue this one kind meanders right up until it doesnt quentin tarantino is living breathing film geek thats compliment who has earned right make movies he wants make this one took him lifetime live 5 years write it will take you 161 minutes watch it was warmly received at cannes but no one can expect catch everything mr tarantino has served up one viewing that said one viewing will likely be one too many quite few folks especially many under 40 who have no recollection this hollywood some will categorize this as overindulgent nostalgia trip movie nerds they are likely correct but those us who complain that too many movies are remakes re treads comic books there is no denying tarantino delivers unique creative viewing experience its not meant everyone,0.5045903843631115,0.16447609208972844,Positive,"{'Happy': 0.11, 'Angry': 0.1, 'Surprise': 0.24, 'Sad': 0.19, 'Fear': 0.37}"
9.0,This is why I love movies!,"I don't write reviews often, but this time I felt I had to. The reason being that many of the earlier reviews of this film meant that this movie is too long and not worth seeing. I respectfully disagree.The film is long, I give you that, but the deliberate pace puts you in the right mood and it tells an intriguing story with sexy chicks, real men and a setting that seems real - and I really loved it. Cinema magic!",this is why i love movies,i dont write reviews often but this time i felt i had reason being that many earlier reviews this film meant that this movie is too long not worth seeing i respectfully disagree film is long i give you that but deliberate pace puts you right mood it tells intriguing story with sexy chicks real men setting that seems real i really loved it cinema magic,0.5565934065934065,0.28736263736263734,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.4, 'Fear': 0.35}"
1.0,Was I even watching the same film?,"All this critical acclaim for this film (mainly because it's a Tarantino one) is so baffling. So what's wrong with it? For a start nothing actually happens throughout until the last 10 minutes. It's a slow, turgid, self congratulatory affair with drawn out scenes and tons of tips of the cap to the 'era' - through the soundtrack and product placement of 1960s packaging, or 'real life' characters like Sam Wannamaker's appearance - that just aren't needed. They even splice Di Caprio into the Great Escape as a 'what if?' moment...but all for what? Just Hollywood slapping itself on the back again about being Hollywood.There were genuine tense moments like when Pitt's character visits the Manson family allotment that turn into a damp squib. Again why was that scene so long? Why did they spend so much time on Di Caprio playing the baddy in the western but no time at all on his character's move to Italy (apart from the fact Tarantino wanted to imagine what 1960s spaghetti western posters would've looked like with DiC in them!). And what was the point of Al Pacino? Or Sharon Tate's character for that matter once you see the ending....?This was a missed opportunity that could've been a great piece on an actor's dwindling career that just turned into a boring series of sort of linked scenes...albeit quite well acted ones. Tarantino is become the new Woody Allen...actors want one of his films on their resume despite the fact he hasn't made a good one in so long",was i even watching same film,all this critical acclaim this film mainly because its tarantino one is so baffling so whats wrong with it start nothing actually happens throughout until last 10 minutes its slow turgid self congratulatory affair with drawn out scenes tons tips cap era through soundtrack product placement 1960s packaging or real life characters like sam wannamakers appearance that just arent needed they even splice di caprio into great escape as what if moment but all what just hollywood slapping itself back again about being hollywood there were genuine tense moments like when pitts character visits manson family allotment that turn into damp squib again why was that scene so long why did they spend so much time di caprio playing baddy western but no time at all his characters move italy apart fact tarantino wanted imagine what 1960s spaghetti western posters wouldve looked like with dic them what was point al pacino or sharon tates character that matter once you see ending this was missed opportunity that couldve been great piece actors dwindling career that just turned into boring series sort linked scenes albeit quite well acted ones tarantino is become new woody allen actors want one his films their resume despite fact he hasnt made good one so long,0.40854978354978355,0.0556998556998557,Positive,"{'Happy': 0.11, 'Angry': 0.03, 'Surprise': 0.24, 'Sad': 0.16, 'Fear': 0.47}"
7.0,Just kept waiting and waiting and waiting and waiting,"I love Tarantino. I was super excited to see this. The movie started. And then it went. And I waited for the plot. And then it came and went within the last 15 minutes of the film. Then I left confused and a little disappointed.The movie just felt like Tarantino wanted to show off how much he knows about film history and how nostalgic the old Hollywood made him feel. The acting was amazing. The cinematography was amazing. The storyline just wasn't there though. I want to say I loved it so bad but it just felt so flat to me.The characters didn't really develop at all. Leo's character just kind of changed halfway through with only a narration as to why he was different. Brad Pitts character was the exact same the entire film. Margot Robbie's characters development was that she finally said like 20 words at the very end.The ending was the most enjoyable part without a doubt. That felt like a classic Tarantino scene. The rest of it though just felt like a normal movie. The dialogue didn't feel like him to me for the most part, with the exception of a few scenes. The soundtrack was phenomenal and caught the vibe of the movie flawlessly.Maybe I was just hoping for more or maybe I missed out on something. It was an enjoyable movie, but it just felt off to me. I really hope he will make a final movie to end his career with a bang, because this is not the one",just kept waiting waiting waiting waiting,i love tarantino i was super excited see this movie started then it went i waited plot then it came went within last 15 minutes film then i left confused little disappointed movie just felt like tarantino wanted show off how much he knows about film history how nostalgic old hollywood made him feel acting was amazing cinematography was amazing storyline just wasnt there though i want say i loved it so bad but it just felt so flat me characters didnt really develop at all leos character just kind changed halfway through with only narration as why he was different brad pitts character was exact same entire film margot robbies characters development was that she finally said like 20 words at very end ending was most enjoyable part without doubt that felt like classic tarantino scene rest it though just felt like normal movie dialogue didnt feel like him me most part with exception few scenes soundtrack was phenomenal caught vibe movie flawlessly maybe i was just hoping more or maybe i missed out something it was enjoyable movie but it just felt off me i really hope he will make final movie end his career with bang because this is not one,0.5300438596491229,0.16875,Positive,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.27, 'Sad': 0.31, 'Fear': 0.31}"
