Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7,Smartly remade movie that adds more flavor!,"I have watched The Intouchables a long time ago and I loved that movie for its depiction of the relationship between the Wealthy man and his care taker. When I heard it was being remade, I initially thought that the movie won't make it good on screen. But after seeing the movie, my thought changed completely!Pros: Altered Script - the main theme of the movie stays the same. But the way the script has been adjusted to suit the South Indian Audience deserves a mention. Also, there was no considerable lag in the screenplay.Dialogs - Deserves the applause! Easily the backbone of the movie. The dialogs weren't melodramatic but was sentimental at some places and brought humor to the screen when required.Casting - Pretty much good. Karthi-Nagarjuna combo steals the show here!Cons: Ooops!! Sorry nothing to mention. I was just happily enjoying the movie and failed to notice tiny flaws. This is one of the most credibly remade movie ever in South Indian cinema. Watch it and enjoy the experience.",smartly remade movie that adds more flavor,i have watched intouchables long time ago i loved that movie its depiction relationship between wealthy man his care taker when i heard it was being remade i initially thought that movie wont make it good screen but after seeing movie my thought changed completely pros altered script main theme movie stays same but way script has been adjusted suit south indian audience deserves mention also there was no considerable lag screenplay dialogs deserves applause easily backbone movie dialogs werent melodramatic but was sentimental at some places brought humor screen when required casting pretty much good karthi nagarjuna combo steals show here cons ooops sorry nothing mention i was just happily enjoying movie failed notice tiny flaws this is one most credibly remade movie ever south indian cinema watch it enjoy experience,0.5811147186147185,0.21428571428571433,Positive,"{'Happy': 0.3, 'Angry': 0.04, 'Surprise': 0.22, 'Sad': 0.26, 'Fear': 0.19}"
9,"You can't even turn off your eyes. Wonderful, Hilarious & Touching.","Oopiri/Thozha: Having said that it is an Official adaption of a great French Movie ""The Intouchables"" which is truly inspired from Philippe Pozzo di Borgo and his French-Algerian caregiver Abdel Sellou, director Vamsi Paidipally has taken utmost care in rewriting it in Indianised style so that it can sync with the audience here. I won't say the plot because those who watched the French or English version they would have known it and at-least it would be a surprise for those who didn't watch it. So let us maintain that.First of all it is first of its kind film for our South film industry. The Brother Bonding, BroCode, Bromance, BroComedy between Karthi & Nagarjuna are simply amazing. I truly wonder Nagarjuna has become too choosy in selecting scripts after his historical debacle Bhai, he even promised to audience he will never make such films and now with this movie he is sticking srongly to his word. People might think it is an easy role for Nagarjuna to just sit & act on a wheel chair, but it is really difficult to act like this with not even a bit of movement in his hands or legs. He has passionately acted in this film and he enjoyed acting in this role. Literally he gave meaning to this role. He is definitely a inspiration to Senior & younger generation heroes now. This film makes Karthi's straight debut in Tollywood, he did a splendid job and especially his comic timing is so funny at times. With this, his place will also be cemented here too. No doubt now he will be flooded with many offers here. Tammanah, Prakash raj, Jayasudha, Ali, Gabriella & Kalpana have got apt roles. Even tammanah's own dubbing is very good in the movie.Vamsi rediscovered himself by beautifully adapting the story. There is a entirely a contrast between this movie & his previous works. He has done a tremendous work for this film. Of course comparisons from everywhere starts because it is a adaption but he delivered his best effort. Dialogues by Abburi are heart touching. Each and every scene has class performance that makes you cry & laugh at a time. It is impossible to make a film like this,it is just PVP Cinema has handpicked all the technicians & cast properly and has done a commendable job. Music by Gopi Sunder is splendid & situational. The only odd in the movie is, length of the film and second half narration is bit slow.Great story, great star cast, great cameos(Surprise !!), great technicians & great crew has made Oopiri watchable. If you ask me to define Oopiri film, my answer goes likes this: ""Oopiri is celebration of life, celebration of companionship, celebration of friendship, celebration of love, celebration of emotions and the list goes on... "" I cannot say more, the film must be experienced.‪#‎ChiruReviews‬ ‪#‎Oopiri‬ ‪#‎Thozha‬ ‪#‎NagarjunaAkkineni‬ ‪#‎PhenomenalHattrick‬ ‪#‎Karthi‬ ‪#‎PVPCinema‬",you cant even turn off your eyes wonderful hilarious touching,oopiri thozha having said that it is official adaption great french movie intouchables which is truly inspired philippe pozzo di borgo his french algerian caregiver abdel sellou director vamsi paidipally has taken utmost care rewriting it indianised style so that it can sync with audience here i wont say plot because those who watched french or english version they would have known it at least it would be surprise those who didnt watch it so let us maintain that first all it is first its kind film our south film industry brother bonding brocode bromance brocomedy between karthi nagarjuna are simply amazing i truly wonder nagarjuna has become too choosy selecting scripts after his historical debacle bhai he even promised audience he will never make such films now with this movie he is sticking srongly his word people might think it is easy role nagarjuna just sit act wheel chair but it is really difficult act like this with not even bit movement his hands or legs he has passionately acted this film he enjoyed acting this role literally he gave meaning this role he is definitely inspiration senior younger generation heroes now this film makes karthis straight debut tollywood he did splendid job especially his comic timing is so funny at times with this his place will also be cemented here too no doubt now he will be flooded with many offers here tammanah prakash raj jayasudha ali gabriella kalpana have got apt roles even tammanahs own dubbing is very good movie vamsi rediscovered himself by beautifully adapting story there is entirely contrast between this movie his previous works he has done tremendous work this film course comparisons everywhere starts because it is adaption but he delivered his best effort dialogues by abburi are heart touching each every scene has class performance that makes you cry laugh at time it is impossible make film like this it is just pvp cinema has handpicked all technicians cast properly has done commendable job music by gopi sunder is splendid situational only odd movie is length film second half narration is bit slow great story great star cast great cameos surprise great technicians great crew has made oopiri watchable if you ask me define oopiri film my answer goes likes this oopiri is celebration life celebration companionship celebration friendship celebration love celebration emotions list goes i cannot say more film must be experienced chirureviews oopiri thozha nagarjunaakkineni phenomenalhattrick karthi pvpcinema,0.5643333333333335,0.3086666666666668,Positive,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.17, 'Fear': 0.26}"
9,Really Beautiful indeed !,"Oopiri / Thozhaa Guzaarish, Beautiful (Malayalam) is nothing compared to this beautiful movie. Even though its the remake of the Intouchables, Vamsi Paidipally created this as much beautiful it could be. at the end Oopiri gives you tears with happiness and love. The story goes without lagging , full of emotions , love and happiness. Compared to Vamsi's Yevadu which was an action thriller. this is purely different with dramatic sentimental scenes, which is not on the lot of usual ones. Yet , beautiful than his second one Brindaavanam. Nagarjuna is evergreen, as a main char, he never fails to make an impact. Karthi takes away the claps with his usual acting style and dialogue presentation. Tamannah, Prakash Raj all were too good in this one. OST satisfies to be with the track of the story. One thing i liked in this movie , is at every second it makes us happy, there are no place where it gets bored or lag. Watch it ! otherwise you will miss one of the most beautiful flick in this year. 9 out of 10",really beautiful indeed,oopiri thozhaa guzaarish beautiful malayalam is nothing compared this beautiful movie even though its remake intouchables vamsi paidipally created this as much beautiful it could be at end oopiri gives you tears with happiness love story goes without lagging full emotions love happiness compared vamsis yevadu which was action thriller this is purely different with dramatic sentimental scenes which is not lot usual ones yet beautiful than his second one brindaavanam nagarjuna is evergreen as main char he never fails make impact karthi takes away claps with his usual acting style dialogue presentation tamannah prakash raj all were too good this one ost satisfies be with track story one thing i liked this movie is at every second it makes us happy there are no place where it gets bored or lag watch it otherwise you will miss one most beautiful flick this year 9 out 10,0.5734567901234568,0.3438271604938271,Positive,"{'Happy': 0.35, 'Angry': 0.06, 'Surprise': 0.12, 'Sad': 0.29, 'Fear': 0.18}"
8,Feel good movie,"A nice feel good movie which engages the attention for most of the part. Well acted, tightly edited with good screen play, story and minimal masala (but high on Entertainment), this movie has lot going in its favor to make it worthwhile watch.Unlike many other films, the producers have credited the source as remake of a French movie, rather than lifting and passing it off as their creation. Karthi as the aimless parolee with a tough exterior covering a caring person is standout. He carries the weight of the movie and is a scene stealer. Giving him good company is Nagarjuna who is charming as the invalid bound to wheel chair. He has to use his face and eyes especially to express the emotions as per the role and greatly complements Karthi. Others in the cast like Tamannah etc give good support. The scenes in Paris and external locations are well shot and add a interesting dimension to the plot. Big Thumbs up!",feel good movie,nice feel good movie which engages attention most part well acted tightly edited with good screen play story minimal masala but high entertainment this movie has lot going its favor make it worthwhile watch unlike many other films producers have credited source as remake french movie rather than lifting passing it off as their creation karthi as aimless parolee with tough exterior covering caring person is standout he carries weight movie is scene stealer giving him good company is nagarjuna who is charming as invalid bound wheel chair he has use his face eyes especially express emotions as per role greatly complements karthi others cast like tamannah etc give good support scenes paris external locations are well shot add interesting dimension plot big thumbs up,0.5516213151927437,0.33178760393046103,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.07, 'Sad': 0.2, 'Fear': 0.4}"
10,Oopiri (2016),The film is very good with many good messages. The comedy was very good especially Karthi is good at comedy scenes. Nagarjuna has done an excellent work with his brilliant acting. The BGM is very good.,oopiri 2016,film is very good with many good messages comedy was very good especially karthi is good at comedy scenes nagarjuna has done excellent work with his brilliant acting bgm is very good,0.7040000000000001,0.653,Positive,"{'Happy': 0.88, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.12}"
9,It's a must watch movie in Telugu,"Oopiri it's a rare film with a different story which we see in Telugu film industry. Hats off to King Nagarjuna and Karthi for their performances and especially the director for picking Nag and Karthi for the lead roles.It's a feel good movie, with loads of fun n comedy in Karthi style with Prakash Raj,Tamanna. Nagarjuna did a daring role where his role is to stick to a chair, he was apt for this role and Tamanna is gorgeous and her own voice is good. Vamsi paidipally directed the movie so well and cinematography was so good. It's a must watch and one will regret if they miss out to watch it in Silver screen.",its must watch movie telugu,oopiri its rare film with different story which we see telugu film industry hats off king nagarjuna karthi their performances especially director picking nag karthi lead roles its feel good movie with loads fun n comedy karthi style with prakash raj tamanna nagarjuna did daring role where his role is stick chair he was apt this role tamanna is gorgeous her own voice is good vamsi paidipally directed movie so well cinematography was so good its must watch one will regret if they miss out watch it silver screen,0.74,0.45999999999999996,Positive,"{'Happy': 0.26, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.11, 'Fear': 0.37}"
9,Thozha is a brilliant feel-good film,"Vamshi Paidipally's Thozha is a feel-good film. If you're stressed or even not in a good mood, this is strictly for you. It's great to see a film that has everything to attract all types of audiences. From fun-loving comedies to tear-dropping emotional scenes, Thozha has everything to make your day perfect. The film focuses on the main plot right from the beginning without any diversions. Vamshi's writing creates magic on screen especially in those brilliant emotional scenes that are not exaggerated at all. The characters are rightfully established without any delays and enters us into their fun and emotional journey. This visually pleasing drama works marvelously because of the exceptional performances of the lead actors. Our eyes are glued to both Karthi and Nagarjuna because they are an interesting combo on screen. Starting from Karthi, he has a role that fulfills his acting prowess perfectly. After Paruthiveeran, this is his complete role as an actor. He has an extraordinary sense of humor and an amazing careless attitude that connects us with his character. His emotional scenes are one of the pillars of strength in this feel-good drama. On the other side, we have the versatile Nagarjuna essays a really tough role. Sitting in a wheel-chair for the whole film is unimaginably a big challenge for an actor and Nagarjuna did it with justice. He plays the role effortlessly and he is a delight to watch on screen. We have Tamannaah, Prakash Raj, Vivek, and many more supporting actors who are helping the film to be more colorful. Gopi Sunder's musical score is another strength of the film. His songs are beautiful and his background score adds so much intensity to the scenes. Vamshi's filmmaking is the major factor that helps us get along with the film. His dialogues are significantly heart-touching and his screenplay doesn't bring down the pace at any time. Overall, Thozha is a brilliant feel-good film.",thozha is brilliant feel good film,vamshi paidipallys thozha is feel good film if youre stressed or even not good mood this is strictly you its great see film that has everything attract all types audiences fun loving comedies tear dropping emotional scenes thozha has everything make your day perfect film focuses main plot right beginning without any diversions vamshis writing creates magic screen especially those brilliant emotional scenes that are not exaggerated at all characters are rightfully established without any delays enters us into their fun emotional journey this visually pleasing drama works marvelously because exceptional performances lead actors our eyes are glued both karthi nagarjuna because they are interesting combo screen starting karthi he has role that fulfills his acting prowess perfectly after paruthiveeran this is his complete role as actor he has extraordinary sense humor amazing careless attitude that connects us with his character his emotional scenes are one pillars strength this feel good drama other side we have versatile nagarjuna essays really tough role sitting wheel chair whole film is unimaginably big challenge actor nagarjuna did it with justice he plays role effortlessly he is delight watch screen we have tamannaah prakash raj vivek many more supporting actors who are helping film be more colorful gopi sunders musical score is another strength film his songs are beautiful his background score adds so much intensity scenes vamshis filmmaking is major factor that helps us get along with film his dialogues are significantly heart touching his screenplay doesnt bring down pace at any time overall thozha is brilliant feel good film,0.5918253968253966,0.3324087301587301,Positive,"{'Happy': 0.28, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.3, 'Fear': 0.22}"
10,Beautiful feel good movie,"One of the best movies directed by Vamsi Padipalli. Though a remake, Oopiri has the ""Indian"" essence. The movie is filled with sentiment and cute comedy. The actors chosen were perfect for the roles. The movie starts with a thief(Srinu) coming out of jail on parole and on the hand a rich paralyzed man(Vikram) is looking for a helper. Srinu gets the job as a helper and does everything to make Vikram happy and brings him back to life. The story revolves around Vikram, Srinu and Keerthi(secretary of Vikram).The movie clearly shows the immutable bond between Vikram and Srinu which will leave the audience in tears of happiness. I loved the part where the trio (Vikram, Srinu and Keerthi) go to Paris. The movie is simply beautiful.",beautiful feel good movie,one best movies directed by vamsi padipalli though remake oopiri has indian essence movie is filled with sentiment cute comedy actors chosen were perfect roles movie starts with thief srinu coming out jail parole hand rich paralyzed man vikram is looking helper srinu gets job as helper does everything make vikram happy brings him back life story revolves around vikram srinu keerthi secretary vikram movie clearly shows immutable bond between vikram srinu which will leave audience tears happiness i loved part where trio vikram srinu keerthi go paris movie is simply beautiful,0.6380952380952382,0.5624999999999999,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.3, 'Fear': 0.3}"
9,Good movie.,"Beautiful movie about life and values. Nagarjun and Karti's acting is good and Tamanna looks cute. Totally good story, screenplay and direction.",good movie,beautiful movie about life values nagarjun kartis acting is good tamanna looks cute totally good story screenplay direction,0.6333333333333334,0.5750000000000001,Positive,"{'Happy': 0.83, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.17}"
9,Real celebration of life,"Hi,Oopiri is a mixture of Emotions, Relationship, Friendship. This movie will teach you that Money is not everything. This movie will teach you how to celebrate the life.Oopiri is the show of Nagarjuna and Karthi. Both of them are just awesome. Nobody could replace both of these actors. Nagarjuna playing the center, different role after Manam, Soggade chinni nayana, Annamayya,Sri Ramadaasu and Shirdi Sai. Karthi with his natural acting and comedy timing steals the show.I don't like to tell the story. And Please don't read the story. You guys will lose the magic of this fantastic movie if you read the story of this movie. Don't think too much and go and get the tickets for the movie.Enjoy, I can promise you that you will not regret after watching this movie.Thanks",real celebration life,hi oopiri is mixture emotions relationship friendship this movie will teach you that money is not everything this movie will teach you how celebrate life oopiri is show nagarjuna karthi both them are just awesome nobody could replace both these actors nagarjuna playing center different role after manam soggade chinni nayana annamayya sri ramadaasu shirdi sai karthi with his natural acting comedy timing steals show i dont like tell story please dont read story you guys will lose magic this fantastic movie if you read story this movie dont think too much go get tickets movie enjoy i can promise you that you will not regret after watching this movie thanks,0.4727272727272727,0.26363636363636367,Positive,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.45, 'Fear': 0.18}"
