Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
6.0,Good but unnecessary subplots,"There is a better film here but some unnecessary side plots - oh well, that romantic thing took the focus so many times - are really distracting.Some very good moments, great acting, very tense on its third act, but the first was confusing and full of exposition. Good enough but I was expecting better.",good but unnecessary subplots,there is better film here but some unnecessary side plots oh well that romantic thing took focus so many times are really distracting some very good moments great acting very tense its third act but first was confusing full exposition good enough but i was expecting better,0.5090740740740741,0.21537037037037032,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.06, 'Fear': 0.22}"
6.0,Good in patches but unnecessary subplots,"I saw the original shortly after its release. Despite the fictional subplot about an Irish spy it is a far better film.Up to the moment that Martin is put in the sea the film is reasonably paced and interesting.. However after that a silly romantic subplot brings the film to almost a standstill. The last 20minutes could have been reduced to 5.It is difficult to understand why the film was remade,and why so many fictional elements were introduced.",good patches but unnecessary subplots,i saw original shortly after its release despite fictional subplot about irish spy it is far better film up moment that martin is put sea film is reasonably paced interesting however after that silly romantic subplot brings film almost standstill last 20minutes could have been reduced 5 it is difficult understand why film was remade why so many fictional elements were introduced,0.5369791666666666,0.09218749999999999,Positive,"{'Happy': 0.2, 'Angry': 0.13, 'Surprise': 0.27, 'Sad': 0.13, 'Fear': 0.27}"
6.0,Perfectly fine,"Operation Mincemeat is a film with very few bells and whistles.It has an interesting story to tell, and it tells it well enough, however unnecessary romantic subplots make the whole thing 20 minutes too long.I think the pacing is a little off as they place the focus too much on the establishment of the plan and not enough on how it pans out.The performances are all fine. Nothing overly flashy. There is a good feel to the film, capturing the period well.Overall a perfectly decent film, worth watching to learn about a remarkable and crucial military operation, but there's nothing particularly remarkable about the filmmaking.",perfectly fine,operation mincemeat is film with very few bells whistles it has interesting story tell it tells it well enough however unnecessary romantic subplots make whole thing 20 minutes too long i think pacing is little off as they place focus too much establishment plan not enough how it pans out performances are all fine nothing overly flashy there is good feel film capturing period well overall perfectly decent film worth watching learn about remarkable crucial military operation but theres nothing particularly remarkable about filmmaking,0.4760317460317461,0.13821428571428573,Positive,"{'Happy': 0.35, 'Angry': 0.0, 'Surprise': 0.26, 'Sad': 0.17, 'Fear': 0.22}"
4.0,Disappointing,I was so looking forward to this for the 2 years since i saw them starting filming in 2020 around WhitehallHuge chunks of this film were completely boring and totally unnecessary and these were the stultifying love relationships that took over the plot and in some ways took precedence over the whole point of the film.Ben Mackintires original book was miles away from this effort which - despite the cast - was as boring as hell and could have easily been the thrilling film it should have been leaving out 75% of the personal stories of the characters.The film focussed on the wrong things.What a shame.,disappointing,i was so looking forward this 2 years since i saw them starting filming 2020 around whitehallhuge chunks this film were completely boring totally unnecessary these were stultifying love relationships that took over plot some ways took precedence over whole point film ben mackintires original book was miles away this effort which despite cast was as boring as hell could have easily been thrilling film it should have been leaving out 75 personal stories characters film focussed wrong things what shame,0.7069444444444444,-0.1451388888888889,Negative,"{'Happy': 0.06, 'Angry': 0.12, 'Surprise': 0.31, 'Sad': 0.19, 'Fear': 0.31}"
4.0,Operation hamburger patty,"The main difference between The Man Who Never Was (1956) and this, Operation Mincemeat (2021), is that filmmakers seem to consider 21st century audiences dumb who need everything explained slowly to them. Or, perhaps the filmmakers are such simpletons as they presume their audience to be. Also, it seems that these days the facts, as intriguing as they may be, are not considered enough to make an interesting movie and therefore unnecessary embellishments with invented lies and subplots are deemed a must.The only thing that keeps this movie half-afloat is the regal presence of Colin Firth. The rest is total BS, mostly invented to make the movie drag on for 25 minutes longer than the original.The 1956 original was handicapped by the fact that the facts were still classified and yet they created a brilliantly paced and presented narrative of as close to the truth as they could get. This 2021 outing had all the facts, declassified since 1996, but felt the need to invent fairytales to embellish it with.Is this a good movie to watch if one does not care about the facts it claims to depict? Run-of-the-mill formula. Nothing special. No memorable moments. Formulaic standard recipe doing an injustice to one of the greatest successes in history involving the deception of the enemy. Cringeworthy moments in the narrative. Not one moment that rouses an emotional response from the viewer.",operation hamburger patty,main difference between man who never was 1956 this operation mincemeat 2021 is that filmmakers seem consider 21st century audiences dumb who need everything explained slowly them or perhaps filmmakers are such simpletons as they presume their audience be also it seems that these days facts as intriguing as they may be are not considered enough make interesting movie therefore unnecessary embellishments with invented lies subplots are deemed must only thing that keeps this movie half afloat is regal presence colin firth rest is total bs mostly invented make movie drag 25 minutes longer than original 1956 original was handicapped by fact that facts were still classified yet they created brilliantly paced presented narrative as close truth as they could get this 2021 outing had all facts declassified since 1996 but felt need invent fairytales embellish it with is this good movie watch if one does not care about facts it claims depict run mill formula nothing special no memorable moments formulaic standard recipe doing injustice one greatest successes history involving deception enemy cringeworthy moments narrative not one moment that rouses emotional response viewer,0.5176904761904761,0.14328571428571427,Positive,"{'Happy': 0.12, 'Angry': 0.09, 'Surprise': 0.16, 'Sad': 0.34, 'Fear': 0.28}"
6.0,Totally unnecessary love plot,"The idea for the film is good and solid. However, it is diluted to the absurd with some weird menage a trois love plat that, if removed, would shorten the movie with a much needed half an hour.",totally unnecessary love plot,idea film is good solid however it is diluted absurd with some weird menage trois love plat that if removed would shorten movie with much needed half hour,0.5740740740740741,0.03703703703703703,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.33}"
6.0,We need a corpse,Well this is one of the wilder ploys of the WWII allied intelligence. It's quite clever and definitely out there. The storyline flowed easily though it was a bit slow at times. Acting gets top marks.,we need corpse,well this is one wilder ploys wwii allied intelligence its quite clever definitely out there storyline flowed easily though it was bit slow at times acting gets top marks,0.5111111111111112,0.13333333333333333,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
6.0,Operation brainfreeze,"The production team clearly had an one too many during the making of this. Why anyone would add fiction to spoil a fascinating historical tale is beyond me.Lets recap -- the Brits decieved Hitler through brilliant trickery into diverting his troops, thereby losing ground to the allies, and ultimately losing the war. If this was pure fiction it would be unbelievable or better told with Marvel characters or Tarantino. However, it wasnt fiction!! So why litter the core story with contrived subplots? The relationship between Montague and Jean was nonsense. Unrealistic. Irrelevant. Was it perhaps because someone promised Colin it was a love story to get him involved? Add to this, whilst the script and dialogue was largely good, at times it was awful. These were brainfreeze moments. Casting and performances were generally good, especially Matthew M and Penelope Wilton.I did enjoy the movie but mainly because of the sheer fascination with the story, rather than the execution of this version of the story.",operation brainfreeze,production team clearly had one too many during making this why anyone would add fiction spoil fascinating historical tale is beyond me lets recap brits decieved hitler through brilliant trickery into diverting his troops thereby losing ground allies ultimately losing war if this was pure fiction it would be unbelievable or better told with marvel characters or tarantino however it wasnt fiction so why litter core story with contrived subplots relationship between montague jean was nonsense unrealistic irrelevant was it perhaps because someone promised colin it was love story get him involved add this whilst script dialogue was largely good at times it was awful these were brainfreeze moments casting performances were generally good especially matthew m penelope wilton i did enjoy movie but mainly because sheer fascination with story rather than execution this version story,0.6933333333333334,0.13154761904761902,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.33, 'Fear': 0.33}"
6.0,A bit disappointing,The part of the film dealing with the actual operation is fine with good acting and a gripping narrative. Even when one knows historically that the landing in Sicily was a success in the film it still is a breathless moment when everyone is waiting for the news and all the tremendous effort leading up to that moment is effectively conveyed by the director. Unfortunately the movie is marred by the redundant romantic sub-plot which seems like it's from another film and makes the film longer than necessary. The addition of the corpse's fictional sister is also a mistake. It doesn't add anything apart from cheap pathos. The scriptwriter made what could have been a great film into a curate's egg. Disappointing.,bit disappointing,part film dealing with actual operation is fine with good acting gripping narrative even when one knows historically that landing sicily was success film it still is breathless moment when everyone is waiting news all tremendous effort leading up that moment is effectively conveyed by director unfortunately movie is marred by redundant romantic sub plot which seems like its another film makes film longer than necessary addition corpses fictional sister is also mistake it doesnt add anything apart cheap pathos scriptwriter made what could have been great film into curates egg disappointing,0.5444444444444444,0.11944444444444444,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.45, 'Fear': 0.23}"
5.0,Absolute boredom.,"Yes, it was that dull, bloated and disengaging sloth of a film, where the dragged out 128 min runtime was filled with lots of unnecessary yappity-yap of boring dialogue and subplots, and the constant annoying clickety-clack of typewriters.Even with such great British talent, we struggled to stay awake. Although the cinematography and beautiful era-based sets and wardrobe were excellent, writer Michelle Ashford and director John Madden managed to take such remarkable espionage true-based story, and turn it into a plodding, un-suspenseful bloated slog, and expects the audience to sit through said painful 2+ hours.I feel in the right filmmaker's hands, this could've been an epic tale. Sadly, it's only a generous 5/10 from me, all going to the cast who tried their best with what they were given, and the great sets.",absolute boredom,yes it was that dull bloated disengaging sloth film where dragged out 128 min runtime was filled with lots unnecessary yappity yap boring dialogue subplots constant annoying clickety clack typewriters even with such great british talent we struggled stay awake although cinematography beautiful era based sets wardrobe were excellent writer michelle ashford director john madden managed take such remarkable espionage true based story turn it into plodding un suspenseful bloated slog expects audience sit through said painful 2 hours i feel right filmmakers hands this couldve been epic tale sadly its only generous 5 10 me all going cast who tried their best with what they were given great sets,0.7112103174603175,0.10600198412698414,Positive,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.13, 'Sad': 0.27, 'Fear': 0.33}"
