Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,One of the best films of this decade,"I am remarkably stingy with my 10/10 ratings. I'll be the first person to acknowledge this. Of the roughly 2600 titles I've rated on here, only 34 have a 10. Parasite is one of them. If this isn't a masterpiece, then I don't know what is.I'm going to keep it vague on the plot-front, because I didn't know anything about it going in, and was really excited to see it progress and unfold in satisfying, unexpected ways.What I will say is that this film, more than just about any other I've seen, put me through so many different emotional states during its 132-minute runtime, and did so without ever feeling muddled or tonally inconsistent. Parts of this movie were hilarious. Parts were heartbreaking. Other parts were insanely suspenseful (I'm honestly not sure if I've felt this close to the edge of my seat since the final season of Breaking Bad, way back in 2013).And it does all this while being perfectly paced, beautifully directed, and amazingly acted from every single member of its cast. All the characters are understandable and sympathetic to some degree; the amount of conflict, drama and tension derived from a narrative with no clear heroes and villains is staggering. You come to care for just about all of them.I'm stumped to come up with any flaws for this movie. And sure, I've seen many movies that are hard to fault, but it's rare that a movie appeals to me on a gut level and excites me to this degree while also being so close to technically perfect. It's extremely entertaining, thoroughly moving in so many different ways, and as icing on the cake there's a ton of social commentary and some heavy themes to chew on once the movie's over (and this one's not going to leave my head for a while, I can tell).Catch this one when you can and believe the hype. Joon-Ho Bong has made many great films (and so far no bad one's), but this even manages to stand head and shoulders above all the others.When it comes time to consider what the best film of the 2010s was, this one will surely be up there.",one best films this decade,i am remarkably stingy with my 10 10 ratings ill be first person acknowledge this roughly 2600 titles ive rated here only 34 have 10 parasite is one them if this isnt masterpiece then i dont know what is im going keep it vague plot front because i didnt know anything about it going was really excited see it progress unfold satisfying unexpected ways what i will say is that this film more than just about any other ive seen put me through so many different emotional states during its 132 minute runtime did so without ever feeling muddled or tonally inconsistent parts this movie were hilarious parts were heartbreaking other parts were insanely suspenseful im honestly not sure if ive felt this close edge my seat since final season breaking bad way back 2013 it does all this while being perfectly paced beautifully directed amazingly acted every single member its cast all characters are understandable sympathetic some degree amount conflict drama tension derived narrative with no clear heroes villains is staggering you come care just about all them im stumped come up with any flaws this movie sure ive seen many movies that are hard fault but its rare that movie appeals me gut level excites me this degree while also being so close technically perfect its extremely entertaining thoroughly moving so many different ways as icing cake theres ton social commentary some heavy themes chew once movies over this ones not going leave my head while i can tell catch this one when you can believe hype joon ho bong has made many great films so far no bad ones but this even manages stand head shoulders above all others when it comes time consider what best film 2010s was this one will surely be up there,0.6553174603174604,0.24656084656084656,Positive,"{'Happy': 0.11, 'Angry': 0.02, 'Surprise': 0.22, 'Sad': 0.35, 'Fear': 0.31}"
8,"You name a genre, this movie covers it","I can't remember the last time I saw a movie that contained as many genres as 'Parasite'. The movie starts out almost like an 'Ocean's Eleven' heist film and then expands into a comedy, mystery, thriller, drama, romance, crime and even horror film. It really did have everything and it was strikingly good at all of them too.I love a film that respects its audience. There are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats. There are a lot of layers to this film and I suspect for this reason its rewatch-ability factor will be very high.The film was incredibly entertaining too. I can't think of a boring scene in this movie and yet on the surface for large parts of the film you would say not a lot is happening, at least in terms of action. Fascinating characters and brilliant dialogue are what create this. I had a great time with 'Parasite' and I think most that give it a chance will too.",you name genre this movie covers it,i cant remember last time i saw movie that contained as many genres as parasite movie starts out almost like oceans eleven heist film then expands into comedy mystery thriller drama romance crime even horror film it really did have everything it was strikingly good at all them too i love film that respects its audience there are so many details this movie that are crucially important yet film trusts its audience notice them acknowledge them without ramming them down our throats there are lot layers this film i suspect this reason its rewatch ability factor will be very high film was incredibly entertaining too i cant think boring scene this movie yet surface large parts film you would say not lot is happening at least terms action fascinating characters brilliant dialogue are what create this i had great time with parasite i think most that give it chance will too,0.5658959435626102,0.29259611992945334,Positive,"{'Happy': 0.19, 'Angry': 0.03, 'Surprise': 0.23, 'Sad': 0.19, 'Fear': 0.35}"
10,Thoroughly entertaining,"PARASITE is an excellent effort from Korean director Bong Joon Ho, a talent I've long admired since seeing THE HOST over a decade ago. He's had his ups and downs over the years, although they've generally been ups rather than downs, but this is perhaps his towering masterpiece. It's a quiet and reflective work, his maturist yet, a parable playing out which looks at class divide in a scathing and extremely telling way. The issue is universal, which is why this film did so well abroad (and at the Oscars), although I've been championing the quality of South Korean cinema for a long time. The technical qualities are exemplary and the acting is particularly astounding, with an unusual storyline building to an unexpected climax. A film that thoroughly entertains as well as making you think.",thoroughly entertaining,parasite is excellent effort korean director bong joon ho talent ive long admired since seeing host over decade ago hes had his ups downs over years although theyve generally been ups rather than downs but this is perhaps his towering masterpiece its quiet reflective work his maturist yet parable playing out which looks at class divide scathing extremely telling way issue is universal which is why this film did so well abroad at oscars although ive been championing quality south korean cinema long time technical qualities are exemplary acting is particularly astounding with unusual storyline building unexpected climax film that thoroughly entertains as well as making you think,0.6023809523809524,0.11607142857142858,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.35}"
10,For those who didn't like the movie because of its second half,"It's not really a review but my attempt to explain how I interpreted the movie to those who complain that the film is overrated, especially if the reason is that they didn't like the second half of it.It's much easier to understand the message of a movie when the 'good guys' win or the 'bad guys' get punished in the end. I'm not saying that all Hollywood films are so naive in their portrayal of moral values. But still, I believe that Parasite is much more subtle than most other movies that people are accustomed to watching in which there's a character with a clearer 'moral center' whom audiences can easily relate to. So, I think it's no surprise if the message of this film had failed to register for some of the audiences.Some complained that they don't understand Ki-Taek's motive for killing Mr. Park. But to fully appreciate this, you need to understand the meaning of a recurring expression in the dialogue which is, ""crossing the line"".It's a deliberately ambiguous phrase that can either read as one should respect other people's privacy or as one should mind one's own (social) position instead of meddling with the affairs of those in a different position. If interpreted as the latter meaning, it can serve as another image that emphasizes the subject matter of the narrative, along with more easy to notice the metaphor of the two families' respective dwellings.It would probably have satisfied such audiences who expected more lighthearted drama if the movie focused on an underprivileged, but more likable family exploiting a cold hearted snobbish family in a comical manner. But the movie would have lost all its genuine charms if Bong Joon-Ho chose such a path, and he is too good a director not to see such a danger.Instead, he chose to make Mr. Park a reasonable enough character, despite his occasional hints that reveal his true nature. He seems to treat Ki-Taek fairly enough at first, but he also warns the latter not to 'cross the line' if Ki-Taek attempts to pry into his private life.At first, it seems that it's quite easy for Ki-Taek and other members of his family to sneak into Mr. Park's house in various roles and mingle with them. Ki-Taek even compliments how nice Mr. Park's family is, but his premature admiration soon gets challenged when he overheard, when he was hiding under the table, what Mr. Park really thinks of him - almost a different species of the human being who doesn't even smell like him.Ki-Taek's final disillusionment came when Mr. Park cringes from the smell of the dead basement dweller and shows much more concern for his son's shock while virtually ignoring Ki-Taek's daughter's status who's dying on the ground, spurting blood from the stab wound.That moment, Ki-Taek realizes how Mr. Park sees him and his whole family as not an equal human being, but something much more insignificant.And he also realizes the 'line' that separates the two families is not just that of courtesy or proper social behaviour. Instead, it is a line that can even determine the life of those 'lesser' human beings to be less important than the passing unpleasant feelings or mental shock of those 'proper' human beings.However easy it was for Ki-Taek's family to sneak into Mr. Park's house, or however they try to socialize and mingle with Mr. Park's family, their existence is no better than that of a 'parasite', which is also visualized so effectively by the presence of the hidden basement room inside the house.With such disillusionment and anger, Ki-Taek chose to kill Mr. Park, as a parasite could to its host, and like a parasite, he keeps hiding deep inside the dead host's body until he could claim the whole of the carcass and use it as nourishment for his offsprings.The tragedy was not something caused by any exceptional defect or vice of either Mr. Park's or Ki-Taek's personalities. Instead, it's a 'line' drawn by an invisible hand, separating those classes according to their respective social conditions, which can be so brutal as to be able to deprive the two families of their humanity in contrasting manners. And that is what I believe to be the message this film is trying to convey.Of course, not every movie must make a commentary on society rather than providing a care-free pastime that everyone can understand.But without if the movie didn't change its gear in the second half to shed light on a serious inherent problem of our society, it would be just another heist gone wrong type comedy, instead of a deserving candidate to be called the best film of the year.",those who didnt like movie because its second half,its not really review but my attempt explain how i interpreted movie those who complain that film is overrated especially if reason is that they didnt like second half it its much easier understand message movie when good guys win or bad guys get punished end im not saying that all hollywood films are so naive their portrayal moral values but still i believe that parasite is much more subtle than most other movies that people are accustomed watching which theres character with clearer moral center whom audiences can easily relate so i think its no surprise if message this film had failed register some audiences some complained that they dont understand ki taeks motive killing mr park but fully appreciate this you need understand meaning recurring expression dialogue which is crossing line its deliberately ambiguous phrase that can either read as one should respect other peoples privacy or as one should mind ones own social position instead meddling with affairs those different position if interpreted as latter meaning it can serve as another image that emphasizes subject matter narrative along with more easy notice metaphor two families respective dwellings it would probably have satisfied such audiences who expected more lighthearted drama if movie focused underprivileged but more likable family exploiting cold hearted snobbish family comical manner but movie would have lost all its genuine charms if bong joon ho chose such path he is too good director not see such danger instead he chose make mr park reasonable enough character despite his occasional hints that reveal his true nature he seems treat ki taek fairly enough at first but he also warns latter not cross line if ki taek attempts pry into his private life at first it seems that its quite easy ki taek other members his family sneak into mr parks house various roles mingle with them ki taek even compliments how nice mr parks family is but his premature admiration soon gets challenged when he overheard when he was hiding under table what mr park really thinks him almost different species human being who doesnt even smell like him ki taeks final disillusionment came when mr park cringes smell dead basement dweller shows much more concern his sons shock while virtually ignoring ki taeks daughters status whos dying ground spurting blood stab wound that moment ki taek realizes how mr park sees him his whole family as not equal human being but something much more insignificant he also realizes line that separates two families is not just that courtesy or proper social behaviour instead it is line that can even determine life those lesser human beings be less important than passing unpleasant feelings or mental shock those proper human beings however easy it was ki taeks family sneak into mr parks house or however they try socialize mingle with mr parks family their existence is no better than that parasite which is also visualized so effectively by presence hidden basement room inside house with such disillusionment anger ki taek chose kill mr park as parasite could its host like parasite he keeps hiding deep inside dead hosts body until he could claim whole carcass use it as nourishment his offsprings tragedy was not something caused by any exceptional defect or vice either mr parks or ki taeks personalities instead its line drawn by invisible hand separating those classes according their respective social conditions which can be so brutal as be able deprive two families their humanity contrasting manners that is what i believe be message this film is trying convey course not every movie must make commentary society rather than providing care free pastime that everyone can understand but without if movie didnt change its gear second half shed light serious inherent problem our society it would be just another heist gone wrong type comedy instead deserving candidate be called best film year,0.4527210884353742,0.0901360544217687,Positive,"{'Happy': 0.1, 'Angry': 0.05, 'Surprise': 0.28, 'Sad': 0.12, 'Fear': 0.45}"
10,Meritocracy: it's metaphorical,"In a meritocracy, success and fortune are reserved for those who deserve it--those who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination. Anyone can rise to the top, and for some lucky Cinderella, plucked from the cinders and gussied up in gowns, the meritocracy represents the heights of perfect egalitarian society: ""I started with nothing and ended up with everything I ever desired; you, too, can achieve you dreams, if only you try.""The promise of unobstructed sunshine at the top of the mountain becomes justification for bitter competition, backstabbing, deceit, and callousness. You climb the crooked ladder until you make it to the straight one, and then, perhaps, when you at last feel secure, you can afford to be kind and confident and generous. ""It's easy to be nice when you're rich,"" the mother in this film (Jang Hye-jin) at one point observes.But it's a very long and very crooked ladder, and sometimes the rungs give out beneath your grip, and sometimes they've been dangerously greased by those who climbed before you, and sometimes the ladder itself is simply kicked down--either by those above you or, just as often, by those staring up from the ground below. There are a lot of people trying to climb that one ladder.But in a meritocracy, you can't blame the ladder or the other people trying to climb it. Nor can you blame the fact that all the good stuff is kept so many stories up instead of down at the ground where everyone can easily reach it. No, you must blame yourself. You should have tread more carefully. You should have climbed more quickly. You should have used a firmer and more precise grip, anticipated disasters, and known just when to leap. If you fail in a meritocracy, it's all your fault. You should have tried harder. Better luck next time.Kim Ki-woo (Choi Woo-sik), the young man who is the main character of PARASITE, several times refers to ""metaphors,"" and the film itself is, of course, a metaphor. On a surface level, viewers are treated to a very thrilling, engaging, well-paced and well-plotted crime story. At all times, however, bubbling up from beneath the slick surface of this genre film, there are deeply personal, meaningful truths that should resonate with almost any viewer. These insights are rarely foregrounded. They are so subtly interwoven, in fact, that if you're like me, you may be completely surprised when the final shots of the film roll and you realize that you are emotionally devastated by the intimate, humanist story you've just witnessed. Bong Joon-ho's filmmaking is so extraordinary here that he'll make you fully invested in the lives of his characters without you even realizing he's done so.I want to avoid spoilers here, but suffice it to say that PARASITE is a masterpiece--beautifully lensed, enthrallingly edited, superbly acted, and intimately involving.South Korea has a population that is one sixth the size of the United States, and that population is stacked into skyscrapers in an area slightly smaller than the state of Kentucky. Higher education is widespread, so parents with means try to make their children stand above the pack by hiring them tutors and signing them up for extracurriculars and afterschool programs. I lived in Korea once, and the children I taught there were sometimes engaged in learning ten to twelve hours a day, six days a week--public school, English-immersion private school, piano class, soccer team, taekwondo, math camp, chess club, and so on. I routinely worked sixty to seventy hours a week on salary, but at bars I would meet young men my age who were expected to work far more than that, who slept at their desks so that they did not need to pry themselves from work for too long. As the father (Song Kang-ho) in the film at one point says, this is a country where fifty young men with college degrees apply for a mere security guard job. One can't afford not to struggle.The themes of this story are not just localized to Korea, however. They are the story of global capitalism, and the specter of American materialism (and imperialism; note the ""Indians"") looms heavily over the film. Meritocracy makes cannibals of us all. It's nice to dream, and sometimes the dreamers who plan and struggle well enough can indeed climb out of the basement and into the sunshine, and how nice an ending it is when they do. But the film also makes it clear that sometimes all that planning and dreaming may be, maybe, just whims and fancy. More often, it seems, our pipe dreams are content to leave us with nothing more than the whiff of spewed sewage.",meritocracy its metaphorical,meritocracy success fortune are reserved those who deserve it those who develop solid plans according their talents abilities who execute those plans through hard work determination anyone can rise top some lucky cinderella plucked cinders gussied up gowns meritocracy represents heights perfect egalitarian society i started with nothing ended up with everything i ever desired you too can achieve you dreams if only you try promise unobstructed sunshine at top mountain becomes justification bitter competition backstabbing deceit callousness you climb crooked ladder until you make it straight one then perhaps when you at last feel secure you can afford be kind confident generous its easy be nice when youre rich mother this film jang hye jin at one point observes but its very long very crooked ladder sometimes rungs give out beneath your grip sometimes theyve been dangerously greased by those who climbed before you sometimes ladder itself is simply kicked down either by those above you or just as often by those staring up ground below there are lot people trying climb that one ladder but meritocracy you cant blame ladder or other people trying climb it nor can you blame fact that all good stuff is kept so many stories up instead down at ground where everyone can easily reach it no you must blame yourself you should have tread more carefully you should have climbed more quickly you should have used firmer more precise grip anticipated disasters known just when leap if you fail meritocracy its all your fault you should have tried harder better luck next time kim ki woo choi woo sik young man who is main character parasite several times refers metaphors film itself is course metaphor surface level viewers are treated very thrilling engaging well paced well plotted crime story at all times however bubbling up beneath slick surface this genre film there are deeply personal meaningful truths that should resonate with almost any viewer these insights are rarely foregrounded they are so subtly interwoven fact that if youre like me you may be completely surprised when final shots film roll you realize that you are emotionally devastated by intimate humanist story youve just witnessed bong joon hos filmmaking is so extraordinary here that hell make you fully invested lives his characters without you even realizing hes done so i want avoid spoilers here but suffice it say that parasite is masterpiece beautifully lensed enthrallingly edited superbly acted intimately involving south korea has population that is one sixth size united states that population is stacked into skyscrapers area slightly smaller than state kentucky higher education is widespread so parents with means try make their children stand above pack by hiring them tutors signing them up extracurriculars afterschool programs i lived korea once children i taught there were sometimes engaged learning ten twelve hours day six days week public school english immersion private school piano class soccer team taekwondo math camp chess club so i routinely worked sixty seventy hours week salary but at bars i would meet young men my age who were expected work far more than that who slept at their desks so that they did not need pry themselves work too long as father song kang ho film at one point says this is country where fifty young men with college degrees apply mere security guard job one cant afford not struggle themes this story are not just localized korea however they are story global capitalism specter american materialism imperialism note indians looms heavily over film meritocracy makes cannibals us all its nice dream sometimes dreamers who plan struggle well enough can indeed climb out basement into sunshine how nice ending it is when they do but film also makes it clear that sometimes all that planning dreaming may be maybe just whims fancy more often it seems our pipe dreams are content leave us with nothing more than whiff spewed sewage,0.5115422300607486,0.17663237311385452,Positive,"{'Happy': 0.13, 'Angry': 0.07, 'Surprise': 0.19, 'Sad': 0.21, 'Fear': 0.4}"
10,A true masterpiece.,"This movie is a gosh darn masterpiece. It will make you belly laugh, it will chill you to the bone, and it will make you shed a tear. This movie will stay with you long after the credits are over.If you plan on watching this movie, AVOID SPOILERS AT ALL COSTS.",true masterpiece,this movie is gosh darn masterpiece it will make you belly laugh it will chill you bone it will make you shed tear this movie will stay with you long after credits are over if you plan watching this movie avoid spoilers at all costs,0.3833333333333333,0.19999999999999996,Positive,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.38, 'Sad': 0.31, 'Fear': 0.23}"
10,Great,The most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time. The narrative and the actors were excellent. One of the better endings of a movie in quite a while. Class warfare at its best.,great,most original film 2019 it is wickedly funny darkly disturbing all at same time narrative actors were excellent one better endings movie quite while class warfare at its best,0.6361111111111111,0.4361111111111111,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.57, 'Sad': 0.0, 'Fear': 0.14}"
10,Thought It Might Win Best Foreign Movie,"When the buddy who got into college tells him he's moving to the US, and he's passing on the 14-year-old he's been tutoring -- just tell 'em you're enrolled in college, even though you aren't -- the son of a family so low class they've sunk through the foundation finds them very nice, very accepting, and very clueless. So he and his layabout family get all the help fired; his sister is hired as an art psychologist to help the sister, the father as the new chauffeur, and the mother as the cook/housekeeper. Yet even though you don't see them, there are vermin living in the foundations, and they come out when the people in charge aren't around.It's a movie that starts out as a situation comedy and then abruptly changes gears into horror, with a script that handles the theme of the people we don't see because they're not our problem in a way that jostles the boundaries of symbolic and mimetic fiction in a very disturbing fashion. When I saw it in a theater during its New York run, I was impressed. I was convinced it would be nominated for Best Foreign Movie, and might even win!",thought it might win best foreign movie,when buddy who got into college tells him hes moving us hes passing 14 year old hes been tutoring just tell em youre enrolled college even though you arent son family so low class theyve sunk through foundation finds them very nice very accepting very clueless so he his layabout family get all help fired his sister is hired as art psychologist help sister father as new chauffeur mother as cook housekeeper yet even though you dont see them there are vermin living foundations they come out when people charge arent around its movie that starts out as situation comedy then abruptly changes gears into horror with script that handles theme people we dont see because theyre not our problem way that jostles boundaries symbolic mimetic fiction very disturbing fashion when i saw it theater during its new york run i was impressed i was convinced it would be nominated best foreign movie might even win,0.47869318181818177,0.32048295454545456,Positive,"{'Happy': 0.11, 'Angry': 0.07, 'Surprise': 0.39, 'Sad': 0.25, 'Fear': 0.18}"
7,Parasite,"Parasite became the first foreign language film to win the Best Picture Oscar. The first third of the film had me wondering why.The film opens in a dilapidated, smelly semi basement in South Korea. The Kim family is so poor that they need to borrow a neighbour's wifi and lose it when it becomes password protected. They make a living by folding cardboard pizza boxes.Dad, Ki-taek is the weak link. He cannot even fold the boxes properly so their meagre wages are deducted. Son, Ki-woo gets a stroke of fortune, when a friend helps him get a well paid tutoring job with a fake diploma. Ki-woo tutors the daughter of of the wealthy Park family who live in a lavish mansion. Soon Ki-woo gets his sister Ki-jung a job as an art tutor for the disruptive younger son.The wily Ki-jung conspires to get the Park's family chauffeur fired and have him replaced by their father. Before long they manoeuvre to get the housekeeper dismissed by preying on her allergy to peaches and be replaced by their mother Chung-sook.All of them claim to be strangers to the Park family, pretty soon the Kim's are earning good money and living well. They are street smart who have taken advantage of the naivety of the wealthy Parks.Their good fortune is threatened when one night when the Park's are away on a break, the former housekeeper returns looking for something she left behind.I thought the movie would turn out to be similar to Joseph Losey's The Servant which was scripted by Harold Pinter. It goes in that direction but then swerves off.When Bong Joon Ho accepted his best director Oscar he publicly thanked Martin Scorsese. It was his movies Bong studied in film school. The key is Scorsese's own British influences ranging from Ealing Films, Hitchcock to Powell & Pressburger.There is a parasite in the Park household but the film is about class. A fatalistic, metaphorical dark comedy which morphs into a twisted blood soaked tragedy.Parasite has a heightened reality, the Parks are wealthy who never look down even in their own house as they have no need to. They are nice but when one of them inadvertently mentions the odour of ordinary working people, like those who travel in crowded tube trains, they seal their fate.Bong shows that those in the bottom rung of South Korean society cannot advance very far. Ki-woo has a dream but it is more likely to be dashed, fate and fortune will ensure of that.",parasite,parasite became first foreign language film win best picture oscar first third film had me wondering why film opens dilapidated smelly semi basement south korea kim family is so poor that they need borrow neighbours wifi lose it when it becomes password protected they make living by folding cardboard pizza boxes dad ki taek is weak link he cannot even fold boxes properly so their meagre wages are deducted son ki woo gets stroke fortune when friend helps him get well paid tutoring job with fake diploma ki woo tutors daughter wealthy park family who live lavish mansion soon ki woo gets his sister ki jung job as art tutor disruptive younger son wily ki jung conspires get parks family chauffeur fired have him replaced by their father before long they manoeuvre get housekeeper dismissed by preying her allergy peaches be replaced by their mother chung sook all them claim be strangers park family pretty soon kims are earning good money living well they are street smart who have taken advantage naivety wealthy parks their good fortune is threatened when one night when parks are away break former housekeeper returns looking something she left behind i thought movie would turn out be similar joseph loseys servant which was scripted by harold pinter it goes that direction but then swerves off when bong joon ho accepted his best director oscar he publicly thanked martin scorsese it was his movies bong studied film school key is scorseses own british influences ranging ealing films hitchcock powell pressburger there is parasite park household but film is about class fatalistic metaphorical dark comedy which morphs into twisted blood soaked tragedy parasite has heightened reality parks are wealthy who never look down even their own house as they have no need they are nice but when one them inadvertently mentions odour ordinary working people like those who travel crowded tube trains they seal their fate bong shows that those bottom rung south korean society cannot advance very far ki woo has dream but it is more likely be dashed fate fortune will ensure that,0.5362840862840863,0.1621818921818921,Positive,"{'Happy': 0.22, 'Angry': 0.01, 'Surprise': 0.27, 'Sad': 0.13, 'Fear': 0.36}"
9,Multilayered portrayal of the real Korea,"This is a movie about a class struggle in South Korea, like what movie ""Us"" attempts to do but done properly. It is a stark reminder of what true living standards for most South Koreans look like, and its realism is very painful. Few are aware of the fact that up to the 1980s, South Korea was in fact more impoverished than North Korea, and it was only late that the situation reversed with famines of the 90s etc, but many people still live miserable lives, and situation is very similar to that in China, where a few got gloriously rich but the urban masses still live in bug infested cheap dwellings.Some crafty members of this underclass manage to con contemptuous rich man into employing them as his servants. For many Asians smell is a way to express utter contempt, and this is often directed against the white people, who, being able to process milk, smell ""like butter"" and are seen in rac ist light as unclean, but the same rac ist contempt is directed towards the poor. The poor accept these valuations and fight for the crumbles, like roaches in the dark, but in life and death situations, resentment might boil up and the contempt might cost the rich their empty heads.The movie paints a sad picture of modern East Asian societies, with many subtle points, criticizes their culture and emulation of the America, with a few cruel but precise strokes. The sheer talent of the Korean filmmaker, but also the fact that West likes movies from foreign countries that are self bashing, allowing the worst condescension rooted in colonialism that failed miserably in East Asia to thrive, one more reason to cheer this slightly overrated movie.",multilayered portrayal real korea,this is movie about class struggle south korea like what movie us attempts do but done properly it is stark reminder what true living standards most south koreans look like its realism is very painful few are aware fact that up 1980s south korea was fact more impoverished than north korea it was only late that situation reversed with famines 90s etc but many people still live miserable lives situation is very similar that china where few got gloriously rich but urban masses still live bug infested cheap dwellings some crafty members this underclass manage con contemptuous rich man into employing them as his servants many asians smell is way express utter contempt this is often directed against white people who being able process milk smell like butter are seen rac ist light as unclean but same rac ist contempt is directed towards poor poor accept these valuations fight crumbles like roaches dark but life death situations resentment might boil up contempt might cost rich their empty heads movie paints sad picture modern east asian societies with many subtle points criticizes their culture emulation america with few cruel but precise strokes sheer talent korean filmmaker but also fact that west likes movies foreign countries that are self bashing allowing worst condescension rooted colonialism that failed miserably east asia thrive one more reason cheer this slightly overrated movie,0.5438652482269504,-0.025261121856866527,Negative,"{'Happy': 0.05, 'Angry': 0.05, 'Surprise': 0.1, 'Sad': 0.31, 'Fear': 0.5}"
