Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,The dark underbelly- Casteism,"Something we don't notice in our daily civil life, something we get to see only if the situation arises or if you live in a caste infested area. Amazing how this movie brings it out in the open, compel us to think and also keeps us engaged throughout. The story is not complex, yet it brings you to the edge of your seat at moments. It is filled with symbolism, especially a scene where it symbolizes that casteism commits suicide. Beautiful. It doesn't show oppression solely by creating sympathy and showing the oppressed class getting further and further oppressed unlike in some movies. You feel for the hero, you're with him and cheer for him. Overall, it's an important part of movie history about casteism.",dark underbelly casteism,something we dont notice our daily civil life something we get see only if situation arises or if you live caste infested area amazing how this movie brings it out open compel us think also keeps us engaged throughout story is not complex yet it brings you edge your seat at moments it is filled with symbolism especially scene where it symbolizes that casteism commits suicide beautiful it doesnt show oppression solely by creating sympathy showing oppressed class getting further further oppressed unlike some movies you feel hero youre with him cheer him overall its important part movie history about casteism,0.6142857142857142,0.17045454545454544,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.33, 'Fear': 0.42}"
8.0,Caste and religion are against humanity,"Caste and religion are against humanity.This is the disclaimer the movie shows before it begins.India has immense levels of caste and religious politics, honor killing, lower GDP in lower castes. All 3 points are part of the story. Hope the new and upcoming generations give more importance and show kindness towards the people and animals next to them rather than the idea of a dividing supernatural power.",caste religion are against humanity,caste religion are against humanity this is disclaimer movie shows before it begins india has immense levels caste religious politics honor killing lower gdp lower castes all 3 points are part story hope new upcoming generations give more importance show kindness towards people animals next them rather than idea dividing supernatural power,0.46186868686868693,0.13383838383838384,Positive,"{'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.57}"
10.0,Speaks humanity,"New kinda film for tamil cinema , this was never spoken so openly by anyone before which exists everywhere . that content may be a political thing but the way it was told was purely art related as a movie also it stands tall",speaks humanity,new kinda film tamil cinema this was never spoken so openly by anyone before which exists everywhere that content may be political thing but way it was told was purely art related as movie also it stands tall,0.39090909090909093,0.07012987012987013,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.14, 'Fear': 0.71}"
10.0,Excellent,"Master piece movie of the year Really liked the movie One of the best film in Indian cinema about caste system and stuff, every Indian must watch this film, hats off to the director. Pride of Tamil cinema.",excellent,master piece movie year really liked movie one best film indian cinema about caste system stuff every indian must watch this film hats off director pride tamil cinema,0.7000000000000001,0.8666666666666667,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.11}"
9.0,Another intense film after merku thodarchi malai.,"I don't want to be spoiler by saying the whole story. Pariyerum perumal is not a film. It's a life. This is a film about a castism. But this is not a film only about castism. The film explores our daily life of rural people who are crushed by a higher class people. This film explains whatever the rural people do for there development they can't reach their destination in this society. First of all hatsoff to the director MARISELVARAJ for given this wonderful art.  This film make the audience to journey with a whole characters in this film. The film turned in to good film only by good written work, good cinematography, good music and all the good technical aspects. And this film deserved all this things. And again i don't want speak more about this film. This is the milestone film of tamil cinema. so the audience must suppport this type of films instead of dumb commercial films.",another intense film after merku thodarchi malai,i dont want be spoiler by saying whole story pariyerum perumal is not film its life this is film about castism but this is not film only about castism film explores our daily life rural people who are crushed by higher class people this film explains whatever rural people do there development they cant reach their destination this society first all hatsoff director mariselvaraj given this wonderful art this film make audience journey with whole characters this film film turned good film only by good written work good cinematography good music all good technical aspects this film deserved all this things again i dont want speak more about this film this is milestone film tamil cinema so audience must suppport this type films instead dumb commercial films,0.4682539682539682,0.2678571428571429,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.04, 'Fear': 0.42}"
9.0,A riveting piece of cinema that enthralls you throughout,"This is one of the best Tamil movies in recent times, and is worth every praise that's coming its way.I watched this movie with no idea of what it was about or what to expect. Right from the first frame, the movie looked different, and by the time the first song played out, I was rubbing my hands in anticipation of something out of the ordinary. This movie grabs you by the scruff of your neck, shakes you out of your slumber, and keeps you rooting for the protagonist throughout the run-time. Your soul cries when he is hurt. Your mind gets angry when he is angry. And then, your heart aches when he bears all the torment single handedly, before his spirit gives him enough courage to stand up and fight for what is rightfully his.The fact that there is a very strong message of how casteism maims and kills humanity - literally and in spirit - is brought out inherently, and yet very strongly.Pariyerum Perumal also straddles the line dividing art-house and mainstream cinema without resorting to any formulaic solutions. Direction is top notch, as is the screenplay and editing. The songs are out of the ordinary, and downright wacky at times! It adds to what is already a good movie, making it even better. Art direction and cinematography is again beautiful and brings out the drama on screen very effectively. The production team has used colors and symbolism to match the story intrinsically. The role of Karuppi, the dog, as the flesh-and-spirit companion and metaphor for the hero is commendable.Kathir, as the protagonist, has done a stellar job and is well supported by all the other actors. Marimuthu, Lijeesh, Karate Venkatesan, Anthony Dasan, and others have all played their roles very well, and Yogi Babu adds a comic touch to the proceedings without the comedy track being any way detrimental to the story-telling.The one possible sore point to bring out is the portrayal of the female lead as someone who is very sweet and innocent and is kept completely isolated from all the raging violence and caste oppression. However, that portrayal forms the very basis of the story-line and gels well in the story. In her own way, the heroine is true to her heart and stands up for her beliefs without fear of ostracization or retribution, albeit in innocence. Also, without giving away too much in terms of a spoiler, the Director does not paint every character from the upper caste as being inhumane.This movie is as much about oppression as it is about optimism. Add this movie in your watch-list as a must-see.",riveting piece cinema that enthralls you throughout,this is one best tamil movies recent times is worth every praise thats coming its way i watched this movie with no idea what it was about or what expect right first frame movie looked different by time first song played out i was rubbing my hands anticipation something out ordinary this movie grabs you by scruff your neck shakes you out your slumber keeps you rooting protagonist throughout run time your soul cries when he is hurt your mind gets angry when he is angry then your heart aches when he bears all torment single handedly before his spirit gives him enough courage stand up fight what is rightfully his fact that there is very strong message how casteism maims kills humanity literally spirit is brought out inherently yet very strongly pariyerum perumal also straddles line dividing art house mainstream cinema without resorting any formulaic solutions direction is top notch as is screenplay editing songs are out ordinary downright wacky at times it adds what is already good movie making it even better art direction cinematography is again beautiful brings out drama screen very effectively production team has used colors symbolism match story intrinsically role karuppi dog as flesh spirit companion metaphor hero is commendable kathir as protagonist has done stellar job is well supported by all other actors marimuthu lijeesh karate venkatesan anthony dasan others have all played their roles very well yogi babu adds comic touch proceedings without comedy track being any way detrimental story telling one possible sore point bring out is portrayal female lead as someone who is very sweet innocent is kept completely isolated all raging violence caste oppression however that portrayal forms very basis story line gels well story her own way heroine is true her heart stands up her beliefs without fear ostracization or retribution albeit innocence also without giving away too much terms spoiler director does not paint every character upper caste as being inhumane this movie is as much about oppression as it is about optimism add this movie your watch list as must see,0.5502564102564101,0.2115628815628815,Positive,"{'Happy': 0.09, 'Angry': 0.09, 'Surprise': 0.23, 'Sad': 0.31, 'Fear': 0.29}"
10.0,Pariyerum Perumal,Excellent Movie. Kathir and everybody acted very well in the movie. Yogi Babu's comedy in the movie was also excellent. Songs and BGM in the movie was also so good. The movie had no boring scene. Some scenes are so sad. The movie has an excellent message. One of the best movie of 2018.,pariyerum perumal,excellent movie kathir everybody acted very well movie yogi babus comedy movie was also excellent songs bgm movie was also so good movie had no boring scene some scenes are so sad movie has excellent message one best movie 2018,0.775,0.6125,Positive,"{'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.0}"
10.0,"Deep intense movie, brilliantly narrated script.",A must watch movie for all. Go and watch with your families.Lets the change begins with our generation atleast.,deep intense movie brilliantly narrated script,must watch movie all go watch with your families lets change begins with our generation atleast,0.7999999999999999,0.3666666666666667,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.75, 'Sad': 0.25, 'Fear': 0.0}"
10.0,Best movie of the year/decade,"A simple, engaging story with heavy content. Big kudos to the team Mari Selvaraj, Santhosh Narayanan, Pa. Ranjith , Kathir, Anandhi, Yogi Babu for giving this gem. Please do watch it in theatres.",best movie year decade,simple engaging story with heavy content big kudos team mari selvaraj santhosh narayanan pa ranjith kathir anandhi yogi babu giving this gem please do watch it theatres,0.39142857142857146,0.24,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
8.0,Tamil Cinema is BLESSED to have such a Socially Powerful Classic film.,"Pariyerum Perumal (2018) : Brief Review -Tamil Cinema is BLESSED to have such a Socially Powerful Classic film. I remember watching Nagraj Manjule's ""Fandry"" for throwing a stone at many issues of the society and then ""Sairat"" for stunning classification of Honour Killing and Casteism. The reason i mentioned these two films is that i have not seen many filmmakers trying to make such cinema in all realiatic manners to showcase brutal reality from lower areas and try to stop it somehow by sending a tight slap through cinematic medium. Finally my wait seems to be ended with Pariyerum Perumal and if i can say so then this is an Intermediate version of those two films yet finding complete originality and credibility of it's own storyline. The film has a heartbreaking and disturbing concept causing anxiety towards how lower cast people bear so much humiliation and torture afterall. A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this. This might seem highly repetitive concept but wait.. you have different problems, different conflicts, different issues and different society here to deal with so please try finding something new in it because it is there only somewhere hidden in small small nuances. I literally broke down while watching couple of scenes and some scenes made me jump out from my seat. I mean, it was so connective subject to any common man unless you belong to those evil tribe of inhuman creatures. Acting, writing, cinematography, dialogues, background score, lyrics, direction and overall presentation everything is top class here. I have no complaints to make except for the predictable positive climax being too generous. I think there could have been something stunning, sensational and mind shattering in the final scene which might have left our brain thinking over it for sometime. Rest, it's a Top Quality Classic from Tamil Cinema, yes the same industry who make cheap films in mainstream orientation.RATING - 8/10*By - #samthebestest",tamil cinema is blessed have such socially powerful classic film,pariyerum perumal 2018 brief review tamil cinema is blessed have such socially powerful classic film i remember watching nagraj manjules fandry throwing stone at many issues society then sairat stunning classification honour killing casteism reason i mentioned these two films is that i have not seen many filmmakers trying make such cinema all realiatic manners showcase brutal reality lower areas try stop it somehow by sending tight slap through cinematic medium finally my wait seems be ended with pariyerum perumal if i can say so then this is intermediate version those two films yet finding complete originality credibility its own storyline film has heartbreaking disturbing concept causing anxiety towards how lower cast people bear so much humiliation torture afterall law student lower caste begins friendship with his classmate girl who belongs higher caste men her family start giving him trouble over this this might seem highly repetitive concept but wait you have different problems different conflicts different issues different society here deal with so please try finding something new it because it is there only somewhere hidden small small nuances i literally broke down while watching couple scenes some scenes made me jump out my seat i mean it was so connective subject any common man unless you belong those evil tribe inhuman creatures acting writing cinematography dialogues background score lyrics direction overall presentation everything is top class here i have no complaints make except predictable positive climax being too generous i think there could have been something stunning sensational mind shattering final scene which might have left our brain thinking over it sometime rest its top quality classic tamil cinema yes same industry who make cheap films mainstream orientation rating 8 10 by,0.5204850988014252,0.03827230026209618,Positive,"{'Happy': 0.11, 'Angry': 0.1, 'Surprise': 0.34, 'Sad': 0.3, 'Fear': 0.15}"
