Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Heart-warming,"Face of Indian Cinema Mammootty is back with an awsome performance after a decade to Tamil industry. Director Ram's perfect film making method!! Sadhana as Paappa brings an astonishing performance. Very sensitive story, a deep relation between father and daughter. Brilliant cinematography and music.",heart warming,face indian cinema mammootty is back with awsome performance after decade tamil industry director rams perfect film making method sadhana as paappa brings astonishing performance very sensitive story deep relation between father daughter brilliant cinematography music,0.7333333333333334,0.42166666666666663,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.5, 'Fear': 0.12}"
10,Perfect twelve,"Mammootty transforms into Amudhan, the father while Sadhana astonishes us as the spastic child. Through the last few months of waiting, from the trailers, the impression was that the spastic child in the trailer was actually a spastic child. Not one moment where the real Sadhana flickers through. Always Paapa, the character.While Amudhan is always playing the caretaker role, carrying the responsibility of raising his spastic child, one chapter is devoted to Amudhan and his tribulations. That was the chapter where Mammootty stood up and declared that he is indeed world class, the best of the best. Performance reminiscent of Amaram, and perhaps even better. There are other magical strokes too that come through at various points as would from an honest, realistic narrative of a storyline centered around being a spastic child, and raising a spastic child.It is however also true that the admiration for Mammootty meant that you could never only see Amudhan on the screen. When simple non-melodramatic close up shots of Amudhan surface on the screen, you cannot but feel the Mammootty aura.The movie asks you very direct questions and gives you many blatant truths. It is not designed to make the viewer cry. While the subject can easily lead into such moments, by design, the movie has been kept even keel.While the narrative is slow, there is so much content to wade through that it will take some time for the experience to sink in. Perfection shines through in many scenes. Trailers that had been released are unedited scenes from the movie as is. They have a completeness to them as is. Through slow and seemingly mundane scenes, the movie suddenly takes a strong stand that you cannot ignore, or reveals something new that you did not see coming.To all the ""retired peacefully"" lifestyle seekers, the movie asks whether you would let a spastic child live in your neighborhood if she screams uncontrollably at night? That is how the movie starts. Forced into exile, Amudhan seeks to live with his daughter in an isolated house in a beautiful valley where the mist and the mountains give the cameraman a canvas. Tarkovsky's mists had set too high a standard in my mind to be met here in Peranbu, but the sights were really nice, though the mist seems to have been sped up a bit that did not feel as natural.In a matter of a couple of seemingly slow scenes, the movie communicates that the daughter is not initially close to her father and then just as effortlessly brings them together with very realistic beautiful small incidents with background music that gels everything together nicely. No fanfare. Just honesty. This promise has been kept all through the movie as the movie asks one tough question after another and files open complaints against the injustices that it sees in the protagonists' world.The movie addresses the challenging question of sexuality of a spastic child in a few of it's later chapters. Her sexuality is as real as any other teenager's while her being a spastic adds an incongruent challenge to it. The movie addresses the subject forthrightly. There is a scene where the overload of information on the subject destabilizes Amudhan leading to a minor accident. That scene is beautifully open to interpretation.There have been so many movies made already and the typical challenge is to be able to say anything at all that is new. Peranbu comes across as if it is unaware of any such challenges. There is so much that the movie says. Filled with insights, the movie is impossible to ignore.The music and background score of the movie has been excellent and aligns very well with the communication style that the movie has adopted. Emotional, but at the same time, simple.Casting has been perfect. Every single character in the movie has found the right actor to represent him/her. Presented as twelve chapters, but still very nicely integrated, editing has been very good. Camera work has been subtle and gentle for most of the movie. Great story, great screenplay, masterful direction - a must watch!",perfect twelve,mammootty transforms into amudhan father while sadhana astonishes us as spastic child through last few months waiting trailers impression was that spastic child trailer was actually spastic child not one moment where real sadhana flickers through always paapa character while amudhan is always playing caretaker role carrying responsibility raising his spastic child one chapter is devoted amudhan his tribulations that was chapter where mammootty stood up declared that he is indeed world class best best performance reminiscent amaram perhaps even better there are other magical strokes too that come through at various points as would honest realistic narrative storyline centered around being spastic child raising spastic child it is however also true that admiration mammootty meant that you could never only see amudhan screen when simple non melodramatic close up shots amudhan surface screen you cannot but feel mammootty aura movie asks you very direct questions gives you many blatant truths it is not designed make viewer cry while subject can easily lead into such moments by design movie has been kept even keel while narrative is slow there is so much content wade through that it will take some time experience sink perfection shines through many scenes trailers that had been released are unedited scenes movie as is they have completeness them as is through slow seemingly mundane scenes movie suddenly takes strong stand that you cannot ignore or reveals something new that you did not see coming all retired peacefully lifestyle seekers movie asks whether you would let spastic child live your neighborhood if she screams uncontrollably at night that is how movie starts forced into exile amudhan seeks live with his daughter isolated house beautiful valley where mist mountains give cameraman canvas tarkovskys mists had set too high standard my mind be met here peranbu but sights were really nice though mist seems have been sped up bit that did not feel as natural matter couple seemingly slow scenes movie communicates that daughter is not initially close her father then just as effortlessly brings them together with very realistic beautiful small incidents with background music that gels everything together nicely no fanfare just honesty this promise has been kept all through movie as movie asks one tough question after another files open complaints against injustices that it sees protagonists world movie addresses challenging question sexuality spastic child few its later chapters her sexuality is as real as any other teenagers while her being spastic adds incongruent challenge it movie addresses subject forthrightly there is scene where overload information subject destabilizes amudhan leading minor accident that scene is beautifully open interpretation there have been so many movies made already typical challenge is be able say anything at all that is new peranbu comes across as if it is unaware any such challenges there is so much that movie says filled with insights movie is impossible ignore music background score movie has been excellent aligns very well with communication style that movie has adopted emotional but at same time simple casting has been perfect every single character movie has found right actor represent him her presented as twelve chapters but still very nicely integrated editing has been very good camera work has been subtle gentle most movie great story great screenplay masterful direction must watch,0.5196753246753245,0.19045753704290286,Positive,"{'Happy': 0.1, 'Angry': 0.01, 'Surprise': 0.22, 'Sad': 0.22, 'Fear': 0.45}"
10,Face of Indian movie,"Awesome acting by Mammooty, Great acting by complete cast. Good direction and strong baseline. Beauty on each frame.",face indian movie,awesome acting by mammooty great acting by complete cast good direction strong baseline beauty each frame,0.4976190476190476,0.4333333333333333,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.0}"
10,A great movie. Must watch.,"A great movie. Director Ram's masterpiece movie. Must watch in theatres . Face of indian cinema Megastar Mammootty , he is not acting but living as Amudhavan . Thangameengal fame Sadhana too were lived as paapa.A must watch. Don't miss in theatres.",great movie must watch,great movie director rams masterpiece movie must watch theatres face indian cinema megastar mammootty he is not acting but living as amudhavan thangameengal fame sadhana too were lived as paapa must watch dont miss theatres,0.5,0.5333333333333333,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.62, 'Sad': 0.12, 'Fear': 0.0}"
10,Face of Indian cinema,"#PeranbuEmotional, Memorable Characters, Strong Acting (Mammootty sir, Anjali, Sadhana, Anjali Ameer) , Gorgeous Visuals, Amazing Music, Good Songs, Heartbreaking, Fresh,",face indian cinema,memorable characters strong acting mammootty sir anjali sadhana anjali ameer gorgeous visuals amazing music good songs heartbreaking fresh,0.6619047619047619,0.46190476190476193,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.0, 'Fear': 0.2}"
10,ONE OF WONDERS IN FILM HISTORY!,It's too hard to explain my feelings.I prefer that one should watch the movie without knowing anything to understand the depth of the film themselves.All the characters are perfectly crafted.Even a letter has a lot to say.Mammooty should do movies like this instead of flop commercial movies.This movie deserves nothing less than 10.All the stars you decrease indicates how sadistic you are.Please watch this movie from theatres so we can have more like this instead of fans themed biased movies.Love from all my heart,one wonders film history,its too hard explain my feelings i prefer that one should watch movie without knowing anything understand depth film themselves all characters are perfectly crafted even letter has lot say mammooty should do movies like this instead flop commercial movies this movie deserves nothing less than 10 all stars you decrease indicates how sadistic you are please watch this movie theatres so we can have more like this instead fans themed biased movies love all my heart,0.4513888888888889,0.2569444444444444,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.18, 'Fear': 0.41}"
10,Rarest of rarest ❤,Peranbu (2019)This film is phenomenal & truly magical. Probably the most beautiful movie ever made. A Masterpiece indeed ❤. One doesn't have to mention anything about Mammootty's acting skills as we all know it's legendary 🙏. We have seen what an incredible actor he has been over the past 48 years. This movie will definitely go in the records as one of the best film ever. I really appreciate Mammootty for doing this role with such an ease. I will not be surprised if Mammookka gets a national award for Peranbu. The perfection that he brings to his character is absolutely mind blowing as always. As an actor he is a class of his own. And Sadhana has lived the role & she was amazing and deserves the national award. Both Anjali & Anjali Ameer were outstanding 👏👏. Yuvan Shankar Raja's BGM and songs brings soul to the movie 👌👌 & Theni Easwar's DOP is beautiful 😍. Peranbu is gonna grab National awards for sure. Thank you Ram sir for giving us this gem. You are the master 👍. Hats off to you. Peranbu is so real & haunting. The story of life & some have it harder than you think 😢.A must watch ❤.,rarest rarest,peranbu 2019 this film is phenomenal truly magical probably most beautiful movie ever made masterpiece indeed one doesnt have mention anything about mammoottys acting skills as we all know its legendary we have seen what incredible actor he has been over past 48 years this movie will definitely go records as one best film ever i really appreciate mammootty doing this role with such ease i will not be surprised if mammookka gets national award peranbu perfection that he brings his character is absolutely mind blowing as always as actor he is class his own sadhana has lived role she was amazing deserves national award both anjali anjali ameer were outstanding yuvan shankar rajas bgm songs brings soul movie theni easwars dop is beautiful peranbu is gonna grab national awards sure thank you ram sir giving us this gem you are master hats off you peranbu is so real haunting story life some have it harder than you think must watch,0.6387566137566139,0.41190476190476183,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.41, 'Sad': 0.19, 'Fear': 0.22}"
10,Not a movie but a beautiful poem,Peranpu is a great movie and watching it can be a beautiful experience in your whole life.,not movie but beautiful poem,peranpu is great movie watching it can be beautiful experience your whole life,0.7875,0.675,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.0, 'Fear': 0.33}"
10,Class Act.,"World-class movie. It beautifully depicts the relationship between the father and his daughter. As it is stated in the opening of the movie, it helps us to understand ""How lucky we are"".",class act,world class movie it beautifully depicts relationship between father his daughter as it is stated opening movie it helps us understand how lucky we are,0.9166666666666667,0.5916666666666667,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.17}"
10,Great film,"Brillient perfomence uff nice film all of them are good acting, mamookka exelent",great film,brillient perfomence uff nice film all them are good acting mamookka exelent,0.5875,0.5249999999999999,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
