Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Dyeing our conscience,"When a girl says NO, (she could be anyone, your girl friend, your date, your wife or even a sex worker). it means a NO. This is exactly the point which PINK drives to the audience, all the while shaking up our conscience and questioning ourselves.Minal Arora (Taapsee Pannu) Falak Ali (Kriti Kulhari) and Andrea (Andrea Tariang) are three friends and room mates who choose to go to a rock concert and run into Rajveer Singh (Angad Bedi) and his friends. The girls are invited for dinner which they choose to accept and it is implied that Rajveer and his friends tried to act fresh with the girls and Minal in an act of self defense hitsRajveer with a bottle, making him almost lose an eye. Both the parties choose not to go to the law enforcement authorities and few days later, the girls are threatened by phone calls and their house owner is given threats to have the girls thrown out. Minal goes to the police and reports the incident which happened that night and an FIR is filed. But to her shock, she is arrested on the charges of prostitution and murder attempt.Steps in Deepak Sehgal (Amitabh Bachan) a once famous elderly lawyer who has quit practice mainly due to his bipolar disorder. Sehgal offers to defend the girls in a case which almost appears to be a lost cause as the girls are subjected to humiliation and are portrayed as criminals.Amitabh Bachan as Sehgal gives once again a magnificent performance, his gas mask, his blank stares in the courtroom all add up to his fantastic portrayal of the character.Taapsee Pannu gives the best performance of her career, her body language, her mumbling, frightened looks and especially the scene where Sehgal calls her to the stand, make it the most outstanding performance of the year.Kriti Kulhari need s a special mention, especially in the breakdown scene on the stand.Angad Bedi is good as well and actually makes us loath the character, especially in the final cross-examination scene which brings out the double standards the society is into.Screenplay by Ritesh Shah deserves applause and especially the dialogues when Sehgal lists out the safety standards for women/girls.Direction by Aniruddha Roy Chowdhary is classy and does not deviate from the plot with inane sub plots. Right from the word go, he ensures every scenes grips our conscience and tugs us into self- examination.I would not recommend it to anyone who wants to watch flashy item songs, or duets set in Switzerland or out of the world costumes. This movie is for patrons who are into serious cinema and can appreciate good performances.",dyeing our conscience,when girl says no she could be anyone your girl friend your date your wife or even sex worker it means no this is exactly point which pink drives audience all while shaking up our conscience questioning ourselves minal arora taapsee pannu falak ali kriti kulhari andrea andrea tariang are three friends room mates who choose go rock concert run into rajveer singh angad bedi his friends girls are invited dinner which they choose accept it is implied that rajveer his friends tried act fresh with girls minal act self defense hitsrajveer with bottle making him almost lose eye both parties choose not go law enforcement authorities few days later girls are threatened by phone calls their house owner is given threats have girls thrown out minal goes police reports incident which happened that night fir is filed but her shock she is arrested charges prostitution murder attempt steps deepak sehgal amitabh bachan once famous elderly lawyer who has quit practice mainly due his bipolar disorder sehgal offers defend girls case which almost appears be lost cause as girls are subjected humiliation are portrayed as criminals amitabh bachan as sehgal gives once again magnificent performance his gas mask his blank stares courtroom all add up his fantastic portrayal character taapsee pannu gives best performance her career her body language her mumbling frightened looks especially scene where sehgal calls her stand make it most outstanding performance year kriti kulhari need s special mention especially breakdown scene stand angad bedi is good as well actually makes us loath character especially final cross examination scene which brings out double standards society is into screenplay by ritesh shah deserves applause especially dialogues when sehgal lists out safety standards women girls direction by aniruddha roy chowdhary is classy does not deviate plot with inane sub plots right word go he ensures every scenes grips our conscience tugs us into self examination i would not recommend it anyone who wants watch flashy item songs or duets set switzerland or out world costumes this movie is patrons who are into serious cinema can appreciate good performances,0.5059934318555007,0.19429392446633825,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.39}"
9.0,"Excellent, intense & gripping courtroom drama!!","More than half of the seats empty in the theater at an afternoon show of ""Pink"" gives us the message whats exactly wrong with Bollywood. Replacing the movie with Dabangg or other such worthless crap, shows would be house-full. Pink is a masterpiece and lives up to it's expectations. Powerful and world-class performances given by Amitabh Bachchan sir (once again) and Piyush Mishra makes this movie a gem. This is one of the career best performance by Big B. He runs the whole show. Tapsee's acting could have been so much better; but still, it was a job well done. The movie deals with what we read daily in our newspapers. MOLESTATION. This movie depicts the corrupt system and shows it in a brutally honest way (personal experience). I'd say go for this movie, you'll surely love it. Fans of Amitabh will get =a bombastic surprise! ;)",excellent intense gripping courtroom drama,more than half seats empty theater at afternoon show pink gives us message whats exactly wrong with bollywood replacing movie with dabangg or other such worthless crap shows would be house full pink is masterpiece lives up its expectations powerful world class performances given by amitabh bachchan sir once again piyush mishra makes this movie gem this is one career best performance by big b he runs whole show tapsees acting could have been so much better but still it was job well done movie deals with what we read daily our newspapers molestation this movie depicts corrupt system shows it brutally honest way personal experience id say go this movie youll surely love it fans amitabh will get bombastic surprise,0.5556666666666668,0.09833333333333334,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.05, 'Fear': 0.5}"
,Pink is a social movement that should be accepted with open arms and use to improve society,"Pink is not a film and this is not a review..A dialogue from Rang De Basanti – ""Koi Bi desh perfect nevi ho ta hai..use perfect banana parta hai"" – and for that one needs to change the various aspects of societal mindset. #Pink is not just a film but a statement against this prejudiced, hypocritical feudal societal fabric that can't handle modern-thinking women.Two major point raised without being didactic:- 1.Stop being judgmental. A modern working woman who wears short (I would say more comfortable in this humid climate) clothes or one who parties & drinks or one who is friendly doesn't mean SHE IS AVAILABLE. SO STOP LABELING HER..2.Most vital point – NO MEANS NO..She can be your friend, GF, sex-worker, even your wife : NO means No. I am sure even most educated men won't get this point but I hope they does..Honestly Shoojit Sircar (who is synonymous with quality films Vicky Donor Madras Cafe Piku) & debutante Dir Aniruddha Roy Chowdhury should be applauded for The Film Pink as it has the power to change mindset. Hope Pink is watched at a large scale, start a debate and inspire young adults. Going by the reactions all over I guess the movement has just began, that is Power of Great Cinema.Kudos to Amitabh Bachchan to be part of such a topical film demanding respect.His acting and choice of films are getting better and better with old-age..This issue was necessary to be told and his name would increase the audience base. Tapsee Pannu and Kirti Kulhari are a revelation. Their pain reflects the voice of majority of Indian women who have to face ordeals even in the busiest of streets in our country. Angad Bedi is so authentic that you will hate him. Debutante Andrea Tariang is effortless. And can Piyush Mishra & Dhritiman Chatterjee go wrong in any role? Pink is indeed a taut social thriller which needs your attention.It is taut and gritty and it establishes its plot-points effectively keeping the tension intact. And while doing so it makes evident points against the society. The court-room sequences in the 2nd half is tremendously superb. As a cinema it is Talvar of 2016 albeit with a straight plot-line.Btw, Do watch the end credit..",pink is social movement that should be accepted with open arms use improve society,pink is not film this is not review dialogue rang de basanti koi bi desh perfect nevi ho ta hai use perfect banana parta hai that one needs change various aspects societal mindset is not just film but statement against this prejudiced hypocritical feudal societal fabric that cant handle modern thinking women two major point raised without being didactic 1 stop being judgmental modern working woman who wears short i would say more comfortable this humid climate clothes or one who parties drinks or one who is friendly doesnt mean she is available so stop labeling her 2 most vital point no means no she can be your friend gf sex worker even your wife no means no i am sure even most educated men wont get this point but i hope they does honestly shoojit sircar who is synonymous with quality films vicky donor madras cafe piku debutante dir aniruddha roy chowdhury should be applauded film pink as it has power change mindset hope pink is watched at large scale start debate inspire young adults going by reactions all over i guess movement has just began that is power great cinema kudos amitabh bachchan be part such topical film demanding respect his acting choice films are getting better better with old age this issue was necessary be told his name would increase audience base tapsee pannu kirti kulhari are revelation their pain reflects voice majority indian women who have face ordeals even busiest streets our country angad bedi is so authentic that you will hate him debutante andrea tariang is effortless can piyush mishra dhritiman chatterjee go wrong any role pink is indeed taut social thriller which needs your attention it is taut gritty it establishes its plot points effectively keeping tension intact while doing so it makes evident points against society court room sequences 2nd half is tremendously superb as cinema it is talvar 2016 albeit with straight plot line btw do watch end credit,0.5139353259034111,0.16147416413373858,Positive,"{'Happy': 0.13, 'Angry': 0.09, 'Surprise': 0.28, 'Sad': 0.15, 'Fear': 0.34}"
10.0,"Pink movie review-""Tum Ladkia ho Yaar""","Yes, its finally here.The movie i was waiting for so long. first of all,i will like to finally say this thing that after a long leap of time i felt goosebumps watching a Bollywood film.Last time was for ""Titli"". And it was an Honour to see Mr.Bachchan in such a terrific role. every one was just phenomenal. Piyush Mishra did a good job as well. and those three girls Of course,what a great privilege for them to share screen with the Shehanshah himself.:) The movie will be having a good grip on you through out the Runtime The movie is not ""Damini"" of modern age. This is a tight slap on all those so called ""Sanskari uncles and aunties"" that judge girls by what they wear. Every person not just a male,but this is was for every gender. It asks just a single question to the society i.e ""WHY"" why don't you just let girls do whatever they want to do. At least let them smile or laugh for god sake. please don't just wait for someone to point out some faults in your daughter,sister or mother. If you can worship ""female gods"" then for god sake just respect the ones you have in your society.",pink movie review tum ladkia ho yaar,yes its finally here movie i was waiting so long first all i will like finally say this thing that after long leap time i felt goosebumps watching bollywood film last time was titli it was honour see mr bachchan such terrific role every one was just phenomenal piyush mishra did good job as well those three girls course what great privilege them share screen with shehanshah himself movie will be having good grip you through out runtime movie is not damini modern age this is tight slap all those so called sanskari uncles aunties that judge girls by what they wear every person not just male but this is was every gender it asks just single question society i e why why dont you just let girls do whatever they want do at least let them smile or laugh god sake please dont just wait someone point out some faults your daughter sister or mother if you can worship female gods then god sake just respect ones you have your society,0.434126984126984,0.14285714285714285,Positive,"{'Happy': 0.17, 'Angry': 0.03, 'Surprise': 0.42, 'Sad': 0.14, 'Fear': 0.25}"
10.0,Thought Provoking and a Giant leap in Bollywood. We need more of these.,"Just seen PINK the movie and I would like admit that nothing has moved me so much as this movie did. Superb Acting by Tapsee Pannu She is probably the best we got in bollywood, Amitabh Bacchan did a very intense and powerful character and uplifted the role in his own charisma, His acting skills shows the reason why he is the biggest bollywood star ever. Director precisely enlights the deep rooted problems and harassments faced by women specially in metros and the immaturity of the society who blindly judge a woman's character by the way she dresses, talk or work. We badly needs these kind of movies to awake the generic thoughts of people who thinks that they can Objectify women and Misuse the power against them. I recommend all of you to watch this great movie. It's a Thought Provoking and a giant leap in movies what we usually watch in bollywood.",thought provoking giant leap bollywood we need more these,just seen pink movie i would like admit that nothing has moved me so much as this movie did superb acting by tapsee pannu she is probably best we got bollywood amitabh bacchan did very intense powerful character uplifted role his own charisma his acting skills shows reason why he is biggest bollywood star ever director precisely enlights deep rooted problems harassments faced by women specially metros immaturity society who blindly judge womans character by way she dresses talk or work we badly needs these kind movies awake generic thoughts people who thinks that they can objectify women misuse power against them i recommend all you watch this great movie its thought provoking giant leap movies what we usually watch bollywood,0.5859410430839002,0.21272108843537416,Positive,"{'Happy': 0.13, 'Angry': 0.13, 'Surprise': 0.27, 'Sad': 0.13, 'Fear': 0.33}"
9.0,Cinema's Pink Revolution has started by Shoojit and Aniruddha,"Shoojit and Aniruddha has delivered powerful punch on feudal mindset with engaging court room drama.Frame by frame excellence will bound you with your seat. Even you will not realize when movie reached to interval.Big B has refined himself as USP of movie. Taapsee has delivered stunning performance with fearsome dialogue delivery. Piyush Mishra was another performer. Kirti Kulhari,Andrea Tariang and Angad Bedi were good in supporting role. Script and dialogue were terrific and value addition to movie. Music is only section which need improvement. Although Kaari Kaari was delight to listen. Please stay in theater till the end credits for complete story. Let's paint it PINK. She said 'No' and 'No' means 'No'... based on this simple one word, director Aniruddha Roy Chowdhury raised some very relevant questions to our so called society through his exclusive film #PINK#. A gripping story, tight screenplay, sharp direction, excellent background score, perfect cinematography & brilliantly executed Court room Trials enriched PINK and make it more vibrant. The performances are pitch-perfect with Mr. Bachchan leading the way. He is Outstanding once again. Tapasee & Kirti Kulhari delivered power- packed performances. Angan Bedi is another one to watch out for those cold & brutal eyes. Gutsy congratulations to Soojit Sircar for making a contemporary youth-centric film with a strong socially relevant message. A Film That Everyone Needs to Watch. Make time for it.",cinemas pink revolution has started by shoojit aniruddha,shoojit aniruddha has delivered powerful punch feudal mindset with engaging court room drama frame by frame excellence will bound you with your seat even you will not realize when movie reached interval big b has refined himself as usp movie taapsee has delivered stunning performance with fearsome dialogue delivery piyush mishra was another performer kirti kulhari andrea tariang angad bedi were good supporting role script dialogue were terrific value addition movie music is only section which need improvement although kaari kaari was delight listen please stay theater till end credits complete story lets paint it pink she said no no means no based this simple one word director aniruddha roy chowdhury raised some very relevant questions our so called society through his exclusive film gripping story tight screenplay sharp direction excellent background score perfect cinematography brilliantly executed court room trials enriched pink make it more vibrant performances are pitch perfect with mr bachchan leading way he is outstanding once again tapasee kirti kulhari delivered power packed performances angan bedi is another one watch out those cold brutal eyes gutsy congratulations soojit sircar making contemporary youth centric film with strong socially relevant message film that everyone needs watch make time it,0.6650396825396826,0.241936507936508,Positive,"{'Happy': 0.15, 'Angry': 0.15, 'Surprise': 0.18, 'Sad': 0.28, 'Fear': 0.23}"
9.0,"Do Yourself A Favor, Leave Everything And Watch PINK !!!","I have always believed that the purpose of cinema is not just to entertain but also educate and empower the audience. The courtroom drama based movies are always engaging as the prosecutor and defendant both fight to solve the case with solid evidences and innumerable witnesses. Films like ""Damini"", ""Jolly LLB"",""Talvar"" or the recent ""Rustom"" has been immensely successful in keeping the audience engaged with impeccable dialogues and fantastic screenplay but what makes ""Pink"" different is the beautiful message on morality and equality of an independent woman when she is says ""NO"" to getting involved into any sexual preferences.""Pink"" tells the story of three independent girls in the city of Delhi who get involved in a crime in order to save themselves. Hell break lose when one of them, Meenal(played by Tapsee Pannu) file a harassment case against the Rajvir Singh(Angad Bedi), a nephew of a powerful minister. Little they know when their attackers turn their life miserable. Enter the scene, an old aged lawyer (played by Amitabh Bachchan), who wears anti-pollution mask every time he is on road, takes up the case to fight for justice.""Pink"" is one such hair-raising film which is definitely difficult to digest as it gives you goosebumps and eye-popping experience. The scene where Falak(played by Kirti Kulhari) calls her friend to compromise with the situation and immediately retaliate is jaw- dropping. The scene where Amitabh Bachchan asks Andrea (played by Andrea Tariang) where is she is from is a beautiful scene showing acceptance of her place in India. Couple of scenes in second half - interrogation scene between the female cop and Angad Bedi with Amitabh Bachchan in the court, the scene between Tapsee Pannu and Piyush Mishra is well-executed. A big clap for the director Aniruddha Roy for a fantastic characters details defined in 136 minutes. Screenplay is the hero with nail-biting moments. Art direction is fine while Cinematography is just about okay.Amitabh Bachchan is a knight in shining armour. Watch out for him in the second half when he questions the witnesses in the courtroom. It is unforgettable performance which should be lauded for its sheer brilliance. Among the actors - Tapsee Pannu and Kirti Kulhari is mindblowing with their natural performances. Angad Bedi does well as menacing character. Piyush Mishra, as usual, is powerful.On the whole, ""Pink"" is an experience that needs to be lauded for its impeccable direction, electrifying performances and beautiful message. Excellent 4/5Ketan Gupta",do yourself favor leave everything watch pink,i have always believed that purpose cinema is not just entertain but also educate empower audience courtroom drama based movies are always engaging as prosecutor defendant both fight solve case with solid evidences innumerable witnesses films like damini jolly llb talvar or recent rustom has been immensely successful keeping audience engaged with impeccable dialogues fantastic screenplay but what makes pink different is beautiful message morality equality independent woman when she is says no getting involved into any sexual preferences pink tells story three independent girls city delhi who get involved crime order save themselves hell break lose when one them meenal played by tapsee pannu file harassment case against rajvir singh angad bedi nephew powerful minister little they know when their attackers turn their life miserable enter scene old aged lawyer played by amitabh bachchan who wears anti pollution mask every time he is road takes up case fight justice pink is one such hair raising film which is definitely difficult digest as it gives you goosebumps eye popping experience scene where falak played by kirti kulhari calls her friend compromise with situation immediately retaliate is jaw dropping scene where amitabh bachchan asks andrea played by andrea tariang where is she is is beautiful scene showing acceptance her place india couple scenes second half interrogation scene between female cop angad bedi with amitabh bachchan court scene between tapsee pannu piyush mishra is well executed big clap director aniruddha roy fantastic characters details defined 136 minutes screenplay is hero with nail biting moments art direction is fine while cinematography is just about okay amitabh bachchan is knight shining armour watch out him second half when he questions witnesses courtroom it is unforgettable performance which should be lauded its sheer brilliance among actors tapsee pannu kirti kulhari is mindblowing with their natural performances angad bedi does well as menacing character piyush mishra as usual is powerful whole pink is experience that needs be lauded its impeccable direction electrifying performances beautiful message excellent 4 5ketan gupta,0.5461240310077519,0.14757751937984495,Positive,"{'Happy': 0.2, 'Angry': 0.03, 'Surprise': 0.16, 'Sad': 0.19, 'Fear': 0.42}"
10.0,A must watch for every bollywood fan,"The best thing about this movie is that it is too real. It doesn't matter if you are a conservative or a liberal or a feminist, if you are human, you will like this. The social issues raised by this movie is on point and at the same time it is an entertaining watch. Movies like this shows the strength of Indian cinema to produce amazing films despite the extreme commercialization.Aniruddha roy chaudhary as the director have done a stupendous job. The first half of the movie has barely any dialogues and still the story is conveyed in a astounding and suspenseful way. The second half mainly focus on courtroom and I have not seen such intense court battle in a long time.Amitabh's acting is fantastic. Piyush Mishra is marvelous as always. The acting by the three girls is real and believable.Writing and dialogues by talented Ritesh Shah is one of the best I have seen.""Pink"" is intense, entertaining and honest. The issues raised by it really needs to be thought upon. It is a must watch for everyone.",must watch every bollywood fan,best thing about this movie is that it is too real it doesnt matter if you are conservative or liberal or feminist if you are human you will like this social issues raised by this movie is point at same time it is entertaining watch movies like this shows strength indian cinema produce amazing films despite extreme commercialization aniruddha roy chaudhary as director have done stupendous job first half movie has barely any dialogues still story is conveyed astounding suspenseful way second half mainly focus courtroom i have not seen such intense court battle long time amitabhs acting is fantastic piyush mishra is marvelous as always acting by three girls is real believable writing dialogues by talented ritesh shah is one best i have seen pink is intense entertaining honest issues raised by it really needs be thought upon it is must watch everyone,0.4981182795698925,0.26908602150537636,Positive,"{'Happy': 0.04, 'Angry': 0.04, 'Surprise': 0.57, 'Sad': 0.14, 'Fear': 0.21}"
9.0,Pink through its highly engaging plot and courtroom drama turns out to be so powerful that it is bound to shake you to the core.,"Pink, a brilliant film by Aniruddha Roy Chowdhury is going to shake you to the core. It is not a film from a feminist perspective, but it does talk about the shackles in which girls of our country are tied even in this century. Pink does raise many pertinent questions, talks of double standards, gender discrimination etc. In spite of females excelling in almost every field, there are many unsaid rules in our society which decides whether a female is of good character or not. The beauty of the film is that this is not at all a loud film in spite of conveying a very loud message. It talks of the attitudes prevalent all around us which stamps a female of 'questionable character' on the basis of the length of the her skirt, the time when she returns home after work, how much she smiles at men, whether she drinks / parties or not, and her virginity status etc. There are enough moral policing for girls. It also talks about the corrupt system in our country, the cops who actually need to protect people, end up in framing people in false cases. Pink through its highly engaging plot and courtroom drama turns out to be so powerful that it is bound to make you think. Three single independent working women Minal Arora (Taapsee Pannu), Falak Ali (Kirti Kulhari) and Andrea (Andrea Tariang) are friends and they share an apartment in Delhi. Minal is from Delhi itself, but due to her odd working hours, she stays with friends. Falak is from Lucknow and Andrea from Meghalaya. Their lives take a turn when they go for a rock concert with a friend Vishwa (Tushar Pandey) and befriend Rajveer (Angad Bedi) and Dumpy (Raashul Tandon). They accept a dinner invitation from Rajveer and go for the same in a resort in Surajkund, Haryana. After some light talks, jokes, drinks, Minal is inappropriately touched by Rajveer. In an effort for self- defense, Minal picks up a bottle and smashes it on Rajveer. The girls manage to escape from the resort. Till the credits roll, the incident is not shown which led to the whole plot. But the screenplay is so strong that one gets to have vivid visualization of what could have gone wrong. Girls do not approach the police initially out of fear. They even get more scared when they come to know that Rajveer is the nephew of very influential politician. Later, when all three are harassed by the boys gang (actor Vijay Varma also joins the gang) by different means, they decide to approach police department and file a case. But Rajveer files a case in turn against Minal mainly and accusing other two too. Minal is accused for 'Attempt to murder', for extorting money etc. All three of them are labeled in the FIR as prostitutes. Minal is arrested, and the case is handled by none other than Deepak Sehgal (Amitabh Bachchan), who lives in the neighbourhood of Minal, Falak and Andrea. The initial shots itself show Deepak doing morning exercises in the park, where he often ends up looking at Minal jogging with blank expressions. Deepak Sehgal had called it quits to his profession as a lawyer due to his bipolar disorder, but comes to the rescue of the girls. The second half is highly engaging with courtroom sequence. Piyush Mishra as Prashant is the prosecution lawyer. There we get to see some fine and smart moves during the debate. Deepak had answers to every accusation which Prashant was bringing up. Who wins in the end – Girls or the boys? How efficiently does Deepak suffering from bipolar disorder fight the case ? What defense statements were made by Prashant to protect the boys ? What was the motive of girls behind accepting dinner invitations from acquaintances, was it to extort money from the rich (as accused)? How were the girls Minal, Falak and Andrea treated in the society, workplace and in court after this incident ? How did they handle their character assassination? There are certain moments in the films which certainly would bring tears to your eyes. There is a scene, where after the incident, Minal is commented upon as the girl involved in 'Surajkund Kand', she just puts the hood of her sweatshirt on her head instead of retaliating, Amitabh Bachchan removes the hood. There are many more such moments. There is no lecture in the film; rather it talks about what is happening in and around us. There are some parts of the plot which were not very much justified: Amitabh Bachchan's Bipolar disorder, his ailing wife confined to a hospital bed. The boys appeared very influential and egoistic in the beginning, wanted to punish girls at any cost, but once when the courtroom drama started unfolding, there was not a single moment of encounter / threatening from these boys to girls, which seemed unlikely. But these are very much unnoticeable in midst of powerful scenes. Pink, a very powerful and outstanding film, conveys a message very loudly that when a woman (be it friend, acquaintance, wife) says 'No', it actually means 'No'. It also prompts society to stop judging a girl on the basis of length of her skirt, time of her returning home, her single status, her attempts to enjoy life in parties etc. The poem by Tanvir Ghazi recited by Amitabh Bachchan when the credits roll, clearly conveys that it is high time to end the patriarchal rules which shackles the women in stereotypes. Pink through its highly engaging plot and courtroom drama turns out to be so powerful that it is bound to shake you to the core.",pink through its highly engaging plot courtroom drama turns out be so powerful that it is bound shake you core,pink brilliant film by aniruddha roy chowdhury is going shake you core it is not film feminist perspective but it does talk about shackles which girls our country are tied even this century pink does raise many pertinent questions talks double standards gender discrimination etc spite females excelling almost every field there are many unsaid rules our society which decides whether female is good character or not beauty film is that this is not at all loud film spite conveying very loud message it talks attitudes prevalent all around us which stamps female questionable character basis length her skirt time when she returns home after work how much she smiles at men whether she drinks parties or not her virginity status etc there are enough moral policing girls it also talks about corrupt system our country cops who actually need protect people end up framing people false cases pink through its highly engaging plot courtroom drama turns out be so powerful that it is bound make you think three single independent working women minal arora taapsee pannu falak ali kirti kulhari andrea andrea tariang are friends they share apartment delhi minal is delhi itself but due her odd working hours she stays with friends falak is lucknow andrea meghalaya their lives take turn when they go rock concert with friend vishwa tushar pandey befriend rajveer angad bedi dumpy raashul tandon they accept dinner invitation rajveer go same resort surajkund haryana after some light talks jokes drinks minal is inappropriately touched by rajveer effort self defense minal picks up bottle smashes it rajveer girls manage escape resort till credits roll incident is not shown which led whole plot but screenplay is so strong that one gets have vivid visualization what could have gone wrong girls do not approach police initially out fear they even get more scared when they come know that rajveer is nephew very influential politician later when all three are harassed by boys gang actor vijay varma also joins gang by different means they decide approach police department file case but rajveer files case turn against minal mainly accusing other two too minal is accused attempt murder extorting money etc all three them are labeled fir as prostitutes minal is arrested case is handled by none other than deepak sehgal amitabh bachchan who lives neighbourhood minal falak andrea initial shots itself show deepak doing morning exercises park where he often ends up looking at minal jogging with blank expressions deepak sehgal had called it quits his profession as lawyer due his bipolar disorder but comes rescue girls second half is highly engaging with courtroom sequence piyush mishra as prashant is prosecution lawyer there we get see some fine smart moves during debate deepak had answers every accusation which prashant was bringing up who wins end girls or boys how efficiently does deepak suffering bipolar disorder fight case what defense statements were made by prashant protect boys what was motive girls behind accepting dinner invitations acquaintances was it extort money rich as accused how were girls minal falak andrea treated society workplace court after this incident how did they handle their character assassination there are certain moments films which certainly would bring tears your eyes there is scene where after incident minal is commented upon as girl involved surajkund kand she just puts hood her sweatshirt her head instead retaliating amitabh bachchan removes hood there are many more such moments there is no lecture film rather it talks about what is happening around us there are some parts plot which were not very much justified amitabh bachchans bipolar disorder his ailing wife confined hospital bed boys appeared very influential egoistic beginning wanted punish girls at any cost but once when courtroom drama started unfolding there was not single moment encounter threatening these boys girls which seemed unlikely but these are very much unnoticeable midst powerful scenes pink very powerful outstanding film conveys message very loudly that when woman be it friend acquaintance wife says no it actually means no it also prompts society stop judging girl basis length her skirt time her returning home her single status her attempts enjoy life parties etc poem by tanvir ghazi recited by amitabh bachchan when credits roll clearly conveys that it is high time end patriarchal rules which shackles women stereotypes pink through its highly engaging plot courtroom drama turns out be so powerful that it is bound shake you core,0.49095547309833026,0.09596165739022881,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.21, 'Sad': 0.22, 'Fear': 0.42}"
6.0,"Great, until it became unrealistic preaching.","Pink (2016) ""No. No, your honor. 'No' is not a word. It is a complete sentence. It doesn't need any further explanation. 'No' simply means 'no'. My client said no', your honor and these boys must realize that 'no' means 'no' whether the girl is an acquaintance, a friend, girlfriend, or a sex worker. Or even your own wife! 'No' means no'! I want someone says so, you stop."" The Good: * Makes important statements regarding social issues includes consent, double standards for females and males, inherent biases, molestation, misogyny, rape, self defense, social strata, and violence against women. This is especially relevant in India, where rapes often go unreported for to fear of public shame and possibly (as portrayed in the film) having it backfire. It is still frowned upon by some for a girl to be independent, outspoken, willful, or to drink or go anywhere in private with a male. * Amitabh Bachchan, due to his seniority, was originally first listed in the credits. However, to show gender equality, he requested to have his name listed after the three leading ladies. It is great to know that the actor was as passionate about gender quality as his character was in the film. * A clever creative choice was showing the scene of what actually happened that night, in slow motion, during the credits. Be sure to wait for that. The Bad: * Great acting overall by the three leading ladies, but they were quite melodramatic. It alternated between an impressive performance and a performance completely overdone. * Bachchan may have had a powerful presence, but he was also creepy. Whatever the reasons, his breathing mask, combined with his mysterious demeanor and harsh voice, made for more of a creepy presence. Add to that the angles that made his eyes look white in many scenes, he was straight up scary. Supposedly he had bipolar, but I do not even know why that was a detail. The Ugly: * Unrealistic portrayal of a court debate. These lawyers would not be a allowed to intimidate and yell at the witnesses on the stand, practically coercing them into a false confession. Likewise, they would not be allowed to preach on topics irrelevant to the case. The case becomes a stage for feminism, narrated by Bachchan. * Makes important points, but crosses the line very early on into preaching. To the point that I might call this propaganda. * Unrealistic to the point that I could not take it seriously and became bored in the second hour of this unnecessarily long film. Conclusion: Many memorable lines, overall good performances,, made a valuable case for many important social issues; but excessive in length, portrayed court cases unrealistically, and it became preaching (practically) propaganda.",great until it became unrealistic preaching,pink 2016 no no your honor no is not word it is complete sentence it doesnt need any further explanation no simply means no my client said no your honor these boys must realize that no means no whether girl is acquaintance friend girlfriend or sex worker or even your own wife no means no i want someone says so you stop good makes important statements regarding social issues includes consent double standards females males inherent biases molestation misogyny rape self defense social strata violence against women this is especially relevant india where rapes often go unreported fear public shame possibly as portrayed film having it backfire it is still frowned upon by some girl be independent outspoken willful or drink or go anywhere private with male amitabh bachchan due his seniority was originally first listed credits however show gender equality he requested have his name listed after three leading ladies it is great know that actor was as passionate about gender quality as his character was film clever creative choice was showing scene what actually happened that night slow motion during credits be sure wait that bad great acting overall by three leading ladies but they were quite melodramatic it alternated between impressive performance performance completely overdone bachchan may have had powerful presence but he was also creepy whatever reasons his breathing mask combined with his mysterious demeanor harsh voice made more creepy presence add that angles that made his eyes look white many scenes he was straight up scary supposedly he had bipolar but i do not even know why that was detail ugly unrealistic portrayal court debate these lawyers would not be allowed intimidate yell at witnesses stand practically coercing them into false confession likewise they would not be allowed preach topics irrelevant case case becomes stage feminism narrated by bachchan makes important points but crosses line very early into preaching point that i might call this propaganda unrealistic point that i could not take it seriously became bored second hour this unnecessarily long film conclusion many memorable lines overall good performances made valuable case many important social issues but excessive length portrayed court cases unrealistically it became preaching practically propaganda,0.5793390376984128,0.07559895833333334,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.19, 'Sad': 0.2, 'Fear': 0.39}"
