Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,This 'queen' will surely rule your hearts! <3 <3,"Wanna experience a hot air balloon ride? If not literally, Vikas Bahl's 'Queen' will surely give you the feel! This one too takes off after fire of strife but gradually zooms up in the air higher and higher, all liberated from the shackles of earthly rules and grief. 'Queen' is a journey of discovering oneself. Simply put – ""When things go wrong, cry not; gather your guts, not just move over but fly!"". A more detailed analysis follows: Plot: The plot resembles Gauri Shinde's 'English vinglish' in its theme but it is the execution and premises which makes 'Queen' more exuberant. While the former was poised and mature, this one is raw, yet sensitive, sensible, effervescent, all at the same time. How an otherwise banal story on paper could become so entertaining on-screen, only Bahl can tell. He injected the same positivity in his debut venture 'Chillar party' earlier. Another endearing fact is the handling of 'haww'-type (by Indian sanskriti standards) cheeky humor gracefully enough to make it watchable with family. Dialogues by Anvita Dutt and Kangana (yes, she has contributed here too) are pertinent. Despite lot of French and little Japanese here & there (with no subtitles), you don't mind as the situation and emotions say it all. Dilliwali Punjabi lingo, though, adds credibility. Heartiest congratulations to Anurag Kashyap and Vikramaditya Motwane for shelling put money for such a cinematic delight! Cast: It is out and out Kangana's film, with all others in supporting role. Bahl is believable in saying he penned Rani's role keeping only her in mind. No other actress would have better lived the vulnerability, innocence, craziness, elegance and emotions of Rani, the way Kangana did. This movie will definitely mark as a milestone in her career and give all reasons to other filmmakers to look beyond her fashionistic persona. Donning demure, no make-up, plaited look and wearing kurti with sweaters, she looks perfectly the Indian girl next door. At the climax too, she looks glamorous not out of the dress but the confidence she wears! Full marks to casting directors as all actors play within the skin of their respective characters, be it the confused Rajkkumar Rao, Rani's family (Dadi is esp. lovable), sensuous smart Lisa Hayden or Rani's endearing firangi friends. Cinematography: On Rani's canvas, you get to move from rues of Lajpat Nagar to the majestic Eifel Tower to the picturesque bridges of Amsterdam! Kudos to Siddharth Diwan and Bobby Singh for the awesome camera work! Music: Amit Trivedi is a winner all the way. Already hit ""London thumakda"" gives way to ""Ranjha"", classical pop 'Badra bahaar' and 'O gujariya'. However, it is the remixed ""Hungama ho gaya"" from 'Anhonee' (1973) rendered emphatically by ever boisterous Asha Bhosle, which stays with you even after you leave the theatre. Songs are nowhere a speed- breaker in this flick. Flaws: I failed to find any. :)The film ends with a confident rejuvenated Rani thanking her betrayer for giving her the opportunity for self-awakening; we as audience thank the director for infusing optimism into the minds and hearts of esp. female watchers. Go ladies, this one's the best Woman's day gift you can give to yourself. Men too will surely enjoy it for all its youthfulness. It's a movie for all. HIGHLY RECOMMENDED.My rating: ****1/2 (my favourite in the last 1 year)P.S.: Ending credential FB ishtyle are not to be missed!",this queen will surely rule your hearts 3 3,wanna experience hot air balloon ride if not literally vikas bahls queen will surely give you feel this one too takes off after fire strife but gradually zooms up air higher higher all liberated shackles earthly rules grief queen is journey discovering oneself simply put when things go wrong cry not gather your guts not just move over but fly more detailed analysis follows plot plot resembles gauri shindes english vinglish its theme but it is execution premises which makes queen more exuberant while former was poised mature this one is raw yet sensitive sensible effervescent all at same time how otherwise banal story paper could become so entertaining screen only bahl can tell he injected same positivity his debut venture chillar party earlier another endearing fact is handling haww type by indian sanskriti standards cheeky humor gracefully enough make it watchable with family dialogues by anvita dutt kangana yes she has contributed here too are pertinent despite lot french little japanese here there with no subtitles you dont mind as situation emotions say it all dilliwali punjabi lingo though adds credibility heartiest congratulations anurag kashyap vikramaditya motwane shelling put money such cinematic delight cast it is out out kanganas film with all others supporting role bahl is believable saying he penned ranis role keeping only her mind no other actress would have better lived vulnerability innocence craziness elegance emotions rani way kangana did this movie will definitely mark as milestone her career give all reasons other filmmakers look beyond her fashionistic persona donning demure no make up plaited look wearing kurti with sweaters she looks perfectly indian girl next door at climax too she looks glamorous not out dress but confidence she wears full marks casting directors as all actors play within skin their respective characters be it confused rajkkumar rao ranis family dadi is esp lovable sensuous smart lisa hayden or ranis endearing firangi friends cinematography ranis canvas you get move rues lajpat nagar majestic eifel tower picturesque bridges amsterdam kudos siddharth diwan bobby singh awesome camera work music amit trivedi is winner all way already hit london thumakda gives way ranjha classical pop badra bahaar o gujariya however it is remixed hungama ho gaya anhonee 1973 rendered emphatically by ever boisterous asha bhosle which stays with you even after you leave theatre songs are nowhere speed breaker this flick flaws i failed find any film ends with confident rejuvenated rani thanking her betrayer giving her opportunity self awakening we as audience thank director infusing optimism into minds hearts esp female watchers go ladies this ones best womans day gift you can give yourself men too will surely enjoy it all its youthfulness its movie all highly recommended my rating 1 2 my favourite last 1 year p s ending credential fb ishtyle are not be missed,0.4808360528360529,0.16533666333666333,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.34}"
10.0,This QUEEN is ROYAL in every way!,"QUEEN is directed by Vikas Bahl, starring Kangana Ranaut, in the lead role, along with Rajkummar Rao and Lisa Haydon.The film revolves around Rani (Kangana Ranaut), an innocent Punjabi girl, who gets dumped one day before her wedding day. She gets an idea to go on her honeymoon all by herself, and that very trip shows her road to self-empowerment while going through several comical situations...The trailer of Queen didn't quite attract much attention, therefore, the film was extremely underrated by several critics, including me. However, the songs did grab a portion of my attention, so I was curious to know whether I was looking at Queen from a wrong angle. The film, itself, faced fierce competition from Madhuri-Juhi starrer, Gulaab Gang and the much-awaited Total Siyapaa. However, the reviews came in for the three films, and I was shocked to see so much praise for Queen. So I decided to go with the critics and chose Queen over Total Siyapaa that weekend. And I think its safe for me to say that it is one of the best decisions I've made in my life (and it might be yours too).Queen starts off in the most mainstream desi way possible. The Big Fat Indian Wedding with relatives at every nook and corner and dance to Punjabi tunes is galore. The calling off of the wedding takes place and you feel yourself going through the very same events as Rani. This is due to pure direction and acting. However, the film takes a VERY sharp turn when she leaves for her honeymoon. Rani meets new friends, goes through life how a woman should, and I think it was a smart move on the director to release it on Women's Day, because at the end of the film, the message is pretty clear. However, I shall not go on further about the plot, because after she leaves India, its all just fun.The acting is just top-notch. Kangana Ranaut, in all honesty, carries the film on her shoulders throughout the 2h30m run time. She portrays her character with such finesse that she deserves awards and utter praise for it. Rajkummar Rao played a great job as well and the rest of the foreign actors were just delightful and splendid to see.The songs are great as well. Amit Trivedi also deserves applause for the great music as well as background score. Every single song captures a theme of the film and just blends perfectly with the several scenes in the film. It helps you feel like Rani while she goes through her journey. 'London Thumakada' captures the Indian Wedding Theme, while 'O Gujariya' is just great to listen to. A special mention about the remake of 'Hungama Ho Gaya' which is just complete fun to listen to.In conclusion, QUEEN is possibly one of the best films of the year. I can't seem to see any flaw in the film; it is just complete fun. Go watch it; I highly recommend it.QUEEN- 10/10",this queen is royal every way,queen is directed by vikas bahl starring kangana ranaut lead role along with rajkummar rao lisa haydon film revolves around rani kangana ranaut innocent punjabi girl who gets dumped one day before her wedding day she gets idea go her honeymoon all by herself that very trip shows her road self empowerment while going through several comical situations trailer queen didnt quite attract much attention therefore film was extremely underrated by several critics including me however songs did grab portion my attention so i was curious know whether i was looking at queen wrong angle film itself faced fierce competition madhuri juhi starrer gulaab gang much awaited total siyapaa however reviews came three films i was shocked see so much praise queen so i decided go with critics chose queen over total siyapaa that weekend i think its safe me say that it is one best decisions ive made my life it might be yours too queen starts off most mainstream desi way possible big fat indian wedding with relatives at every nook corner dance punjabi tunes is galore calling off wedding takes place you feel yourself going through very same events as rani this is due pure direction acting however film takes very sharp turn when she leaves her honeymoon rani meets new friends goes through life how woman should i think it was smart move director release it womens day because at end film message is pretty clear however i shall not go further about plot because after she leaves india its all just fun acting is just top notch kangana ranaut all honesty carries film her shoulders throughout 2h30m run time she portrays her character with such finesse that she deserves awards utter praise it rajkummar rao played great job as well rest foreign actors were just delightful splendid see songs are great as well amit trivedi also deserves applause great music as well as background score every single song captures theme film just blends perfectly with several scenes film it helps you feel like rani while she goes through her journey london thumakada captures indian wedding theme while o gujariya is just great listen special mention about remake hungama ho gaya which is just complete fun listen conclusion queen is possibly one best films year i cant seem see any flaw film it is just complete fun go watch it i highly recommend it queen 10 10,0.5258451964701965,0.22993235930735934,Positive,"{'Happy': 0.25, 'Angry': 0.08, 'Surprise': 0.34, 'Sad': 0.06, 'Fear': 0.28}"
8.0,"This Queen is innocent, naive but entertaining throughout","This film is a good example of Director's clarity of mind regarding characterization, mood of scenes and way of approach. Director Mr Vikas Bahl work is fantastic. In spite of very thin story line he projected this movie in a very unique, interesting and entertaining way. This movie speaks less and shows maximum. Screenplay is average. Dialogues by Anvita Dutt and Kangana Ranaut are very good. Even very average scenes are so good just because of expression and the way of taking the scene i.e When Rani goes on stage for dance, she copies other dancers and removes her sweater, rolls it like them but in spite of throwing it like them she keeps it in her bag. The way she struggles with the bag snatcher that this average scene comes out a laughter riot. Director inserted some flash back between the scene, which enhanced the scene very well and also projected some different emotions. Even the small characters are minutely observed . In a scene Rani goes to meet her family friend in Paris but that family ladies discuss about the money given to her just for a good luck or rituals. They minimize the amount because Rani is a distant relative. When Rani lives in Paris with her wonderful room mates, in this complete sequence Rani is wondered so director chose a T-shirt for Rani with quotation Alice in wonderland. This quotation clearly reflects Rani state of mind. Director never goes over board and never let the actors go over board. So, interest and entertainment remain intact. Of course Director has been supported by fantastic performance of actors. Kangana Ranaut is out standing. No one could have have performed better than her. Raj Kumar Yadav is OK. Lisa Haydon as Vijaylaxmi is fantastic. All actors are very good including Rani's Paris room mates. Music by Amit Trivedi suits the mood of film.",this queen is innocent naive but entertaining throughout,this film is good example directors clarity mind regarding characterization mood scenes way approach director mr vikas bahl work is fantastic spite very thin story line he projected this movie very unique interesting entertaining way this movie speaks less shows maximum screenplay is average dialogues by anvita dutt kangana ranaut are very good even very average scenes are so good just because expression way taking scene i e when rani goes stage dance she copies other dancers removes her sweater rolls it like them but spite throwing it like them she keeps it her bag way she struggles with bag snatcher that this average scene comes out laughter riot director inserted some flash back between scene which enhanced scene very well also projected some different emotions even small characters are minutely observed scene rani goes meet her family friend paris but that family ladies discuss about money given her just good luck or rituals they minimize amount because rani is distant relative when rani lives paris with her wonderful room mates this complete sequence rani is wondered so director chose t shirt rani with quotation alice wonderland this quotation clearly reflects rani state mind director never goes over board never let actors go over board so interest entertainment remain intact course director has been supported by fantastic performance actors kangana ranaut is out standing no one could have have performed better than her raj kumar yadav is ok lisa haydon as vijaylaxmi is fantastic all actors are very good including ranis paris room mates music by amit trivedi suits mood film,0.5759677419354838,0.2597043010752688,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.17, 'Fear': 0.31}"
9.0,MY REVIEW: Queen of Hearts!!,"8th March is International Women's Day and Queen celebrates it with panache. When Rani played amazingly brilliant by Kangana Ranaut discovers herself on her solo honeymoon trip in Paris and Amsterdam, she comes back to India with a winning smile on her face. The same smile is pasted on your face throughout the movie. There is hardly any feminine emotion left that is not being touched upon in this witty, gritty, funny, emotional and very subtle cinematic portrayal of finding that a woman is more than being a mother, a sister or a wife. The movie talks in the language of love and affection which is not bound by the country in which you were born. All foreign characters here, be it Indian French single mother, the child-like Japanese guy, the European artist, the French restaurant owner or the black guy here play true to their cultures and don't seem fake at all. After Kangana, movie belongs to writer-director Vikas Bahl who shall be remembered now forever for penning this neat story and screenplay flooded with so many fresh and out of box ideas. So don't wait, go and experience the fun (read hungama) with your friends. It is one of the finest cinematic work of Bollywood. Period.",my review queen hearts,8th march is international womens day queen celebrates it with panache when rani played amazingly brilliant by kangana ranaut discovers herself her solo honeymoon trip paris amsterdam she comes back india with winning smile her face same smile is pasted your face throughout movie there is hardly any feminine emotion left that is not being touched upon this witty gritty funny emotional very subtle cinematic portrayal finding that woman is more than being mother sister or wife movie talks language love affection which is not bound by country which you were born all foreign characters here be it indian french single mother child like japanese guy european artist french restaurant owner or black guy here play true their cultures dont seem fake at all after kangana movie belongs writer director vikas bahl who shall be remembered now forever penning this neat story screenplay flooded with so many fresh out box ideas so dont wait go experience fun read hungama with your friends it is one finest cinematic work bollywood period,0.3929761904761905,0.12039682539682536,Positive,"{'Happy': 0.32, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.29, 'Fear': 0.18}"
9.0,Almost Pitch Perfect,"QUEEN - We hardly get woman oriented movies in Bollywood,,,,and most of them does disastrous business at box office....but our country kind of started liking woman oriented movies after superlative No One Killed Jessica,,,,and then comes Kahani..... Both of these movies create some space for heroins in Bollywood to get movies for them only.... But they too are not commercial movies,,,,being thriller they have limited audience,,,,so we want some light hearted movie and guess what we got English WINGLISH,,,,a perfect example of light hearted woman oriented film.....Queen goes on the same track of English Winglish but has crossed it...... Vikash Bhal (director of Chillar party) on his second directorial venture has taken care of each and every scenes of the movie.....There is a scenes where Kangana gives French toast to a french person in breakfast and the person replied m from France and there is nothing like french toast there ,, so Kangana replied 'Ye Sirf India Mein Milta Hei'...... You can laugh 100 times on such jokes,,,,,they are written with such cute humour...... There is another scenes where Kangana run out of the bathroom screaming after seeing a lizard and feel like a fool,,,,but when three of the boys who are her roommates also get scared Kangana take a deep breath with happiness and say 'Savi Dar Gaye',,,,.....Such cute scenes are rare in bollywood...... Story is simple,,,Kangana ' s Mangetar says he will not marry her a day before there marriage and with frustration Kangana decided to go to her Honeymoon alone..... So a girl who barely cross road in India without anyone's help in going to Paris alone.....Here is start of interesting session..... Most of the Bollywood movies make u laugh in there first half and become melodramatic in the second half like what happened in case of Ye Jawani Hei Dewani and a little bit in case of Shaadi Ke Side effect,,,,,but Queen is something far from being melodramatic..... Infect we have a very few films in Bollywood which can make u laugh from start till end despite of some emotional scenes in between those laughs.....Queen is one of the best among them..... To talk about Kangana m speechless,,,,she has always done glamorous roles in Bollywood but she walks into the shoes of such anti glamorous character of Rani with ease.....She has proved that she is far far ahead of the other actresses of her league....Get warned other actresses..... Lisa as the french friend of Rani is too good....Infect she has something great in comparison to what she last did in the movie RASCAL.....When she left Kangana on her way to Amsterdam u wish that she would have gone with her..... The three Roommates of Rani in Amsterdam are perfect...... Vikash Bhal need special mention,,,,,he has crafted every scene with his heart in it.....Casting was so perfect...... Songs goes with the mood of the movie.....Not a single song is wasted,,,,,or stop the flow of the movie,,,,my favorite are O Gujariya and Harjaniya....... I cant say that editing is bad but the movie could have been small,,,,that doesn't mean it will bore u...... So its the first film in 2014 to which m giving more then 3.75 .... M going for 4.25 out of 5...... Its a must watch for every body on this women's day occasion..... By ANuP APu KuMaR",almost pitch perfect,queen we hardly get woman oriented movies bollywood most them does disastrous business at box office but our country kind started liking woman oriented movies after superlative no one killed jessica then comes kahani both these movies create some space heroins bollywood get movies them only but they too are not commercial movies being thriller they have limited audience so we want some light hearted movie guess what we got english winglish perfect example light hearted woman oriented film queen goes same track english winglish but has crossed it vikash bhal director chillar party his second directorial venture has taken care each every scenes movie there is scenes where kangana gives french toast french person breakfast person replied m france there is nothing like french toast there so kangana replied ye sirf india mein milta hei you can laugh 100 times such jokes they are written with such cute humour there is another scenes where kangana run out bathroom screaming after seeing lizard feel like fool but when three boys who are her roommates also get scared kangana take deep breath with happiness say savi dar gaye such cute scenes are rare bollywood story is simple kangana s mangetar says he will not marry her day before there marriage with frustration kangana decided go her honeymoon alone so girl who barely cross road india without anyones help going paris alone here is start interesting session most bollywood movies make u laugh there first half become melodramatic second half like what happened case ye jawani hei dewani little bit case shaadi ke side effect but queen is something far being melodramatic infect we have very few films bollywood which can make u laugh start till end despite some emotional scenes between those laughs queen is one best among them talk about kangana m speechless she has always done glamorous roles bollywood but she walks into shoes such anti glamorous character rani with ease she has proved that she is far far ahead other actresses her league get warned other actresses lisa as french friend rani is too good infect she has something great comparison what she last did movie rascal when she left kangana her way amsterdam u wish that she would have gone with her three roommates rani amsterdam are perfect vikash bhal need special mention he has crafted every scene with his heart it casting was so perfect songs goes with mood movie not single song is wasted or stop flow movie my favorite are o gujariya harjaniya i cant say that editing is bad but movie could have been small that doesnt mean it will bore u so its first film 2014 which m giving more then 3 75 m going 4 25 out 5 its must watch every body this womens day occasion by anup apu kumar,0.44301897321428574,0.16775669642857144,Positive,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.26, 'Fear': 0.28}"
10.0,Queen is soul stirring,Its not every year (or sometimes even years) that you come across a bollywood flick that stays with you for days after you watched it. Queen is one such film that will make you want to watch it again.The story is similar in theme to English Vinglish (Yet another masterpiece) but stands out in execution and story telling.Kangana Ranaut delivers her career best in Queen no doubt.I was actually there on location in Amsterdam sometime in September 2012 when they were filming the last scene where she runs down the bridge to meet her friends at the rock show. The simplicity of the set and all involved was an indication of a good film which i later found out was to be named 'Queen' Watch it right away and you will leave the hall with a smile.,queen is soul stirring,its not every year or sometimes even years that you come across bollywood flick that stays with you days after you watched it queen is one such film that will make you want watch it again story is similar theme english vinglish yet another masterpiece but stands out execution story telling kangana ranaut delivers her career best queen no doubt i was actually there location amsterdam sometime september 2012 when they were filming last scene where she runs down bridge meet her friends at rock show simplicity set all involved was indication good film which i later found out was be named queen watch it right away you will leave hall with smile,0.2628427128427128,0.1936507936507936,Positive,"{'Happy': 0.17, 'Angry': 0.09, 'Surprise': 0.3, 'Sad': 0.13, 'Fear': 0.3}"
8.0,Consistently Entertaining,"To All the Bollywood fan's you should watch QUEEN not because it has a good story no it doesn't the plot has been used numerous times but the journey of Kangana from a shy obedient Rajouri Garden Delhi Girl to a confident open minded today's modern girl is quite awesome. The small moments the little subplots that define Kangana's character is brilliantly written and filmed. Bollywood often becomes predictable but this movie isn't, u ll never be able to guess that such subplots would appear. The dancing of drunk Kangana in front of police scene, the sex toy shop scene, the boob pressing scene there are many more. Kangana's acting is brilliant even the side characters have played their part perfectly. Amit Trivedi's Music as always is amazing it suits the movie there are brilliant songs within the movie which has not been promoted in trailers plus oh Gujariya and Hungama Hogaya would rock any party. Director Vikas Bahl does a brilliant job. Only part where they could have done better is cinematography it is average. This movie falls in the category of very few good women centric movies that Bollywood has created and you can count them on your fingertips. Consistently entertaining i am going with 8/10 rating for this movie do watch it.",consistently entertaining,all bollywood fans you should watch queen not because it has good story no it doesnt plot has been used numerous times but journey kangana shy obedient rajouri garden delhi girl confident open minded todays modern girl is quite awesome small moments little subplots that define kanganas character is brilliantly written filmed bollywood often becomes predictable but this movie isnt u ll never be able guess that such subplots would appear dancing drunk kangana front police scene sex toy shop scene boob pressing scene there are many more kanganas acting is brilliant even side characters have played their part perfectly amit trivedis music as always is amazing it suits movie there are brilliant songs within movie which has not been promoted trailers plus oh gujariya hungama hogaya would rock any party director vikas bahl does brilliant job only part where they could have done better is cinematography it is average this movie falls category very few good women centric movies that bollywood has created you can count them your fingertips consistently entertaining i am going with 8 10 rating this movie do watch it,0.6351075268817205,0.31137096774193546,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.12, 'Fear': 0.41}"
8.0,Back to IMDb just for reviewing this Indian GEM,"Today is international women's day and this movie is a perfect gift. Kangna acts super fantastic with her cute expressions as a typical Desi girl who loves her family, gets over the fear and humiliation of no marriage and lives her own life to the full. First half is very pleasant, Lisa has a good comeback to this movie and impresses well. ""London Thumukda"" song makes audience tap their feet once. I had no idea that Kangna can live up to this mark, her appearance is quite impressive and i guess every Indian girl will like her. If you are assuming her to be the same as in ""Tanu weds Manu"", you are mistaken. You will not be disappointed. My rating: 8/10",back imdb just reviewing this indian gem,today is international womens day this movie is perfect gift kangna acts super fantastic with her cute expressions as typical desi girl who loves her family gets over fear humiliation no marriage lives her own life full first half is very pleasant lisa has good comeback this movie impresses well london thumukda song makes audience tap their feet once i had no idea that kangna can live up this mark her appearance is quite impressive i guess every indian girl will like her if you are assuming her be same as tanu weds manu you are mistaken you will not be disappointed my rating 8 10,0.5936274509803922,0.30233511586452766,Positive,"{'Happy': 0.38, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.29, 'Fear': 0.05}"
10.0,"Must watch - highly recommended for all, men or women!","GO and WATCH this movie in theater. Bollywood needs high quality movies like this, which are not only meaningful but also provide full entertainment and fun without appearing pretentious/ fake. These are the kind of movies that need to make money so that producers invest in them.I feel a bit out-of-league reviewing this movie. When all the movie critics and stalwarts of Bollywood such as Karan Johar and Aamir Khan have highly praised this movie and Kangana Ranaut's performance in almost unanimous voice, it really leaves one with nothing more to say. So I am going to only mention few things in more detail.Ranaut's performance: One of the best performances to come out of Hindi cinema in several years, this is not about shedding tears, yelling, looking cute/ gorgeous or dancing (which interestingly accounts for ""good acting"" for most Indian audience). It is marked by subtleties, such as faintly raised eyebrows, shrunk nose, narrowed eyes, aversive gaze, awkwardly positioned arms/ legs, contorted body, crestfallen face, shadow of a smirk, etc. Even when she cries, her wailing makes you wonder if you are really watching an act? Ranaut, who in real life is well-known as a fashionista, has transformed her body language, her mannerisms and her expressions completely for this role. One thing is certain - it is hard to imagine any other actress in this role and hard to imagine this movie without Kangana Ranaut as Rani.Vikas Bahl's direction: The credit also goes to the director, Vikas Bahl. Without him, the movie could have been a wreck. The movie has a very simple plot and is therefore not an easy story to make a movie with. But Bahl manages to steer clear of all traps for derailment that the story provides. The movie may seem a bit slow in the middle, but then, without sufficient time to develop the emotions and attitude of the character, the movie would not be as effective. He is also one of the very few directors who have managed to utilize Ranaut's potential as an artist. I heard in an interview that Bahl allowed Ranaut creative freedom, allowing her even to pen her own dialogs for some parts of the movie - wish all those control freaks out there are hearing! Story/ Screenplay/ Dialog: Rani's challenges in this story are not hers alone - they are the trials of every person, man or woman, who has felt diffident owing to their cultivated nature or low-spirited when bowed down by circumstances. This is a story of gaining perspective and discovering one's potential through travel, cross-cultural exposure and external support. That is why the story is so meaningful for every person. One of the reasons the movie works is because it has realistic dialog - dialog as Indians use in normal daily life, nothing cheesy that Hindi movies are so used to. Music: The movie is aptly supported by Amit Trivedi's foot-tapping and innovative score. That said, if I could, I would either eliminate some songs or shorten them just to reduce the length of the movie. Entertainment factor: Make no mistake, this is NOT an ""art film"" or parallel cinema. This is a highly entertaining and fun movie that also happens to be high quality and meaningful. Though the protagonist of the movie is a woman, the movie is equally entertaining for all men and women.",must watch highly recommended all men or women,go watch this movie theater bollywood needs high quality movies like this which are not only meaningful but also provide full entertainment fun without appearing pretentious fake these are kind movies that need make money so that producers invest them i feel bit out league reviewing this movie when all movie critics stalwarts bollywood such as karan johar aamir khan have highly praised this movie kangana ranauts performance almost unanimous voice it really leaves one with nothing more say so i am going only mention few things more detail ranauts performance one best performances come out hindi cinema several years this is not about shedding tears yelling looking cute gorgeous or dancing which interestingly accounts good acting most indian audience it is marked by subtleties such as faintly raised eyebrows shrunk nose narrowed eyes aversive gaze awkwardly positioned arms legs contorted body crestfallen face shadow smirk etc even when she cries her wailing makes you wonder if you are really watching act ranaut who real life is well known as fashionista has transformed her body language her mannerisms her expressions completely this role one thing is certain it is hard imagine any other actress this role hard imagine this movie without kangana ranaut as rani vikas bahls direction credit also goes director vikas bahl without him movie could have been wreck movie has very simple plot is therefore not easy story make movie with but bahl manages steer clear all traps derailment that story provides movie may seem bit slow middle but then without sufficient time develop emotions attitude character movie would not be as effective he is also one very few directors who have managed utilize ranauts potential as artist i heard interview that bahl allowed ranaut creative freedom allowing her even pen her own dialogs some parts movie wish all those control freaks out there are hearing story screenplay dialog ranis challenges this story are not hers alone they are trials every person man or woman who has felt diffident owing their cultivated nature or low spirited when bowed down by circumstances this is story gaining perspective discovering ones potential through travel cross cultural exposure external support that is why story is so meaningful every person one reasons movie works is because it has realistic dialog dialog as indians use normal daily life nothing cheesy that hindi movies are so used music movie is aptly supported by amit trivedis foot tapping innovative score that said if i could i would either eliminate some songs or shorten them just reduce length movie entertainment factor make no mistake this is not art film or parallel cinema this is highly entertaining fun movie that also happens be high quality meaningful though protagonist movie is woman movie is equally entertaining all men women,0.5427717652717654,0.1512181337181337,Positive,"{'Happy': 0.07, 'Angry': 0.06, 'Surprise': 0.25, 'Sad': 0.31, 'Fear': 0.31}"
9.0,Perfect!,"Queen (Hindi): The Phantom Productions are back with a bang this year after their fresh romance in ""Hasee Toh Phansee"" with the story of a typical Punjabi girl whose journey causing the change of her real identity which has been shown brilliantly in the film which has shades of films like ""Jab We Met"" , ""Zindagi Milegi Na Dobara"" and even some of the Satyajit Ray's films like ""Charulata"" and ""Mahanagar"" . Hatsoff to director Vikas Behl for showing the brilliant character development of the protagonist (played by Kangana Ranaut) from Rani to Queen which scores in its riveting screenplay (Behl, Parveez Sheikh and Chaitily Parmar) along with crackling dialogues (Anvita Dutt and Kangana Ranaut), the cinematography by Bobby Singh and Siddharth Diwan actually reminds of the film 'Dev D' and it captures the locales beautifully along with the moments in the film and then comes the music score by Amit Trivedi which is simply fabulous and scores in making the narrative flow like anything. In the performances, the foreign cast (Bokyo Mish, Jeffery Ho and Joseph Guitobh) are simply superb and riveting. Rajkummar Rao and Lisa Hayden provide shoulder brilliantly to the protagonist and it's development. Last but not the least, it's Kangana Ranaut who brilliantly carries the film on her shoulders and she repeats her brilliance what we saw in films like ""Gangster"" and ""Fashion"" and she comes out as a real winner and a real Queen. Despite some draggy moments, director Behl's narration succeeds in making the film worth a watch for some fresh cinematic experience. My rating would be: 4/5.",perfect,queen hindi phantom productions are back with bang this year after their fresh romance hasee toh phansee with story typical punjabi girl whose journey causing change her real identity which has been shown brilliantly film which has shades films like jab we met zindagi milegi na dobara even some satyajit rays films like charulata mahanagar hatsoff director vikas behl showing brilliant character development protagonist played by kangana ranaut rani queen which scores its riveting screenplay behl parveez sheikh chaitily parmar along with crackling dialogues anvita dutt kangana ranaut cinematography by bobby singh siddharth diwan actually reminds film dev d it captures locales beautifully along with moments film then comes music score by amit trivedi which is simply fabulous scores making narrative flow like anything performances foreign cast bokyo mish jeffery ho joseph guitobh are simply superb riveting rajkummar rao lisa hayden provide shoulder brilliantly protagonist its development last but not least its kangana ranaut who brilliantly carries film her shoulders she repeats her brilliance what we saw films like gangster fashion she comes out as real winner real queen despite some draggy moments director behls narration succeeds making film worth watch some fresh cinematic experience my rating would be 4 5,0.5621527777777777,0.4128472222222222,Positive,"{'Happy': 0.13, 'Angry': 0.13, 'Surprise': 0.33, 'Sad': 0.2, 'Fear': 0.2}"
