Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,"If you'd like to see an Indian movie and aren't just looking for romance, this would be a good place to start","The Cinemark near me has started to show Indian movies. Not feeling like sitting home tonight, I decided to catch this one, and luck was with me.My image of Indian movies, I confess, was that they were mostly musicals centering around a love story involving a very beautiful young woman and a very handsome young man, with lots of elaborate, high-energy dance numbers to keep things going.There is a love story here, but it's not the focus of the film. There are also a few large and very impressive dance numbers, but only a few. (The men's dancing, extremely athletic, astounded me.)Rather, this movie focuses on the story of two young men in 1920s India who, each in his own way, are fighting against the English occupiers.The English are portrayed as inhuman monsters. Very often, they made me think of the worst atrocities committed by the Germans in France during World War II, or the most rabid racists in the American South. The first time we see the two male leads dancing, a link is indeed made between the Indians and what appear to be Black American musicians.Every time the Indians manage to take revenge on the English for their inhuman abuse of the Indians, you cheer - but at times I wondered if I would have cheered watching a parallel movie about Blacks taking revenge on white racists who had mistreated them in the American South, especially if I had been in a movie theater where, like tonight, I was the only audience member who did not belong to the oppressed population. Imagine Spike Lee, for example, able to make a movie in which he did not have to worry about selling tickets to whites as well as Blacks, and you have some idea of how anti-British colonials this movie is. It is the difference between a society in which the oppressor was a small minority of the population vs. Here, where Blacks are a minority of the American population. I don't want to push this comparison too far. The movie only makes the connection in one scene. But this is very definitely a movie that focuses on the story of a brutally oppressed people seeking freedom from an inhuman oppressor, rather than just a series of dance numbers.I don't speak any of the Indian languages used in the movie, but I had no problem following what was going on with the subtitles, which were almost always easy to read. I'm sure there were cultural references I didn't catch, however, especially at the end in the final big dance number, which seemed to be presenting India as a nation of different regions and cultures all united in one.The director and cinematographer definitely deserve praise. There was one very striking visual image after the next, especially during the battle scenes. Ram Charan, dressed as a ""native warrior""-if that term means anything anymore-flying through flames was breathtaking.So, if you've even been curious about Indian movies, give this one a try. Yes, it's three hours long, but trust me, the time goes flying by. This is truly an action movie, a mixture of visual fantasy and often very graphic realism that held my interest to the end.",if youd like see indian movie arent just looking romance this would be good place start,cinemark near me has started show indian movies not feeling like sitting home tonight i decided catch this one luck was with me my image indian movies i confess was that they were mostly musicals centering around love story involving very beautiful young woman very handsome young man with lots elaborate high energy dance numbers keep things going there is love story here but its not focus film there are also few large very impressive dance numbers but only few mens dancing extremely athletic astounded me rather this movie focuses story two young men 1920s india who each his own way are fighting against english occupiers english are portrayed as inhuman monsters very often they made me think worst atrocities committed by germans france during world war ii or most rabid racists american south first time we see two male leads dancing link is indeed made between indians what appear be black american musicians every time indians manage take revenge english their inhuman abuse indians you cheer but at times i wondered if i would have cheered watching parallel movie about blacks taking revenge white racists who had mistreated them american south especially if i had been movie theater where like tonight i was only audience member who did not belong oppressed population imagine spike lee example able make movie which he did not have worry about selling tickets whites as well as blacks you have some idea how anti british colonials this movie is it is difference between society which oppressor was small minority population vs here where blacks are minority american population i dont want push this comparison too far movie only makes connection one scene but this is very definitely movie that focuses story brutally oppressed people seeking freedom inhuman oppressor rather than just series dance numbers i dont speak any indian languages used movie but i had no problem following what was going with subtitles which were almost always easy read im sure there were cultural references i didnt catch however especially at end final big dance number which seemed be presenting india as nation different regions cultures all united one director cinematographer definitely deserve praise there was one very striking visual image after next especially during battle scenes ram charan dressed as native warrior if that term means anything anymore flying through flames was breathtaking so if youve even been curious about indian movies give this one try yes its three hours long but trust me time goes flying by this is truly action movie mixture visual fantasy often very graphic realism that held my interest end,0.5089106502816181,0.13049923195084487,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.19, 'Fear': 0.45}"
10,"SS Rajamouli Delivers A Power Packed Action Entertainer Once Again, Made Only For Big Screen !!!","The last time director SS Rajamouli managed to wow the audience was in 2017 with the film Baahubali: The Conclusion. It took him 5 long years for him to conceptualise his next film RRR, shoot and bring it to the silver screen. Pulling off a multi-starrer with Jr NTR and Ram Charan in the lead roles might seem an accomplishment in itself. But Rajamouli manages to deliver even when it comes to the story.RRR is set in the 1920s and revolves around the lives of two revolutionaries - Alluri Seetharama Raju who waged an armed campaign against the British and Komaram Bheem a tribal from the Gond tribe who fought against atrocities heaped on his people. There is no historical evidence to show that the two ever met or fought together but Rajamouli reimagines history and weaves a story around their meeting.RRR runs on a relatively simple premise. There's 'fire' - an angry, young police officer Ramaraju (Ram Charan) who is both revered and feared by the British. He has done their every bidding for years, he is the one they sic on anyone they want to capture and yet, he is the one who's never given enough respect due to the colour of his skin. Then there's 'water' - sweet, simple, innocent Bheem (Jr NTR) who has brute strength but uses it only when it serves his purpose. He's a Gond tribal who has come to the city to rescue a young girl called Malli, who was taken away by Lady Scott (Alison Doody), to be the singing doll 'on (her) mantelpiece'. But that is just the beginning of the tale.Rajamouli's new calling cards seem to be building new world. Because, despite being based on two revolutionaries from history, RRR has a story that's completely fictional. Delhi of the 1920s becomes his new canvas. Bheem might have fought against the Nizams, so much so that one of them finds it imperative to warn the British that he's not to be taken lightly. But he also finds shelter with Muslims in Delhi. Ramaraju might seem like a well-trained soldier who will follow instructions blindly but he also seems to have a past no one but his uncle (Samuthirakani) knows about. Scott (Ray Stevenson) might believe 'brown rubbish' deserve even a bullet to be wasted on them but Jennifer (Olivia Morris) seems more empathetic. This is not the freedom movement where you turn the other cheek, this is the one where you use your hands as weapons.The first half of RRR runs like clockwork. There's the emotional core in Malli, there's the song and dance with Naatu Naatu (it'll make you smile) and a friendship explored through Dosti, there's even a few laughs whenever Bheem tries to befriend Jennifer. Cinematic liberties are taken but they don't seem as noticable as in the later portions, half where the film falters a bit. The way Ramaraju's fiancé Sita (Alia Bhatt) is woven into the narrative, apart from Ram Charan's transformation to another look also seem forced in a tale that was smooth sailing. After the way Bheem is set up effortlessly despite nothing much being told, the way Ramaraju's story unfolds seems strained. The climax leaves more to be desired. The good thing however is that the film manages to surprise you. Rajamouli also manages to use certain tropes set up in the initial portions of the film in the latter portions cleverly.None-the-less Rajamouli manages to pull off something people have been pining for - a commercial, action drama that will keep you thoroughly entertained - which it does. The length also doesn't prove to be a hindrance, thanks to a tight screenplay. The VFX in certain portions could've been better. Jr NTR pulls off his career's best performance. He's charming as Bheem, especially in the emotional bits and his desperation to find Malli comes through well, so does his love for Ramaraju. Ram Charan also does well, pouring soul into the transformations his character goes through. Tarak and Charan's roles require them to have chemistry, which they do. Alia Bhatt, Olivia Morris, Samuthirakani, Ajay Devgn, Shriya Saran and others play their parts well. Olivia in particular manages to win your heart. Alison and Ray breeze through their roles. Keeravani's OST for the film might not be for everyone but he does well with the BGM. Senthil's camerawork is a delight too.RRR is made for a big screen viewing. The cinematography and visual aesthetics paint every frame in a radiating manner. Oodles of flamboyance is something one has come to expect from Rajamouli now. The background score thuds with relentless urgency and repetition, unapologetically melodramatic and quite smitten with itself. It numbs us into submission but post-interval as the pace falters a little, the pleasures dwindle too.RRR is perfection by any means because after the way Rajamouli pulls off certain scenes, you wonder if he could've done a better job in others. But watch this one this weekend if you've been longing for a good action packed drama. Especially so if you're a fan of the lead duo.",ss rajamouli delivers power packed action entertainer once again made only big screen,last time director ss rajamouli managed wow audience was 2017 with film baahubali conclusion it took him 5 long years him conceptualise his next film rrr shoot bring it silver screen pulling off multi starrer with jr ntr ram charan lead roles might seem accomplishment itself but rajamouli manages deliver even when it comes story rrr is set 1920s revolves around lives two revolutionaries alluri seetharama raju who waged armed campaign against british komaram bheem tribal gond tribe who fought against atrocities heaped his people there is no historical evidence show that two ever met or fought together but rajamouli reimagines history weaves story around their meeting rrr runs relatively simple premise theres fire angry young police officer ramaraju ram charan who is both revered feared by british he has done their every bidding years he is one they sic anyone they want capture yet he is one whos never given enough respect due colour his skin then theres water sweet simple innocent bheem jr ntr who has brute strength but uses it only when it serves his purpose hes gond tribal who has come city rescue young girl called malli who was taken away by lady scott alison doody be singing doll her mantelpiece but that is just beginning tale rajamoulis new calling cards seem be building new world because despite being based two revolutionaries history rrr has story thats completely fictional delhi 1920s becomes his new canvas bheem might have fought against nizams so much so that one them finds it imperative warn british that hes not be taken lightly but he also finds shelter with muslims delhi ramaraju might seem like well trained soldier who will follow instructions blindly but he also seems have past no one but his uncle samuthirakani knows about scott ray stevenson might believe brown rubbish deserve even bullet be wasted them but jennifer olivia morris seems more empathetic this is not freedom movement where you turn other cheek this is one where you use your hands as weapons first half rrr runs like clockwork theres emotional core malli theres song dance with naatu naatu itll make you smile friendship explored through dosti theres even few laughs whenever bheem tries befriend jennifer cinematic liberties are taken but they dont seem as noticable as later portions half where film falters bit way ramarajus fianc sita alia bhatt is woven into narrative apart ram charans transformation another look also seem forced tale that was smooth sailing after way bheem is set up effortlessly despite nothing much being told way ramarajus story unfolds seems strained climax leaves more be desired good thing however is that film manages surprise you rajamouli also manages use certain tropes set up initial portions film latter portions cleverly none less rajamouli manages pull off something people have been pining commercial action drama that will keep you thoroughly entertained which it does length also doesnt prove be hindrance thanks tight screenplay vfx certain portions couldve been better jr ntr pulls off his careers best performance hes charming as bheem especially emotional bits his desperation find malli comes through well so does his love ramaraju ram charan also does well pouring soul into transformations his character goes through tarak charans roles require them have chemistry which they do alia bhatt olivia morris samuthirakani ajay devgn shriya saran others play their parts well olivia particular manages win your heart alison ray breeze through their roles keeravanis ost film might not be everyone but he does well with bgm senthils camerawork is delight too rrr is made big screen viewing cinematography visual aesthetics paint every frame radiating manner oodles flamboyance is something one has come expect rajamouli now background score thuds with relentless urgency repetition unapologetically melodramatic quite smitten with itself it numbs us into submission but post interval as pace falters little pleasures dwindle too rrr is perfection by any means because after way rajamouli pulls off certain scenes you wonder if he couldve done better job others but watch this one this weekend if youve been longing good action packed drama especially so if youre fan lead duo,0.37973599170782274,0.11224239375647828,Positive,"{'Happy': 0.1, 'Angry': 0.11, 'Surprise': 0.18, 'Sad': 0.28, 'Fear': 0.34}"
10,"When the movie ends, it was like completing the festival celebration","RATED 10/10 Language: Telugu Media Partner: Zee5 Source: Nil HIGHLY RECOMMENDEDMovie starts with two hero introductions, that itself like full meals satisfaction...Really the trailer shown the 30% of the movie, it has much more action blocks and goosebumps moments in the movie... its real double treat. Mass moments also doubled with dual heroes... Naattu song is the cherry on top, whole theatre goes mad on this one... the interval block action sequence is real jaw dropping one, even though we can guess this one, but cant guess the scale...Second half starts with bit slow flashback, but it picks up to the peak immediately. Second half has more sentiments and more screen space for RC. RC outshines NTR in lot of places... All the action blocks are gravity defying but enjoyable.... After credit Janta song has cameo from Rajamouli. When the movie ends it was like completing the festival celebration....Exceeding expectations in all aspects....",when movie ends it was like completing festival celebration,rated 10 10 language telugu media partner zee5 source nil highly recommendedmovie starts with two hero introductions that itself like full meals satisfaction really trailer shown 30 movie it has much more action blocks goosebumps moments movie its real double treat mass moments also doubled with dual heroes naattu song is cherry top whole theatre goes mad this one interval block action sequence is real jaw dropping one even though we can guess this one but cant guess scale second half starts with bit slow flashback but it picks up peak immediately second half has more sentiments more screen space rc rc outshines ntr lot places all action blocks are gravity defying but enjoyable after credit janta song has cameo rajamouli when movie ends it was like completing festival celebration exceeding expectations all aspects,0.33116666666666666,0.13258333333333333,Positive,"{'Happy': 0.07, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.18, 'Fear': 0.46}"
10,SS RAJAMOULI A FILMMAKER WHO HASN'T LOST HIS ROOTS,"I'm not a native Telugu speaking audience so the first time i was exposed to ss rajamouli was when i saw eega that movie also i watched because i heard that ajay devgan was dubbing for the film from that day to this day you can say I'm a fanboy.RRR bleeds ss rajamouli in every frame from the action to dance to the most mundain dilogue it has what i call rajamouli pitch to the film. The filmis three hours long but it never feel like it,the editing and cinematography is awesome the only bad thing about the film is the songs are not as good as his favourite filmsThe film is casted perfectly Ram Charan has played his most wonderful character, NTR has restraint yet powerful presence to the film Alia Bhatt is graceful. All the foreign actors are well casted special mention to the Olivia moris. Ajay Devgan is awesome even in a limited screen presence i would be tempted to say he outperormed both the heros of the Film.The best thing about the film though is the action choreography and it was expected to be good but that have surpassed my expectations same goes with visual effects.The action set peieces were meticulously planned and perfectly excuted.The film will leave you with a wow and it will touch your heart one way or another.one of the most wonderful films i have seen in past few years.",ss rajamouli filmmaker who hasnt lost his roots,im not native telugu speaking audience so first time i was exposed ss rajamouli was when i saw eega that movie also i watched because i heard that ajay devgan was dubbing film that day this day you can say im fanboy rrr bleeds ss rajamouli every frame action dance most mundain dilogue it has what i call rajamouli pitch film filmis three hours long but it never feel like it editing cinematography is awesome only bad thing about film is songs are not as good as his favourite filmsthe film is casted perfectly ram charan has played his most wonderful character ntr has restraint yet powerful presence film alia bhatt is graceful all foreign actors are well casted special mention olivia moris ajay devgan is awesome even limited screen presence i would be tempted say he outperormed both heros film best thing about film though is action choreography it was expected be good but that have surpassed my expectations same goes with visual effects action set peieces were meticulously planned perfectly excuted film will leave you with wow it will touch your heart one way or another one most wonderful films i have seen past few years,0.5315270935960591,0.33485221674876847,Positive,"{'Happy': 0.16, 'Angry': 0.0, 'Surprise': 0.34, 'Sad': 0.18, 'Fear': 0.32}"
9,"probably the most brutally violent PG-13 in a while, plus a dance battle!","Total militaristic propaganda on a scale that is as immense in scope as a David Lean and as bloody and brutalist as Mel Gibson. It's certainly nowhere near as subtle as the former (well, duh, kids), but it also manages to be rapturously stupid it's gruesome violence than anything the latter would do. My wife with me also pointed out Zack Snyder but far superior visa vi ""here's a man with something to say... and it's LOUD and SLOW MO"" and I concur up to a point. And if you don't like British people, boys and girls have I got a smorgasbord of ""f the Brits"" for you (it's alright there's the one good lady one).But what experiencing all 187 minutes of RRR truly is - and final peppy and totally dissonant music number included that is the run time - is going to the All You Can eat buffet where you are not going to leave for like 10 hours: it's a somber and powerful war movie, a Gritty Run they the Jungle slaughter fest, a Cornball treatise on Friendship, a (at times very literally) fiery call to arms against the British or any Colonial power, a sliver of romance for good measure for Bheem, and for five to ten minutes a deliriously exciting Step Up dance-off movie. It's exhausting and crude and at times laughable (all those CGI animals oh my), and I had an absolute blast. You know what you're in for when our two heroes first meet under the bridge surrounded by fire. If you're not with it by then, leave and don't come back.I know this is not historically accurate (LOL), but who needs accuracy when the exploitation-meter needs breaks through the glass and becomes a superhero bent on saving everyone with all the guns? This is gloriously crazy but it's totally sincere. Oh, and Ray Stevenson: performance of his career! (If only Aamir Khan was here, 5 stars easy).",probably most brutally violent pg 13 while plus dance battle,total militaristic propaganda scale that is as immense scope as david lean as bloody brutalist as mel gibson its certainly nowhere near as subtle as former well duh kids but it also manages be rapturously stupid its gruesome violence than anything latter would do my wife with me also pointed out zack snyder but far superior visa vi heres man with something say its loud slow mo i concur up point if you dont like british people boys girls have i got smorgasbord f brits you its alright theres one good lady one but what experiencing all 187 minutes rrr truly is final peppy totally dissonant music number included that is run time is going all you can eat buffet where you are not going leave like 10 hours its somber powerful war movie gritty run they jungle slaughter fest cornball treatise friendship at times very literally fiery call arms against british or any colonial power sliver romance good measure bheem five ten minutes deliriously exciting step up dance off movie its exhausting crude at times laughable all those cgi animals oh my i had absolute blast you know what youre when our two heroes first meet under bridge surrounded by fire if youre not with it by then leave dont come back i know this is not historically accurate lol but who needs accuracy when exploitation meter needs breaks through glass becomes superhero bent saving everyone with all guns this is gloriously crazy but its totally sincere oh ray stevenson performance his career if only aamir khan was here 5 stars easy,0.6224738675958188,-0.017944250871080134,Negative,"{'Happy': 0.11, 'Angry': 0.08, 'Surprise': 0.25, 'Sad': 0.11, 'Fear': 0.44}"
9,Pride of Indian Cinema #RRR,"Just watched #RRR. Are u going to read this review. Review less film, The Tag S. SRajamouli is enough to watch it Mind blowing, Charan,Tarak performances are Top notch , I think they gave carrer best performance. Vfx,Music, Production design every thing is Back bone of film, review is not more than this because Enjoy this master peice only in threaters....❤❤🙏🙏🙏 once again #RRR Pride of Indian cinema , Take a bow captain of the ship s.s rajamouli garu🔥🔥 4.5/5⭐ At last Dont encourage Piracy ,Enjoy those Veralevel Action Scenes only in Threaters.",pride indian cinema,just watched are u going read this review review less film tag s srajamouli is enough watch it mind blowing charan tarak performances are top notch i think they gave carrer best performance vfx music production design every thing is back bone film review is not more than this because enjoy this master peice only threaters once again pride indian cinema take bow captain ship s s rajamouli garu 4 5 5 at last dont encourage piracy enjoy those veralevel action scenes only threaters,0.41944444444444445,0.16527777777777777,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.53, 'Sad': 0.0, 'Fear': 0.24}"
3,A couple f hours wasted...,Same old repeated storyline.. action scenes were overly exaggerated and unrealistic. Looking at the ratings I'm surprised even in the 21st century people appreciate such.. Casting was great.. probably that was the only thing that was good and the only reason so many people rated 8-9-10.,couple f hours wasted,same old repeated storyline action scenes were overly exaggerated unrealistic looking at ratings im surprised even 21st century people appreciate such casting was great probably that was only thing that was good only reason so many people rated 8 9 10,0.5482142857142857,0.07857142857142858,Positive,"{'Happy': 0.38, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.25}"
10,"Ravishing, Refreshing, Recommendable.","If Magadheera, Eega and the Baahubali movies were a mere teaser of what S. S. Rajamouli is capable of as a filmmaker, RRR is the feature length definition of his ability to create cinema that transcends language and nativity barriers, eventually delivering what many try but fail to deliver: universal entertainment. RRR is an intense action drama with all the makings of a perfect visual spectacle, and experiencing it in 3D would only make it better. Ranging from the grand production values to resonant emotions to the outstanding action sequences, RRR is epic in every sense of the word, and truly Ravishing, Refreshing and Recommendable.The film might be around three hours long, but it never actually feels like a long film. In fact, times flies by really quick while watching RRR, an explosive cinematic blockbuster which has entertainment for all ages in spite of the U/A rating. The cinematography, the visual effects and the fight and dance choreography are some of the key highlights of the film, aside from the terrific performances by Jr. NTR, Ram Charan and others. Ajay Devgn and Alia Bhatt shine in their brief yet integral roles. One more good thing is the songs never hinder the storytelling and instead make the experience more and more fun. And then, we have the fights and stunts which totally dominate the show and deliver a bang for the buck, which is what any action buff could ask for.Plus, director S. S. Rajamouli has beautifully handled the depiction of his film's two heroes, giving them a balanced amount of focus so that the viewers can never call just one of them the ""main hero"". Also, the background music is gold and a major asset to the proceedings. Editing is razor-sharp and the sets look grand. RRR only reinstates the fact that S. S. Rajamouli is the undisputed king of period action dramas in India and that other filmmakers have a lot to learn from him. I would definitely recommend watching RRR and suggest you not to leave the seat until the very end, otherwise you might miss some important parts. This is what cinema exists for, and you don't need to think too much before booking your tickets.",ravishing refreshing recommendable,if magadheera eega baahubali movies were mere teaser what s s rajamouli is capable as filmmaker rrr is feature length definition his ability create cinema that transcends language nativity barriers eventually delivering what many try but fail deliver universal entertainment rrr is intense action drama with all makings perfect visual spectacle experiencing it 3d would only make it better ranging grand production values resonant emotions outstanding action sequences rrr is epic every sense word truly ravishing refreshing recommendable film might be around three hours long but it never actually feels like long film fact times flies by really quick while watching rrr explosive cinematic blockbuster which has entertainment all ages spite u rating cinematography visual effects fight dance choreography are some key highlights film aside terrific performances by jr ntr ram charan others ajay devgn alia bhatt shine their brief yet integral roles one more good thing is songs never hinder storytelling instead make experience more more fun then we have fights stunts which totally dominate show deliver bang buck which is what any action buff could ask plus director s s rajamouli has beautifully handled depiction his films two heroes giving them balanced amount focus so that viewers can never call just one them main hero also background music is gold major asset proceedings editing is razor sharp sets look grand rrr only reinstates fact that s s rajamouli is undisputed king period action dramas india that other filmmakers have lot learn him i would definitely recommend watching rrr suggest you not leave seat until very end otherwise you might miss some important parts this is what cinema exists you dont need think too much before booking your tickets,0.5292592592592592,0.1947222222222222,Positive,"{'Happy': 0.07, 'Angry': 0.12, 'Surprise': 0.24, 'Sad': 0.19, 'Fear': 0.38}"
10,A Magnificent Movie By SS Rajamouli,"A story about 2 individuals and their respective missions. Its has nothing to do with the India's independence and all....Alluri Sitarama Raju and Komaram Bheema played by Ram Charan and Junior NTR had done an amazing performance. They just toiled for this movie...Visual Effects, Action Stunts, BGM was the highlighting factor as we focus only on story line it will be a disaster as these commercial elements is required to make the audience watch for 3hrs...Breath taking action sequences during the Hero's introduction, interval and at climax which we should definitely expect from a Rajamouli Film...Sabu Cyril production design was fantastic as he able to met the expectations of the director.Alia Bhat failed to impress whereas Ajay Devgn done his cameo performance very well...RRR is all of mass movie with high octane action sequences...The cinematography especially was fabulous as an it just able to say us ""Whoaaa""Nattu Nattu song was just awesome as we could see the fast pace Junior NTR and Ram Charan doing their steps and that too with a proper coordination which just have to be experienced over a big screen..Overall its a visual impact treat which at PVR big screen or at Dolby Atmos can be watched.. That kind of efforts the team had put...So RRR a mass entertainer visual impact movie.",magnificent movie by ss rajamouli,story about 2 individuals their respective missions its has nothing do with indias independence all alluri sitarama raju komaram bheema played by ram charan junior ntr had done amazing performance they just toiled this movie visual effects action stunts bgm was highlighting factor as we focus only story line it will be disaster as these commercial elements is required make audience watch 3hrs breath taking action sequences during heros introduction interval at climax which we should definitely expect rajamouli film sabu cyril production design was fantastic as he able met expectations director alia bhat failed impress whereas ajay devgn done his cameo performance very well rrr is all mass movie with high octane action sequences cinematography especially was fabulous as it just able say us whoaaa nattu nattu song was just awesome as we could see fast pace junior ntr ram charan doing their steps that too with proper coordination which just have be experienced over big screen overall its visual impact treat which at pvr big screen or at dolby atmos can be watched that kind efforts team had put so rrr mass entertainer visual impact movie,0.45678571428571424,0.22,Positive,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.38, 'Sad': 0.08, 'Fear': 0.3}"
1,Worst film in my life,"IDK,what rajamouli did for 4 years and resources. This is the worst movie in my life. I was extremely hyped by promotions and millions of fake reviews. Since,this movie lacks story then we should get attached to emotions driven in movie. It utterly failed me to connect the emotions. A very well known story and hypocritical movie.",worst film my life,idk what rajamouli did 4 years resources this is worst movie my life i was extremely hyped by promotions millions fake reviews since this movie lacks story then we should get attached emotions driven movie it utterly failed me connect emotions very well known story hypocritical movie,0.7666666666666666,-0.4875,Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.56, 'Fear': 0.33}"
