Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,Sairat - a story that was finally told - no holds barred,"Saw the show few hours back and it was a sheer delight to watch a Marathi movie done with such elegance and crispness. Having Marathi as my mother tongue helped me understand a lot of context that gets lost in translation for non native viewers.Story : I won't go into the story as I really wish you watch the movie and be surprised with the freshness of a love story seldom told with such honesty and rooted in reality. It could have easily succumbed to being another Bollywoodish love story; shallow and melodramatic. Kudos to Nagraj Manjule for not bowing to the formulaic templates being dished out now days.Dialogues : The movies scores very high on the dialogs partly because there is no attempt made to pander to city audiences. The language is kept as close to rural Marathi from Western Maharashtra that city slickers might easily miss the clever one liners that make even an average line an attention grabber. Slang used throughout the movie adds a earthy quality. I wanted to list it here, but IMDb's language recognition treats it as a spelling mistake. :-| Music & Background score : This has to be the most significant factor to 'bring' the people to the theater. In the absence of known faces, the film depended a lot on the music to get people interested before the release and Ajay-Atul didn't disappoint! The melodies are few of the sweetest ones heard in years and they are served in varying degrees of moods too. From a dreamy melody for Parshya to the melodious fusion of rock to vocals for Archie juxtaposed with the peppy dance number 'Zing Zing Zingat' the music stands out for special mention. I get the feeling of having heard parts of the score before though. Can't pin point exactly.Recording the symphony in Sony studios, LA has made the songs more enjoyable. Personally, I would rate them very close, if not better, than soundtracks from legends like Nino Rota, Ennio Morricone, Hans Zimmer & James Horner.Direction : Nagraj Manjule proves once again that movies with a message can be entertaining without being preachy. Especially, with the kind of subject he deals with it becomes very important to make sure it doesn't slip into a rhetoric bordering on a bias. It could be disastrous for a movie to 'hurt sentiments' in India and get away with it. He treads the narrow path with elegance and yet manages to shove a bitter pill down the throat of the audience without them knowing it.All said and done, for all those who expect it to be a run of the mill love story shall be woken up for sure as the final scene unravels before them. It reminded me of the tracking shot in 'Taxi Driver'.Camera work : The camera-work is top notch. Beautiful locales and magnificent vistas are captured with an equal bias to the protagonists. The slow mo shots embellish the movie without distracting the audience. In fact the audience erupted in joy to witness such slick work in a Marathi movie.Acting : It is Archie (Rinku Rajguru) all the way. Her screen presence is without doubt impressive and difficult to believe her debut as well. Her face lends itself to many moments which would test even a seasoned actor. However, she carries all those scenes with a poise and honesty that the character demands. It is difficult to separate the character of Archie from Rinku such is the grasp of Rinku throughout the movie. Her character more of less decides the direction of the movie. Any lesser actor and the film would have been boring at 3hr length. The rest of the characters are perfectly cast as well (good job by the casting director). Every character seems to essay a real person's sketch such is the honesty in the portrayal of the actors. Especially Parshya and his two partners in crime, Pradeep (aka Langda) & Salya (Salim).Parshya (Aakash) is good looking and has carried off the somewhat sober Parshya's character with a lot of honesty. He emotes well and looks intimidating where it demands. He can definitely go a long way provided he gets similar roles in the future or he adds another dimension to his acting not demanded by Parshya's character. Pradeep Bansode (Langdya) is a surprise package who stands by his friend and adds a lot of the comic relief throughout the first half. His eagerness to help out his friend emanates from his own failure, so it seems. He even blushes on his friends behalf!Salim (Salya) is Parshya's neighbor and equally committed to the friendship. He adds the third angle to the chemistry among the three friends and is the voice of reason too. His acting evokes genuine warmth for Parshya. Final comments : Nagraj has successfully coated a bitter pill in a sweet first half and sour second half that strikes the right chord as soon as it 'hits' you in the end.*Watched again a 2nd time; heres the update*: Thank God for not reducing the length of the film. The film was equally enjoyable the second time around as well. Not to forget the masterstroke of a climax literally evoked a standing ovation from me again. Just wondering whether it was re-edited a bit. Either ways an excellent effort.",sairat story that was finally told no holds barred,saw show few hours back it was sheer delight watch marathi movie done with such elegance crispness having marathi as my mother tongue helped me understand lot context that gets lost translation non native viewers story i wont go into story as i really wish you watch movie be surprised with freshness love story seldom told with such honesty rooted reality it could have easily succumbed being another bollywoodish love story shallow melodramatic kudos nagraj manjule not bowing formulaic templates being dished out now days dialogues movies scores very high dialogs partly because there is no attempt made pander city audiences language is kept as close rural marathi western maharashtra that city slickers might easily miss clever one liners that make even average line attention grabber slang used throughout movie adds earthy quality i wanted list it here but imdbs language recognition treats it as spelling mistake music background score this has be most significant factor bring people theater absence known faces film depended lot music get people interested before release ajay atul didnt disappoint melodies are few sweetest ones heard years they are served varying degrees moods too dreamy melody parshya melodious fusion rock vocals archie juxtaposed with peppy dance number zing zing zingat music stands out special mention i get feeling having heard parts score before though cant pin point exactly recording symphony sony studios la has made songs more enjoyable personally i would rate them very close if not better than soundtracks legends like nino rota ennio morricone hans zimmer james horner direction nagraj manjule proves once again that movies with message can be entertaining without being preachy especially with kind subject he deals with it becomes very important make sure it doesnt slip into rhetoric bordering bias it could be disastrous movie hurt sentiments india get away with it he treads narrow path with elegance yet manages shove bitter pill down throat audience without them knowing it all said done all those who expect it be run mill love story shall be woken up sure as final scene unravels before them it reminded me tracking shot taxi driver camera work camera work is top notch beautiful locales magnificent vistas are captured with equal bias protagonists slow mo shots embellish movie without distracting audience fact audience erupted joy witness such slick work marathi movie acting it is archie rinku rajguru all way her screen presence is without doubt impressive difficult believe her debut as well her face lends itself many moments which would test even seasoned actor however she carries all those scenes with poise honesty that character demands it is difficult separate character archie rinku such is grasp rinku throughout movie her character more less decides direction movie any lesser actor film would have been boring at 3hr length rest characters are perfectly cast as well good job by casting director every character seems essay real persons sketch such is honesty portrayal actors especially parshya his two partners crime pradeep aka langda salya salim parshya aakash is good looking has carried off somewhat sober parshyas character with lot honesty he emotes well looks intimidating where it demands he can definitely go long way provided he gets similar roles future or he adds another dimension his acting not demanded by parshyas character pradeep bansode langdya is surprise package who stands by his friend adds lot comic relief throughout first half his eagerness help out his friend emanates his own failure so it seems he even blushes his friends behalf salim salya is parshyas neighbor equally committed friendship he adds third angle chemistry among three friends is voice reason too his acting evokes genuine warmth parshya final comments nagraj has successfully coated bitter pill sweet first half sour second half that strikes right chord as soon as it hits you end watched again 2nd time heres update thank god not reducing length film film was equally enjoyable second time around as well not forget masterstroke climax literally evoked standing ovation me again just wondering whether it was re edited bit either ways excellent effort,0.4905805675805675,0.15280607663940995,Positive,"{'Happy': 0.18, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.23, 'Fear': 0.34}"
9.0,"Beautiful, realistic, spellbinding and mind numbing !!","After a huge publicity and long wait, the expectations were already high from movie, and yet this movie delivered on every level.'Sairat' means zeal, passion or ardour. It is not a new story, we have seen similar plots on screen before. What makes this movie so special is 'Beauty in Simplicity'. A guy from lower strata of caste system falls for a rich upper class girl, then there is 'The Great Wall of Indian Caste System' standing between them. It is a story about their love, resistance, struggle and their survival. Every character feels so real and believable that I actually forgot they are just acting in front of camera. Cinematography, screenplay, music, background score, performances, direction.. all top notch !! There is a lot I can say about this movie, but it would spoil the fun for those who want to watch. The first half is totally hilarious and funny, it is like a sweet dream for all 'love birds' out there. The second half is a hell lot of reality, but that is what makes is a masterpiece.The movie is released with English Subtitles, so doesn't matter whether you are Marathi speaking or not, I recommend you go watch this movie, specially if you want to witness the life of simple yet complex village people. Of course some meaning is always lost in translation, but I am sure you won't be disappointed. Hats Off to Nagraj Sir and the entire team. If such quality cinema is produced in Marathi industry, then we don't need to go looking for that in Bollywood and Hollywood. Keep'em coming !!",beautiful realistic spellbinding mind numbing,after huge publicity long wait expectations were already high movie yet this movie delivered every level sairat means zeal passion or ardour it is not new story we have seen similar plots screen before what makes this movie so special is beauty simplicity guy lower strata caste system falls rich upper class girl then there is great wall indian caste system standing between them it is story about their love resistance struggle their survival every character feels so real believable that i actually forgot they are just acting front camera cinematography screenplay music background score performances direction all top notch there is lot i can say about this movie but it would spoil fun those who want watch first half is totally hilarious funny it is like sweet dream all love birds out there second half is hell lot reality but that is what makes is masterpiece movie is released with english subtitles so doesnt matter whether you are marathi speaking or not i recommend you go watch this movie specially if you want witness life simple yet complex village people course some meaning is always lost translation but i am sure you wont be disappointed hats off nagraj sir entire team if such quality cinema is produced marathi industry then we dont need go looking that bollywood hollywood keepem coming,0.49267982858891957,0.19286173422537053,Positive,"{'Happy': 0.16, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.17, 'Fear': 0.34}"
10.0,A epic movie in the Marathi movie industry,"I was excited, thrilled after watching this movie. I must say this is one of the epic movie in the Marathi cinema industry. Its been quite an awesome experience. The direction, cinematography, and very catchy song numbers with one of the best music ever created by duo Ajay-Atul. Mr Nagraj Manjule once again provided the world with very good movie. All the best to all the team of ""Sairat"". After giving hits like Pistulya, Fandry, this movie will break all the records and will be one of the biggest hits ever in Marathi Cinema industry. Sairat movie with very well scripted story. Every song is unbeatable with huge fan following everywhere - Zing Zing Zingat, the title song ""Sairat"", Ata ga baya ka"", Yad lagla.",epic movie marathi movie industry,i was excited thrilled after watching this movie i must say this is one epic movie marathi cinema industry its been quite awesome experience direction cinematography very catchy song numbers with one best music ever created by duo ajay atul mr nagraj manjule once again provided world with very good movie all best all team sairat after giving hits like pistulya fandry this movie will break all records will be one biggest hits ever marathi cinema industry sairat movie with very well scripted story every song is unbeatable with huge fan following everywhere zing zing zingat title song sairat ata ga baya ka yad lagla,0.5191666666666667,0.4904166666666667,Positive,"{'Happy': 0.06, 'Angry': 0.12, 'Surprise': 0.56, 'Sad': 0.06, 'Fear': 0.19}"
8.0,Sairat Zaala Ji !!!!!,"Nagraj Manjule does it again !!! He proved that he is not a one film wonder kind of filmmaker and he is here to stay .Marathi cinema is proving its greatness now and then by giving back to back gems like this movie !!!!I had some doubts about this movie as I felt it was same old love story but thank you Nagraj Manjule for proving me wrong . This is the best movie I've ever seen on this topic .Sairat is love story of Parshya and Archi. Story though a bit predictable but screenplay is excellent . First half of the movie is funny and entertaining but it's the second half that will hit you hard . Love scenes between the leads are lovable and you can relate to them . You will feel for the pair . Like Fandry , Manjule once again showed mirror to our society .Music by the great duo Ajay-Atul is great as always , their music adds more to the love story . Music will make you feel the love between the leads .Acting by the cast needs special mention . Not just the lead pair but whole cast did a great job . Rinku Rajguru got a special mention at prestigious National awards , no more needed to says , she is just awesome . Aakash Thosar is very natural . He makes Parshya look very real .But the characters of Pradeep and Salim deserves accolades for their performance . Arbaz Shaikh as Salim is a friend in need a friend indeed kind of a friend . He is always there whenever Parshya needs him . Suraj Pawar as prince has brief but significant role , and he is just perfect. But Tanaji Galgunde as Pradeep was my favorite. He got right under the skin of the character . He is lovable and funny .Camera work was just awesome , every scene is shot so beautifully . Cinematography is one of the best features of the movie . Though movie is quit long but not at all boring . It is very real and raw movie . Second half of the movie is executed perfectly . This is the kind of the movie which will make you think about it even after the movie is over . It will leave you with the feeling which cannot be explained , it's a must watch for sure !!!",sairat zaala ji,nagraj manjule does it again he proved that he is not one film wonder kind filmmaker he is here stay marathi cinema is proving its greatness now then by giving back back gems like this movie i had some doubts about this movie as i felt it was same old love story but thank you nagraj manjule proving me wrong this is best movie ive ever seen this topic sairat is love story parshya archi story though bit predictable but screenplay is excellent first half movie is funny entertaining but its second half that will hit you hard love scenes between leads are lovable you can relate them you will feel pair like fandry manjule once again showed mirror our society music by great duo ajay atul is great as always their music adds more love story music will make you feel love between leads acting by cast needs special mention not just lead pair but whole cast did great job rinku rajguru got special mention at prestigious national awards no more needed says she is just awesome aakash thosar is very natural he makes parshya look very real but characters pradeep salim deserves accolades their performance arbaz shaikh as salim is friend need friend indeed kind friend he is always there whenever parshya needs him suraj pawar as prince has brief but significant role he is just perfect but tanaji galgunde as pradeep was my favorite he got right under skin character he is lovable funny camera work was just awesome every scene is shot so beautifully cinematography is one best features movie though movie is quit long but not at all boring it is very real raw movie second half movie is executed perfectly this is kind movie which will make you think about it even after movie is over it will leave you with feeling which cannot be explained its must watch sure,0.5760019121339874,0.325041122399613,Positive,"{'Happy': 0.3, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.21, 'Fear': 0.21}"
,This is not the review!,"I don't know Marathi. By mistake we gone to the wrong screen and could not stop our self to watching Sairat.After login here i just check my activities. I saw just rate my fav list 10 stars. This is not so fair! No Really....I can just love or hate movies! After years I have seen something that touched my heart. So 10 stars for 'Sairat' too!  This is undoubtedly a masterpiece of Cinema. Beautiful cinematography...flying birds, farms, sun, grass, plants and a well. 9 Rasa are used in the movie...I fill.  Acting part is very very natural. Characterization is unique yet so realistic. This makes movie all time fresh. Once you watch and you can't flavor of the movie ever. Music is awesome...Not Overpowering the visuals. Unfortunately i not understanding the lyrics ...but still singing!  Sudden sarcasm, harshness and shown very beautifully. I am a guy who always dreamed to make movies....this is so inspiring to me. Big thank you to the makers. Sairaat Jhala ji!",this is not review,i dont know marathi by mistake we gone wrong screen could not stop our self watching sairat after login here i just check my activities i saw just rate my fav list 10 stars this is not so fair no really i can just love or hate movies after years i have seen something that touched my heart so 10 stars sairat too this is undoubtedly masterpiece cinema beautiful cinematography flying birds farms sun grass plants well 9 rasa are used movie i fill acting part is very very natural characterization is unique yet so realistic this makes movie all time fresh once you watch you cant flavor movie ever music is awesome not overpowering visuals unfortunately i not understanding lyrics but still singing sudden sarcasm harshness shown very beautifully i am guy who always dreamed make movies this is so inspiring me big thank you makers sairaat jhala ji,0.6737254901960783,0.257156862745098,Positive,"{'Happy': 0.16, 'Angry': 0.04, 'Surprise': 0.28, 'Sad': 0.32, 'Fear': 0.2}"
9.0,Sairat - Another Marathi Film at its best!!!,"To begin with, Sairat(Wild) is a highly acclaimed movie by people and is the highest grossing Marathi film till day. Yes, its a love story between Parshya and Archie, who are madly in love with each other and irrespective of the caste system in this country, want to take their relationship to another level. The movie depicts Innocence, Rawness, Love and Simplicity. The cricket scenes, political scenario in rural areas, the shyness to express feelings, their friendship and other shots is all very moving. Kudos to the team!! The direction, cinematography and the music is highly commendable. The camera work has been terrific throughout the film. For the records, its not only the highest grossing Marathi film but it also bagged many awards including Special Mention National Award for the leading actress of the film. Also, Sairat is the first Indian film to record its songs at Hollywood. The song 'zing zing zingat' made people dance at the cinema halls like PVR and Inox in India and abroad. We need more such movies, instead of those inconsequential Bollywood item numbers and other Bollywood films which has no value at all. Sairat, also has a social message in the film against social stratification in India which has been existing since the British era.",sairat another marathi film at its best,begin with sairat wild is highly acclaimed movie by people is highest grossing marathi film till day yes its love story between parshya archie who are madly love with each other irrespective caste system this country want take their relationship another level movie depicts innocence rawness love simplicity cricket scenes political scenario rural areas shyness express feelings their friendship other shots is all very moving kudos team direction cinematography music is highly commendable camera work has been terrific throughout film records its not only highest grossing marathi film but it also bagged many awards including special mention national award leading actress film also sairat is first indian film record its songs at hollywood song zing zing zingat made people dance at cinema halls like pvr inox india abroad we need more such movies instead those inconsequential bollywood item numbers other bollywood films which has no value at all sairat also has social message film against social stratification india which has been existing since british era,0.4192650103519669,0.19212215320910972,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.21, 'Fear': 0.33}"
7.0,What a Pleasure..,"This is the very first time I ever watched a Marathi movie and I must say I was not disappointed. The actors have delivered a top noch performance. The best thing about this movie is direction and cinamatography. There are not item numbers, heavy make ups, fancy sets or CGI. All you look at is normal people portrying a story in a very believable atmosphere. I really liked the first part of the movie. The streets, houses and fields of village are just so fascinating. There is no item number. There is no nudity. There is no cheesy comedy. Just a plain yet gripping story. Bollywood and Pakistani film makers must look at this film as an example. The ending scenes have huge impact and leave you in shock and grief. Hats off to the director. Lots of love from Pakistan!!!",what pleasure,this is very first time i ever watched marathi movie i must say i was not disappointed actors have delivered top noch performance best thing about this movie is direction cinamatography there are not item numbers heavy make ups fancy sets or cgi all you look at is normal people portrying story very believable atmosphere i really liked first part movie streets houses fields village are just so fascinating there is no item number there is no nudity there is no cheesy comedy just plain yet gripping story bollywood pakistani film makers must look at this film as example ending scenes have huge impact leave you shock grief hats off director lots love pakistan,0.6139880952380952,0.31160714285714286,Positive,"{'Happy': 0.07, 'Angry': 0.04, 'Surprise': 0.46, 'Sad': 0.21, 'Fear': 0.21}"
10.0,To remember few things before watching Sairat!,"This is not a review of this film. It is an attempt to explain few things before you watch this film, so that anyone without a proper knowledge of what exactly the ""story"" wants to express to viewers will at least get an idea of what the film is all about.This film is about a boy and a girl who falls in love - a boy is from one caste and a girl from another caste. Problem rises between them because the fusion of different castes is not allowed in India. What exactly caste is? It is nothing but fabricated way of dividing a population into a ""caste"". The fusion of different castes as I said is not allowed and it is the religion that supports this notion.To the people who have no idea of how caste system works - be it people who live in India or live outside of India have to remember this only - It is this - Caste System works in two forms – In its preserving form, it makes intermarriage i.e. exogamy impossible and when caste switches to its religious form, it makes Untouchability prevailing in modern times.Rest, the film will do the talking!",remember few things before watching sairat,this is not review this film it is attempt explain few things before you watch this film so that anyone without proper knowledge what exactly story wants express viewers will at least get idea what film is all about this film is about boy girl who falls love boy is one caste girl another caste problem rises between them because fusion different castes is not allowed india what exactly caste is it is nothing but fabricated way dividing population into caste fusion different castes as i said is not allowed it is religion that supports this notion people who have no idea how caste system works be it people who live india or live outside india have remember this only it is this caste system works two forms its preserving form it makes intermarriage i e exogamy impossible when caste switches its religious form it makes untouchability prevailing modern times rest film will do talking,0.41388888888888886,0.017003367003367006,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.1, 'Fear': 0.4}"
10.0,Sairat - brilliant work by Sir Nagraj Manjule !,"Sairat - It took me almost a week to recover from the powerful impact of this movie. Some high points: Rinku Rajguru, the lead in this movie is just 15 years old and has received national award for the role of 'Aarchi'. Film was selected in 66th Berlin International Film Festival. Yaad Lagla is the first symphony from this movie recorded in Hollywood, CA (first of its kind for Bollywood) Magical compositions from Ajay - Atul. In just 3 weeks this movie has earned 60 crores and still counting. This movie is becoming so much popular that special shows are arranged in some places at 12 AM and 3 AM. And as per NEWS there will be remakes made in other languages including Telugu, Hindi and Gujarati.Nagraj Manjule Sir you are a brilliant director and have created yet another mind-blowing gem ! 'Aarchi' (Rinku Rajguru) is the soul of this movie and have portrayed much needed rock solid, contentful, firm and powerful lead character who is madly in love with 'Parshya'. 'Parshya' is colored beautifully by Akash Thosar, an innocent dude who falls for Aarchi. Great background scores, amazing casting (special mention for Parshya's friends and Amma), superb cinematography, a heart touching story and direction makes it a complete Marathi movie. Aarchi and Parshya's bond leaves a significant impression on your heart. Clashes of classes and societies wickedly messy ways in enforcing the order are shown very realistically. Team 'Sairat' you totally rocked ! PS: And yes people including me, danced like anything during 'Zingat' and yes even in Dallas ;)",sairat brilliant work by sir nagraj manjule,sairat it took me almost week recover powerful impact this movie some high points rinku rajguru lead this movie is just 15 years old has received national award role aarchi film was selected 66th berlin international film festival yaad lagla is first symphony this movie recorded hollywood ca first its kind bollywood magical compositions ajay atul just 3 weeks this movie has earned 60 crores still counting this movie is becoming so much popular that special shows are arranged some places at 12 am 3 am as per news there will be remakes made other languages including telugu hindi gujarati nagraj manjule sir you are brilliant director have created yet another mind blowing gem aarchi rinku rajguru is soul this movie have portrayed much needed rock solid contentful firm powerful lead character who is madly love with parshya parshya is colored beautifully by akash thosar innocent dude who falls aarchi great background scores amazing casting special mention parshyas friends amma superb cinematography heart touching story direction makes it complete marathi movie aarchi parshyas bond leaves significant impression your heart clashes classes societies wickedly messy ways enforcing order are shown very realistically team sairat you totally rocked ps yes people including me danced like anything during zingat yes even dallas,0.6274039938556066,0.35884792626728107,Positive,"{'Happy': 0.2, 'Angry': 0.04, 'Surprise': 0.33, 'Sad': 0.2, 'Fear': 0.22}"
8.0,Uff!!! dark climax. 8 on 10,This was my first Marathi movie watch. Love this movie and song's. Climax was very heart breaker.,uff dark climax 8 10,this was my first marathi movie watch love this movie songs climax was very heart breaker,0.4083333333333334,0.2,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.0}"
