Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One of the most intelligent movies ever made about gangsters,"SATYA stands out from the normal Bollywood romance fair, being a rather dark and gritty look at the crime underworld of Mumbai. The movie follows the fortunes of a guy called Satya (lit: ""Truth"") in the underworld, and the subtle script explores the theme with a lot of depth.Satya himself is a wonderful character, one of my favourite screen characters ever in fact. Part of this is due to his fantastic beard, but the depth and humanity his character and the performance of J.D.Chakravarti have contribute a lot too.The script and direction of SATYA show a sharpness that cuts to the core of its subject matter in a way that the song and dance routines of the blockbuster movies from any country do. The 3 hour running time allows it to develop and nurture its themes very thoroughly. The result is one of the most palpably intelligent movies ever made about gangsters.This is no romanticised ""cool of the killer"" type movie, it's a pretty honest and thought provoking look at a lifestyle that hopefully nobody reading this has direct involvement with.Strong recommendation to see!",one most intelligent movies ever made about gangsters,satya stands out normal bollywood romance fair being rather dark gritty look at crime underworld mumbai movie follows fortunes guy called satya lit truth underworld subtle script explores theme with lot depth satya himself is wonderful character one my favourite screen characters ever fact part this is due his fantastic beard but depth humanity his character performance j d chakravarti have contribute lot too script direction satya show sharpness that cuts core its subject matter way that song dance routines blockbuster movies any country do 3 hour running time allows it develop nurture its themes very thoroughly result is one most palpably intelligent movies ever made about gangsters this is no romanticised cool killer type movie its pretty honest thought provoking look at lifestyle that hopefully nobody reading this has direct involvement with strong recommendation see,0.662719298245614,0.3162280701754386,Positive,"{'Happy': 0.17, 'Angry': 0.09, 'Surprise': 0.2, 'Sad': 0.17, 'Fear': 0.37}"
8.0,A piece of art by the master,"Satya is a realistic drama which tells the story of its title character, a simple orphaned guy who tries to live life honestly and make a fair living, but is unable to. Only when he enters the underworld, the most dangerous and seemingly dreadful place, does he find financial success, friendship and love. But when he tries to run away and return to his previous simple world, he finds out that all doors are closed for him. Satya is a film that brings very distinct points to its subject matter in comparison to previous films dealing with similar themes. The film is not about underworld. It's about a guy who finds himself trapped in the world of mafia. It's about the pluses and minuses of being involved in such a terrible world. The film is very authentic, and everything in it, from cinematography to music, contributes to this style almost perfectly. The characters are all simple and easy to relate to, they all have dreams of a better life. The story of each character is presented through the eyes of Satya in a minute and unique way.Satya has been blamed for depicting Mumbai as a dirty city of crime, terror and violence. Ram Gopal Varma has also been accused of trying to glorify the mafia. But this view is according to me incorrect; the film clearly shows that anyone who enters this world will end up living under constant threat for his life and eventually find himself killed in the most dire of circumstances. The success, the friendship, the love the film's hero finds, all of it is lost in one unfortunate chain of tragic incidents: the death of his friends, the rejection of his girlfriend, and ultimately his own defeat. That's the result and that's what Varma probably tried to convey. Obviously the hero is portrayed as a good human being and you feel for his ill-fate, but that's to be expected. It's of course partly his own fault, but it's mainly a situation created by circumstances.The acting is terrific. The most sincere performance is that of Manoj Bajpai, who is simply outstanding. He paid attention to both the dark and the bright sides of his character. Urmila Matondkar sheds her well-known image and transforms into a simple dreamy girl in this film. She lets go of her sex appeal and intensity and skillfully creates a sensitive young woman who believes that a better life does exist. An out-and-out excellent performance. Shefali Shah has an extremely small role with little importance. Yet, she is flawless in every possible scene and makes the best of what she is given, which is commendable. The only actor who is not as emotionally convincing is ironically the main protagonist, played by J.D Chakravarthy. He is average in everything he does and was not really a great choice for the part. Satya, while not a film that works for everyone, is an extraordinary film and one of the greatest from its genre. A must-watch.",piece art by master,satya is realistic drama which tells story its title character simple orphaned guy who tries live life honestly make fair living but is unable only when he enters underworld most dangerous seemingly dreadful place does he find financial success friendship love but when he tries run away return his previous simple world he finds out that all doors are closed him satya is film that brings very distinct points its subject matter comparison previous films dealing with similar themes film is not about underworld its about guy who finds himself trapped world mafia its about pluses minuses being involved such terrible world film is very authentic everything it cinematography music contributes this style almost perfectly characters are all simple easy relate they all have dreams better life story each character is presented through eyes satya minute unique way satya has been blamed depicting mumbai as dirty city crime terror violence ram gopal varma has also been accused trying glorify mafia but this view is according me incorrect film clearly shows that anyone who enters this world will end up living under constant threat his life eventually find himself killed most dire circumstances success friendship love films hero finds all it is lost one unfortunate chain tragic incidents death his friends rejection his girlfriend ultimately his own defeat thats result thats what varma probably tried convey obviously hero is portrayed as good human being you feel his ill fate but thats be expected its course partly his own fault but its mainly situation created by circumstances acting is terrific most sincere performance is that manoj bajpai who is simply outstanding he paid attention both dark bright sides his character urmila matondkar sheds her well known image transforms into simple dreamy girl this film she lets go her sex appeal intensity skillfully creates sensitive young woman who believes that better life does exist out out excellent performance shefali shah has extremely small role with little importance yet she is flawless every possible scene makes best what she is given which is commendable only actor who is not as emotionally convincing is ironically main protagonist played by j d chakravarthy he is average everything he does was not really great choice part satya while not film that works everyone is extraordinary film one greatest its genre must watch,0.5833594259621657,0.13329493565794936,Positive,"{'Happy': 0.16, 'Angry': 0.04, 'Surprise': 0.14, 'Sad': 0.27, 'Fear': 0.38}"
10.0,CRIME NEVER PAYS,"Ramgopal Varma's hard hitting film on the Bombay Underworld. This movie is a classic from scene one to the climax. When you see this movie you will see history in the making. A hard hitting story of a person from nowhere , Satya. How he joins the underworld gang led by bhiku mhatre. This movie gives one message hard ""CRIME NEVER PAYS"".The scene where chander(snehal dabi) tells a joke, the scene where bhiku mhatre satya vidya and pyaari go for a dinner, the scene where yedda scares the music director romu sagar, the theatre scene, the climax, all these scenes will go down in the history of indian cinema as classic scenes. Urmila Matondkar as Satya's Girlfriend and Shefali Chaaya as bhiku mhatre's wife are excellent. J.D.Chakravarthi is brilliant as Satya. Manoj Bajpai gives an excellent and award winning performance as bhiku mhatre.He has managed to make the character of bhiku mhatre an immortal one like late amjad khan did for gabbar singh. Govind Namdeo is brilliant as Bhau. Co-script writer saurabh shukla is superb as kallu mama.It is so nice to see that first time writers saurabh shukla & anurag kashyap wrote such a brilliant script. A special mention must be made of the best cameo since rajesh khanna's cameo in andaz, by paresh raawal as commissioner of police.Satya was supposed to be made as a songless film but co-producer Bharat Shah felt that no distributor will buy the film and it will be too tense. Music director Vishal Bharadwaj and lyricist Gulzar were roped in to provide the music for this film and they did a brilliant work. The song ""Sapne Main milti hai"" and ""kallu mamma"" are too good. This is one of the very few brilliant movies of the 90's.",crime never pays,ramgopal varmas hard hitting film bombay underworld this movie is classic scene one climax when you see this movie you will see history making hard hitting story person nowhere satya how he joins underworld gang led by bhiku mhatre this movie gives one message hard crime never pays scene where chander snehal dabi tells joke scene where bhiku mhatre satya vidya pyaari go dinner scene where yedda scares music director romu sagar theatre scene climax all these scenes will go down history indian cinema as classic scenes urmila matondkar as satyas girlfriend shefali chaaya as bhiku mhatres wife are excellent j d chakravarthi is brilliant as satya manoj bajpai gives excellent award winning performance as bhiku mhatre he has managed make character bhiku mhatre immortal one like late amjad khan did gabbar singh govind namdeo is brilliant as bhau co script writer saurabh shukla is superb as kallu mama it is so nice see that first time writers saurabh shukla anurag kashyap wrote such brilliant script special mention must be made best cameo since rajesh khannas cameo andaz by paresh raawal as commissioner police satya was supposed be made as songless film but co producer bharat shah felt that no distributor will buy film it will be too tense music director vishal bharadwaj lyricist gulzar were roped provide music this film they did brilliant work song sapne main milti hai kallu mamma are too good this is one very few brilliant movies 90s,0.6346126984126985,0.3793301587301587,Positive,"{'Happy': 0.26, 'Angry': 0.12, 'Surprise': 0.16, 'Sad': 0.23, 'Fear': 0.23}"
8.0,The one truly great Hindi film of the 1990s,"I am not a big fan of Hindi films - infact I'm not a fan of commercial Hindi films at all. But then there's Satya, Ram Gopal Varma's classic 1998 Indian mafia fan is brilliant, innovative and despite certain directorial flaws is nonetheless so vastly different from the run of the mill Hindi films (ie. 99% of Hindi films) that it is unforgettable. It is 175 minutes long, the typical duration, but it grabs you instantaneously as you follow the journey of Satya who comes to Mumbai to make a life for himself.Before getting into a long winded review, I shall just point out a few plusses and minuses of this great movie. The minuses are minor and are nothing compared to the mishaps in a normal hindi film.Plusses: - Manoj Bajpai, Manoj Bajpai and lastly, Manoj Bajpai. This is probably the single best acting performance by an Indian in the 90s. The realism and flawlessness he brings to the role is amazing. He does to go a bit over the top, but without losing any of his characters identity (hell, Pacino has been doing it for years now). - The rest of the cast. Urmila is incredibly refreshing as the innocent girl next door with the usual handicapped Dad and perennially miserable Mom. Saurabh Shukla as Kalu Mama is brilliant and comes quite close to Bajpai performance-wise. The realism he brings is equally breathtaking. Just seeing the scene where he, Bajpai and Govind Namdeo (Bhau) literally makes you a member of the gang, standing there and smiling along with them. - The plot is largely excellent. - (see weakness #2) Golimaar and Sapne Me are hilarious musical numbersNow for two minor flaws: - Ram Gopal Varma's directorial synchronization of music and plot is often out of sync. A classic example is during the scene after the gangland shootout (when Kalumama first sees Vidya and Satya). There are certain other flaws as well in his direction as well. - Barring numbers from classic Hindi films (known for their music), I have never been even a remote fan of Hindi film singing and dancing. I feel three out of five songs in this movie are totally unnecessary and I would've enjoyed an ""all-out"" realistic film for a change w/o any songs. Having said that, the film is all the more memorable due to the two main numbers: Goli Maar and Sapne me milti hai - mainly due to Bhiku's gang and their histrionics.All in all a refreshing Hindi film that made me a part of the main gang for the three hour duration and left me wanting more. I hope this inspires a revival of GOOD hindi films as was in the late 70s and early 80s.",one truly great hindi film 1990s,i am not big fan hindi films infact im not fan commercial hindi films at all but then theres satya ram gopal varmas classic 1998 indian mafia fan is brilliant innovative despite certain directorial flaws is nonetheless so vastly different run mill hindi films ie 99 hindi films that it is unforgettable it is 175 minutes long typical duration but it grabs you instantaneously as you follow journey satya who comes mumbai make life himself before getting into long winded review i shall just point out few plusses minuses this great movie minuses are minor are nothing compared mishaps normal hindi film plusses manoj bajpai manoj bajpai lastly manoj bajpai this is probably single best acting performance by indian 90s realism flawlessness he brings role is amazing he does go bit over top but without losing any his characters identity hell pacino has been doing it years now rest cast urmila is incredibly refreshing as innocent girl next door with usual handicapped dad perennially miserable mom saurabh shukla as kalu mama is brilliant comes quite close bajpai performance wise realism he brings is equally breathtaking just seeing scene where he bajpai govind namdeo bhau literally makes you member gang standing there smiling along with them plot is largely excellent see weakness golimaar sapne me are hilarious musical numbersnow two minor flaws ram gopal varmas directorial synchronization music plot is often out sync classic example is during scene after gangland shootout when kalumama first sees vidya satya there are certain other flaws as well his direction as well barring numbers classic hindi films known their music i have never been even remote fan hindi film singing dancing i feel three out five songs this movie are totally unnecessary i wouldve enjoyed all out realistic film change w o any songs having said that film is all more memorable due two main numbers goli maar sapne me milti hai mainly due bhikus gang their histrionics all all refreshing hindi film that made me part main gang three hour duration left me wanting more i hope this inspires revival good hindi films as was late 70s early 80s,0.5069480519480519,0.23755411255411243,Positive,"{'Happy': 0.24, 'Angry': 0.02, 'Surprise': 0.18, 'Sad': 0.22, 'Fear': 0.33}"
10.0,In my books Satya along with Sholay jointly hold the position for the best Hindi movie ever made.,"Ramgopal Varma's hard hitting film on the Bombay Underworld. This movie is a classic from scene one to the climax. When you see this movie you will see history in the making. A hard hitting story of a person from nowhere , Satya. How he joins the underworld gang led by bhiku mhatre. This movie gives one message hard 'CRIME NEVER PAYS'.The scene where chander(snehal dabi) tells a joke, the scene where bhiku mhatre satya vidya and pyaari go for a dinner, the scene where yedda scares the music director romu sagar, the theatre scene, the climax, all these scenes will go down in the history of Indian cinema as classic scenes. Urmila Matondkar as Satya's Girlfriend and Shefali Chaaya as bhiku mhatre's wife are excellent. J.D.Chakravarthi is brilliant as Satya. Manoj Bajpai gives an excellent and award winning performance as bhiku mhatre.He has managed to make the character of bhiku mhatre an immortal one like late amjad khan did for gabbar singh. Govind Namdeo is brilliant as Bhau. Co-script writer saurabh shukla is superb as kallu mama.It is so nice to see that first time writers saurabh shukla & anurag kashyap wrote such a brilliant script. A special mention must be made of the best cameo since rajesh khanna's cameo in andaz, by paresh raawal as commissioner of police.Satya was supposed to be made as a songless film but co-producer Bharat Shah felt that no distributor will buy the film and it will be too tense. Music director Vishal Bharadwaj and lyricist Gulzar were roped in to provide the music for this film and they did a brilliant work. The song 'Sapne Main milti hai' and 'kallu mamma' are too good. This is one of the very few brilliant movies of the 90's.",my books satya along with sholay jointly hold position best hindi movie ever made,ramgopal varmas hard hitting film bombay underworld this movie is classic scene one climax when you see this movie you will see history making hard hitting story person nowhere satya how he joins underworld gang led by bhiku mhatre this movie gives one message hard crime never pays scene where chander snehal dabi tells joke scene where bhiku mhatre satya vidya pyaari go dinner scene where yedda scares music director romu sagar theatre scene climax all these scenes will go down history indian cinema as classic scenes urmila matondkar as satyas girlfriend shefali chaaya as bhiku mhatres wife are excellent j d chakravarthi is brilliant as satya manoj bajpai gives excellent award winning performance as bhiku mhatre he has managed make character bhiku mhatre immortal one like late amjad khan did gabbar singh govind namdeo is brilliant as bhau co script writer saurabh shukla is superb as kallu mama it is so nice see that first time writers saurabh shukla anurag kashyap wrote such brilliant script special mention must be made best cameo since rajesh khannas cameo andaz by paresh raawal as commissioner police satya was supposed be made as songless film but co producer bharat shah felt that no distributor will buy film it will be too tense music director vishal bharadwaj lyricist gulzar were roped provide music this film they did brilliant work song sapne main milti hai kallu mamma are too good this is one very few brilliant movies 90s,0.6217429792429793,0.40320207570207567,Positive,"{'Happy': 0.24, 'Angry': 0.11, 'Surprise': 0.2, 'Sad': 0.22, 'Fear': 0.22}"
,Arguably the best Indian movie ever,"After being a fan of English movies for some time, there are not many Hindi movies that one would REALLY appreciate. And if one does, this movie would be the first one. It would be almost impossible for Varma to come out with a movie as good as this once again. This movie is fundoo (aka EXCELLENT) from acting, direction, music point of view. Hats off to Varma. Keep up being different.",arguably best indian movie ever,after being fan english movies some time there are not many hindi movies that one would really appreciate if one does this movie would be first one it would be almost impossible varma come out with movie as good as this once again this movie is fundoo aka excellent acting direction music point view hats off varma keep up being different,0.4533333333333333,0.22333333333333333,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.08, 'Fear': 0.25}"
10.0,"Without a doubt, the best Indian film ever made.","Now, this is what I call a great film. 'Satya' is no highly-stylized, cool-guy-with-a-gun gangster film but a gritty, honest portrayal of a man who is dragged into a life of crime.The movie starts outside a crowded station when a young man named Satya (J.D. Chakravarthy) comes to Mumbai in search of a job. Living in a small slum, he finds a petty job soon. But his life is turned upside down when he gets into trouble with the egoistic local goon who beats him up and throws him into jail where he is charged for a crime he did not commit. There, he meets the psychotic gangster Bhiku Mhatre (Manoj Bajpai) who agrees to help him avenge his humiliation in a bid to get rid of his own enemies.One of the primary reasons why 'Satya' works is that Ram Gopal Varma is not scared to take risks. He doesn't try too hard to make the audience feel sympathy for the characters. The film does not boast of picturesque locations and you're glad that it doesn't, because it makes the viewing even more meaningful. Varma masterfully toys with the script in a way that every dialog and nuance falls perfectly into place. J.D. Chakravarthy, who plays the lead role, turns in a convincing performance and so does Urmila Matondkar who plays his love interest in the film. The performances of the rest of the cast are worth bragging about but the real star of the film is Manoj Bajpai. I would happily single out his performance as one of the best I've seen and he deservedly won a National award for it. The screenplay, jointly written by Saurabh Shukla and Anurag Kashyap is pitch-perfect, because they have a wonderful ear for the local lingo. Gerard Hooper's and Mazhar Kamran's stark cinematography is an absolute wow, adding to an already long list of the film's positives.If I have to criticize 'Satya' for something, it would be the timing of the songs. I feel that the film could've done without the songs, but then, the film is so near-perfect that you tend to not pay attention to the film's negatives.For me, 'Satya' will always remain the greatest Indian film ever made. The film's depiction of a desperate man struggling to make an honest living but failing to do so is so realistic that it terrifies you. It defies every single rule on how to make a perfect Bollywood-style film. Grab a DVD and watch it. The film is something extraordinary.",without doubt best indian film ever made,now this is what i call great film satya is no highly stylized cool guy with gun gangster film but gritty honest portrayal man who is dragged into life crime movie starts outside crowded station when young man named satya j d chakravarthy comes mumbai search job living small slum he finds petty job soon but his life is turned upside down when he gets into trouble with egoistic local goon who beats him up throws him into jail where he is charged crime he did not commit there he meets psychotic gangster bhiku mhatre manoj bajpai who agrees help him avenge his humiliation bid get rid his own enemies one primary reasons why satya works is that ram gopal varma is not scared take risks he doesnt try too hard make audience feel sympathy characters film does not boast picturesque locations youre glad that it doesnt because it makes viewing even more meaningful varma masterfully toys with script way that every dialog nuance falls perfectly into place j d chakravarthy who plays lead role turns convincing performance so does urmila matondkar who plays his love interest film performances rest cast are worth bragging about but real star film is manoj bajpai i would happily single out his performance as one best ive seen he deservedly won national award it screenplay jointly written by saurabh shukla anurag kashyap is pitch perfect because they have wonderful ear local lingo gerard hoopers mazhar kamrans stark cinematography is absolute wow adding already long list films positives if i have criticize satya something it would be timing songs i feel that film couldve done without songs but then film is so near perfect that you tend not pay attention films negatives me satya will always remain greatest indian film ever made films depiction desperate man struggling make honest living but failing do so is so realistic that it terrifies you it defies every single rule how make perfect bollywood style film grab dvd watch it film is something extraordinary,0.611832451499118,0.2884426807760141,Positive,"{'Happy': 0.15, 'Angry': 0.02, 'Surprise': 0.22, 'Sad': 0.34, 'Fear': 0.28}"
,Classic underworld movie,"Here is a movie that would go a classic as far as indian films go. A true rendition of the underworld saga of ""Mumbai"". Mumbai ka king kaun-Manoj Bajpai. A brilliant performance. Also, a masterpiece background score by Sandeep Chowta. One movie that could have given a good run for money to any of it's hollywood peers.Of course, if cinema knew no language:-)",classic underworld movie,here is movie that would go classic as far as indian films go true rendition underworld saga mumbai mumbai ka king kaun manoj bajpai brilliant performance also masterpiece background score by sandeep chowta one movie that could have given good run money any its hollywood peers course if cinema knew no language,0.5972222222222222,0.3972222222222222,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.22, 'Sad': 0.0, 'Fear': 0.44}"
,one of the best indian gangster movies.,"this film is easily one of the greatest indian gangster films.this film along with ""parinda"" are great examples of the indian film noir/gangster genre. it has good performances from the entire cast with MANOJ BAJPAI'S performance being the best. another great aspect of the film is the amazing background score by SANDEEP CHOWTA. DONT MISS THIS FILM.*****[out of 5]",one best indian gangster movies,this film is easily one greatest indian gangster films this film along with parinda are great examples indian film noir gangster genre it has good performances entire cast with manoj bajpais performance being best another great aspect film is amazing background score by sandeep chowta dont miss this film,0.6731481481481482,0.7037037037037037,Positive,"{'Happy': 0.21, 'Angry': 0.07, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.14}"
8.0,"Bloody, tough and well worth seeing.","This is one of those films where I wish I really understood the language. That's because although the captioning is decent, for some inexplicable reason, the songs are NOT! I said songs because that is one of those quirky things about Indian movies--the ones made during the last few decades all seem to have song and dance numbers--even a gangster movie like ""Satya"". Is this always the case? I dunno--you'll have to ask some Indians or experts on the films if this is the case. I do know that older Indian films often don't have singing, as the Satyajit Ray and Merchant-Ivory films I have seen are song-free. But here, in a film that is gritty and violent you STILL have the obligatory musical numbers. I like them and have learned to expect them...but really wish I could have understood them.Satya is new to Mumbai (Bombay). However, he soon finds himself face to face with a gangster with an attitude. Satya is very proud and a bit foolish and does not handle it well--and eventually gets beaten for not showing the thug proper deference. Later, he meets up with the gangster again and Satya tries to kill him--and once again, he's beaten. He's also set up for a crime he didn't do and is sent to prison. In prison, he continues to have an attitude--like a lone wolf. Soon, he finds himself standing up to another gangster and this time Satya is able to hold his own. Because he's so fearless (and a bit crazy) he's earned the respect of the gang in prison and they arrange for his release--and for a job in their mob. Throughout all this, Satya is VERY emotionally constricted and bright and soon works his way further and further up the ranks.Although Satya is a bad man, so far in the film he's confined all his killing to bad guys from other mobs. He also has fallen for a nice young lady--and he manages, at least for a while, to keep these two lives separate--the thug and the respectable lover. The two worlds collide, however, when he and his friends decide to 'help' her in her musical career--using threats to convince a record producer to giver her a record contract--though she has no idea that this is occurring. Will they fall in love? Will Satya be able to balance his two lives or will he be forced to choose a life or crime or a life of love and respectability? Tune in and see for yourself in this gangster love story--a combination of genres you certainly won't find here in the States.Overall, this is a very gritty and realistic film. Now I am not saying it's perfect. The Satya character seemed way too non-emotive to me--almost zombie-like. And, while song and dance numbers are a sweet addition to Indian films, they just seemed out of place here and distracted from an otherwise intense and adult story. But, apart from these minor problems, the film was very well done...and quite bloody. I liked how Satya and his friends were NOT likable or over-glamorized. Well worth seeing but not a film for younger audiences or people who will be put off by the realistic gore.By the way, since I am not an Indian I really have no idea how realistic all this is. Has there been a time in recent history when gangs have been THAT brazen in Mumbai or was this overdone for the sake of the movie? Just curious.",bloody tough well worth seeing,this is one those films where i wish i really understood language thats because although captioning is decent some inexplicable reason songs are not i said songs because that is one those quirky things about indian movies ones made during last few decades all seem have song dance numbers even gangster movie like satya is this always case i dunno youll have ask some indians or experts films if this is case i do know that older indian films often dont have singing as satyajit ray merchant ivory films i have seen are song free but here film that is gritty violent you still have obligatory musical numbers i like them have learned expect them but really wish i could have understood them satya is new mumbai bombay however he soon finds himself face face with gangster with attitude satya is very proud bit foolish does not handle it well eventually gets beaten not showing thug proper deference later he meets up with gangster again satya tries kill him once again hes beaten hes also set up crime he didnt do is sent prison prison he continues have attitude like lone wolf soon he finds himself standing up another gangster this time satya is able hold his own because hes so fearless bit crazy hes earned respect gang prison they arrange his release job their mob throughout all this satya is very emotionally constricted bright soon works his way further further up ranks although satya is bad man so far film hes confined all his killing bad guys other mobs he also has fallen nice young lady he manages at least while keep these two lives separate thug respectable lover two worlds collide however when he his friends decide help her her musical career using threats convince record producer giver her record contract though she has no idea that this is occurring will they fall love will satya be able balance his two lives or will he be forced choose life or crime or life love respectability tune see yourself this gangster love story combination genres you certainly wont find here states overall this is very gritty realistic film now i am not saying its perfect satya character seemed way too non emotive me almost zombie like while song dance numbers are sweet addition indian films they just seemed out place here distracted otherwise intense adult story but apart these minor problems film was very well done quite bloody i liked how satya his friends were not likable or over glamorized well worth seeing but not film younger audiences or people who will be put off by realistic gore by way since i am not indian i really have no idea how realistic all this is has there been time recent history when gangs have been that brazen mumbai or was this overdone sake movie just curious,0.5303984813001206,0.07409989828022619,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.25, 'Sad': 0.18, 'Fear': 0.39}"
