Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,A three hour film that feels too short,"This film tells the story of Nazi officer Oskar Schindler, who secretly saved hundreds of Jewish people from concentration camps.I have wanted to watch ""Schindler's List"" for years, but could not bring myself to do so because I don't want to be disappointed. ""Schindler's List"" is phenomenally powerful and effective in portraying the historical atrocities. I believe no one can keep their eyes dry from Schindler's List"". The scene involving mothers running after trucks of children is particularly memorable. The final farewell scene is very emotional for me. It is rare achievement, but ""Schindler's List"" is a three hour film that feels too short.",three hour film that feels too short,this film tells story nazi officer oskar schindler who secretly saved hundreds jewish people concentration camps i have wanted watch schindlers list years but could not bring myself do so because i dont want be disappointed schindlers list is phenomenally powerful effective portraying historical atrocities i believe no one can keep their eyes dry schindlers list scene involving mothers running after trucks children is particularly memorable final farewell scene is very emotional me it is rare achievement but schindlers list is three hour film that feels too short,0.6303846153846154,0.037179487179487186,Positive,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.25}"
10.0,Awesome,"The movie started out pretty innocently, and for the first 20 minutes, I was wondering where the movie was going. Then it started to happen. The horrible cruelty of concentration camps. Oskar Schindler is an example of a man that no matter what the situation, there are people who won't go along with the cruelty of society. I'm sure it took courage to do what he did, because one wrong move and you'll be dead.Movie brought to life this great man who really shouldn't be forgotten, and thanks to Steven Spielberg, I think he'll be remembered for generations to come. Movie like this should be made once in a while. Not that movie should be used for evangelistic purposes but some story should be told well, and movie is still the best vehicle to do so.I still think that Oskar Shindler's last words in this movie was one of the best dialog in movie history - ""Why did I keep this badge ? I could have saved a person. Why did I keep this car ?, I could have saved five more people.""",awesome,movie started out pretty innocently first 20 minutes i was wondering where movie was going then it started happen horrible cruelty concentration camps oskar schindler is example man that no matter what situation there are people who wont go along with cruelty society im sure it took courage do what he did because one wrong move youll be dead movie brought life this great man who really shouldnt be forgotten thanks steven spielberg i think hell be remembered generations come movie like this should be made once while not that movie should be used evangelistic purposes but some story should be told well movie is still best vehicle do so i still think that oskar shindlers last words this movie was one best dialog movie history why did i keep this badge i could have saved person why did i keep this car i could have saved five more people,0.5599206349206349,0.2857142857142857,Positive,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.32, 'Sad': 0.21, 'Fear': 0.32}"
10.0,"Bring me the heads of Hitler, Himmler, Eichmann n Mengele.","Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List. Me n my kids cried during the pit scene.",bring me heads hitler himmler eichmann n mengele,schindlers list is undoubtedly best holocaust film ever made there just isnt anything like this film various other films have tried show true horrors holocaust but none them succeeded way that schindlers list did schindlers list is difficult film watch when you see true atrocities holocaust your jaw drops when you see pain that all innocent people were going through only thing you can do is cry true goal all holocaust films is make you feel sorrowful schindlers list did that me if you want see best depiction holocaust make your way towards schindlers list me n my kids cried during pit scene,0.6125,0.29250000000000004,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.33, 'Sad': 0.39, 'Fear': 0.17}"
,A SINGULAR ACHIEVEMENT,"I have only ever seen this film once, I only ever want to see this film once and I will only ever need to see this film once. It is etched on my mind. I, like many others, left in silence. I could not imagine inventing a critical analysis of this film, picking small points of detail or of style, or even scoring points off the Director. It stands alone as a monumental piece of cinema, a magnificent accomplishment.",singular achievement,i have only ever seen this film once i only ever want see this film once i will only ever need see this film once it is etched my mind i like many others left silence i could not imagine inventing critical analysis this film picking small points detail or style or even scoring points off director it stands alone as monumental piece cinema magnificent accomplishment,0.7125,0.15625,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.56, 'Sad': 0.12, 'Fear': 0.19}"
,The most shattering film of all time.,"I've seen this film one time in 1994. This is one of the best movies ever made, but many scenes of the film are so brutal, that I'm afraid to see this film for a second time.",most shattering film all time,ive seen this film one time 1994 this is one best movies ever made but many scenes film are so brutal that im afraid see this film second time,0.5333333333333333,0.08750000000000001,Positive,"{'Happy': 0.0, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.17}"
10.0,You don't have to be Jewish to be touched by this response to inhumanity.,"History has proved that the old saying, ""God makes mad first whom he intends to destroy"", and in the case of Nazi Ralph Fiennes in this Steven Spielberg masterpiece, that is oh, so true. Unfortunately, a lot of innocent people have to pay for that madness in the meanwhile, and that truly adds to the intensity of his madness as it increases and his vileness just gets more and more out of control.On the other end of the spectrum is Liam Neeson's Oscar Schindler, a businessman who knows by allowing the Nazis to take his Jewish workers away, his productivity will suffer. Selfish motives keep these innocent people from being sent to the death camps, and as Schindler learns the truth about the atrocities going on and becomes closer to the people who work very hard for him, he goes out of his way to keep the Nazis from going through with their evil plans.The atrocities you see here are things we can't fathom here in America. Innocent children are forced to hide in human waste to avoid discovery. An innocent woman prisoner with a background in architecture is brutally murdered after insisting that a building being constructed is doomed to collapse, after which the evil Fiennes simply orders his men to do what she suggested. Fiennes picks targets and guns them down, and also has Schindler's aged workers killed simply because he considers them too old to contribute. An innocent young girl in a red coat (the only color in this black and white movie) wanders around Warsaw as the ghetto is destroyed. Neeson almost looses his right-hand man (a magnificent Ben Kingsley) because of a paperwork mix-up. This culminates in the most daring of escapes from Nazi persecution, and that is where Neeson realizes the full effect of what's going on, breaking down in a scene that will have you shivering in your seat.I can't watch these movies without the temptation to scream at the Nazis on screen. Even in the most outlandish propaganda films of the war era, I tended to either applaud loudly or scream in delight ""Die, Nazi, Die!"" as the villain gets their come-uppance, either through brutal murder or the firing squad after a lengthy trial revealed their shame. Many of those times, my body was shaking so violently as sobs emerged from me that I was unaware I was capable of. You can't call these feelings manipulation by the direction; Spielberg obviously felt a passion for the story he was telling, as if he knows that this can cross over into any race, any culture, any religion.Rarely in recent movie history has it been so obvious when a film was released that it would sweep the Academy Awards, and ""Schindler's List"" truly deserved every honor which it received. Some stories are so painful that you can't go back and watch them easily; I find that every so often, I need a movie like ""Schindler's List"" to remind me of how vile humanity can be, and how one compassionate human being can change the course of history for so many. The finale with real-life ""Schindler Jews"" honoring their hero is truly awe inspiring and is certainly what you can call triumph over tragedy.",you dont have be jewish be touched by this response inhumanity,history has proved that old saying god makes mad first whom he intends destroy case nazi ralph fiennes this steven spielberg masterpiece that is oh so true unfortunately lot innocent people have pay that madness meanwhile that truly adds intensity his madness as it increases his vileness just gets more more out control other end spectrum is liam neesons oscar schindler businessman who knows by allowing nazis take his jewish workers away his productivity will suffer selfish motives keep these innocent people being sent death camps as schindler learns truth about atrocities going becomes closer people who work very hard him he goes out his way keep nazis going through with their evil plans atrocities you see here are things we cant fathom here america innocent children are forced hide human waste avoid discovery innocent woman prisoner with background architecture is brutally murdered after insisting that building being constructed is doomed collapse after which evil fiennes simply orders his men do what she suggested fiennes picks targets guns them down also has schindlers aged workers killed simply because he considers them too old contribute innocent young girl red coat only color this black white movie wanders around warsaw as ghetto is destroyed neeson almost looses his right hand man magnificent ben kingsley because paperwork mix up this culminates most daring escapes nazi persecution that is where neeson realizes full effect whats going breaking down scene that will have you shivering your seat i cant watch these movies without temptation scream at nazis screen even most outlandish propaganda films war era i tended either applaud loudly or scream delight die nazi die as villain gets their come uppance either through brutal murder or firing squad after lengthy trial revealed their shame many those times my body was shaking so violently as sobs emerged me that i was unaware i was capable you cant call these feelings manipulation by direction spielberg obviously felt passion story he was telling as if he knows that this can cross over into any race any culture any religion rarely recent movie history has it been so obvious when film was released that it would sweep academy awards schindlers list truly deserved every honor which it received some stories are so painful that you cant go back watch them easily i find that every so often i need movie like schindlers list remind me how vile humanity can be how one compassionate human being can change course history so many finale with real life schindler jews honoring their hero is truly awe inspiring is certainly what you can call triumph over tragedy,0.4938062169312169,0.012106481481481485,Positive,"{'Happy': 0.06, 'Angry': 0.15, 'Surprise': 0.17, 'Sad': 0.25, 'Fear': 0.36}"
10.0,Spielberg's most important work,"Oskar Schindler (Liam Neeson) is a social climbing opportunistic womanizing German businessman. He charms important Nazis, and gets access to limitless Jewish labor. He gets Itzhak Stern (Ben Kingsley) as his right hand man, and Jewish money to pay for his business. He provides the front. Using black market deals and advantageous connections, he becomes rich and powerful. Stern works tirelessly to save people. Even as the Jews are rounded up to Plaszow labor camp under the command of unstable Amon Goeth (Ralph Fiennes), Schindler is able to befriend the mad commander.This is probably the most important movie of director Steven Spielberg's career. At least it's the most important for him. Based on the true story, Spielberg uses all his movie making skills to create this iconic movie. The black and white provides starkness and thankfully a little bit of distance from the horrible events. Liam Neeson and Ben Kingsley are the perfect duo. Ralph Fiennes gives a complex performance as the mad commander. The shock of the horrors of the Holocaust is expertly done. When I first saw it in the theater, I couldn't help sob a little when Schindler breaks down at the end.",spielbergs most important work,oskar schindler liam neeson is social climbing opportunistic womanizing german businessman he charms important nazis gets access limitless jewish labor he gets itzhak stern ben kingsley as his right hand man jewish money pay his business he provides front using black market deals advantageous connections he becomes rich powerful stern works tirelessly save people even as jews are rounded up plaszow labor camp under command unstable amon goeth ralph fiennes schindler is able befriend mad commander this is probably most important movie director steven spielbergs career at least its most important him based true story spielberg uses all his movie making skills create this iconic movie black white provides starkness thankfully little bit distance horrible events liam neeson ben kingsley are perfect duo ralph fiennes gives complex performance as mad commander shock horrors holocaust is expertly done when i first saw it theater i couldnt help sob little when schindler breaks down at end,0.5638756613756614,0.09933862433862435,Positive,"{'Happy': 0.19, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.16, 'Fear': 0.41}"
10.0,"Incredibly moving and visually disturbing, Spielburg's best by far!","Some of Schindler's List is very disturbing indeed, with very graphic images on the screen. I thought this film is outstanding. True, it is very long, but the Holocaust was a very long and epic event, and the movie needed a long length to convey the harsh realities of the Nazi's treatment of the Jews. The cinematography was truly excellent, and some of the close ups of people being tortured or dying was enough to make you look away. The direction was taut and focused, most Spielburg's movies are good, but don't quite always have an impact on the whole audience. Schindler's List is visually disturbing and incredibly moving, and because of this, this is definitely Spielburg's best. The acting was phenomenal. Both Liam Neeson and Ben Kingsley give superb performances, and Ralph Fiennes is also very chilling in his role. The music by John Williams is not only haunting, but also unbearably sad, believe me I was in tears for a lot of this movie. All in all, a truly moving film, that deserves a 10/10. Bethany Cox.",incredibly moving visually disturbing spielburgs best by far,some schindlers list is very disturbing indeed with very graphic images screen i thought this film is outstanding true it is very long but holocaust was very long epic event movie needed long length convey harsh realities nazis treatment jews cinematography was truly excellent some close ups people being tortured or dying was enough make you look away direction was taut focused most spielburgs movies are good but dont quite always have impact whole audience schindlers list is visually disturbing incredibly moving because this this is definitely spielburgs best acting was phenomenal both liam neeson ben kingsley give superb performances ralph fiennes is also very chilling his role music by john williams is not only haunting but also unbearably sad believe me i was tears lot this movie all all truly moving film that deserves 10 10 bethany cox,0.6637500000000001,0.19892857142857143,Positive,"{'Happy': 0.17, 'Angry': 0.07, 'Surprise': 0.14, 'Sad': 0.28, 'Fear': 0.34}"
10.0,It's About Our Humanity,"We need to look at a work of art like this to see ourselves in this movie. This is the result of a regime that no longer saw the worth of the human being. It politicize life. This leads to monstrous treatment of people (because they are not people in their eyes). I saw this film the first week it came out. We were on vacation on Hilton Head Island in South Carolina. I remember my wife and I not being able to talk for almost 15 minutes after it was over and then we needed to talk about something else. There are few experiences that can do that to someone. Since that time, I've had many others tell me the same thing. Why is this movie so much more effective than other Holocaust films. First of all, there's something personal about it. We get to know the people, even the bad guys. Secondly, the recreation of the death camps is so accurate. Then there is a spot of genius, the little girl in the red coat. If anyone wants to complain about black and white, watch this film. We get to see what can be done with shades and shadows. The work of Schindler is the work of the heart against great odds. The scene at the end when the holocaust survivors visit the graveyard, is what moves the film. I think that everyone should see this film at some time. Then sit down and think about what is being done to people here in our own country.",its about our humanity,we need look at work art like this see ourselves this movie this is result regime that no longer saw worth human being it politicize life this leads monstrous treatment people because they are not people their eyes i saw this film first week it came out we were vacation hilton head island south carolina i remember my wife i not being able talk almost 15 minutes after it was over then we needed talk about something else there are few experiences that can do that someone since that time ive had many others tell me same thing why is this movie so much more effective than other holocaust films first all theres something personal about it we get know people even bad guys secondly recreation death camps is so accurate then there is spot genius little girl red coat if anyone wants complain about black white watch this film we get see what can be done with shades shadows work schindler is work heart against great odds scene at end when holocaust survivors visit graveyard is what moves film i think that everyone should see this film at some time then sit down think about what is being done people here our own country,0.37234299516908215,0.146316425120773,Positive,"{'Happy': 0.04, 'Angry': 0.04, 'Surprise': 0.32, 'Sad': 0.18, 'Fear': 0.43}"
,Best Movie of all Time,"Perfect. Perfect on every level from the acting to the script, to the cinematography, everything about this movie is 100% perfect. I've watched this movie 3 times and there's nothing I would change. Even the insanely long running time of 3 hours and 15 minutes isn't a bad thing. Every scene feels important. I would highly recommend watching this movie. Although it is very violent and very heartbreaking so be warned!! But if you can handle strong violence and a difficult subject matter such as the Holocaust, then you must see it. It's my favorite movie, and I hope it will one day become yours too.Rating: 10/10",best movie all time,perfect perfect every level acting script cinematography everything about this movie is 100 perfect ive watched this movie 3 times theres nothing i would change even insanely long running time 3 hours 15 minutes isnt bad thing every scene feels important i would highly recommend watching this movie although it is very violent very heartbreaking so be warned but if you can handle strong violence difficult subject matter such as holocaust then you must see it its my favorite movie i hope it will one day become yours too rating 10 10,0.6733333333333333,0.2047916666666667,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.26, 'Fear': 0.32}"
