Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7.0,Sorry but this made me laugh.,"Just needed an easy no brainer comedy after my week. This ticked the boxes. Couple of tokes, and this movie, made me laugh. Changed the course of my day. Laughter is the best medicine. It's so goofy and unrealistic but so what. It's a simple comedy movie and doesn't pretend to be anything else...which was fine by me.",sorry but this made me laugh,just needed easy no brainer comedy after my week this ticked boxes couple tokes this movie made me laugh changed course my day laughter is best medicine its so goofy unrealistic but so what its simple comedy movie doesnt pretend be anything else which was fine by me,0.5767195767195767,0.21666666666666667,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.43, 'Fear': 0.14}"
6.0,Cliché but funny,"Every modern movie trope piled high into this predictable teen romcom of sorts. However, all that was expected so it comes down to humor and cast. I laughed more than once and acting was decent enough.",clich but funny,every modern movie trope piled high into this predictable teen romcom sorts however all that was expected so it comes down humor cast i laughed more than once acting was decent enough,0.4079629629629629,0.12675925925925927,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.25}"
8.0,I wasn't expecting to have this much fun.,"What a cool , simple but really effective feel good movie. The characters are fun , some jokes are brilliant when they go into the political incorrect territory and the whole plot line works because the main actress is awesome.There's not much to say about this. Initially it feels like another of those terrible high school teenage films but soon we get into some absurd and adult humor that makes the vibe change and this becomes a funny satire about woke which is not afraid to offend everyone and does it with a big smile.If you don't get offended easily and you have a good sense of humor watch this. If you offend easily , then it's almost mandatory. One of the best feel good movies on Netflix right now.",i wasnt expecting have this much fun,what cool simple but really effective feel good movie characters are fun some jokes are brilliant when they go into political incorrect territory whole plot line works because main actress is awesome theres not much say about this initially it feels like another those terrible high school teenage films but soon we get into some absurd adult humor that makes vibe change this becomes funny satire about woke which is not afraid offend everyone does it with big smile if you dont get offended easily you have good sense humor watch this if you offend easily then its almost mandatory one best feel good movies netflix right now,0.5172448979591838,0.2706802721088436,Positive,"{'Happy': 0.34, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.03, 'Fear': 0.41}"
8.0,You don't need a coma to relate,"It happens to everybody. You're young, then you're old. In between is kind of a blur. Did the in-between even happen? I don't know. We were there, now we're here, that's all I know.",you dont need coma relate,it happens everybody youre young then youre old between is kind blur did between even happen i dont know we were there now were here thats all i know,0.375,0.175,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
6.0,Better then expected,I'm not the biggest Rebel Wilson fan but because I couldn't find anything new to watch I decided to give it a shot. When all said and done it was actually pretty funny. Some of the dialouge had my busting up laughing. I'm glad I decided to give it a chance. It was definitely worth a watch. 6 stars.,better then expected,im not biggest rebel wilson fan but because i couldnt find anything new watch i decided give it shot when all said done it was actually pretty funny some dialouge had my busting up laughing im glad i decided give it chance it was definitely worth watch 6 stars,0.6363636363636364,0.26233766233766237,Positive,"{'Happy': 0.17, 'Angry': 0.06, 'Surprise': 0.39, 'Sad': 0.0, 'Fear': 0.39}"
1.0,Stupid,"I had high hopes for this and it fell flat for me! Although I love rebel Wilson and how funny she can be, I did not find this funny at all. Had lots of potential.",stupid,i had high hopes this it fell flat me although i love rebel wilson how funny she can be i did not find this funny at all had lots potential,0.7521428571428572,0.04785714285714287,Positive,"{'Happy': 0.12, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.12}"
7.0,Don't understand some of the hate,"If your classed as a so called millennial like me then you will get this, it's funny, light hearted, bit of emotion, bit obvious but what films like this aren't, it's not meant to a spy thriller with loads of things you just oooo didn't expect to happen, it's a Friday feel good film & that's all it needs to be.",dont understand some hate,if your classed as so called millennial like me then you will get this its funny light hearted bit emotion bit obvious but what films like this arent its not meant spy thriller with loads things you just oooo didnt expect happen its friday feel good film thats all it needs be,0.74,0.10999999999999999,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.12}"
3.0,Painful.,"Although there is the occasional amusing inappropriate zinger Rebel Wilson is known for, this is basically a bottom of the barrel adult-oriented variation on the endless plethora of Disneyesque teen fantasies from the early millenium. Like those, this is void of any reality, with threadbare contrived plotting and jam-packed with exposition. Rebel Wilson needs to stop doing this type of empty fluff, as she is capable of so much more.",painful,although there is occasional amusing inappropriate zinger rebel wilson is known this is basically bottom barrel adult oriented variation endless plethora disneyesque teen fantasies early millenium like those this is void any reality with threadbare contrived plotting jam packed with exposition rebel wilson needs stop doing this type empty fluff as she is capable so much more,0.48541666666666666,-0.002083333333333326,Negative,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.11, 'Sad': 0.22, 'Fear': 0.33}"
5.0,Sugary story with a light satirical core,"Despite being a formulaic cliché, this does have an interesting satirical element. Of course all the tired tropes are there, unrequited love, wonder at technology development and child in a woman's body.The intriguing part is the stark contrast in sensibilities over twenty years. Naturally it is caricatured for comedic effect, but perhaps we have thrown the baby out with the bathwater. Some horrible practices have been discontinued, but at the expense of sanitising our interactions.Sadly this social commentary is insufficient to make this a good movie despite the delightful Rebel Wilson. It is mediocre at best, with a weak, stale story, clumsy dialogue and an insurmountable suspension-of-disbelief requirement.",sugary story with light satirical core,despite being formulaic clich this does have interesting satirical element course all tired tropes are there unrequited love wonder at technology development child womans body intriguing part is stark contrast sensibilities over twenty years naturally it is caricatured comedic effect but perhaps we have thrown baby out with bathwater some horrible practices have been discontinued but at expense sanitising our interactions sadly this social commentary is insufficient make this good movie despite delightful rebel wilson it is mediocre at best with weak stale story clumsy dialogue insurmountable suspension disbelief requirement,0.5773148148148148,0.04212962962962964,Positive,"{'Happy': 0.17, 'Angry': 0.13, 'Surprise': 0.17, 'Sad': 0.22, 'Fear': 0.3}"
2.0,Waste of Netflix's Money,"Rebel Wilson's last Netflix Movie was okay, but this one is just sh1tty, an absolute waste of Money for Netflix. No inspiration whatsoever, it's as if they were just going thru the Motions to make a Movie.",waste netflixs money,rebel wilsons last netflix movie was okay but this one is just sh1tty absolute waste money netflix no inspiration whatsoever its as if they were just going thru motions make movie,0.29333333333333333,0.06,Positive,"{'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.6}"
