Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Astounding Creativity,"It's almost impossible to describe the astounding creativity of ""Sherlock, Jr"". Even for Buster Keaton, this is a tremendous display of comedic and fantasy material. What's so remarkable is not so much any particularly hilarious gag or gags, as the never-ending stream of amazing and entertaining sights - coming faster and faster as the film proceeds - that seem so off-hand and effortlessly inventive, but that must have involved many hours of painstaking work to perfect. The film vs. reality theme is also highly suggestive, and makes this great movie one of the most completely satisfying efforts by Keaton or anyone else.The film opens slowly and allows the pace to build gradually. Buster operates the movie projector at a theater, while trying to study on his own to be a detective. He is involved in a real-life mystery that involves his girlfriend's family, and which turns out badly for him. He retreats into the fantasy world of a picture showing at his theater, and from then on you just have to see it to appreciate it. The creative comedy, the technical skill, and the subtly expressed themes are all remarkable.This is a great experience not to be missed.",astounding creativity,its almost impossible describe astounding creativity sherlock jr even buster keaton this is tremendous display comedic fantasy material whats so remarkable is not so much any particularly hilarious gag or gags as never ending stream amazing entertaining sights coming faster faster as film proceeds that seem so off hand effortlessly inventive but that must have involved many hours painstaking work perfect film vs reality theme is also highly suggestive makes this great movie one most completely satisfying efforts by keaton or anyone else film opens slowly allows pace build gradually buster operates movie projector at theater while trying study his own be detective he is involved real life mystery that involves his girlfriends family which turns out badly him he retreats into fantasy world picture showing at his theater then you just have see it appreciate it creative comedy technical skill subtly expressed themes are all remarkable this is great experience not be missed,0.7322666666666667,0.3557333333333334,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.3}"
9.0,Through the Movie Screen,"Buster Keaton's most surreal movie sprang from his insistence on logic and realism. His tribute to cinema was inspired by stage magic tricks he remembered from his vaudeville career. His most dazzling and original movie is also one of his least formally perfect. All these paradoxes belong naturally to this ""through the looking glass"" work, which examines the dream-like nature of filmor is it the film-like nature of dreams? As Buster told it, the origin of the film lay in his desire to use certain illusionary stunts, like the bewildering dive through a living assistant's stomach, which he had learned the secret of as a child. But he firmly believed that impossible or ""cartoon"" gags were not acceptable in feature films, so he could only include them by making them occur in a dream, which is also a film-within-a-film. This is odd, when you think about it, since what he seems to be saying is that impossible things can happen in a filmbut this was the very rule he himself refused to break. By creating an outer film that is ""real"" and an inner film that is ""not real,"" Keaton shows that, while film enables illusions and distortions of reality, the filmmaker has a choiceand a responsibilityto clearly delineate fact from fantasy. In one scene, Keaton uses a camera trick (dissolving a wall) to prove that he's NOT using a camera trick when he dives through a window and comes out disguised as an old woman. Because he was analytical, mechanically-minded, and a stickler for authenticity, Keaton took pleasure in revealing the processes of magic tricks, and camera tricks, rather than using them to fool the audience.Buster plays a hapless cinema projectionist who yearns to be a detective, but is so clueless that his romantic rival manages to frame him for stealing his girlfriend's father's watch. In a dream, he enters the film he's projecting and becomes a great detective who solves a similar crime. While Buster's on-screen character is a schlemiel who can only achieve mastery in his celluloid fantasies, as a director Keaton's grasp of the mechanics of film-making enabled him to control the camera and its imagery as thoroughly and gracefully as he controlled his acrobatic body. SHERLOCK JR. is the most technically advanced film he ever made, including special effects (as when Buster steps through the screen and gets edited from park bench to street to mountain-top to lion's den) that can still leave audiences wondering, ""How in hell did he do that?"" It's often said that Keaton's films inspire gasps rather than laughs. Well, I just saw SHERLOCK JR. with an audience last night, and the laughter was loud and regular as fireworks on the Fourth of July. But it's a particular kind of laughter: surprised, amazed, incredulous laughter.The first half of the movie takes place in the ""real"" world; it begins with some nice small-scale gags involving Buster's attempts to scrounge up money to buy candy for his girl, and his adorably awkward visit to her house. After he has been thrown out due to his rival's machinations, Buster ""shadows"" the man (literally, copying his every motion exactly), but is tricked again and trapped in a freight train. There's a beautiful shot where he runs along the top of the train, staying in the same spot on the screen while the cars zoom by under him in the opposite direction; but I can't watch the stunt where he rides a water-spout down to the tracks without wincing, knowing he fractured his neck doing it.The beginning of the dream sequence is one of the greatest self-reflexive scenes in the history of film, as Buster's ghostly double rises from his sleeping body, picks up his ghostly hat, marches down into the theater and steps into the screen. Haven't we all wanted to do this at some time? Once over his turbulent introduction to the medium, Buster becomes the elegant Sherlock, Jr., investigating a theft of pearls from a mansion. In a marvelous game of billiards, Buster smoothly plays around an exploding 13 ball; he escapes from the thieves' den with one of the neatest tricks you'll ever see; he rides through busy streets on the handlebars of a motorcycle that no one is driving; and he goes for a romantic sail in a floating car. All this is packed into a mere 45 minutes.Significantly cut after poor previews, SHERLOCK JR. has more in common with Keaton's short films than his features. Because of the fractured story-line, it doesn't have the narrative coherence or trajectory of character development that most of Keaton's great features do. His performance is split between the shy, inept projectionist and the suave, infallible detective. He is totally convincing in both roles. When he wakes from his dream, the projectionist finds that all is well: the girl has solved the mystery and come to apologize. He is still timid as ever, so for a romantic denouement he looks to the screen: peeking out of his booth, he copies the actions of the movie hero wooing his leading lady. This is Keaton's most trenchant bit of social satire: whose ideas of kissing and love-making haven't been influenced by what they see at the movies?",through movie screen,buster keatons most surreal movie sprang his insistence logic realism his tribute cinema was inspired by stage magic tricks he remembered his vaudeville career his most dazzling original movie is also one his least formally perfect all these paradoxes belong naturally this through looking glass work which examines dream like nature film or is it film like nature dreams as buster told it origin film lay his desire use certain illusionary stunts like bewildering dive through living assistants stomach which he had learned secret as child but he firmly believed that impossible or cartoon gags were not acceptable feature films so he could only include them by making them occur dream which is also film within film this is odd when you think about it since what he seems be saying is that impossible things can happen film but this was very rule he himself refused break by creating outer film that is real inner film that is not real keaton shows that while film enables illusions distortions reality filmmaker has choice responsibility clearly delineate fact fantasy one scene keaton uses camera trick dissolving wall prove that hes not using camera trick when he dives through window comes out disguised as old woman because he was analytical mechanically minded stickler authenticity keaton took pleasure revealing processes magic tricks camera tricks rather than using them fool audience buster plays hapless cinema projectionist who yearns be detective but is so clueless that his romantic rival manages frame him stealing his girlfriends fathers watch dream he enters film hes projecting becomes great detective who solves similar crime while busters screen character is schlemiel who can only achieve mastery his celluloid fantasies as director keatons grasp mechanics film making enabled him control camera its imagery as thoroughly gracefully as he controlled his acrobatic body sherlock jr is most technically advanced film he ever made including special effects as when buster steps through screen gets edited park bench street mountain top lions den that can still leave audiences wondering how hell did he do that its often said that keatons films inspire gasps rather than laughs well i just saw sherlock jr with audience last night laughter was loud regular as fireworks fourth july but its particular kind laughter surprised amazed incredulous laughter first half movie takes place real world it begins with some nice small scale gags involving busters attempts scrounge up money buy candy his girl his adorably awkward visit her house after he has been thrown out due his rivals machinations buster shadows man literally copying his every motion exactly but is tricked again trapped freight train theres beautiful shot where he runs along top train staying same spot screen while cars zoom by under him opposite direction but i cant watch stunt where he rides water spout down tracks without wincing knowing he fractured his neck doing it beginning dream sequence is one greatest self reflexive scenes history film as busters ghostly double rises his sleeping body picks up his ghostly hat marches down into theater steps into screen havent we all wanted do this at some time once over his turbulent introduction medium buster becomes elegant sherlock jr investigating theft pearls mansion marvelous game billiards buster smoothly plays around exploding 13 ball he escapes thieves den with one neatest tricks youll ever see he rides through busy streets handlebars motorcycle that no one is driving he goes romantic sail floating car all this is packed into mere 45 minutes significantly cut after poor previews sherlock jr has more common with keatons short films than his features because fractured story line it doesnt have narrative coherence or trajectory character development that most keatons great features do his performance is split between shy inept projectionist suave infallible detective he is totally convincing both roles when he wakes his dream projectionist finds that all is well girl has solved mystery come apologize he is still timid as ever so romantic denouement he looks screen peeking out his booth he copies actions movie hero wooing his leading lady this is keatons most trenchant bit social satire whose ideas kissing love making havent been influenced by what they see at movies,0.5496341066341066,0.1482486772486772,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.34, 'Sad': 0.19, 'Fear': 0.3}"
8.0,Anything but Elementary...,"You can only marvel at the craft of Buster Keaton. The choreography and precision in coordinating these stunts and sequences would be astounding and breathtaking whatever period of cinema they came from but more so here as the medium was still in its infancy. For an imagination to conjure up such things, with the practice and patience to perfect them, can genuinely be considered genius. A performance by an absolute legend of silent picture perfection.",anything but elementary,you can only marvel at craft buster keaton choreography precision coordinating these stunts sequences would be astounding breathtaking whatever period cinema they came but more so here as medium was still its infancy imagination conjure up such things with practice patience perfect them can genuinely be considered genius performance by absolute legend silent picture perfection,0.74,0.4,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.27, 'Fear': 0.33}"
9.0,marvellous and inventive,"This Keaton classic is both funny and extremely clever in its construction. Our hero is a cleaner but dreams of becoming a detective, always with his nose buried in a book on the subject.The first third of the film is much like any other comedy. There are lost dollar bills, things sticking to other things, something stolen, mistaken identities. Our heroine is introduced in a charming scene where they seem terrified to hold hands. Her father is played by Buster's father Joe Keaton, who would appear in many of his son's films.There's a mustachioed cad with slick hair and a sharp suit who is after the girl, a cartoon baddie who the audience instinctively knows deserves a hiss and not a cheer.It is in Junior's other job as a cinema projectionist that the film comes alive. We are watching the film he has set up and then, suddenly, he is part of the action. In a sequence of great inventiveness, we see the film within a film changing scenes and watch with delight as the character adapts to each situation and surrounding.Sherlock Jr is very funny but is also unusual and, in comparison with other comedies of the period, ahead of its time. It includes some excellent stunts that are the equal of anything done by Harold Lloyd in the same period, and, although it has a very short running time, manages to develop a good storyline throughout.Justly feted as a masterpiece of silent comedy, Sherlock Jr represented one of the peaks of Buster Keaton's cinematic career. It is a film worth watching and has stood up well today.",marvellous inventive,this keaton classic is both funny extremely clever its construction our hero is cleaner but dreams becoming detective always with his nose buried book subject first third film is much like any other comedy there are lost dollar bills things sticking other things something stolen mistaken identities our heroine is introduced charming scene where they seem terrified hold hands her father is played by busters father joe keaton who would appear many his sons films theres mustachioed cad with slick hair sharp suit who is after girl cartoon baddie who audience instinctively knows deserves hiss not cheer it is juniors other job as cinema projectionist that film comes alive we are watching film he has set up then suddenly he is part action sequence great inventiveness we see film within film changing scenes watch with delight as character adapts each situation surrounding sherlock jr is very funny but is also unusual comparison with other comedies period ahead its time it includes some excellent stunts that are equal anything done by harold lloyd same period although it has very short running time manages develop good storyline throughout justly feted as masterpiece silent comedy sherlock jr represented one peaks buster keatons cinematic career it is film worth watching has stood up well today,0.4953763440860215,0.1827956989247312,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.34, 'Sad': 0.12, 'Fear': 0.34}"
10.0,A World of Possibilities,"Not only is this Buster Keaton's best film, but it is among the greatest achievements in the history of cinema, period. While it is not a feature-length film--and thus barred from most critics' lists of great films--it invented just about every single basic special effect known to movies (except for morphing). The story itself, about a film projectionist who desires to become part of the movies, and then does, by walking right onto the screen, made palpable the desire that we all have to be in the movies: To get the girl, to be an action hero, to outsmart the bad guys. Keaton invented meta-cinema before anyone even had a phrase for it.This movie has entered our dreams.",world possibilities,not only is this buster keatons best film but it is among greatest achievements history cinema period while it is not feature length film thus barred most critics lists great films it invented just about every single basic special effect known movies except morphing story itself about film projectionist who desires become part movies then does by walking right onto screen made palpable desire that we all have be movies get girl be action hero outsmart bad guys keaton invented meta cinema before anyone even had phrase it this movie has entered our dreams,0.5219246031746031,0.2726190476190476,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.31, 'Fear': 0.23}"
10.0,Intensely Poetic and Creative,"Though a lot of older films tend to be neglected, Sherlock Jr. definitely isn't a film that could be called obscure. I imagine most people at least know OF this movie with its famous movie-in-a-movie surrealist scene.Still, having previously heard over and over again about the brilliance of this film, I never really understood until I saw it myself. It's not just the dream-story and the surreality, it's what Keaton does with it and the importance he places on cinema. This film is even rather unique in using montage in a new way, or showing how much film appeals to the imagination as much as an artistic endeavor.Thus, this film itself becomes both wildly imaginative and brilliantly artistic... and best of all, it's FUNNY! Thus, it becomes a film for everyone. There's no hard-found artistic conceit that leads to cries of ""Pretentious!"", but still people can say ""It's amazing."" There's no comedic conceit that says, ""Bah, just simple slapstick, it's low-culture!"" because it's rather intelligently done. And it's creative in a way that isn't like an opium-dream. It can appeal to anybody of all ages. It's one very well-done film.--PolarisDiB",intensely poetic creative,though lot older films tend be neglected sherlock jr definitely isnt film that could be called obscure i imagine most people at least know this movie with its famous movie movie surrealist scene still having previously heard over over again about brilliance this film i never really understood until i saw it myself its not just dream story surreality its what keaton does with it importance he places cinema this film is even rather unique using montage new way or showing how much film appeals imagination as much as artistic endeavor thus this film itself becomes both wildly imaginative brilliantly artistic best all its funny thus it becomes film everyone theres no hard found artistic conceit that leads cries pretentious but still people can say its amazing theres no comedic conceit that says bah just simple slapstick its low culture because its rather intelligently done its creative way that isnt like opium dream it can appeal anybody all ages its one very well done film polarisdib,0.6347444222444223,0.2685460372960373,Positive,"{'Happy': 0.05, 'Angry': 0.15, 'Surprise': 0.35, 'Sad': 0.15, 'Fear': 0.3}"
,"nobody has ever done it better, maybe even as well, as Buster","There ought to be a theater that shows nothing but perfectly preserved prints of the silent comedies of Buster Keaton, Charlie Chaplin, Harold Lloyd, and Harry Langdon. There ought to be a lot of things, I guess. But anyone who thinks that silent film is nothing more than a crude and unskilled ancestor of today's motion picture need only spend some time on these great comedies to realize that, in this genre at least, the peak was reached in the 20s. Yes, there are funny movies with dialogue, but the humor is generally IN the dialogue...nobody--not the Marx Brothers, or W.C. Fields, or Abbot and Costello or the Three Stooges and nobody since--has achieved the sublime mastery of physical comedy these geniuses did. And the best of them all for pure comedy, to my mind, is Keaton. And the best of his movies is Sherlock, Jr. The dream sequence in which he becomes an actor in the film he's projecting is astonishing; the way in which this movie is a sort of window into a different and appealing age is charming--and the ending of this movie takes the breath away. Keaton made some of the great endings in film, I think. Check out ""College"" some time--just for the last minute or so. If you ever have the chance to see this film in a good print at the right speed with appropriate music, and you don't take that opportunity, shame shame shame. This is one I'd like to own.",nobody has ever done it better maybe even as well as buster,there ought be theater that shows nothing but perfectly preserved prints silent comedies buster keaton charlie chaplin harold lloyd harry langdon there ought be lot things i guess but anyone who thinks that silent film is nothing more than crude unskilled ancestor todays motion picture need only spend some time these great comedies realize that this genre at least peak was reached 20s yes there are funny movies with dialogue but humor is generally dialogue nobody not marx brothers or w c fields or abbot costello or three stooges nobody since has achieved sublime mastery physical comedy these geniuses did best them all pure comedy my mind is keaton best his movies is sherlock jr dream sequence which he becomes actor film hes projecting is astonishing way which this movie is sort window into different appealing age is charming ending this movie takes breath away keaton made some great endings film i think check out college some time just last minute or so if you ever have chance see this film good print at right speed with appropriate music you dont take that opportunity shame shame shame this is one id like own,0.5858095238095238,0.35600000000000004,Positive,"{'Happy': 0.18, 'Angry': 0.06, 'Surprise': 0.47, 'Sad': 0.09, 'Fear': 0.21}"
10.0,A hard act to follow,"As I sat reading the other reviewers comments I wondered what I could add. Oddly enough I watched Sherlock jr only this afternoon, after so many viewings it still amazes me how far ahead of his time Buster Keaton was, often copied, rarely equalled never surpassed. I would hate to be the kind of movie fan who never watches silent or black and white movies (you'd be surprised how many there are). So if you are like that do yourself a favour, get hold of a copy of this movie and enjoy, it shocks me that films such as 'Something about Mary' are rated higher than this masterpiece of comedy, there is nothing wrong with 'SaM' even I laughed at it, but, watching it once was enough, however I watch Sherlock jr again and again in pure amazement at Buster Keaton and his cameraman, Elgin Lessley's achievements without the aid of modern technology, like most other's the scene where he dives through a window to reappear as a little old lady gobsmacks me, how did he do it? Keaton can only be described in one word, genius. I have to add that I have the Kino version on DVD with the appalling soundtrack, but, luckily I also have it with a more appropriate soundtrack, which is far superior and adds extra enjoyment to an already fabulous movie.",hard act follow,as i sat reading other reviewers comments i wondered what i could add oddly enough i watched sherlock jr only this afternoon after so many viewings it still amazes me how far ahead his time buster keaton was often copied rarely equalled never surpassed i would hate be kind movie fan who never watches silent or black white movies youd be surprised how many there are so if you are like that do yourself favour get hold copy this movie enjoy it shocks me that films such as something about mary are rated higher than this masterpiece comedy there is nothing wrong with sam even i laughed at it but watching it once was enough however i watch sherlock jr again again pure amazement at buster keaton his cameraman elgin lessleys achievements without aid modern technology like most others scene where he dives through window reappear as little old lady gobsmacks me how did he do it keaton can only be described one word genius i have add that i have kino version dvd with appalling soundtrack but luckily i also have it with more appropriate soundtrack which is far superior adds extra enjoyment already fabulous movie,0.5995098039215686,0.13461134453781515,Positive,"{'Happy': 0.2, 'Angry': 0.07, 'Surprise': 0.43, 'Sad': 0.13, 'Fear': 0.17}"
,Creating the Art of Folding,"Spoilers herein.I am an enthusiast of what I call ""folding"" in film. That's the collection of techniques that map some awareness or identification of what the film is, to the story within the film. It isn't just a simple game, but a complex system of juggling representations and reality. It is not unique to film of course -- it has a long literary tradition. But it is one of the few things that characterize film as an agent of our imagination. I have built a database of hundreds of wonderful examples of folded films.It all starts here. Even today, the medium is still young and quickly evolving. But when this was made, film was still indistinct from its siblings: theater and still photography. Griffith had hampered the evolution by introducing one feature (societal scope -- unachievable on stage) by freezing another (ALL of the other conventions of stage).Keaton's notion of a film within a film seems ordinary today. Today, we don't even blink at one of the effects in this film: Keaton (in his film-within persona) is planning an elaborate getaway through a window in a cabin. To see this getaway, you need to see the inside and outside. Since this is explicitly a movie, we see the cabin the way it was built for a movie: with one side missing. Is is, in effect a film within a film within a film. This now common notion all starts here, it seems.Ted's Evaluation -- 4 of 3: Every cineliterate person should experience this",creating art folding,spoilers herein i am enthusiast what i call folding film thats collection techniques that map some awareness or identification what film is story within film it isnt just simple game but complex system juggling representations reality it is not unique film course it has long literary tradition but it is one few things that characterize film as agent our imagination i have built database hundreds wonderful examples folded films it all starts here even today medium is still young quickly evolving but when this was made film was still indistinct its siblings theater still photography griffith had hampered evolution by introducing one feature societal scope unachievable stage by freezing another all other conventions stage keatons notion film within film seems ordinary today today we dont even blink at one effects this film keaton his film within persona is planning elaborate getaway through window cabin see this getaway you need see inside outside since this is explicitly movie we see cabin way it was built movie with one side missing is is effect film within film within film this now common notion all starts here it seems teds evaluation 4 3 every cineliterate person should experience this,0.44575892857142857,0.0013020833333333287,Positive,"{'Happy': 0.06, 'Angry': 0.0, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.65}"
10.0,"Footage of laughter, romance and technical audaciousness","Am somebody who likes humour with wit and sophistication when it comes to comedy (that's why so many pre-1970 comedy appeals a lot to me), while appreciating comedies with a broader style providing it doesn't become too vulgar and the risque kind. Have found though that in recent years that there has been those that are very juvenile, crude and even puerile to the point of offensiveness, which is as one may have guessed appeals to me far less.There are many fine examples of silent film comedy, with Charlie Chaplin and Laurel and Hardy though in both cases it wasn't the case of finding their feet immediately. In both cases the early stuff was fairly hit and miss, but when they did settle their best work was classic. And of course Buster Keaton, who didn't transition as well or smoothly into the sound era (whereas Chaplin made some of his best work in it) but when he was in his prime there was nobody back then, when it came to comedy, more daring in terms of the jaw-dropping stunt-work, or who was able to make deadpan funny and expressive, and actually it is still like that now. Keaton wasn't nicknamed ""The Great Stone Face"" for nothing, and in my mind he was every bit as funny and easy to like as Chaplin and Laurel and Hardy, while also being a bigger risk taker, having bolder material physically and his films being technically in his prime period superior. The reasons for the comparisons being because they were all geniuses in comedy, who started their careers around the same time, a lot of the comedy was physical rather than verbal and their prime periods were in roughly the same time period.'Sherlock Jr' is another one of Keaton's finest, an achievement in pretty much every way. On a technical level, it is one of his most audacious and best-looking along with the slightly more ground-breaking on this front 'The General'. Again, it is beautifully shot and designed and the effects and how they're used stand out, it should be used as an example of how to have effects that still look good and like a lot of effort and care went into them and also use them properly, rather than overusing and abusing them to gratuitous effect with varied at best success as seen frequently now. Films today should learn from this film and the best of Keaton, they really are an example to all in many senses. The direction keeps things moving with control, progressing gradually and always assuredly, and balances everything beautifully.When it comes to the humour, 'Sherlock Jr' is one of Keaton's funniest and most inventive, chockful of hilarious moments timed to absolute perfection. While none of the stunts are quite on the same level of awe-inspiring as for example the climax of 'Steamboat Bill, Jr', they are still incredibly daring. Also found myself surprisingly educated, which makes this film one of Keaton's more interesting films, in learning the trade tricks in editing and effects and some of the most genius use of back projection (often done cheaply and obviously, but inventively done here).Like 'The General' and 'Steamboat Bill, Jr' it is really great to have a story with brains, heart and logic, treating the audience with respect and there is never any trouble following it. In terms of structure it stands out too when it comes to the story elements in Keaton's films and is one of the most interesting. The romantic element that features heavily here is done with more charm and pathos than most comedy when balanced with romance, without being too sentimental or soap-operatic, never does it slow the film down either. As to be expected, Keaton as to be expected is superb here, not only is his comic timing on point but he once again provides a character that's endearing and worth rooting for. His physicality and how he copes with the stunts is awe-inspiring and he is one of not many to make deadpan interesting and entertaining because he still makes it very expressive and nuanced. Don't overlook the rest of the cast though, they may not have as much to do but they are also amusing and charming.In summary, one of the Keaton essentials. 10/10",footage laughter romance technical audaciousness,am somebody who likes humour with wit sophistication when it comes comedy thats why so many pre 1970 comedy appeals lot me while appreciating comedies with broader style providing it doesnt become too vulgar risque kind have found though that recent years that there has been those that are very juvenile crude even puerile point offensiveness which is as one may have guessed appeals me far less there are many fine examples silent film comedy with charlie chaplin laurel hardy though both cases it wasnt case finding their feet immediately both cases early stuff was fairly hit miss but when they did settle their best work was classic course buster keaton who didnt transition as well or smoothly into sound era whereas chaplin made some his best work it but when he was his prime there was nobody back then when it came comedy more daring terms jaw dropping stunt work or who was able make deadpan funny expressive actually it is still like that now keaton wasnt nicknamed great stone face nothing my mind he was every bit as funny easy like as chaplin laurel hardy while also being bigger risk taker having bolder material physically his films being technically his prime period superior reasons comparisons being because they were all geniuses comedy who started their careers around same time lot comedy was physical rather than verbal their prime periods were roughly same time period sherlock jr is another one keatons finest achievement pretty much every way technical level it is one his most audacious best looking along with slightly more ground breaking this front general again it is beautifully shot designed effects how theyre used stand out it should be used as example how have effects that still look good like lot effort care went into them also use them properly rather than overusing abusing them gratuitous effect with varied at best success as seen frequently now films today should learn this film best keaton they really are example all many senses direction keeps things moving with control progressing gradually always assuredly balances everything beautifully when it comes humour sherlock jr is one keatons funniest most inventive chockful hilarious moments timed absolute perfection while none stunts are quite same level awe inspiring as example climax steamboat bill jr they are still incredibly daring also found myself surprisingly educated which makes this film one keatons more interesting films learning trade tricks editing effects some most genius use back projection often done cheaply obviously but inventively done here like general steamboat bill jr it is really great have story with brains heart logic treating audience with respect there is never any trouble following it terms structure it stands out too when it comes story elements keatons films is one most interesting romantic element that features heavily here is done with more charm pathos than most comedy when balanced with romance without being too sentimental or soap operatic never does it slow film down either as be expected keaton as be expected is superb here not only is his comic timing point but he once again provides character thats endearing worth rooting his physicality how he copes with stunts is awe inspiring he is one not many make deadpan interesting entertaining because he still makes it very expressive nuanced dont overlook rest cast though they may not have as much do but they are also amusing charming summary one keaton essentials 10 10,0.5324701358206514,0.28628293241695296,Positive,"{'Happy': 0.18, 'Angry': 0.03, 'Surprise': 0.29, 'Sad': 0.2, 'Fear': 0.29}"
