Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Awesome movie. My all time fave. The best villain in the history of bollywood.,"This movie is just one of the best Hindi movie i have seen. Its one of my favorite film. It has all the elements that a good Hindi movie must have. The settings of the hilly mountainous village, the dusty n tough terrain, the train sequence n the villain Gabbar played menacingly by Amjad Khan, were all awesome. Such is the impact of the villains acting is that u always remember him by his character's name frm the movie. One of the movies you remember for life. Amitabh Bachan and Dharmendra were awesome too. The character of Hema malini was cheesy n unbelieavable though. A woman riding a horse chariot that too in the cow belt area wher rape is rampant. Nevertheles the film is solid entertainment. It is a story of friendship, courage and revenge, based loosely around the concepts of Akira Kurosawa's Seven Samurai & The Magnificent Seven with shades of Once uopn a time in the west. A true cinematic masterpiece.",awesome movie my all time fave best villain history bollywood,this movie is just one best hindi movie i have seen its one my favorite film it has all elements that good hindi movie must have settings hilly mountainous village dusty n tough terrain train sequence n villain gabbar played menacingly by amjad khan were all awesome such is impact villains acting is that u always remember him by his characters name frm movie one movies you remember life amitabh bachan dharmendra were awesome too character hema malini was cheesy n unbelieavable though woman riding horse chariot that too cow belt area wher rape is rampant nevertheles film is solid entertainment it is story friendship courage revenge based loosely around concepts akira kurosawas seven samurai magnificent seven with shades once uopn time west true cinematic masterpiece,0.6062753036437246,0.2658344579397211,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.32, 'Sad': 0.2, 'Fear': 0.32}"
8.0,The Magnificent Two Samurai...,"Epic in all proportions, a thoroughly entertaining wild east cowboyesque film fizzing with vengeance, violence and, for the time, visionary film making and performances. There's a reason some films embrace longevity and not just through their duration, if you fancy a wild, fierce, ferocious and untamed piece of excitement then set aside an hour or three and a half, charge your beaker to the rim with stimulants and embrace a unique and original take on an often visited theme that wont leave you disappointed.",magnificent two samurai,epic all proportions thoroughly entertaining wild east cowboyesque film fizzing with vengeance violence time visionary film making performances theres reason some films embrace longevity not just through their duration if you fancy wild fierce ferocious untamed piece excitement then set aside hour or three half charge your beaker rim with stimulants embrace unique original take often visited theme that wont leave you disappointed,0.6185185185185185,0.18148148148148152,Positive,"{'Happy': 0.17, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.42, 'Fear': 0.17}"
10.0,Brilliant,"If you liked ""Once upon a time in the west"", ""The magnificent seven"" and ""A fistful of dollars"", you will love ""Sholay"". It takes all the good ingredients of a western, spices it with a lot of Indian ingredients and lets it simmer until you get one of the finest ""curry"" westerns imaginable. Though obviously very much inspired by the ""spaghetti"" westerns of the late 1960s/early 1970s, this easily surpasses most of the films it's modeled after. A masterpiece.",brilliant,if you liked once upon time west magnificent seven fistful dollars you will love sholay it takes all good ingredients western spices it with lot indian ingredients lets it simmer until you get one finest curry westerns imaginable though obviously very much inspired by spaghetti westerns late 1960s early 1970s this easily surpasses most films its modeled after masterpiece,0.5903030303030302,0.4266666666666667,Positive,"{'Happy': 0.36, 'Angry': 0.07, 'Surprise': 0.14, 'Sad': 0.29, 'Fear': 0.14}"
,No arguments.,"No film before or after Sholay has achieved as much - running to full houses in an unbroken 6 year stretch! Consider the fact that this happened in India - where the audiences have the most choices amongst all the people of the world. Consider the fact that no movie anywhere in the world has been able to reap even half this success that Sholay enjoys.It is potent, does not pretend, and has clearly been made with courage and conviction. It was made for the enjoyment of its predominantly Indian, fun-loving audiences, so my dear detractors from the clan of the perennially cynical, reality-fed, fun deprived masses of the world, kindly excuse yourselves. Sholay is quintessential Mumbai produce - you either consume and enjoy in total acceptance, or you're not fit for the ride. It is as simple as that.The world would be a poorer place without films like Sholay, not only because of the almost arrogant instantaneous and total suspension of disbelief it demands from its audiences, but because of the honesty and sheer power of that demand. You go to a boxing match to see two boxers fight it out, not to see them playing chess in the middle of the ring!Sholay will always be an incredible and shining example of purity, because it was the purest attempt made to entertain, with absolutely no quarters even considered for critical acclaim from the so called pundits of cinema.Yours truly is guilty of seeing this film 23 times to date, 17 of these in the theatres. And if opportunity allows, I wouldn't mind being sentenced to death with more of this guilt delightfully added to my conscience.As with any other film, there have been many comments on what is wrong with Sholay. To these, here is my personal quote - ""A good film is about getting most things right, not about getting the fewest things wrong!""And here is my response to other heartless comments on Sholay being a copy of some other film or filmmaker's work - ""If every human was an original, we would have 6 billion different species without a single one to call friend or family"".To argue against failure may be human, but to argue against success is sub-human. You may limit yourselves if you so wish.",no arguments,no film before or after sholay has achieved as much running full houses unbroken 6 year stretch consider fact that this happened india where audiences have most choices amongst all people world consider fact that no movie anywhere world has been able reap even half this success that sholay enjoys it is potent does not pretend has clearly been made with courage conviction it was made enjoyment its predominantly indian fun loving audiences so my dear detractors clan perennially cynical reality fed fun deprived masses world kindly excuse yourselves sholay is quintessential mumbai produce you either consume enjoy total acceptance or youre not fit ride it is as simple as that world would be poorer place without films like sholay not only because almost arrogant instantaneous total suspension disbelief it demands its audiences but because honesty sheer power that demand you go boxing match see two boxers fight it out not see them playing chess middle ring sholay will always be incredible shining example purity because it was purest attempt made entertain with absolutely no quarters even considered critical acclaim so called pundits cinema yours truly is guilty seeing this film 23 times date 17 these theatres if opportunity allows i wouldnt mind being sentenced death with more this guilt delightfully added my conscience as with any other film there have been many comments what is wrong with sholay these here is my personal quote good film is about getting most things right not about getting fewest things wrong here is my response other heartless comments sholay being copy some other film or filmmakers work if every human was original we would have 6 billion different species without single one call friend or family argue against failure may be human but argue against success is sub human you may limit yourselves if you so wish,0.49904761904761924,0.12735449735449736,Positive,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.12, 'Sad': 0.31, 'Fear': 0.33}"
10.0,SHOLAY the pride of Indian Cinema,"Sholay is an action movie directed by Ramesh Sippy and stars Dharmendra, Late Sanjeev Kumar, Hema Malini, Amitabh Bachchan, Jaya Bachchan, Late Amjad Khan, Late Satyen Kappu, Late A.K. Hangal and Late Mac Mohan. Asrani, Late Keshto Mukherjee, Late Viju Khote, Late Leela Mishra, Late Iftekhar, Late Jalal Agha and Helen were in supporting but pivotal roles.Before going down kindly be informed that this is not a review. It's a feeling expressed by a fan. I am in no capacity to review this masterpiece.The movie itself is a brand and still carries the same charm when it was released. The movie has lots of stories and trivia behind it such as casting of Amjad Khan in place of Danny. Slow pace of the movie in the initial week of it's release and so on and I think every movie buff must have read, heard or read about it.The movie is known for the best execution of a predictable plot with a seasoning of comedy and emotion. All most all the characters of the movie is a legend in fact the side characters are also immortal now be it 'Mausi', 'Angrezo ke zamane ke jailer', 'Soorma Bhopali', 'Kalia'or 'Sambha'.Probably this is the only movie who might have given birth to lots of parodies and those parodies are still in making.The mesmerising songs which suits every occasion such as beautiful 'Holi' song, the song representing the eternal bond of friendship or to please your love interest, and yes the dialogues which we all would have copied in all the funnier situations like 'Itna sannata kyun hai bhai', 'kitne aadmi the' and so onWith immortal characters and dialogues Sholay is a classic which can't be created and in fact will never be created.",sholay pride indian cinema,sholay is action movie directed by ramesh sippy stars dharmendra late sanjeev kumar hema malini amitabh bachchan jaya bachchan late amjad khan late satyen kappu late k hangal late mac mohan asrani late keshto mukherjee late viju khote late leela mishra late iftekhar late jalal agha helen were supporting but pivotal roles before going down kindly be informed that this is not review its feeling expressed by fan i am no capacity review this masterpiece movie itself is brand still carries same charm when it was released movie has lots stories trivia behind it such as casting amjad khan place danny slow pace movie initial week its release so i think every movie buff must have read heard or read about it movie is known best execution predictable plot with seasoning comedy emotion all most all characters movie is legend fact side characters are also immortal now be it mausi angrezo ke zamane ke jailer soorma bhopali kaliaor sambha probably this is only movie who might have given birth lots parodies those parodies are still making mesmerising songs which suits every occasion such as beautiful holi song song representing eternal bond friendship or please your love interest yes dialogues which we all would have copied all funnier situations like itna sannata kyun hai bhai kitne aadmi so onwith immortal characters dialogues sholay is classic which cant be created fact will never be created,0.5225198412698412,0.014682539682539702,Positive,"{'Happy': 0.14, 'Angry': 0.02, 'Surprise': 0.11, 'Sad': 0.43, 'Fear': 0.3}"
8.0,A rare Hindi film of the times,"I think Sholay is a great Hindi film of its times, although with the amount of praise and superlatives it has been getting throughout the years, I must admit it's a little overrated. The film was indeed ahead of its time in many ways. First, the action was really good - there were some glitches here and there, but it was far more credible than what the times had set the public for. Secondly, the attention to detail, as expected from Ramesh Sippy, is first-rate. Sippy, a great director whose combination of professional, technically skilled direction, impressive storytelling, and the delicate yet honest depiction of his stories, produced several classic Hindi pictures. Sholay is a good product although sadly it mixes too many genres and is overlong for the story it tells. It could have easily edited out some parts. Given the extraordinary brutality of the villainous characters and the situations, as well as the marked contrast between the good and the evil, I think the comedic parts (except for those of Basanti) were grossly redundant, among others, as they dragged the narrative and undermined its consistency as well as the minimalist approach that was so successfully employed by Sippy in some key scenes.Set in a rural, remote region in southern India, the film is beautifully shot, and Sippy manages to capture the essence of the village and its people. One wonderful scene shows the routine of the village and the different activities of its inhabitants in the morning, a rare glimpse into the cultural weight of the place, which few directors would bother to tap into. This is where our heroes and villains are thrown, in an interesting story which benefits from Sippy's unique direction. The realism with which some of the situations are portrayed is striking, and it is matched by a careful handling of the proceedings in ways the Indian moviegoing public, which was used to being spoonfed by Hindi filmmakers, had not been accustomed to. Note for one the way the romance between Veeru and Radha is portrayed. Just watch the scene in which Jai is playing his harmonica as Radha is walking around and turning off the Kerosene lamps. Such subtlety is rarely seen in Hindi films. This is not to say that the film is devoid of any sentimentality. Still, the overall thing is really good - the film is both entertaining and then it is also quite moving and heartbreaking in some hard-hitting scenes, not to mention the famous, harrowing parts.The film's authenticity is achieved in large parts through the acting, particularly the grounded, authentic performances of the main characters. Sholay is in my view Sanjeev Kumar's story as it is his character's determination that carries the narrative forward. He is tremendous. Dharmendra plays the energetic and happy-go-lucky Veeru pretty well, but Bachchan is fantastic in a subdued, quiet performance as Jai. Hema Malini is wonderful as the iconic, highly talkative and kind-hearted village belle Basanti; her comic timing is top-notch, and her dance numbers are never less than fabulous. Out of the two couple, it is Jaya Bhaduri of course who can always be trusted to do so much by doing so little. Her quietly understated performance is one of the film's assets, the other one being Amjad Khan's phenomenal turn as one of the greatest screen villains of Hindi cinema. Sholay is greatly aided by the great background score which enhances some of the most difficult scenes and helps alleviate others. R. D. Burman's soundtrack is as memorable as the film. Sholay is definitely a classic in many ways. It is not flawless, nor do I think it matters. In many ways it is a landmark film, and I'm sure non-Indians might enjoy it just as much.",rare hindi film times,i think sholay is great hindi film its times although with amount praise superlatives it has been getting throughout years i must admit its little overrated film was indeed ahead its time many ways first action was really good there were some glitches here there but it was far more credible than what times had set public secondly attention detail as expected ramesh sippy is first rate sippy great director whose combination professional technically skilled direction impressive storytelling delicate yet honest depiction his stories produced several classic hindi pictures sholay is good product although sadly it mixes too many genres is overlong story it tells it could have easily edited out some parts given extraordinary brutality villainous characters situations as well as marked contrast between good evil i think comedic parts except those basanti were grossly redundant among others as they dragged narrative undermined its consistency as well as minimalist approach that was so successfully employed by sippy some key scenes set rural remote region southern india film is beautifully shot sippy manages capture essence village its people one wonderful scene shows routine village different activities its inhabitants morning rare glimpse into cultural weight place which few directors would bother tap into this is where our heroes villains are thrown interesting story which benefits sippys unique direction realism with which some situations are portrayed is striking it is matched by careful handling proceedings ways indian moviegoing public which was used being spoonfed by hindi filmmakers had not been accustomed note one way romance between veeru radha is portrayed just watch scene which jai is playing his harmonica as radha is walking around turning off kerosene lamps such subtlety is rarely seen hindi films this is not say that film is devoid any sentimentality still overall thing is really good film is both entertaining then it is also quite moving heartbreaking some hard hitting scenes not mention famous harrowing parts films authenticity is achieved large parts through acting particularly grounded authentic performances main characters sholay is my view sanjeev kumars story as it is his characters determination that carries narrative forward he is tremendous dharmendra plays energetic happy go lucky veeru pretty well but bachchan is fantastic subdued quiet performance as jai hema malini is wonderful as iconic highly talkative kind hearted village belle basanti her comic timing is top notch her dance numbers are never less than fabulous out two couple it is jaya bhaduri course who can always be trusted do so much by doing so little her quietly understated performance is one films assets other one being amjad khans phenomenal turn as one greatest screen villains hindi cinema sholay is greatly aided by great background score which enhances some most difficult scenes helps alleviate others r d burmans soundtrack is as memorable as film sholay is definitely classic many ways it is not flawless nor do i think it matters many ways it is landmark film im sure non indians might enjoy it just as much,0.5835927632701826,0.2746338965693804,Positive,"{'Happy': 0.24, 'Angry': 0.07, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.33}"
10.0,Everybody knows this is the Best Bollywood film ever made,"Everybody knows this is the Best Bollywood film ever made. I am surprised that this films rating in IMDb is not 10 /10 that it deserves. If you ask any Bollywood genius about this movie, they will tell you its the Best film of all time. Its no. 1 in the top 100 Best Bollywood Movies Stardust magazine. This movie had all the elements to make a great movie. Great Acting, Great Dialouges, Great music, Violence, comedy, Romance, Emotions and Relationships (Friendship). It stars Bollywood's Greatest ever actor Amitabh Bchchan in a Powerhouse performance. Dharmendra in his Best film that I've seen. Hema Malini is fantastic as the in famous fast talking Basanti. Jaya Bachchan is superb as the quiet widow. Amjad Khan steals the show as the legendary famous Villain Gabbar Singh. The other cast have done a decent job. This is the Greates Film Bollywood have released. Fullstop.",everybody knows this is best bollywood film ever made,everybody knows this is best bollywood film ever made i am surprised that this films rating imdb is not 10 10 that it deserves if you ask any bollywood genius about this movie they will tell you its best film all time its no 1 top 100 best bollywood movies stardust magazine this movie had all elements make great movie great acting great dialouges great music violence comedy romance emotions relationships friendship it stars bollywoods greatest ever actor amitabh bchchan powerhouse performance dharmendra his best film that ive seen hema malini is fantastic as famous fast talking basanti jaya bachchan is superb as quiet widow amjad khan steals show as legendary famous villain gabbar singh other cast have done decent job this is greates film bollywood have released fullstop,0.6261363636363636,0.5768939393939394,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.48, 'Sad': 0.24, 'Fear': 0.07}"
9.0,Plain Excellent,"This movie is just the best movie i have seen. (I have watched around 570 movies) (Its my favorite movie).It has all the elements that a good movie must have:Excellent Dialogues.Excellent Music.Excellent Acting. (Even the extra's where excellent)Excellent Story/Plot.Good Songs.And it has much genres, who are handled very well in this movie: Action/Comedy/Romance/Drama/Adventure/Thriller (not really, but a kind of Thriller)/Musical/Crime. Each word of this movie is excellent. I think it has the greatest story ever! I was hurted when i came to know that Mr. Ram Gopal Varma is remaking this classic... Despite becoming the most successful film of its time, it failed to win any major popular or critics awards. The lone Filmfare award it got went to M.S. Shinde for Best editing. The plot is about a retired police officer Thakur (Sanjeev Kumar) who hires two convicts Veeru and Jai (Dharmendra and Amitabh Bachchan) to capture Gabbar Singh (a Dacoit) who had killed the cop's entire family (except the cop and his daughter-in-law).Who has not seen this movie, try it once, you will love it. *****",plain excellent,this movie is just best movie i have seen i have watched around 570 movies its my favorite movie it has all elements that good movie must have excellent dialogues excellent music excellent acting even extras where excellent excellent story plot good songs it has much genres who are handled very well this movie action comedy romance drama adventure thriller not really but kind thriller musical crime each word this movie is excellent i think it has greatest story ever i was hurted when i came know that mr ram gopal varma is remaking this classic despite becoming most successful film its time it failed win any major popular or critics awards lone filmfare award it got went m s shinde best editing plot is about retired police officer thakur sanjeev kumar who hires two convicts veeru jai dharmendra amitabh bachchan capture gabbar singh dacoit who had killed cops entire family except cop his daughter law who has not seen this movie try it once you will love it,0.5827752976190476,0.4942150297619047,Positive,"{'Happy': 0.38, 'Angry': 0.06, 'Surprise': 0.32, 'Sad': 0.09, 'Fear': 0.15}"
10.0,Perfect Movie,Can't find a single flaw in the movie. Probably one of the best ever made in Hindi. The camera work is flawless and grips you. The acting is inspired. The music is memorable. One of the movies you remember for life.,perfect movie,cant find single flaw movie probably one best ever made hindi camera work is flawless grips you acting is inspired music is memorable one movies you remember life,0.5857142857142857,0.5714285714285715,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.38}"
10.0,The Greatest Story Ever Told!,"""Kitne Aadmi Thei"", every Indian film fan knows this dialog by heart. Sholay was released in 1975, also the year I was born in, coincidence, perhaps. The film became the longest running Indian film in the theaters, a record that stood for over 25 years until it was broken recently by another classic ""Dilwale Dulhania Le Jayenge"" (holds the current record 500 Weeks and still going - as on May 07, 2005).Sholay was written by the great Duo of Javed Akhtar and Salim Khan know as Salim-Javed. The duo also gave us films like Don, Shakti, Shaan, Zanjeer, Seeta Aur Geeta and Deewar. The film was directed by Ramesh Sippy and had music of legendary R.D. Burman. Sholay gave us a Character called ""Gabbar Singh"" played by Amjad Khan, who made his debut with this film. The character of Gabbar Singh is so creative that many film makers have tried to imitate him for their films.Sholay did for Indian Cinema what Casablanca did for Hollywood. It became an instant classic and broke all the rules of film making and characterization, while preserving the values of Indian cinema.Sholay just won the Filmfare Award (2005) for being the Best Film in the last 50 years of Indian Cinema. Sadly, when Sholay was first released in 1975 it didn't win any major Filmfare awards. But when you think about all the great films that were released in that year, its easy to see how it may have been over looked. 1975 may have been the best year for Hindi films with the likes of Deewar, Chupke Chupke, Hera Pheri, Khel Khel Mein, Julie, Mausam, Ponga Pandit, Rafoo Chakkar, Uljhan, Dharmatma, Do Jasoos, Faraar, Geet Gaata Chal, Chhoti Si Baat, Aandhi and Milli - all releasing along with Sholay.Sholay had the biggest star cast of its time with the likes of Dharmendra, Hema Malini, Amitabh Bachchan, Jaya Bhaduri, Sanjeev Kumar, Sachin, A.K. Hangal, Leela Mishra, Satyen Kappu, Mac Mohan, Jagdeep, Asrani, Helen, Jalal Agha, Iftekhar, Keshto Mukherjee and of course Amjad Khan. The Greatest Cast Ever Assembled for the Greatest Story Ever Told!",greatest story ever told,kitne aadmi thei every indian film fan knows this dialog by heart sholay was released 1975 also year i was born coincidence perhaps film became longest running indian film theaters record that stood over 25 years until it was broken recently by another classic dilwale dulhania le jayenge holds current record 500 weeks still going as may 07 2005 sholay was written by great duo javed akhtar salim khan know as salim javed duo also gave us films like don shakti shaan zanjeer seeta aur geeta deewar film was directed by ramesh sippy had music legendary r d burman sholay gave us character called gabbar singh played by amjad khan who made his debut with this film character gabbar singh is so creative that many film makers have tried imitate him their films sholay did indian cinema what casablanca did hollywood it became instant classic broke all rules film making characterization while preserving values indian cinema sholay just won filmfare award 2005 being best film last 50 years indian cinema sadly when sholay was first released 1975 it didnt win any major filmfare awards but when you think about all great films that were released that year its easy see how it may have been over looked 1975 may have been best year hindi films with likes deewar chupke chupke hera pheri khel khel mein julie mausam ponga pandit rafoo chakkar uljhan dharmatma do jasoos faraar geet gaata chal chhoti si baat aandhi milli all releasing along with sholay sholay had biggest star cast its time with likes dharmendra hema malini amitabh bachchan jaya bhaduri sanjeev kumar sachin k hangal leela mishra satyen kappu mac mohan jagdeep asrani helen jalal agha iftekhar keshto mukherjee course amjad khan greatest cast ever assembled greatest story ever told,0.5810606060606062,0.4354166666666666,Positive,"{'Happy': 0.06, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.23, 'Fear': 0.42}"
