Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,A fabulous musical romance about film technology,"Don Lockwood (Gene Kelly) and Lina Lamont (Jean Hagen) are a famed Hollywood duo, making films at the tail end of the silent era. The studio has been issuing PR suggesting that they're a romantic item. In reality, they can barely stand one another. One night, while on the town with his best friend Cosmo Brown (Donald O' Connor), Lockwood has to run to escape fans who want a piece of him badly enough that they'll literally rip his clothes to shreds. He hops over a number of moving vehicles and ends up in the passenger seat of Kathy Selden's (Debbie Reynolds) car. Lockwood seems immediately taken with her, but she gives him the cold shoulder. She says she's an actress with a love of theater, and she looks down on film acting. Later, Lockwood discovers that she was inflating the truth a bit, as he sees Selden performing as a cute song & dance girl at an industry party he's attending. She runs out of the party and Lockwood chases after her, but he's too late. While he tries to track her down, he, Lamont and their studio have to deal with the changing nature of film in 1927--made much more difficult by the fact that Lamont may look glamorous, but she talks more like Fran Drescher in ""The Nanny"" (1993).Aside from the more serious aspects of the plot, Singing in the Rain is a great success as a romance and a musical. It also has an astoundingly rich Technicolor look, and it is charmingly humorous. Kelly and Reynolds click on screen, even if offscreen Kelly, who also co-directed and co-choreographed, was famously difficult to work with--he drove Reynolds so hard (she was a much more inexperienced dancer) that her feet literally started bleeding at one point. The songs are great, they're worked into the story well--which is perhaps surprising given that most of them weren't written specifically for this film--and the choreography is impeccable, frequently jaw dropping and always aesthetically wondrous and sublime. If for nothing else, the film is worth a look for its often-athletic dance numbers, which can resemble Jackie Chan's showy martial arts stunts as much as dancing. It's also imperative viewing for cultural literacy in the realm of film.But the more serious aspects of the plot are fascinating as well. In a significant way, Singing in the Rain is about film technology. Film technology is the hinge of the plot, after all. The climax and dénouement are decided by the advent of synchronized sound in the film industry. We see studio head R.F. Simpson (Millard Mitchell) demonstrating sound films at the party where Lockwood sees Selden for the second time, providing two big turning points at once. There are sequences of actors heading off to diction coaches, as happened in reality once sound entered the scene, and also in reality as in the film some actor's careers were jeopardized by having to suddenly master a new skill.But Singing in the Rain is about technology on another level, too. Kelly and co-director Stanley Donen go to great lengths to ensure that the film is an exemplar of state-of-the-art film technology in 1952. For example, the beautiful Technicolor cinematography is emphasized by the fabulously colorful costumes and production design--they're showing off cutting edge color. The sound is as good as it could be in 1952, and the fact that this is a musical helps show that off. The sets and effects are complex and an attempt is made to show them off as well.Donen and Kelly often play up the artificiality of the sets and effects to emphasize artistry and technology. This is clearly shown in the ""Make 'Em Laugh"" sequence (and surrounding events) and the extended ""Broadway Rhythm Ballet"" sequence with Cyd Charisse. Showing off this artistry and technology also occurs very subtly, as with the rain in the ""Singing in the Rain"" sequence. Even today, rain machines are frequently employed in a way that it appears to be raining on film, but in reality, it's just enough coverage to produce the illusion. In the ""Singing in the Rain"" sequence, they make sure that you can see the whole area is getting flooded, and they use Gene Kelly's umbrella, as torrents of water bounce off of it, to emphasize that no matter where he goes, ""rain"" is pouring down on him.While there are many musicals I like as much as Singing in The Rain, this is one of the better-loved examples of that genre, and for good reason. Any musical lover has surely seen this already, and if not, they should run out now and pick it up on DVD. If you're relatively unfamiliar with classic Hollywood musicals, this is one of the best places to start.",fabulous musical romance about film technology,don lockwood gene kelly lina lamont jean hagen are famed hollywood duo making films at tail end silent era studio has been issuing pr suggesting that theyre romantic item reality they can barely stand one another one night while town with his best friend cosmo brown donald o connor lockwood has run escape fans who want piece him badly enough that theyll literally rip his clothes shreds he hops over number moving vehicles ends up passenger seat kathy seldens debbie reynolds car lockwood seems immediately taken with her but she gives him cold shoulder she says shes actress with love theater she looks down film acting later lockwood discovers that she was inflating truth bit as he sees selden performing as cute song dance girl at industry party hes attending she runs out party lockwood chases after her but hes too late while he tries track her down he lamont their studio have deal with changing nature film 1927 made much more difficult by fact that lamont may look glamorous but she talks more like fran drescher nanny 1993 aside more serious aspects plot singing rain is great success as romance musical it also has astoundingly rich technicolor look it is charmingly humorous kelly reynolds click screen even if offscreen kelly who also co directed co choreographed was famously difficult work with he drove reynolds so hard she was much more inexperienced dancer that her feet literally started bleeding at one point songs are great theyre worked into story well which is perhaps surprising given that most them werent written specifically this film choreography is impeccable frequently jaw dropping always aesthetically wondrous sublime if nothing else film is worth look its often athletic dance numbers which can resemble jackie chans showy martial arts stunts as much as dancing its also imperative viewing cultural literacy realm film but more serious aspects plot are fascinating as well significant way singing rain is about film technology film technology is hinge plot after all climax d nouement are decided by advent synchronized sound film industry we see studio head r f simpson millard mitchell demonstrating sound films at party where lockwood sees selden second time providing two big turning points at once there are sequences actors heading off diction coaches as happened reality once sound entered scene also reality as film some actors careers were jeopardized by having suddenly master new skill but singing rain is about technology another level too kelly co director stanley donen go great lengths ensure that film is exemplar state art film technology 1952 example beautiful technicolor cinematography is emphasized by fabulously colorful costumes production design theyre showing off cutting edge color sound is as good as it could be 1952 fact that this is musical helps show that off sets effects are complex attempt is made show them off as well donen kelly often play up artificiality sets effects emphasize artistry technology this is clearly shown make em laugh sequence surrounding events extended broadway rhythm ballet sequence with cyd charisse showing off this artistry technology also occurs very subtly as with rain singing rain sequence even today rain machines are frequently employed way that it appears be raining film but reality its just enough coverage produce illusion singing rain sequence they make sure that you can see whole area is getting flooded they use gene kellys umbrella as torrents water bounce off it emphasize that no matter where he goes rain is pouring down him while there are many musicals i like as much as singing rain this is one better loved examples that genre good reason any musical lover has surely seen this already if not they should run out now pick it up dvd if youre relatively unfamiliar with classic hollywood musicals this is one best places start,0.46380249867091944,0.21637759170653909,Positive,"{'Happy': 0.16, 'Angry': 0.01, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.43}"
10.0,The talkies,"The transition from the silent film era to the newly arrived technique of the 'talkies' proved to be the ruin for many well established stars that were great on the screen, but who had no professional training in the theater, or otherwise, and had horrible speaking voices. Thus, a star of the magnitude of Lina Lamont, suffers a hard blow to her career and ego.That's the basis of one of the best movies about old Hollywood of all times: ""Singin' in the Rain"". The film is one of the classics it is because of the marvelous direction of Gene Kelly and Stanley Donen, two men who knew a lot about musicals. The screen play is by one of the best people in the business, Betty Comden and Adolph Green.MGM was the studio that employed all the stars one sees in the film, and what a cast they put together: Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Cyd Charisse in a dancing part, Millard Mitchell and Rita Moreno. As if those names weren't big enough, there is the fantastic musical numbers that even, viewing them today, have kept their freshness because of the care in which this film was crafted.""Singin' in the Rain"" is one of the best musicals of all times. It's right up there with the best of them thanks to the vision of Gene Kelly and Stanley Donen and it will live forever as more people discover this wonderful example of entertainment.",talkies,transition silent film era newly arrived technique talkies proved be ruin many well established stars that were great screen but who had no professional training theater or otherwise had horrible speaking voices thus star magnitude lina lamont suffers hard blow her career ego thats basis one best movies about old hollywood all times singin rain film is one classics it is because marvelous direction gene kelly stanley donen two men who knew lot about musicals screen play is by one best people business betty comden adolph green mgm was studio that employed all stars one sees film what cast they put together gene kelly donald oconnor debbie reynolds jean hagen cyd charisse dancing part millard mitchell rita moreno as if those names werent big enough there is fantastic musical numbers that even viewing them today have kept their freshness because care which this film was crafted singin rain is one best musicals all times its right up there with best them thanks vision gene kelly stanley donen it will live forever as more people discover this wonderful example entertainment,0.4617469336219337,0.28819895382395383,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.12, 'Fear': 0.42}"
10.0,One of the best Hollywood musicals,"This isn't my all time favorite (that goes to ""Meet me in St. Louis"") but this is definitely in the top 10. This is a fictitous musical comedy of the 1920s when silent films became ""talkies"". It chronicles how it affects Don Lockwood (Gene Kelly), his leading lady Lina Lamont (Jean Hagen), best friend Cosmo (Donald O'Connor) and Lockwood's new girlfriend Kathey Selden (Debbie Reynolds). Problem is Lina has a voice that can cut glass and doesn't like lockwood falling for Selden...This movie has one highlight after another. Almost all the numbers are great--the title tune, ""Make 'Em Laugh"", ""Beautiful Girl"", ""Good Morning"" on and on. My two favorites are two short ones: ""Fit as a Fiddle"" which has incredible dancing from Kelly and O'Connor and ""Would You?"" at the end. Kelly isn't that good acting (he never was) but his dancing is superb; Reynolds (only 19 when she did this) is beautiful, energetic and full of life; Hagen is uproarious as Lamont (she was nominated for an Academy Award--she should have won!) and O'Connor is just great as Cosmo (his ""Make Em' Laugh"" number has astounding dancing). It's hard to believe that Reynolds and O'Connor hated working with Kelly (he was obnoxious, VERY demanding and a tyrant)--it's a credit to their acting that it never comes through.I only have one (small) complaint--the big, elaborate production number with Cyd Charisse in the middle. It LOOKS great and colorful--but it brings the film to a screeching halt and is way too long. After it ends I have trouble remembering where the film left off! Still, that's a small problem. This remains one of the 10 best movie musicals ever made. HIGHLY recommended!",one best hollywood musicals,this isnt my all time favorite that goes meet me st louis but this is definitely top 10 this is fictitous musical comedy 1920s when silent films became talkies it chronicles how it affects don lockwood gene kelly his leading lady lina lamont jean hagen best friend cosmo donald oconnor lockwoods new girlfriend kathey selden debbie reynolds problem is lina has voice that can cut glass doesnt like lockwood falling selden this movie has one highlight after another almost all numbers are great title tune make em laugh beautiful girl good morning my two favorites are two short ones fit as fiddle which has incredible dancing kelly oconnor would you at end kelly isnt that good acting he never was but his dancing is superb reynolds only 19 when she did this is beautiful energetic full life hagen is uproarious as lamont she was nominated academy award she should have won oconnor is just great as cosmo his make em laugh number has astounding dancing its hard believe that reynolds oconnor hated working with kelly he was obnoxious very demanding tyrant its credit their acting that it never comes through i only have one small complaint big elaborate production number with cyd charisse middle it looks great colorful but it brings film screeching halt is way too long after it ends i have trouble remembering where film left off still thats small problem this remains one 10 best movie musicals ever made highly recommended,0.486576479076479,0.3072546897546898,Positive,"{'Happy': 0.24, 'Angry': 0.04, 'Surprise': 0.16, 'Sad': 0.15, 'Fear': 0.42}"
,It Ain't Been in Vain for Nothing,"Singin' in the Rain is one of the best movies ever made. The film is beautiful, tuneful, and loads of fun. While it pokes fun at Hollywood it also does so with great love. Little bits and pieces of Hollywood lore find their way into this great film and it's a pleasure to get the joke or recognize the real star they're referring to.The star trio is just perfect: Gene Kelly give a funny performance as the hammy silent actor; Donald O'Connor makes the most of his ""second banana"" role; Debbie Reynolds is perfect as the ingénue trying to break into films. The three stars perform many memorable numbers, including Kelly's ""Singin' in the Rain"" classic; all three in the ""Good Mornin'"" number; O'Connor's ""Make 'Em Laugh""; and Kelly and Reynolds in ""You Were Meant for Me."" The masterpiece however may be the ""Gotta Dance"" production number with Kelly and Cyd Charissejust perfect. Also great fun are O'Connor and Kelly in ""Fit as a Fiddle"" and ""Moses Supposes.""There are of course other production numbers, including the montage that shows Hollywood's race to transition to talkies, a scene that ends in the ""Beautiful Girl"" number featuring Jimmy Thompson. Jean Hagen (as Lina Lamont) won an Oscar nomination and steals the film in a classic comedy performance. Also good are Millard Mitchell, Douglas Fowley, Rita Moreno, King Donovan, Kathleen Freeman, Mae Clarke, Julius Tannen, and Madge Blake.The great trick to this film is that while Reynolds is supposedly ""lip syncing"" for Hagen, it's really Hagen's voice that Reynolds is miming to as in the ""I Would, Would You"" number. The final miming act is Hagen mouthing ""Singin' in the Rain"" is really Reynolds. It gets so confusing you can't tell who is lip syncing whose voice.Lots of Hollywood lore retold in this film. Hagen's Lamont character is a veiled reference to Norma Talmadge, who supposedly failed in talkies because of her New York accent. It's also a reference to Louise Brooks, whose talkie debut in The Canary Murder Case was all dubbed. When Kelly screams ""I LOVE YOU"" it's a reference to John Gilbert in is talkie debut flop. His Glorious Night. Kathleen Freeman's diction coach character is a reference to Constance Collier, who returned to Hollywood as a coach. And on it goes.A great film!",it aint been vain nothing,singin rain is one best movies ever made film is beautiful tuneful loads fun while it pokes fun at hollywood it also does so with great love little bits pieces hollywood lore find their way into this great film its pleasure get joke or recognize real star theyre referring star trio is just perfect gene kelly give funny performance as hammy silent actor donald oconnor makes most his second banana role debbie reynolds is perfect as ing nue trying break into films three stars perform many memorable numbers including kellys singin rain classic all three good mornin number oconnors make em laugh kelly reynolds you were meant me masterpiece however may be gotta dance production number with kelly cyd charisse just perfect also great fun are oconnor kelly fit as fiddle moses supposes there are course other production numbers including montage that shows hollywoods race transition talkies scene that ends beautiful girl number featuring jimmy thompson jean hagen as lina lamont won oscar nomination steals film classic comedy performance also good are millard mitchell douglas fowley rita moreno king donovan kathleen freeman mae clarke julius tannen madge blake great trick this film is that while reynolds is supposedly lip syncing hagen its really hagens voice that reynolds is miming as i would would you number final miming act is hagen mouthing singin rain is really reynolds it gets so confusing you cant tell who is lip syncing whose voice lots hollywood lore retold this film hagens lamont character is veiled reference norma talmadge who supposedly failed talkies because her new york accent its also reference louise brooks whose talkie debut canary murder case was all dubbed when kelly screams i love you its reference john gilbert is talkie debut flop his glorious night kathleen freemans diction coach character is reference constance collier who returned hollywood as coach it goes great film,0.5327805077805077,0.4164107289107289,Positive,"{'Happy': 0.25, 'Angry': 0.04, 'Surprise': 0.16, 'Sad': 0.14, 'Fear': 0.41}"
9.0,A Classic,"Last year I was very lucky to catch this on the big screen. This film is meant to be seen on the big screen! It was also the first time I saw it at the theaters and I was very impressed with the visuals.In this film movies are switching over from being silent to being ""talkies"". However the film is a spoof of the turmoil that afflicted the movie industry in the late 1920s when movies when the change over went from silent to sound. When two silent movie stars', Don Lockwood and Lina Lamont, latest movie is made into a musical a chorus girl is brought in to dub Lina's speaking and singing. Don is on top of the world until Lina finds out.This is such a great film that if you ever get the chance to see this at the movies then DO IT.Gene Kelly and Debbie Reynolds made an awesome team.",classic,last year i was very lucky catch this big screen this film is meant be seen big screen it was also first time i saw it at theaters i was very impressed with visuals this film movies are switching over being silent being talkies however film is spoof turmoil that afflicted movie industry late 1920s when movies when change over went silent sound when two silent movie stars don lockwood lina lamont latest movie is made into musical chorus girl is brought dub linas speaking singing don is top world until lina finds out this is such great film that if you ever get chance see this at movies then do it gene kelly debbie reynolds made awesome team,0.4166666666666667,0.24473684210526317,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.39, 'Sad': 0.22, 'Fear': 0.22}"
9.0,The title alone will have you humming the song,"I don't like musicals. They never made any sense to me. Don't get me wrong, I love music; it's an important part of my life. I love movies also, and while the two often compliment each other, sometimes I'm repelled. It's probably the dancing. A person breaking into a complicated dance number, seemingly unaware of their surroundings, or worse yet, in complete synch with a complete stranger is like making fun of the movie, as if to say, ""Please don't take us seriously, we like to sing and dance."" Or even more ridiculous, ""Let's not fight, let's settle this dispute with a song and dance."" Forget about suspension of disbelief.This film however, I manage to enjoy. I once was given the task of my film teacher to watch the film and keep track of all the cuts in the film. Well, sometime after ten minutes I lost track because I was so wrapped up in the story. It really is an interesting period in the history of cinema, told well, and with well placed song and dance numbers that at times drag on, but that seems to be more of an excuse to show off the technicolour than anything else. They build you up to it slowly. The first few numbers don't break out at an inappropriate time. It doesn't last though, but by then they've got you.With such memorable tunes as these, it's hard to imagine them going wrong. When Gene Kelly sings the title piece, somehow time stands still as you're swept up in one of the most memorable scenes in film history. Just reading the title in print has likely caused you to hum a few bars, or sing a few words. Or maybe, just maybe, walk out without an umbrella when you know it's raining. One thing's for sure, if all Gene Kelly did was choreograph the dance numbers, he more than deserves the co-directing credit he has.They simply don't make films like this anymore. Which in some ways is a testament to the film's theme and narrative. The business of show is constantly in a state of evolution. The narrative portrays a time period when silent films were being replaced by ""talkies"" with sound, yet the musical genre itself has almost all but disappeared with the exception of animated films with musical numbers, and rare live-action pieces.One might speculate that Hollywood overdid the musical. Personally, I can't get into them. Most of the time it seems like a drawn out affair, but this film is something special. Considering my feelings about musicals, it would have to take a film of this one's caliber to make me sit up and take notice.",title alone will have you humming song,i dont like musicals they never made any sense me dont get me wrong i love music its important part my life i love movies also while two often compliment each other sometimes im repelled its probably dancing person breaking into complicated dance number seemingly unaware their surroundings or worse yet complete synch with complete stranger is like making fun movie as if say please dont take us seriously we like sing dance or even more ridiculous lets not fight lets settle this dispute with song dance forget about suspension disbelief this film however i manage enjoy i once was given task my film teacher watch film keep track all cuts film well sometime after ten minutes i lost track because i was so wrapped up story it really is interesting period history cinema told well with well placed song dance numbers that at times drag but that seems be more excuse show off technicolour than anything else they build you up it slowly first few numbers dont break out at inappropriate time it doesnt last though but by then theyve got you with such memorable tunes as these its hard imagine them going wrong when gene kelly sings title piece somehow time stands still as youre swept up one most memorable scenes film history just reading title print has likely caused you hum few bars or sing few words or maybe just maybe walk out without umbrella when you know its raining one things sure if all gene kelly did was choreograph dance numbers he more than deserves co directing credit he has they simply dont make films like this anymore which some ways is testament films theme narrative business show is constantly state evolution narrative portrays time period when silent films were being replaced by talkies with sound yet musical genre itself has almost all but disappeared with exception animated films with musical numbers rare live action pieces one might speculate that hollywood overdid musical personally i cant get into them most time it seems like drawn out affair but this film is something special considering my feelings about musicals it would have take film this ones caliber make me sit up take notice,0.46712681526511324,0.0980887906419821,Positive,"{'Happy': 0.07, 'Angry': 0.06, 'Surprise': 0.13, 'Sad': 0.22, 'Fear': 0.51}"
10.0,Now that's entertainment!,"Singin In the Rain is arguably the best movie musical of all time, not just because of the music but because of the entire package - the premise, the comedy, the characters - everything here works together to make you feel better any time you sit down to watch it. It's ironic that this movie was thrown together quickly to capitalize on the success of ""An American in Paris"", since the improvisational feeling of the movie is one of the things that makes it so much fun. Although this film is number ten on the top 100 films of all time as compiled by the American Film Institute, it wasn't nominated for best picture the year of its release, 1952. Although it did well at the box office, it would be over twenty years before people would look back and realize just what a great motion picture it was. Perhaps that was because the 1970's were such bleak and cynical years, with movies that largely matched that mood, that people were eager to rediscover the fun that a motion picture viewing experience could be.The movie focuses on that period of time in which the entire motion picture film industry was in nervous transition from silent to talking pictures. Although the movie compresses time in this respect - the transition actually took about three years - it does accurately describe the technical problems of that era along with their comical aspects. There was an overabundance of musicals in the first batch of talking films, many stars did have heavy accents that made their speech undecipherable or voices that came across like nails on a chalkboard like Lina Lamont (Jean Hagen) and saw their careers ruined, and early sound technology itself was so fragile that you would often see actors speaking to potted plants or to coat racks with comic effect. The preview of silent picture team Lockwood and Lamont's first talkie, ""The Dueling Cavalier"", is one of the most hilarious scenes in the film. It is pretty typical of what you would see in such an early talking picture - dialogue going in and out of sync, actors and actresses strutting around and wildly gesturing as if nobody can hear them, and dialogue that still resembled what you would read off of the title cards in a silent film - ""I love you, I love you, I love you"".All of this is one of the reasons Singin' In The Rain will never get dated - it is a comic nostalgic look at a very narrow period in time. This movie is fun outside of its comic take on movie history, though. For one, it's hard to say who steals the show the most, since there are so many thieves involved. Most notably there is Jean Hagen - who actually has a very pleasant speaking voice - as the evil silent star who can't accept her days are numbered. Then there is a 27 year-old Donald O'Connor as Cosmo, the studio music director and sidekick of Gene Kelly's character whose youthful exuberance really shines in the number ""Make 'Em Laugh"" along with all of his goofy facial expressions. He seems to be having as much fun as the audience. Finally, there are all of the great dance numbers and music, capped by probably one of the most famous scenes of all time - Gene Kelly's rendition of the title number that perfectly captures the joy of a man who has just fallen in love and feels he has the world at his feet. You just can't watch this film and not come away with a smile on your face. It is as good for the soul as chicken soup, just a lot more fun.",now thats entertainment,singin rain is arguably best movie musical all time not just because music but because entire package premise comedy characters everything here works together make you feel better any time you sit down watch it its ironic that this movie was thrown together quickly capitalize success american paris since improvisational feeling movie is one things that makes it so much fun although this film is number ten top 100 films all time as compiled by american film institute it wasnt nominated best picture year its release 1952 although it did well at box office it would be over twenty years before people would look back realize just what great motion picture it was perhaps that was because 1970s were such bleak cynical years with movies that largely matched that mood that people were eager rediscover fun that motion picture viewing experience could be movie focuses that period time which entire motion picture film industry was nervous transition silent talking pictures although movie compresses time this respect transition actually took about three years it does accurately describe technical problems that era along with their comical aspects there was overabundance musicals first batch talking films many stars did have heavy accents that made their speech undecipherable or voices that came across like nails chalkboard like lina lamont jean hagen saw their careers ruined early sound technology itself was so fragile that you would often see actors speaking potted plants or coat racks with comic effect preview silent picture team lockwood lamonts first talkie dueling cavalier is one most hilarious scenes film it is pretty typical what you would see such early talking picture dialogue going out sync actors actresses strutting around wildly gesturing as if nobody can hear them dialogue that still resembled what you would read off title cards silent film i love you i love you i love you all this is one reasons singin rain will never get dated it is comic nostalgic look at very narrow period time this movie is fun outside its comic take movie history though one its hard say who steals show most since there are so many thieves involved most notably there is jean hagen who actually has very pleasant speaking voice as evil silent star who cant accept her days are numbered then there is 27 year old donald oconnor as cosmo studio music director sidekick gene kellys character whose youthful exuberance really shines number make em laugh along with all his goofy facial expressions he seems be having as much fun as audience finally there are all great dance numbers music capped by probably one most famous scenes all time gene kellys rendition title number that perfectly captures joy man who has just fallen love feels he has world at his feet you just cant watch this film not come away with smile your face it is as good soul as chicken soup just lot more fun,0.4583842837546544,0.21021066039584557,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.19, 'Fear': 0.35}"
10.0,Just amazing! One of the best musicals ever made!,"This absolutely delightful film has everything I love in a musical, and is definitely one of the greatest musicals ever made.(I love them) I personally think the film's main merit is the electrifying choreography, evident in the songs, Make Em Laugh, Roses, Good Morning and especially Broadway Melody.As for the songs, they are superb, and quite rightly some of the finest in the history of musicals, and somehow they remind me of Easter Parade. The performances give a rare sense of energy and charm, particularly Gene Kelly as Donald Lockwood, also co-director. His rendition of the title is possibly the most famous scene in the movie, and is pretty extraordinary. Donald O'Connor is hilarious as Cosmo and Debbie Reynolds, with her lovely appearance and fabulous voice is perfectly appealing. Jean Hagen is quite hysterical as Lina, the source of the film's ongoing joke, that her character can't act, dance or sing, and her acting in the talkie was intentionally laughable. Also nice to see the beautiful long-legged Cyd Charisse and Rita Moreno. (best known for Anita in West Side Story)The plot mayn't be the best merit of the film, but with everything else so good, it is such a minor criticism. All in all, a wonderful film, that is well worth watching for the song and dance numbers alone. 10/10 Bethany Cox.",just amazing one best musicals ever made,this absolutely delightful film has everything i love musical is definitely one greatest musicals ever made i love them i personally think films main merit is electrifying choreography evident songs make em laugh roses good morning especially broadway melody as songs they are superb quite rightly some finest history musicals somehow they remind me easter parade performances give rare sense energy charm particularly gene kelly as donald lockwood also co director his rendition title is possibly most famous scene movie is pretty extraordinary donald oconnor is hilarious as cosmo debbie reynolds with her lovely appearance fabulous voice is perfectly appealing jean hagen is quite hysterical as lina source films ongoing joke that her character cant act dance or sing her acting talkie was intentionally laughable also nice see beautiful long legged cyd charisse rita moreno best known anita west side story plot maynt be best merit film but with everything else so good it is such minor criticism all all wonderful film that is well worth watching song dance numbers alone 10 10 bethany cox,0.6158928571428572,0.37130952380952376,Positive,"{'Happy': 0.31, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.14, 'Fear': 0.33}"
10.0,I'm happy again!,"Singing In The Rain is to me the greatest musical ever made, sure many others push it close, The Wizard Of Oz for one will always be a 10/10 movie in my opinion, but Singing In The Rain is a film that has no flaws, it is a perfect movie.Don Lockwood is a star of silent movies but his life is boring, then talking movies arrive and with them he eyes an opportunity to greatly improve his life. A chance encounter with dancer Kathy Selden will further shape his destiny, and along with best pal and partner Cosmo Brown, their respective fortunes will hopefully dovetail towards fulfillment.Where do you start? The film is a homage to happiness, be it film making or love, or friendships and honour, the film is pure and simply joyous from the first reel to the triumphant last shot. Featuring stunning choreography, Singing In The Rain doesn't cop out by merely having characters plodding thru a script and then bursting into song occasionally, each song furthers the characters and fleshes out the story unfolding to keep the plot lines tight and crucially, important.Make 'Em Laugh, Good Morning, and Singing In The Rain are just some of the brilliant songs and dance routines on show here, with the latter a now legendary piece of cinematic history that speaks volumes for the joyous nature of the film, whilst the finale sequence of the 'Broadway Ballet' is magic & elegance personified. The cast are uniformly excellent, Gene Kelly, Donald O'Connor & Debbie Reynolds interplay together like they were hatched from the same egg, and the joint direction from Stanley Donen (along with Kelly) is seamless.Full of hat tipping and self-referencing winks, Singing In The Rain regularly hits the top ten lists of critics and movie fans alike, so lets not beat around the bush about it...it flipping well deserves it. 10/10 in every respect.",im happy again,singing rain is me greatest musical ever made sure many others push it close wizard oz one will always be 10 10 movie my opinion but singing rain is film that has no flaws it is perfect movie don lockwood is star silent movies but his life is boring then talking movies arrive with them he eyes opportunity greatly improve his life chance encounter with dancer kathy selden will further shape his destiny along with best pal partner cosmo brown their respective fortunes will hopefully dovetail towards fulfillment where do you start film is homage happiness be it film making or love or friendships honour film is pure simply joyous first reel triumphant last shot featuring stunning choreography singing rain doesnt cop out by merely having characters plodding thru script then bursting into song occasionally each song furthers characters fleshes out story unfolding keep plot lines tight crucially important make em laugh good morning singing rain are just some brilliant songs dance routines show here with latter now legendary piece cinematic history that speaks volumes joyous nature film whilst finale sequence broadway ballet is magic elegance personified cast are uniformly excellent gene kelly donald oconnor debbie reynolds interplay together like they were hatched same egg joint direction stanley donen along with kelly is seamless full hat tipping self referencing winks singing rain regularly hits top ten lists critics movie fans alike so lets not beat around bush about it it flipping well deserves it 10 10 every respect,0.49891234496497655,0.30357142857142855,Positive,"{'Happy': 0.31, 'Angry': 0.04, 'Surprise': 0.13, 'Sad': 0.22, 'Fear': 0.31}"
9.0,Heart Singin' in a Rain of Joyful Tears...,"It's the magic that seldom appears, whose longevity is perpetual, the pleasure of enjoying the perfections that people, music and great storytelling can sometimes offer, with the backdrop a little piece of cinema history itself. All without foul language, extravagant pyrotechnics, mass brawls and bullets ricocheting all over the place, just immensely talented people doing what they do best - keeping you entertained and allowing you to escape for a while and live with the dreams of others. Whether musicals are you thing or not, there can be no doubt that you witness greatness as you welcome the rain and it makes your heart sing.",heart singin rain joyful tears,its magic that seldom appears whose longevity is perpetual pleasure enjoying perfections that people music great storytelling can sometimes offer with backdrop little piece cinema history itself all without foul language extravagant pyrotechnics mass brawls bullets ricocheting all over place just immensely talented people doing what they do best keeping you entertained allowing you escape while live with dreams others whether musicals are you thing or not there can be no doubt that you witness greatness as you welcome rain it makes your heart sing,0.68125,0.5311079545454546,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.24, 'Fear': 0.29}"
