Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
4.0,Slender Man: Another missed opportunity,"This latest version of the Slender Man mythology seems to be universally reviled though I don't entirely understand why. It's not great but it's simply not THAT bad.Alike Lovecraft Slender Man seems to be one of those commonly used subject matters that always seeems to miss the mark. Filmmakers just don't seem to be able to make the most out of the fantastic material presented before them.So yet again we see a tale of a group of young folks on the run from the Slender Man and spooky things happen. Yadayadayada.With a decent young cast including Joey King and Annalise Basso we're presented with the glossiest and most high budget Slender Man movie yet. Sadly along with the budget comes all the usual Hollywood horror flaws, demonstrating once again how badly Hollywood have lost their way when it comes to the entire genre.Sure it looks great, but the plot tail spins out of control by about the halfway mark and that's such a shame as up until then it was showing real potential. Hollywood need to go back to the drawing board, hire indie filmmakers to adapt material otherwise we'll just keep getting this Insidious/Conjuring tripe.Slender Man has it's moments and the concept is pure gold, this however is more squandered potential.The Good:It's Slender Man!AtmosphericGreat castThe Bad:Plot falls apart badlyPotential isn't metToo many common tropes and clichesThings I Learnt From This Movie:Slender Man mythology is fantastic but really inconsistent, no wonder they get it so wrong with adaptationsJoey King and Annalise Basso are going to be big starsSlender Man is like Aliens (Xenomorphs), he needs keeping in the shadows or he looks a bit sillyThis should have been called The Ring: Slender Man",slender man another missed opportunity,this latest version slender man mythology seems be universally reviled though i dont entirely understand why its not great but its simply not that bad alike lovecraft slender man seems be one those commonly used subject matters that always seeems miss mark filmmakers just dont seem be able make most out fantastic material presented before them so yet again we see tale group young folks run slender man spooky things happen yadayadayada with decent young cast including joey king annalise basso were presented with glossiest most high budget slender man movie yet sadly along with budget comes all usual hollywood horror flaws demonstrating once again how badly hollywood have lost their way when it comes entire genre sure it looks great but plot tail spins out control by about halfway mark thats such shame as up until then it was showing real potential hollywood need go back drawing board hire indie filmmakers adapt material otherwise well just keep getting this insidious conjuring tripe slender man has its moments concept is pure gold this however is more squandered potential good its slender man atmosphericgreat castthe bad plot falls apart badlypotential isnt mettoo many common tropes clichesthings i learnt this movie slender man mythology is fantastic but really inconsistent no wonder they get it so wrong with adaptationsjoey king annalise basso are going be big starsslender man is like aliens xenomorphs he needs keeping shadows or he looks bit sillythis should have been called ring slender man,0.5597576147576148,0.060115830115830125,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.35, 'Fear': 0.28}"
2.0,How to ruin a completely simple formula,"It's not Slenderman himself that's scary, it's the alone-in-the-dark deafening silence and dread that made the game frightening. Freddy Krueger was scary in the first Nightmare because they didn't focus on the character, but rather the psychological terror. Slenderman tries and fails to build a story around something that only needed to bring a feeling. It tried to get us involved in the lives of shallow and boring cookie-cutter horror-movie fodder characters. The horror genre needs to be left to the artistically gifted and intelligent artists. Slenderman is yet another mass produced generic label product waiting to be forgotten. Watch the trailer, it's way better than the movie. Or better yet, watch The Ritual for a better example of what Slenderman should have looked like.",how ruin completely simple formula,its not slenderman himself thats scary its alone dark deafening silence dread that made game frightening freddy krueger was scary first nightmare because they didnt focus character but rather psychological terror slenderman tries fails build story around something that only needed bring feeling it tried get us involved lives shallow boring cookie cutter horror movie fodder characters horror genre needs be left artistically gifted intelligent artists slenderman is yet another mass produced generic label product waiting be forgotten watch trailer its way better than movie or better yet watch ritual better example what slenderman should have looked like,0.5595238095238095,-0.046666666666666676,Negative,"{'Happy': 0.0, 'Angry': 0.04, 'Surprise': 0.36, 'Sad': 0.21, 'Fear': 0.39}"
1.0,Don't waste your time!!,This movie was horrible . Longest hr & half of my life. It kept dragging and relied on not so scary jump scares. I was impressed with how much the trailer made the movie look scary and good but of course it was the wonders of cutting room floor editing. Plus most scenes in the trailer aren't in the movie!!!!,dont waste your time,this movie was horrible longest hr half my life it kept dragging relied not so scary jump scares i was impressed with how much trailer made movie look scary good but course it was wonders cutting room floor editing plus most scenes trailer arent movie,0.6366666666666667,-0.056666666666666685,Negative,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.17, 'Fear': 0.42}"
5.0,Derivative and predictable...but certainly NOT Bottom 100 worthy.,"Currently, ""Slender Man"" has the distinction of being on IMDB's infamous Bottom 100 List...the 100 worst rated major release films. While I certainly didn't enjoy the film, it seems odd that this one made the list when there are so many worse modern horror films which somehow avoided the list. I just can't see this as the 50th worst film....let alone 500th.The idea of the film is taken from a pre-existing story of a 'Slender Man' who will kill or make folks crazy who are dumb enough to call upon him. In many ways, the film is a very derivative project--using the existing notions as well as infusing it with ample parts ""The Ring"" as well as the ""Bloody Mary"" story that's been floating around for decades. With ""Bloody Mary"", a person supposedly calls the name out repeatedly until some murderous other worldly thing appears.The story begins with four very dumb high school girls having a sleepover. They find some info on the internet about a Slender Man and despite being warned, they summon the creature...and the rest of the film is about them each disappearing or going mad one after the other.The movie has a scary style to it, with its pulsing music and bass....though after a while it does become annoying instead of scary. The story itself is nothing new...consisting of lots of ideas from other stories, urban legends and films. The acting and direction are fair. My only serious complaint is that I wish it HAD been awful...that would have made it a lot more interesting.",derivative predictable but certainly not bottom 100 worthy,currently slender man has distinction being imdbs infamous bottom 100 list 100 worst rated major release films while i certainly didnt enjoy film it seems odd that this one made list when there are so many worse modern horror films which somehow avoided list i just cant see this as 50th worst film let alone 500th idea film is taken pre existing story slender man who will kill or make folks crazy who are dumb enough call upon him many ways film is very derivative project using existing notions as well as infusing it with ample parts ring as well as bloody mary story thats been floating around decades with bloody mary person supposedly calls name out repeatedly until some murderous other worldly thing appears story begins with four very dumb high school girls having sleepover they find some info internet about slender man despite being warned they summon creature rest film is about them each disappearing or going mad one after other movie has scary style it with its pulsing music bass though after while it does become annoying instead scary story itself is nothing new consisting lots ideas other stories urban legends films acting direction are fair my only serious complaint is that i wish it had been awful that would have made it lot more interesting,0.6129041283919332,-0.16129658958927248,Negative,"{'Happy': 0.06, 'Angry': 0.08, 'Surprise': 0.14, 'Sad': 0.47, 'Fear': 0.25}"
6.0,Bland,"Slender Man is okay. Basic formula you've seen before in these cheap horror movies. It's not scary, nor is it bad enough to be enjoyable in that sense. Surprisingly some of the cinematography looks good and there's some interesting surrealist moments, but the acting is okay at best and the dialogue is sometimes quite cringey. ""Scares"" are mostly just jump scares and a lot of the scenes felt the same. The source material is hard enough to work with so those familiar with Slendy's origins will find this strangely adapted. Slender works more for creepypastas and video games, not so much cinematically. Far from the worst horror movie made, but definitely disappointing, although what would you expect from a Slender Man movie coming out in 2018? Some will hate this movie because of how bland it is, and I could totally understand that, but from a more objective perspective, it's a functional film that lacks spirit. Not really worth seeing.",bland,slender man is okay basic formula youve seen before these cheap horror movies its not scary nor is it bad enough be enjoyable that sense surprisingly some cinematography looks good theres some interesting surrealist moments but acting is okay at best dialogue is sometimes quite cringey scares are mostly just jump scares lot scenes felt same source material is hard enough work with so those familiar with slendys origins will find this strangely adapted slender works more creepypastas video games not so much cinematically far worst horror movie made but definitely disappointing although what would you expect slender man movie coming out 2018 some will hate this movie because how bland it is i could totally understand that but more objective perspective its functional film that lacks spirit not really worth seeing,0.5233870967741936,0.1064516129032258,Positive,"{'Happy': 0.12, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.38, 'Fear': 0.25}"
2.0,This was ridiculous...,"Right, well first of all a movie based on a laughable urban myth or legend hardly makes for much of a foundation for success. Then top that off with having a movie that was downright laughable in script, plot, character-wise and fully devoid of scary moments, and you have the 2018 movie ""Slender Man"" from director Sylvain White.I had to divide this movie into two, I couldn't suffer through the hardships of sitting down and watching it in one prolonged go. It was just that painful to bear witness to. I managed to endure 50 minutes in the first sitting, then had to give up. And I had essentially given up on the movie entirely, but my wife convinced me to watch the rest of it on the next day. So I did... And let's just say that the rest of the movie didn't do anything to lift up the ordeal that was the first 50 minutes.The entire movie was wholly and fully devoid of anything that would be scary to a grown up, which leads me to believe that this movie was intended for the same kind of airheaded audience whom would also believe that the Slender Man legend is actually true.The characters in the movie were unbelievably stupid, one-dimensional and completely devoid of any sense of intelligence and common sense. It was just painful to witness their actions and the way they milled about on the screen. Now, I am not saying that the actresses were subpar or inadequate. No, not at all. I am saying that the characters written for the story could just as easily have been portrayed by cardboard cutouts.Once the movie ended, you didn't even fell that the movie had come full circle. It had just dragged you along by the nose for the entire duration that it ran for, without providing any kind of proper entertainment.Do not succumb to the same mistake that I did when I went to watch this movie. The trailer actually made it look interesting. The actual movie, well let's just say that watching grass grow is far scarier...",this was ridiculous,right well first all movie based laughable urban myth or legend hardly makes much foundation success then top that off with having movie that was downright laughable script plot character wise fully devoid scary moments you have 2018 movie slender man director sylvain white i had divide this movie into two i couldnt suffer through hardships sitting down watching it one prolonged go it was just that painful bear witness i managed endure 50 minutes first sitting then had give up i had essentially given up movie entirely but my wife convinced me watch rest it next day so i did lets just say that rest movie didnt do anything lift up ordeal that was first 50 minutes entire movie was wholly fully devoid anything that would be scary grown up which leads me believe that this movie was intended same kind airheaded audience whom would also believe that slender man legend is actually true characters movie were unbelievably stupid one dimensional completely devoid any sense intelligence common sense it was just painful witness their actions way they milled about screen now i am not saying that actresses were subpar or inadequate no not at all i am saying that characters written story could just as easily have been portrayed by cardboard cutouts once movie ended you didnt even fell that movie had come full circle it had just dragged you along by nose entire duration that it ran without providing any kind proper entertainment do not succumb same mistake that i did when i went watch this movie trailer actually made it look interesting actual movie well lets just say that watching grass grow is far scarier,0.5220143613000756,0.014011715797430083,Positive,"{'Happy': 0.09, 'Angry': 0.02, 'Surprise': 0.28, 'Sad': 0.22, 'Fear': 0.39}"
1.0,Worse than the Bye Bye Man,"I never thought I'd see a horror movie worse than Bye Bye Man...Where to start... I don't have a single positive thing to say, everything is terrible! There are no characters, the acting sucks, the writing is terrible, the effects are bad, the direction is boring, it's all tedious garbage.It's as if huge chunks of the film have been cut out, there's barely any gore, characters straight up disappear for no reason, and alot of footage from the trailer is missing. Instead of a cliché horror movie, we have a ""nothing"" horror movie.While The Bye Bye man was hilariously bad in all aspects, Slender man is just boring and frustrating. It's a film that was made 5 years too late, containing the absolute bare minimum amount of effort. I do not recommend it.Thanks for another hit Sony!",worse than bye bye man,i never thought id see horror movie worse than bye bye man where start i dont have single positive thing say everything is terrible there are no characters acting sucks writing is terrible effects are bad direction is boring its all tedious garbage its as if huge chunks film have been cut out theres barely any gore characters straight up disappear no reason alot footage trailer is missing instead clich horror movie we have nothing horror movie while bye bye man was hilariously bad all aspects slender man is just boring frustrating its film that was made 5 years too late containing absolute bare minimum amount effort i do not recommend it thanks another hit sony,0.5792306178669815,-0.3020070838252656,Negative,"{'Happy': 0.04, 'Angry': 0.11, 'Surprise': 0.25, 'Sad': 0.39, 'Fear': 0.21}"
1.0,It's as lifeless as Slender Man's blank face,"Sometimes a single line of dialogue can stand out in such a way that you instantly realize that a movie is awful. For 'Slender Man,' that line came from Joey King.""He's like a computer virus except he gets inside your body and messes with you!"" Oh, so you mean like a virus? Why didn't you just say, ""he's a like a virus.""Several times throughout the film, that sort of hack writing shows its ugly face (as opposed to Slender Man, who technically can't be ugly because he has no face). There are zero clever lines delivered. Most of dialogue sounds like it was written by a Twitter bot designed to simulate mundane teen talk.The putrid writing isn't limited to the dialogue-the characters themselves contain about as much detail as one could write on a Post-it note. I think of the four main characters as, girl A, girl B, girl with a sister, and token non-white girl. They're essentially indistinguishable from one another. The only difference is that some are slightly more talented performers, and, of course, the most talented girls are the first to disappear from the story.What's really striking about the girls is that, even though they're allegedly best friends, they don't even seem to like each other. At one point, I girl makes a catty, resentful remark about her ""friend's"" trophies. Later, she says, ""I thought you didn't care about track. I thought you cared about Chloe."" (It's a miracle that I remember her name).That moment is striking for a couple reasons. One, it doesn't seem like something that should be said between good friends, and, two, I hardly realized the girl ran track. Probably because it's never shown in the movie. I imagine the track angle played a larger role in an earlier draft then removed, but this line was left in. Editing isn't the movie's strength.When the girls aren't making odd comments to each other or expressing all the liveliness of a folding chair, they're attempting to appear scared. To show that they're scared, they basically do an impression of a panting dog that's trying to speak. It's a lot of breathing and stammering. Acting is also not this movie's strength.All the above flaws are enough of a turnoff, but the worst offense of this movie is that it's a scary movie that's not scary. It's painfully dull and devoid of anything that may actually make it entertaining. It's as if all the interesting scenes were removed. Why, I'm not sure. Maybe they also cut out the parts that made this appear to be a coherent story.'Slender Man' is one of the worst movies of 2018. It's not a scary movie that's so bad that it's secretly kind of fun. It's just a bad, boring movie. I recommend a hard pass.",its as lifeless as slender mans blank face,sometimes single line dialogue can stand out such way that you instantly realize that movie is awful slender man that line came joey king hes like computer virus except he gets inside your body messes with you oh so you mean like virus why didnt you just say hes like virus several times throughout film that sort hack writing shows its ugly face as opposed slender man who technically cant be ugly because he has no face there are zero clever lines delivered most dialogue sounds like it was written by twitter bot designed simulate mundane teen talk putrid writing isnt limited dialogue characters themselves contain about as much detail as one could write post it note i think four main characters as girl girl b girl with sister token non white girl theyre essentially indistinguishable one another only difference is that some are slightly more talented performers course most talented girls are first disappear story whats really striking about girls is that even though theyre allegedly best friends they dont even seem like each other at one point i girl makes catty resentful remark about her friends trophies later she says i thought you didnt care about track i thought you cared about chloe its miracle that i remember her name that moment is striking couple reasons one it doesnt seem like something that should be said between good friends two i hardly realized girl ran track probably because its never shown movie i imagine track angle played larger role earlier draft then removed but this line was left editing isnt movies strength when girls arent making odd comments each other or expressing all liveliness folding chair theyre attempting appear scared show that theyre scared they basically do impression panting dog thats trying speak its lot breathing stammering acting is also not this movies strength all above flaws are enough turnoff but worst offense this movie is that its scary movie thats not scary its painfully dull devoid anything that may actually make it entertaining its as if all interesting scenes were removed why im not sure maybe they also cut out parts that made this appear be coherent story slender man is one worst movies 2018 its not scary movie thats so bad that its secretly kind fun its just bad boring movie i recommend hard pass,0.523853995621237,-0.004833743842364514,Negative,"{'Happy': 0.08, 'Angry': 0.05, 'Surprise': 0.34, 'Sad': 0.3, 'Fear': 0.23}"
1.0,"Awful, with Fake Reviews","The first point that highlights in ""Slender Man"" is the awfully dark cinematography that makes impossible to distinguish what is happening for example in the woods during the night. The silly storyline is senseless and certainly targeted to brainless teenagers, with four stupid and annoying lead characters. There is nothing worthwhile watching in this flick.In the past, IMDb was a reference to movie lovers with relevant content about films. However, presently this site is easily manipulated by fake reviews, many of them with one or two lines, and votes by robots making the User Rating absolutely unreliable. My vote is one.Title (Brazil): ""Slender Man: Pesadelo Sem Rosto"" (""Slender Man: Nightmare without Face"")",awful with fake reviews,first point that highlights slender man is awfully dark cinematography that makes impossible distinguish what is happening example woods during night silly storyline is senseless certainly targeted brainless teenagers with four stupid annoying lead characters there is nothing worthwhile watching this flick past imdb was reference movie lovers with relevant content about films however presently this site is easily manipulated by fake reviews many them with one or two lines votes by robots making user rating absolutely unreliable my vote is one title brazil slender man pesadelo sem rosto slender man nightmare without face,0.7037114845938376,-0.15700280112044815,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.29, 'Fear': 0.54}"
1.0,We left the theater,"This movie is absolute crap. do not waste your money on this movie. Being into creepy pastas I wanted to check this out. Saying, oh it looked cool. So we sat down and just watched it. Seconds in, it was terrible acting. And even further into the movie, I didnt understand what was going on, even though my eyes were glued to the screen the whole time. The jumpscares are terrible and not even scary. all I wanted to do was leave since the first girl dissapeared. Do not waste money on this. I repeat, do not!",we left theater,this movie is absolute crap do not waste your money this movie being into creepy pastas i wanted check this out saying oh it looked cool so we sat down just watched it seconds it was terrible acting even further into movie i didnt understand what was going even though my eyes were glued screen whole time jumpscares are terrible not even scary all i wanted do was leave since first girl dissapeared do not waste money this i repeat do not,0.5248148148148148,-0.1837037037037037,Negative,"{'Happy': 0.06, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.06, 'Fear': 0.44}"
