Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,There are few films that can make me laugh like this one can,"`Snatch', written and directed by Guy Ritchie is by far one of my favorite films of all time  it is easily in my personal Top Thirty. In the film, about (what else?) several schemes that happen to go very wrong yet manage to intertwine and (for better or worse) resolve themselves in the end, Ritchie assembles one of the funniest cast of characters in recent memory. Let's see if we can keep this straight:Turkish (Jason Statham) and his partner Tommy (Stephen Graham) are amateur boxing promoters who, after their premier fighter is wounded, have to find a replacement to fight, or one of the meanest guys in London, Brick Top (Alan Ford), who just happens to run the boxing matches and stands to make a lot of money off of the fight is going to impart his unique brand of justice on them. Enter Mickey (Brad Pitt) the gypsy who knocked their fighter out, who is an unintelligible drunk with quite a right hook. Meanwhile, there is a diamond `the size of a fist' that has been stolen by Franky Four Fingers (Benicio Del Toro). On his way back from London to America where he is planning on fencing the diamond, trouble ensues, and his fence, Cousin Avi (Dennis Farina) is forced to come to London to find both Franky and the diamond with the help of characters like Bullet Tooth Tony (Vinnie Jones) and Doug `The Head' Denovitz (Mike Reid). Of course, this can't happen easily, as there are a trio of inept thieves on the trail of the diamond as well as my personal favorite character in the film, Boris `The Blade' Yurinov (Rade Serbedzija)  or as he's better known, `Boris the Bullet Dodger'. Did you get all that? The performances by all of the above actors, and several more that I didn't even mention are all really good, particularly Brad Pitt's. Every single actor in `Snatch' looks like they are having one hell of a good time working in the film. This story, while complex and with many ramifications from the core plot is absolutely brilliant and a lot of fun. There are many one-liners that I still personally use four years after first seeing the film, and the intricate weaving of the characters to tell a very simple heist story is just SO good. `Snatch' would be a great film due to its story alone, but Guy Ritchie's direction is so dead on, the film transcends brilliant and becomes FAN-insert your choice of expletive here-TASTIC. The slick cinematography, lightning-fast pacing and fun camera angles are right on target with the story. Add on a great soundtrack that spans Oasis, techno and a traditional-sounding Hasidic song and Ritchie has presented the viewer with an instant classic. While this was not the first time I had seen the film `Snatch', it was the first time I'd watched the film knowing that I would have to analyze it slightly in order to funnel my thoughts from the film just being `Phenomenal!' to `Phenomenal because..' While I can certainly be classified as an unabashed Madonna fan, and have been for the last two decades, I REALLY hope that Ritchie decides to drop his wife from his film work and not continue on the `Swept Away' path, rather, to get back to the work that has earned him well-deserved high praise. Sorry Madge.--Shelly",there are few films that can make me laugh like this one can,snatch written directed by guy ritchie is by far one my favorite films all time it is easily my personal top thirty film about what else several schemes that happen go very wrong yet manage intertwine better or worse resolve themselves end ritchie assembles one funniest cast characters recent memory lets see if we can keep this straight turkish jason statham his partner tommy stephen graham are amateur boxing promoters who after their premier fighter is wounded have find replacement fight or one meanest guys london brick top alan ford who just happens run boxing matches stands make lot money off fight is going impart his unique brand justice them enter mickey brad pitt gypsy who knocked their fighter out who is unintelligible drunk with quite right hook meanwhile there is diamond size fist that has been stolen by franky four fingers benicio del toro his way back london america where he is planning fencing diamond trouble ensues his fence cousin avi dennis farina is forced come london find both franky diamond with help characters like bullet tooth tony vinnie jones doug head denovitz mike reid course this cant happen easily as there are trio inept thieves trail diamond as well as my personal favorite character film boris blade yurinov rade serbedzija or as hes better known boris bullet dodger did you get all that performances by all above actors several more that i didnt even mention are all really good particularly brad pitts every single actor snatch looks like they are having one hell good time working film this story while complex with many ramifications core plot is absolutely brilliant lot fun there are many one liners that i still personally use four years after first seeing film intricate weaving characters tell very simple heist story is just so good snatch would be great film due its story alone but guy ritchies direction is so dead film transcends brilliant becomes fan insert your choice expletive here tastic slick cinematography lightning fast pacing fun camera angles are right target with story add great soundtrack that spans oasis techno traditional sounding hasidic song ritchie has presented viewer with instant classic while this was not first time i had seen film snatch it was first time id watched film knowing that i would have analyze it slightly order funnel my thoughts film just being phenomenal phenomenal because while i can certainly be classified as unabashed madonna fan have been last two decades i really hope that ritchie decides drop his wife his film work not continue swept away path rather get back work that has earned him well deserved high praise sorry madge shelly,0.4681708238851096,0.1737981859410431,Positive,"{'Happy': 0.13, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.17, 'Fear': 0.45}"
10.0,Perfect,"This movie is perfect in all its categories: credits, sound track, production, casting, writing, photography, editing, acting, and direction. 10/10.I was amazed with the freedom of the use of the camera. This movie will change the way movies are made. Slow-mo, stills, black and white, and color were all used to brilliant effect.I must pick out specific actors who were just over the top - meaning 10+!Jason Statham as ""Turkish"" is simply superb - a star of very high caliber. (You should see him in anything he made, and read my comment about John Carpenter's movie: ""Ghosts of Mars."")Alan Ford as ""Brick Top"" is terrifying - his forced speaking style made me think that he was chewing on the flesh of his previous victim.Vinnie Jones as ""Bullet Tooth Tony"" is total tough head to foot tough - a walking brick wall - a marine for all seasons - none tougher.Brad Pitt as ""Mickey O'Neil"" is utterly 110% convincing. I never liked Mr. Pitt's work before this - but this one totally sold me - he is as solid an actor as ever came out of Hollywood... and better!Finally, Guy Ritchie should be recognized as a Michelangelo of film.-LD",perfect,this movie is perfect all its categories credits sound track production casting writing photography editing acting direction 10 10 i was amazed with freedom use camera this movie will change way movies are made slow mo stills black white color were all used brilliant effect i must pick out specific actors who were just over top meaning 10 jason statham as turkish is simply superb star very high caliber you should see him anything he made read my comment about john carpenters movie ghosts mars alan ford as brick top is terrifying his forced speaking style made me think that he was chewing flesh his previous victim vinnie jones as bullet tooth tony is total tough head foot tough walking brick wall marine all seasons none tougher brad pitt as mickey oneil is utterly 110 convincing i never liked mr pitts work before this but this one totally sold me he is as solid actor as ever came out hollywood better finally guy ritchie should be recognized as michelangelo film ld,0.5942098765432099,0.12673662551440332,Positive,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.29, 'Sad': 0.21, 'Fear': 0.36}"
8.0,"Lock, Stock, and Many Smoking Barrels","The release of Tarantino's ""Pulp Fiction"" in 1994 prompted a schism in the staid gangster movie genre: the standard hallmarks - serious characters, gunfights, intrigue and damsels in distress - were enhanced with snappy dialogue, and gallows humour. The biggest change however was the introduction of the mobius strip-style plot line, where the concept of time is no longer linear, instead constantly folding in upon itself, flitting between past, present and future that forces the viewer to pay close attention lest they miss some subtle detail. Inevitably, numerous copycat films emerged that tried to capitalize on Tarantino's success, but it wasn't until 1998 when Guy Ritchie, an unknown British director, took on the challenge that a successor was found. Now Ritchie is determined to prove that his first time out wasn't a fluke.Turkish is a young man with an entrepreneurial bent, who, when he's not running his gambling operation, manages bareknuckle boxers. Through a business deal gone wrong, he becomes acquainted with one Mickey O'Neil, a mumbling manic motor-mouthed piker who also happens to be a one-punch marvel. Turkish persuades Mickey to join his stable of fighters, but soon discovers that Mickey has his own agenda, and gets Turkish in trouble with the gangsters who run the underground boxing circuit. Other characters that become involved in the drama include a four-fingered degenerate gambler/jewel thief, a vicious boxing promoter, a gang of inept robbers, a polite hitman, a crazed Russian gun runner, a group of Irish gypsies, a crooked New York jeweler and a pugnacious pet. The common thread binding them all is a perfect diamond the size of a peach pit. If you aren't confused yet, you soon will be.""Lock, Stock and Two Smoking Barrels"", Mr. Madonna's (Ritchie) first film, was shot on a small budget, with a no-name cast (except for football bad boy Vinnie Jones) and quickly became a rousing success at home and found receptive audiences abroad. While not a technically a sequel ""Snatch"" is stylistically very similar to ""Lock, Stock"": Ritchie utilizes his trademark bombastic staccato sequences, and repeatedly bounces off on radical tangents to throw the viewer off balance. He did however opt for a decidedly darker satirical tone in this film, that may make some people uncomfortable (think ""Very Bad Things""). What struck me as particularly daring was his decision to create a story with such a voluminous cast. Ritchie faced a daunting task with this film: how, with roughly twenty principal characters, does one adequately flesh out each character, and not hopelessly confuse the audience? The feat was made doubly difficult, as several cast members are big name stars. Somehow Ritchie manages - each actor is full bodied, receives ample screen time, and no one character is the centerpiece. With so many talented actors, it is difficult to pick out one performance that stands out: Rade Serbedzija is hilarious as the mad Russian who blithely burns through each of his nine lives, as is Vinnie Jones' manic gentleman hitman. On the other end of the spectrum, is Alan Ford as Brick Top, the promoter with a penchant for pigs, who epitomizes cold-blooded viciousness. If forced to pick my favorite however, I would have to go with Brad PittPitt resurrects his trailer trash look from ""Kalifornia"" and adopts a nearly indecipherable brogue that sounds like my best friend's Uncle Wally on a bad day. As Mickey O'Neil, the hard drinking wily grifter and part-time pugilist, Pitt displays a wide range of emotions, demonstrating again that he is not only a star, but also a gifted character actor. And I would be remiss if I didn't mention the dog that subtly stole every scene he appeared in.While ""Snatch"" initially struggles to find its stride, and is very similar to Ritchie's earlier film, it is fresh and funny enough to make you forget any minor shortfalls and stand on its own.",lock stock many smoking barrels,release tarantinos pulp fiction 1994 prompted schism staid gangster movie genre standard hallmarks serious characters gunfights intrigue damsels distress were enhanced with snappy dialogue gallows humour biggest change however was introduction mobius strip style plot line where concept time is no longer linear instead constantly folding upon itself flitting between past present future that forces viewer pay close attention lest they miss some subtle detail inevitably numerous copycat films emerged that tried capitalize tarantinos success but it wasnt until 1998 when guy ritchie unknown british director took challenge that successor was found now ritchie is determined prove that his first time out wasnt fluke turkish is young man with entrepreneurial bent who when hes not running his gambling operation manages bareknuckle boxers through business deal gone wrong he becomes acquainted with one mickey oneil mumbling manic motor mouthed piker who also happens be one punch marvel turkish persuades mickey join his stable fighters but soon discovers that mickey has his own agenda gets turkish trouble with gangsters who run underground boxing circuit other characters that become involved drama include four fingered degenerate gambler jewel thief vicious boxing promoter gang inept robbers polite hitman crazed russian gun runner group irish gypsies crooked new york jeweler pugnacious pet common thread binding them all is perfect diamond size peach pit if you arent confused yet you soon will be lock stock two smoking barrels mr madonnas ritchie first film was shot small budget with no name cast except football bad boy vinnie jones quickly became rousing success at home found receptive audiences abroad while not technically sequel snatch is stylistically very similar lock stock ritchie utilizes his trademark bombastic staccato sequences repeatedly bounces off radical tangents throw viewer off balance he did however opt decidedly darker satirical tone this film that may make some people uncomfortable think very bad things what struck me as particularly daring was his decision create story with such voluminous cast ritchie faced daunting task with this film how with roughly twenty principal characters does one adequately flesh out each character not hopelessly confuse audience feat was made doubly difficult as several cast members are big name stars somehow ritchie manages each actor is full bodied receives ample screen time no one character is centerpiece with so many talented actors it is difficult pick out one performance that stands out rade serbedzija is hilarious as mad russian who blithely burns through each his nine lives as is vinnie jones manic gentleman hitman other end spectrum is alan ford as brick top promoter with penchant pigs who epitomizes cold blooded viciousness if forced pick my favorite however i would have go with brad pittpitt resurrects his trailer trash look kalifornia adopts nearly indecipherable brogue that sounds like my best friends uncle wally bad day as mickey oneil hard drinking wily grifter part time pugilist pitt displays wide range emotions demonstrating again that he is not only star but also gifted character actor i would be remiss if i didnt mention dog that subtly stole every scene he appeared while snatch initially struggles find its stride is very similar ritchies earlier film it is fresh funny enough make you forget any minor shortfalls stand its own,0.49992317541613324,-0.002915066154502764,Negative,"{'Happy': 0.07, 'Angry': 0.09, 'Surprise': 0.22, 'Sad': 0.23, 'Fear': 0.39}"
9.0,"Just as much fun as Lock, Stock. Snatch is a great and entertaining movie.","Imagine what would happen if you took 8 or 10 criminals of various professions, threw them into a maze, gave one of the criminals a diamond the size of a fist, and yelled out load, ""SOMEONE IN THIS MAZE HAS A HUGE DIAMOND! WHOEVER FINDS IT AND IS THE LAST MAN STANDING, WINS!"" What do you think would happen? Snatch is what happens.Snatch is a confusing, twisting, crazy movie. Let me repeat that. This movie is crazy! Imagine the Mr. Toad's Wild Ride at Disney Word on acid, and this is what you get my friend. Believe it or not, this mass confusion and complete insanity is very, very entertaining.The movie has it's problems. First off, for those of you who have seen Snatch's predecessor, (Lock, Stock and Two Smoking Barrels), you know that Guy Richie (the writer and director of both films) has a very music-video style as far as the camera angles, movements, and cinematography goes. The strange camera techniques get so mad with lunacy that I noticed people walking out of the theater. I was also turned off by this madness. However, most of this insane crap gets over within the first hour, so it doesn't last.If any of you people out there loved Lock Stock as much as I did, do yourself a favor and see this movie as fast as you can. Snatch is a bit more serious than Lock Stock, but when it's funny, you'll laugh till your lungs burst. It was nice to see Vinnie Jones, who was Big Chris in the last movie, return as the same basic character (only now named Bullet Tooth Tony) and doing the same ""slamming victim's head in a car door"" act again. The performances were just as great as Lock Stock, with Jason Statham and Pitt leading the pack. I was disappointed to see that Bendicio Del Toro didn't have a bigger role. I was expecting him to be a lead character, but he's not.So, in conclusion, if you have never seen Lock, Stock, and Two Smoking Barrels, I would see that first before seeing Snatch so you can get adjusted to Guy Richie's style. I still think that it is stupid to compare either two movies to Pulp Fiction (unlike most people), but it is in the same ballpark as Pulp. That means if you liked Pulp, you will most likely like Snatch and Lock, Stock. If you have never seen Pulp or Lock Stock, you have deprived your life of culture.9/10",just as much fun as lock stock snatch is great entertaining movie,imagine what would happen if you took 8 or 10 criminals various professions threw them into maze gave one criminals diamond size fist yelled out load someone this maze has huge diamond whoever finds it is last man standing wins what do you think would happen snatch is what happens snatch is confusing twisting crazy movie let me repeat that this movie is crazy imagine mr toads wild ride at disney word acid this is what you get my friend believe it or not this mass confusion complete insanity is very very entertaining movie has its problems first off those you who have seen snatchs predecessor lock stock two smoking barrels you know that guy richie writer director both films has very music video style as far as camera angles movements cinematography goes strange camera techniques get so mad with lunacy that i noticed people walking out theater i was also turned off by this madness however most this insane crap gets over within first hour so it doesnt last if any you people out there loved lock stock as much as i did do yourself favor see this movie as fast as you can snatch is bit more serious than lock stock but when its funny youll laugh till your lungs burst it was nice see vinnie jones who was big chris last movie return as same basic character only now named bullet tooth tony doing same slamming victims head car door act again performances were just as great as lock stock with jason statham pitt leading pack i was disappointed see that bendicio del toro didnt have bigger role i was expecting him be lead character but hes not so conclusion if you have never seen lock stock two smoking barrels i would see that first before seeing snatch so you can get adjusted guy richies style i still think that it is stupid compare either two movies pulp fiction unlike most people but it is same ballpark as pulp that means if you liked pulp you will most likely like snatch lock stock if you have never seen pulp or lock stock you have deprived your life culture 9 10,0.5399290780141844,0.08492907801418442,Positive,"{'Happy': 0.13, 'Angry': 0.1, 'Surprise': 0.26, 'Sad': 0.06, 'Fear': 0.45}"
10.0,A Comedy Masterpiece,"""Snatch"" is fantastic; and not least because it demonstrates emphatically that the British movie industry is capable of rivaling even the best of what Hollywood can offer.""Lock, Stock and Two Smoking Barrels"" was one of the funniest movies released in recent years, and ""Snatch"" takes everything that ""Lock, Stock..."" did so well and does it even better.Back are the cleverly intertwined plotlines, the hilarious one-liners, and the simultaneously intimidating and comedic London villains. So is the skillful editing, and often original cinematographic style. This time however, it all looks somewhat slicker and better funded, and alongside the British regulars are the odd American celebrity (Brad Pitt, Benicio Del Toro).Everyone in the film puts in an excellent performance, but Pitt stands out as a charismatic and near-incomprehensible Gypsy boxer.Like Ritchie's earlier film, this one takes a little while to find its feet, but once it does the pace doesn't slacken until the finale. One scene featuring three guys and a squeaking dog in a stolen car stands out particularly, and left the audience at my local cinema almost weeping as punchline after punchline was uttered.When it comes to comedies, I cannot recommend this one highly enough. If you're after a good laugh, you won't find much to better ""Snatch"".",comedy masterpiece,snatch is fantastic not least because it demonstrates emphatically that british movie industry is capable rivaling even best what hollywood can offer lock stock two smoking barrels was one funniest movies released recent years snatch takes everything that lock stock did so well does it even better back are cleverly intertwined plotlines hilarious one liners simultaneously intimidating comedic london villains so is skillful editing often original cinematographic style this time however it all looks somewhat slicker better funded alongside british regulars are odd american celebrity brad pitt benicio del toro everyone film puts excellent performance but pitt stands out as charismatic near incomprehensible gypsy boxer like ritchies earlier film this one takes little while find its feet but once it does pace doesnt slacken until finale one scene featuring three guys squeaking dog stolen car stands out particularly left audience at my local cinema almost weeping as punchline after punchline was uttered when it comes comedies i cannot recommend this one highly enough if youre after good laugh you wont find much better snatch,0.43012820512820515,0.2514423076923077,Positive,"{'Happy': 0.13, 'Angry': 0.03, 'Surprise': 0.43, 'Sad': 0.07, 'Fear': 0.33}"
10.0,Do You Know What Nemesis Means?,"I was never really too keen on ""Lock, Stock And Two Smoking Barrels"". All my friends constantly quoted it, raved and ranted, and then when ""Snatch"" came out, everyone made an even bigger deal of that. I watched Lock Stock, and though I did like it, it didn't really tickle my fancy. But Snatch, that's a completely different story all together.When I saw Snatch at the cinemas, I was shocked to see a couple leave only fifteen minutes into the film. As they left, you could hear their intellectually deficient comments; ""this movie is so boring"". I couldn't believe it! I'd recommend this movie to ANYONE, The Pope even!There are hundreds of thousands of reasons for anyone to see this movie; each word of the script being a reason.Snatch is possibly one of THE best written movies I've seen. It's smart, witty, funny and has just the right touches of dark humour. With characters like Turkish, Mickey, Tommy, Brick Top, Bullet Tooth Tony and Cousin Avi; their witty repartee will have your personal quotes list full for months after watching it. The camera work and editing complement each other to keep the film's pace on its toes, much like the boxers at the center of the character's stories.Jason Statham has some of THE best lines in the movie, constantly slamming anything even slightly intelligent his partner Tommy has to say. Brad Pitt turns out an excellent performance as the Irish-Gypsy-Pykie Mickey; his accent is hilarious. Even though the story line is only a simple one (following a massive Diamond through England's criminal underworld), it is the connections each character has to the diamond and each other that really makes this film stand out from all the usual jewel-heist films.Another 10 / 10 from me on this one, it's just a pity the follow up to Snatch was a ""collaborative effort"" from Mr. Richie and his um.......wife.",do you know what nemesis means,i was never really too keen lock stock two smoking barrels all my friends constantly quoted it raved ranted then when snatch came out everyone made even bigger deal that i watched lock stock though i did like it it didnt really tickle my fancy but snatch thats completely different story all together when i saw snatch at cinemas i was shocked see couple leave only fifteen minutes into film as they left you could hear their intellectually deficient comments this movie is so boring i couldnt believe it id recommend this movie anyone pope even there are hundreds thousands reasons anyone see this movie each word script being reason snatch is possibly one best written movies ive seen its smart witty funny has just right touches dark humour with characters like turkish mickey tommy brick top bullet tooth tony cousin avi their witty repartee will have your personal quotes list full months after watching it camera work editing complement each other keep films pace its toes much like boxers at center characters stories jason statham has some best lines movie constantly slamming anything even slightly intelligent his partner tommy has say brad pitt turns out excellent performance as irish gypsy pykie mickey his accent is hilarious even though story line is only simple one following massive diamond through englands criminal underworld it is connections each character has diamond each other that really makes this film stand out all usual jewel heist films another 10 10 me this one its just pity follow up snatch was collaborative effort mr richie his um wife,0.5333943833943835,0.10384615384615384,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.25, 'Fear': 0.29}"
9.0,Subtitles A Must To Really Enjoy This,"I would imagine viewers would either really love this movie or be totally turned off. It is presented in a different format for its time (since copied), has very odd and profane characters, accents that are difficult to understand, and tells an unpleasant story with some disgusting scenes. So, why do I enjoy this film, being an old-fashioned so-and-so?Well, because I usually enjoy ""stylish"" film-making and dark humor and this has both in abundance. This is almost as stylish as it gets: fascinating visuals, odd camera angles and various tricks, sound effects, etc. Most of the characters in this bizarre crime film have colorful nicknames and most speak in a strong British accent. A gypsy, played by American Brad Pitt, is almost intelligible.This is why I strongly recommend you use English subtitles while watching this film, at least for the first viewing, or you will totally lost. The DVD offers a feature I've never seen before: the option of using subtitles solely for Pitt's character. The filmmakers knew few people were going to understand Pitt's weird way of speaking. Anyway, I recommend the subtitles for everyone. It makes the film more enjoyable when you know what's going on, especially with the many slang terms used in here that have to be totally foreign to most viewers outside GB.Since the action changes every two minutes to another scene with other people (Lord of The Rings subsequently did the same), it's had to get lulled to sleep or have your mind wander. Something wacky is going on every few minutes. The attitudes of the criminals are rough: these are low-life people in the underworld: extremely tough people with the toughest being ""Bricktop"" (Alan Ford) who likes to feed people to the pigs. There are a ton of f-words in here, too.The disjointed story is not easy to follow and I found I needed several viewings to understand everything that was going on. The characters are so strange, so cartoon-like, that - combined with the unique visuals - it makes it a fascinating film to watch every time. Some of these actors were fairly unknown at the time of this release , at least here in the States, such as Jason Statham (""The Transporter"") but we know them know. There is a good mix of young and old actors in here.This is a guy's movie with the top dozen actors in this film all tough-talking, almost-crude men (plus a funny dog). It's so weird, I'll just end with the cliché that ""this is not for all tastes"" but if you enjoy dark humor and something totally different, you might want to give it a shot. Just remember to turn on the subtitles.",subtitles must really enjoy this,i would imagine viewers would either really love this movie or be totally turned off it is presented different format its time since copied has very odd profane characters accents that are difficult understand tells unpleasant story with some disgusting scenes so why do i enjoy this film being old fashioned so so well because i usually enjoy stylish film making dark humor this has both abundance this is almost as stylish as it gets fascinating visuals odd camera angles various tricks sound effects etc most characters this bizarre crime film have colorful nicknames most speak strong british accent gypsy played by american brad pitt is almost intelligible this is why i strongly recommend you use english subtitles while watching this film at least first viewing or you will totally lost dvd offers feature ive never seen before option using subtitles solely pitts character filmmakers knew few people were going understand pitts weird way speaking anyway i recommend subtitles everyone it makes film more enjoyable when you know whats going especially with many slang terms used here that have be totally foreign most viewers outside gb since action changes every two minutes another scene with other people lord rings subsequently did same its had get lulled sleep or have your mind wander something wacky is going every few minutes attitudes criminals are rough these are low life people underworld extremely tough people with toughest being bricktop alan ford who likes feed people pigs there are ton f words here too disjointed story is not easy follow i found i needed several viewings understand everything that was going characters are so strange so cartoon like that combined with unique visuals it makes it fascinating film watch every time some these actors were fairly unknown at time this release at least here states such as jason statham transporter but we know them know there is good mix young old actors here this is guys movie with top dozen actors this film all tough talking almost crude men plus funny dog its so weird ill just end with clich that this is not all tastes but if you enjoy dark humor something totally different you might want give it shot just remember turn subtitles,0.5260869565217391,0.07266505636070851,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.35}"
,"I liked it, is that so wrong?","I am a 33 year old woman in a flowered dress who doesn't drink, rarely swears, sleeps with a teddy bear, and has never raised a hand to anyone in my life. But I liked this movie a lot, and according to someone who wrote a review earlier, that makes me personally responsible for the violence in America. I'm sorry - I never intended to hurt anyone.As for the movie - I usually get confused in fast-paced movies with so many characters, but when I watched Snatch I was able to keep all the characters straight pretty easily because each one had something unique and quirky about him. I liked that, and I liked the accents, and I liked the silly plot-twist humor, and I liked the dogs. The evil men were EVIL (""so evil you would call it the froo-its of the dev-eel"" to quote Mike Meyers). The bumbling men were endearing. The music was great. It was very violent (more so than Pulp Fiction, I think). Yet somehow it did not offend me and looking back at it I still laugh out loud.Oh, and I never saw ""Lock, Stock, and Two Smoking Barrels"", for whatever that's worth.",i liked it is that so wrong,i am 33 year old woman flowered dress who doesnt drink rarely swears sleeps with teddy bear has never raised hand anyone my life but i liked this movie lot according someone who wrote review earlier that makes me personally responsible violence america im sorry i never intended hurt anyone as movie i usually get confused fast paced movies with so many characters but when i watched snatch i was able keep all characters straight pretty easily because each one had something unique quirky about him i liked that i liked accents i liked silly plot twist humor i liked dogs evil men were evil so evil you would call it froo its dev eel quote mike meyers bumbling men were endearing music was great it was very violent more so than pulp fiction i think yet somehow it did not offend me looking back at it i still laugh out loud oh i never saw lock stock two smoking barrels whatever thats worth,0.6877450980392159,0.08848039215686272,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.12, 'Sad': 0.21, 'Fear': 0.46}"
,The way movies -should- be made.,"Read this review carefully, please.First off, Snatch is an amazing movie in every sense of the word. There are very few movies made where the director obviously did not let one FRAME onto the screen without a reason, and Snatch is one of them. Nothing happens onscreen without it having an effect on the plot.By now you know the plot, or plots. We follow a diamond-heist and the various characters trying to get theirs, at the same time following participants in an illegal boxing ring. The incredible part of the movie is how every scene ties in with the rest somehow, every character connects with the rest at least once.There are complaints that the movie is confusing, or muddled. There are a lot of things that they don't tell you (such as what the dog has to do with anything, but he's a VERY important character), and that's a good thing. Too many movies force feed the audience its plot points (Think The Ring vs. Ringu, did we need the ""How long could you survive down there all alone?"" line?). Rather, we just watch occurrences, and have to piece together what ties everything together, the plot weaves together beautifully.The cinematography and performances are fantastic as well. Even the soundtrack is perfect. The camera style during the fight scenes (slowdown/stop/go) makes it difficult to stop watching, the sound effects fit in quietly in the background without being overwhelming. And it will be IMPOSSIBLE to watch this movie without repeating many of the lines around your friends. I found myself saying ""Zee Germans"" and things like ""It's not like he's a set of car keys, now is it?"" quite a bit. Naturally, Brad Pitt's pikey is one of the most outlandish I've ever seen.Summary: watch the movie, and don't expect to be TOLD everything, expect to have to pay attention.",way movies should be made,read this review carefully please first off snatch is amazing movie every sense word there are very few movies made where director obviously did not let one frame onto screen without reason snatch is one them nothing happens onscreen without it having effect plot by now you know plot or plots we follow diamond heist various characters trying get theirs at same time following participants illegal boxing ring incredible part movie is how every scene ties with rest somehow every character connects with rest at least once there are complaints that movie is confusing or muddled there are lot things that they dont tell you such as what dog has do with anything but hes very important character thats good thing too many movies force feed audience its plot points think ring vs ringu did we need how long could you survive down there all alone line rather we just watch occurrences have piece together what ties everything together plot weaves together beautifully cinematography performances are fantastic as well even soundtrack is perfect camera style during fight scenes slowdown stop go makes it difficult stop watching sound effects fit quietly background without being overwhelming it will be impossible watch this movie without repeating many lines around your friends i found myself saying zee germans things like its not like hes set car keys now is it quite bit naturally brad pitts pikey is one most outlandish ive ever seen summary watch movie dont expect be told everything expect have pay attention,0.5836851851851852,0.17625925925925923,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.31, 'Sad': 0.31, 'Fear': 0.22}"
10.0,The pinnacle of Guy Ritchie's career,"This sleek, stylish and very effective black comedy-cum crime thriller is an excellent movie, and one of those rare 'perfect' films where it would be difficult to spot one flaw let alone a number. A follow-up to Guy Ritchie's powerhouse debut, LOCK, STOCK AND TWO SMOKING BARRELS, this sees the director in familiar territory with a haphazard plot involving a stolen diamond and an Irish gypsy boxer. It doesn't make much sense, there's no story, but what you do get are hundreds of twists and turns and confrontations, some absolutely hilarious scenes of comedy (anything with the dog in it is a classic) and tons of class acting and class actors.Jason Statham is great as the cool underdog; Alan Ford will scare the heck out of you as the supremely nasty Brick Top. Brad Pitt is welcome as the unintelligible Irish bare-knuckle boxer and his performance is spot-on, whilst Vinnie Jones makes a welcome return as gold-toothed bad guy Bullet Tooth Tony. Expect a host of cameos and walk-ons (Dennis Farina is particularly good, Benicio del Toro is particularly weird and spineless, Abe as Tyrone is hilarious), including small roles for our very own Goldie, Ewen Bremner, and Mike Reid, and you have a wonderfully wicked little film. SNATCH is packed with cool and punchy dialogue, originality, and a welcome freshness to the story, tons and tons of style, lots of violence and hilarious situations and much, much more. A real winner of a film.",pinnacle guy ritchies career,this sleek stylish very effective black comedy cum crime thriller is excellent movie one those rare perfect films where it would be difficult spot one flaw let alone number follow up guy ritchies powerhouse debut lock stock two smoking barrels this sees director familiar territory with haphazard plot involving stolen diamond irish gypsy boxer it doesnt make much sense theres no story but what you do get are hundreds twists turns confrontations some absolutely hilarious scenes comedy anything with dog it is classic tons class acting class actors jason statham is great as cool underdog alan ford will scare heck out you as supremely nasty brick top brad pitt is welcome as unintelligible irish bare knuckle boxer his performance is spot whilst vinnie jones makes welcome return as gold toothed bad guy bullet tooth tony expect host cameos walk ons dennis farina is particularly good benicio del toro is particularly weird spineless abe as tyrone is hilarious including small roles our very own goldie ewen bremner mike reid you have wonderfully wicked little film snatch is packed with cool punchy dialogue originality welcome freshness story tons tons style lots violence hilarious situations much much more real winner film,0.6661904761904761,0.27278571428571424,Positive,"{'Happy': 0.32, 'Angry': 0.05, 'Surprise': 0.18, 'Sad': 0.24, 'Fear': 0.21}"
