Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,'Crime does pay' so does this movie...,"Wow... finally a breakthrough . For us Tamilians the time has come to bid adieu to Hollywood movies from directors like Guy Ritchie for we've got one here. Definitely a world class characterization filled with black comedy with no words to describe. Vijay Sethupathy does it again selecting an excellent script. Everyone in the movie has a definite role. The Indian political 'Thamasha' is dealt superbly with a couple of scenes near the climax. There are a number of favorite scenes in this movie but the best was at the CM's office talking to his minister and the son (I avoid spoiler by not saying more).I paid 150 bucks to watch this movie at a local theater. This movie paid well and even more, for a movie fan like me. Waiting eagerly for more movies of this sort from the team.",crime does pay so does this movie,wow finally breakthrough us tamilians time has come bid adieu hollywood movies directors like guy ritchie weve got one here definitely world class characterization filled with black comedy with no words describe vijay sethupathy does it again selecting excellent script everyone movie has definite role indian political thamasha is dealt superbly with couple scenes near climax there are number favorite scenes this movie but best was at cms office talking his minister son i avoid spoiler by not saying more i paid 150 bucks watch this movie at local theater this movie paid well even more movie fan like me waiting eagerly more movies this sort team,0.6020833333333333,0.33958333333333335,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.47, 'Sad': 0.05, 'Fear': 0.26}"
9.0,"A dark comedy that never forgets its basic rule to entertain. It's darker themes are ingeniously conveyed, but never does Soodhu Kuvoom lose its ability to Make Us Laugh!","Soodhu Kuvoom is a dark comedy built on themes of unemployment, kidnapping, blackmailing, police brutality, fake encounter and corruption but not even for a split second does it forget that it is first and foremost a dark comedy, and never it its manic energy lost or its comedy sacrificed while handling its heavyweight themes. The film never breaks its basic rules, and even when you feel at moments that it may go off-course, the story ingeniously swerves to its original course. Take for instance a scene from the movie when the four lead characters are arrested on charges of kidnapping and taken to court; that's when you go ""Oh no, now they're going to spend the rest of the hour turning the film into a silly courtroom drama"" but no, that's when Soodhu Kuvoom hilariously reminds us that it won't break its fundaments, and that is to be a rip-roaring dark comedy. So, in a humorous twist, the 'victim' (who's actually the mastermind' who fakes his kidnapping, is actually kidnapped, connives with his kidnappers, then gives them a slip) denies that the four kidnapped him and the case is dismissed immediately. The tone of the film is both consistent and cautious, never forgetting how it should be presented yet driving its message home superbly. Bollywood films usually have a tendency to forget very easily the original tone of their projects – a film that's extremely funny till interval will abruptly turn into a cloying melodrama post-interval to cater to sentimental audiences, and sensible audiences are left thinking ""Hey wait, wasn't I watching a comedy before I headed to the restroom during the intermission? Did the filmmakers flush it down the toilet to fart out a silly melodrama suddenly?"". Maybe Bollywood could take a few lessons from Tamil films like Soodhu Kuvoom and get it's sh*t together. It's safe to say that none of the men in Soodhu Kuvoom is a saint, and everybody explores shows their dark side and plays dirty to get their share of cake. But there's angst and a desperation which drives them to taking the shortcut to wealth and success. Our leading man Das, is an amateur kidnapper who's more afraid of offending his victim and the victim's relatives while demanding the ransom money. He assures the victim's relatives that they do not need to worry about the victim's well-being and the victim is safe and comfortable under his care. His ransom demands are petty and the funniest part is that he tips each victim from the ransom money after setting them free. These absurdities are nothing when we come to the part of Das' invisible friend Shalu, who's only visible to Das and is the accomplice to his crimes. The three other men, Kesavan, Sekhar and Paglavan are buddies who are unemployed, one being fired for defending himself against allegations of misbehaving with a female coworker, the other being jobless bum and the third driven away from hometown. Fate (a drunken brawl) brings these four men together and then their journey of kidnapping begins. This is shown in a flat-out hilarious sequence, where we see people of all ages and personalities being kidnapped and let go soon; there's one lady who shows no signs of panic and coolly continues chattering on her cell- phone even after being kidnapped. In one of their crimes, the victim's parent, calls them and requests them to kidnap the son of Minister Gnanodhayam. The parent happens to be the brother of a contractor who was arrested under Gnanodhayam's orders on charges of bribery, and he wants to extract revenge upon the Minister. So, all he wants our four heroes to do is to kidnap Gnanodhayan's son, Arumai and ask for two crores as ransom. The heroes agree and pursue Arumai one day but are left baffled when another group of men kidnap him in front of their eyes before they can make their move. Later, dressed as policemen, they try to rescue-kidnap Arumai and realize on finding him that the guy had staged his own kidnapping. Later the five (six if the invisible girl's to be included) try to bilk Arumai's father and share the money amongst themselves. Their plan is successful until Arumai, the clever fox gives the others a slip and an unforgiving, rule-bending cop is deployed to root out the culprits. The thing that made me happiest while watching this film was that it brought me closer to my true roots, my South Indian blood. This is the first time I'm watching a Tamil film and I have lived nineteen whole years in India, and this film made me understand what a crowd-pleasing entertaining truly is. Mainstream Bollywood films are too obsessed with fair looks and toned bodies, so much that its six-pack or size-zero which decides who the biggest stars are. The actors in Soodhu Kuvoom would barely last in Bollywood because they neither have the looks nor the figure to make it in a mainstream Bollywood blockbuster, but the natural, earthy and indigenous charisma which these actors possess is something the Bollywood bandwagon (with exceptions, of course) can only dream of. No one here mugs for the camera, and we know these actors are acting to entertain their audience. Even the eye-candy Shalu, played by a gorgeous Sanchita Shetty, has a worthy role in the film, which is rare in Bollywood. Everyone in this world has a dark side, says Soodhu Kavoom, and most are driven under desperation to play dirty, and in this bad bad world, dishonesty is the road to success. And what happens to rules? Well, weren't they always meant to be broken?More on sashankkini.wordpress.com/‎",dark comedy that never forgets its basic rule entertain its darker themes are ingeniously conveyed but never does soodhu kuvoom lose its ability make us laugh,soodhu kuvoom is dark comedy built themes unemployment kidnapping blackmailing police brutality fake encounter corruption but not even split second does it forget that it is first foremost dark comedy never it its manic energy lost or its comedy sacrificed while handling its heavyweight themes film never breaks its basic rules even when you feel at moments that it may go off course story ingeniously swerves its original course take instance scene movie when four lead characters are arrested charges kidnapping taken court thats when you go oh no now theyre going spend rest hour turning film into silly courtroom drama but no thats when soodhu kuvoom hilariously reminds us that it wont break its fundaments that is be rip roaring dark comedy so humorous twist victim whos actually mastermind who fakes his kidnapping is actually kidnapped connives with his kidnappers then gives them slip denies that four kidnapped him case is dismissed immediately tone film is both consistent cautious never forgetting how it should be presented yet driving its message home superbly bollywood films usually have tendency forget very easily original tone their projects film thats extremely funny till interval will abruptly turn into cloying melodrama post interval cater sentimental audiences sensible audiences are left thinking hey wait wasnt i watching comedy before i headed restroom during intermission did filmmakers flush it down toilet fart out silly melodrama suddenly maybe bollywood could take few lessons tamil films like soodhu kuvoom get its sh t together its safe say that none men soodhu kuvoom is saint everybody explores shows their dark side plays dirty get their share cake but theres angst desperation which drives them taking shortcut wealth success our leading man das is amateur kidnapper whos more afraid offending his victim victims relatives while demanding ransom money he assures victims relatives that they do not need worry about victims well being victim is safe comfortable under his care his ransom demands are petty funniest part is that he tips each victim ransom money after setting them free these absurdities are nothing when we come part das invisible friend shalu whos only visible das is accomplice his crimes three other men kesavan sekhar paglavan are buddies who are unemployed one being fired defending himself against allegations misbehaving with female coworker other being jobless bum third driven away hometown fate drunken brawl brings these four men together then their journey kidnapping begins this is shown flat out hilarious sequence where we see people all ages personalities being kidnapped let go soon theres one lady who shows no signs panic coolly continues chattering her cell phone even after being kidnapped one their crimes victims parent calls them requests them kidnap son minister gnanodhayam parent happens be brother contractor who was arrested under gnanodhayams orders charges bribery he wants extract revenge upon minister so all he wants our four heroes do is kidnap gnanodhayans son arumai ask two crores as ransom heroes agree pursue arumai one day but are left baffled when another group men kidnap him front their eyes before they can make their move later dressed as policemen they try rescue kidnap arumai realize finding him that guy had staged his own kidnapping later five six if invisible girls be included try bilk arumais father share money amongst themselves their plan is successful until arumai clever fox gives others slip unforgiving rule bending cop is deployed root out culprits thing that made me happiest while watching this film was that it brought me closer my true roots my south indian blood this is first time im watching tamil film i have lived nineteen whole years india this film made me understand what crowd pleasing entertaining truly is mainstream bollywood films are too obsessed with fair looks toned bodies so much that its six pack or size zero which decides who biggest stars are actors soodhu kuvoom would barely last bollywood because they neither have looks nor figure make it mainstream bollywood blockbuster but natural earthy indigenous charisma which these actors possess is something bollywood bandwagon with exceptions course can only dream no one here mugs camera we know these actors are acting entertain their audience even eye candy shalu played by gorgeous sanchita shetty has worthy role film which is rare bollywood everyone this world has dark side says soodhu kavoom most are driven under desperation play dirty this bad bad world dishonesty is road success what happens rules well werent they always meant be broken more sashankkini wordpress com,0.4850653594771241,0.07248366013071895,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.2, 'Sad': 0.25, 'Fear': 0.39}"
9.0,One of the best Tamil film in 2013,"Soodhu Kavvum, the best film I've seen so far in 2013. 1. The introduction and the film title display scene are wonderful. 2. Can't guess what's going to happen next and the editing was good. 3. The comedy was great great great, such a great relief from santhanism for a moment. 4. All the actors played their part very well. 5. All the songs are played well, mostly suited for the situation, and runs in background. 6. Loved the song, kaasu panam dutthu. 7. You'll forget most of the comedies, after watching the film, and wants to see the film again. 8. Extraordinary screenplay, dialogue delivery and acting. 9. Loved the action scene of that police. good editing there 10. For those who says ""DVD vanthurum athula paathukkalaam"", this is a film worth watching in theatres with families or friends or anyone. 11. Enjoy this film watching in theatreHighly recommended.",one best tamil film 2013,soodhu kavvum best film ive seen so far 2013 1 introduction film title display scene are wonderful 2 cant guess whats going happen next editing was good 3 comedy was great great great such great relief santhanism moment 4 all actors played their part very well 5 all songs are played well mostly suited situation runs background 6 loved song kaasu panam dutthu 7 youll forget most comedies after watching film wants see film again 8 extraordinary screenplay dialogue delivery acting 9 loved action scene that police good editing there 10 those who says dvd vanthurum athula paathukkalaam this is film worth watching theatres with families or friends or anyone 11 enjoy this film watching theatrehighly recommended,0.5217391304347826,0.5057971014492753,Positive,"{'Happy': 0.35, 'Angry': 0.03, 'Surprise': 0.29, 'Sad': 0.0, 'Fear': 0.32}"
8.0,Excellent Movie for all those who were bored of the regulars,"Firstly the movie isn't usual. Though many movies are there with having the protagonist as negative or socially immoral have received good response, this movie has multiple protagonist in it. It looks like Vijay Sethupathi(Das) is the lead character. But there is a lot of turns that are steered by the Kesavan's character who is not negative in the initially. Keeping the female character as imaginary was sheer brilliance. The BGM looks to have some reference from the Oceans Eleven in some places. But its supports the movie completely. There is justification bought in the end of the movie with the fact that no act by anyone has a complete good/bad and the acts of Das bought only minimal bad :)",excellent movie all those who were bored regulars,firstly movie isnt usual though many movies are there with having protagonist as negative or socially immoral have received good response this movie has multiple protagonist it it looks like vijay sethupathi das is lead character but there is lot turns that are steered by kesavans character who is not negative initially keeping female character as imaginary was sheer brilliance bgm looks have some reference oceans eleven some places but its supports movie completely there is justification bought end movie with fact that no act by anyone has complete good bad acts das bought only minimal bad,0.49000000000000005,0.049166666666666685,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.1, 'Sad': 0.38, 'Fear': 0.33}"
10.0,Soodhu Kavvum (2013),The movie was excellent. The story was very good in the movie. Songs and BGM were good in the movie. The movie is thrilling and funny. Everyone acted very well in the movie.,soodhu kavvum 2013,movie was excellent story was very good movie songs bgm were good movie movie is thrilling funny everyone acted very well movie,0.7800000000000001,0.5516666666666666,Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.0}"
8.0,Superb Dark Comedy and ENTERTAINMENT UNLIMITED!!!!!!!!!!!,"Soodhu Kavvum stars Vijay Sethupathy and Sanchita Shetty, along with MS Bhasker, Ramesh, Simhaa, Ashok, Karunakaran, Yog Japee and Radha Ravi in significant roles.Dass, a small-time smuggler, wants to graduate to the next level, kidnapping, which he believes is more exciting and lucrative.Pagalavan (Simhaa), Kesavan (Ashok) and Sekhar (Ramesh)are three desperate jobless friendsDass convinces them that he has the perfected the art of kidnapping and asks them join him. Having no other alternative, they do. Soon they become successful, and can pull off a series of kidnapping without any hitches.there are no typical comic one-liners or forced comic situations With every film that he has acted in, Vijay Sethupathy has always managed to raise the bar to an entirely new level. As a Grey-haired, 40-year old with psychotic tendencies, speaking broken English, Vijay Sethupathy in Soodhu Kavvum is truly unbelievable. There is some good all around performance, especially Simhaa and Ramesh, who manage to steal the show with their unpretentious and honest performance.Full credit goes to the director, Nalan Kumarasamy, for transforming a simple plot into an extremely engaging film, with ingenious characters and entertaining situations. Good cinematography, crisp editing and the refreshing non-conventional background score make this film even more distinctive. A must-watch.",superb dark comedy entertainment unlimited,soodhu kavvum stars vijay sethupathy sanchita shetty along with ms bhasker ramesh simhaa ashok karunakaran yog japee radha ravi significant roles dass small time smuggler wants graduate next level kidnapping which he believes is more exciting lucrative pagalavan simhaa kesavan ashok sekhar ramesh are three desperate jobless friendsdass convinces them that he has perfected art kidnapping asks them join him having no other alternative they do soon they become successful can pull off series kidnapping without any hitches there are no typical comic one liners or forced comic situations with every film that he has acted vijay sethupathy has always managed raise bar entirely new level as grey haired 40 year old with psychotic tendencies speaking broken english vijay sethupathy soodhu kavvum is truly unbelievable there is some good all around performance especially simhaa ramesh who manage steal show with their unpretentious honest performance full credit goes director nalan kumarasamy transforming simple plot into extremely engaging film with ingenious characters entertaining situations good cinematography crisp editing refreshing non conventional background score make this film even more distinctive must watch,0.5695856524427954,0.18183828076685218,Positive,"{'Happy': 0.16, 'Angry': 0.03, 'Surprise': 0.12, 'Sad': 0.22, 'Fear': 0.47}"
9.0,"A MUST WATCH (with subtitles, if necessary) !","A delightful comic noir ... It tells a story of a schizophrenic & his team of dimwits who indulge in kidnapping..nay, kednapping for small sums.. But, when they attempt to raise the stakes all hell breaks loose in several quirky, chaotic & HILARIOUS twists.After Pizza, NKPK, once more, Vijay Sethupathy, the lead, shows his stellar skills in picking wonderfully original & entertaining scripts.KUDOS to the debutante director & his team for a wholesome entertaining treat. One of the best movies I would see this year by a long stretch !",must watch with subtitles if necessary,delightful comic noir it tells story schizophrenic his team dimwits who indulge kidnapping nay kednapping small sums but when they attempt raise stakes all hell breaks loose several quirky chaotic hilarious twists after pizza nkpk once more vijay sethupathy lead shows his stellar skills picking wonderfully original entertaining scripts kudos debutante director his team wholesome entertaining treat one best movies i would see this year by long stretch,0.5846153846153846,0.2998717948717949,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.13, 'Fear': 0.33}"
8.0,Strange story and characters with hilarious results,"The characters are strange. A kidnapper who hallucinates the female lead's character, Shalu. He loves his Hallucination so much that he stopped taking the medicines his doctor prescribed. Then there is the valet who got fired for taking his customer's vehicle for a joy ride. His best friend is taking refuge after offensively making a Nayantara statue out of the justice statue. The fourth guy was sexually harassed at the workplace but when he tried speaking up the woman claims that it was he who harassed her instead. Unable to take it as the manager was siding with her, he scolds him and gets blacklisted in the process. These three jobless guys meet the kidnapper during a brawl at a pub. The kidnapper trusting these three for aiding him reveals his amazing and hilarious rules of kidnapping without getting caught.Kednapping (was misspelt in the film for comedic reasons) 1.stay clear of people with power 2.no unwanted threats 3.Small affordable amounts 4.no arms 5. If you goof up surrenderOne of the kidnapees liked the amicable fashion in the way his son's kidnapping was handled got a kidnapping gig for them. This guy wanted them to kidnap his boss, the MP candidates' son for some kind of revenge. Reluctantly they take it though it is breaking rule no.1. Now this son was devious himself as he planned his own kidnapping. To kidnap him from those kidnappers they wore police getup and bought guns against rule no.4.I have revealed too much already but they break all the rules before the end of the movie. They botch the kidnapping and get chased by police, caught by police surrender and go to court out of fear of this tough as nails cop where the kidnapee pretends that they did not kidnap him. There is still so many funny stuff I haven't told you so don't miss it. I took out one point for the way Shalu was treated by the hero, though she is just his illusion. They kidnap a girl who just looks like Shalu in the end. It was funny but you know.",strange story characters with hilarious results,characters are strange kidnapper who hallucinates female leads character shalu he loves his hallucination so much that he stopped taking medicines his doctor prescribed then there is valet who got fired taking his customers vehicle joy ride his best friend is taking refuge after offensively making nayantara statue out justice statue fourth guy was sexually harassed at workplace but when he tried speaking up woman claims that it was he who harassed her instead unable take it as manager was siding with her he scolds him gets blacklisted process these three jobless guys meet kidnapper during brawl at pub kidnapper trusting these three aiding him reveals his amazing hilarious rules kidnapping without getting caught kednapping was misspelt film comedic reasons 1 stay clear people with power 2 no unwanted threats 3 small affordable amounts 4 no arms 5 if you goof up surrenderone kidnapees liked amicable fashion way his sons kidnapping was handled got kidnapping gig them this guy wanted them kidnap his boss mp candidates son some kind revenge reluctantly they take it though it is breaking rule no 1 now this son was devious himself as he planned his own kidnapping kidnap him those kidnappers they wore police getup bought guns against rule no 4 i have revealed too much already but they break all rules before end movie they botch kidnapping get chased by police caught by police surrender go court out fear this tough as nails cop where kidnapee pretends that they did not kidnap him there is still so many funny stuff i havent told you so dont miss it i took out one point way shalu was treated by hero though she is just his illusion they kidnap girl who just looks like shalu end it was funny but you know,0.5643939393939393,0.27095959595959596,Positive,"{'Happy': 0.08, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.42}"
9.0,Soodhu Kavvum (U/A) TAMIL ------------- my Rating : ★★★★½ VERY INTELLIGENT,"Soodhu Kavvum (U/A) TAMIL Mariyaan Songs TAMIL Yaaruda mahesh (A) TAMIL Complete Review and more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewSoodhu Kavvum (U/A) TAMIL ------------- my Rating : ★★★★½ VERY INTELLIGENT STRENGTHS :- * Story and Direction : mind-blowing by the debut-ant ..... * Casting and Performances : was fantastic ..... * Twists and Thrills ...... * Dialogues : were enjoyable ..... * Editing and Screenplay : scene by scene was well shaped for a racy entertainer ....FINAL VERDICT :- * Finally .... it is a complete youth entertainer ..... a must watch by all ......Soodhu Kavvum is a comedy film featuring Vijay Sethupathi and Sanchita Shetty in the lead roles produced by C V Kumar after the grand success of Atta Kathi and Pizza. Vijay Sethupathi,Sanchita Shetty.",soodhu kavvum u tamil my rating very intelligent,soodhu kavvum u tamil mariyaan songs tamil yaaruda mahesh tamil complete review more hot news like this page english hindi tamil telugu facebook movie review by yunus irshad kavvum u tamil my rating very intelligent strengths story direction mind blowing by debut ant casting performances was fantastic twists thrills dialogues were enjoyable editing screenplay scene by scene was well shaped racy entertainer final verdict finally it is complete youth entertainer must watch by all soodhu kavvum is comedy film featuring vijay sethupathi sanchita shetty lead roles produced by c v kumar after grand success atta kathi pizza vijay sethupathi sanchita shetty,0.6375000000000001,0.38749999999999996,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.15, 'Fear': 0.23}"
10.0,"the story of petty criminals who are engulfed by their own occupation volunteering to ride the high tide, knowing well of its repercussions","It has been directed by debutant Nalan Kumarasamy, one of the talents of Naalaiya Iyakkunar, a reality show for aspiring directors. Soodhu Kavvum stars Vijay Sethupathy and Sanchita Shetty, alongwith MS Bhasker, Ramesh, Simhaa, Ashok, Karunakaran, Yog Japee and Radha Ravi in significant roles. director, Nalan Kumarasamy, transforms the plot into an extremely engaging film, with hilarious characters and entertaining situations. Music: Santosh Narayanan Genre:black Comedy Duration: 2 hours 17 minutes Soodhu Kavvum is a different kind of film that has not been seen in Tamil cinema Nalan Kumarasamy is a daring director to make a black comedy at a time when Tamil cinema is being bombarded by slapstick comedies. The most solid of the new breed actors Vijay Sethupathy as the 40 plus anti-hero and all new actors in supporting cast are apt and they make the film crackle Vijay Sethupathy steals the show with his shaggy salt and pepper beard and a paunch. His body language and dialogue delivery makes the character come alive Sanchita Shetty as his girlfriend is smashing and delivers some one- liners with perfect lip sync. It is one of the best films to have emerged out of Kollywood in a long, long time ' Soodhu Kavvum' marks a hat-trick of successes for Vijay Sethupathy after the thriller 'Pizza' and the situational comedy 'Naduvula Konjam Pakkatha Kaanom'. His knack of choosing good roles and working with new directors brimming with ideas will stand him in good stead, as also the work he puts in to portray each character. He put on weight and grew a beard to play Das, and the look fits him to a 'T'. His chemistry with Shalu (Sanchita Shetty), who has a terrific screen presence and does a neat job in her debut movie, is a treat to watchThough the movie features only one full song 'Kaasu panam', the soundtrack has other gems like 'Mama douser' and 'Come na come' and a background score that will remain with you long after you exit the theatre. With a smile!!!",story petty criminals who are engulfed by their own occupation volunteering ride high tide knowing well its repercussions,it has been directed by debutant nalan kumarasamy one talents naalaiya iyakkunar reality show aspiring directors soodhu kavvum stars vijay sethupathy sanchita shetty alongwith ms bhasker ramesh simhaa ashok karunakaran yog japee radha ravi significant roles director nalan kumarasamy transforms plot into extremely engaging film with hilarious characters entertaining situations music santosh narayanan genre black comedy duration 2 hours 17 minutes soodhu kavvum is different kind film that has not been seen tamil cinema nalan kumarasamy is daring director make black comedy at time when tamil cinema is being bombarded by slapstick comedies most solid new breed actors vijay sethupathy as 40 plus anti hero all new actors supporting cast are apt they make film crackle vijay sethupathy steals show with his shaggy salt pepper beard paunch his body language dialogue delivery makes character come alive sanchita shetty as his girlfriend is smashing delivers some one liners with perfect lip sync it is one best films have emerged out kollywood long long time soodhu kavvum marks hat trick successes vijay sethupathy after thriller pizza situational comedy naduvula konjam pakkatha kaanom his knack choosing good roles working with new directors brimming with ideas will stand him good stead as also work he puts portray each character he put weight grew beard play das look fits him t his chemistry with shalu sanchita shetty who has terrific screen presence does neat job her debut movie is treat watchthough movie features only one full song kaasu panam soundtrack has other gems like mama douser come na come background score that will remain with you long after you exit theatre with smile,0.5840101010101011,0.28119191919191927,Positive,"{'Happy': 0.13, 'Angry': 0.08, 'Surprise': 0.21, 'Sad': 0.17, 'Fear': 0.4}"
