Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Must watch film,Must watch film of 2020 . Strong comeback and by Suriya . Excellent direction from Sudha . Cinematography was superb. Please watch with your family . A good motivational film . Missing this movie in theater 😥,must watch film,must watch film 2020 strong comeback by suriya excellent direction sudha cinematography was superb please watch with your family good motivational film missing this movie theater,0.6766666666666666,0.5866666666666667,Positive,"{'Happy': 0.4, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.0}"
10.0,Suriya is back,"Excellent storytelling, suriya performance is amazing as usual",suriya is back,excellent storytelling suriya performance is amazing as usual,0.5375,0.3375,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
10.0,One Of The Best Tamil Language Films -Vintage Suriya Is Back,"An inspirational movie that is worth watching. If there is dream to fly, it doesn't matter from where you come from, you can fly. Versatile actor Suriya nailed it. After Vaaranam Aayiram, this movie is too much realistic. Thanks to director Sudha mam. A female can also make a male-centric masterpiece! Co-star Aparna mam was awesome & too much natural! This movie deserves both filmfare & national award. ❤💗",one best tamil language films vintage suriya is back,inspirational movie that is worth watching if there is dream fly it doesnt matter where you come you can fly versatile actor suriya nailed it after vaaranam aayiram this movie is too much realistic thanks director sudha mam female can also make male centric masterpiece co star aparna mam was awesome too much natural this movie deserves both filmfare national award,0.4230769230769231,0.3743589743589744,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.55, 'Sad': 0.09, 'Fear': 0.18}"
10.0,Nothing Better Than This Movie! Epic One! Logical!,"In my life time I haven't yet watched a movie like this. Such a Motivating Story which makes you entertained with such an amassing concept. Entertainment value next level, which I can say even I haven't watched a movie like this in Hollywood or any other industries. If someone say this movie doesn't have a good story plot, then probably that person doesn't know what is an epic story. Music in this movie does its best with unbeatable sounds that makes you amaze. In whole movie I didn't even saw a single scene which doesn't have no logic. This should hit The Indian Best film ever. Such a superb emotional beats that even made me cry. Suriya and all other cast had made their best action to make this film best. Beginning, ending, pacing, dialogue, editing, cinematography, camera work, costume design etc. had done their best to make this movie ""Nothing better than this Soorarai Pottru""",nothing better than this movie epic one logical,my life time i havent yet watched movie like this such motivating story which makes you entertained with such amassing concept entertainment value next level which i can say even i havent watched movie like this hollywood or any other industries if someone say this movie doesnt have good story plot then probably that person doesnt know what is epic story music this movie does its best with unbeatable sounds that makes you amaze whole movie i didnt even saw single scene which doesnt have no logic this should hit indian best film ever such superb emotional beats that even made me cry suriya all other cast had made their best action make this film best beginning ending pacing dialogue editing cinematography camera work costume design etc had done their best make this movie nothing better than this soorarai pottru,0.3983766233766234,0.36948051948051946,Positive,"{'Happy': 0.06, 'Angry': 0.03, 'Surprise': 0.52, 'Sad': 0.21, 'Fear': 0.18}"
10.0,Surya is back,"What a story telling. No unnecessary songs , no unnecessary action sequence . Just pure acting performances by the whole team and especially Surya and Paresh Rawal. We can say that Surya is back and expecting more good movies from him in future",surya is back,what story telling no unnecessary songs no unnecessary action sequence just pure acting performances by whole team especially surya paresh rawal we can say that surya is back expecting more good movies him future,0.41875,0.1761904761904762,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.12, 'Fear': 0.5}"
10.0,A must watching pure lit movie,Omg what did i watch and this is how you feels after watching such a awesome one... Music was extremely awesome... Best movie of 2020,must watching pure lit movie,omg what did i watch this is how you feels after watching such awesome one music was extremely awesome best movie 2020,0.6599999999999999,0.6428571428571429,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10.0,Excellent Inspirational movie,Must watch movie..suriya on his top notch performance.,excellent inspirational movie,must watch movie suriya his top notch performance,0.8333333333333334,0.6666666666666666,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
10.0,Worth watching a thousand times..,"Finally! We got our Vintage Suriya back, Thank you #SudhaKongara for this Masterpiece.. Words will fall short to praise Suriya's Performance. He truly lived the character of #Maara. Aparna and Paresh Undoubtedly Soorarai Pottru is the Best movie in Recent years. Truly Inspiring Story !!",worth watching thousand times,finally we got our vintage suriya back thank you this masterpiece words will fall short praise suriyas performance he truly lived character aparna paresh undoubtedly soorarai pottru is best movie recent years truly inspiring story,0.42142857142857143,0.2571428571428572,Positive,"{'Happy': 0.1, 'Angry': 0.2, 'Surprise': 0.3, 'Sad': 0.0, 'Fear': 0.4}"
10.0,Tears of sadness and joy😭🤗,"No words inspirational movie of the decade. Surya is unbelievable in this movie what an actor he is, made me cry in many scenes .Both female leads were exceptional aparnas chemistry with Surya was so good and the legendary actress urvashi steals the show in many scenes .Just watch this gem you won't regret .",tears sadness joy,no words inspirational movie decade surya is unbelievable this movie what actor he is made me cry many scenes both female leads were exceptional aparnas chemistry with surya was so good legendary actress urvashi steals show many scenes just watch this gem you wont regret,0.662962962962963,0.49074074074074076,Positive,"{'Happy': 0.22, 'Angry': 0.11, 'Surprise': 0.33, 'Sad': 0.22, 'Fear': 0.11}"
,Passion,What a movie Sudha kongara hits a home run Power packed performace from Surya as usual Aparna balamurali Comes as a surpriseToo good too good too goodDefinitely wished it was on a big screenOne particular scene where Surya tries to buy a ticket will definitely move your heartsIt's an ode to common man,passion,what movie sudha kongara hits home run power packed performace surya as usual aparna balamurali comes as surprisetoo good too good too gooddefinitely wished it was big screenone particular scene where surya tries buy ticket will definitely move your heartsits ode common man,0.4104166666666667,0.11458333333333331,Positive,"{'Happy': 0.2, 'Angry': 0.3, 'Surprise': 0.1, 'Sad': 0.1, 'Fear': 0.3}"
