Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Special Chabbis (and not twenty six)  a special entertainer for all movie lovers,"After having watched ""A Wednesday"" by Neeraj Pandey innumerable times, I stepped into the cinema hall with high expectations from his latest movie Special Chabbis. And Pandeyjee has managed to pull off another amazing entertainer with a fast-paced & exciting plot. This is one of those movies which keeps on lingering in your mind even after the climax and you keep going back to the brilliant sequence of events and how they were executed throughout the plot.The movie is set in 1987 based on a true incident when a person posed as a fake CBI officer and robbed a famous jeweller at the Opera House in Mumbai. This incident forms the basis of the plot and how a group of conmen conduct false raids as CBI or IT officials to con politicians, businessmen and high profile people to rob them of their money. These heists are never reported as most of the money is black money and none of these high profile people want to be in the news for wrong reasons.Neeraj Pandey after his directorial debut with A Wednesday completely redeems himself with Special Chabbis and reaffirms his position as a master director. He is definitely not a one film wonder and a director to watch out for in the future. The best and the most noticeable part of the film is the period that it has been set in. 1980's have been very effectively portrayed in the movie, whether it was the cars running on the roads or the streets of Delhi especially well known areas like the Connaught Place, whether it was the print style of the newspapers or the clothes and jewellery worn by the actors. The whole movie seems to be set in 1980 and all credit goes to the art director along with the director. I am still wondering how he shot in the heart of Delhi with all these props from the 80s.The casting is perfect and each character in the ensemble of great actors delivers are powerful performance. Akshay Kumar has always been a great actor for me despite critics and so-called intelligent viewers writing him off. As the linchpin of the team he is subtle, intelligent and still manages to be funny in his own earthly way. This is definitely another feather in his cap with his long list of successful movies. Anupam Kher as a vulnerable supporter of the leader and a lustful old man (considering his long line of children) is superb and reminds of a perfect Punjabi uncle. Rajesh Sharma (Munjal from the movie Khosla ka Ghosla) as the third character fits perfectly into the well oiled team as the big guy from a Purani Dilli joint family. Kishore Kadam as the oppressed husband though a reserved role makes an impact. Jimmy Shergill's portrayal of a frustrated suspended police officer is very believable and you can't fail but empathize with the character of Sub- Inspector Ranveer Singh. But, Manoj Bajpayee is the actor which never ceases to amaze me. You put him any role and he shines, sometimes more than the protagonist. As a no nonsense CBI officer he again steals the show and gives another honest performance worth a standing ovation. Kajal Aggarwal (from Singham) is a pretty girl and looks pretty, however her character's contribution to the story is a little frivolous.The climax hits you in typical Neeraj Pandey style which I am sure is fast becoming his signature style in his movies. Full marks to him for great direction, amazing portrayal of all characters, great plot, superb casting and above all perfect detailing.Go and watch it, and I definitely can again. This one definitely lived up to my expectations and left me hungry for more (I waited till the end of casting hoping there would be another surprise scene at the end).",special chabbis not twenty six special entertainer all movie lovers,after having watched wednesday by neeraj pandey innumerable times i stepped into cinema hall with high expectations his latest movie special chabbis pandeyjee has managed pull off another amazing entertainer with fast paced exciting plot this is one those movies which keeps lingering your mind even after climax you keep going back brilliant sequence events how they were executed throughout plot movie is set 1987 based true incident when person posed as fake cbi officer robbed famous jeweller at opera house mumbai this incident forms basis plot how group conmen conduct false raids as cbi or it officials con politicians businessmen high profile people rob them their money these heists are never reported as most money is black money none these high profile people want be news wrong reasons neeraj pandey after his directorial debut with wednesday completely redeems himself with special chabbis reaffirms his position as master director he is definitely not one film wonder director watch out future best most noticeable part film is period that it has been set 1980s have been very effectively portrayed movie whether it was cars running roads or streets delhi especially well known areas like connaught place whether it was print style newspapers or clothes jewellery worn by actors whole movie seems be set 1980 all credit goes art director along with director i am still wondering how he shot heart delhi with all these props 80s casting is perfect each character ensemble great actors delivers are powerful performance akshay kumar has always been great actor me despite critics so called intelligent viewers writing him off as linchpin team he is subtle intelligent still manages be funny his own earthly way this is definitely another feather his cap with his long list successful movies anupam kher as vulnerable supporter leader lustful old man considering his long line children is superb reminds perfect punjabi uncle rajesh sharma munjal movie khosla ka ghosla as third character fits perfectly into well oiled team as big guy purani dilli joint family kishore kadam as oppressed husband though reserved role makes impact jimmy shergills portrayal frustrated suspended police officer is very believable you cant fail but empathize with character sub inspector ranveer singh but manoj bajpayee is actor which never ceases amaze me you put him any role he shines sometimes more than protagonist as no nonsense cbi officer he again steals show gives another honest performance worth standing ovation kajal aggarwal singham is pretty girl looks pretty however her characters contribution story is little frivolous climax hits you typical neeraj pandey style which i am sure is fast becoming his signature style his movies full marks him great direction amazing portrayal all characters great plot superb casting above all perfect detailing go watch it i definitely can again this one definitely lived up my expectations left me hungry more i waited till end casting hoping there would be another surprise scene at end,0.6361518959435624,0.3088111772486773,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.41}"
9.0,Great acting makes special 26 more special...,"Special 26 is a heist movie based on real life incidents of 1987...I considered watching this movie because of the director of A Wedesday..NEERAJ PANDEY..and he didn't fail to deliver...Heist movies in bollywood are generally filled with crap like glamor,show-off and pulling off practically impossible stuff...and thats where special 26 stands above all....Great direction, incredible acting, perfect screenplay and a great script made this normal heist-kind off plot into the very best of its kind that bollywood has never seen....This fake CBI based concept is perfectly executed and what makes it standout is really good acting.AKSHAY KUMAR( who i consider bollywood's best)has finally found a good movie to do and he does it to perfection.But its ANUPAM KHER and MANOJ BAJPAI who steal the show with their perfect portrayal of difficult-to-play roles...the supporting cast does a fabulous job...except KAJAL AGARWAL...there was really no need for her character in the movie...Special 26 will keep you at the edge of your seat throughout 2.30 hours and an incredible climax will make you appreciate the movie...Except for AKSHAY-KAJAL segments, which were really not needed in the movie, Special 26 is perfect in every department and regardless of the business it does at the box office(I really don't give a damn about that),this movie is one of the all time greats in bollywood for me...",great acting makes special 26 more special,special 26 is heist movie based real life incidents 1987 i considered watching this movie because director wedesday neeraj pandey he didnt fail deliver heist movies bollywood are generally filled with crap like glamor show off pulling off practically impossible stuff thats where special 26 stands above all great direction incredible acting perfect screenplay great script made this normal heist kind off plot into very best its kind that bollywood has never seen this fake cbi based concept is perfectly executed what makes it standout is really good acting akshay kumar who i consider bollywoods best has finally found good movie do he does it perfection but its anupam kher manoj bajpai who steal show with their perfect portrayal difficult play roles supporting cast does fabulous job except kajal agarwal there was really no need her character movie special 26 will keep you at edge your seat throughout 2 30 hours incredible climax will make you appreciate movie except akshay kajal segments which were really not needed movie special 26 is perfect every department regardless business it does at box office i really dont give damn about that this movie is one all time greats bollywood me,0.6142142857142858,0.34690476190476194,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.34, 'Sad': 0.26, 'Fear': 0.19}"
7.0,Special 26 Is A Super-Over-Smart Movie With Traces Of Buffoonery!,"""A Wednesday"" made me watch this and boy, was I surprised? Was I entertained? Hell yes, Special 26 is 2013's first serious cinema with no cheap humor, ridiculous stunt sequences or the typical B'wood masala. While Akshay Kumar is known for Housefull & Rowdy Rathore, this one plays different with a sharp plot-driven story and an even amazing execution on a real-life incident!Cut out the romance, and this is one gripping, fabulously woven heist drama parallel to what we see in Hollywood flicks. Anupam Kher couldn't get more thespian while Jimmy Shergill & Manoj Bajpayee complement the cast. Direction, screenplay (so that you don't get bored through 2.5 hours), score, acting and every other film factor is thoroughly scrutinized in this. Now, what's even more Special about this movie is that - since the time gap between decent, ""movie-wala"" movies is so vast, that you just can't get enough of it. Paisa Vasool!Originality in the thefts, corruption, authentic depiction of Indian locations and what-not, I could praise this movie and write a book moreover because it is 2013's one decent try.BOTTOM LINE: I should not reveal much and spoil the broth. Because Special 26 cannot be missed. 100% Recommended but if you are a logic- ridden cinema-goer, you may despise it! Except some dumb plot holes and serious anachronisms, it is a good thriller. But don't expect it anywhere near to what ""A Wednesday"" was. 10/10Can be watched with a typical Indian family? YESLanguage: Mediocre | Sex & Nudity: No | Violence: No | Smoking, Alcohol & Drugs: No",special 26 is super over smart movie with traces buffoonery,wednesday made me watch this boy was i surprised was i entertained hell yes special 26 is 2013s first serious cinema with no cheap humor ridiculous stunt sequences or typical bwood masala while akshay kumar is known housefull rowdy rathore this one plays different with sharp plot driven story even amazing execution real life incident cut out romance this is one gripping fabulously woven heist drama parallel what we see hollywood flicks anupam kher couldnt get more thespian while jimmy shergill manoj bajpayee complement cast direction screenplay so that you dont get bored through 2 5 hours score acting every other film factor is thoroughly scrutinized this now whats even more special about this movie is that since time gap between decent movie wala movies is so vast that you just cant get enough it paisa vasool originality thefts corruption authentic depiction indian locations what not i could praise this movie write book moreover because it is 2013s one decent try bottom line i should not reveal much spoil broth because special 26 cannot be missed 100 recommended but if you are logic ridden cinema goer you may despise it except some dumb plot holes serious anachronisms it is good thriller but dont expect it anywhere near what wednesday was 10 10can be watched with typical indian family yeslanguage mediocre sex nudity no violence no smoking alcohol drugs no,0.6130621693121694,0.10281084656084653,Positive,"{'Happy': 0.05, 'Angry': 0.11, 'Surprise': 0.41, 'Sad': 0.22, 'Fear': 0.22}"
8.0,Special Neeraj Pandey's another special one.,"He did it again. Though budget was seven times than ""A Wednesday"" (first masterpiece directed by Neeraj Pandey ) still it wasn't much hyped one ( or may be i don't watch TV these days). I came to know about this notorious saga when one of my friend messaged me to watch it . Thanks to her!! Its being ages since I watched well crafted ingenious Bollywood thriller( recommended to get over with trauma of Race 2). And that to con classic is a really a treat. And what makes it more interesting is ""Based on real story"" factor (though definitely more fiction).The movie is set in late 80's (specifically 1987). For starting 10 minute never felt that its a con movie. Thought of some kind of vigilant drama. But then subtle revelation made it clear. Story moves with introduction of all characters. One thing which was perfect about the movie was the feel of 80's. Airports, roads, vehicles, hotels,places where people use to hide money, panoramic view of cities, clips of events from 80's, demeanor of characters (Pleat pants wore by Bajpai,simple sweaters even the watch wore by Akshay was 80's item). The perfectly executed raid scenes with money shelled out from imaginative places. Brilliant and unpredictable climax. All adding stars to this con epic.Only week points were repetition of some scenes which were unnecessary, lady love of Akshay Kumar as per Indian Rule book, boring songs.Good to see Akshay Kumar doing something good (small trivia Neeraj waited for this movie almost 3 years just because he wanted Akshay to play lead role and in return benign Akshay charged only half of his normal fees), Anupam Kher and Manoj Bajpai at their best. Others playing their part.Final verdict : Watch it for intelligent con thriller, horse and buggy Indian days and Stellar Akshay Kumar's performance.Rating : 8/10.",special neeraj pandeys another special one,he did it again though budget was seven times than wednesday first masterpiece directed by neeraj pandey still it wasnt much hyped one or may be i dont watch tv these days i came know about this notorious saga when one my friend messaged me watch it thanks her its being ages since i watched well crafted ingenious bollywood thriller recommended get over with trauma race 2 that con classic is really treat what makes it more interesting is based real story factor though definitely more fiction movie is set late 80s specifically 1987 starting 10 minute never felt that its con movie thought some kind vigilant drama but then subtle revelation made it clear story moves with introduction all characters one thing which was perfect about movie was feel 80s airports roads vehicles hotels places where people use hide money panoramic view cities clips events 80s demeanor characters pleat pants wore by bajpai simple sweaters even watch wore by akshay was 80s item perfectly executed raid scenes with money shelled out imaginative places brilliant unpredictable climax all adding stars this con epic only week points were repetition some scenes which were unnecessary lady love akshay kumar as per indian rule book boring songs good see akshay kumar doing something good small trivia neeraj waited this movie almost 3 years just because he wanted akshay play lead role return benign akshay charged only half his normal fees anupam kher manoj bajpai at their best others playing their part final verdict watch it intelligent con thriller horse buggy indian days stellar akshay kumars performance rating 8 10,0.5881578947368421,0.25563909774436094,Positive,"{'Happy': 0.18, 'Angry': 0.03, 'Surprise': 0.34, 'Sad': 0.18, 'Fear': 0.26}"
8.0,Intelligent Script With Best Performances,"After A Wednesday, Neeraj Pandey is back with an intelligent script on a true life incident against corruption. It is a story of con men who looted black money of politicians, bureaucrats and businessmen by posing either as CBI or income tax officials. Power of this flick lies in tight script with a last minute twist. This is a perfect answer to Ocean franchise, we can expect sequel as well. After a long time, Akki shows his acting talent in totally new avtaar. Anupam & Jimmy plays his role very well. Manoj is full of power & very well lifted his role. There is no need of female character in script. Loose Point: songs, as there is no need to waste 10-12 precious minutes. Best Dialogue: Asli Power dil me hoti h. Last Words: It is an intelligent movie with best performances. You would not regret watching.",intelligent script with best performances,after wednesday neeraj pandey is back with intelligent script true life incident against corruption it is story con men who looted black money politicians bureaucrats businessmen by posing either as cbi or income tax officials power this flick lies tight script with last minute twist this is perfect answer ocean franchise we can expect sequel as well after long time akki shows his acting talent totally new avtaar anupam jimmy plays his role very well manoj is full power very well lifted his role there is no need female character script loose point songs as there is no need waste 10 12 precious minutes best dialogue asli power dil me hoti h last words it is intelligent movie with best performances you would not regret watching,0.41490538447060193,0.3245305419218463,Positive,"{'Happy': 0.05, 'Angry': 0.25, 'Surprise': 0.35, 'Sad': 0.05, 'Fear': 0.3}"
9.0,worth watching more than once !,Finally 2013 has its first Awesome movie. Its been an year with all crappy movies so far. Special 26 steals the show easily.The characters and actors have been so well chosen. Each actor has got the perfect character. The casting could not have been better than this. The direction is superb. So is the Art Direction. The story does not lag anywhere. So its a superb story with some really good editing.Talking about actors -Akshay Kumar - comes out of his day to day roles of khiladi and joker stuff. This is serious cinema which makes him a complete actor.Anupam Kher - reminds everyone that he is still very much the same awesome actor as the one in 90s.Jimmy Sheirgill - chooses the right kind of role finally. He perfectly fits the role of SI Ranvir Singh and also fits well in the 1987 plot.Manoj Bajpai - as good as ever. Special 26 ka CBI inspector Waseem Khan is as good as Wasseypur ka Sardar Khan.Kavya - hardly any role for her. Shes in the movie for songs only.Divya Dutta - standard supportive role. does well.Others - very well done.Art direction for Delhi steals the show. the 1987 Delhi has been brought alive. details have been worked out well. 1987 Mumbai disappointed. I guess it was very tough to recreate that so the director and the VFX team chose the green screen. Thats the shoddiest part of the movie and hence i gave the 9/10 and not a full tenner.Verdict : The movie can definitely been seen more than once at a theater if you get the tickets. It is gonna be a houseful for some days.,worth watching more than once,finally 2013 has its first awesome movie its been year with all crappy movies so far special 26 steals show easily characters actors have been so well chosen each actor has got perfect character casting could not have been better than this direction is superb so is art direction story does not lag anywhere so its superb story with some really good editing talking about actors akshay kumar comes out his day day roles khiladi joker stuff this is serious cinema which makes him complete actor anupam kher reminds everyone that he is still very much same awesome actor as one 90s jimmy sheirgill chooses right kind role finally he perfectly fits role si ranvir singh also fits well 1987 plot manoj bajpai as good as ever special 26 ka cbi inspector waseem khan is as good as wasseypur ka sardar khan kavya hardly any role her shes movie songs only divya dutta standard supportive role does well others very well done art direction delhi steals show 1987 delhi has been brought alive details have been worked out well 1987 mumbai disappointed i guess it was very tough recreate that so director vfx team chose green screen thats shoddiest part movie hence i gave 9 10 not full tenner verdict movie can definitely been seen more than once at theater if you get tickets it is gonna be houseful some days,0.6479591836734695,0.3122222222222222,Positive,"{'Happy': 0.26, 'Angry': 0.02, 'Surprise': 0.3, 'Sad': 0.15, 'Fear': 0.26}"
9.0,Special and Epic,"Movie name says it all, its special for movie lovers, awesome story, perfect movie. Everyone gave their best, there are no OTT actions or cheap comedy, no unwanted songs, not a remake from south, original script from perfectionist Neeraj. Akshay Kumar made an u turn with this movie, he should choose more movies like this instead of comedies where he can show his real talent. Manoj and Anupam was awesome. Bolly should make more movies like this then soon Bolly will be compared with Hollywood. the climax of this movie will make u speechless, awesome twist at the climax. Neeraj is perfectionist, his debut A Wednesday was awesome, now he delivers Special 26, like A Wednesday we can watch Special 26 again and again and can say What A Special Movie This Was. One word for the movie EPIC",special epic,movie name says it all its special movie lovers awesome story perfect movie everyone gave their best there are no ott actions or cheap comedy no unwanted songs not remake south original script perfectionist neeraj akshay kumar made u turn with this movie he should choose more movies like this instead comedies where he can show his real talent manoj anupam was awesome bolly should make more movies like this then soon bolly will be compared with hollywood climax this movie will make u speechless awesome twist at climax neeraj is perfectionist his debut wednesday was awesome now he delivers special 26 like wednesday we can watch special 26 again again can say what special movie this was one word movie epic,0.6503968253968253,0.5533730158730159,Positive,"{'Happy': 0.0, 'Angry': 0.04, 'Surprise': 0.61, 'Sad': 0.22, 'Fear': 0.13}"
10.0,A Nutshell Review: Special Chabbis,"It's been almost seven years before writer-director Neeraj Pandey decided to go back to the director's chair for what would only be his second feature film to date after making his debut with A Wednesday. And Special Chabbis, or Special 26, is indeed that special project that would lure him back, being once again a film inspired by true events, around a time in the 80s where identities of the taxman, and the policeman, were utilized by thieves in their respective heists against corrupt businessmen and politicians whom they know would not breathe a word on the loss of their ill gotten gains.Akshay Kumar plays Ajay, whom we see as a Central Bureau of Investigations (CBI) officer, together P.K. Sharma (Anupam Kher), Joginder (Rajest Sharma) and Iqbal (Kishor Kadam) performing a raid in New Delhi together with local policeman Ranveer Singh (Jimmy Shergill) against a prominent minister. But soon this facade soon gives way that Ajay, Sharma, Joginder and Iqbal are none other than con men of the highest order - confident in execution, meticulous in detail, and able to cover their tracks really well in their many heists together. This is like Danny Ocean and his Ocean's Eleven, except that Ajay relies on a much smaller crew in their attempts to fleece, relying on quick wits to turn unexpected situations into opportunities of gain.The crux of the story, once we get out of the extended introduction, is the cat and mouse game between Ajay and his crew, and that of CBI officer Wasim Khan (Manoj Bajpayee) who is determined to track them down and bring them to justice for ruining and embarrassing the good name of CBI officers everywhere. And in part this key assistance comes from Ranveer who had been duped into helping Ajay and crew, and possibly being the only one who can help identify all the perpetrators, who have so far stayed below the radar after the completion of each heist.Neeraj Pandey knows just what it takes to make a heist film, utilizing key requisite scenes such as the planning, and execution, tossing in surprises along the way to keep things fresh and engaging for the audience, never for once knowing just how each attempt would play out, at times for light comedy, but most times in admiration just how an escape strategy got formulated, with audacity. What's best here is of course the true meaning behind the title's Special 26, where once it's fully explained, will wrap up the brilliance of the entire caper, which proved to be that ace up Pandey's sleeve, with a pace that never lets up, save for moments where he felt he had to balance the testosterone levels with the introduction of Kajal Aggarwal's character Priya, serving as token romantic fodder for Ajay.I felt Akshay Kumar was badly in need of a hit, and a film that didn't requite him to play the joker. His filmography in 2012 was rather weak throughout, and for a hardworking actor who appears in more than a handful of outputs, 2013 might be off to a great start for his fantastic performance here as the master thief and schemer who is into his final lap, so that he can retire with his lady love and ride off into the sunset. It's not the first time Akshay's playing a thief, but it's clearly one of his best roles in recent years. And added to that is Anupam Kher's ever reliable performance in a supporting role, as the one amongst the gang who has the most to lose, given a large family to support, and the one who gets put in a spot to decide whether he should give in to the law, or stick by Ajay and his grand plan.Special Chabbis / Special 26 is that crime caper that's all smart and serious, but never without a light touch when the situation calls for one. Perhaps the only weak points here were the song-and-dance interludes that felt forced and necessary, but would have done heaps better without these pauses in the narrative, mostly for romance to take place, and to flesh out more depth to the Ajay character. But in all honesty, it's the audacity of the crime that's being committed that we're here for, and to see just how, in true Ocean's Eleven style, these robbers get to wriggle their way out of trouble. Recommended!",nutshell review special chabbis,its been almost seven years before writer director neeraj pandey decided go back directors chair what would only be his second feature film date after making his debut with wednesday special chabbis or special 26 is indeed that special project that would lure him back being once again film inspired by true events around time 80s where identities taxman policeman were utilized by thieves their respective heists against corrupt businessmen politicians whom they know would not breathe word loss their ill gotten gains akshay kumar plays ajay whom we see as central bureau investigations cbi officer together p k sharma anupam kher joginder rajest sharma iqbal kishor kadam performing raid new delhi together with local policeman ranveer singh jimmy shergill against prominent minister but soon this facade soon gives way that ajay sharma joginder iqbal are none other than con men highest order confident execution meticulous detail able cover their tracks really well their many heists together this is like danny ocean his oceans eleven except that ajay relies much smaller crew their attempts fleece relying quick wits turn unexpected situations into opportunities gain crux story once we get out extended introduction is cat mouse game between ajay his crew that cbi officer wasim khan manoj bajpayee who is determined track them down bring them justice ruining embarrassing good name cbi officers everywhere part this key assistance comes ranveer who had been duped into helping ajay crew possibly being only one who can help identify all perpetrators who have so far stayed below radar after completion each heist neeraj pandey knows just what it takes make heist film utilizing key requisite scenes such as planning execution tossing surprises along way keep things fresh engaging audience never once knowing just how each attempt would play out at times light comedy but most times admiration just how escape strategy got formulated with audacity whats best here is course true meaning behind titles special 26 where once its fully explained will wrap up brilliance entire caper which proved be that ace up pandeys sleeve with pace that never lets up save moments where he felt he had balance testosterone levels with introduction kajal aggarwals character priya serving as token romantic fodder ajay i felt akshay kumar was badly need hit film that didnt requite him play joker his filmography 2012 was rather weak throughout hardworking actor who appears more than handful outputs 2013 might be off great start his fantastic performance here as master thief schemer who is into his final lap so that he can retire with his lady love ride off into sunset its not first time akshays playing thief but its clearly one his best roles recent years added that is anupam khers ever reliable performance supporting role as one amongst gang who has most lose given large family support one who gets put spot decide whether he should give law or stick by ajay his grand plan special chabbis special 26 is that crime caper thats all smart serious but never without light touch when situation calls one perhaps only weak points here were song dance interludes that felt forced necessary but would have done heaps better without these pauses narrative mostly romance take place flesh out more depth ajay character but all honesty its audacity crime thats being committed that were here see just how true oceans eleven style these robbers get wriggle their way out trouble recommended,0.5780999478916146,0.1681858265191598,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.27, 'Sad': 0.2, 'Fear': 0.4}"
10.0,A mind boggling thriller by man who made a ordinary day SPECIAL as A Wednesday,"You don't need almost 832 twists in a script to make it look slick and classical thriller. Neeraj Pandey proved it with Special 26. AND one more thing : All PANDEYz of bollywood please stay aside as this PANDEY is something extraordinary with his hand on script and direction. lets move back to film. film starts with a bang (Heist) which stuns you more because of body language of characters and the direction (ofcourse background score should get the praise too) film moves to some rom-com plot suddenly but without making you bore. First half was good but when the second half starts it takes it to another level. beyond our imagination and a amazing climax leaves you thrilled. film keeps you on the edge of seat throughout the 2 and half hour. astonishing sets,superb background score,tight script,marvelous performance and NEERAJ PANDEY. lets say the later NAME is enough to make you expect the unexpected. lets have a look to the performances : Manoj Bajpayee is amazing. one more time he gave his BEST and i don't think its necessary to say he is one of the most talented actor bollywood ever have. Anupam kher is also awesome with all his body language and dialogue delivery stuff. BUT this man AKSHAY was the show stealer. He did something out of the box and did it so brilliantly that you will remember him as his character name AJJU more than akshay. A film not to miss this weekend. All the abusive words got silenced and its a clean family entertainer with all the element to entertain and thrill you. missing such a cinematic experience will be a crime for a movie buff and bollywood lover. Rating : ALL THE STAR IN SKY",mind boggling thriller by man who made ordinary day special as wednesday,you dont need almost 832 twists script make it look slick classical thriller neeraj pandey proved it with special 26 one more thing all pandeyz bollywood please stay aside as this pandey is something extraordinary with his hand script direction lets move back film film starts with bang heist which stuns you more because body language characters direction ofcourse background score should get praise too film moves some rom com plot suddenly but without making you bore first half was good but when second half starts it takes it another level beyond our imagination amazing climax leaves you thrilled film keeps you edge seat throughout 2 half hour astonishing sets superb background score tight script marvelous performance neeraj pandey lets say later name is enough make you expect unexpected lets have look performances manoj bajpayee is amazing one more time he gave his best i dont think its necessary say he is one most talented actor bollywood ever have anupam kher is also awesome with all his body language dialogue delivery stuff but this man akshay was show stealer he did something out box did it so brilliantly that you will remember him as his character name ajju more than akshay film not miss this weekend all abusive words got silenced its clean family entertainer with all element entertain thrill you missing such cinematic experience will be crime movie buff bollywood lover rating all star sky,0.5364974937343359,0.3022556390977444,Positive,"{'Happy': 0.11, 'Angry': 0.09, 'Surprise': 0.42, 'Sad': 0.23, 'Fear': 0.16}"
10.0,Very Special Chabbis......,"An amazing movie with a very good twist in both the starting and the climax part. All actors have performed well and the movie is worth watching. The amazing weekend blockbuster starring Akshay Kumar, Kajal Aggarwal and supporting actors Manoj Bajpay, Anupam Kher and Jimmy Shergill. This movie marks the comeback of the greatest action star Akshay Kumar in his amazing comic role + serious role. This movie depicts four characters who looted the money of rich people like ministers and jewelery shop owners who were corrupt by claiming themselves to be CBI and in other case as Income Tax Dept. This issue is shown in the movie which refers to actual occurrence of such robberies in the 1980's in India.",very special chabbis,amazing movie with very good twist both starting climax part all actors have performed well movie is worth watching amazing weekend blockbuster starring akshay kumar kajal aggarwal supporting actors manoj bajpay anupam kher jimmy shergill this movie marks comeback greatest action star akshay kumar his amazing comic role serious role this movie depicts four characters who looted money rich people like ministers jewelery shop owners who were corrupt by claiming themselves be cbi other case as income tax dept this issue is shown movie which refers actual occurrence such robberies 1980s india,0.568501400560224,0.26417366946778714,Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.46, 'Sad': 0.08, 'Fear': 0.38}"
