Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2.0,You'll know why Keanu turned down this crummy sequel when you see it,"I was so curious as to what they would do in the sequel of Speed, I just watched Speed today and absolutely loved it! So, I can understand why Keanu turned down the movie, first off not only the script was bad, but the coincidences were beyond ridiculous of Sandra Bullock being in the same position twice and Jason Patrick?! He was so scared of doing a great movie like The Lost Boys, but yet he couldn't hesitate to do this movie? The movie just lost it's course and didn't work on any level, if it had different characters, maybe, but these great actors should know better and check twice before signing onto these sequels.Annie is with this new policeman, Alex, and he surprises her with cruise tickets. He is planning on asking her to marry him, but that is shortly interrupted when Willaim Defoe is now the super duper bad guy. He is upset that he designed the ships computer system but gets no credit, so guess what? He decides the best way to avenge this is to blow it up! But with Alex on board... yup... you guessed it, he's gonna stop William and save the day! Good for him! Speed 2: Cruise Control was just a money maker that is truly a fake movie that was really sad. The acting was really bad and Sandra's character went from admirable to just plain annoying. Alex had no character or any sympathy. The explosions were lame and the plot was just beyond unbelievable, poor William, he was probably on medication when he said yes to making this movie. Well, just please stay away from this movie, it'll be a waste of your time.2/10",youll know why keanu turned down this crummy sequel when you see it,i was so curious as what they would do sequel speed i just watched speed today absolutely loved it so i can understand why keanu turned down movie first off not only script was bad but coincidences were beyond ridiculous sandra bullock being same position twice jason patrick he was so scared doing great movie like lost boys but yet he couldnt hesitate do this movie movie just lost its course didnt work any level if it had different characters maybe but these great actors should know better check twice before signing onto these sequels annie is with this new policeman alex he surprises her with cruise tickets he is planning asking her marry him but that is shortly interrupted when willaim defoe is now super duper bad guy he is upset that he designed ships computer system but gets no credit so guess what he decides best way avenge this is blow it up but with alex board yup you guessed it hes gonna stop william save day good him speed 2 cruise control was just money maker that is truly fake movie that was really sad acting was really bad sandras character went admirable just plain annoying alex had no character or any sympathy explosions were lame plot was just beyond unbelievable poor william he was probably medication when he said yes making this movie well just please stay away this movie itll be waste your time 2 10,0.59877469274021,-0.03410459272528235,Negative,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.25, 'Fear': 0.32}"
3.0,Speed 2: Snooze control,"Now I liked Sandra Bullock in the original Speed. I even liked her in that film where she went into a beauty pageant. But in this monstrosity, I just wanted to slap her repeatedly and say ""What are you doing!?""She is just dire. Not in acting (well... any more than usual, anyway) but just in the way her character made you want to shake her until she regained some sense. Whoever was responsible for the script needs a good beating here. Unless I am completely mistaken, her character between the events of the first film and this one, turned into a complete and total airhead bimbo.Add in Jason Patric (who will never be leading man material) and it seems that only Willem Dafoe was having any fun. Truly awful!But it is good to see that ocean liners, which may have to weather tropical storms, apparently have windows made of glass so easy to break that anyone can hurl themselves through them on a whim. Priceless cinema.Avoid this one if you liked the original.Avoid this one if you expect a thrilling sea drama.Avoid this one if you like Sandra Bullock.Avoid this one if....well....just avoid it.",speed 2 snooze control,now i liked sandra bullock original speed i even liked her that film where she went into beauty pageant but this monstrosity i just wanted slap her repeatedly say what are you doing she is just dire not acting well any more than usual anyway but just way her character made you want shake her until she regained some sense whoever was responsible script needs good beating here unless i am completely mistaken her character between events first film this one turned into complete total airhead bimbo add jason patric who will never be leading man material it seems that only willem dafoe was having any fun truly awful but it is good see that ocean liners which may have weather tropical storms apparently have windows made glass so easy break that anyone can hurl themselves through them whim priceless cinema avoid this one if you liked original avoid this one if you expect thrilling sea drama avoid this one if you like sandra bullock avoid this one if well just avoid it,0.6212121212121212,0.26742424242424245,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.2, 'Fear': 0.28}"
,Made worse by the knowledge of the brilliant film it succeeds,"Having long since broken things off with her boyfriend, Annie and her new beau plan a romantic holiday on an ocean liner. When onboard a disgruntled ex-employee of the liner disables the computer controls and sets it on a collision course while he escapes with his goods. Alex has to take him on and try to stop the ship as it `races' out of control.As if Twister hadn't done it already, Speed 2 basically showed us that the potential that was shown by De Bont's debut was clearly misplaced and he has yet to show he was really anything other than in the right place at the right time when it came to Speed. The smell of desperation is in the air from the very start when Reeves declined to star, although Bullock was more desperate and did it. This caused Annie to repeatedly state that `relationships built on etc etc never work out', all in an effort to explain it away and help the audience move on. That the film is constantly harking back to a much better film is a big problem, it would almost have been smarter just to move totally away than to retread.The plot is plain silly and never gets close to being involving. To demonstrate this, I never once gave a rats' ass what was happening - people got crushed by the boat and mangled in it's propellers (unseen) but the film (or me) never care and never lingers. Likewise the supposed big climax is unengaging and smacks of desperation - bang for buck and all that. The whole set up never really feels immediate or threatening, even when the boat swings out of control it is difficult to feel terrified as the boat slooooowly goes towards the tanker, worst come to worst people can jump off to safety. The cruiser setting also is daft when seen beside the bus concept - the vast majority of the audience will ride a bus quite often, very few of us can relate to an ocean liner! The speed is a problem and it is almost laughable it works so poorly!The cast is another problem. Bullock tries to repeat her sparky performance from the first film - when she manages it, it only feels like an impression, when she doesn't manage it she is cast as a shrieking beauty needing saving. However she also struggles from a lack of chemistry with Patric. It is a shame as he is an OK actor but not used to a pure action role and not used to not having material to work with. He lacks charisma and is quite unconvincing. Dafoe is awful; he drags the film down as much as anyone. His villain is a joke and never threatens in the way that Hopper's did (who managed to be funny and scary). It is a bad impression all round. The support cast of `innocents in peril' do much the same as the ones on the bus did, but we care less about them - they are well off and are separated from the action; those on the bus were in the thick of it and `normal' people who we could relate to.Overall this is as good a reason for not making unplanned sequels as any - there should be a board to approve all sequels to prevent cashing in! The memory of the original is cheapen by this nasty film that is uninspiring and unthrilling at best, dull and stupid at worst. De Bont never gets up a decent head of steam and he shows his inability to inject drama out of his own skill - anyone can point a camera, not everyone can (or should) direct. A dull 2 hours later, I was wondering why I wasted my time with a film that was so clearly all at sea.",made worse by knowledge brilliant film it succeeds,having long since broken things off with her boyfriend annie her new beau plan romantic holiday ocean liner when onboard disgruntled ex employee liner disables computer controls sets it collision course while he escapes with his goods alex has take him try stop ship as it races out control as if twister hadnt done it already speed 2 basically showed us that potential that was shown by de bonts debut was clearly misplaced he has yet show he was really anything other than right place at right time when it came speed smell desperation is air very start when reeves declined star although bullock was more desperate did it this caused annie repeatedly state that relationships built etc etc never work out all effort explain it away help audience move that film is constantly harking back much better film is big problem it would almost have been smarter just move totally away than retread plot is plain silly never gets close being involving demonstrate this i never once gave rats ass what was happening people got crushed by boat mangled its propellers unseen but film or me never care never lingers likewise supposed big climax is unengaging smacks desperation bang buck all that whole set up never really feels immediate or threatening even when boat swings out control it is difficult feel terrified as boat slooooowly goes towards tanker worst come worst people can jump off safety cruiser setting also is daft when seen beside bus concept vast majority audience will ride bus quite often very few us can relate ocean liner speed is problem it is almost laughable it works so poorly cast is another problem bullock tries repeat her sparky performance first film when she manages it it only feels like impression when she doesnt manage it she is cast as shrieking beauty needing saving however she also struggles lack chemistry with patric it is shame as he is ok actor but not used pure action role not used not having material work with he lacks charisma is quite unconvincing dafoe is awful he drags film down as much as anyone his villain is joke never threatens way that hoppers did who managed be funny scary it is bad impression all round support cast innocents peril do much same as ones bus did but we care less about them they are well off are separated action those bus were thick it normal people who we could relate overall this is as good reason not making unplanned sequels as any there should be board approve all sequels prevent cashing memory original is cheapen by this nasty film that is uninspiring unthrilling at best dull stupid at worst de bont never gets up decent head steam he shows his inability inject drama out his own skill anyone can point camera not everyone can or should direct dull 2 hours later i was wondering why i wasted my time with film that was so clearly all at sea,0.5095883201765554,-0.06678083354553944,Negative,"{'Happy': 0.1, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.15, 'Fear': 0.5}"
3.0,"This is all you get when you spend $120,000,000 to make a film?!","""Speed"" was a surprise hit movie. While it cost about $30,000,000 to make, it made back more than four times the cost. So, some Hollywood executives (with a collective IQ similar to that of a gerbil) thought...'if we do a sequel, we must spend $120,000,000 on it because THAT is why the first movie was such a success'. Not surprisingly, the movie tanked and it somehow has made it to IMDB's infamous Bottom 100 list--the 100 worst ranked major releases of all time.In the original, Keanu Reeves and Sandra Bullock work to prevent a bus from exploding and killing folks. Now, because this is an overbloated sequel, they've placed the story aboard a cruise ship...which is also out of control and will kill everyone unless our heroes save it....though this time Reeves refused to reprise his role. So, they cast the rather bland Jason Patric in the lead...who offered little improvement other than he was very good at using sign language in one small scene.How bad is this film? Well, not bad enough to be on the Bottom 100 list. So why is it on the list? After loving the first film, so many folks expected more of the same...and got nothing but a dull overblown action picture with little in the way to interest viewers....and I think THAT is why it made the list....because it disappointed so badly. Instead, I wish IMDB had a list for films with the worst ratio of cost to enjoyability of the film...in which case ""Speed 2"" would easily make the top 100.By the way, this sequel ended up spending nearly as much for ONE crash scene as the budget for all of ""Speed""! And, after paying $11,500,000 just to obtain Sandra Bullock for this film, you can only assume that the film simply had nothing left to pay competent writers. Instead, I assume, they hired some penguins to write the script....some very, very dull and untalented penguins!",this is all you get when you spend 120 000 000 make film,speed was surprise hit movie while it cost about 30 000 000 make it made back more than four times cost so some hollywood executives with collective iq similar that gerbil thought if we do sequel we must spend 120 000 000 it because that is why first movie was such success not surprisingly movie tanked it somehow has made it imdbs infamous bottom 100 list 100 worst ranked major releases all time original keanu reeves sandra bullock work prevent bus exploding killing folks now because this is overbloated sequel theyve placed story aboard cruise ship which is also out control will kill everyone unless our heroes save it though this time reeves refused reprise his role so they cast rather bland jason patric lead who offered little improvement other than he was very good at using sign language one small scene how bad is this film well not bad enough be bottom 100 list so why is it list after loving first film so many folks expected more same got nothing but dull overblown action picture with little way interest viewers i think that is why it made list because it disappointed so badly instead i wish imdb had list films with worst ratio cost enjoyability film which case speed 2 would easily make top 100 by way this sequel ended up spending nearly as much one crash scene as budget all speed after paying 11 500 000 just obtain sandra bullock this film you can only assume that film simply had nothing left pay competent writers instead i assume they hired some penguins write script some very very dull untalented penguins,0.5317216117216116,-0.009145299145299135,Negative,"{'Happy': 0.1, 'Angry': 0.02, 'Surprise': 0.25, 'Sad': 0.35, 'Fear': 0.27}"
,"slower, poorer...","The enormous success of ""Speed"" in 1994 could only create a (poor) sequel. The less we can say is that the scriptwriters have got a great narrow-mindedness. Here, the bus was replaced by a cruise ship and the movie doesn't work, partly due to this: a cruise ship can't go as fast as a bus even if it's trapped.Then, Keanu Reeves' absence can terribly be felt. His replacement is so colorless and listless that Sandra Bullock almost steals the show from him. Moreover, as a rule, ""Speed2: cruise control"" is supposed to be a suspense film. Well, in this case, where's the suspense? The filmmaker doesn't succeed in creating the suspense and he even can't create a disturbing atmosphere. The end of the movie falls into the ridiculous when the ship is entering the dock and destroys everything in its path.At the end: one of the worst sequels ever made.",slower poorer,enormous success speed 1994 could only create poor sequel less we can say is that scriptwriters have got great narrow mindedness here bus was replaced by cruise ship movie doesnt work partly due this cruise ship cant go as fast as bus even if its trapped then keanu reeves absence can terribly be felt his replacement is so colorless listless that sandra bullock almost steals show him moreover as rule speed2 cruise control is supposed be suspense film well this case wheres suspense filmmaker doesnt succeed creating suspense he even cant create disturbing atmosphere end movie falls into ridiculous when ship is entering dock destroys everything its path at end one worst sequels ever made,0.5661111111111111,-0.17583333333333334,Negative,"{'Happy': 0.07, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.33, 'Fear': 0.33}"
3.0,"Everyone to the lifeboats! Women, children and paying moviegoers first.","Let the screenwriters and director go down with the ship I say. As the sun sets slowly in the West, Speed 2: Cruise Control sinks without a trace. The sequel to 1995's surprise drive-a-bus hit has barely caused a ripple at the box office. The threadbare script is mostly to blame. It consists almost entirely of simplistic, exclamation-point dialogue like, ""We're gonna crash!"" ""We're going too fast!"" ""Do something!"" ""This isn't happening!"" ""We gotta get him outta here!"" ""There's not much time left!"" and the ever useful, ""Oh, s**t!""There is, indeed, not much time left for characterization or interpersonal drama. Speed 2 gets off to a winky-dinky start with Sandra Bullock taking yet another disastrous driving test. Bullock's natural charm can go only so far, however, and you keep wanting to throw her a life preserver or a new script. As people drop dead around her, she must continue to whine about the ruination of her vacation. Bullock doesn't get a lot of help from blandish co-star Jason Patric, who plays her cop boyfriend. The nasty, computer-literate villain, who likes to attach blood-sucking leeches to his body, is certainly quirky. Willem Dafoe, who's pretty quirky himself, does what he can with the overriding vagaries of his character's mad-bomber motivation. The action bits are fairly frequent, but seem anemic when compared to what else is available to fans of such. Director Jan De Bont fared much better in 1996 with the flying cows and funnel clouds of Twister. Speed 2 ends up with some highly anticipated destruction as the cruise ship plows into the island of St. Martin. No matter, as I hear the whole thing was computer-generated anyway. This cruise is no carnival, and could have used a cameo by Kathie Lee. Would loved to have seen Dafoe slap her around a bit.",everyone lifeboats women children paying moviegoers first,let screenwriters director go down with ship i say as sun sets slowly west speed 2 cruise control sinks without trace sequel 1995s surprise drive bus hit has barely caused ripple at box office threadbare script is mostly blame it consists almost entirely simplistic exclamation point dialogue like were gonna crash were going too fast do something this isnt happening we gotta get him outta here theres not much time left ever useful oh s t there is indeed not much time left characterization or interpersonal drama speed 2 gets off winky dinky start with sandra bullock taking yet another disastrous driving test bullocks natural charm can go only so far however you keep wanting throw her life preserver or new script as people drop dead around her she must continue whine about ruination her vacation bullock doesnt get lot help blandish co star jason patric who plays her cop boyfriend nasty computer literate villain who likes attach blood sucking leeches his body is certainly quirky willem dafoe whos pretty quirky himself does what he can with overriding vagaries his characters mad bomber motivation action bits are fairly frequent but seem anemic when compared what else is available fans such director jan de bont fared much better 1996 with flying cows funnel clouds twister speed 2 ends up with some highly anticipated destruction as cruise ship plows into island st martin no matter as i hear whole thing was computer generated anyway this cruise is no carnival could have used cameo by kathie lee would loved have seen dafoe slap her around bit,0.49114898989899,0.008306502525252528,Positive,"{'Happy': 0.11, 'Angry': 0.04, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.35}"
1.0,A MISERABLE EXPERIENCE....,"After seeing THE best action movie ever (Speed) I went to this expecting more of the same awesome action.Instead I was physically sea sick! Sat through the entire thing feeling like I was at sea in a teacup (in the middle of a cyclone), made worse by the terrible acting (even Temuera Morrison wasn't up to par in this) and lame 'action scenes'. The baddie wasn't bad enough, his reasons for hijacking the ship was just plain dumb, and Keanu Reeves, where the heck was he? This whole flick was over-the-top-bad, trying waaaaay too hard to equal Speed One. But putting all the action on a cruise ship - a SMALL cruise ship at that? There was twice as much action in the elevator scene at the beginning of Speed One!I found the gigantic tanker explosion, the ship crashing through the dock at the end TOO long and boring. By this time, however, the sea sickness had subsided (probably because the ship had already landed!) The ending would've been easier to bare if the characters hadn't said such dumb cliches.... I think I should've stayed at home....",miserable experience,after seeing best action movie ever speed i went this expecting more same awesome action instead i was physically sea sick sat through entire thing feeling like i was at sea teacup middle cyclone made worse by terrible acting even temuera morrison wasnt up par this lame action scenes baddie wasnt bad enough his reasons hijacking ship was just plain dumb keanu reeves where heck was he this whole flick was over top bad trying waaaaay too hard equal speed one but putting all action cruise ship small cruise ship at that there was twice as much action elevator scene at beginning speed one i found gigantic tanker explosion ship crashing through dock at end too long boring by this time however sea sickness had subsided probably because ship had already landed ending wouldve been easier bare if characters hadnt said such dumb cliches i think i shouldve stayed at home,0.4449134199134199,-0.11576479076479074,Negative,"{'Happy': 0.03, 'Angry': 0.05, 'Surprise': 0.23, 'Sad': 0.28, 'Fear': 0.41}"
2.0,Speed 2 Lost Control,"Nah, it just isn't worth watching, or renting, why? Well let's just say it didn't live up to the first one. It wasn't very fast paced, or exciting, it was very predictable. And it's mostly them on the boat, trying to get everyone out, because it is out of control. It lost most of the elements the first one had. It didn't have the 'speed' theme, it was mostly a boat out of control, how? Someone just hacked it, and there it went, it wasn't on the threat of terrorists, there wasn't the threat of a bomb explosion, and it wasn't even sinking. Where's the excitement? The movie doesn't even deserve to be called 'Speed' because there was nothing about 'speed' in it, sure it had Sandra Bullock in it, but Keanu Reeves was missing in it. If you want to see a film about a boat out of control, just watch Titanic.",speed 2 lost control,nah it just isnt worth watching or renting why well lets just say it didnt live up first one it wasnt very fast paced or exciting it was very predictable its mostly them boat trying get everyone out because it is out control it lost most elements first one had it didnt have speed theme it was mostly boat out control how someone just hacked it there it went it wasnt threat terrorists there wasnt threat bomb explosion it wasnt even sinking wheres excitement movie doesnt even deserve be called speed because there was nothing about speed it sure it had sandra bullock it but keanu reeves was missing it if you want see film about boat out control just watch titanic,0.4946296296296296,0.253030303030303,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.37, 'Sad': 0.32, 'Fear': 0.32}"
1.0,Speed 2: Cruise Control,"Sad sequel to the early 90's hit with Bullock and Patrick playing a vacationing couple who save the day when a madman (overbearing and overacting Willem Dafoe) commandeers their cruise ship. Director Jan DeBont still pours energy into the effects, but the story and performances lack that polish and care.",speed 2 cruise control,sad sequel early 90s hit with bullock patrick playing vacationing couple who save day when madman overbearing overacting willem dafoe commandeers their cruise ship director jan debont still pours energy into effects but story performances lack that polish care,0.65,-0.2,Negative,"{'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.17}"
6.0,Not a bad movie.,"I hear a lot of people say that this is a bad movie. I honestly don't think it's that bad. Alright alright, Dennis Hopper in the first movie was just the right type of villain, the kind you really hate, Willem Dafoe is certainly a great villain too. His facial expressions are just great and typical for a villain, he's just so creepy.If you're looking for that once-in-a-decade A+ masterpiece, this movie is not for you. But if you're looking for a movie to watch when there's nothing on TV, then this is a great choice. Obviously it's not greatest movie ever made, but I've seen much worse.I'd give it a rating of 60%, or 6/10",not bad movie,i hear lot people say that this is bad movie i honestly dont think its that bad alright alright dennis hopper first movie was just right type villain kind you really hate willem dafoe is certainly great villain too his facial expressions are just great typical villain hes just so creepy if youre looking that once decade masterpiece this movie is not you but if youre looking movie watch when theres nothing tv then this is great choice obviously its not greatest movie ever made but ive seen much worse id give it rating 60 or 6 10,0.6717086834733894,0.04229691876750702,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.17}"
