Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
2.0,"A unimaginative, pointless, cheap family film","Hopes were not high coming into Spy Kids: All the Time in the World. It is the fourth film in a franchise suffering from diminishing returns, plus it was using the stupid idea of smell-o-vision. And this family film does not disappoint.Marissa Wilson (Jessica Alba) is a top OSS spy who retires after capturing a super villain, Tik Tok, and starts a family with her husband Wilbur (Joel McHale) and stepchildren Rebecca (Rowan Blanchard) and Cecil (Mason Cook). A year later a new villain has emerged, the Time Keeper, who speeds up time using the Armageddon Device to punish humanity for wasting time. Marissa is called back by the OSS director, Danger D'Amo (Jeremy Piven), to recapture Tik Tok which should lead them to the Time Keeper. But the Time Keeper sets out to kidnap Rebecca and Cecil because Rebecca has the only thing that could stop the Armageddon Device.There are many problems with Spy Kids: All the Time in the World. It's a cheap and unimaginative film where you could easily predict how they would play out. We have seen these story elements so many times before: the dad is a workaholic; there is animosity between step-mum and step-daughter as the step-mum tries to get closer to the children; the revelation of a lie, and so many others. The humour is crude, mostly poo, fart and vomit gags, basically the lowest common denominator which most children will easily outgrow. The other major route of humour is the barrage of puns: time puns, dog puns and smell puns – we're not stupid! The action is rudimentary; it is easy to expect much better from Robert Rodriguez who just uses poor CGI and quick cuts. And if you can't guess who the Time Keeper really is then you haven't seen enough movies. Spy Kids: All the Time in the World feels like it is a movie that is only made for a quick buck, not for any love of the material or the need to tell a good story.A movie aimed at children should be able to enliven their imaginations: Spy Kids: All the Time in the World is not going to do that. The artificial CGI scenes just look too fake for children to accept and buy into the action and the basic predictable plot will mean that children will not love it. Adults and parents will feel nothing but suffering when watching this movie. This is just a mindless movie with no imagination, which is ironic considering it makes a point that children make better spies because they have more imagination. Children are smart; they ask questions, see plot holes and come up with ideas involving sci-fi concepts. The best family and children's movies are clever, well-plotted affairs and often have good ideas behind them. Spy Kids: All the Time in the World does not share those traits. Plus this movie carries on the awful trend of spies with babies not working.Most of the acting is sub-par. The child leads are bland and not natural actors; it's your typical weak-child acting, and they are no Chloe Mortez or Kodi Smit-McPhee. McHale was truly unconvincing as the father and again a typical bad performance in a bad family movie. Alba was a punch bag for gags to be bounded off on. Ricky Gervais seemed to be having fun, but I'm sure that's because he got a paycheck for saying bad lines in a recording studio. Piven is much the same, having fun and just being over the top.As movie fans we expect better from Rodriguez, who's done great movies like Sin City, From Dusk to Dawn and the ""Mexico"" Trilogy. Let's hope he is doing this movie so we can finally get Sin City 2.And I am sure you are asking the big question – what was the Scratch-and-Sniff card like? It was just a bunch of sickly sweet smells and simply just a gimmick. But you already knew that.",unimaginative pointless cheap family film,hopes were not high coming into spy kids all time world it is fourth film franchise suffering diminishing returns plus it was using stupid idea smell o vision this family film does not disappoint marissa wilson jessica alba is top oss spy who retires after capturing super villain tik tok starts family with her husband wilbur joel mchale stepchildren rebecca rowan blanchard cecil mason cook year later new villain has emerged time keeper who speeds up time using armageddon device punish humanity wasting time marissa is called back by oss director danger damo jeremy piven recapture tik tok which should lead them time keeper but time keeper sets out kidnap rebecca cecil because rebecca has only thing that could stop armageddon device there are many problems with spy kids all time world its cheap unimaginative film where you could easily predict how they would play out we have seen these story elements so many times before dad is workaholic there is animosity between step mum step daughter as step mum tries get closer children revelation lie so many others humour is crude mostly poo fart vomit gags basically lowest common denominator which most children will easily outgrow other major route humour is barrage puns time puns dog puns smell puns were not stupid action is rudimentary it is easy expect much better robert rodriguez who just uses poor cgi quick cuts if you cant guess who time keeper really is then you havent seen enough movies spy kids all time world feels like it is movie that is only made quick buck not any love material or need tell good story movie aimed at children should be able enliven their imaginations spy kids all time world is not going do that artificial cgi scenes just look too fake children accept buy into action basic predictable plot will mean that children will not love it adults parents will feel nothing but suffering when watching this movie this is just mindless movie with no imagination which is ironic considering it makes point that children make better spies because they have more imagination children are smart they ask questions see plot holes come up with ideas involving sci fi concepts best family childrens movies are clever well plotted affairs often have good ideas behind them spy kids all time world does not share those traits plus this movie carries awful trend spies with babies not working most acting is sub par child leads are bland not natural actors its your typical weak child acting they are no chloe mortez or kodi smit mcphee mchale was truly unconvincing as father again typical bad performance bad family movie alba was punch bag gags be bounded off ricky gervais seemed be having fun but im sure thats because he got paycheck saying bad lines recording studio piven is much same having fun just being over top as movie fans we expect better rodriguez whos done great movies like sin city dusk dawn mexico trilogy lets hope he is doing this movie so we can finally get sin city 2 i am sure you are asking big question what was scratch sniff card like it was just bunch sickly sweet smells simply just gimmick but you already knew that,0.5580280073461891,0.09853657165345477,Positive,"{'Happy': 0.15, 'Angry': 0.02, 'Surprise': 0.26, 'Sad': 0.2, 'Fear': 0.37}"
6.0,I rate this film as a parent who took his kids...,"...Took the family (5 year old son, 2.5 year old daughter) to see Sky Kids 4 today..Speaking as an adult who saw all 3 of the original SPY KIDS movies in the theatre, this is easily the worst of the series. Joel Mchale (who i have actually become a fan of based off his THE SOUP and COMMUNITY work), Alexa Vega and Daryl Sabara give some incredibly bad performances. Embarrassingly-so. Jessica Alba does what Jessica Alba does (thank the Gods she's cute and met Robert Rodriguez), and Jeremy Piven....actually i liked Piven. His character had an interesting story- arc, and he gives a solid performance.Some of Ricky Gervais' one-liners were funny, too.The rest of the film was pretty unbearable. However, speaking as a parent who was out hoping to show his kids a good time, i actually have to give this movie a solid rating. My 2 kids enjoyed the heck out of it, from the talking dog to the baby decking a bad guy, the kids loved it. And my son had a lot of fun keeping track of when to engage the AROMASCOPE scratch card. A nice film for younger families, i think.",i rate this film as parent who took his kids,took family 5 year old son 2 5 year old daughter see sky kids 4 today speaking as adult who saw all 3 original spy kids movies theatre this is easily worst series joel mchale who i have actually become fan based off his soup community work alexa vega daryl sabara give some incredibly bad performances embarrassingly so jessica alba does what jessica alba does thank gods shes cute met robert rodriguez jeremy piven actually i liked piven his character had interesting story arc he gives solid performance some ricky gervais one liners were funny too rest film was pretty unbearable however speaking as parent who was out hoping show his kids good time i actually have give this movie solid rating my 2 kids enjoyed heck out it talking dog baby decking bad guy kids loved it my son had lot fun keeping track when engage aromascope scratch card nice film younger families i think,0.5356060606060605,0.14431818181818182,Positive,"{'Happy': 0.32, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.11, 'Fear': 0.32}"
1.0,"The worst of the series, and one of the worst movies so far this year","I thoroughly enjoyed the first two Spy Kids films, they were fun, entertaining and ideal family films. Spy Kids 3 was rather mediocre and disappointing, but any horrible assets that film had was nothing compared to this.When I entered the theatre to watch this, yes I wanted to see it despite the trailer not looking that good, I thought if it is bad surely it can't be as bad as The Adventures of Sharkboy and LavaGirl. I was wrong, as awful as that film was Spy Kids 4 takes the cake as Rodriguez's worst film.The film for starters looks cheap. The camera work at best is odd, and the effects lack clarity. The gadgets looked cool from the outset but once the nappy bombs for instance are introduced they lose their appeal very quickly.I didn't think much of the soundtrack either. I found it rather generic here rather than jaunty and memorable. And Rodriguez's direction is his most unfocused and inept directing job in my opinion of his career.The script is awful, relying far too much on tired slapstick and heavy-handed messaging, while the story is rushed and much too thin for the film's running time and the action is dull and not helped by the haphazard editing.Acting-wise, this film is disappointing. It was nice to be Daryl Sabarra and Alexa Vega here but other than the basic concept of the movie, them and Rodriguez, there seemed to be no connection to its predecessors. The new kids do what they can, but they aren't as confident or as appealing.Jeremy Piven does give his all into a very underwritten and uninteresting villain part and his two other roles as well but at points it feels like he's overdoing it. Danny Trejo is wasted, Antonio Banderas was cut which is yet another reason why this doesn't feel like a Spy Kids movie, Jessica Alba does nothing with her role other than look pretty, while even Ricky Gervais is flat.The cast are not helped by how their characters are written. The characters here are so cardboard, it is difficult to engage with them on any level.Overall, despite the trailer I was all for seeing this film. But it was awful(as part of a franchise and on its own terms) and a big disappointment. 1/10 Bethany Cox",worst series one worst movies so far this year,i thoroughly enjoyed first two spy kids films they were fun entertaining ideal family films spy kids 3 was rather mediocre disappointing but any horrible assets that film had was nothing compared this when i entered theatre watch this yes i wanted see it despite trailer not looking that good i thought if it is bad surely it cant be as bad as adventures sharkboy lavagirl i was wrong as awful as that film was spy kids 4 takes cake as rodriguezs worst film film starters looks cheap camera work at best is odd effects lack clarity gadgets looked cool outset but once nappy bombs instance are introduced they lose their appeal very quickly i didnt think much soundtrack either i found it rather generic here rather than jaunty memorable rodriguezs direction is his most unfocused inept directing job my opinion his career script is awful relying far too much tired slapstick heavy handed messaging while story is rushed much too thin films running time action is dull not helped by haphazard editing acting wise this film is disappointing it was nice be daryl sabarra alexa vega here but other than basic concept movie them rodriguez there seemed be no connection its predecessors new kids do what they can but they arent as confident or as appealing jeremy piven does give his all into very underwritten uninteresting villain part his two other roles as well but at points it feels like hes overdoing it danny trejo is wasted antonio banderas was cut which is yet another reason why this doesnt feel like spy kids movie jessica alba does nothing with her role other than look pretty while even ricky gervais is flat cast are not helped by how their characters are written characters here are so cardboard it is difficult engage with them any level overall despite trailer i was all seeing this film but it was awful as part franchise its own terms big disappointment 1 10 bethany cox,0.6141109369557645,-0.06445924764890282,Negative,"{'Happy': 0.22, 'Angry': 0.03, 'Surprise': 0.19, 'Sad': 0.27, 'Fear': 0.29}"
,A Juvenile Effort Meant for those Under Five,"I have often said that in order to enjoy mindless movies like ""Transformers"", we should ""leave our brains at the door of the cineplex"". Well, in order to enjoy this ""Spy Kids"" sequel, we need to lower our IQ to the level of four-year olds! 'Mindlessness' doesn't quite cut it, it is juvenile indulgence, meaning, it is only for kids below five.And if you have been following the cinema ads and promos, you would know that this movie comes in 4D - with the added dimension of 'smell'. For that, viewers are given a numbered card (called Aroma-Scope) so that they can scratch-and-smell when the number appears on the screen. This is a childish gimmick aimed at kids. For adults, it is more of a nuisance because the scents are faint and the exercise distracts us from the action on the screen. Although there are many fart and poop scenes, the Aroma-Scope only provides scents of chewing gum and other edible stuff (thank goodness for that). History has demonstrated that all smell-o-vision gimmicks mostly stink.Marissa Cortez Wilson (Jessica Alba) is such a dedicated spy that even when she is nine months pregnant, she manages to take down notorious villain Tick Tock (Jeremy Piven) before going into labor and retiring from her spy duties. Her aim is to devote all her time to her newborn and her step-kids, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) and hubby Wilbur (Joey McHale).Soon, however, she may not have that much time. One year later, Tick Tock and accomplice, The Timekeeper (also Piven), are back at their attempt to rob the world of 'time' - and Rebecca, Cecil and their 'guard dog' Argonaut (voice of Ricky Gervais) must save the world (what else?). Also, they team up with Marissa's niece and nephew, Carmen and Juni Cortez (Alexa Vega and Daryl Sabara reprising their former Spy Kids roles) to make this mission a family reunion of sorts.Writer-director Robert Rodriguez seems to be milking the same old cinema-script cow, urging parents to spend more time with their kids. This 'message' has been used by almost all family movies throughout the decade. The time-theft and time-travel conceits can be puzzling to children even if they allow Rodriguez to make use of all sorts of time-related gags. Of course, Rodriguez cannot resist the poop and fart gags, as well as throwing food all over the place. These, I understand, are the laugh-out-loud staple for American kids below five.Among the cast, Blanchard and Cook are suitably cute and effective as the new title characters. Bringing back former Spy Kids, Vega and Sabara, is a good idea, adding a nostalgic touch for parents in the audience. Ditto that for Danny Trejo's short cameo as Uncle Machete. However, the irony of Daddy Wilbur being a 'Spycatcher' on TV is lost on the kids and scores no points with the adults.As for Jessica Alba (as Marissa, the younger sister to Antonio Bandera's character), she provides the main box-office lure, nothing more. Strictly kids' stuff. (limchangmoh.blogspot.com)",juvenile effort meant those under five,i have often said that order enjoy mindless movies like transformers we should leave our brains at door cineplex well order enjoy this spy kids sequel we need lower our iq level four year olds mindlessness doesnt quite cut it it is juvenile indulgence meaning it is only kids below five if you have been following cinema ads promos you would know that this movie comes 4d with added dimension smell that viewers are given numbered card called aroma scope so that they can scratch smell when number appears screen this is childish gimmick aimed at kids adults it is more nuisance because scents are faint exercise distracts us action screen although there are many fart poop scenes aroma scope only provides scents chewing gum other edible stuff thank goodness that history has demonstrated that all smell o vision gimmicks mostly stink marissa cortez wilson jessica alba is such dedicated spy that even when she is nine months pregnant she manages take down notorious villain tick tock jeremy piven before going into labor retiring her spy duties her aim is devote all her time her newborn her step kids rebecca rowan blanchard cecil mason cook hubby wilbur joey mchale soon however she may not have that much time one year later tick tock accomplice timekeeper also piven are back at their attempt rob world time rebecca cecil their guard dog argonaut voice ricky gervais must save world what else also they team up with marissas niece nephew carmen juni cortez alexa vega daryl sabara reprising their former spy kids roles make this mission family reunion sorts writer director robert rodriguez seems be milking same old cinema script cow urging parents spend more time with their kids this message has been used by almost all family movies throughout decade time theft time travel conceits can be puzzling children even if they allow rodriguez make use all sorts time related gags course rodriguez cannot resist poop fart gags as well as throwing food all over place these i understand are laugh out loud staple american kids below five among cast blanchard cook are suitably cute effective as new title characters bringing back former spy kids vega sabara is good idea adding nostalgic touch parents audience ditto that danny trejos short cameo as uncle machete however irony daddy wilbur being spycatcher tv is lost kids scores no points with adults as jessica alba as marissa younger sister antonio banderas character she provides main box office lure nothing more strictly kids stuff limchangmoh blogspot com,0.41569352057156933,0.10298718896279871,Positive,"{'Happy': 0.21, 'Angry': 0.06, 'Surprise': 0.14, 'Sad': 0.24, 'Fear': 0.35}"
,Multiple Copies,"I'm aware that many people like to encounter films as a small, unchallenging adventure. That isn't possible with me, but I have something similar: sometimes a simple film is a relaxed encounter with the filmmaker, a sort of illustrated visit in his home.I like Rodriguez. I like his joy in image and his independent enthusiasm. I do not ever expect him to produce something that changes my life, like fellow Austinite Malick can. But sometimes you just want to hang out. One thing that is impressive is knowing that he creates his films mostly in his own studio with greenscreen, networked to special effects subcontractors. He must have had to do things that few others do in order for his work to seamlessly integrate with his life.So, though there is nothing profound about him except his passion, visiting a film can simply relax into that passion. I am particularly hooked on the Spy Kids franchise because the first one had so many inside references to old AI tools and techniques that I assume he worked very closely with someone from that era, perhaps even someone I know. Perhaps it was a side effect from setting up his personal production infrastructure.But it also because I know he is coming at this as a dad who enjoys his kids and basically wants to share at a cinematic level. That is why, for instance that I tolerate the over top 'dad message' about the importance of spending time with your kids now rather than be absent in a studio. (Yes, that is the basic plot.)The first film was themed on AI as mentioned. The second on genetics, and the third on a Tron-like game. This one plays — in the most superficial way — with speculations on parallel universes and time joins. Others will inform about the amazingly bad acting by both pairs of siblings, the really off- beat pacing and the general heavy-handed nature of the thing. But under all that is a genuine human, being genuine and open, inviting us into the world he decorated himself (there's a joke about that). Where else but with Rose's influence will you get a superspy kicking butt first as she goes into labor and later with the baby strapped on her chest. That alone will stick with you.Ted's Evaluation -- 3 of 3: Worth watching.",multiple copies,im aware that many people like encounter films as small unchallenging adventure that isnt possible with me but i have something similar sometimes simple film is relaxed encounter with filmmaker sort illustrated visit his home i like rodriguez i like his joy image his independent enthusiasm i do not ever expect him produce something that changes my life like fellow austinite malick can but sometimes you just want hang out one thing that is impressive is knowing that he creates his films mostly his own studio with greenscreen networked special effects subcontractors he must have had do things that few others do order his work seamlessly integrate with his life so though there is nothing profound about him except his passion visiting film can simply relax into that passion i am particularly hooked spy kids franchise because first one had so many inside references old ai tools techniques that i assume he worked very closely with someone that era perhaps even someone i know perhaps it was side effect setting up his personal production infrastructure but it also because i know he is coming at this as dad who enjoys his kids basically wants share at cinematic level that is why instance that i tolerate over top dad message about importance spending time with your kids now rather than be absent studio yes that is basic plot first film was themed ai as mentioned second genetics third tron like game this one plays most superficial way with speculations parallel universes time joins others will inform about amazingly bad acting by both pairs siblings really off beat pacing general heavy handed nature thing but under all that is genuine human being genuine open inviting us into world he decorated himself theres joke about that where else but with roses influence will you get superspy kicking butt first as she goes into labor later with baby strapped her chest that alone will stick with you teds evaluation 3 3 worth watching,0.353015873015873,0.14904761904761904,Positive,"{'Happy': 0.15, 'Angry': 0.05, 'Surprise': 0.28, 'Sad': 0.13, 'Fear': 0.39}"
3.0,The Vidiot Reviews...,"Spy Kids: All the Time in the World in 4DWhen you've got two active adolescent agents in your home, you've got to ensure you have plenty of Flintstones Cyanide Pills on hand.Fortunately, the step mom in this family adventure is an ex-intelligencer.Trading in her cloak and dagger for diapers, femme fatale turned housewife Marissa (Jessica Alba) is called back into action after the villainous Timekeeper (Jeremy Piven) begins to steal time.But when the Timekeeper targets her stepchildren (Rowan Blanchard, Mason Cook), Marissa must divulge her past, which ultimately leads to their tutelage under a former Spy Kid (Alexa Vega).Now, the new recruits and their robot dog (Ricky Gervais) must stop the Timekeeper before it's too late.The fourth installment of the Spy Kids franchise, All the Time in the World is a fart infused, infantile, chroma keyed atrocity. Besides, as an undercover child agent, wouldn't most of your assignments involve you luring in online predators? (Red Light)",vidiot reviews,spy kids all time world 4dwhen youve got two active adolescent agents your home youve got ensure you have plenty flintstones cyanide pills hand fortunately step mom this family adventure is ex intelligencer trading her cloak dagger diapers femme fatale turned housewife marissa jessica alba is called back into action after villainous timekeeper jeremy piven begins steal time but when timekeeper targets her stepchildren rowan blanchard mason cook marissa must divulge her past which ultimately leads their tutelage under former spy kid alexa vega now new recruits their robot dog ricky gervais must stop timekeeper before its too late fourth installment spy kids franchise all time world is fart infused infantile chroma keyed atrocity besides as undercover child agent wouldnt most your assignments involve you luring online predators red light,0.37532467532467534,0.03235930735930736,Positive,"{'Happy': 0.2, 'Angry': 0.15, 'Surprise': 0.15, 'Sad': 0.25, 'Fear': 0.25}"
4.0,Escapism at its finest.,"The real purpose of a movie is to entertain (escapism) - to distance you from your problems for a short period of time. If you will look at this movie from the perspective of a person viewing movies for entertainment purposes, then this movie is good (not very good since there are a lot of better escapist movies out there). If you look at it from the perspective of a movie critic, then this is a horrible movie, filled with clichés and poop jokes.The first film of this franchise may have had some cliché plot points, but it didn't rely on poop and fart jokes to move the story or try to make the viewer laugh.This movie has the usual 'stepdaughter-hates-stepmom' and the 'geeky brother' story lines along with the happily ever after ending. It seems the movie thinks that watching these story lines is entertaining to kids, when in fact, it's not (speaking from my perspective as a 13 year old kid). To be frank, it's quite annoying.However, this movie doesn't lack on the entertainment value. CGI all-around, gadgets everywhere, this movie has tons of cool stuff to keep the viewer at the edge of their seat. There are jokes that if you watch first may seem funny, but in the end will make you think ""is that joke really funny, or is it offensive"".Bottomline is, this movie can be good or bad, depending on your perspective. To me, it's escapism at its finest.",escapism at its finest,real purpose movie is entertain escapism distance you your problems short period time if you will look at this movie perspective person viewing movies entertainment purposes then this movie is good not very good since there are lot better escapist movies out there if you look at it perspective movie critic then this is horrible movie filled with clich s poop jokes first film this franchise may have had some clich plot points but it didnt rely poop fart jokes move story or try make viewer laugh this movie has usual stepdaughter hates stepmom geeky brother story lines along with happily ever after ending it seems movie thinks that watching these story lines is entertaining kids when fact its not speaking my perspective as 13 year old kid be frank its quite annoying however this movie doesnt lack entertainment value cgi all around gadgets everywhere this movie has tons cool stuff keep viewer at edge their seat there are jokes that if you watch first may seem funny but end will make you think is that joke really funny or is it offensive bottomline is this movie can be good or bad depending your perspective me its escapism at its finest,0.5897435897435898,0.12653846153846154,Positive,"{'Happy': 0.23, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.23, 'Fear': 0.21}"
6.0,It's a kids movie after all...,"I don't think this was a bad film, granted it wasn't a good film but for me I couldn't help relate it back to the original movies and in that sense I think it did well, it didn't stray too far from the original plot lines and I liked that because I was afraid after all these years it would have changed completely.So many of these reviews rate it as ""cheep and crappy"", well it's definitely cheap, the graphics are pretty much exactly the same as the original films and its not going to win any awards for being a brilliant flick but the movie wasn't made for YOU, it was made for the kids.I think as a kids movie, or family movie, it does well and I believe the children will love it just as I loved the originals when I was younger. Yes the plot is cliché and predictable but to a kid it's a whole other world where they can be a hero without growing up.",its kids movie after all,i dont think this was bad film granted it wasnt good film but me i couldnt help relate it back original movies that sense i think it did well it didnt stray too far original plot lines i liked that because i was afraid after all these years it would have changed completely so many these reviews rate it as cheep crappy well its definitely cheap graphics are pretty much exactly same as original films its not going win any awards being brilliant flick but movie wasnt made you it was made kids i think as kids movie or family movie it does well i believe children will love it just as i loved originals when i was younger yes plot is clich predictable but kid its whole other world where they can be hero without growing up,0.6007936507936509,0.24523809523809526,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.19, 'Fear': 0.3}"
4.0,reboot ultimately fails,"OSS agent Marissa Wilson (Jessica Alba) retires after capturing time manipulating villain Tick Tock (Jeremy Piven). Her husband Wilbur (Joel McHale), step-kids Rebecca (Rowan Blanchard) and Cecil (Mason Cook) don't know her secret life. Wilbur creates a TV show hunting spies. A year after having a baby daughter, OSS director Danger D'Amo (Jeremy Piven) recalls Marissa to battle villain Time Keeper (Jeremy Piven) who is speeding up time to destroy the world. Marissa had given Rebecca a necklace with the Chronos Sapphire which is the only thing that can stop the device. When bad guys come looking for the Sapphire, Rebecca and Cecil discover Marissa's secret and their dog Argonaut (Ricky Gervais) can actually talk. Carmen Cortez (Alexa Vega) reveals that Marissa is her aunt and the Spy Kids division was deactivated after something happened with Juni Cortez (Daryl Sabara) seven years ago.I like the idea of two new kids taking over. I even like Ricky Gervais. However, I would have prefer Robert Rodriguez do more to update the series. Also Marissa bringing the baby along isn't cool or even funny. Carmen and Juni don't need to return for this installment. It may work better to reboot the franchise without them. This reboot obviously didn't work unless Rodriguez want to continue with a lesser straight-to-video production.",reboot ultimately fails,oss agent marissa wilson jessica alba retires after capturing time manipulating villain tick tock jeremy piven her husband wilbur joel mchale step kids rebecca rowan blanchard cecil mason cook dont know her secret life wilbur creates tv show hunting spies year after having baby daughter oss director danger damo jeremy piven recalls marissa battle villain time keeper jeremy piven who is speeding up time destroy world marissa had given rebecca necklace with chronos sapphire which is only thing that can stop device when bad guys come looking sapphire rebecca cecil discover marissas secret their dog argonaut ricky gervais can actually talk carmen cortez alexa vega reveals that marissa is her aunt spy kids division was deactivated after something happened with juni cortez daryl sabara seven years ago i like idea two new kids taking over i even like ricky gervais however i would have prefer robert rodriguez do more update series also marissa bringing baby along isnt cool or even funny carmen juni dont need return this installment it may work better reboot franchise without them this reboot obviously didnt work unless rodriguez want continue with lesser straight video production,0.5314141414141414,-0.01757575757575756,Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.07, 'Fear': 0.3}"
3.0,Smell it,"The movie tries something that hadn't been done for a long time. It tries to reach out and tickle the one sense that isn't being reached out to: smell. The fact that you have to scratch a number on a piece of paper you get, every time it appears on screen, can be a pain though. Still kudos for trying something.That won't help with the story, that is too easy to see and guess for any adult. But they are not the main audience for this movie. This is aimed mostly at kids. They might kinda like it. It's not as bad for them and if you watch it with them, you might enjoy it because of that. I'm not sure if they will include ""smell"" cards for the DVD/Blu ray ... and how long the smell lasts. Apart from the gimmick there is not that much more there.",smell it,movie tries something that hadnt been done long time it tries reach out tickle one sense that isnt being reached out smell fact that you have scratch number piece paper you get every time it appears screen can be pain though still kudos trying something that wont help with story that is too easy see guess any adult but they are not main audience this movie this is aimed mostly at kids they might kinda like it its not as bad them if you watch it with them you might enjoy it because that im not sure if they will include smell cards dvd blu ray how long smell lasts apart gimmick there is not that much more there,0.5101851851851853,0.05000000000000001,Positive,"{'Happy': 0.15, 'Angry': 0.1, 'Surprise': 0.15, 'Sad': 0.15, 'Fear': 0.45}"
