Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,It's not a GUY'S film only,"Without a doubt this movie is probably the best coming of age flick around, it has terrific acting and an incredibly touching plot that keeps you going throughout the whole film. I think the reason I love this film so much is because, everyone in some way could relate to it. When you're a pre-teen and have a close group of friends and face something so intense together, there's that special bond that no matter how much you loose touch with each other, one day, you just think of them and that one incident.Stand by Me is about 4 pre-teen boys whose summer is about to end and they are about to start junior high. They've obviously grown up together and are nervous of the world they are about to face, where they are no longer kids, but just about to become adults. When their friend, Vern, tells them about a kid their age that is missing that he found out by listening in on his brother where the kid's body is, the boys think it would be so cool to find the body and become the local town heroes. They have one problem though, there are these big tough guys who want to find the body first, it's a matter of who will reach it first. But of course, it's the bonding of the boys that really gets you into the film.These are some of the best characters I have seen on film, we start with Gordy. Gordy is an intelligent writer who lost his big brother, his idol, in a car crash recently and can't get any love or respect from his father and it's obvious that he gets it from his friends. That's what keeps him going. Chris is the leader of the gang and Gordy's best friend, he comes from a very bad family and is dubbed the bad seed everywhere, he's the kid who you knew in school and just knew he'd turn out bad, but there's a deeper side to him. The speech that River Phoenix turned out for Chris was so beautifully dilvered as a child who's been disappointed so many times by an adult.Teddy is another bad kid sort of speak, he has a bad home life where his father is crazy and nearly killed him a few times. He has a quick temper, but you can tell that his friends keep him down to Earth and help him through the worst times. Then there's Vern, the funny fat kid who is pretty much scarred of everything, and in some ways is the 4th wheel. Still, Vern you can tell is a great friend and the other's appreciate him despite how he can hold them back.The acting is just phenomenal. Now, the directing, Rob Reiner is without a doubt one of the best directors of all time, he took these young boys and pushed them to their limits, he was so smart about it as well. He said in an interview that he had to get pre-teen boys who were close to the personality of the character in the film, so it would come natural to the pre-teen actors, and you could tell that this film was his baby, he put so much thought and love into this film. That's what makes this film so special, nothing could ever compete with a coming of age film like Stand By Me.10/10",its not guys film only,without doubt this movie is probably best coming age flick around it has terrific acting incredibly touching plot that keeps you going throughout whole film i think reason i love this film so much is because everyone some way could relate it when youre pre teen have close group friends face something so intense together theres that special bond that no matter how much you loose touch with each other one day you just think them that one incident stand by me is about 4 pre teen boys whose summer is about end they are about start junior high theyve obviously grown up together are nervous world they are about face where they are no longer kids but just about become adults when their friend vern tells them about kid their age that is missing that he found out by listening his brother where kids body is boys think it would be so cool find body become local town heroes they have one problem though there are these big tough guys who want find body first its matter who will reach it first but course its bonding boys that really gets you into film these are some best characters i have seen film we start with gordy gordy is intelligent writer who lost his big brother his idol car crash recently cant get any love or respect his father its obvious that he gets it his friends thats what keeps him going chris is leader gang gordys best friend he comes very bad family is dubbed bad seed everywhere hes kid who you knew school just knew hed turn out bad but theres deeper side him speech that river phoenix turned out chris was so beautifully dilvered as child whos been disappointed so many times by adult teddy is another bad kid sort speak he has bad home life where his father is crazy nearly killed him few times he has quick temper but you can tell that his friends keep him down earth help him through worst times then theres vern funny fat kid who is pretty much scarred everything some ways is 4th wheel still vern you can tell is great friend others appreciate him despite how he can hold them back acting is just phenomenal now directing rob reiner is without doubt one best directors all time he took these young boys pushed them their limits he was so smart about it as well he said interview that he had get pre teen boys who were close personality character film so it would come natural pre teen actors you could tell that this film was his baby he put so much thought love into this film thats what makes this film so special nothing could ever compete with coming age film like stand by me 10 10,0.44987567106614734,0.10342122604027364,Positive,"{'Happy': 0.2, 'Angry': 0.08, 'Surprise': 0.29, 'Sad': 0.19, 'Fear': 0.23}"
10.0,One of the best adaptations of a Stephen King story ever.,"Stand By Me is yet another one of the stories made into a movie from the author who has had more stories made into movies than any other author in history, Stephen King. Clearly, the central character here is Gordie Lachance, from whose point of view the story is told and who obviously symbolizes King himself, given many of his characteristics as well as some of the content of the film. This movie is literally filled with actors who have achieved varying degrees of success over the years, such as Jerry O'Connell, who played Vern, River Phoenix, who could have been bigger than Leonardo DiCaprio if he hadn't died, Corey Feldman, who has grown into an unenviable but visible existence, Kiefer Sutherland, who has become an excellent and very well known actor, John Cusack can be seen in a small role as Gordie's late brother, and of course, Richard Dreyfuss, who played the narrator and Gordie as an adult, has remained famous but originally achieved fame more than a decade before Stand By Me was filmed or the original story was even written.Stand By Me takes place in the summer of 1959, the general time period that Stephen King is most skilled at presenting, and four friends set out to find the body of a kid who was killed by a train, hoping to find what they predicted would be astronomical fame. Unfortunately, the town's bullies are also out to find the body for the same reason, which leads to the films ultimate final climax. Even though this is a very clever story with which to tell a fall from innocence story, it is the brilliant characterization and the incredible acting that really make this a classic film. It is extremely rare that a film comes along that stars young kids and is so moving and powerful. Also, every one of those kids is made three dimensional in creative and smooth ways, making you feel like you really knew them by the end of the film. Vern is the fat kid who always gets picked on, Teddy and Chris both have abusive or deranged fathers, not to mention Chris's cruel brother, and Gordie is a young boy who lost his brother three months earlier in a violent accident and who has been largely ignored by his parents ever since. In one memorable scene, Gordie wonders how Teddy can be so enthusiastic about his father's alleged military achievements when the man once held his head to a stove, nearly burning his ear off. Gordie is mystified because he could care less about his own father, who hadn't laid a hand on him since he was three years old and got caught `eating bleach under the sink.'Stephen King pokes fun at his own craft many times in the film, such as in Gordie's vehement line, `F*ck writing. I don't want to be a writer, it's a stupid waste of time!' Not only that, but there are also obvious references to his other works, such as when the boys first realize that no one brought food, and Teddy says, `This is great, what are we supposed to do, eat our feet?' People who actually read instead of just lazily watching the movies will recognize this as a major part of the plot of another of King's short stories, `Survivor Type,' from which Cast Away borrowed heavily. And why don't you people read these books? `The Body,' which Stand By Me was based on, is only 148 pages long, you could read that in a couple of hours and the experience is totally different from a movie. It's even more disturbing that `The Body' was published in the same book (Different Seasons) as a couple of King's other famous stories  `Apt Pupil' and, of course, `Rita Hayworth and the Shawshank Redemption.'Stand By Me is a story of how one event can unexpectedly change lives. It seems to be a story about friends and how important they are, but this possible theme is clearly dispelled in a line from the narration spoken at the end of the film  `As time went on, we saw less and less of Teddy and Vern, until eventually they became just two more faces in the halls. It happens sometimes, friends come in and out of your life like busboys at a restaurant.' Instead, the film is about learning from a life changing experience and actually making changes or modifying your life in some way because of it, and this is heavily emphasized at the end of the film.Stand By Me is a timeless film. Stephen King's story is skillfully brought to the screen under the direction of Rob Reiner, and the 1950s are brought back to life just as successfully as King so often does in his stories and novels, with the slicked back hair, the hot rods, and in the film, and excellent 50s soundtrack. There is so much more to this film than just the superficial story  things about the characters and the story, but also about the tremendously talented man who wrote it all.",one best adaptations stephen king story ever,stand by me is yet another one stories made into movie author who has had more stories made into movies than any other author history stephen king clearly central character here is gordie lachance whose point view story is told who obviously symbolizes king himself given many his characteristics as well as some content film this movie is literally filled with actors who have achieved varying degrees success over years such as jerry oconnell who played vern river phoenix who could have been bigger than leonardo dicaprio if he hadnt died corey feldman who has grown into unenviable but visible existence kiefer sutherland who has become excellent very well known actor john cusack can be seen small role as gordies late brother course richard dreyfuss who played narrator gordie as adult has remained famous but originally achieved fame more than decade before stand by me was filmed or original story was even written stand by me takes place summer 1959 general time period that stephen king is most skilled at presenting four friends set out find body kid who was killed by train hoping find what they predicted would be astronomical fame unfortunately towns bullies are also out find body same reason which leads films ultimate final climax even though this is very clever story with which tell fall innocence story it is brilliant characterization incredible acting that really make this classic film it is extremely rare that film comes along that stars young kids is so moving powerful also every one those kids is made three dimensional creative smooth ways making you feel like you really knew them by end film vern is fat kid who always gets picked teddy chris both have abusive or deranged fathers not mention chriss cruel brother gordie is young boy who lost his brother three months earlier violent accident who has been largely ignored by his parents ever since one memorable scene gordie wonders how teddy can be so enthusiastic about his fathers alleged military achievements when man once held his head stove nearly burning his ear off gordie is mystified because he could care less about his own father who hadnt laid hand him since he was three years old got caught eating bleach under sink stephen king pokes fun at his own craft many times film such as gordies vehement line f ck writing i dont want be writer its stupid waste time not only that but there are also obvious references his other works such as when boys first realize that no one brought food teddy says this is great what are we supposed do eat our feet people who actually read instead just lazily watching movies will recognize this as major part plot another kings short stories survivor type which cast away borrowed heavily why dont you people read these books body which stand by me was based is only 148 pages long you could read that couple hours experience is totally different movie its even more disturbing that body was published same book different seasons as couple kings other famous stories apt pupil course rita hayworth shawshank redemption stand by me is story how one event can unexpectedly change lives it seems be story about friends how important they are but this possible theme is clearly dispelled line narration spoken at end film as time went we saw less less teddy vern until eventually they became just two more faces halls it happens sometimes friends come out your life like busboys at restaurant instead film is about learning life changing experience actually making changes or modifying your life some way because it this is heavily emphasized at end film stand by me is timeless film stephen kings story is skillfully brought screen under direction rob reiner 1950s are brought back life just as successfully as king so often does his stories novels with slicked back hair hot rods film excellent 50s soundtrack there is so much more this film than just superficial story things about characters story but also about tremendously talented man who wrote it all,0.5598621553884712,0.16089598997493737,Positive,"{'Happy': 0.14, 'Angry': 0.03, 'Surprise': 0.21, 'Sad': 0.25, 'Fear': 0.37}"
10.0,A small masterpiece.,"Growing up isn't easy for anyone. There are times when you feel no one understands you at all. Although growing up is tough, the friends you have at a young age are the friends you'll remember for the rest of your life. Stand By Me is a very wonderful film, a masterpiece on a small scale. The film is full of great insights into the minds of a group of four boys who decide they want to see what a dead body looks like, and it sparks their interest even more that they actually knew this dead person. A young boy's mind is full of many things, they feel lost sometimes, strong at others, but mostly they feel invinceable. Rob Reiner has directed a film about four young boys who discover life is quick, sometimes merciless, and magical. I've seen this film numerous times and it always seems better than the time before. This is a perfect little film.",small masterpiece,growing up isnt easy anyone there are times when you feel no one understands you at all although growing up is tough friends you have at young age are friends youll remember rest your life stand by me is very wonderful film masterpiece small scale film is full great insights into minds group four boys who decide they want see what dead body looks like it sparks their interest even more that they actually knew this dead person young boys mind is full many things they feel lost sometimes strong at others but mostly they feel invinceable rob reiner has directed film about four young boys who discover life is quick sometimes merciless magical ive seen this film numerous times it always seems better than time before this is perfect little film,0.586,0.21294444444444444,Positive,"{'Happy': 0.16, 'Angry': 0.06, 'Surprise': 0.39, 'Sad': 0.13, 'Fear': 0.26}"
10.0,Unforgettable,"I saw Stand By Me yesterday for the first time in one and a half years, (I'm 17) and I absolutely loved it, and it is definitely one of my favourite Stephen King adaptations. I will say I absolutely loved Shawshank Redemption, and despite the fact that it was unfaithful to the book, and badly flawed, I liked It too.Stand By Me, based on the novella by Stephen King, which I admit I haven't read, not only has a wonderfully engaging story, but it is both funny and moving. This is helped by the strong and wholly believable performances from the entire cast that include Kiefer Sutherland, John Cusack, Wil Wheaton, Corey Feldman, Jerry O'Conell and River Pheonix especially.The script was very well-crafted, and the film tells brilliantly of the values of friendship and standing together. Other strengths were the beautiful photography and the fine direction from Rob Reiner. But what impressed me most about Stand By Me was not only its nostalgic feel, but despite the hour and a half running time, the characters particularly Chris were so well developed. And I mustn't forget the beautiful song Stand By Me over the end credits.A beautiful, unforgettable film, with a definite 10/10. Bethany Cox.",unforgettable,i saw stand by me yesterday first time one half years im 17 i absolutely loved it it is definitely one my favourite stephen king adaptations i will say i absolutely loved shawshank redemption despite fact that it was unfaithful book badly flawed i liked it too stand by me based novella by stephen king which i admit i havent read not only has wonderfully engaging story but it is both funny moving this is helped by strong wholly believable performances entire cast that include kiefer sutherland john cusack wil wheaton corey feldman jerry oconell river pheonix especially script was very well crafted film tells brilliantly values friendship standing together other strengths were beautiful photography fine direction rob reiner but what impressed me most about stand by me was not only its nostalgic feel but despite hour half running time characters particularly chris were so well developed i mustnt forget beautiful song stand by me over end credits beautiful unforgettable film with definite 10 10 bethany cox,0.6979166666666666,0.2877604166666667,Positive,"{'Happy': 0.24, 'Angry': 0.08, 'Surprise': 0.13, 'Sad': 0.16, 'Fear': 0.39}"
10.0,Biggest one in four counties,"Perhaps this is a personal bias because I had friends like this when I was 12, but having said that this is one of the best films I have ever seen and it hits every chord perfectly.There were four of us that were friends and we were known as the Stand By Me Crew. Mike, Gary, Andy and myself were inseparable. And as this film prophesizes correctly, the group has since split up and now I am only good friends with one of them. This movie makes you remember what it was like to have friends when you were 12 and it makes you glad that they were there when they were.The story involves these four kids going on a weekend hike to find a dead kid that apparently got hit by a train. Now if that is all the movie was about, it would probably be pretty boring. But this film explores the fears and anxieties of what it was like to be 12 again. Twelve year olds deal with a plethora of issues and it is not often that adults listen to what kids have to say or see what they deal with. But this film is honest about it's assessment of how they feel.The four boys are played brilliantly by Wil Wheaton, Jerry O'ConnellCoosh from Jerry Maguire ), Corey Feldman and River Phoenix. The story moves along and hits a nerve because of the life that these four actors brings to their characters. There is a real sense of comrarderie between the four of them. But ultimately it is Phoenix that brings the most life to his character and I would say that the milk money scene with him and Gordie (Wheaton) is one of the more touching and poignant scenes ever filmed.What Stand By Me does is brings you back to a time when friendship was more pure and innocent and meant more. You can't help but get caught up in the nostalgia. Perhaps this film means more to me for personal reasons ( as I've already stated ) but it is a wonderful film and it should be enjoyed by everyone.The last line of the movie is so true. Do we really ever have friends as good as the ones when we were twelve? I doubt it.",biggest one four counties,perhaps this is personal bias because i had friends like this when i was 12 but having said that this is one best films i have ever seen it hits every chord perfectly there were four us that were friends we were known as stand by me crew mike gary andy myself were inseparable as this film prophesizes correctly group has since split up now i am only good friends with one them this movie makes you remember what it was like have friends when you were 12 it makes you glad that they were there when they were story involves these four kids going weekend hike find dead kid that apparently got hit by train now if that is all movie was about it would probably be pretty boring but this film explores fears anxieties what it was like be 12 again twelve year olds deal with plethora issues it is not often that adults listen what kids have say or see what they deal with but this film is honest about its assessment how they feel four boys are played brilliantly by wil wheaton jerry oconnellcoosh jerry maguire corey feldman river phoenix story moves along hits nerve because life that these four actors brings their characters there is real sense comrarderie between four them but ultimately it is phoenix that brings most life his character i would say that milk money scene with him gordie wheaton is one more touching poignant scenes ever filmed what stand by me does is brings you back time when friendship was more pure innocent meant more you cant help but get caught up nostalgia perhaps this film means more me personal reasons as ive already stated but it is wonderful film it should be enjoyed by everyone last line movie is so true do we really ever have friends as good as ones when we were twelve i doubt it,0.5924731182795699,0.3375576036866359,Positive,"{'Happy': 0.22, 'Angry': 0.05, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.29}"
9.0,Superb film making,"Interesting that in Stand By Me the four kids who were our protagonists in the film all went on to have successful careers. One of them, River Phoenix has passed on to legend as a result of his early demise.This was quite a novel film in the sense that it had no box office names at the time it was released. That probably aided director Rob Reiner because all of these future celebrities come off as real kids.Reiner got all kinds of good results with his location shooting finding some of the woodsiest areas he could for effect. This film is shot 95% out doors and real out doors at that.Wil Wheaton, River Phoenix, Jerry O'Connell, and Corey Feldman are our 12 somethings who hear of a rumor that a kid they knew was hit by a train and his body is some miles away in the woods. It's summer and they decide to mount an expedition to find the body. The film is their odyssey into the woods.Stand By Me got one Oscar nomination for best adapted screenplay. The writing is superb with the dialog that is given with these 12 year olds with hormones kicking in. The story takes place in the 50s. Richard Dreyfuss plays the adult Wil Wheaton and narrates the film and also makes an appearance at the end.Kiefer Sutherland who is a bit older gets his first notice as the town bully in the small Oregon town this all takes place in.This film is a legend because it is an eternally true story and will be popular centuries from now. Superb film making.",superb film making,interesting that stand by me four kids who were our protagonists film all went have successful careers one them river phoenix has passed legend as result his early demise this was quite novel film sense that it had no box office names at time it was released that probably aided director rob reiner because all these future celebrities come off as real kids reiner got all kinds good results with his location shooting finding some woodsiest areas he could effect this film is shot 95 out doors real out doors at that wil wheaton river phoenix jerry oconnell corey feldman are our 12 somethings who hear rumor that kid they knew was hit by train his body is some miles away woods its summer they decide mount expedition find body film is their odyssey into woods stand by me got one oscar nomination best adapted screenplay writing is superb with dialog that is given with these 12 year olds with hormones kicking story takes place 50s richard dreyfuss plays adult wil wheaton narrates film also makes appearance at end kiefer sutherland who is bit older gets his first notice as town bully small oregon town this all takes place this film is legend because it is eternally true story will be popular centuries now superb film making,0.5465686274509803,0.4509803921568627,Positive,"{'Happy': 0.25, 'Angry': 0.05, 'Surprise': 0.17, 'Sad': 0.2, 'Fear': 0.33}"
8.0,World Before WiFi...,"If you grew up in the world before WiFi, a higher fidelity world depending on your circumstances as a child, there's a good chance that a lot of your growing up was done outside, with a group of pals, mates, friends or chums - who all sought to share what they knew, and discover together what they did not.There's no coming of age so to speak, as we continually discover as we get older, but whatever it is that we do become, we generally do it without the bonds and support that were so crucial during our formative days - and quite often end up aimlessly drifting, nostalgic for the past and the shared experience of growing up, with those we would have entrusted our lives, our souls, our hearts and our minds to - albeit with the occasional minor squabble thrown in for good measure.If I'm ringing some bells then this film is definitely for you.",world before wifi,if you grew up world before wifi higher fidelity world depending your circumstances as child theres good chance that lot your growing up was done outside with group pals mates friends or chums who all sought share what they knew discover together what they did not theres no coming age so speak as we continually discover as we get older but whatever it is that we do become we generally do it without bonds support that were so crucial during our formative days quite often end up aimlessly drifting nostalgic past shared experience growing up with those we would have entrusted our lives our souls our hearts our minds albeit with occasional minor squabble thrown good measure if im ringing some bells then this film is definitely you,0.47152777777777777,0.08888888888888889,Positive,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.29, 'Sad': 0.24, 'Fear': 0.24}"
9.0,Stephen King with a great story,"Stephen King adaptations can be great. In my opinion the less horror pictures, and The Shining, are the best. Misery, The Shawshank Redemption, The Green Mile and this one. Stand by Me is a great film, you can say it is a drama with some thriller elements.Four boys hear the location of the dead body of a boy from their small town. The boys go on a trip to look for the body, about 30 miles away. There are some little problems on the way, including another gang with its leader Kiefer Sutherland. One of the boys thinks about his late brother because of the recent events, played by John Cusack. It seems to be a simple story but it is told perfect.The performances the boys give, one of them is the late River Phoenix, are all extraordinary. I liked the way their friendship was shown. Just a great movie, see this. 9/10.",stephen king with great story,stephen king adaptations can be great my opinion less horror pictures shining are best misery shawshank redemption green mile this one stand by me is great film you can say it is drama with some thriller elements four boys hear location dead body boy their small town boys go trip look body about 30 miles away there are some little problems way including another gang with its leader kiefer sutherland one boys thinks about his late brother because recent events played by john cusack it seems be simple story but it is told perfect performances boys give one them is late river phoenix are all extraordinary i liked way their friendship was shown just great movie see this 9 10,0.5631652661064425,0.266421568627451,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.29, 'Fear': 0.21}"
9.0,When it comes to coming of age films it is the best,"""It happens sometimes. Friends come in and out of our lives, like busboys in a restaurant.""Stand By Me is Rob Reiner's love letter to friendship and nostalgic memories. It's ironic that Reiner's film looks at the past with such high regards because we can do the same with his filmography. His best films were all made in the 80's (and we can squeeze Misery and A Few Good Men into that list as well although they came out in 1990 and 1992 respectively), and despite not having directed many great films over the past few decades we can still look back at his early films and appreciate his classics. Stand By Me reminds us all of our early childhood and the friendships we made. It doesn't matter what decade we grew up in, we all cherish special memories of adventures we shared with our friends and how they helped shape us. That is what is so universal and appealing about Reiner's film; even though we may never have grown up in a small town or had similar outdoor adventures it still recalls us back to a time where we were discovering new things about the world and standing up for our friends when they were in trouble or running with them when we got caught playing in our neighbor's yards. Stand By Me focuses on these memories and it's not just about the adventure in itself but the bond these friends shared together. It's probably the go to movie when we are comparing or referencing other coming of age films, and in my opinion one of the best ever made considering how much I appreciate the genre. I'm sure the film itself was a life changing experience for many who grew up watching it and dreaming of having similar adventures with their friends.Based on Stephen King's short story, ""The Body,"" the screenplay for the film was adapted by Raynold Gideon and Bruce Evans. It takes place in 1959 and centers on four 12 year old friends from Castelrock, Oregon who overhear a conversation about the location of the body of a dead boy who had been missing for several days. The news about the disappearance of this boy had spread all over town, so these kids decide to embark on an adventure through the woods and bring back the missing body so they can be received as heroes. Since the journey would take more than a full day, they plan to tell their parents that they are staying at each other's home. Gordie (Will Wheaton) had recently lost his older brother (played by John Cusack in the flashback scenes) a few months prior to this in a car accident so he knew his mourning parents wouldn't even mind him being gone for a few days. His best friend, Chris (River Phoenix), came from a troublesome family and despite knowing he'd get into trouble if they'd discover his lie he didn't think it would be any different if he stayed with his drunk father. Teddy (Corey Feldman) still has the scars from the abuse he suffered from his mentally unstable father, and currently lives with his mother. Vern (Jerry O'Connell), the clown of the group who isn't taken very seriously is the one who came up with the idea of looking for the body, but he also is the first to back down when it comes to it. The four finally decide to go ahead with their plan and begin their adventure, which will eventually shape who they are. The story is narrated by the grown up version of Gordie (played by Richard Dreyfuss) somewhere around 1985.The strong performances in this film are one of the reasons why it continues to work today. River Phoenix was such a natural and is so charismatic that he steals every scene he's in. The chemistry he shares with Wheaton's character is strong and it reminds us all of that best friend we had in our childhood. Corey Feldman must have had the best agent because he starred in some of the best films that were released in the 80's (Gremlins, The Goonies, The Burbs, and The Lost Boys). Jerry O'Connell is probably the one that has undergone the greatest physical transformation, but he was perfect for the role of Vern and he reminded us of that friend who always seemed to be the butt of every joke. These four young actors carry the film and despite not having the most exciting of adventures, the way the story is told is what makes it such a fascinating one. There are small moments like the one where they gather around the camp fire to listen to Gordie's story, or when they are crossing the pond and discover its full of leeches, that stand out. The film is told through Gordie's recollection of these events and each scene feels like an authentic memory someone would have of such a life changing experience. The 50's soundtrack also plays a key role in the film since it adds to the overall sense of nostalgia. Reiner's film reminds me how much I actually have enjoyed Stephen King's non-horror stories (this along with Shawshank Redemption and The Green Mile are my favorite film adaptations of his work). Since its 1986 release, all the coming of age films that have followed it seem to heavily borrow from it. Stand By Me is the measuring stick for films in this genre.http://estebueno10.blogspot.com/",when it comes coming age films it is best,it happens sometimes friends come out our lives like busboys restaurant stand by me is rob reiners love letter friendship nostalgic memories its ironic that reiners film looks at past with such high regards because we can do same with his filmography his best films were all made 80s we can squeeze misery few good men into that list as well although they came out 1990 1992 respectively despite not having directed many great films over past few decades we can still look back at his early films appreciate his classics stand by me reminds us all our early childhood friendships we made it doesnt matter what decade we grew up we all cherish special memories adventures we shared with our friends how they helped shape us that is what is so universal appealing about reiners film even though we may never have grown up small town or had similar outdoor adventures it still recalls us back time where we were discovering new things about world standing up our friends when they were trouble or running with them when we got caught playing our neighbors yards stand by me focuses these memories its not just about adventure itself but bond these friends shared together its probably go movie when we are comparing or referencing other coming age films my opinion one best ever made considering how much i appreciate genre im sure film itself was life changing experience many who grew up watching it dreaming having similar adventures with their friends based stephen kings short story body screenplay film was adapted by raynold gideon bruce evans it takes place 1959 centers four 12 year old friends castelrock oregon who overhear conversation about location body dead boy who had been missing several days news about disappearance this boy had spread all over town so these kids decide embark adventure through woods bring back missing body so they can be received as heroes since journey would take more than full day they plan tell their parents that they are staying at each others home gordie will wheaton had recently lost his older brother played by john cusack flashback scenes few months prior this car accident so he knew his mourning parents wouldnt even mind him being gone few days his best friend chris river phoenix came troublesome family despite knowing hed get into trouble if theyd discover his lie he didnt think it would be any different if he stayed with his drunk father teddy corey feldman still has scars abuse he suffered his mentally unstable father currently lives with his mother vern jerry oconnell clown group who isnt taken very seriously is one who came up with idea looking body but he also is first back down when it comes it four finally decide go ahead with their plan begin their adventure which will eventually shape who they are story is narrated by grown up version gordie played by richard dreyfuss somewhere around 1985 strong performances this film are one reasons why it continues work today river phoenix was such natural is so charismatic that he steals every scene hes chemistry he shares with wheatons character is strong it reminds us all that best friend we had our childhood corey feldman must have had best agent because he starred some best films that were released 80s gremlins goonies burbs lost boys jerry oconnell is probably one that has undergone greatest physical transformation but he was perfect role vern he reminded us that friend who always seemed be butt every joke these four young actors carry film despite not having most exciting adventures way story is told is what makes it such fascinating one there are small moments like one where they gather around camp fire listen gordies story or when they are crossing pond discover its full leeches that stand out film is told through gordies recollection these events each scene feels like authentic memory someone would have such life changing experience 50s soundtrack also plays key role film since it adds overall sense nostalgia reiners film reminds me how much i actually have enjoyed stephen kings non horror stories this along with shawshank redemption green mile are my favorite film adaptations his work since its 1986 release all coming age films that have followed it seem heavily borrow it stand by me is measuring stick films this genre,0.42337186996010523,0.18262295221118752,Positive,"{'Happy': 0.15, 'Angry': 0.06, 'Surprise': 0.23, 'Sad': 0.24, 'Fear': 0.31}"
10.0,Masterful Storytelling,"This movie has such a punch. A group of boys (culled from some of the best child actors of the time) make a gruesome discovery. How they handle it will affect them their whole lives. But the story is as much about their pasts and their connection to one another. I just wrote comments on ""The Breakfast Club."" I felt that movie lacked chemistry. While every type was represented, it just didn't cook the way this one does. Part of it is that these boys, while in some ways disenfranchised, are not open books. As they interact, their dreams and hopes are drawn from them. Some seem quite settled, but when push comes to shove, they have vulnerabilities. The stories they tell give us insight into their souls. From what has happened to some of the actors, it makes one wonder if some of that suffering came from within them. There are intense scenes. There is bragging and one- upsmanship along the way. And nothing is simple or trite. On of the best movies of our time.",masterful storytelling,this movie has such punch group boys culled some best child actors time make gruesome discovery how they handle it will affect them their whole lives but story is as much about their pasts their connection one another i just wrote comments breakfast club i felt that movie lacked chemistry while every type was represented it just didnt cook way this one does part it is that these boys while some ways disenfranchised are not open books as they interact their dreams hopes are drawn them some seem quite settled but when push comes shove they have vulnerabilities stories they tell give us insight into their souls what has happened some actors it makes one wonder if some that suffering came within them there are intense scenes there is bragging one upsmanship along way nothing is simple or trite best movies our time,0.5557142857142857,0.25999999999999995,Positive,"{'Happy': 0.0, 'Angry': 0.04, 'Surprise': 0.29, 'Sad': 0.33, 'Fear': 0.33}"
