Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Super30 love for HR,"Great work done by Hrithik. Really needed to put those struggles faced by Anand Kumar and his students on screen. My fav dialogue ""India Chalang Lagaega""",super30 love hr,great work done by hrithik really needed put those struggles faced by anand kumar his students screen my fav dialogue india chalang lagaega,0.5166666666666667,0.5,Positive,"{'Happy': 0.33, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.17}"
10,Masterpiece,Just I am spechless hritik actring I am hater him bt after this movie I am die hard fan hritik..story mast class,masterpiece,just i am spechless hritik actring i am hater him bt after this movie i am die hard fan hritik story mast class,0.5416666666666666,-0.2916666666666667,Negative,"{'Happy': 0.0, 'Angry': 0.33, 'Surprise': 0.67, 'Sad': 0.0, 'Fear': 0.0}"
8,Don't listen to the critics.. it's a well made film,"It's a film take on true life story of a genius mathematician, Anand Kumar. The movie tries to give you a glimpse into the life of Anand Kumar who comes from an economically challenged family and showcaes his struggles and achievements. The story is inspiring and tries to show what can be achieved if we have the will to perform. Certain scenes enacted by Virendra Saxena who play Anand's father are truly endearing. Excellent performance by Hrithik , Amit Sadh, Pankaj Tripathi, Aditya Srivastava and Mrunal Thakur.",dont listen critics its well made film,its film take true life story genius mathematician anand kumar movie tries give you glimpse into life anand kumar who comes economically challenged family showcaes his struggles achievements story is inspiring tries show what can be achieved if we have will perform certain scenes enacted by virendra saxena who play anands father are truly endearing excellent performance by hrithik amit sadh pankaj tripathi aditya srivastava mrunal thakur,0.6776785714285715,0.33303571428571427,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.08, 'Fear': 0.46}"
10,Classy and Massy,"The film has every kind of entertainment.. Cinematography, direction, dialogues, makeup, best performances by the actors, specially Hrithik.. And above all the background score, and Music by Ajay-Atul.. That was the best thing to experience.. The story is real, and very inspiring. Overall i loved the film. Must watch..!",classy massy,film has every kind entertainment cinematography direction dialogues makeup best performances by actors specially hrithik above all background score music by ajay atul that was best thing experience story is real very inspiring overall i loved film must watch,0.5412698412698412,0.4896825396825396,Positive,"{'Happy': 0.33, 'Angry': 0.11, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.0}"
10,Super 30 is the best movie of this year,"Excellent performance by Hrithik sir in super 30 . This is one of his best performance ,movie has very good story , real life story ,direction is great. It should be blockbuster on box office . Each n every person should watch the movie it motivates you to never give up in life any thing is possible.",super 30 is best movie this year,excellent performance by hrithik sir super 30 this is one his best performance movie has very good story real life story direction is great it should be blockbuster box office each n every person should watch movie it motivates you never give up life any thing is possible,0.6403703703703704,0.6196296296296295,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.09, 'Fear': 0.27}"
10,Finest film of hrithik roshan,This is how Indian cinema should be... Masterpiece.,finest film hrithik roshan,this is how indian cinema should be masterpiece,0.0,0.0,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
10,Inspiring India..,"I remember, when I was a student of Anand Sir, he is as simple and as brilliant as played by Hrithik... Amazing roleplay by Hrithik Roshan.!! 👌👌 This is must watch movie... It's not complete biopic of Anand kumar as I think.. many things are missing in movie, as it shows a raivalary between big coaching. But Anand kumar is about a Mathematics lover who can visualise you the complex math problems as anything like living world.. as story sometime show in movie. He can show you more in any single chapter than a book... By an large today's teachers follows his vision on Mathematics as copy paste. But he is a Pioneer of this methodology. You are just Great Anand sir, and Thanks Hrithik to play such a brilliant role..",inspiring india,i remember when i was student anand sir he is as simple as brilliant as played by hrithik amazing roleplay by hrithik roshan this is must watch movie its not complete biopic anand kumar as i think many things are missing movie as it shows raivalary between big coaching but anand kumar is about mathematics lover who can visualise you complex math problems as anything like living world as story sometime show movie he can show you more any single chapter than book by large todays teachers follows his vision mathematics as copy paste but he is pioneer this methodology you are just great anand sir thanks hrithik play such brilliant role,0.51875,0.2808035714285715,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.07, 'Fear': 0.36}"
10,Super30,"A great movie by HR sir.... Tremendous work done by super30 team The great story about 30 boys ever seen , a great teacher, what a movie..!",super30,great movie by hr sir tremendous work done by super30 team great story about 30 boys ever seen great teacher what movie,0.8125,0.6833333333333333,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.17}"
5,Over the top!,"Hrithik's acting is really top notch, but otherwise pretty ordinary movie and story telling; Climax is terrible; should have made this more realistic and it would have been a much better movie.",over top,hrithiks acting is really top notch but otherwise pretty ordinary movie story telling climax is terrible should have made this more realistic it would have been much better movie,0.537037037037037,0.12962962962962962,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.2, 'Fear': 0.3}"
10,Inspiring and Motivational Movie,"An Inspirational movie, Hrithik did a great job. He gave his 100% hardwork in this movie. Movie is based on Anand Sir life who runs Super30. As I was the part of Super30 2015 batch, I know the complete story more than what shown in movie. Anand sir life has been depicted so well in this movie. A different class performance by Hrithik, Hope movie will inspire lots of youth from India and overseas.",inspiring motivational movie,inspirational movie hrithik did great job he gave his 100 hardwork this movie movie is based anand sir life who runs super30 as i was part super30 2015 batch i know complete story more than what shown movie anand sir life has been depicted so well this movie different class performance by hrithik hope movie will inspire lots youth india overseas,0.7083333333333334,0.4000000000000001,Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.08, 'Sad': 0.17, 'Fear': 0.42}"
