Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
,Notable only for how cheap it is and how little effort was put into it across the board,"Although he is Scott's cousin, Todd Howard has managed to dodge the ""family problem"" and is a perfectly normal young man starting a promising college career. Despite being very weedy and interested in becoming a vet, Todd has managed to get a sports scholarship without being sure why. Turns out that the Dean has assumed that Todd can do for the college boxing team what Scott did for his high school basketball team what with him being a werewolf and everything. Todd discovers this quickly and is keen to disappoint but his genes betray him as the ""family problem"" manifests itself suddenly. Overnight Todd is a star in the ring and on the campus – but can he manage this sudden change?When I read overly negative reviews of the first Teen Wolf film I can only silently shake my head and wonder what the same viewer makes of the sequel. I say this because, as basic as the original film is, Teen Wolf Too/Two/2/whatever is like the makers condensed the original film to the basics and then just put that out on as little money, time and effort as possible. It shows in all areas of the film but I have to start somewhere so I will do so with the actual story. The flow of it is this (a) studious kid doesn't really fit into school/college, (b) kid becomes werewolf, (c) kid becomes popular but also a major a**hole, (d) kid learns life lesson. OK, so you can see it is essentially the same film as the first time, with the sport and setting different. In terms of the telling of the story though, we literally jump between these parts without any gradual development between them. I'm not saying it needed a lot of complexity but maybe just one or two scenes bridging the gap between the elements – instead it will literally have 1 scene of him becoming a werewolf for the first time, then the next scene is him popular and doing a 50's twist (for some reason) at a party – not even a bridge which shows him winning over an initially hesitant campus. This is the same across the whole film and it makes it weaker as a film – a problem considering it would still have not been great with these scenes.This slapdash approach is reflected in the whole film and it is no surprise that the script is poor. The dialogue matches the ""good enough"" approach to the narrative – ie lines are clunky, obvious and lacking anything that would make you care enough to listen. However, producing even this level of trash was clearly too much for the writers because they appear to have been too busy to get laughs, fun or energy into the script. Visually it looks cheap. The sets are faded and unconvincing while the aim appears to have been to try and pull off ""crowd"" scenes with as few extras as possible. The wolf makeup is also really bad – never great of course but in Too it looks like a mask purchased at a corner store.With all this it is no surprise that the cast can do nothing with it. I feel sorry for Bateman but he is poor here and cannot do anything with the material handed to him. He has almost zero chemistry with Chandler as well – again neither of them helped by the material having no bridge between ""oh hi"" and ""you are the love of my life"". Astin must have hoped for more but, even though he has a glint in his eyes that suggests a fun role in the film, he does nothing and has nothing to do. Fratkin and Holton are both annoying and deliver nothing in the way of laughs that the writers clearly just assumed they would do on their own (wackiy guy and fat guy – practically writes itself.....errr, no, no it doesn't).The end product is not so much a terrible film in that everything was misjudged but rather a terrible film because nobody seems to have given a single, flying f**k about it from conception to final delivery. The plot is the same as the first film but yet so much worse and basic, with similar dialogue. The ""feel"" of the film is likewise cheap and ""make-do"" and it is no surprise that nobody in the cast can do much of anything with the whole affair. The only value the sequel has is making the first Teen Wolf film seem more fresh and filled with fun that it was.",notable only how cheap it is how little effort was put into it across board,although he is scotts cousin todd howard has managed dodge family problem is perfectly normal young man starting promising college career despite being very weedy interested becoming vet todd has managed get sports scholarship without being sure why turns out that dean has assumed that todd can do college boxing team what scott did his high school basketball team what with him being werewolf everything todd discovers this quickly is keen disappoint but his genes betray him as family problem manifests itself suddenly overnight todd is star ring campus but can he manage this sudden change when i read overly negative reviews first teen wolf film i can only silently shake my head wonder what same viewer makes sequel i say this because as basic as original film is teen wolf too two 2 whatever is like makers condensed original film basics then just put that out as little money time effort as possible it shows all areas film but i have start somewhere so i will do so with actual story flow it is this studious kid doesnt really fit into school college b kid becomes werewolf c kid becomes popular but also major hole d kid learns life lesson ok so you can see it is essentially same film as first time with sport setting different terms telling story though we literally jump between these parts without any gradual development between them im not saying it needed lot complexity but maybe just one or two scenes bridging gap between elements instead it will literally have 1 scene him becoming werewolf first time then next scene is him popular doing 50s twist some reason at party not even bridge which shows him winning over initially hesitant campus this is same across whole film it makes it weaker as film problem considering it would still have not been great with these scenes this slapdash approach is reflected whole film it is no surprise that script is poor dialogue matches good enough approach narrative ie lines are clunky obvious lacking anything that would make you care enough listen however producing even this level trash was clearly too much writers because they appear have been too busy get laughs fun or energy into script visually it looks cheap sets are faded unconvincing while aim appears have been try pull off crowd scenes with as few extras as possible wolf makeup is also really bad never great course but too it looks like mask purchased at corner store with all this it is no surprise that cast can do nothing with it i feel sorry bateman but he is poor here cannot do anything with material handed him he has almost zero chemistry with chandler as well again neither them helped by material having no bridge between oh hi you are love my life astin must have hoped more but even though he has glint his eyes that suggests fun role film he does nothing has nothing do fratkin holton are both annoying deliver nothing way laughs that writers clearly just assumed they would do their own wackiy guy fat guy practically writes itself errr no no it doesnt end product is not so much terrible film that everything was misjudged but rather terrible film because nobody seems have given single flying f k about it conception final delivery plot is same as first film but yet so much worse basic with similar dialogue feel film is likewise cheap make do it is no surprise that nobody cast can do much anything with whole affair only value sequel has is making first teen wolf film seem more fresh filled with fun that it was,0.49651334776334793,0.10351596320346322,Positive,"{'Happy': 0.12, 'Angry': 0.05, 'Surprise': 0.21, 'Sad': 0.27, 'Fear': 0.35}"
1.0,This is cash-in sequeling at it's worst.,"And to think that people complained that Return of the Jedi was too much like Star Wars...They obviously hadn't seen this movie, which is basically the exact plot of the original with different actors. Not even a token piece of originality.This is cash-in sequeling at it's worst, equalled only by the likes of Grease 2. Avoid it, or you'll think you're watching the original with new voices dubbed over the top.",this is cash sequeling at its worst,think that people complained that return jedi was too much like star wars they obviously hadnt seen this movie which is basically exact plot original with different actors not even token piece originality this is cash sequeling at its worst equalled only by likes grease 2 avoid it or youll think youre watching original with new voices dubbed over top,0.6003787878787878,-0.03863636363636364,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.33, 'Fear': 0.22}"
2.0,Ouch,"It's a sad truth that there are a lot of bad werewolf movies out there. But there are a few that really stand out as being among the worst of the worst ... and ""Teen Wolf Too"" is undoubtedly one of them.It follows pretty much the same plot as the first movie, which was itself a recycled formula. Todd Howard (cousin of Scott from the first movie), a hard-working science student, arrives in college wanting to work towards becoming a vet. But there's one snag -- he's there under a sports scholarship, and unless he performs well in the boxing tournament his place in the college is at stake. Thankfully, he finds himself succumbing to his cousin's lycanthropic curse and becomes a popular and agile werewolf. But in the process he, of course, forgets who his real friends are.There are numerous recurring characters from the first movie, some of whom have inexplicably moved to this college. There are Scott's high school chums, Chubby and Stiles -- Stiles is this time played by Stuart Fratkin, who also appeared in an episode of the TV show ""Werewolf"" the same year (""A Material Girl""). Scott's dad also makes a few appearances, as well as the Scott's coach, who is also played by a different actor this time. But of course, none of this matters ... without Michael J Fox, this movie was pretty much doomed from the start. He was pretty much the only thing that saved ""Teen Wolf"" from being a flop.The dialogue is unbearable, the directing is clumsy, and the acting in places is downright appalling. Since this is basically a remake of the first movie, there's absolutely no reason to watch it. Just watch the original, and forget about this one altogether. There's hardly anything good to say about it at all. And believe it or not, it still made money. In fact it's very surprising that we didn't see a ""Teen Wolf Three"" the next year. Thank heavens for small blessings ...",ouch,its sad truth that there are lot bad werewolf movies out there but there are few that really stand out as being among worst worst teen wolf too is undoubtedly one them it follows pretty much same plot as first movie which was itself recycled formula todd howard cousin scott first movie hard working science student arrives college wanting work towards becoming vet but theres one snag hes there under sports scholarship unless he performs well boxing tournament his place college is at stake thankfully he finds himself succumbing his cousins lycanthropic curse becomes popular agile werewolf but process he course forgets who his real friends are there are numerous recurring characters first movie some whom have inexplicably moved this college there are scotts high school chums chubby stiles stiles is this time played by stuart fratkin who also appeared episode tv show werewolf same year material girl scotts dad also makes few appearances as well as scotts coach who is also played by different actor this time but course none this matters without michael j fox this movie was pretty much doomed start he was pretty much only thing that saved teen wolf being flop dialogue is unbearable directing is clumsy acting places is downright appalling since this is basically remake first movie theres absolutely no reason watch it just watch original forget about this one altogether theres hardly anything good say about it at all believe it or not it still made money fact its very surprising that we didnt see teen wolf three next year thank heavens small blessings,0.5218333333333333,0.006541666666666673,Positive,"{'Happy': 0.1, 'Angry': 0.1, 'Surprise': 0.25, 'Sad': 0.24, 'Fear': 0.32}"
,Sweet Merciful God Why?,"After a lifetime of watching movies and searching for the greatest moment in cinematic history, I've finally found it. Is it Orson Welles' breathless death-rattle of `. . . rosebud.' In Citizen Kane? No. How about Al Pacino giving Fredo the kiss of death in Godfather II? Try again. What about Peter Finch screaming into the Network camera `I'm mad as hell, and I'm not gonna take it ANYMORE!' . . . not even close.Are you ready? Here it is: the greatest moment in contemporary motion picture history is . . . in Teen Wolf Too when Jason Bateman (as the Wolf) runs across the park, leaps through the air in slow motion, and comes down with a Frisbee in his mouth-all without losing that stupid hat he had on!Oh, but this film is peppered with other fantastic gems. Like the part where the Wolf and Chubby where cruising around in the University Corvette (what, your school didn't have one?) and they almost ran that guy on the bike over and the Wolf just kept laughing and laughing--good times; or what about when Chubby was in the ring and he bounced the smaller guy into the ropes, put his hand on his hip, twirled his fist and knocked the kid out; ew! ew! ew! I know! What about when the Wolf was singing `Do You Love Me!' Remember? When he had that little suit on and he was strutting his choreographed stuff with the team of wannabe Solid Gold Dancers? Box office dynamite!I don't remember a huge portion of this film, because the part of my brain that controls my higher cognitive functions shut down somewhere between the part where Chubby farts and Stiles sits in the smell and the part where the science teacher walks away from Gomez Addams with a tail wagging from under her skirt. Just thinking about it makes my lobes tingle and go numb.If there was one thing worse than the moron who played Stiles in Teen Wolf, it has got to be the guy that played Stiles in Teen Wolf Too. Oh my God that guy was horrible. The only highlight of this movie was when Stiles gets punched-out in between rounds of the big climactic fight scene-I like it because I've convinced myself that it was an outtake and he REALLY got hit. Take THAT Stuart Fratkin! What was he thinking? `Yeah, I landed a SWEET gig on Teen Wolf Too-I'm STILES! Just the springboard my career needs!' Yeah, look out DeNiro, here comes Stuart Fratkin.My buddy Marc brought this movie over to my house and I'm not sure what to think. This is the same friend that exposed me to Pumpkinhead 2. The only thing I can figure is that he is one of many alien infiltrators sent to Earth to use bad movies to brainwash people into a zombie-like trance, making way for an alien take over. To those in a similar circumstance, I say RESIST! You're not taking my soul with Teen Wolf Too, Marc! I'm on to you fella!",sweet merciful god why,after lifetime watching movies searching greatest moment cinematic history ive finally found it is it orson welles breathless death rattle rosebud citizen kane no how about al pacino giving fredo kiss death godfather ii try again what about peter finch screaming into network camera im mad as hell im not gonna take it anymore not even close are you ready here it is greatest moment contemporary motion picture history is teen wolf too when jason bateman as wolf runs across park leaps through air slow motion comes down with frisbee his mouth all without losing that stupid hat he had oh but this film is peppered with other fantastic gems like part where wolf chubby where cruising around university corvette what your school didnt have one they almost ran that guy bike over wolf just kept laughing laughing good times or what about when chubby was ring he bounced smaller guy into ropes put his hand his hip twirled his fist knocked kid out ew ew ew i know what about when wolf was singing do you love me remember when he had that little suit he was strutting his choreographed stuff with team wannabe solid gold dancers box office dynamite i dont remember huge portion this film because part my brain that controls my higher cognitive functions shut down somewhere between part where chubby farts stiles sits smell part where science teacher walks away gomez addams with tail wagging under her skirt just thinking about it makes my lobes tingle go numb if there was one thing worse than moron who played stiles teen wolf it has got be guy that played stiles teen wolf too oh my god that guy was horrible only highlight this movie was when stiles gets punched out between rounds big climactic fight scene i like it because ive convinced myself that it was outtake he really got hit take that stuart fratkin what was he thinking yeah i landed sweet gig teen wolf too im stiles just springboard my career needs yeah look out deniro here comes stuart fratkin my buddy marc brought this movie over my house im not sure what think this is same friend that exposed me pumpkinhead 2 only thing i can figure is that he is one many alien infiltrators sent earth use bad movies brainwash people into zombie like trance making way alien take over those similar circumstance i say resist youre not taking my soul with teen wolf too marc im you fella,0.5465116279069767,-0.02051033591731266,Negative,"{'Happy': 0.1, 'Angry': 0.16, 'Surprise': 0.26, 'Sad': 0.14, 'Fear': 0.34}"
1.0,I don't even know where to begin.,"I am going to start out by admitting that even though I think the original Teen Wolf is a pretty stupid movie, I actually like it quite a bit. I don't know what it is about it that I like, but for the last couple of months I've found myself watching my copy of Teen Wolf about once a week.I decided to purchase (you gotta OWN these titles, that's the fun of it.) a copy of Teen Wolf Too on eBay for $4. The only other time I had seen this movie was when I was in 4th grade, which was over a decade ago. I didn't remember much about it, save a couple of moments involving Chubby.I just finished watching the movie for the first time in 11 years, and I can say with complete certainty that this is one of the worst movies I've seen in a LONG time. In many ways, this is the *perfect* bad sequel... The first film wasn't especially good or commercially successful, so it seems pointless to have even considered making another chapter in the Teen Wolf saga. They also weren't able to get the big star of the first movie (Michael J. Fox) to come back, so they instead focused on his cousin, whose personality is almost exactly the same. Even further, they decided to bring back a few of the characters from the first movie, only two of which are played by the same actors. Stiles, who was corny but funny in Teen Wolf, has been replaced by an actor who isn't nearly as convincing or amusing. Coach Finstock, who was the only genuinely funny character in the first film, is now played by a man whose line delivery made me laugh exactly zero times throughout the course of the film.These discrepancies aside, the plot of this film is crap. It's basically exactly the same as the original, only even more sketchy. Anyone who hasn't seen Teen Wolf will probably not be able to make sense of the plot, not that any of them would actually watch this ridiculous film in its entirety.I could probably write a fairly long essay on the problems with this movie, but I'm limited to 1000 words here. I would comment more on the many specific elements that make this movie stupid, but I don't want to waste more of anyone's time. And since I'm trying to keep you from wasting your time, then I will recommend that you do not watch this movie. Ever. Anyone who says that this movie is not that bad is wrong.",i dont even know where begin,i am going start out by admitting that even though i think original teen wolf is pretty stupid movie i actually like it quite bit i dont know what it is about it that i like but last couple months ive found myself watching my copy teen wolf about once week i decided purchase you gotta own these titles thats fun it copy teen wolf too ebay 4 only other time i had seen this movie was when i was 4th grade which was over decade ago i didnt remember much about it save couple moments involving chubby i just finished watching movie first time 11 years i can say with complete certainty that this is one worst movies ive seen long time many ways this is perfect bad sequel first film wasnt especially good or commercially successful so it seems pointless have even considered making another chapter teen wolf saga they also werent able get big star first movie michael j fox come back so they instead focused his cousin whose personality is almost exactly same even further they decided bring back few characters first movie only two which are played by same actors stiles who was corny but funny teen wolf has been replaced by actor who isnt nearly as convincing or amusing coach finstock who was only genuinely funny character first film is now played by man whose line delivery made me laugh exactly zero times throughout course film these discrepancies aside plot this film is crap its basically exactly same as original only even more sketchy anyone who hasnt seen teen wolf will probably not be able make sense plot not that any them would actually watch this ridiculous film its entirety i could probably write fairly long essay problems with this movie but im limited 1000 words here i would comment more many specific elements that make this movie stupid but i dont want waste more anyones time since im trying keep you wasting your time then i will recommend that you do not watch this movie ever anyone who says that this movie is not that bad is wrong,0.4896019345238095,0.08234747023809524,Positive,"{'Happy': 0.04, 'Angry': 0.1, 'Surprise': 0.29, 'Sad': 0.22, 'Fear': 0.35}"
1.0,"""Too"" much of a bad thing....","Jason Bateman is no Michael J. Fox. Ouch.And ""Teen Wolf Too"" is not as good as ""Teen Wolf"". BIG ouch.Not that the original had anything going for it except for Fox, but this sequel doesn't even try. Just a change of locale and a COUSIN in the same family (explaining Hampton's appearance here) who gets on the boxing team as the wolf in question, forcing his grades to suffer, and blah and blah and blah....Give me a break. For a comedy as insubstantial as this one to expound on the virtues of education is like Joey Buttafuoco talking about celibacy. I'm sorry, but ""Teen Wolf Too"" is just a bad excuse for a sequel to a movie that wasn't that great to begin with. Forget about it.No stars and no excuses for ""Teen Wolf Too"": the movie that proves a movie about a wolf can just as easily turn into a dog.",too much bad thing,jason bateman is no michael j fox ouch teen wolf too is not as good as teen wolf big ouch not that original had anything going it except fox but this sequel doesnt even try just change locale cousin same family explaining hamptons appearance here who gets boxing team as wolf question forcing his grades suffer blah blah blah give me break comedy as insubstantial as this one expound virtues education is like joey buttafuoco talking about celibacy im sorry but teen wolf too is just bad excuse sequel movie that wasnt that great begin with forget about it no stars no excuses teen wolf too movie that proves movie about wolf can just as easily turn into dog,0.3694444444444444,0.04388888888888891,Positive,"{'Happy': 0.08, 'Angry': 0.19, 'Surprise': 0.23, 'Sad': 0.27, 'Fear': 0.23}"
1.0,"Teen Wolf was good, Teen Wolf Too is horrible","I liked Teen Wolf. It was fun, charming and likable without being a masterpiece. However, this sequel is horrible in every regard. Not even Jason Bateman's hotness can save it, particularly seeing as his acting here is not very good and that's an understatement. The rest of the acting is poor, that is including Kim Darby and John Astin, and it doesn't help that their characters are written so badly. The production values, especially the editing are shoddy, the story is predictable and feels like a rehash and the writing is clunky. Even the soundtrack isn't as infectious this time round. Overall, a horrible film. 1/10 Bethany Cox",teen wolf was good teen wolf too is horrible,i liked teen wolf it was fun charming likable without being masterpiece however this sequel is horrible every regard not even jason batemans hotness can save it particularly seeing as his acting here is not very good thats understatement rest acting is poor that is including kim darby john astin it doesnt help that their characters are written so badly production values especially editing are shoddy story is predictable feels like rehash writing is clunky even soundtrack isnt as infectious this time round overall horrible film 1 10 bethany cox,0.4591973244147158,-0.09358974358974359,Negative,"{'Happy': 0.33, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.11, 'Fear': 0.22}"
1.0,Sucks,"Teen Wolf 2 is a pale copy of teen wolf. The first movie is great the second one just boring, not funny, and it sucks. The characters are faked and the plot is just the same as it is in Teen Wolf 1. I fell asleep when I first saw it, and I'm not going to see again ever.",sucks,teen wolf 2 is pale copy teen wolf first movie is great second one just boring not funny it sucks characters are faked plot is just same as it is teen wolf 1 i fell asleep when i first saw it im not going see again ever,0.3324358974358974,-0.048846153846153845,Negative,"{'Happy': 0.07, 'Angry': 0.43, 'Surprise': 0.21, 'Sad': 0.14, 'Fear': 0.14}"
4.0,A sequel that shouldn't have been made,"Does Hollywood ever learn? You can't top a film like 'Teen Wolf.' All you can do is defile its existence by producing a sequel like this. The movie isn't worth watching unless you're a Jason Bateman fanatic or a masochist.The plot from the first movie is reduxed here, and poorly. The message is the same. The moral is the same. The only thing that's changed is the faces, because the majority of the cast from the first movie was wise to avoid this bomb. The dad from 'Teen Wolf' makes an appearance, and that's all I can remember (without checking the listing). A forgettable flop.",sequel that shouldnt have been made,does hollywood ever learn you cant top film like teen wolf all you can do is defile its existence by producing sequel like this movie isnt worth watching unless youre jason bateman fanatic or masochist plot first movie is reduxed here poorly message is same moral is same only thing thats changed is faces because majority cast first movie was wise avoid this bomb dad teen wolf makes appearance thats all i can remember without checking listing forgettable flop,0.3976190476190476,0.05714285714285713,Positive,"{'Happy': 0.0, 'Angry': 0.21, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.21}"
1.0,"Dear God, Why?","This one ranks up there with Mannequin 2 and Weekend at Bernie's 2 as the worst sequels of all time. As if the cheesy first film starring Michael J Fox wasn't bad enough, some dink in Hollywood decided that a second must be made despite the fact that there were many obvious signs not to make it. Shouldn't the signs be clear when you can't get star of the film back, or half the rest of the cast who realized they'd be doomed to the C circuit forever?This is just a poor rehash of an already terrible idea. Geek (Jason Bateman) going to school, is somehow into athletics when he should really be into studying and insects, is in love with the hot chick on campus but doesn't notice the blistering crush the longtime girl friend has on him. He turns into a wolf, parties, gets really good at sports, learns a lesson, and then wins as himself instead of using the magic powers Oden inferred upon him and discovers that the longtime girl friend is the hottest chick in the movie. yay. I only have a few thoughts on this flick though. Why did they feel the need to bring back Mr Howard? I mean, they could have made a clean break, cast all new people and just made it another film that had a similar 'plot'. But instead, they bring back incidental characters from the first film that weren't that entertaining then. They bring back Scott's friend Stiles. How does he know Todd (Bateman)? I'm not really sure. I'm kind of surprised he knew him since this Stiles looks completely different do to either complete facial reconstruction or a casting change. Not that it matters, as the annoying character he is, the less you remember his face, the more better off you are. Why is Chubby in this film? I mean, talk about bringing back a character that brought nothing to the table. The only thing he did in the first film was eat jello from a girls cleavege. Sure, we all want to do that just once, but it still shouldn't mean getting into another film.And why Boxing? I mean, what colleges have a boxing circuit? And does Bateman look like he could hurt a fly? At least basketball, football or even baseball could pass. Hell, track and field!! But, alas, they decided Boxing was the way to go. Another great choice by these people. I'm shocked they're still working after all this.At least Bateman has redeemed himself by doing some good work on Arrested Development. But it'll take an Oscar for me to ever forgive this horrendous film. Avoid it like the plague and thank the lord above if you've never seen it. Amen.",dear god why,this one ranks up there with mannequin 2 weekend at bernies 2 as worst sequels all time as if cheesy first film starring michael j fox wasnt bad enough some dink hollywood decided that second must be made despite fact that there were many obvious signs not make it shouldnt signs be clear when you cant get star film back or half rest cast who realized theyd be doomed c circuit forever this is just poor rehash already terrible idea geek jason bateman going school is somehow into athletics when he should really be into studying insects is love with hot chick campus but doesnt notice blistering crush longtime girl friend has him he turns into wolf parties gets really good at sports learns lesson then wins as himself instead using magic powers oden inferred upon him discovers that longtime girl friend is hottest chick movie yay i only have few thoughts this flick though why did they feel need bring back mr howard i mean they could have made clean break cast all new people just made it another film that had similar plot but instead they bring back incidental characters first film that werent that entertaining then they bring back scotts friend stiles how does he know todd bateman im not really sure im kind surprised he knew him since this stiles looks completely different do either complete facial reconstruction or casting change not that it matters as annoying character he is less you remember his face more better off you are why is chubby this film i mean talk about bringing back character that brought nothing table only thing he did first film was eat jello girls cleavege sure we all want do that just once but it still shouldnt mean getting into another film why boxing i mean what colleges have boxing circuit does bateman look like he could hurt fly at least basketball football or even baseball could pass hell track field but alas they decided boxing was way go another great choice by these people im shocked theyre still working after all this at least bateman has redeemed himself by doing some good work arrested development but itll take oscar me ever forgive this horrendous film avoid it like plague thank lord above if youve never seen it amen,0.5243867243867243,0.02178030303030303,Positive,"{'Happy': 0.11, 'Angry': 0.04, 'Surprise': 0.28, 'Sad': 0.25, 'Fear': 0.31}"
