Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,I Feel Cheated,"There are different expressions and feelings one has when he comes out of a theater after watching a film. At times I am thinking, at times smiling, at times in awe of what I just saw and at times thanking myself for not being one of the characters. When I came out of the houseful theater on the first day second show of Tees Maar Khan (TMK), the only emotion I had was anger. Sheer anger. I felt cheated and betrayed and disappointed. This is going to be the worst review I will ever write for a movie.Main Hoon Na and Om Shanti Om did not go too well with me either and I am not too agreed with the Farah Khan way of filmmaking but TMK still managed to shock me. Farah is a fantastic choreographer but as a director, she just killed a cine-goer inside me. The best thing about this two and a half hour was the promo of 'No One Killed Jessica'. I am so looking forward to that.Apparently an official remake of After the Fox, TMK is a story (if it can be called a story) of a con artist pretending to be a film director to put his hands on 10 tons of precious antiques. During this process you come across Three Gay partners of TMK: I don't know why they act gay but they do. Probably it was supposed to be funny. Two Gay cops chasing TMK: they don't act gay; they are gays and they even hint at marrying each other. Three Gay villagers: they become friends with Katrina Kaif and she calls them girls. Twin Criminal brothers: and they are not just twins, they are conjoined twins. Not to forget, they wear gay clothes and act gay too.With all this overdose of gay jokes, there are idiotic police officers trying to nail TMK down and they crack unbelievably horrible jokes. There is TMK's mother who is slightly better than the rest when it comes to being funny. The film starts with a lousy animated title song of a baby in the mother's womb and he has his eye brow pierced even then. In the time when special effects have gone to a new level, TMK brings a basic animation which makes you wonder where the film is headed to.Songs come out of nowhere and are forcefully fitted in to the scenes. The overly hyped Sheila comes and goes in the first fifteen minutes. A scene finishes and TMK decides to call his friend Salman Khan of Dabangg for a song and dance. Are you serious? The choreography, however, is good. 'Wallah Re Wallah' and 'Bade Dil Wala' were enjoyable.The film has Akshay Khanna as Aatish Kapoor in the worst possible supporting actor role. He plays a film actor who wants to win Oscar just like Anil Kapoor did for Slumdog. Interestingly, Anil never won an Oscar for that film. Aatish also comes up with his own version of Jai Ho called 'Day Ho'. Yes, Day as in DAY TIME. He thinks it's funny and dances on this song with great zeal. He is probably mocking Saif Ali Khan because he is also seen in a Saif like bandana.Katrina Kaif has lost a lot of weight and looks good with her navel show throughout the film. She is one actress who follows the director's brief to the tee because she knows she is not talented enough to improvise. Here too, she seems to be following the director's brief and overacts as much as possible. Actually, she overacts more than it's humanly possible for any actress.Actress, I said, because Akshay Kumar is also there. What was he thinking? I have no idea. To start with, 50% of the times he also acts gay and delivers his dialog with lady-like hand movement and voice. Mostly when he is playing the movie director. It seems to be deliberate a take on Karan Johar though. Here is an actor who was touching the pinnacle of his career a year back with highest grossing and enjoyable films but since Singh is King he has come up with one dud after another.The less said about Farah the better it is. My main culprit, however, is Shirish Kunder. Mr. Kunder is trying to pull up a one-man-show here. He is the writer, editor, lyricist and even the producer of TMK. As an editor, he has a credible history but as a writer his previous work is 'Jaan-e-man' which he also directed. That Akshay starrer was also a pretty lousy show. I would strongly suggest Mr. Kunder to remain in his limits i.e. editing.TMK is likely to have a 50 crore opening weekend which has so far been achieved only by Dabangg. It will be a shame if it grosses more than Dabangg did because Dabangg was a very highly entertaining effort. TMK will for sure recover its cost and make profits for the producers (which is unfair) but I don't expect it to do well with audience in the second week onwards.I go to the cinema with the expectations to at least get value for my money and time. In that regard, TEES MAAR KHAN is not a movie. It's a CRIME and the people behind it need to be punished in such a way that it becomes example for others attempting to create such a shame.",i feel cheated,there are different expressions feelings one has when he comes out theater after watching film at times i am thinking at times smiling at times awe what i just saw at times thanking myself not being one characters when i came out houseful theater first day second show tees maar khan tmk only emotion i had was anger sheer anger i felt cheated betrayed disappointed this is going be worst review i will ever write movie main hoon na om shanti om did not go too well with me either i am not too agreed with farah khan way filmmaking but tmk still managed shock me farah is fantastic choreographer but as director she just killed cine goer inside me best thing about this two half hour was promo no one killed jessica i am so looking forward that apparently official remake after fox tmk is story if it can be called story con artist pretending be film director put his hands 10 tons precious antiques during this process you come across three gay partners tmk i dont know why they act gay but they do probably it was supposed be funny two gay cops chasing tmk they dont act gay they are gays they even hint at marrying each other three gay villagers they become friends with katrina kaif she calls them girls twin criminal brothers they are not just twins they are conjoined twins not forget they wear gay clothes act gay too with all this overdose gay jokes there are idiotic police officers trying nail tmk down they crack unbelievably horrible jokes there is tmks mother who is slightly better than rest when it comes being funny film starts with lousy animated title song baby mothers womb he has his eye brow pierced even then time when special effects have gone new level tmk brings basic animation which makes you wonder where film is headed songs come out nowhere are forcefully fitted scenes overly hyped sheila comes goes first fifteen minutes scene finishes tmk decides call his friend salman khan dabangg song dance are you serious choreography however is good wallah re wallah bade dil wala were enjoyable film has akshay khanna as aatish kapoor worst possible supporting actor role he plays film actor who wants win oscar just like anil kapoor did slumdog interestingly anil never won oscar that film aatish also comes up with his own version jai ho called day ho yes day as day time he thinks its funny dances this song with great zeal he is probably mocking saif ali khan because he is also seen saif like bandana katrina kaif has lost lot weight looks good with her navel show throughout film she is one actress who follows directors brief tee because she knows she is not talented enough improvise here too she seems be following directors brief overacts as much as possible actually she overacts more than its humanly possible any actress actress i said because akshay kumar is also there what was he thinking i have no idea start with 50 times he also acts gay delivers his dialog with lady like hand movement voice mostly when he is playing movie director it seems be deliberate take karan johar though here is actor who was touching pinnacle his career year back with highest grossing enjoyable films but since singh is king he has come up with one dud after another less said about farah better it is my main culprit however is shirish kunder mr kunder is trying pull up one man show here he is writer editor lyricist even producer tmk as editor he has credible history but as writer his previous work is jaan e man which he also directed that akshay starrer was also pretty lousy show i would strongly suggest mr kunder remain his limits i e editing tmk is likely have 50 crore opening weekend which has so far been achieved only by dabangg it will be shame if it grosses more than dabangg did because dabangg was very highly entertaining effort tmk will sure recover its cost make profits producers which is unfair but i dont expect it do well with audience second week onwards i go cinema with expectations at least get value my money time that regard tees maar khan is not movie its crime people behind it need be punished such way that it becomes example others attempting create such shame,0.5610245310245313,0.09681903064256003,Positive,"{'Happy': 0.22, 'Angry': 0.03, 'Surprise': 0.31, 'Sad': 0.21, 'Fear': 0.24}"
,One of the most irritating movie of all time,"Right from the first scene till the end scene the viewers will ask question to themselves what is going on.plain jokes and it looks like the actors were told to deliver the dialogues by themselves as the director couldn't get the dialog writer. plain jokes, over acting over the top performance from each and every actor even the most serious natural and sober actors like akshaye, sudhir and anjan did over acting in this movie. songs boring, no action scenes. no problem, G3 and phir hera pheri which even AK didn't liked were far better movie and entertaining than TMS. why AK backed this project as producer and why farah khan is continuing movies after the crap MHN and OSO.she will never ever become manmohan desai.even her brother should stop making movies.Advice: don't waste your money and timerating 0.5 out of 10",one most irritating movie all time,right first scene till end scene viewers will ask question themselves what is going plain jokes it looks like actors were told deliver dialogues by themselves as director couldnt get dialog writer plain jokes over acting over top performance each every actor even most serious natural sober actors like akshaye sudhir anjan did over acting this movie songs boring no action scenes no problem g3 phir hera pheri which even ak didnt liked were far better movie entertaining than tms why ak backed this project as producer why farah khan is continuing movies after crap mhn oso she will never ever become manmohan desai even her brother should stop making movies advice dont waste your money timerating 0 5 out 10,0.4785714285714286,0.03446712018140589,Positive,"{'Happy': 0.08, 'Angry': 0.04, 'Surprise': 0.28, 'Sad': 0.2, 'Fear': 0.4}"
1.0,What the FK is going on?,"Farah Khan (FK) seems to have lost her bearings with this one. Being fun loving and irreverent is one thing, but making a movie full of PJs is really pushing it! Akshay Kumar's brand of comedy seems completely out of sync with Farah's brand of humor and the result is a disaster only made tolerable if you are salivating over Katrina Kaif grooving to 'Sheila Ki Jawani' or seeing Akshay and Salman dance together. The script is pretty nonsensical and a stretch even by outrageous plot standards (a conman making a fake movie and convincing a big Bollywood star that it will win an Oscar? Seriously, give me a break!!) and the jokes are pretty weak all through. Tees Maar Khan, for lack of a worser word, is utter trash!",what fk is going,farah khan fk seems have lost her bearings with this one being fun loving irreverent is one thing but making movie full pjs is really pushing it akshay kumars brand comedy seems completely out sync with farahs brand humor result is disaster only made tolerable if you are salivating over katrina kaif grooving sheila ki jawani or seeing akshay salman dance together script is pretty nonsensical stretch even by outrageous plot standards conman making fake movie convincing big bollywood star that it will win oscar seriously give me break jokes are pretty weak all through tees maar khan lack worser word is utter trash,0.6932291666666667,0.07135416666666668,Positive,"{'Happy': 0.18, 'Angry': 0.07, 'Surprise': 0.14, 'Sad': 0.46, 'Fear': 0.14}"
2.0,Absolute rubbish,"What kind of a film is this? There is no story whatsoever, not one joke is funny and everyone screams, screams, screams and screams in the film till you want to kill yourself in frustration.All the jokes in the film are in poor taste and just about everyone is made fun of. This is the kind of film that makes you wonder whether the writers of the film have any common sense or rather, does this film have any writer in the first place.The only saving grace is Akshaye Khanna who is in form and performs well as the Oscar-hungry actor.It seems as if Akshay Kumar wants to end his film career by choosing to do films such as this and his string of pathetic films in the past 2 years.Director Farah Khan has shown a lot of promise in her first 2 films and must write scripts herself instead of entrusting this responsibility to others.Shiela Ki Jawani has been superbly choreographed and the end credits are in trademark Farah Khan style.But are you ready to endure two hours of torture for 10 minutes of fun? Trust me, it's not worth it.A nonsensical, idiotic, lame and senseless film. Avoid it at all costs.",absolute rubbish,what kind film is this there is no story whatsoever not one joke is funny everyone screams screams screams screams film till you want kill yourself frustration all jokes film are poor taste just about everyone is made fun this is kind film that makes you wonder whether writers film have any common sense or rather does this film have any writer first place only saving grace is akshaye khanna who is form performs well as oscar hungry actor it seems as if akshay kumar wants end his film career by choosing do films such as this his string pathetic films past 2 years director farah khan has shown lot promise her first 2 films must write scripts herself instead entrusting this responsibility others shiela ki jawani has been superbly choreographed end credits are trademark farah khan style but are you ready endure two hours torture 10 minutes fun trust me its not worth it nonsensical idiotic lame senseless film avoid it at all costs,0.595,0.04416666666666667,Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.22, 'Sad': 0.25, 'Fear': 0.31}"
1.0,Worst Movie of 2010,"TMK is the worst movie of 2010. The story is awful and direction of Farah Khan is even more awful. I wish Farah had put more effort in script rather than songs. Apart from Akshay Kumar nothing is this movie is good. Some of his cheeky dialogues will make you laugh but again its not worth to watch the movie.Movie has copied several scenes from various movies and Farah has tried to put all Masala in the movie for which she is famous for. But unfortunately story don't have the weight to carry this movie. Senseless jokes are not going to make a movie entertaining.Don't watch the movie. That's my verdict. Forget about previous movies of Farah Khan, they were good because of SRK and the direction tips she were getting from Karan Johar. This movie seems good only during the songs.Worst movie of 2010.",worst movie 2010,tmk is worst movie 2010 story is awful direction farah khan is even more awful i wish farah had put more effort script rather than songs apart akshay kumar nothing is this movie is good some his cheeky dialogues will make you laugh but again its not worth watch movie movie has copied several scenes various movies farah has tried put all masala movie which she is famous but unfortunately story dont have weight carry this movie senseless jokes are not going make movie entertaining dont watch movie thats my verdict forget about previous movies farah khan they were good because srk direction tips she were getting karan johar this movie seems good only during songs worst movie 2010,0.6508771929824559,-0.07456140350877194,Negative,"{'Happy': 0.19, 'Angry': 0.05, 'Surprise': 0.1, 'Sad': 0.52, 'Fear': 0.14}"
1.0,Not a movie!!!!!!!!,"This wasn't a movie it was ""the change"" in passive sense.it was a bloody slap on the face of Indian cinema entertainment.nothing was of sense ,cant be categorized under any category.was it done just for money making by taking big stars and releasing on Christmas. May god Save the Indian cinema from the bad effects of upcoming nonsense movies Like this. Never watch this movie .... Few stupid things to be noticed: -- -poor jokes, poorly executed action sequences –dialogues full of overacting. –good actors were not able to show their talents due to bad direction and poor script. –promotion was done as if a blockbuster movie was going to be released.A strict law should be made to check the movie's quality before its release, because its just like robbing viewers pocket in a gentle way ..",not movie,this wasnt movie it was change passive sense it was bloody slap face indian cinema entertainment nothing was sense cant be categorized under any category was it done just money making by taking big stars releasing christmas may god save indian cinema bad effects upcoming nonsense movies like this never watch this movie few stupid things be noticed poor jokes poorly executed action sequences dialogues full overacting good actors were not able show their talents due bad direction poor script promotion was done as if blockbuster movie was going be released strict law should be made check movies quality before its release because its just like robbing viewers pocket gentle way,0.5522222222222222,-0.22833333333333325,Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.22}"
1.0,want to take revenge from your enemy? just tell him to watch this,"By making this movie the Bollywood directors-producers had clear this thing that we people are mad and we'll clearly like this BULLSH!T which has made by them...and i think they are right, what we Indian viewers really want is the senseless comedy, item numbers and the great stars like Akki-Salmaan that is why the movies like TMK, No Problem, G-3, Dabangg etc etc are the big hits...this is creating trouble for those viewers who like the off beat films, the directors-producers of India are making these comedy films and in reply they are making the huge profits out of it because of us only, i never wanted to see this movie but my parents insisted me and i was there at the cinema, starting 5 minutes had clearly explained us that this movie will be not easy to handle at all, and yes i was right...script poor, storyline average, acting of the full cast except Akshay Khanna was seriously poor and poor direction...people don't like the movies which need to use mind and this is clearly proved by making such a SH!T...i am angry now, this is the waste of money, time and cast! Sorry if i had hurt anyone's feeling but this is true which i had mention above.",want take revenge your enemy just tell him watch this,by making this movie bollywood directors producers had clear this thing that we people are mad well clearly like this bullsh t which has made by them i think they are right what we indian viewers really want is senseless comedy item numbers great stars like akki salmaan that is why movies like tmk no problem g 3 dabangg etc etc are big hits this is creating trouble those viewers who like off beat films directors producers india are making these comedy films reply they are making huge profits out it because us only i never wanted see this movie but my parents insisted me i was there at cinema starting 5 minutes had clearly explained us that this movie will be not easy handle at all yes i was right script poor storyline average acting full cast except akshay khanna was seriously poor poor direction people dont like movies which need use mind this is clearly proved by making such sh t i am angry now this is waste money time cast sorry if i had hurt anyones feeling but this is true which i had mention above,0.5069664902998235,-0.019268077601410923,Negative,"{'Happy': 0.03, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.33, 'Fear': 0.3}"
7.0,Why does everyone hate this movie so much?,"I thought this movie was incredibly hilarious. The makers tried to introduce a different type of humor thats more commonly found in western films. Maybe the Indian audience is not able to relate to it, and thats ok.If you like movies such Zoolander, Ace Ventura, sausage party, give this one a shot and you might like this as I did too!",why does everyone hate this movie so much,i thought this movie was incredibly hilarious makers tried introduce different type humor thats more commonly found western films maybe indian audience is not able relate it thats ok if you like movies such zoolander ace ventura sausage party give this one shot you might like this as i did too,0.5325,0.03499999999999999,Positive,"{'Happy': 0.11, 'Angry': 0.11, 'Surprise': 0.11, 'Sad': 0.22, 'Fear': 0.44}"
3.0,Inane and Pedestrian!,"TEES MAAR KHAN Bollywood is replete with examples of fetishes of film makers who closely associate these fetishes with the success of their films. The earliest example is that of film maker J Omprakash who always wanted his movie titles to begin with A; and in recent times we have the example of Karan Johar, who has a similar fetish with the letter K. Farah Khan, who began her career as a choreographer and quickly moved into the shoes of another Khan choreographer (Saroj Khan) quickly won a lot of acclaim for her work and then decided to expand her role to include film direction. Having got the box-office ringing with her first two ventures, MAIN HOON NA and OM SHANTI OM (both of which had Shah Rukh Khan playing the lead), she perhaps concluded that since both the films had three words, three is a lucky number for her. So soon after the success of the first two movies, she gave birth to triplets and her husband, an electronics engineer, Shirish Kunder and she floated a production house called Three's Company! She also perhaps knew that the presence of Shah Rukh Khan in the first two movies was a big factor for the success of those movies, but because she was not having him in her next movie (I will not go into the reasons for that here), she felt that the word KHAN appearing in the title would help. When she was finding it difficult to combine the word KHAN with her fetish for ""TEEN"" to get the title of her new movie, I presume a well-wisher perhaps told her that using a multiplication factor of ten would triple the chances of the movie's success; thus the word ""TEES"" came into the title. The choice of the third word was relatively easy, since the phrase TEES MAAR KHAN connoted a braggart and which was in tune with the character of the script itself. The next exercise was to find an inspiration for this tale and happily for her, that was also a three worded Peter Sellers starrer: AFTER THE FOX. Also, perhaps other well wishers suggested to her that she must have as many Ks as was possible in the film crew and therefore had her husband Kunder work for the background music, write(?) the story, co-produce and write some of the lyrics. The star cast also had a number of Ks: AKshay Kumar, AKshaye Khanna, Katrina Kaif, Sachin KhedeKar and special artistes like Salman Khan and Anil Kapoor! Now about the movie itself. Claiming to be a parody, it turns out to be a rather inane effort. Several scenes of the movie looked utterly pedestrian both in conception and execution and the only saving grace is the performance of Akshaye Khanna in the role of an Oscar hungry actor. Of course, the review will not be complete without the mention of the much touted Sheela Ki Jawaani number by Katrina Kaif; but Katrina with her innocent looks doesn't ooze with oomph despite the raunchy lyrics and the dance movements. I would rate Munni Badnaam from Dabangg (also choreographed by Farah) as a better song although the joke which I heard when I was coming out from the theatre was: Agar Sheela Ki Jawaani Pehle Aati, to Munni Badnaam Na Hoti!",inane pedestrian,tees maar khan bollywood is replete with examples fetishes film makers who closely associate these fetishes with success their films earliest example is that film maker j omprakash who always wanted his movie titles begin with recent times we have example karan johar who has similar fetish with letter k farah khan who began her career as choreographer quickly moved into shoes another khan choreographer saroj khan quickly won lot acclaim her work then decided expand her role include film direction having got box office ringing with her first two ventures main hoon na om shanti om both which had shah rukh khan playing lead she perhaps concluded that since both films had three words three is lucky number her so soon after success first two movies she gave birth triplets her husband electronics engineer shirish kunder she floated production house called threes company she also perhaps knew that presence shah rukh khan first two movies was big factor success those movies but because she was not having him her next movie i will not go into reasons that here she felt that word khan appearing title would help when she was finding it difficult combine word khan with her fetish teen get title her new movie i presume well wisher perhaps told her that using multiplication factor ten would triple chances movies success thus word tees came into title choice third word was relatively easy since phrase tees maar khan connoted braggart which was tune with character script itself next exercise was find inspiration this tale happily her that was also three worded peter sellers starrer after fox also perhaps other well wishers suggested her that she must have as many ks as was possible film crew therefore had her husband kunder work background music write story co produce write some lyrics star cast also had number ks akshay kumar akshaye khanna katrina kaif sachin khedekar special artistes like salman khan anil kapoor now about movie itself claiming be parody it turns out be rather inane effort several scenes movie looked utterly pedestrian both conception execution only saving grace is performance akshaye khanna role oscar hungry actor course review will not be complete without mention much touted sheela ki jawaani number by katrina kaif but katrina with her innocent looks doesnt ooze with oomph despite raunchy lyrics dance movements i would rate munni badnaam dabangg also choreographed by farah as better song although joke which i heard when i was coming out theatre was agar sheela ki jawaani pehle aati munni badnaam na hoti,0.41288497217068637,0.1576716141001855,Positive,"{'Happy': 0.04, 'Angry': 0.13, 'Surprise': 0.18, 'Sad': 0.25, 'Fear': 0.39}"
1.0,New scams on rise!!!,"I tried to see this movie last night with my wife in a multiplex called PVR Cinemas.I divested Rs. 540/- as ticket charges on the movie. One by one i was getting signals from nature not to see the movie. Like first i did not get enough time to get my favorite sub at Subway, but i thought i'll buy nachos inside PVR. Even inside i didn't get nachos, on top of that i also did not get the sandwich inside PVR. I ignored all these bad signs and went ahead to see this AWFUL, CREEPY, MINDLESS movie.Akshay kumar once knew acting, he may know it now also but the great director Farah Khan is utilizing all her resources to bring the man (Akshay) down by using cheapest of cheapest PJ's in the movie. I wonder who write these, moreover who approves these... Once upon a time she also made a movie known as ""Main Hoon Na"" which i liked to some extent as it is a light hearted movie, but TMK is not something i expected.I still like akshay as a hero/actor, he has done so many good movies.I beg him not to do movie like these, plz plz plz.Believe me friends you can laugh at least 100000000000 times more by just watching 1 performance of any character in Comedy Circus.( i don't know how many zeor's i added here because of frustration) Please avoid this movie to save yourself from heart attack.Last night i have vowed not to see any forthcoming Farah khan's movie unless and until i get at least 100 out of 100 good reviews.I think this is a scam by which Hindi film industry is trying to make films which ppl will leave before ending (like i got 15 minutes after the interval) and they still have to pay money for the full movie.",new scams rise,i tried see this movie last night with my wife multiplex called pvr cinemas i divested rs 540 as ticket charges movie one by one i was getting signals nature not see movie like first i did not get enough time get my favorite sub at subway but i thought ill buy nachos inside pvr even inside i didnt get nachos top that i also did not get sandwich inside pvr i ignored all these bad signs went ahead see this awful creepy mindless movie akshay kumar once knew acting he may know it now also but great director farah khan is utilizing all her resources bring man akshay down by using cheapest cheapest pjs movie i wonder who write these moreover who approves these once upon time she also made movie known as main hoon na which i liked some extent as it is light hearted movie but tmk is not something i expected i still like akshay as hero actor he has done so many good movies i beg him not do movie like these plz plz plz believe me friends you can laugh at least 100000000000 times more by just watching 1 performance any character comedy circus i dont know how many zeors i added here because frustration please avoid this movie save yourself heart attack last night i have vowed not see any forthcoming farah khans movie unless until i get at least 100 out 100 good reviews i think this is scam by which hindi film industry is trying make films which ppl will leave before ending like i got 15 minutes after interval they still have pay money full movie,0.5325036075036076,0.11240981240981243,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.18, 'Sad': 0.32, 'Fear': 0.29}"
