Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8.0,NIce Twist,"A well-written & well-executed crime thriller. After a long time, witnessed one of the most unexpected suspense breaking climax. Although there were few flaws in the movie and the songs & music didn't play much, it still kept me engaged throughout the movie. Nicely performed by almost everybody. In a movie like this, it would've been better if there no songs and music was only played as BGM, which might've made the movie more crispier.",nice twist,well written well executed crime thriller after long time witnessed one most unexpected suspense breaking climax although there were few flaws movie songs music didnt play much it still kept me engaged throughout movie nicely performed by almost everybody movie like this it wouldve been better if there no songs music was only played as bgm which mightve made movie more crispier,0.62,0.275,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.4}"
10.0,"Zero Boring content, Enjoyable","As usual ""Magizh Thirumeni"" has done a astonishing thriller genre movie second time with ""Arun Vijay"" after Thadayara Thaakka. There is no words to say about this awesome movie which made me crazy and the strong content holds the movie throughout the end.",zero boring content enjoyable,as usual magizh thirumeni has done astonishing thriller genre movie second time with arun vijay after thadayara thaakka there is no words say about this awesome movie which made me crazy strong content holds movie throughout end,0.6854166666666667,0.07291666666666666,Positive,"{'Happy': 0.18, 'Angry': 0.09, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.27}"
10.0,This might become one of the most underrated movie of Tamil cinema,The narration and the thought process of the director is so unique and intriguing. The movie keeps up on the edge even though we are able to guess certain elements in the screenplay. The songs were surprisingly quite fresh and added another dimension of emotion to the plot. On the whole Magizh Thirumeni never disappoints.,this might become one most underrated movie tamil cinema,narration thought process director is so unique intriguing movie keeps up edge even though we are able guess certain elements screenplay songs were surprisingly quite fresh added another dimension emotion plot whole magizh thirumeni never disappoints,0.5620535714285715,0.3861607142857143,Positive,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.38, 'Fear': 0.23}"
,This is one of those few masterpieces which forces you to write it's review.,"I watch movies. I am a movie buff. And in terms of Indian films, I like Tamil movies very much. The execution of there movies is fantastic they always try new genre and they are fantastic in creating suspence in there films.And this movie Thadam is an example of that. God damn !! What a beautiful movie Director Magizh Thirumeni has made. I even salute the screen play and story writers. And the actors have earned my applause too.This film is one of the best Crime/Thrillers I have watched in a recent times. There was an another Tamil movie called Ratchasan which had blown out my mind. And now this one does the same.Hats off Tamil Cinema you are the best !!My review 10/10.",this is one those few masterpieces which forces you write its review,i watch movies i am movie buff terms indian films i like tamil movies very much execution there movies is fantastic they always try new genre they are fantastic creating suspence there films this movie thadam is example that god damn what beautiful movie director magizh thirumeni has made i even salute screen play story writers actors have earned my applause too this film is one best crime thrillers i have watched recent times there was another tamil movie called ratchasan which had blown out my mind now this one does same hats off tamil cinema you are best my review 10 10,0.4589545454545454,0.38463636363636367,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.22, 'Fear': 0.11}"
9.0,"Classic, taut, mindblowing and outstanding supense thriller. Not to be missed!!!! Every chance of being remade in other languages if it gets due recognition","Genre: Suspense crime thrillerNo spoiler alerts Premise: In a murder case, police arrests civil engineer Ezhil (Arun Vijay) based on a photograph evidence. Twist comes when his look alike Kavin (again Arun Vijay), a petty but intelligent criminal, is also arrested. This makes the case stand still as there's no strong evidence against them and they don't have strong alibis. Who's the real culprit? Why do they look alike and why was the murder committed forms the plot What worked well? 1. Tight, screenplay and sharp editing: Screenplay has no loopholes- No unwanted songs, no lengthy romance sequence, no heroism, no unnecessary comedy (barring first few mins), no guns or gadgets. The director has stuck to basic discipline i.e. screenplay and story. Simply brilliant!!! 2. Twists and turns in the movie creates an interest and you will be glued to screen. None of them are unrealistic or predictable!!! 3. Performances: It made me wonder this is an usual run of the mill story when twins looked exactly the same but you will realize it's the actual strength in the movie and much warranted. Arun Vijay is the soul of the movie and he has fully used the opportunity and is at his best!!!! 4. Director: His earlier venture with Arun Vijay was a good one and his last venture was in the lines of Departed. Both didn't get it's due recognition. It's the best among his works!!!! (Trivia: Director gave voice for Anurag Kashyap in Imaikka Nodigal) 5. It's based on real events and they quote real life judgements at the end of the movieWhat didn't work well? 1. BGM was good in parts but still could have been better. 2. There are some loophole and clues behind the suspense - trust me audiences won't even be able to think till the end of the movieI hope audience appreciate this movie given Arun Vijay is popular now. Every chance of being remade in other language if it gets due recognitionOverall, a highly entertaining classic, taut , mindblowing and outstanding suspense thriller. Must watch and Not to be missed!!!!",classic taut mindblowing outstanding supense thriller not be missed every chance being remade other languages if it gets due recognition,genre suspense crime thrillerno spoiler alerts premise murder case police arrests civil engineer ezhil arun vijay based photograph evidence twist comes when his look alike kavin again arun vijay petty but intelligent criminal is also arrested this makes case stand still as theres no strong evidence against them they dont have strong alibis whos real culprit why do they look alike why was murder committed forms plot what worked well 1 tight screenplay sharp editing screenplay has no loopholes no unwanted songs no lengthy romance sequence no heroism no unnecessary comedy barring first few mins no guns or gadgets director has stuck basic discipline i e screenplay story simply brilliant 2 twists turns movie creates interest you will be glued screen none them are unrealistic or predictable 3 performances it made me wonder this is usual run mill story when twins looked exactly same but you will realize its actual strength movie much warranted arun vijay is soul movie he has fully used opportunity is at his best 4 director his earlier venture with arun vijay was good one his last venture was lines departed both didnt get its due recognition its best among his works trivia director gave voice anurag kashyap imaikka nodigal 5 its based real events they quote real life judgements at end moviewhat didnt work well 1 bgm was good parts but still could have been better 2 there are some loophole clues behind suspense trust me audiences wont even be able think till end moviei hope audience appreciate this movie given arun vijay is popular now every chance being remade other language if it gets due recognitionoverall highly entertaining classic taut mindblowing outstanding suspense thriller must watch not be missed,0.4808928571428572,0.1780357142857143,Positive,"{'Happy': 0.16, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.19, 'Fear': 0.34}"
10.0,Awesome,This movie is simply awesome. The climax is unexpected. If you don't know the story and you watch it in theatre then definitely you are sit in edge of the chair in whole movie untill the climax.,awesome,this movie is simply awesome climax is unexpected if you dont know story you watch it theatre then definitely you are sit edge chair whole movie untill climax,0.78,0.4600000000000001,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.14, 'Fear': 0.29}"
8.0,Mindblowing murder investigation film..!!,I never seen like thos murder mystery movie in tamil cinema. A movie story is a identical twins arrested as suspects for murder.but police got a challenge who is the one culprit but police face many struggles to prove one of them... Director made awesome movie with arun vijay...i like to watch same type of movies from him..,mindblowing murder investigation film,i never seen like thos murder mystery movie tamil cinema movie story is identical twins arrested as suspects murder but police got challenge who is one culprit but police face many struggles prove one them director made awesome movie with arun vijay i like watch same type movies him,0.5416666666666666,0.5,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.44}"
9.0,Awsome Thriller Of the recent times,"Fter thadaiyara thaaka, maeaghamann another movie with an extremely good screenplay. good luck Mr Magizh Thirumeni.",awsome thriller recent times,fter thadaiyara thaaka maeaghamann another movie with extremely good screenplay good luck mr magizh thirumeni,0.4833333333333334,0.4666666666666666,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
9.0,Cool Spin on the Twins!!!,"A really good movie worth the money. The Director has taken the age old concept of twins and emphasised on the similarities than differences between them to move the story forward. I really loved the making even though it could have done away from drug use. The Director has thoroughly studied loopholes in our legal system and used it for twists. You will really enjoy this experience. People who don't know Tamil, please watch it with subtitles. Best movie of the week!!! Better than Luka Chuppi!",cool spin twins,really good movie worth money director has taken age old concept twins emphasised similarities than differences between them move story forward i really loved making even though it could have done away drug use director has thoroughly studied loopholes our legal system used it twists you will really enjoy this experience people who dont know tamil please watch it with subtitles best movie week better than luka chuppi,0.4277777777777778,0.4722222222222222,Positive,"{'Happy': 0.2, 'Angry': 0.1, 'Surprise': 0.45, 'Sad': 0.15, 'Fear': 0.1}"
10.0,After 10 years really watched a most satisfying movie. . feel happy,"Complete credit goes to the director and Arun viajy.I pray that Arun Vijay should choose stories like this in future since he is still struggling to get a good hold in tamil cinema.his acting in this movie shows how talented he is, People never miss this movie thats all i can say :) enjoy",after 10 years really watched most satisfying movie feel happy,complete credit goes director arun viajy i pray that arun vijay should choose stories like this future since he is still struggling get good hold tamil cinema his acting this movie shows how talented he is people never miss this movie thats all i can say enjoy,0.5225000000000001,0.39,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.09, 'Fear': 0.27}"
