Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Best of Rajnikanth,"A fight between two brothers (Rajnikanth and Arvindswamy) is a classy version on Modern Mahabbaratha, is truly unique. Maniratnam has adapted the screenplay to the modern version and it's really awesome. Mammootty as Rajnikanth's friend Deva is amazing. Music and cinematography by Illayaraja and Santosh Sivan (The terrorist) commend each other. For me it's the best gangster movie made in India. Just loved the movie from beginning till end.",best rajnikanth,fight between two brothers rajnikanth arvindswamy is classy version modern mahabbaratha is truly unique maniratnam has adapted screenplay modern version its really awesome mammootty as rajnikanths friend deva is amazing music cinematography by illayaraja santosh sivan terrorist commend each other me its best gangster movie made india just loved movie beginning till end,0.6174999999999999,0.505,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.54, 'Sad': 0.15, 'Fear': 0.08}"
8,The Most Emotionally blended Family Friendly Crime Drama of 90s.,"Thalapathi (1991) : Brief Review -The Most Emotionally blended Family Friendly Crime Drama of 90s. One of the most popular genre in Hollywood Crime Drama didn't get much exploration in Indian Cinema till 80s. Then several crime dramas in masala genre gave hope but ultimately weakened the support of family audience. In early 90s Mani Ratnam brought Thalapathi set in crime world but differently i mean it's affectionate. It's all for people not for just for personal benefits of gangsters so it was meant to create more attraction to the family audience. At the end it becomes a Family drama yet not done with it's crime World to fulfill the hunger of watching a perfect Blockbuster. This was first and may be last time in Indian Cinema that a crime film became an emotional family drama and is likely to remain the one of it's own kind. Rajnikant and Mammootty's brotherhood mania is terrific. Both of them were really acting and not just entertaining and then another great actor Arvind Swamy was joined in a supporting role. Even the female side is filled with rich quality performances of Shobhana, Srividya and Bhanupriya. Overall, the acting department of Thalapathi is far better than any other crime drama i have seen till date. Mani Ratnam is a genius, he knows how to connect a negative film with audience positively and so he makes those negative characters more positive than born positive characters in the film. Many people consider this film as reference to Mahabharata characters which is not totally acceptable. The film is very well set in it's own crime Universe then I don't think there is any need to link it with an epic. Thalapathi should remain the only crime film having emotional intelligence and Blockbuster Family Drama elements for some time more.RATING - 8/10*By - #samthebestest",most emotionally blended family friendly crime drama 90s,thalapathi 1991 brief review most emotionally blended family friendly crime drama 90s one most popular genre hollywood crime drama didnt get much exploration indian cinema till 80s then several crime dramas masala genre gave hope but ultimately weakened support family audience early 90s mani ratnam brought thalapathi set crime world but differently i mean its affectionate its all people not just personal benefits gangsters so it was meant create more attraction family audience at end it becomes family drama yet not done with its crime world fulfill hunger watching perfect blockbuster this was first may be last time indian cinema that crime film became emotional family drama is likely remain one its own kind rajnikant mammoottys brotherhood mania is terrific both them were really acting not just entertaining then another great actor arvind swamy was joined supporting role even female side is filled with rich quality performances shobhana srividya bhanupriya overall acting department thalapathi is far better than any other crime drama i have seen till date mani ratnam is genius he knows how connect negative film with audience positively so he makes those negative characters more positive than born positive characters film many people consider this film as reference mahabharata characters which is not totally acceptable film is very well set its own crime universe then i dont think there is any need link it with epic thalapathi should remain only crime film having emotional intelligence blockbuster family drama elements some time more rating 8 10 by,0.5479772727272727,0.22138636363636355,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.27, 'Sad': 0.32, 'Fear': 0.28}"
10,Timeless Masterpiece from Mani!,"For this movie, 10 out of 10 is probably too low. That's how good this movie is. Among Tamil cinema's timeless classics, it came in the late 80's and now its 2010 but still I watch it with the same enthusiasm and clap/whistle at some of the dialogues from this film. Maniratnam had a hard time directing Rajnikanth and Mammootty but if he can give a product like this through such hardships, I pray he goes through such hardships again (Sorry Mani Sir!). Ilayaraja is the life and soul of this film. Rajni's best ever performance along with Mammooty. There were the few Nayagan inspirations (Doing good for 4 people cannot be wrong, the inspector beating the hero and then the inspector getting killed by the same hero, etc). Who else can take the Karna-Duryodhana friendship from the Mahabharatha and weave such a magical story in accordance to today's times? Mani is magic!",timeless masterpiece mani,this movie 10 out 10 is probably too low thats how good this movie is among tamil cinemas timeless classics it came late 80s now its 2010 but still i watch it with same enthusiasm clap whistle at some dialogues this film maniratnam had hard time directing rajnikanth mammootty but if he can give product like this through such hardships i pray he goes through such hardships again sorry mani sir ilayaraja is life soul this film rajnis best ever performance along with mammooty there were few nayagan inspirations doing good 4 people cannot be wrong inspector beating hero then inspector getting killed by same hero etc who else can take karna duryodhana friendship mahabharatha weave such magical story accordance todays times mani is magic,0.5112745098039215,0.08284313725490196,Positive,"{'Happy': 0.12, 'Angry': 0.04, 'Surprise': 0.36, 'Sad': 0.2, 'Fear': 0.28}"
9,superb till climax!!!!!!!!!!!,"first of all, let me remind u the climax of this film is not the one you've actually seen. In the original climax it was Deva who avenges the death of his 'Thalapathi'. It would be a far better film if it had stayed that way, unfortunately it was not meant to be.....apart from these, it is a real classic....hats of to some brilliant technical and acting performances!!!! Santosh Sivan proves why he is considered among the top class cinematographer with every frame..melody king Ilayaraja is as usual excellent!! the theme music he created was awesome!!! from the acting point of view, undoubtedly this is Rajnikanth's best performance..Mammootty is brilliant as usual. If it had been the original climax, he would have scored more...Arvindswamy, Banupriya and shobana are good too.But the standout performance for me in this film is Srividhya...Maniratnam is the best director in India...",superb till climax,first all let me remind u climax this film is not one youve actually seen original climax it was deva who avenges death his thalapathi it would be far better film if it had stayed that way unfortunately it was not meant be apart these it is real classic hats some brilliant technical acting performances santosh sivan proves why he is considered among top class cinematographer with every frame melody king ilayaraja is as usual excellent theme music he created was awesome acting point view undoubtedly this is rajnikanths best performance mammootty is brilliant as usual if it had been original climax he would have scored more arvindswamy banupriya shobana are good too but standout performance me this film is srividhya maniratnam is best director india,0.5201388888888889,0.40208333333333335,Positive,"{'Happy': 0.17, 'Angry': 0.07, 'Surprise': 0.34, 'Sad': 0.21, 'Fear': 0.21}"
10,One of the best Indian movies ever,"This film is about 15 years old. i watched it quite a few times and it never fails to impress me. As said earlier it is a modern version of the Mahabharata, with Rajni as Karna.Its starts with a 14 year old mother forced to abandon her son and the son grows up in the city slums far away..he befriends a underworld don and swears loyalty to death for him Meanwhile the mother gets married and has a son who becomes a top government official. Nobody knows of her earlier son except for her husband. Thing come to head as her younger son is posted to where the elder(who the mother doesn't know is her son) is dominating.Watch the movie to see what happens. The mother-son scenes are amazingly touching",one best indian movies ever,this film is about 15 years old i watched it quite few times it never fails impress me as said earlier it is modern version mahabharata with rajni as karna its starts with 14 year old mother forced abandon her son son grows up city slums far away he befriends underworld don swears loyalty death him meanwhile mother gets married has son who becomes top government official nobody knows her earlier son except her husband thing come head as her younger son is posted where elder who mother doesnt know is her son is dominating watch movie see what happens mother son scenes are amazingly touching,0.3464285714285714,0.17857142857142858,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.41, 'Sad': 0.06, 'Fear': 0.29}"
10,My favorite movie of all time!,"Overall, its no secret that the plot is influenced by Mahabharat, especially the relationship between Karna and Duryodhan, and Karna and Arjun. Mani Rathnam once again proved his brilliance by incorporating a great epic to a real life situation. My favorite scene from this movie are two scenes that is the climax of the movie. The first scene is when Kalyani's husband after realizing Surya was the lost son, was the third person witnessing them at a temple, praying. The most moving moment, was when they both hear the train behind them, and they look back and gets emotional by the significance of the train. The acting done by Rajnikanth and Srividya was excellent in this scene. My second favorite scene, was when Arjun confronts Surya and Deva and asks them to stop. To which Surya replies ""Have you ever been poor? Have you ever been hungry? Without food in the stomach, have you ever tried to make money?...They don't have the money and time to file petitions to get justice, that is why they come to us"". Another good scene is also the confrontation is when Kalyani finally meets with Surya, and apologizes for her mistakes as a child, and asks him to stop being with Deva, to which Surya refuses. This is very reminiscent of Kunti, coming to Karna in the Mahabharat, and asking him to come to the side of Pandavas to which he refuses, since Duryodhan is a friend.The similarities between this movie and Karna's life, is strikingly similar. -Karna being thrown away since Kunti was a teenager, when she had him, which is similar to what happened to Deva. -Deva's stepbrother is Arjun, who is on the side of righteousness and is against Deva for using violence and fear to bring justice, is similar to Karna's stepbrother, Arjun, who was a Pandava, that was against Duryodhan for not giving them what they deserve for being the sons of Pandu. -Surya pledges his life to Deva, for treating him above his status as an orphan which is similar to Karna and Duryodhan, when Duryodhan offers one of his kingdoms to Karna. -Kalyani's husband confronts Surya, and tells him that Kalyani is her mother and Arjun is his stepbrother, and tells him to give up the life of violence and join them, is similar to Krishna approaching Karna and tells him that he is a Pandava, since he is the son of Kunti, and asks him to join the Pandavas, to which he says that he vowed to Duryodhan that he will be with him till death, to which Krishna respects Karna for. -Surya is known for not refusing anyone's demand, which is reminiscent of Karna, not refusing anyone's requests, when he is worshiping the Sun.The greatness of this movie also dwells on certain subtle elements added by Mani Rathnam, like the Sun, that can be seen behind Surya at all times, emphasizing the similarity between him and Karna, son of the Son god. The music by Ilaiyaraaja, was the best music produced by him for any movie. The acting done by Mamooty and Rajnikanth is unparalleled. I think Rajnikanth's acting in this film was superior to Kamal Hassan in Nayagan. This is probably the best acting by Rajnikanth in any of the movies acted by him. Overall this is a great movie and I would recommend this movie highly.",my favorite movie all time,overall its no secret that plot is influenced by mahabharat especially relationship between karna duryodhan karna arjun mani rathnam once again proved his brilliance by incorporating great epic real life situation my favorite scene this movie are two scenes that is climax movie first scene is when kalyanis husband after realizing surya was lost son was third person witnessing them at temple praying most moving moment was when they both hear train behind them they look back gets emotional by significance train acting done by rajnikanth srividya was excellent this scene my second favorite scene was when arjun confronts surya deva asks them stop which surya replies have you ever been poor have you ever been hungry without food stomach have you ever tried make money they dont have money time file petitions get justice that is why they come us another good scene is also confrontation is when kalyani finally meets with surya apologizes her mistakes as child asks him stop being with deva which surya refuses this is very reminiscent kunti coming karna mahabharat asking him come side pandavas which he refuses since duryodhan is friend similarities between this movie karnas life is strikingly similar karna being thrown away since kunti was teenager when she had him which is similar what happened deva devas stepbrother is arjun who is side righteousness is against deva using violence fear bring justice is similar karnas stepbrother arjun who was pandava that was against duryodhan not giving them what they deserve being sons pandu surya pledges his life deva treating him above his status as orphan which is similar karna duryodhan when duryodhan offers one his kingdoms karna kalyanis husband confronts surya tells him that kalyani is her mother arjun is his stepbrother tells him give up life violence join them is similar krishna approaching karna tells him that he is pandava since he is son kunti asks him join pandavas which he says that he vowed duryodhan that he will be with him till death which krishna respects karna surya is known not refusing anyones demand which is reminiscent karna not refusing anyones requests when he is worshiping sun greatness this movie also dwells certain subtle elements added by mani rathnam like sun that can be seen behind surya at all times emphasizing similarity between him karna son son god music by ilaiyaraaja was best music produced by him any movie acting done by mamooty rajnikanth is unparalleled i think rajnikanths acting this film was superior kamal hassan nayagan this is probably best acting by rajnikanth any movies acted by him overall this is great movie i would recommend this movie highly,0.4498781838316722,0.178859357696567,Positive,"{'Happy': 0.14, 'Angry': 0.01, 'Surprise': 0.2, 'Sad': 0.29, 'Fear': 0.35}"
8,Ommala Moovie!!,"The movie with the combo of Mani and Thala's of neighboring states and with splendid tunes from Illayaraja ,a certain delight is a sure bet !! Trite , crisp dialogues are characteristics of this movie just as any mani ratnam flick is. The scene which stands out for its 'crispness' comes the intensely set one in which Rajni after being imprisoned in the initial scenes is released as somebody else turns in as approval for the crime which he created. Surya,(Rajni) unaware of who has sent him, walks across to him n asks him, "" YYYYEN?"" After a few pauses he gets the reply,"" DEVA!! "". He comes out of the room and walks in the corridor just to witness Deva (Mamooty) and there begins the friendship between Surya and Deva which is so deep, committed and brilliant. The tone of most of the scenes keeps one gripping and with its melodramatic ingredients and songs, contributes to a bit of dilution of its intensity though. The storyline, a slight adaptation of mahabarata with superstar playin the Karna character to finesse is simply awesome.A sure must watch flick !!",ommala moovie,movie with combo mani thalas neighboring states with splendid tunes illayaraja certain delight is sure bet trite crisp dialogues are characteristics this movie just as any mani ratnam flick is scene which stands out its crispness comes intensely set one which rajni after being imprisoned initial scenes is released as somebody else turns as approval crime which he created surya rajni unaware who has sent him walks across him n asks him yyyyen after few pauses he gets reply deva he comes out room walks corridor just witness deva mamooty there begins friendship between surya deva which is so deep committed brilliant tone most scenes keeps one gripping with its melodramatic ingredients songs contributes bit dilution its intensity though storyline slight adaptation mahabarata with superstar playin karna character finesse is simply awesome sure must watch flick,0.6288359788359789,0.33539682539682547,Positive,"{'Happy': 0.16, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.16, 'Fear': 0.44}"
8,Best of Rajini,"I think it's one of the best movie of Rajini Kanth. Excellent performance of Mammookka. I watched this movie on Mammookka's 69th B'day. I know it's too late. Regretted on the late watch. And the direction part - nothing to say , its from Legend. Mani Ratnam sir",best rajini,i think its one best movie rajini kanth excellent performance mammookka i watched this movie mammookkas 69th bday i know its too late regretted late watch direction part nothing say its legend mani ratnam sir,0.56,0.4800000000000001,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.7, 'Sad': 0.2, 'Fear': 0.0}"
10,One of the best,"Another great movie from the superstar, with this movie he established himself as the greatest crowd puller in southern India. No actor can command respect like what he has done on his homeland. The closest could be Amithab in Hindi & Siranjeevi in Telugu.Regarrding the movie, its another master piece from mani rathnam, he made a similar movie with Kamal Hassan in Nayakan which was a big hit and now with super star even bigger hit.Both the movies are awesome.Blending the friendship between Mamooty & Rajini Kanth touches the heart.Everybody in the world should see the movie as the movie is a tribute to friendship.Its sad that his acting days are counted and tamil audience gonna miss their biggest entertainer.",one best,another great movie superstar with this movie he established himself as greatest crowd puller southern india no actor can command respect like what he has done his homeland closest could be amithab hindi siranjeevi telugu regarrding movie its another master piece mani rathnam he made similar movie with kamal hassan nayakan which was big hit now with super star even bigger hit both movies are awesome blending friendship between mamooty rajini kanth touches heart everybody world should see movie as movie is tribute friendship its sad that his acting days are counted tamil audience gonna miss their biggest entertainer,0.5196969696969697,0.33030303030303027,Positive,"{'Happy': 0.19, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.44, 'Fear': 0.12}"
9,Good film,Nice movie. Superb direction from manirathnam. Excellent acting by Rajinikanth and mammoty,good film,nice movie superb direction manirathnam excellent acting by rajinikanth mammoty,0.72,0.6599999999999999,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
