Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
7,Rather enjoyable...,"Initially I sat down to watch the 2022 animated movie ""The Bad Guys"" with very little expectation. Why? Well, because I wasn't sure what I was getting into here, aside from it being an animated movie that my son wanted to watch. But with it being an animated movie that I hadn't already seen, of course I opted to watch it with my son.I will say that writers Etan Cohen, Yoni Brenner and Hilary Winston actually put together a good storyline. Now, I am not familiar with the books that the movie is based on, so how true it is to the source material, I cannot tell you. But I found the storyline in ""The Bad Guys"" to actually be well-written and enjoyable, as well as being entertaining.The character gallery is what worked so well for me here. I really took a liking to the characters in the story right away, and they are as colorful as they are memorable. Not only did they manage to paint a gallery of interesting characters, but they definitely also had a great voice acting cast ensemble to bring the characters to life.The animation and art style used in director Pierre Perifel's 2022 animated movie ""The Bad Guys"" was good. I liked the drawing and art style quite a lot, as it was very dynamic, and had a slight comic book feel to it.The voice cast in ""The Bad Guys"" was nicely cast with some great voice actors on the cast list, with the likes of Awkwafina, Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos and more.If you enjoy animted movies, then you certainly should sit down to watch ""The Bad Guys"". I was genuinely entertained by this animated movie, and it one that I will warmly recommend.My rating of ""The Bad Guys"" lands on a seven out of ten stars.",rather enjoyable,initially i sat down watch 2022 animated movie bad guys with very little expectation why well because i wasnt sure what i was getting into here aside it being animated movie that my son wanted watch but with it being animated movie that i hadnt already seen course i opted watch it with my son i will say that writers etan cohen yoni brenner hilary winston actually put together good storyline now i am not familiar with books that movie is based so how true it is source material i cannot tell you but i found storyline bad guys actually be well written enjoyable as well as being entertaining character gallery is what worked so well me here i really took liking characters story right away they are as colorful as they are memorable not only did they manage paint gallery interesting characters but they definitely also had great voice acting cast ensemble bring characters life animation art style used director pierre perifels 2022 animated movie bad guys was good i liked drawing art style quite lot as it was very dynamic had slight comic book feel it voice cast bad guys was nicely cast with some great voice actors cast list with likes awkwafina sam rockwell marc maron craig robinson anthony ramos more if you enjoy animted movies then you certainly should sit down watch bad guys i was genuinely entertained by this animated movie it one that i will warmly recommend my rating bad guys lands seven out ten stars,0.5257839721254356,0.1363651761517615,Positive,"{'Happy': 0.16, 'Angry': 0.04, 'Surprise': 0.2, 'Sad': 0.24, 'Fear': 0.35}"
8,"Surprisingly, It's Not That Bad, Guys","LIKES:The Pace: Kid's movies are always entertaining and this movie has all the engaging pieces I like at the speed that is entertaining. Kids will surely love the hasty pace of the film, dazzling you with all the quick paced adventure and comedy that comes with it. Yet, the pace is not breakneck, capable of still giving plenty of time to storytelling and allowing the older audience members to enjoy the movie as well. It really is a fine-balanced movie on this part and wins points for me.The Voice Acting: These actors give me chills at what they can pull out of their vocal patterns, and The Bad Guys crew is loaded with wonderful performances that fit the bill quite well. Sam Rockwell nails the lead role well, and I feel he did a great job playing the conflicted ""hero"" who has a lot of soul searching to find. Marc Maron as Snake is stellar, another loaded gun that has his own turmoil to face, but yet holds the sass and vigor of someone who is ingrained in his ways. The two feel very much like the best friends they portray, and I love the ribbing and vigor they have. As for Awkwafina, a bit more of the prop character, the actress normally loaded with comedy craziness, was actually toned down and respectable, still not too out of her comfort zone, but a much more well-rounded performance. Others hit their marks quite well, and if I had more room, I would go into everyone, but the chemistry between them all is fantastic and really a solid pillar to which this group works.The Character Balance: You've got at least five characters to work into a crime/comedy, and that's not counting a few other characters that have their own involvement in the film. And like a good book, this film does it super well with the characters that they promoted. Each of the animals may not have all the equal time, but they stand out in unique ways, bring their gifts to the table, and provide a meaningful contribution to the film. You, and the younger audiences, will find a character that they absolutely enjoy, and you will get your fill of them in almost every way. The use of each group is fantastic for me, and I appreciate how just about every character had that purpose and meaning to their inclusion.The Comedy: While a bit juvenile at times, the movie's humor is very fun and appropriate for the family. A witty phrase by a guinea pig, the fickle nature of human trends, even just a perfect phrasing that is comedic gold. The Bad Guys uses it all well and mixes things up to stay fresh, exciting, and filled with variety, all while baking it in naturally and not trying to force it in your face. That's right, you don't have to worry about a catchphrase being repeated like crazy, well mostly, and for that, DreamWorks wins the victory for me on the comedy, even if it is not the most mature, clever, or downright unique.' The Plot: Much like a good book, The Bad Guys wins points again for a book adaptation that felt fleshed out, complete, and again fun. The Bad Guys starts off in the simple aspect you expect it to, high adrenaline comedy crime, and boasting about it afterwards. Soon, the plot starts to dig into deeper into other elements, trying to give more insight into the morals and characters and trying to twist the plot into new directions. And yet... they never drop the foundation of the movie, keeping those involvements and making the story wrap together nicely and feel organic. It's engaging, it's fun, and again it works on multiple levels, with a great performance to again amplify the tale to a quality I like.It's Adventure: What do I like highly about this film? It's that it's an adventure film that finally goes back into escaping from the reality of the world, but still teaches a moral lesson. Like the animated films I grew up with, The Bad Guys finally takes me on the adventure and story I like, instead of getting stuck in check boxes and personal issues to make a realistic story. By finally taking a detour back into the world of fun and adventure, the excitement and entertainment stand strong and I had fun watching an animated film. Sure, it's no Oscar tear jerker, but given the style and escape from all the political stuff that's in your face, it excels amazingly in this aspect.The Animation: I know, it does not look real, it does not look fully fleshed out, and you probably have other CGI focused movies that do things better. However, the Bad guys has a nice unique modality that stands out from the usual manners of making animation come to life. The kids book style is really popping, and the way they make the group come to life is sensational for this reviewer. The theft scenes are just an opening, and the movie does a great job pushing the limits of this style and really giving you a comic book meets story mode and I loved almost every second of it. In fact, this might be one of the best action scenes I have seen in a long time, proving again with imagination, some guts, and some balance, you can get excitement back in these movies. Nice work on the style and pizazz with your animation my friends, for it succeeded big time for this reviewer.DISLIKES:Predictable: I did not even know the movie series was based on books, but I have not read them and was still able to decipher all the twists within the first twenty-five minutes. Sadly, the book is not geared for major surprises, it could have used them to spice things up. At the least, they could have avoided the obvious set up that they did, instead of just giving everything away.More Action: With all the things this movie did, I had hoped to see a little more of that factor I really loved. The Bad Guys could have used a few more crime attempts, maybe some plans, or adding a little more of the Ocean's 13 element they were going for. Even some of the less violent oriented moments could have used some more time, but this is relatively minor to the other two elements I wanted in this movie.More Time with Some of The Characters: As I said, the cast of characters have their inclusion, but there seemed to be more they could have done with them in the final project. Perhaps this problem is addressed in the books, but several of the other characters needed time to get their own edge and quirks out, other than just being comedic ploys. Shark in particular was funny and has some moments, but there was a lot more potential to work with to make him more than just the comedic punching bag he is. Piranha and Tarantula have a little more ironing out, but again, there is more there, which might be addressed in future installments.Too Much Revealed in The Trailers: Modern day advertising is both impressive and destructive at the same time. The Bad Guys is one of those moments that gives a lot of the plot away second to the copious number of things they give in the trailer. Though it does not dilute the fun, it did cost me several laughs at the jokes they wanted to hold and in all honesty the surprises they wanted to share. This is probably the biggest thing to take away from the movie for me, but if you avoid the trailers then you are good.The VERDICT:In this case, being Bad is so Good and I really had a wonderful time with this movie and the endeavors they built for us. With great cast, music and voice acting the movie already had the elements to be a decent film, however making a story with good animation really sent this movie to new heights for me. It's got pizazz, it breaks from the realistic movie moments that are the hot trend, and it does it so in a natural style that again was just fun. It's totally worth the trip to the theater to see, or at least to enjoy when it arrives on streaming in a few weeks. Sure, the movie is predictable, lots of things ruining from the trailers and still has some smoothing out to do. Overall, though, I definitely give this movie a big thumbs up and approve the film for so many.My scores are: Animation/Adventure/Comedy: 8.5 Movie Overall 7.5.",surprisingly its not that bad guys,likes pace kids movies are always entertaining this movie has all engaging pieces i like at speed that is entertaining kids will surely love hasty pace film dazzling you with all quick paced adventure comedy that comes with it yet pace is not breakneck capable still giving plenty time storytelling allowing older audience members enjoy movie as well it really is fine balanced movie this part wins points me voice acting these actors give me chills at what they can pull out their vocal patterns bad guys crew is loaded with wonderful performances that fit bill quite well sam rockwell nails lead role well i feel he did great job playing conflicted hero who has lot soul searching find marc maron as snake is stellar another loaded gun that has his own turmoil face but yet holds sass vigor someone who is ingrained his ways two feel very much like best friends they portray i love ribbing vigor they have as awkwafina bit more prop character actress normally loaded with comedy craziness was actually toned down respectable still not too out her comfort zone but much more well rounded performance others hit their marks quite well if i had more room i would go into everyone but chemistry between them all is fantastic really solid pillar which this group works character balance youve got at least five characters work into crime comedy thats not counting few other characters that have their own involvement film like good book this film does it super well with characters that they promoted each animals may not have all equal time but they stand out unique ways bring their gifts table provide meaningful contribution film you younger audiences will find character that they absolutely enjoy you will get your fill them almost every way use each group is fantastic me i appreciate how just about every character had that purpose meaning their inclusion comedy while bit juvenile at times movies humor is very fun appropriate family witty phrase by guinea pig fickle nature human trends even just perfect phrasing that is comedic gold bad guys uses it all well mixes things up stay fresh exciting filled with variety all while baking it naturally not trying force it your face thats right you dont have worry about catchphrase being repeated like crazy well mostly that dreamworks wins victory me comedy even if it is not most mature clever or downright unique plot much like good book bad guys wins points again book adaptation that felt fleshed out complete again fun bad guys starts off simple aspect you expect it high adrenaline comedy crime boasting about it afterwards soon plot starts dig into deeper into other elements trying give more insight into morals characters trying twist plot into new directions yet they never drop foundation movie keeping those involvements making story wrap together nicely feel organic its engaging its fun again it works multiple levels with great performance again amplify tale quality i like its adventure what do i like highly about this film its that its adventure film that finally goes back into escaping reality world but still teaches moral lesson like animated films i grew up with bad guys finally takes me adventure story i like instead getting stuck check boxes personal issues make realistic story by finally taking detour back into world fun adventure excitement entertainment stand strong i had fun watching animated film sure its no oscar tear jerker but given style escape all political stuff thats your face it excels amazingly this aspect animation i know it does not look real it does not look fully fleshed out you probably have other cgi focused movies that do things better however bad guys has nice unique modality that stands out usual manners making animation come life kids book style is really popping way they make group come life is sensational this reviewer theft scenes are just opening movie does great job pushing limits this style really giving you comic book meets story mode i loved almost every second it fact this might be one best action scenes i have seen long time proving again with imagination some guts some balance you can get excitement back these movies nice work style pizazz with your animation my friends it succeeded big time this reviewer dislikes predictable i did not even know movie series was based books but i have not read them was still able decipher all twists within first twenty five minutes sadly book is not geared major surprises it could have used them spice things up at least they could have avoided obvious set up that they did instead just giving everything away more action with all things this movie did i had hoped see little more that factor i really loved bad guys could have used few more crime attempts maybe some plans or adding little more oceans 13 element they were going even some less violent oriented moments could have used some more time but this is relatively minor other two elements i wanted this movie more time with some characters as i said cast characters have their inclusion but there seemed be more they could have done with them final project perhaps this problem is addressed books but several other characters needed time get their own edge quirks out other than just being comedic ploys shark particular was funny has some moments but there was lot more potential work with make him more than just comedic punching bag he is piranha tarantula have little more ironing out but again there is more there which might be addressed future installments too much revealed trailers modern day advertising is both impressive destructive at same time bad guys is one those moments that gives lot plot away second copious number things they give trailer though it does not dilute fun it did cost me several laughs at jokes they wanted hold all honesty surprises they wanted share this is probably biggest thing take away movie me but if you avoid trailers then you are good verdict this case being bad is so good i really had wonderful time with this movie endeavors they built us with great cast music voice acting movie already had elements be decent film however making story with good animation really sent this movie new heights me its got pizazz it breaks realistic movie moments that are hot trend it does it so natural style that again was just fun its totally worth trip theater see or at least enjoy when it arrives streaming few weeks sure movie is predictable lots things ruining trailers still has some smoothing out do overall though i definitely give this movie big thumbs up approve film so many my scores are animation adventure comedy 8 5 movie overall 7 5,0.4889432877528115,0.19637329454789781,Positive,"{'Happy': 0.16, 'Angry': 0.05, 'Surprise': 0.21, 'Sad': 0.18, 'Fear': 0.39}"
7,Fun for the entire fam.,"Great characters, some real LOL moments, and a nice, fun and cohesive story. Great animation and sound. It felt a little long for 100 mins, probably due to the predictability, although there was a fun twist.",fun entire fam,great characters some real lol moments nice fun cohesive story great animation sound it felt little long 100 mins probably due predictability although there was fun twist,0.5333333333333334,0.34479166666666666,Positive,"{'Happy': 0.46, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.15, 'Fear': 0.38}"
10,Deserves to Be Dreamworks' Next Big Franchise.,"Already one of the best films of the 2020 decade and one of Dreamworks' best films in a long time.The animation is beautiful, the characters are all likable and the message is a good one. Dreamworks should use this style more often for more variety in their content. Which already fit w/ their style of humor.This is a movie Free Birds and The Emoji Movie should be like.",deserves be dreamworks next big franchise,already one best films 2020 decade one dreamworks best films long time animation is beautiful characters are all likable message is good one dreamworks should use this style more often more variety their content which already fit w their style humor this is movie free birds emoji movie should be like,0.45,0.4833333333333334,Positive,"{'Happy': 0.42, 'Angry': 0.08, 'Surprise': 0.17, 'Sad': 0.08, 'Fear': 0.25}"
7,The Bad Guys taught us one thing; never judge a film by its trailer/poster.,"Low expectations were what I had when the trailer first appeared on my phone screen. I wasn't even interested to watch it 'till the end. I would roll my eyes on the animation style, it's not eye-catching nor it is impressive.But damnnnnnnn! I wasn't expecting it to be good. It's a feature animated film filled with genuine laughter, comical characters and an above the par plot.The caper team consists of Wolf, Tarantula, Piranha, Snake and Shark, all of which play a different archetype from one another. This team of 5 is evil and yet, you might find that their personalities are very likable, charming and even approachable. This is the heart of the film, the element that keeps the audience entertained aside from its narrative.Ocean's 8 meets Zootopia, this is what The Bad Guys is. You may find the first heist somewhat similar to the all-women Ocean's. There's the restrooms, kitchen tray trolleys, red-carpet staircases, hackings (pretty much every heist film), red laser traps, all of which resemble strongly with the mega heist of the Met Gala in the said film. I found TBG better than Zootopia, which I PERSONALLY found it to be overrated. However, those who love Zootopia will also enjoy TBG as it implies similitude to it.Running for over 100 minutes, The Bad Guys never stops with its steady pacing, putting audience in an enjoyable ride from start until the end.Lo and behold, you wouldn't expect how many twists they are in this. It's a plot twist on top of another plot twist. Just when you thought, there you go, they have revealed all the twists, the film comes in with another unexpected twist , showing that you have also been deceived by The Bad Guys. When you look back at it, it's amazing that all the twists don't come as a force, but rather it oozes naturally, making it a perfect fit to the whole story.The animation style is better than what I had visualized in my mind. Looking at the trailer, I thought it was mehh, but the pencil-like motion drawings got better as time went on. It took a bit of time to adjust but eventually, I liked it.On the other side of the cell, I believe that TBG should offer a larger team than mere 5 animals. It would have been so much fun, exciting and the stakes would be even higher!All the animal outlaws are excellent however, I must say, I'm a little disappointed with their back stories, because there is almost none to begin with. They did introduce each member in the beginning, but I wanted to know where all of them came from, how they can coexist and walk the earth with humans, and how the group was formed in the first place. I know, I'm aware this is an animated film but what a solid story they could have to an already excellent plot.Rounding up, The Bad Guys is definitely in my top 5 films of 2022 as we almost end the quarter of the year. Let's see what the future has in store for animated films!Verdict: If there is one thing The Bad Guys taught us, it's to never judge a film by its trailer.",bad guys taught us one thing never judge film by its trailer poster,low expectations were what i had when trailer first appeared my phone screen i wasnt even interested watch it till end i would roll my eyes animation style its not eye catching nor it is impressive but damnnnnnnn i wasnt expecting it be good its feature animated film filled with genuine laughter comical characters above par plot caper team consists wolf tarantula piranha snake shark all which play different archetype one another this team 5 is evil yet you might find that their personalities are very likable charming even approachable this is heart film element that keeps audience entertained aside its narrative oceans 8 meets zootopia this is what bad guys is you may find first heist somewhat similar all women oceans theres restrooms kitchen tray trolleys red carpet staircases hackings pretty much every heist film red laser traps all which resemble strongly with mega heist met gala said film i found tbg better than zootopia which i personally found it be overrated however those who love zootopia will also enjoy tbg as it implies similitude it running over 100 minutes bad guys never stops with its steady pacing putting audience enjoyable ride start until end lo behold you wouldnt expect how many twists they are this its plot twist top another plot twist just when you thought there you go they have revealed all twists film comes with another unexpected twist showing that you have also been deceived by bad guys when you look back at it its amazing that all twists dont come as force but rather it oozes naturally making it perfect fit whole story animation style is better than what i had visualized my mind looking at trailer i thought it was mehh but pencil like motion drawings got better as time went it took bit time adjust but eventually i liked it other side cell i believe that tbg should offer larger team than mere 5 animals it would have been so much fun exciting stakes would be even higher all animal outlaws are excellent however i must say im little disappointed with their back stories because there is almost none begin with they did introduce each member beginning but i wanted know where all them came how they can coexist walk earth with humans how group was formed first place i know im aware this is animated film but what solid story they could have already excellent plot rounding up bad guys is definitely my top 5 films 2022 as we almost end quarter year lets see what future has store animated films verdict if there is one thing bad guys taught us its never judge film by its trailer,0.5416666666666665,0.1699596774193549,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.33, 'Sad': 0.21, 'Fear': 0.22}"
9,One of the best animated experiences,"Highly entertaining villain/good guys story that is lovable for all ages! The colors are so vibrant throughout and heartwarming character driven great time; I bet the actors involved had a lot of fun. The Bad Guys are great thieves for good or bad reasons with the encouragement of push pops and life long friends. I loved this more than I could've imagined! The soundtrack is amazing and the story flows very well, I'd recommend to anyone.",one best animated experiences,highly entertaining villain good guys story that is lovable all ages colors are so vibrant throughout heartwarming character driven great time i bet actors involved had lot fun bad guys are great thieves good or bad reasons with encouragement push pops life long friends i loved this more than i couldve imagined soundtrack is amazing story flows very well id recommend anyone,0.5604166666666668,0.3760416666666668,Positive,"{'Happy': 0.29, 'Angry': 0.04, 'Surprise': 0.17, 'Sad': 0.21, 'Fear': 0.29}"
8,"Fun, character driven movie that works, even if some faults are definitely there","This one, as another reviewer has already said , has wonderfully written characters (obviously - written and performed). It's not original - I couldn't care less - once again: originality as is, is overrated in my personal book. So despite obvious similarities with Zootopia I still enjoyed it wholeheartedly. Some of the plot twists can be spotted miles ahead - it doesn't matter. Once we got to know and like these lovely characters we just want to see the story through and know how it all ended for them. Only problem is - most of the climax of the movie doesn't really make sense. Or to put it simply, think it out carefully and you'll realize - it couldn't happen the way the movie explains it. I'd give it 10 stars if it was making sense. And then again - it's not as important as it could be in other movies.Must add some words regarding the cast. They're all wonderful but I can't avoid special mention for Sam Rockwell, it's not the first time I see him but I can promise from now on - I'll make it my business to notice him; Marc Maron is also superb as snake; Zazie Beetz is always unforgettable, and she does it again, and the exact same thing can be said of Awkwafina.To some it all up - if you don't have a special agenda against fun movies - you'll love this one.",fun character driven movie that works even if some faults are definitely there,this one as another reviewer has already said has wonderfully written characters obviously written performed its not original i couldnt care less once again originality as is is overrated my personal book so despite obvious similarities with zootopia i still enjoyed it wholeheartedly some plot twists can be spotted miles ahead it doesnt matter once we got know like these lovely characters we just want see story through know how it all ended them only problem is most climax movie doesnt really make sense or put it simply think it out carefully youll realize it couldnt happen way movie explains it id give it 10 stars if it was making sense then again its not as important as it could be other movies must add some words regarding cast theyre all wonderful but i cant avoid special mention sam rockwell its not first time i see him but i can promise now ill make it my business notice him marc maron is also superb as snake zazie beetz is always unforgettable she does it again exact same thing can be said awkwafina some it all up if you dont have special agenda against fun movies youll love this one,0.5839285714285714,0.24143282312925168,Positive,"{'Happy': 0.2, 'Angry': 0.05, 'Surprise': 0.24, 'Sad': 0.17, 'Fear': 0.34}"
7,The Bad Guys is good!,"Of course the animation is a massive highlight, and I also enjoyed the story, characters, and some of the plot twists. It's a tad predictable and not incredibly funny but hey! I had a really good time.",bad guys is good,course animation is massive highlight i also enjoyed story characters some plot twists its tad predictable not incredibly funny but hey i had really good time,0.7238095238095238,0.125,Positive,"{'Happy': 0.3, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.1, 'Fear': 0.3}"
8,Surprisingly good,"I completely agree with the first reviewer: I had low expectation after seeing the trailer, too. But ""The Bad Guys"" turned out to be a very clever movie, well-made, with a sophisticated script, and fast-moving. Most importantly: It's not taking itself too seriously. I mean: A shark as a master of disguise!?I don't know (yet) the books on which this movie is based. Oviously the story is also inspired by the various Ocean's 8/ 11/ 12/ whatever-movies, but it is definitely an over-the-top-version of these caper movies. These movies always tried to be believable; ""the bad guys"" tries to be fun. And it succeeded in that!",surprisingly good,i completely agree with first reviewer i had low expectation after seeing trailer too but bad guys turned out be very clever movie well made with sophisticated script fast moving most importantly its not taking itself too seriously i mean shark as master disguise i dont know yet books which this movie is based oviously story is also inspired by various oceans 8 11 12 whatever movies but it is definitely over top version these caper movies these movies always tried be believable bad guys tries be fun it succeeded that,0.5752314814814814,0.13078703703703703,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.38, 'Fear': 0.19}"
10,A Return to Form from DreamWorks!,"The new DreamWorks film seems very ambitious and something that I have never seen from them before, which is crazy, so it's based on the wonderful book series by Aaron Blabey, along with a all star cast and directed by Pierre Perifel who worked on the Bilby short from the studio, most of their recent films have either been fun or mediocre, How to Train Your Dragon: The Hidden World was the last DreamWorks film that was amazing with everything else in between being just not as strong and even forgettable, but with this there's definitely a lot of hype surrounding this film from the way it looks and the wacky sense of humour and I am very excited about this, I did read a few of the book in preparation for this film, so I saw it yesterday at a early preview or ""see it first"" if you will and..... no joke, this is the best DreamWorks film in years, I'm not kidding, this is exactly what I wanted and this is what I missed about their writing and style, so let's talk about it!The biggest praise I can give to this film is the animation is quite mind blowing (no pun intended), it seems to take inspiration from the likes of Spider-Verse, Mitchells Vs. The Machines, Zootropolis and even Captain Underpants too, it's stylistic, it's bright, fast, with so much great attention to detail, along with superb characters designs since the bad guys look so unique and expressive in all the right ways, it has the zany cartoon effects too, the animation really takes advantage of cell shading, but it also makes the characters stand out as being memorable and funny as well, all the characters are fantastic, I loved all of them my favourites would Be Mr. Wolf (Sam Rockwell) Mr. Snake (Marc Maron) Diane (Zazie Beetz) and Professor Marmalade (Richard Ayoade), even the minor characters one are funny as heck, but it's thanks to the cast who brings these characters to live in a unique way!, Sam Rockwell is just charming as Mr. Wolf, Richard Ayoade is always a pleasure hearing his voice in anything, the rest like Anthony Ramos, Awkwafina, Craig Robinson and more are all great and have distinct personalities, heck a lot of them are almost identical to the original source characters, the score by Daniel Pemberton is really outstanding in many ways by how cool and easy on the ears it is, of course he did the score for Spider-Verse so it makes sense to bring him to compose the music for this film, along with a soundtrack that I very much dig, the story maybe the same ol' villain might be hero story like Megamind or Despicable Me, but this at least tries to do it differently and even the conclusion is very satisfying!, so the filmmaking with this story is incredible, this film is the definition of laugh out loud, every moment and joke was funny, even the toilet humour was unique and purposeful to stand out and actually be funny, while also having a nice heart to it, I mean the bad guys are doing good after all, along with a few good twists even the ones you know will eventually come, the action is incredible and so much fun to watch along with creativity also, it's what anyone would want in a film like this!, although with a few changes, it still keeps some elements of the book afloat which is really nice with some nice references too.Guys what else can I say but this is nothing short of fantastic, the Bad Guys is the best DreamWorks film in a looooong time, it's definitely return to form in terms of well-written DreamWorks films!, it's stylistic, hilarious, new, unique, fun, visually wonderful and captures the spirit of the book rather well while bringing new elements to the world of the Bad Guys that'll make it more and more unique, along with excellent music and a strong cast of characters, I don't have any complaints at all, it's a perfect film for the family to watch, if you are a fan of the studio, see it today since it's early previews in the UK are still going or next week when it officially hits UK cinemas over here very soon, some of the other countries will have a wait a bit longer but it'll be worth it in the end, this is my favourite animated film of the year and one of the best films of the year also!, I'm happy to see a DreamWorks film that isn't in any way mediocre or boring, I loved this film so that I hope to see more of this and not more sequels, also Trolls related media.I'm happy to give The Bad Guys a 10/10!",return form dreamworks,new dreamworks film seems very ambitious something that i have never seen them before which is crazy so its based wonderful book series by aaron blabey along with all star cast directed by pierre perifel who worked bilby short studio most their recent films have either been fun or mediocre how train your dragon hidden world was last dreamworks film that was amazing with everything else between being just not as strong even forgettable but with this theres definitely lot hype surrounding this film way it looks wacky sense humour i am very excited about this i did read few book preparation this film so i saw it yesterday at early preview or see it first if you will no joke this is best dreamworks film years im not kidding this is exactly what i wanted this is what i missed about their writing style so lets talk about it biggest praise i can give this film is animation is quite mind blowing no pun intended it seems take inspiration likes spider verse mitchells vs machines zootropolis even captain underpants too its stylistic its bright fast with so much great attention detail along with superb characters designs since bad guys look so unique expressive all right ways it has zany cartoon effects too animation really takes advantage cell shading but it also makes characters stand out as being memorable funny as well all characters are fantastic i loved all them my favourites would be mr wolf sam rockwell mr snake marc maron diane zazie beetz professor marmalade richard ayoade even minor characters one are funny as heck but its thanks cast who brings these characters live unique way sam rockwell is just charming as mr wolf richard ayoade is always pleasure hearing his voice anything rest like anthony ramos awkwafina craig robinson more are all great have distinct personalities heck lot them are almost identical original source characters score by daniel pemberton is really outstanding many ways by how cool easy ears it is course he did score spider verse so it makes sense bring him compose music this film along with soundtrack that i very much dig story maybe same ol villain might be hero story like megamind or despicable me but this at least tries do it differently even conclusion is very satisfying so filmmaking with this story is incredible this film is definition laugh out loud every moment joke was funny even toilet humour was unique purposeful stand out actually be funny while also having nice heart it i mean bad guys are doing good after all along with few good twists even ones you know will eventually come action is incredible so much fun watch along with creativity also its what anyone would want film like this although with few changes it still keeps some elements book afloat which is really nice with some nice references too guys what else can i say but this is nothing short fantastic bad guys is best dreamworks film looooong time its definitely return form terms well written dreamworks films its stylistic hilarious new unique fun visually wonderful captures spirit book rather well while bringing new elements world bad guys thatll make it more more unique along with excellent music strong cast characters i dont have any complaints at all its perfect film family watch if you are fan studio see it today since its early previews uk are still going or next week when it officially hits uk cinemas over here very soon some other countries will have wait bit longer but itll be worth it end this is my favourite animated film year one best films year also im happy see dreamworks film that isnt any way mediocre or boring i loved this film so that i hope see more this not more sequels also trolls related media im happy give bad guys 10 10,0.613319604777938,0.26496452621452626,Positive,"{'Happy': 0.25, 'Angry': 0.06, 'Surprise': 0.24, 'Sad': 0.22, 'Fear': 0.23}"
