Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,The People's War Veterans Return Home,"One of the great things about The Best Years of Our Lives that even though it dates itself rather firmly in the post World War II era, the issues it talks about are as real today as they were on V-E or V-J day of 1945. The problem of how to assimilate returning war veterans is as old as the written history of our planet.And while we don't often learn from history, we can be thankful that for once the United States of America did learn from what happened with its veterans after the previous World War. The GI Bill of Rights is mentioned in passing in The Best Years of Our Lives was possibly the greatest piece of social legislation from the last century. So many veterans did take advantage of it as do the veterans like Fredric March, Dana Andrews, and Harold Russell who you see here.All three of those actors played archetypal veterans, characters that every corner of the USA could identify with. They all meet on an army transport plane flying to the home town of all of them, Boone City, Iowa.War is a great leveler of class and distinction. Bank employee March, soda jerk Andrews, and high school football star Russell probably would never meet in real life even in a small town like Boone City. But they do meet and war forges indestructible bonds that can never be broken.March is the oldest, a man with two children and Hollywood's perfect wife Myrna Loy. He settles in the first and the best. He has some wonderful scenes, getting cockeyed drunk on his return and later with a little bit of liquor in him, tells the bank officials at a banquet off in no uncertain terms.I also love his scene where another returning veteran, a sharecropper wants to get a bank loan for his own piece of land. Watch March's expressions as he listens to the man's pitch for money. You can feel him read the man's soul. It's what got him his Second Best Actor Oscar for this film.Harold Russell was a real veteran who lost both his hands during service in the Pacific. He got a special recognition Oscar for his performance. Because of that it was probably unfair to nominate him in the Supporting Actor category which he also won in. His performance, especially his scenes with Cathy O'Donnell as his sweetheart who loves him with or without his hands, is beyond anything that could be described as acting.Dana Andrews is the only officer of the three, a bombardier in the Army Air Corps. Of the group of them, maybe he should have stayed in. He also comes from the poorest background of the group and he was an officer and a gentleman in that uniform. That uniform and those monthly allotment checks are what got Virginia Mayo interested enough to marry him. The problem is that he's considerably less in her eyes as a civilian.While Mayo is fooling around with Steve Cochran, Andrews has the great good fortune to have March's daughter Teresa Wright take an interest in him. They're the main story of the film, Andrews adjustment to civilian life and adjusting to the fact he married the wrong woman. Not all veteran's problems were solved with GI Bill.Myrna Loy gets little recognition for The Best Years of Our Lives. My guess is that it's because her role as wife was too much like the stereotypical wife roles she had patented over at MGM. Still as wife to March and mother to Wright she really is the glue that holds that family together.The Best Years of Our Lives won for Best Picture for Sam Goldwyn, Best Director for William Wyler and a few others besides the two acting Oscars it got. It was a critical and popular success, possibly the best film Sam Goldwyn ever produced. It remains to this day an endearing and enduring classic and will be so for centuries. It's almost three hours in length, but never once will your interest wane.The best tribute this film received came from Frank Capra who had a film of his own in the Oscar sweepstakes that year in several categories. In his memoirs he said that he was disappointed to be skunked at the Oscars that year, but that his friend and colleague William Wyler had created such a masterpiece he deserved every award he could get for it.By the way, the film Capra had hopes for was It's A Wonderful Life. The Beat Years of Our Lives can't get better praise than that.",peoples war veterans return home,one great things about best years our lives that even though it dates itself rather firmly post world war ii era issues it talks about are as real today as they were v e or v j day 1945 problem how assimilate returning war veterans is as old as written history our planet while we dont often learn history we can be thankful that once united states america did learn what happened with its veterans after previous world war gi bill rights is mentioned passing best years our lives was possibly greatest piece social legislation last century so many veterans did take advantage it as do veterans like fredric march dana andrews harold russell who you see here all three those actors played archetypal veterans characters that every corner usa could identify with they all meet army transport plane flying home town all them boone city iowa war is great leveler class distinction bank employee march soda jerk andrews high school football star russell probably would never meet real life even small town like boone city but they do meet war forges indestructible bonds that can never be broken march is oldest man with two children hollywoods perfect wife myrna loy he settles first best he has some wonderful scenes getting cockeyed drunk his return later with little bit liquor him tells bank officials at banquet off no uncertain terms i also love his scene where another returning veteran sharecropper wants get bank loan his own piece land watch marchs expressions as he listens mans pitch money you can feel him read mans soul its what got him his second best actor oscar this film harold russell was real veteran who lost both his hands during service pacific he got special recognition oscar his performance because that it was probably unfair nominate him supporting actor category which he also won his performance especially his scenes with cathy odonnell as his sweetheart who loves him with or without his hands is beyond anything that could be described as acting dana andrews is only officer three bombardier army air corps group them maybe he should have stayed he also comes poorest background group he was officer gentleman that uniform that uniform those monthly allotment checks are what got virginia mayo interested enough marry him problem is that hes considerably less her eyes as civilian while mayo is fooling around with steve cochran andrews has great good fortune have marchs daughter teresa wright take interest him theyre main story film andrews adjustment civilian life adjusting fact he married wrong woman not all veterans problems were solved with gi bill myrna loy gets little recognition best years our lives my guess is that its because her role as wife was too much like stereotypical wife roles she had patented over at mgm still as wife march mother wright she really is glue that holds that family together best years our lives won best picture sam goldwyn best director william wyler few others besides two acting oscars it got it was critical popular success possibly best film sam goldwyn ever produced it remains this day endearing enduring classic will be so centuries its almost three hours length but never once will your interest wane best tribute this film received came frank capra who had film his own oscar sweepstakes that year several categories his memoirs he said that he was disappointed be skunked at oscars that year but that his friend colleague william wyler had created such masterpiece he deserved every award he could get it by way film capra had hopes was its wonderful life beat years our lives cant get better praise than that,0.45091684434968027,0.2936638237384506,Positive,"{'Happy': 0.17, 'Angry': 0.02, 'Surprise': 0.37, 'Sad': 0.17, 'Fear': 0.28}"
10.0,Highly structured but flawless and really moving drama about returning G.I.s,"The Best Years of Our Lives (1946)The whole point of this film when it was released still makes perfect sense today, though I'm sure it doesn't have the same impact it did in those first years after World War II ended. Returning servicemen, with all kinds of backgrounds before and during the war, hit a wall coming home: wives who no longer loved them, jobs that had dried up, a culture that was foreign to them and that found them, these men, to be foreign themselves.It wasn't a crisis to take lightly. These were the guys who were drafted to fight the enemy, and in going overseas they lost some of the best years of their lives, if not their lives. The country knew its debt in the abstract, but it also knew it in sons and husbands who really did come home and who had to face it all. This movie was both a reckoning for the sake of national healing and a brilliant drama that would be beautifully pertinent and therefore successful. And what a success, then and now.The consummate Hollywood director William Wyler shows in this fast, long movie just what a master he is at working the medium. With Gregg Toland at the camera, Wyler makes a highly fluid movie, visual and dramatic and weirdly highly efficient. With the three main plots interweaving and depending on each other, the drama (and melodrama) build but never beyond plausibility. Wyler knew his audience wouldn't put up with pandering or cheap mistakes. Casting Harold Russell as Homer, knowing the audience would hear about how Russell really was a soldier who lost both hands in the war, was a huge step toward creating both empathy and credibility. It even practices a key theme in the move--to go beyond your bounds to make a difference, to give these guys a break and help them assimilate.It's interesting how singular this movie is, trying to show the truth in these kinds of situations. The other post-war films about army and navy men fall into two large and dominating categories--war films and film noir. And it is film noir that comes closest to getting at the problem of the G.I. not reintegrating well, making it a whole style, brooding and spilling over with violence. ""The Best Years of Our Lives"" has a highly controlled and even contrived plot structure, but it aims to be honest and representative. That it's remarkable formally--the way it is shot and edited and acted, top to bottom--is not surprise, given the heights that Hollywood had reached by then, and given that Wyler is easily the slickest of them all, in the best sense. That the movie makes such beautiful sense and really works as a story, a moving and heartwarming story without undue sappiness, is a whole other kind of achievement. A terrific, rich, full-blooded, uncompromised movie.",highly structured but flawless really moving drama about returning g i s,best years our lives 1946 whole point this film when it was released still makes perfect sense today though im sure it doesnt have same impact it did those first years after world war ii ended returning servicemen with all kinds backgrounds before during war hit wall coming home wives who no longer loved them jobs that had dried up culture that was foreign them that found them these men be foreign themselves it wasnt crisis take lightly these were guys who were drafted fight enemy going overseas they lost some best years their lives if not their lives country knew its debt abstract but it also knew it sons husbands who really did come home who had face it all this movie was both reckoning sake national healing brilliant drama that would be beautifully pertinent therefore successful what success then now consummate hollywood director william wyler shows this fast long movie just what master he is at working medium with gregg toland at camera wyler makes highly fluid movie visual dramatic weirdly highly efficient with three main plots interweaving depending each other drama melodrama build but never beyond plausibility wyler knew his audience wouldnt put up with pandering or cheap mistakes casting harold russell as homer knowing audience would hear about how russell really was soldier who lost both hands war was huge step toward creating both empathy credibility it even practices key theme move go beyond your bounds make difference give these guys break help them assimilate its interesting how singular this movie is trying show truth these kinds situations other post war films about army navy men fall into two large dominating categories war films film noir it is film noir that comes closest getting at problem g i not reintegrating well making it whole style brooding spilling over with violence best years our lives has highly controlled even contrived plot structure but it aims be honest representative that its remarkable formally way it is shot edited acted top bottom is not surprise given heights that hollywood had reached by then given that wyler is easily slickest them all best sense that movie makes such beautiful sense really works as story moving heartwarming story without undue sappiness is whole other kind achievement terrific rich full blooded uncompromised movie,0.5415901875901874,0.322017316017316,Positive,"{'Happy': 0.14, 'Angry': 0.04, 'Surprise': 0.23, 'Sad': 0.24, 'Fear': 0.35}"
,One Of The Best Films Of Its Kind,"Painting an authentic, distressing & heartbreaking portrait of post traumatic stress disorder and expertly led by riveting performances from its outstanding ensemble, The Best Years of Our Lives is a work of restrained craftsmanship that narrates its drama with deft composure and has a thorough understanding of its subject matter.Crafted with care, narrated with flair & incessantly human in its approach, William Wyler's film's silent, thoughtful contemplation on PTSD is still as relevant today as it was at its time of release. Firmly grounded in realism & having stood the test of time all these years, The Best Years of Our Lives is one of the finest offerings of its kind.",one best films its kind,painting authentic distressing heartbreaking portrait post traumatic stress disorder expertly led by riveting performances its outstanding ensemble best years our lives is work restrained craftsmanship that narrates its drama with deft composure has thorough understanding its subject matter crafted with care narrated with flair incessantly human its approach william wylers films silent thoughtful contemplation ptsd is still as relevant today as it was at its time release firmly grounded realism having stood test time all these years best years our lives is one finest offerings its kind,0.5705555555555556,0.44888888888888884,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.18, 'Fear': 0.29}"
10.0,Over 60 years old and still a classic!,"In 2004, I wrote the following statements on an IMDb message board when a user wondered if The Best Years of Our Lives was a forgotten movie: ***** To me watching this movie is like opening up a time capsule. I think in many ways ""The Best Years of Our Lives"" is probably one of the more fascinating character studies and it holds up extremely well as a look at life in the US in the mid-1940s after WWII. I believe ""Coming Home"" and ""The Deer Hunter"", both released in 1978, were the most recent films that were closest in capturing the numerous issues of military men returning from war that were brought up in ""The Best Years of Our Lives"".What really impressed me was watching the movie in its entirety when I was in college around 1980-81 and many if not all of the college students applauded at the end of the movie.This movie still packs a wallop and I'm very happy to read in other posts other users feeling of a movie that will definitely stand the test of time. *****I'm very happy to see the movie ranked near the top 100 movies on IMDb and AFI. Also, though it was in competition with what eventually became a Christmas classic, It's a Wonderful Life, arguably, The Best Years of Our Lives' Oscar wins, including Best Picture, were very well-deserved. I've just seen the film again in 2005 and after almost 60 years, The Best Years of Our Lives is still a powerful, beautifully acted and well-crafted motion picture.",over 60 years old still classic,2004 i wrote following statements imdb message board when user wondered if best years our lives was forgotten movie me watching this movie is like opening up time capsule i think many ways best years our lives is probably one more fascinating character studies it holds up extremely well as look at life us mid 1940s after wwii i believe coming home deer hunter both released 1978 were most recent films that were closest capturing numerous issues military men returning war that were brought up best years our lives what really impressed me was watching movie its entirety when i was college around 1980 81 many if not all college students applauded at end movie this movie still packs wallop im very happy read other posts other users feeling movie that will definitely stand test time im very happy see movie ranked near top 100 movies imdb afi also though it was competition with what eventually became christmas classic its wonderful life arguably best years our lives oscar wins including best picture were very well deserved ive just seen film again 2005 after almost 60 years best years our lives is still powerful beautifully acted well crafted motion picture,0.4782828282828283,0.45176767676767676,Positive,"{'Happy': 0.12, 'Angry': 0.03, 'Surprise': 0.47, 'Sad': 0.09, 'Fear': 0.28}"
8.0,Those Left Behind,"Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.Such a powerful film. At first the new lives of the soldiers seem to be facing small adjustments, such as their children's interest in ""atomic energy"" and ""scientific efficiency"". But soon we find that jobs are hard to find, and the wives and girlfriends sometimes met new people while the battles were fought.Although a serious topic, the film has the right balance of entertainment and drama. It never gets outright depressing, and things like depression and suicide are overlooked. But it still remains a valuable lesson: as bad as dying in the war is, sometimes the transition back to normalcy can be just as damaging.Although not one of the better known movies today (2014), ""The Best Years of Our Lives"" won seven Academy Awards in 1946, including Best Picture, Best Director (William Wyler), Best Actor (Fredric March), Best Supporting Actor (Harold Russell), Best Film Editing (Daniel Mandell), Best Adapted Screenplay (Robert Sherwood), and Best Original Score (Hugo Friedhofer). It still sits on the IMDb Top 250, just as it should.",those left behind,three wwii veterans return home small town america discover that they their families have been irreparably changed such powerful film at first new lives soldiers seem be facing small adjustments such as their childrens interest atomic energy scientific efficiency but soon we find that jobs are hard find wives girlfriends sometimes met new people while battles were fought although serious topic film has right balance entertainment drama it never gets outright depressing things like depression suicide are overlooked but it still remains valuable lesson as bad as dying war is sometimes transition back normalcy can be just as damaging although not one better known movies today 2014 best years our lives won seven academy awards 1946 including best picture best director william wyler best actor fredric march best supporting actor harold russell best film editing daniel mandell best adapted screenplay robert sherwood best original score hugo friedhofer it still sits imdb top 250 just as it should,0.4447549474335191,0.2824443413729128,Positive,"{'Happy': 0.03, 'Angry': 0.13, 'Surprise': 0.48, 'Sad': 0.23, 'Fear': 0.13}"
10.0,Window on an era,"This is one of the important movies. It was when it was first released in 1946, addressing as it did the issue of veterans returning from WW2, and the affect it had on them and their families. It focused on three men, all psychologically scarred, and one who has lost both arms. They return to a small city in the U.S., but the themes of the film were universal.That was 70 years ago, and over the years, the movie has tended to move into the background - there have been more wars and more veterans returning with their own issues.However, I think the importance of this movie can't be underestimated now that the WW2 generation is fading away.WW2 was well covered; we have millions of feet of newsreel film as well as towering stacks of history books. However, movies from the era do something quite unique; they get inside the emotions and the feelings - they represent the mindset of the time. Audiences identified with the issues through the stars in a way that was very personal. Hollywood did this job best - it was entertainment, but it was also a commitment to a generation.At the end of the war and into the 50's, Hollywood addressed the aftermath - ""Till the End of Time"", ""The Men"", ""My Foolish Heart"", ""The Man in the Grey Flannel Suit"" and others, but ""The Best Years of Our Lives"" towers above them all.The film could never really be remade. It was created by people who had experienced the war either in combat or on the home front. Many behind the camera had served including director William Wyler who had flown dangerous missions making documentaries about the U.S. Air Force; he was left nearly deaf from the experience.The film tackled tough issues and attitudes. Sergeant Al Stephenson (Frederick March) returns from the Philippines, but he hasn't seen his kids for years and he seems out of step with them. Fred Derry (Dana Andrews) returns to an unfaithful wife and an uncertain future, he was good at war but what now? Real-life amputee Harold Russell plays Homer Parrish. He has much to overcome, but his girlfriend remains loyal, and he emerges as possibly the best adjusted of them all; he accepts what he can't change, and just gets on with it.The film has a powerful score by Hugo Friedhofer. Friedhofer was not as famous as Newman, Korngold or Steiner but he was as good. He surpassed himself here; his music helped express the unspoken thoughts of the actors - there are sections of this score that bring a lump to the throat.This was my parent's generation; my father was in the Australian army and fought in the war. And although this movie was about Americans, the story resonated far wider.Of course you could argue that some issues were not tackled - and that also gives an insight into an era, but with that said, this film is a window on the ideas and forces that were shaping society at a critical time in modern history. Seen that way, it's a movie that may never lose its relevance.",window era,this is one important movies it was when it was first released 1946 addressing as it did issue veterans returning ww2 affect it had them their families it focused three men all psychologically scarred one who has lost both arms they return small city u s but themes film were universal that was 70 years ago over years movie has tended move into background there have been more wars more veterans returning with their own issues however i think importance this movie cant be underestimated now that ww2 generation is fading away ww2 was well covered we have millions feet newsreel film as well as towering stacks history books however movies era do something quite unique they get inside emotions feelings they represent mindset time audiences identified with issues through stars way that was very personal hollywood did this job best it was entertainment but it was also commitment generation at end war into 50s hollywood addressed aftermath till end time men my foolish heart man grey flannel suit others but best years our lives towers above them all film could never really be remade it was created by people who had experienced war either combat or home front many behind camera had served including director william wyler who had flown dangerous missions making documentaries about u s air force he was left nearly deaf experience film tackled tough issues attitudes sergeant al stephenson frederick march returns philippines but he hasnt seen his kids years he seems out step with them fred derry dana andrews returns unfaithful wife uncertain future he was good at war but what now real life amputee harold russell plays homer parrish he has much overcome but his girlfriend remains loyal he emerges as possibly best adjusted them all he accepts what he cant change just gets with it film has powerful score by hugo friedhofer friedhofer was not as famous as newman korngold or steiner but he was as good he surpassed himself here his music helped express unspoken thoughts actors there are sections this score that bring lump throat this was my parents generation my father was australian army fought war although this movie was about americans story resonated far wider course you could argue that some issues were not tackled that also gives insight into era but with that said this film is window ideas forces that were shaping society at critical time modern history seen that way its movie that may never lose its relevance,0.5115277777777778,0.21859567901234567,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.28, 'Fear': 0.33}"
8.0,A worthwhile message that rings true still today.,"Returning to life at home for our overseas fighting men was not as easy as we here at home may have assumed,and McKinlay Kantor thought it important to write about this fact.The novel caught the attention of Hollywood and soon we were seeing it well illustrated on the big screen.War changes a man to one degree or another,either physically or emotionally or perhaps both.The passage of time doesn't help either,and things at home change a little.Their children grow,and they were unable to be there to witness it firsthand.Again,this makes the adjustment harder.For 4 years,all they knew was war,and they find themselves faced with the impossible task of picking up where they had left off.It's a worthwhile story to engross yourself in.While much of what you see here represents a world that does not exist anymore,the difficulties of adjusting to life at home after war ring true still today.",worthwhile message that rings true still today,returning life at home our overseas fighting men was not as easy as we here at home may have assumed mckinlay kantor thought it important write about this fact novel caught attention hollywood soon we were seeing it well illustrated big screen war changes man one degree or another either physically or emotionally or perhaps both passage time doesnt help either things at home change little their children grow they were unable be there witness it firsthand again this makes adjustment harder 4 years all they knew was war they find themselves faced with impossible task picking up where they had left off its worthwhile story engross yourself while much what you see here represents world that does not exist anymore difficulties adjusting life at home after war ring true still today,0.505952380952381,0.0913690476190476,Positive,"{'Happy': 0.06, 'Angry': 0.06, 'Surprise': 0.18, 'Sad': 0.41, 'Fear': 0.29}"
10.0,One of the Best Films Ever Made,"Beautiful, brilliant film about three WWII veterans and their families struggling to adjust to changes in their lives after the war. Frederic March and Dana Andrews give exceptional performances; possibly their best. Real-life veteran Harold Russell, who lost his hands in the war, steals the show in probably the best acting I've ever seen from a novice. He's really amazing. The supporting cast includes wonderful actresses Myrna Loy, Teresa Wright, Virginia Mayo, Gladys George, and Cathy O'Donnell. There isn't a bad performance in the film. It's director William Wyler's best. It won seven Oscars plus received two honorary ones. This is definitely a must-see film. One of the all-time greats.",one best films ever made,beautiful brilliant film about three wwii veterans their families struggling adjust changes their lives after war frederic march dana andrews give exceptional performances possibly their best real life veteran harold russell who lost his hands war steals show probably best acting ive ever seen novice hes really amazing supporting cast includes wonderful actresses myrna loy teresa wright virginia mayo gladys george cathy odonnell there isnt bad performance film its director william wylers best it won seven oscars plus received two honorary ones this is definitely must see film one all time greats,0.5510416666666667,0.48541666666666666,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.52, 'Sad': 0.16, 'Fear': 0.2}"
10.0,Among Best Films Of Our Lives,"Not seldom have we seen veterans returning from wars in movies and certain assumptions are likely, but THE BEST YEARS OF OUR LIVES occurs to be an exceptionally memorable treatment of the theme. Bosley Crowther in New York Times, soon after the premiere of William Wyler's gripping work, pointed out accurately that the film ""visions the overflowing humors and the curious pathos of such returns, and it honestly and sensitively images the terrible loneliness of the man who has been hurt."" One of the major strengths of this film, therefore, does not lie in entertainment (though it does not lack it whatsoever) or any sort of heroic deeds worn in glorified patriotism (something that many movies of the time did not resist), but in the very empathy it employs to the theme and the characters. William Wyler speaks to the generation with clarity and modesty derived from his very experience with the men of Air Forces. Roger Ebert develops the thought labeling the central theme as ""sobering at the problems veterans faced."" He adds that ""Wyler doesn't pump in superfluous drama"" but actually IS with his characters and with/for his audiences. As a result, the story does not resort to the specific time of history but concludes in a rather universal, timeless insight into psychological and moral aspects of those troublesome torments and alienation therein endured. Ebert explains the fact why the movie so wonderfully passed a test of time with three adjectives applied to it: ""lean, direct, honest."" Let me highlight those features from the standpoint of the three veterans herein depicted.The main cast do not only come from various backgrounds, do not only portray different personalities with common experience yet diverse backgrounds but truly surprise us at multiple levels. All of them truly deservedly credit.FREDRIC MARCH, a very famous actor at the time, does a splendid job as sergeant Al Stephenson coming back home to his wife Milly (played with bravura and charm by Myrna Loy) and two kids, a daughter Peggy (played with subtlety by Teresa Wright) and a son Rob (Michael Hall). He is 'lean, direct and honest' in both merry-go-round scenes and serious moments but most captivating at the very adjustment to the family after the years of absence. The terrific ability to balance the hilarious with the serious is something that makes March's performance deserve particular attention. Although he has come back from war, much is at war within him...DANA ANDREWS as a former bombardier Fred Derry is a totally different character to analyze and perceive in the very context of pre-war vs. post-war reality - something many viewers of the time could identify with and most viewers of our time can fully understand. His destiny is shaped in direction towards Al's family (he is in love with Peggy) and yet, distorted by the haunting past and wrong choices. Here, who calls our attention is his wife Marie (Virginia Mayo), a conceited, vain woman occupied with what one looks like rather than bothering to consider what one feels. Andrews is given much freedom on the screen to develop the character on a great scale for the time. He does well. But the most intriguing and perhaps the most identifiable character among them is...HAROLD RUSSELL as Homer Parrish, a sailor most hurt by the war. His artificial hands, steel hooks have become almost a symbol of the movie's most powerful anti-war aspect, and, at the same time, the reason why the story may be called ""food for quiet and humanizing thought"" (Crowther). His character moves us most and leaves us almost reflective because it embodies honesty. Homer Parrish is a living statement that evokes the indifference and arrogance of war. He is in love with Wilma (Cathy O'Donnell) but he has to confront the reality the war experience has given to him. He is no longer the way he dreamed to be. Yet, the awareness of being loved helps him go on. Consider the bedroom scene with Wilma and the genuine tears of joy at having heard she loves him. Deservedly Mr Russell got the Oscar for the role and there is no question about one thing: such a screen achievement may be considered one among the very best roles of one's life. In this character lies quiet, subtle, captivating heroism.Among the female characters, great performances are delivered by Myrna Loy as Al's wife whose acting Crowther labels as ""charmingly reticent"" and Teresa Wright as Peggy who highlights trustworthy enthusiasm and youthfullness in difficult times. Virginia Mayo's ""brassy and brutal"" (Crowther) depiction also bears watching.In all this achievement, kudos to cinematographer Gregg Toland who employs high contrast lighting with terrific visual resonance added to the the whole story and builds the scenes upon exceptional clarity. Along with the obvious contribution of the director William Wyler, no less appreciation should go to the screenplay by Robert E. Sherwood for the perfectly framed plot(s).THE BEST YEARS OF OUR LIVES may undeniably be considered as one among the best films of our lives, an intense emotional link between the characters on screen and viewers where genuine feelings conquer heroic victories.",among best films our lives,not seldom have we seen veterans returning wars movies certain assumptions are likely but best years our lives occurs be exceptionally memorable treatment theme bosley crowther new york times soon after premiere william wylers gripping work pointed out accurately that film visions overflowing humors curious pathos such returns it honestly sensitively images terrible loneliness man who has been hurt one major strengths this film therefore does not lie entertainment though it does not lack it whatsoever or any sort heroic deeds worn glorified patriotism something that many movies time did not resist but very empathy it employs theme characters william wyler speaks generation with clarity modesty derived his very experience with men air forces roger ebert develops thought labeling central theme as sobering at problems veterans faced he adds that wyler doesnt pump superfluous drama but actually is with his characters with his audiences as result story does not resort specific time history but concludes rather universal timeless insight into psychological moral aspects those troublesome torments alienation therein endured ebert explains fact why movie so wonderfully passed test time with three adjectives applied it lean direct honest let me highlight those features standpoint three veterans herein depicted main cast do not only come various backgrounds do not only portray different personalities with common experience yet diverse backgrounds but truly surprise us at multiple levels all them truly deservedly credit fredric march very famous actor at time does splendid job as sergeant al stephenson coming back home his wife milly played with bravura charm by myrna loy two kids daughter peggy played with subtlety by teresa wright son rob michael hall he is lean direct honest both merry go round scenes serious moments but most captivating at very adjustment family after years absence terrific ability balance hilarious with serious is something that makes marchs performance deserve particular attention although he has come back war much is at war within him dana andrews as former bombardier fred derry is totally different character analyze perceive very context pre war vs post war reality something many viewers time could identify with most viewers our time can fully understand his destiny is shaped direction towards als family he is love with peggy yet distorted by haunting past wrong choices here who calls our attention is his wife marie virginia mayo conceited vain woman occupied with what one looks like rather than bothering consider what one feels andrews is given much freedom screen develop character great scale time he does well but most intriguing perhaps most identifiable character among them is harold russell as homer parrish sailor most hurt by war his artificial hands steel hooks have become almost symbol movies most powerful anti war aspect at same time reason why story may be called food quiet humanizing thought crowther his character moves us most leaves us almost reflective because it embodies honesty homer parrish is living statement that evokes indifference arrogance war he is love with wilma cathy odonnell but he has confront reality war experience has given him he is no longer way he dreamed be yet awareness being loved helps him go consider bedroom scene with wilma genuine tears joy at having heard she loves him deservedly mr russell got oscar role there is no question about one thing such screen achievement may be considered one among very best roles ones life this character lies quiet subtle captivating heroism among female characters great performances are delivered by myrna loy as als wife whose acting crowther labels as charmingly reticent teresa wright as peggy who highlights trustworthy enthusiasm youthfullness difficult times virginia mayos brassy brutal crowther depiction also bears watching all this achievement kudos cinematographer gregg toland who employs high contrast lighting with terrific visual resonance added whole story builds scenes upon exceptional clarity along with obvious contribution director william wyler no less appreciation should go screenplay by robert e sherwood perfectly framed plot s best years our lives may undeniably be considered as one among best films our lives intense emotional link between characters screen viewers where genuine feelings conquer heroic victories,0.5493930735930735,0.23002316017316013,Positive,"{'Happy': 0.13, 'Angry': 0.02, 'Surprise': 0.19, 'Sad': 0.21, 'Fear': 0.44}"
10.0,wonderful post-war epic,"This is a home-coming tale of three WWII veterans, returning to the same small town. One was a bank clerk who rose through the military ranks (Fredric March, who got the Best Actor Oscar for this, well-deserved) with an understanding wife (Myrna Loy, excellent) and daughter (Teresa Wright). One has lost his hands (Harold Russell, real-life veteran, putting in a touching performance) and struggles to cope with this and with his relationship with his girlfriend (Cathy O'Donnell). The other was a soda jerk but has flown bomber planes throughout the conflict (Dana Andrews, in one of his best roles) and is now heading back to his pin-up wife (Virginia Mayo, a small role but an interesting one).We follow them on their respective journeys, often meeting up in Butch's bar (run by Hoagy Carmichael, who gets the chance to play piano, etc.) and often finding their paths cross. The film comes in at around 3 hours, but it is time well spent. 'The Best Years' is not only perceptive and clever, with some great scenes, but also is innovative in some of its cinematography, thanks to the great Gregg Toland, master of the deep focus.",wonderful post war epic,this is home coming tale three wwii veterans returning same small town one was bank clerk who rose through military ranks fredric march who got best actor oscar this well deserved with understanding wife myrna loy excellent daughter teresa wright one has lost his hands harold russell real life veteran putting touching performance struggles cope with this with his relationship with his girlfriend cathy odonnell other was soda jerk but has flown bomber planes throughout conflict dana andrews one his best roles is now heading back his pin up wife virginia mayo small role but interesting one we follow them their respective journeys often meeting up butchs bar run by hoagy carmichael who gets chance play piano etc often finding their paths cross film comes at around 3 hours but it is time well spent best years is not only perceptive clever with some great scenes but also is innovative some its cinematography thanks great gregg toland master deep focus,0.4475308641975308,0.31635802469135804,Positive,"{'Happy': 0.17, 'Angry': 0.04, 'Surprise': 0.25, 'Sad': 0.33, 'Fear': 0.21}"
