Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,"Yeah, Ethan Hawke at it again.","Ethan Hawke is at it again, I loved the vibe of the movie, director came in clutch with this movie, it was truly surprising. Didn't expect it to be even remotely good, when this movie does fully release in theaters please do watch it in the big screens you will not regret it, child actors are incredible. I thought i saw the whole movie in the trailers, oh boy I was wrong.",yeah ethan hawke at it again,ethan hawke is at it again i loved vibe movie director came clutch with this movie it was truly surprising didnt expect it be even remotely good when this movie does fully release theaters please do watch it big screens you will not regret it child actors are incredible i thought i saw whole movie trailers oh boy i was wrong,0.6,0.3857142857142857,Positive,"{'Happy': 0.23, 'Angry': 0.0, 'Surprise': 0.54, 'Sad': 0.08, 'Fear': 0.15}"
10.0,One of the Best,"I watched this movie in mid-2021 in a pre-screening, it killed me that I couldn't buy or talk about one of my favorite movies. I was not expecting what I saw in that theater. I didn't have super high hopes but I was proven wrong very very quickly. Would highly suggest watching it, it has some great acting, a great plot, and a satisfying ending.",one best,i watched this movie mid 2021 pre screening it killed me that i couldnt buy or talk about one my favorite movies i was not expecting what i saw that theater i didnt have super high hopes but i was proven wrong very very quickly would highly suggest watching it it has some great acting great plot satisfying ending,0.5458974358974359,0.30666666666666664,Positive,"{'Happy': 0.23, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.08, 'Fear': 0.31}"
10.0,Absolutely Terrifying,Wow! So good!! This a movie that nightmares are made of! So intense and thrilling! Lots of good scares! Reminds me of the paranoia I had of being kidnapped as a kid. I jumped so many times. Ethan Hawk plays a really great villain!!,absolutely terrifying,wow so good this movie that nightmares are made so intense thrilling lots good scares reminds me paranoia i had being kidnapped as kid i jumped so many times ethan hawk plays really great villain,0.8062499999999999,0.28125,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.19, 'Fear': 0.31}"
10.0,Woww,"This movie was on my watchlist for more than a year, and it finally came out here! It did not disappoint even when my expectations were really high!I was on the edge of my seat the whole time and the whole audience were too!All the actors here are nothing less than perfect and the children actors are the most talented I have seen in the past years. Go watch it!",woww,this movie was my watchlist more than year it finally came out here it did not disappoint even when my expectations were really high i was edge my seat whole time whole audience were too all actors here are nothing less than perfect children actors are most talented i have seen past years go watch it,0.5556666666666666,0.2843333333333334,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.33, 'Fear': 0.42}"
10.0,A Scary Ethan Hawke And Terrific Young Stars Make This Thriller A Blumhouse Best...,"A Scary Ethan Hawke And Terrific Young Stars Make This Thriller A Blumhouse Best....... As Universal's distribution head Jim Orr said in introducing Tuesday night's CinemaCon screening of the studio's upcoming late June release The Black Phone, studios don't normally bring a movie like this to show in its entirety at a theater-owners convention two months ahead of opening unless they know they have the goods. With this one reuniting producer Jason Blum and Blumhouse with director Scott Derrickson and co-writer C. Robert Cargill - all having worked together on 2012's Sinister - Universal does have the goods, and then some. Being marketed apparently as a horror film, with a poster dominated by a fully terrifyingly masked and horned Ethan Hawke, what this late 1970s-set movie really is about is the trauma of youth crossing from childhood into teen years, more appropriately falling into the suspense thriller category than the kind of standard horror the marketing seems to indicate. Hopefully audiences won't be put off by that approach, because this is a truly effective movie that defies easy description but should appeal to a wider crowd. It originally premiered at the 2021 Fantastic Fest and was planned for a January release but Blum and the studio felt it needed to be seen in theaters, thus the smart move to a prime summer slot and exclusive theatrical run.Based on the 2014 Joe Hill short story comparisons to Stephen King, and particularly It, will be inevitable, but The Black Phone marches to its own beat as we are introduced to its protagonist, young teen Finney Shaw (Mason Thames), an ace baseball pitcher who nevertheless finds himself subjected to constant harm by school bullies, as well as a single alcoholic father (Jeremy Davies) who is in over his head in raising Finney and his younger, foul-mouthed but quite religious sister Gwen (Madeleine McGraw). Gwen's psychic dreams are given credence by local authorities (if not her own dad, who physically abuses her and orders her to stop) when she is able to pinpoint an abduction of one of the Colorado town's young teen boys. The best movies of any genre are the ones that focus on character giving us a reason to root for them. These filmmakers put the thrills and chills (and there are many) in second position to favor advancing a story that also stands in as an allegory for the terrors of growing up and losing the innocence of childhood in a very dark world, this one inhabited not just by The Grabber, but also bullies who mercilessly beat up their fearful schoolmates, unhinged parents, and other realities of life. The Black Phone may also be known someday as a star-making film, with both Thames perfectly anchoring the story as Finney, a kid whose own awkwardness and eventual determination to survive has us cheering for him, and particularly McGraw, who steals every scene she has with a seeming ease that says this movie will not be the last we hear of her. She is a true standout.",scary ethan hawke terrific young stars make this thriller blumhouse best,scary ethan hawke terrific young stars make this thriller blumhouse best as universals distribution head jim orr said introducing tuesday nights cinemacon screening studios upcoming late june release black phone studios dont normally bring movie like this show its entirety at theater owners convention two months ahead opening unless they know they have goods with this one reuniting producer jason blum blumhouse with director scott derrickson co writer c robert cargill all having worked together 2012s sinister universal does have goods then some being marketed apparently as horror film with poster dominated by fully terrifyingly masked horned ethan hawke what this late 1970s set movie really is about is trauma youth crossing childhood into teen years more appropriately falling into suspense thriller category than kind standard horror marketing seems indicate hopefully audiences wont be put off by that approach because this is truly effective movie that defies easy description but should appeal wider crowd it originally premiered at 2021 fantastic fest was planned january release but blum studio felt it needed be seen theaters thus smart move prime summer slot exclusive theatrical run based 2014 joe hill short story comparisons stephen king particularly it will be inevitable but black phone marches its own beat as we are introduced its protagonist young teen finney shaw mason thames ace baseball pitcher who nevertheless finds himself subjected constant harm by school bullies as well as single alcoholic father jeremy davies who is over his head raising finney his younger foul mouthed but quite religious sister gwen madeleine mcgraw gwens psychic dreams are given credence by local authorities if not her own dad who physically abuses her orders her stop when she is able pinpoint abduction one colorado towns young teen boys best movies any genre are ones that focus character giving us reason root them these filmmakers put thrills chills there are many second position favor advancing story that also stands as allegory terrors growing up losing innocence childhood very dark world this one inhabited not just by grabber but also bullies who mercilessly beat up their fearful schoolmates unhinged parents other realities life black phone may also be known someday as star making film with both thames perfectly anchoring story as finney kid whose own awkwardness eventual determination survive has us cheering him particularly mcgraw who steals every scene she has with seeming ease that says this movie will not be last we hear her she is true standout,0.5113559322033897,0.10278853914447132,Positive,"{'Happy': 0.11, 'Angry': 0.06, 'Surprise': 0.2, 'Sad': 0.28, 'Fear': 0.34}"
10.0,Best Psycoligical Horror film of 2021,Ethan Hawke created a character worthy of a film series in the same way way that Robert Englund brought Freddy Kruger to our nightmares. Creepy scary good. This one I will have to own on Blu ray.,best psycoligical horror film 2021,ethan hawke created character worthy film series same way way that robert englund brought freddy kruger our nightmares creepy scary good this one i will have own blu ray,0.7178571428571429,0.23333333333333334,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.12, 'Fear': 0.5}"
8.0,Ethan Excels In Terrifying Mask,"I saw The Black Phone, starring Ethan Hawke-The Magnificent Seven_2016, The Purge; Jeremy Davies-Justified_tv, Lost_tv; Mason Thames-Walker_2021_tv, For All Mankind_tv and Madeleine McGraw-Ant_Man and the Wasp, American Sniper.This is a horror/thriller that Ethan Hawke really excels in. It's based on a book written by Joe Hill, the son of Stephen King. Ethan plays a character called the Grabber, a serial child abductor/killer, that wears a terrifying mask-the mask was designed by famed make up artist Tom Savini. Ethan grabs kids and puts them in a soundproof basement, tortures them with games he likes to play and then kills them. Mason, a shy but smart 13 year old is his latest victim. In the basement is a black phone that Ethan tells Mason does not work-it's been disconnected. When the phone rings, Mason answers it and discovers that he is talking to Ethan's previous dead victims, who try to help Mason escape. Jeremy plays Mason's father and Madeleine is Mason's sister.It's rated R for violence, bloody images, language and drug use and has a running time of 1 hour & 42 minutes.I enjoyed it and would buy it on DVD.",ethan excels terrifying mask,i saw black phone starring ethan hawke magnificent seven 2016 purge jeremy davies justified tv lost tv mason thames walker 2021 tv all mankind tv madeleine mcgraw ant man wasp american sniper this is horror thriller that ethan hawke really excels its based book written by joe hill son stephen king ethan plays character called grabber serial child abductor killer that wears terrifying mask mask was designed by famed make up artist tom savini ethan grabs kids puts them soundproof basement tortures them with games he likes play then kills them mason shy but smart 13 year old is his latest victim basement is black phone that ethan tells mason does not work its been disconnected when phone rings mason answers it discovers that he is talking ethans previous dead victims who try help mason escape jeremy plays masons father madeleine is masons sister its rated r violence bloody images language drug use has running time 1 hour 42 minutes i enjoyed it would buy it dvd,0.5544817927170869,-0.06827731092436976,Negative,"{'Happy': 0.09, 'Angry': 0.0, 'Surprise': 0.28, 'Sad': 0.25, 'Fear': 0.38}"
8.0,Best Horro/Thriller in Years!,"I was super lucky and got to attend an early release screening for this movie and as a horror movie fanatic I went in with low expectations but was excited given it was the same people who did Sinister (one of the scariest I've seen)! I was SO pleasantly surprised with this film!! It was creepy, suspenseful, filled with jump scares, perfect comedic lighthearted moments, unpredictable scenes, the pacing and length was perfect, had me on an emotional roller coaster and the two characters Finney & Gwen made the entire movie! Their sibling relationship really hooked me, I saw myself and my younger brother in them! They had such great chemistry, such talented young actors! Had me on the edge of my seat the whole movie.PLEASE see this in theaters you won't be disappointed!!",best horro thriller years,i was super lucky got attend early release screening this movie as horror movie fanatic i went with low expectations but was excited given it was same people who did sinister one scariest ive seen i was so pleasantly surprised with this film it was creepy suspenseful filled with jump scares perfect comedic lighthearted moments unpredictable scenes pacing length was perfect had me emotional roller coaster two characters finney gwen made entire movie their sibling relationship really hooked me i saw myself my younger brother them they had such great chemistry such talented young actors had me edge my seat whole movie please see this theaters you wont be disappointed,0.6499999999999999,0.16388888888888892,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.23, 'Sad': 0.35, 'Fear': 0.32}"
10.0,Where are hundreds of reviews for this soon to be horror classic?,"Five kids go disappear in a provincial Colorado municipality. Soon after, Finney Shaw is abducted by a serial murderer and kept inside of a silent vault. Finding a broken black phone, Finney figures out the phone has the ability to send the voices of the murderer's prior sufferers, and one tries to help him escape.",where are hundreds reviews this soon be horror classic,five kids go disappear provincial colorado municipality soon after finney shaw is abducted by serial murderer kept inside silent vault finding broken black phone finney figures out phone has ability send voices murderers prior sufferers one tries help him escape,0.25,-0.08333333333333333,Negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.43, 'Sad': 0.0, 'Fear': 0.43}"
10.0,Amazing Movie,"The sinister director has done it once again! This movie did not disappoint me the slightest bit, it was interesting, creepy and really had a nice plot to it.",amazing movie,sinister director has done it once again this movie did not disappoint me slightest bit it was interesting creepy really had nice plot it,0.7666666666666666,0.15000000000000002,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.25, 'Fear': 0.12}"
