Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
8,What is Both Beautiful and Ugly in India,"This insightful and true story reveals what is both beautiful and ugly in India and sheds light on what keeps the second most populous country in the world at the bottom of the Olympics. It is also the story of a young couple in love who struggle to live on their own terms in an arena that is far less forgiving than a boxing ring.Defeating other boxers is the easy part for Shravan. He is tough, well-trained and smart. Troubles really begin when Shravan falls for Sunaina. In the process he picks a fight with her uncle Bhagwan, also Shravan's coach. Next to Bhagwan, Rocky's coach Mickey looks like Miss Kitty. Bhagwan relentlessly punishes and humiliates Shravan with severe beatings, false charges, imprisonment, disqualifications by corrupt officials and more. When he cannot shake Shravan, Bhagwan goes after his support network; torture, kidnapping, rape and robbery. He throws his own brother on the street and breaks his knees. Bhagwan claims to be the victim. ""When a boxer is knocked out,"" he says ""it is the coach that bleeds."" Shravan tries to turn his anger into positive energy, and funnel it into his boxing gloves and his love for Sunaina.""Boxing is not a world of glamor like it is in West,"" said director Kashyap after the film's world premiere in Toronto. This film shows why this is sadly the case. It also provides a balanced snapshot of contemporary India with its amazing colors, song, dances and light, as well as its haze, corruption, crime and debilitating caste system. Actor Vineet Kumar Singh took a year off to train for his role as Shravan, and such thorough preparation is evident in his tremendous performance. The story is too long and disjointed in places, yet all together it is a fantastic, enthralling and dramatic portrait of the hypocrisy and corruption, as well as the beauty and color, in India. Seen at the Toronto International Film Festival.",what is both beautiful ugly india,this insightful true story reveals what is both beautiful ugly india sheds light what keeps second most populous country world at bottom olympics it is also story young couple love who struggle live their own terms arena that is far less forgiving than boxing ring defeating other boxers is easy part shravan he is tough well trained smart troubles really begin when shravan falls sunaina process he picks fight with her uncle bhagwan also shravans coach next bhagwan rockys coach mickey looks like miss kitty bhagwan relentlessly punishes humiliates shravan with severe beatings false charges imprisonment disqualifications by corrupt officials more when he cannot shake shravan bhagwan goes after his support network torture kidnapping rape robbery he throws his own brother street breaks his knees bhagwan claims be victim when boxer is knocked out he says it is coach that bleeds shravan tries turn his anger into positive energy funnel it into his boxing gloves his love sunaina boxing is not world glamor like it is west said director kashyap after films world premiere toronto this film shows why this is sadly case it also provides balanced snapshot contemporary india with its amazing colors song dances light as well as its haze corruption crime debilitating caste system actor vineet kumar singh took year off train his role as shravan such thorough preparation is evident his tremendous performance story is too long disjointed places yet all together it is fantastic enthralling dramatic portrait hypocrisy corruption as well as beauty color india seen at toronto international film festival,0.5903327922077922,0.10930916305916308,Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.34, 'Sad': 0.26, 'Fear': 0.23}"
9,Raw... Powerfull Punch...Bangon..!!!,"Anurag kashyap did it again and started this new year with blast with all round performance in terms of Direction, acting , screenplay but real surprise was music and dialog Songs was too different and according to situation along with the background score. what Anurag kashyap tried to do give time audience to connect with character and as story progress character grows and you can see different shades of them and you can actually feel their pain, helplessness , anger and their happinessvineet singh is reallly deserve huge round og appluse for giving outstanding performance not only for acting also for co-screenply writing. Zoya Hussain and vineet singh onscreen chemistry really good and you can actully feel their love on screenAs usual Jimmy shergill and Ravi kishan provided the strenght need for the flim with their acting. overall this movie is really good and all credit goes to anurag kashyap making such a solid movie..",raw powerfull punch bangon,anurag kashyap did it again started this new year with blast with all round performance terms direction acting screenplay but real surprise was music dialog songs was too different according situation along with background score what anurag kashyap tried do give time audience connect with character as story progress character grows you can see different shades them you can actually feel their pain helplessness anger their happinessvineet singh is reallly deserve huge round og appluse giving outstanding performance not only acting also co screenply writing zoya hussain vineet singh onscreen chemistry really good you can actully feel their love screenas usual jimmy shergill ravi kishan provided strenght need flim with their acting overall this movie is really good all credit goes anurag kashyap making such solid movie,0.4064129052765416,0.07070883661792753,Positive,"{'Happy': 0.18, 'Angry': 0.05, 'Surprise': 0.18, 'Sad': 0.23, 'Fear': 0.36}"
8,Super Start of 2018,"Anurag Kashyap is redefining himself. I didn't like his last two films Bombay Velvet and Raman Raghav 2.0. But I like this one. I was amazed to see the whole story which was shown to us in trailer was there in first half itself. I got excited to think what the film will tell in the second half. First half was full of love, songs, romance, fight, and happy ending. Second half contains the issues in Government sectors, offices, sports and above all Uttar Pradesh. I wish Ravi Kishan's character had been written more. He suits in his perfectly. Debutant actress Zoya delivers superb expressions. Jimmy Shergil is as usual outstanding. Vineet Kumar Singh is terrific. He is now become star. Everyone knows that he can act superbly. But after this film, everyone would know that he can hold the entire film too. Songs are superb. Mushkil Hai Mel, Pantra, Bahut Dukha hai - Every song has its own charisma. Overall, a very good start of this year with this film. Kashyap, take a bow!",super start 2018,anurag kashyap is redefining himself i didnt like his last two films bombay velvet raman raghav 2 0 but i like this one i was amazed see whole story which was shown us trailer was there first half itself i got excited think what film will tell second half first half was full love songs romance fight happy ending second half contains issues government sectors offices sports above all uttar pradesh i wish ravi kishans character had been written more he suits his perfectly debutant actress zoya delivers superb expressions jimmy shergil is as usual outstanding vineet kumar singh is terrific he is now become star everyone knows that he can act superbly but after this film everyone would know that he can hold entire film too songs are superb mushkil hai mel pantra bahut dukha hai every song has its own charisma overall very good start this year with this film kashyap take bow,0.5177380952380951,0.3089880952380953,Positive,"{'Happy': 0.27, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.18, 'Fear': 0.23}"
9,A rare genre of sports drama,"#mukkabaaz 2hrs 35 minsimdb -8.4/10.PLOT A lower caste boxer struggles to keep up his career against different odds. Review So.... Anurag Kashyap after a decent film on a serial killer washed his hands for a film(told to be inspired by true events) related with street boxing in the alleys of UP. The film delivers as we all expect from Kashyap's film....brilliant performance,excellent direction and able screenplay.Remember,vineet kumar singh from ugly..he is the main character playing the street boxer shravan singh here.In his role he is more than perfect in his role...well adjectives will be short to describe his performance...he gets under the skin role so well that no one will be able to pick out a signle fault.His body transformation for this film is really inspiring.Jimmy Shergill was excellent in his role as Bhagwan Das mishra..the local goon leader and the villian..his body language and local accent was perfect.Zoya Hussein playing the role of a mute niece to shergill shines in her debut performance.Ravi kishan was also good....but the storyline was bit extended and fails to match the heights of gangs of wasseypur,Gullal...his previous masterpieces but this cinema is just short of achieving a classic tag because it slightly lacks kashyap's signature direction style which is unique.The gripping pace of the film will hold you to the seat but last 15-20mins seems to be forcefully extended. The songs of the film ""paintra"",""Bohot hua samman"" nicely fits into the film....this is rare type of sports drama made in bollywood with so much reality involved and must deserve a standing ovation for all the efforts the entire unit has made to create this film...9.2/10......",rare genre sports drama,2hrs 35 minsimdb 8 4 10 plot lower caste boxer struggles keep up his career against different odds review so anurag kashyap after decent film serial killer washed his hands film told be inspired by true events related with street boxing alleys up film delivers as we all expect kashyaps film brilliant performance excellent direction able screenplay remember vineet kumar singh ugly he is main character playing street boxer shravan singh here his role he is more than perfect his role well adjectives will be short describe his performance he gets under skin role so well that no one will be able pick out signle fault his body transformation this film is really inspiring jimmy shergill was excellent his role as bhagwan das mishra local goon leader villian his body language local accent was perfect zoya hussein playing role mute niece shergill shines her debut performance ravi kishan was also good but storyline was bit extended fails match heights gangs wasseypur gullal his previous masterpieces but this cinema is just short achieving classic tag because it slightly lacks kashyaps signature direction style which is unique gripping pace film will hold you seat but last 15 20mins seems be forcefully extended songs film paintra bohot hua samman nicely fits into film this is rare type sports drama made bollywood with so much reality involved must deserve standing ovation all efforts entire unit has made create this film 9 2 10,0.5966145833333333,0.2872395833333333,Positive,"{'Happy': 0.22, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.25, 'Fear': 0.28}"
10,Method Acting and the presentation.,"Vineet Kumar Singh. This name is going to stay forever with you after you done watching Mukkabaaz. With small screen time roles in Anurag Kashyap's Wasseypur Series,Ugly and short film Murabba(part of Bombay Talkies) and Mahesh Manjrekar's Lalbaug Parel, he is not new to the cinema world.But for the first time he gets to play the lead and he does it with an impeccable performance and what we call Method Acting. With almost 3 years of training , we can see it easily in the movie that he has not only performed but lived it. Very well supported by Jimmy Shergill and Ravi Kishen.Zoya as Vineet's love life does full justice to the role in her debut.Coming to the direction part , we don't have the chance to find any flaws as the pace even little slow is kept very interesting and moving with a mixture of both commercial and art feel.Editing needs a special mention here.All in all its a well made movie.",method acting presentation,vineet kumar singh this name is going stay forever with you after you done watching mukkabaaz with small screen time roles anurag kashyaps wasseypur series ugly short film murabba part bombay talkies mahesh manjrekars lalbaug parel he is not new cinema world but first time he gets play lead he does it with impeccable performance what we call method acting with almost 3 years training we can see it easily movie that he has not only performed but lived it very well supported by jimmy shergill ravi kishen zoya as vineets love life does full justice role her debut coming direction part we dont have chance find any flaws as pace even little slow is kept very interesting moving with mixture both commercial art feel editing needs special mention here all all its well made movie,0.4801467051467051,0.11026635401635404,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.29, 'Sad': 0.12, 'Fear': 0.35}"
8,Solid punch from Anurag for the audience,"Mukkabaaz is full entertainment package of performance, direction, music, dialogue and message for society. Hats off to Anurag Kashyap (director) (undefined) for sport drama with social issue. Script include Caste discrimination, Beef issue, Bharat Mata ki jai Issue, Struggle in the area of sport, Passion and Love. Dialogues were witty and full of punches e.g. Inki Bidi ka tambakoo khatm ho gaya hain(His cigaretts without Tabocco) and Hum UP ke Mike Tyson hain (I am Mike Tyson of UP). Vineet Kumar Singh mesmerized audience with spell-bounding performance. Debut-ant Zoya Hussain (https://en.wikipedia.org/w/index.php?title=Zoya_Hussain&action=edit&redlink=1) brilliantly act through expressions. Jimmy Sheirgill another big pillar of this cinema who showcase evilness. Ravi Kishan and Shree Dhar Dubey (https://en.wikipedia.org/w/index.php?title=Shree_Dhar_Dubey&action=edit&redlink=1) have delivered strong supporting performance. Nawazuddin Siddiqui (Bollywood Film Actor) (undefined) 's guest appearance was catchy. Music was raw and really impressive as Rachita Arora's first music direction in the Bollywood. ""Mushkil Hai Apna Meil Priye"", ""Paintra"" and ""Bahut Hua Samman"" were unique and great one songs.",solid punch anurag audience,mukkabaaz is full entertainment package performance direction music dialogue message society hats off anurag kashyap director undefined sport drama with social issue script include caste discrimination beef issue bharat mata ki jai issue struggle area sport passion love dialogues were witty full punches e g inki bidi ka tambakoo khatm ho gaya hain his cigaretts without tabocco hum up ke mike tyson hain i am mike tyson up vineet kumar singh mesmerized audience with spell bounding performance debut ant zoya hussain brilliantly act through expressions jimmy sheirgill another big pillar this cinema who showcase evilness ravi kishan shree dhar dubey have delivered strong supporting performance nawazuddin siddiqui bollywood film actor undefined s guest appearance was catchy music was raw really impressive as rachita aroras first music direction bollywood mushkil hai apna meil priye paintra bahut hua samman were unique great one songs,0.5663247863247863,0.3673931623931624,Positive,"{'Happy': 0.31, 'Angry': 0.08, 'Surprise': 0.31, 'Sad': 0.15, 'Fear': 0.15}"
9,Mukkabaaz is a film packed with lot of PUNCH !!!,"Phantoms are back in action in association with Anand Rai for the first time, witnessed this mind blowing 150 min sports/ political drama a month back in a film festival, if it would have been any other director this one might have been a normal sports film but Kashyap as usual throws light on the reality with huge research on the background of Indian sports and the politics behind it, also involves the social issues the country is facing. Vineet Singh truly has put sweat and blood along with his acting talent to deliver this stellar performance, Jimmy Shergill and Ravi Kisan both joining hands with Kashyap for the first time have done a brilliant job. This one's truly a powerful comeback by Kashyap with literally a PUNCH. Kudos to Kashyap !!! Super excited for 12th January !!!",mukkabaaz is film packed with lot punch,phantoms are back action association with anand rai first time witnessed this mind blowing 150 min sports political drama month back film festival if it would have been any other director this one might have been normal sports film but kashyap as usual throws light reality with huge research background indian sports politics behind it also involves social issues country is facing vineet singh truly has put sweat blood along with his acting talent deliver this stellar performance jimmy shergill ravi kisan both joining hands with kashyap first time have done brilliant job this ones truly powerful comeback by kashyap with literally punch kudos kashyap super excited 12th january,0.4302631578947368,0.156140350877193,Positive,"{'Happy': 0.05, 'Angry': 0.1, 'Surprise': 0.24, 'Sad': 0.19, 'Fear': 0.43}"
10,This is the kind of movies Bollywood should make,"This is the kind of movies that Bollywood needs to make and not the bull shit like 'Tiger Zinda hain' (which I didn't watch after seeing the trailer). Great movie. Good story, acting and direction.",this is kind movies bollywood should make,this is kind movies that bollywood needs make not bull shit like tiger zinda hain which i didnt watch after seeing trailer great movie good story acting direction,0.6583333333333333,0.4166666666666667,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.0}"
8,"It's not Gangs of Wasseypur, but Bombay Velvet neither.","The movie starts with a quote 'Inspired by true events'. This is where people who come for content find their head held high. It is also because of the person who has directed the movie - Anurag Kashyap. A person who keeps art to its minimum and reality to its maximum, which itself is an art.For me when I watched the movie, the other two movies that went through my mind were 'Saala Khadoos' and 'Brothers'. There's a saying movies run because of three factors, 3x entertainment.This is where the movie falls as unees bis.The ending could have been anything just like reality, so no comments on that one.Acting: Vineet Singh acted really well, so did other actors.I am comparing it with Gangs of Wasseypur, mostly because I don't think it would get that crowd. The other comparison is of cinema.Final Verdict: Worth adding to your dvd collection.",its not gangs wasseypur but bombay velvet neither,movie starts with quote inspired by true events this is where people who come content find their head held high it is also because person who has directed movie anurag kashyap person who keeps art its minimum reality its maximum which itself is art me when i watched movie other two movies that went through my mind were saala khadoos brothers theres saying movies run because three factors 3x entertainment this is where movie falls as unees bis ending could have been anything just like reality so no comments that one acting vineet singh acted really well so did other actors i am comparing it with gangs wasseypur mostly because i dont think it would get that crowd other comparison is cinema final verdict worth adding your dvd collection,0.4114999999999999,0.1135,Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.37, 'Sad': 0.11, 'Fear': 0.47}"
10,Best Film,This film comes under cult movie category. Very nice dialog delivery. Every one done his best in his role especially Jimmy Paji. Top class acting by everyone. Super Hit,best film,this film comes under cult movie category very nice dialog delivery every one done his best his role especially jimmy paji top class acting by everyone super hit,0.5380952380952381,0.5161904761904762,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.62, 'Sad': 0.12, 'Fear': 0.0}"
