Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
1.0,After watching an animated show about sibilings this is still worst.,I have watched two movies/series this week. One is this movie and another or a series. The amount of effor went into this movie is horrible. The acting is horrible and feels like I am watching a Brazil soap opera the After watching an animated show about sibilings this is still worst. Go watch Arcane from Netflix! It's great compared to this dump!,after watching animated show about sibilings this is still worst,i have watched two movies series this week one is this movie another or series amount effor went into this movie is horrible acting is horrible feels like i am watching brazil soap opera after watching animated show about sibilings this is still worst go watch arcane netflix its great compared this dump,0.7916666666666666,-0.5333333333333333,Negative,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.42, 'Sad': 0.25, 'Fear': 0.25}"
1.0,Joke,"Unclassifiable...too bad. Actors are unratable, plot is a shame. Hopefully no more state money will be spent on movies like this in Hungary. I mean, there should be a standard of quality in the Hungarian film industry.This movie is not belowe average but in the minus section.",joke,unclassifiable too bad actors are unratable plot is shame hopefully no more state money will be spent movies like this hungary i mean there should be standard quality hungarian film industry this movie is not belowe average but minus section,0.35059523809523807,-0.23035714285714284,Negative,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.25}"
3.0,"I was expecting something worse, but this is still really bad","I was really excited about this movie since the announcment, because the time and the events it presents are a really memorable part of my childhood. Honestly, I was expecting something worse, but this is still a boring, dumb, amateur and often illogical movie. The cinematography is weird, at the beginning it looks cool but slowly it become something really strange. The editing is also really lame, stuff just happen. There is part in the middle of movie where I thought that it will end, my friends had the same feeling aaand nope. When it actually ends it doesnt feel right, the story could go further but its suddenly over. The acting is weird too, it feels like they not even want to do this. This movie has the worst rain vfx ever. The whole thing is feel like watching a 2 hours long mix of csi miami, komissar rex and a b category american action movie from the 2000's.There was a few good moments i enjoyed, Zsolt Zayzon is a great actor but they just can't save this film.",i was expecting something worse but this is still really bad,i was really excited about this movie since announcment because time events it presents are really memorable part my childhood honestly i was expecting something worse but this is still boring dumb amateur often illogical movie cinematography is weird at beginning it looks cool but slowly it become something really strange editing is also really lame stuff just happen there is part middle movie where i thought that it will end my friends had same feeling aaand nope when it actually ends it doesnt feel right story could go further but its suddenly over acting is weird too it feels like they not even want do this this movie has worst rain vfx ever whole thing is feel like watching 2 hours long mix csi miami komissar rex b category american action movie 2000s there was few good moments i enjoyed zsolt zayzon is great actor but they just cant save this film,0.5170122887864823,-0.0585253456221198,Negative,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.33, 'Sad': 0.2, 'Fear': 0.2}"
1.0,not recomend,"Spending so much money on such a bad movie is a shame. Utterly boring, horrible acting and a very chaotic and unrealistic script makes this movie a waste of time.",not recomend,spending so much money such bad movie is shame utterly boring horrible acting very chaotic unrealistic script makes this movie waste time,0.5185185185185185,-0.3333333333333333,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.75, 'Fear': 0.25}"
1.0,A PPOLITICAL ROPAGANDA MOVIE!!!,"So sad, that millions of Euros were used from hungarian public funds to create such a motion picture filled with lies and inaccuracy about a hungarian historical event during 2006.It is also a shame that both the director and the director of photography are not hungarians which is to show that this is a political propaganda movie that is fiction. Hungarian filmmakers are very known in the movie industry with couple of Oscars to confirm it but this movie is so overrated trying to convince the hungarian audience that it is a non-fiction.I was there in Budapest during the 2006 political demonstrations and after watching the movie for free of course I had that terrible feeling about how the current hungarian political party in power is using all means necessary to brainwash hungarian people by creating propaganda movies.In Hungary at the moment the government is an autocratic regime trying to silence all opposition parties and using every tool to stay in power. This movie also shows that it has nothing to do with artistic filmmaking but to favor the hungarian ruling government by creating a propaganda cinema!!!",ppolitical ropaganda movie,so sad that millions euros were used hungarian public funds create such motion picture filled with lies inaccuracy about hungarian historical event during 2006 it is also shame that both director director photography are not hungarians which is show that this is political propaganda movie that is fiction hungarian filmmakers are very known movie industry with couple oscars confirm it but this movie is so overrated trying convince hungarian audience that it is non fiction i was there budapest during 2006 political demonstrations after watching movie free course i had that terrible feeling about how current hungarian political party power is using all means necessary brainwash hungarian people by creating propaganda movies hungary at moment government is autocratic regime trying silence all opposition parties using every tool stay power this movie also shows that it has nothing do with artistic filmmaking but favor hungarian ruling government by creating propaganda cinema,0.44509803921568625,-0.027450980392156862,Negative,"{'Happy': 0.12, 'Angry': 0.18, 'Surprise': 0.24, 'Sad': 0.06, 'Fear': 0.41}"
,"Bad acting, horrible scripting","Spending so much money on such a bad movie is a shame. Utterly boring, horrible acting and a very chaotic and unrealistic script makes this movie a waste of time.",bad acting horrible scripting,spending so much money such bad movie is shame utterly boring horrible acting very chaotic unrealistic script makes this movie waste time,0.5277777777777778,-0.3916666666666666,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}"
1.0,An objectively bad movie - but there's more!,"A movie can be carried by three things: a good plot, amazing visuals or interesting characters. This one had none of it, except for historically mostly accurate sets, which really stood out in this absolute waste of data.The plot itself is mostly based on a conspiracy theory, and the characters are either the most goody-two shoes boyscout characters, while the antagonists are only fueled by the power of pure evil. I'm not even kidding, Voldemort and the Emperor aren't even close. And what for? Well, prepare to die with that question, because even Darren Cross in Ant-Man seems to have fairly valid motivations in comparison.The cinematography is just... meh? It's got no personality whatsoever, and it just feels like it's shot with a generic template for an action movie (which is really dumb, because this is the most boring pile of crap I've ever seen).The pacing is also so off... Even living through the whole thing in real time seemed to have better flow than sitting through this movie.All in all, this kind of good vs. Evil story wouldn't hold up in 2021 even if the villains had reasonable motivations, because there are zero shades thrown around, it's pure black and white. Any spoiler warning is completely useless, because there is literally nothing to spoil in this plot.And don't get me started on the ""marketing"" of this movie.0/10, worse than Daredevil 2004, but at least that was sometimes funny.",objectively bad movie but theres more,movie can be carried by three things good plot amazing visuals or interesting characters this one had none it except historically mostly accurate sets which really stood out this absolute waste data plot itself is mostly based conspiracy theory characters are either most goody two shoes boyscout characters while antagonists are only fueled by power pure evil im not even kidding voldemort emperor arent even close what well prepare die with that question because even darren cross ant man seems have fairly valid motivations comparison cinematography is just meh its got no personality whatsoever it just feels like its shot with generic template action movie which is really dumb because this is most boring pile crap ive ever seen pacing is also so off even living through whole thing real time seemed have better flow than sitting through this movie all all this kind good vs evil story wouldnt hold up 2021 even if villains had reasonable motivations because there are zero shades thrown around its pure black white any spoiler warning is completely useless because there is literally nothing spoil this plot dont get me started marketing this movie 0 10 worse than daredevil 2004 but at least that was sometimes funny,0.5453703703703705,0.05658068783068786,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.25, 'Sad': 0.16, 'Fear': 0.41}"
1.0,Disaster of Hungarian film industry,"Finally I could watch free (I didn't want to watch it in the cinema because I paid the price of the filming with my tax) this ""political drama"" after it was on show on the Hungarian TV channel TV2.If I had to describe it in one word: terrible. Don't watch it, it is a 2 hours long suffering. The sounds are unclassifiable, you can't hear the dialogues in the most scenes. The story is untraceable. The acting performance is below average, it seems they did it only for a lot of money.The purpose of the film isn't the entertainment. It has just one purpose: character murder of Klára Dobrev before the Hungarian election in April, 2022. Tiny beauty flaw that the prime minister nominee isn't Dobrev.So my rating is 1* becaust this isn't a real movie, this is just another one propaganda product of the Hungarian government from the tax-payers money. From that money which could be much more useful in the health care or in the education, where people earn less money than an operator in a factory. This is a shame...",disaster hungarian film industry,finally i could watch free i didnt want watch it cinema because i paid price filming with my tax this political drama after it was show hungarian tv channel tv2 if i had describe it one word terrible dont watch it it is 2 hours long suffering sounds are unclassifiable you cant hear dialogues most scenes story is untraceable acting performance is below average it seems they did it only lot money purpose film isnt entertainment it has just one purpose character murder kl ra dobrev before hungarian election april 2022 tiny beauty flaw that prime minister nominee isnt dobrev so my rating is 1 becaust this isnt real movie this is just another one propaganda product hungarian government tax payers money that money which could be much more useful health care or education where people earn less money than operator factory this is shame,0.46041666666666664,0.008333333333333333,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.25, 'Fear': 0.38}"
2.0,I liked the dog,"What was this movie? It wouldn't be a good movie even if it wasn't a propaganda movie, as it's plot can not be followed. And it has Karácsony in it!???? This movie wants to be something, but it cannot be. The acting wasn't so bad.",i liked dog,what was this movie it wouldnt be good movie even if it wasnt propaganda movie as its plot can not be followed it has kar csony it this movie wants be something but it cannot be acting wasnt so bad,0.3777777777777778,0.11666666666666664,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1.0,"Worst movie ever, prepared on political request","Disgusting film, propaganda from the worst dictatorship in the EU.Content 0, actors 0, director is less than 0, the story is also 0.Waste of time.",worst movie ever prepared political request,disgusting film propaganda worst dictatorship eu content 0 actors 0 director is less than 0 story is also 0 waste time,0.46666666666666673,-0.49523809523809526,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.5, 'Fear': 0.17}"
