Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Breathtaking in its scope and tragic grandeur...,"Coppola's masterpiece is rivaled only by ""The Godfather, Part II"" in which the 1940s setting of the first movie is extended backwards and forwards to reveal the corrupting effect of power...The film, breathtaking in its scope and tragic grandeur, shows two parallel stories extending two different time periods: the early career of young Vito Corleone seen first around the turn of the 20th century in Sicily, and then in 1917, building his criminal underworld in the Italian ghettos of New York City, post World War I, plus that of his son, Michael (Al Pacino) desperately trying to keep his family together...Al Pacino's performance is quiet and solemn... He is cold and ruthless, with a whole contrast from the idealistic innocent war hero we initially met at the beginning of the first film... Here he's a calculating and frightening force, seeking to expand casinos into Pre-Revolutionary Cuba and consolidating an empire surrounded by perfidy and treason, maintaining total confidence in his ability to control the situation whether testifying before enraging Senators or trying to outface his worst enemies...The film's haunting final shot of a lonely, isolated paranoid Michael in his empty compound, is an unforgettable movie scene, a tragic portrait of a lonely and fully damned person, emotionally empty and finished, far from a waspish wife, more distant from a faithful lawyer...De Niro's rise, from an orphan child by a family feud back in Italy to a hood in New York and his position as a respected Don, provides a welcome break from Pacino's relentless attitude... Since the people he kills seem to deserve it, Vito comes off better than Michael does, and it was wise of Coppola to shuffle the two stories together despite lengthy flashbacks and the disturbance of continuity...The entire cast contributes greatly to the success of the film: Lee Strasberg, a fascinating mixture of lust and ruthlessness; G. D. Spradlin, absolutely right as the sinister and corrupt Nevada Senator; Michael V. Gazzo, unforgettable as the troubled gray-haired informer; Gastone Moschin, excellent as the blackmailer in white suit; John Cazale, marvelously timid as the vague, confused, and hesitant Fredo; Diane Keaton, clearly irrational as the long-suffering wife Kay; Talia Shire, too extravagant as the lousy mother; Troy Donahue too ambitious as the fortune-hunting suitor; and Robert Duvall excels as the confidant, and retainer to the all-powerful Corleone family...Coppola's motion picture is not just a mere supply with new characters and events from the original, it's a far more complex and intimate movie than its predecessor... It is not really a sequel... It's just more... It cleverly shifts in time between two distinct narratives with extreme realistic violence and criminal mentality of gangsters...",breathtaking its scope tragic grandeur,coppolas masterpiece is rivaled only by godfather part ii which 1940s setting first movie is extended backwards forwards reveal corrupting effect power film breathtaking its scope tragic grandeur shows two parallel stories extending two different time periods early career young vito corleone seen first around turn 20th century sicily then 1917 building his criminal underworld italian ghettos new york city post world war i plus that his son michael al pacino desperately trying keep his family together al pacinos performance is quiet solemn he is cold ruthless with whole contrast idealistic innocent war hero we initially met at beginning first film here hes calculating frightening force seeking expand casinos into pre revolutionary cuba consolidating empire surrounded by perfidy treason maintaining total confidence his ability control situation whether testifying before enraging senators or trying outface his worst enemies films haunting final shot lonely isolated paranoid michael his empty compound is unforgettable movie scene tragic portrait lonely fully damned person emotionally empty finished far waspish wife more distant faithful lawyer de niros rise orphan child by family feud back italy hood new york his position as respected don provides welcome break pacinos relentless attitude since people he kills seem deserve it vito comes off better than michael does it was wise coppola shuffle two stories together despite lengthy flashbacks disturbance continuity entire cast contributes greatly success film lee strasberg fascinating mixture lust ruthlessness g d spradlin absolutely right as sinister corrupt nevada senator michael v gazzo unforgettable as troubled gray haired informer gastone moschin excellent as blackmailer white suit john cazale marvelously timid as vague confused hesitant fredo diane keaton clearly irrational as long suffering wife kay talia shire too extravagant as lousy mother troy donahue too ambitious as fortune hunting suitor robert duvall excels as confidant retainer all powerful corleone family coppolas motion picture is not just mere supply with new characters events original its far more complex intimate movie than its predecessor it is not really sequel its just more it cleverly shifts time between two distinct narratives with extreme realistic violence criminal mentality gangsters,0.6151737531874517,0.04490600723477435,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.39}"
10.0,Best gangster dramas of all time arguably,"""The Godfather: Part II"" is a very suspenseful drama with a very exciting story, with great acting and great special effects. I would definitely recommend you watch this movie...but first watch the original classic from 1972 ""The Godfather"" . The movie may not be as good as the first movie but is still an amazing sequel.",best gangster dramas all time arguably,godfather part ii is very suspenseful drama with very exciting story with great acting great special effects i would definitely recommend you watch this movie but first watch original classic 1972 godfather movie may not be as good as first movie but is still amazing sequel,0.5681972789115647,0.40634353741496604,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.06, 'Fear': 0.19}"
10.0,A masterpiece that can never be beaten...,"One of the all time greats. Or probably the alone greatest thing ever made in the history of cinematography. This movie is both ""prequel"" and ""sequel"" of the first godfather movie. I have never watched anything like this in my entire life. This movie has explained the life of underworld people in a great way. It also shows how vengeance eradicates happiness from your life. People don't even care about their family in greed of power. It's a masterpiece that can never be written off even after centuries. Even if you are not into these kind of movies, I will suggest to watch it for atleast once in your life or you'll be deprived of one of the greatest things to watch that have been ever made.",masterpiece that can never be beaten,one all time greats or probably alone greatest thing ever made history cinematography this movie is both prequel sequel first godfather movie i have never watched anything like this my entire life this movie has explained life underworld people great way it also shows how vengeance eradicates happiness your life people dont even care about their family greed power its masterpiece that can never be written off even after centuries even if you are not into these kind movies i will suggest watch it atleast once your life or youll be deprived one greatest things watch that have been ever made,0.6869047619047619,0.6214285714285713,Positive,"{'Happy': 0.15, 'Angry': 0.04, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.26}"
10.0,The Greatest Film Ever Made,"The original Godfather is a brilliant work. It is in a sense a voyeuristic delight, allowing us to see the mafia from the inside - we become part of the family. It single-handedly change the world's view of organized crime, and created a cast of sympathetic characters, none of whom have a shred of common morality. It was the highest grossing movie of its time and Brando created a cultural icon whose influence resonates as strong today as it did in 1972.As extraordinary an achievement as this is, Part II is even better. It easily receives my nod as the best picture ever made. I have seen it at least 20 times, and each time its 200 minutes fly by.The movie uses flashbacks to brilliantly weave two tales. The main story is the reign of Michael Corleone as the world's most powerful criminal. Now reaping the benefits of legalized gambling in Las Vegas, Michael is an evident billionaire with an iron fist on a world of treachery. Behind this, Director Francis Ford Coppola spins the tale of the rise of Michael's father, Vito, to the center of the New York mafia. It is these scenes that make the film a work of art. Without spoiling, I will simply say the Robert DeNiro as the young Vito is the best acting performance of all time, a role for which he won a richly deserved Oscar.The screenplay is full of delicious little underworld nuggets (""Keep your friends close ....."", ""I don't want to kill everyone, just my enemies""), while it blows a dense, twisted plot past you at a dizzying and merciless pace. The cinematography is depressing and atmospheric. The score continues in the eerie role of its predecessor, foretelling death and evil.All of this makes the movie great and infinitely watchable. But it's what's deeper inside this film ... what it is really about ... that is its true genius.The Godfather Part II is not really a movie about the mafia, it is a movie about a man's life long struggle. Michael controls a vast empire that is constantly slipping out of his hands. He grows increasingly distrustful and paranoid, and even shows signs that he hates his own life. Michael almost seems to resent the fact that he is a natural born crime lord, a man who puts the family business ahead of everything.The great Don Michael Corleone can never come to terms with one simple fact.... his father's empire was built on love and respect, Michael's empire is built on fear and violent treachery.See this movie. It's three-and-a-half hours very well spent.",greatest film ever made,original godfather is brilliant work it is sense voyeuristic delight allowing us see mafia inside we become part family it single handedly change worlds view organized crime created cast sympathetic characters none whom have shred common morality it was highest grossing movie its time brando created cultural icon whose influence resonates as strong today as it did 1972 as extraordinary achievement as this is part ii is even better it easily receives my nod as best picture ever made i have seen it at least 20 times each time its 200 minutes fly by movie uses flashbacks brilliantly weave two tales main story is reign michael corleone as worlds most powerful criminal now reaping benefits legalized gambling las vegas michael is evident billionaire with iron fist world treachery behind this director francis ford coppola spins tale rise michaels father vito center new york mafia it is these scenes that make film work art without spoiling i will simply say robert deniro as young vito is best acting performance all time role which he won richly deserved oscar screenplay is full delicious little underworld nuggets keep your friends close i dont want kill everyone just my enemies while it blows dense twisted plot past you at dizzying merciless pace cinematography is depressing atmospheric score continues eerie role its predecessor foretelling death evil all this makes movie great infinitely watchable but its whats deeper inside this film what it is really about that is its true genius godfather part ii is not really movie about mafia it is movie about mans life long struggle michael controls vast empire that is constantly slipping out his hands he grows increasingly distrustful paranoid even shows signs that he hates his own life michael almost seems resent fact that he is natural born crime lord man who puts family business ahead everything great don michael corleone can never come terms with one simple fact his fathers empire was built love respect michaels empire is built fear violent treachery see this movie its three half hours very well spent,0.5759219175885844,0.1551376863876864,Positive,"{'Happy': 0.15, 'Angry': 0.03, 'Surprise': 0.24, 'Sad': 0.26, 'Fear': 0.32}"
,The Greatest Sequel During the Cinema's History,"""The Godfather, Part II"" is excellent just like its predecessor. While the first is arguably the greatest film ever made, the second installment is easily the best sequel produced hands down. The film is split between the stories of Michael Corleone (Al Pacino, Oscar-nominated) and a young Vito Corleone (Robert De Niro, in his star-making, first Oscar-winning performance). In the 1950s, Michael is trying to expand his crime empire to locales such as Las Vegas, Hollywood, and even turbulent Cuba. However, there are numerous problems as older brother Fredo (John Cazale) may have double-crossed the family. Also two prominent crime bosses pose a considerable threat as well (Lee Strasberg and Michael V. Gazzo, both Oscar-nominated). Younger sister Connie (Oscar nominee Talia Shire) is still reeling from her husband's murder and her father's death at the conclusion of the original film. Michael is also distancing himself from his wife (Diane Keaton) and some of his most trusted friends (Robert Duvall). While all this is occurring we get glimpses into the early life of Michael's father (De Niro). We learn that his parents and older brother have been killed in early-1900s Sicily and that he has immigrated to New York. Vito pays his dues and learns the tricks of the trade, buying his time, before deciding to create his own small empire which would of course grow and become what we saw in the original. It would seem that the film would be confusing by jumping back and forth between Michael and his father, but that is not so. Coppola gives you just enough information to keep the audience intrigued through each segment. The film is very well-made and runs very smoothly even though it lasts over 200 minutes. Many think that this installment is the best of the series. Even though I still think that the original is the best, I cannot totally disagree with this assertion as this is the definitive sequel. 5 stars out of 5.",greatest sequel during cinemas history,godfather part ii is excellent just like its predecessor while first is arguably greatest film ever made second installment is easily best sequel produced hands down film is split between stories michael corleone al pacino oscar nominated young vito corleone robert de niro his star making first oscar winning performance 1950s michael is trying expand his crime empire locales such as las vegas hollywood even turbulent cuba however there are numerous problems as older brother fredo john cazale may have double crossed family also two prominent crime bosses pose considerable threat as well lee strasberg michael v gazzo both oscar nominated younger sister connie oscar nominee talia shire is still reeling her husbands murder her fathers death at conclusion original film michael is also distancing himself his wife diane keaton some his most trusted friends robert duvall while all this is occurring we get glimpses into early life michaels father de niro we learn that his parents older brother have been killed early 1900s sicily that he has immigrated new york vito pays his dues learns tricks trade buying his time before deciding create his own small empire which would course grow become what we saw original it would seem that film would be confusing by jumping back forth between michael his father but that is not so coppola gives you just enough information keep audience intrigued through each segment film is very well made runs very smoothly even though it lasts over 200 minutes many think that this installment is best series even though i still think that original is best i cannot totally disagree with this assertion as this is definitive sequel 5 stars out 5,0.4709937209937211,0.2948416598416598,Positive,"{'Happy': 0.04, 'Angry': 0.02, 'Surprise': 0.38, 'Sad': 0.18, 'Fear': 0.38}"
10.0,"Terrific continuation of the ""Godfather"" series; to call it a ""sequel"" almost seems insulting...","This sequel is just as terrific as the first film, if not more so. I hesitate to call it a sequel, as ""sequel"" is quite simply the wrong word I am looking for. A film like ""The Matrix Reloaded"" is a sequel - ""The Godfather Part II"" is something more. It's just too good to be called a sequel.The film won six Oscars in 1974, including Best Picture and Best Supporting Actor (Robert De Niro). It deserved every one. It involves the viewer from the start and never lets up. Particular aspects I enjoy in this film are the flashbacks to Don Vito Corleone as a child immigrating to New York City after social problems in his homeland, Sicily. I like the intertwining of Michael Corleone (Al Pacino), his son, in present day, dealing with his crime inheritance, and Vito (Robert De Niro), his father, years ago. I like how, as Michael comes to terms with his family legacy, the film shows us Vito coming to terms with his future. The day he shoots that man in a gritty apartment complex is a turning point in his life. Every actor is in top form here. Al Pacino has gradually made the move from a man who denies his future to a man who is accepting it. His character is the spotlight of this film, much more so than in the first film (though both center around his decisions).Robert De Niro is particularly wonderful and convincing as a young Vito Corleone, who was of course played by the constantly-spoofed Marlon Brando in the original. De Niro takes an iron grip on his character and completely engulfs himself; this was, in 1974, the sign of an actor who would go places. Indeed, he did.Coppola's magical sense of direction is at work here, as is the script by Coppola and Mario Puzo (whose novels the series is based upon). The original was a wonderful film, but the sequel presents more of a challenge. Flashbacks are often intercut in the middle of other films are awkward times, but in ""The Godfather Part II,"" Coppola uses them at precisely the right moments, managing to careen in and out of scenes and time periods with free abandon.It takes a great kind of skill to master something like this, much less a sequel to one of the most beloved films of all time. ""The Godfather"" was an instant classic upon its release in 1972. Coppola had two years to plan for his continuation of the film. People told him it wouldn't work, he would never beat the original, and he would never pull it off. But he showed them all. ""The Godfather Part II"" may well be the best sequel I have ever seen in my entire lifetime. I wish they were all this good. To call it a ""sequel"" almost seems insulting.",terrific continuation godfather series call it sequel almost seems insulting,this sequel is just as terrific as first film if not more so i hesitate call it sequel as sequel is quite simply wrong word i am looking film like matrix reloaded is sequel godfather part ii is something more its just too good be called sequel film won six oscars 1974 including best picture best supporting actor robert de niro it deserved every one it involves viewer start never lets up particular aspects i enjoy this film are flashbacks don vito corleone as child immigrating new york city after social problems his homeland sicily i like intertwining michael corleone al pacino his son present day dealing with his crime inheritance vito robert de niro his father years ago i like how as michael comes terms with his family legacy film shows us vito coming terms with his future day he shoots that man gritty apartment complex is turning point his life every actor is top form here al pacino has gradually made move man who denies his future man who is accepting it his character is spotlight this film much more so than first film though both center around his decisions robert de niro is particularly wonderful convincing as young vito corleone who was course played by constantly spoofed marlon brando original de niro takes iron grip his character completely engulfs himself this was 1974 sign actor who would go places indeed he did coppolas magical sense direction is at work here as is script by coppola mario puzo whose novels series is based upon original was wonderful film but sequel presents more challenge flashbacks are often intercut middle other films are awkward times but godfather part ii coppola uses them at precisely right moments managing careen out scenes time periods with free abandon it takes great kind skill master something like this much less sequel one most beloved films all time godfather was instant classic upon its release 1972 coppola had two years plan his continuation film people told him it wouldnt work he would never beat original he would never pull it off but he showed them all godfather part ii may well be best sequel i have ever seen my entire lifetime i wish they were all this good call it sequel almost seems insulting,0.5498090145148969,0.22788388082505726,Positive,"{'Happy': 0.12, 'Angry': 0.02, 'Surprise': 0.3, 'Sad': 0.14, 'Fear': 0.42}"
10.0,One of the greatest films ever made.,"To say that this film is a sequel is a sin. Al Pacino and Robert de Niro win the Oscar for this film, Robert de Niro's performance as Vito Corleone is perfect, every scene in which this one is perfect. Al Pacino as always perfect and unlike the first film, he is much better.PROS:EVERYTHING. The script, the direction, the cast, the performance, everything in this film is perfect and its 3 hours are worth it.CONS:NOTHING. This movie is perfect.",one greatest films ever made,say that this film is sequel is sin al pacino robert de niro win oscar this film robert de niros performance as vito corleone is perfect every scene which this one is perfect al pacino as always perfect unlike first film he is much better pros everything script direction cast performance everything this film is perfect its 3 hours are worth it cons nothing this movie is perfect,0.7333333333333333,0.7849999999999999,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.64, 'Fear': 0.07}"
10.0,"""Michael, I Never Wanted This For You.""","Nino Rota's musical score plays an even greater role in this equal but different successor than it did in the predecessor. Yearning, lamenting, stimulating bygone ages, see how infectiously Nino Rota's music affects our sentiments for the savage events on screen. It is the pulse of the films. One cannot imagine them without their Nino Rota music. Against all our realistic deduction, it guides us to how to feel about the films, and condition us to understand the characters within their own world. Throughout the Corleone family's many criminal actions, we understand that one doesn't have to be a monster in order to live with having done them.In what is both a dual expansion of its predecessor and a masterpiece of juxtaposition in itself, we see Michael Corleone forfeit his remaining shreds of morality and become an empty shell, insecure and merciless. As his father quietly knew in his latter days would be so, Michael has lost sight of those values that made Don Corleone better than he had to be and has become a new godfather every bit as evil as he has to be. The score, with its tonal harmony, its honeyed and emotional aesthetics, is sad, and music can often evoke emotion more surely and subtly than story. Consider several operas with ridiculous stories and lyrics yet contain arias that literally move us to tears.The devolution of Michael Corleone is adjacent with flashbacks to the youth and young manhood of his father, Vito, played with paternal, home-loving subtlety by Robert De Niro. These scenes, in Sicily and old New York at the turn of the century, follow the conventional pattern of a young man on the rise and show the Mafia code being burned into the Corleone blood. No false romanticism conceals the necessity of murder to do business. We don't look at Vito as a victim of his environment, but a product of the depiction of the resorts to which the Italian culture had turned, initially to both protect their homeland and protect their livelihood as immigrants who came to America to be paid less than the blacks.The film opens in 1901 Corleone, Sicily, at the funeral procession for young Vito's father, who had been killed by the local Mafia chieftain, Don Ciccio, over an insult. During the procession, Vito's older brother is also murdered because he swore to avenge his father. Vito's mother goes to Ciccio to beg for the life of young Vito. When he refuses, she sacrifices herself to allow Vito to escape. They scour the town for him, warning the sleeping townsfolk against harboring the boy. With the aid of a few of the townspeople, Vito finds his way by ship to Ellis Island, where an immigration agent, mishearing Vito's hometown of Corleone as his name, registers him as Vito Corleone. From this very opening, and the events that gradually follow, we see that Vito's damnable early experiences have enhanced his sense of family, and his experience of revenge as a necessity was passed on to Vito's sons.The life of young Vito helps to explain the forming of the adult Don Corleone. As his unplanned successor Michael, his youngest child, transforms, we hark back to why, when his true desire is to make the Corleone family completely legitimate, he feels that he must play the game by its old rules. His wife says, ""You once told me: 'In five years, the Corleone family will be completely legitimate.' That was seven years ago."" What we have are two all-too-real narratives, two superb lead performances and lasting images. There is even a parallel between two elderly dons: Revenge must be had.I admire the way Coppola and Puzo require us to think along with Michael as he feels out fragile deliberations involving Miami boss Hyman Roth, his older brother Fredo, and the death of Sonny in the previous film. Who is against him? Why? Michael drifts several explanations past several key players, misleading them all, or nearly. It's like a game of blindfolded chess. He has to envision the moves without seeing them. Coppola shows Michael breaking under the burden. We recall that he was a war hero, a successful college student, forging an honest life. Ultimately Michael has no one by whom to swear but his aging mother. Michael's desolation in that scene of dialogue informs the film's closing shot.So this six-time Oscar-winning three-and-a-half-hour gangster epic is ultimately a dreary experience, a mourning for what could've been. It is a contrast with the earlier film, in which Don Corleone is seen defending old values against modern hungers. Young Vito was a murderer, too, as we more fully understand in the Sicily and New York scenes of Part II. But he was wise and diplomatic. Murder was personal. As Hyman Roth says, ""It had nothing to do with business."" The crucial difference between the father and son is that Vito is cognizant of and comprehending the needs, feelings, problems, and views of others, and Michael grows in the very opposite direction. Whereas the first movie was a taut ensemble piece, this second part is a more leisurely film that closely studies only these two characters, neither of whom share scenes with each other. Everyone else is periphery.It must be seen as a piece with the consummate mastership of The Godfather. When the characters in a film truly take on a simulated environmental existence for us, it becomes a film that everyone who cherishes movies to any extent should see at least once.",michael i never wanted this you,nino rotas musical score plays even greater role this equal but different successor than it did predecessor yearning lamenting stimulating bygone ages see how infectiously nino rotas music affects our sentiments savage events screen it is pulse films one cannot imagine them without their nino rota music against all our realistic deduction it guides us how feel about films condition us understand characters within their own world throughout corleone familys many criminal actions we understand that one doesnt have be monster order live with having done them what is both dual expansion its predecessor masterpiece juxtaposition itself we see michael corleone forfeit his remaining shreds morality become empty shell insecure merciless as his father quietly knew his latter days would be so michael has lost sight those values that made don corleone better than he had be has become new godfather every bit as evil as he has be score with its tonal harmony its honeyed emotional aesthetics is sad music can often evoke emotion more surely subtly than story consider several operas with ridiculous stories lyrics yet contain arias that literally move us tears devolution michael corleone is adjacent with flashbacks youth young manhood his father vito played with paternal home loving subtlety by robert de niro these scenes sicily old new york at turn century follow conventional pattern young man rise show mafia code being burned into corleone blood no false romanticism conceals necessity murder do business we dont look at vito as victim his environment but product depiction resorts which italian culture had turned initially both protect their homeland protect their livelihood as immigrants who came america be paid less than blacks film opens 1901 corleone sicily at funeral procession young vitos father who had been killed by local mafia chieftain don ciccio over insult during procession vitos older brother is also murdered because he swore avenge his father vitos mother goes ciccio beg life young vito when he refuses she sacrifices herself allow vito escape they scour town him warning sleeping townsfolk against harboring boy with aid few townspeople vito finds his way by ship ellis island where immigration agent mishearing vitos hometown corleone as his name registers him as vito corleone this very opening events that gradually follow we see that vitos damnable early experiences have enhanced his sense family his experience revenge as necessity was passed vitos sons life young vito helps explain forming adult don corleone as his unplanned successor michael his youngest child transforms we hark back why when his true desire is make corleone family completely legitimate he feels that he must play game by its old rules his wife says you once told me five years corleone family will be completely legitimate that was seven years ago what we have are two all too real narratives two superb lead performances lasting images there is even parallel between two elderly dons revenge must be had i admire way coppola puzo require us think along with michael as he feels out fragile deliberations involving miami boss hyman roth his older brother fredo death sonny previous film who is against him why michael drifts several explanations past several key players misleading them all or nearly its like game blindfolded chess he has envision moves without seeing them coppola shows michael breaking under burden we recall that he was war hero successful college student forging honest life ultimately michael has no one by whom swear but his aging mother michaels desolation that scene dialogue informs films closing shot so this six time oscar winning three half hour gangster epic is ultimately dreary experience mourning what couldve been it is contrast with earlier film which don corleone is seen defending old values against modern hungers young vito was murderer too as we more fully understand sicily new york scenes part ii but he was wise diplomatic murder was personal as hyman roth says it had nothing do with business crucial difference between father son is that vito is cognizant comprehending needs feelings problems views others michael grows very opposite direction whereas first movie was taut ensemble piece this second part is more leisurely film that closely studies only these two characters neither whom share scenes with each other everyone else is periphery it must be seen as piece with consummate mastership godfather when characters film truly take simulated environmental existence us it becomes film that everyone who cherishes movies any extent should see at least once,0.4400855849131709,0.0711026521371349,Positive,"{'Happy': 0.07, 'Angry': 0.07, 'Surprise': 0.23, 'Sad': 0.28, 'Fear': 0.35}"
10.0,One of the greatest sequels ever made,"After seeing The Godfather and improving it as one of my favorite films, I wanted to get more into The Godfather so I rented this. Words can't describe how great this sequel was. The acting once again was amazing and the story and how the movie went on just never got me bored. Everything in this movie was clearly beautiful. The ending by far was my favorite when there all sitting at the table talking. There were so many great scenes like Vito when he was younger, Fredo at the lake, and many many more. You have to see this movie because it's just brilliant filmaking. It's not better than it's first film but still an extremely worth sequel.10/10",one greatest sequels ever made,after seeing godfather improving it as one my favorite films i wanted get more into godfather so i rented this words cant describe how great this sequel was acting once again was amazing story how movie went just never got me bored everything this movie was clearly beautiful ending by far was my favorite when there all sitting at table talking there were so many great scenes like vito when he was younger fredo at lake many many more you have see this movie because its just brilliant filmaking its not better than its first film but still extremely worth sequel 10 10,0.6416666666666667,0.4175,Positive,"{'Happy': 0.33, 'Angry': 0.06, 'Surprise': 0.22, 'Sad': 0.17, 'Fear': 0.22}"
10.0,To call it a sequel is a travesty,"This movie is way to be good to be labelled a sequel to The Godfather . Rather it is more of a companion piece to the original and the two perfectly compliment each other . IT is both a sequel and prequel showing the rise of the young vito and moral decline of Micheal . Both characters are brought to life with uncanny ability by Robert DeNiro and Al Pacino . To say that these two are good actors is like saying that a nuclear bomb makes a loud noise and in this movie they prove why they are at the top of their respective crafts .Al Pacino is the standout in the ensemble cast and its amazing how his eyes have changed from the first part . They are now cold , ruthless and unemotional and betray the price which Micheal Corleone has paid for power .Watch this movie and learn why it is the greatest gangster film of all time.",call it sequel is travesty,this movie is way be good be labelled sequel godfather rather it is more companion piece original two perfectly compliment each other it is both sequel prequel showing rise young vito moral decline micheal both characters are brought life with uncanny ability by robert deniro al pacino say that these two are good actors is like saying that nuclear bomb makes loud noise this movie they prove why they are at top their respective crafts al pacino is standout ensemble cast its amazing how his eyes have changed first part they are now cold ruthless unemotional betray price which micheal corleone has paid power watch this movie learn why it is greatest gangster film all time,0.6317708333333333,0.25625000000000003,Positive,"{'Happy': 0.11, 'Angry': 0.05, 'Surprise': 0.42, 'Sad': 0.11, 'Fear': 0.32}"
