Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
9.0,A hotel well worth revisiting more than once,"That it was directed by Wes Anderson (who has a unique style that really fascinates, but admittedly not everybody will like or warm to his style) and that the cast is so stellar were reasons enough to see 'The Grand Budapest Hotel' in the first place, as well as its many accolades and critical acclaim.While it isn't quite flawless, and it is easy to see why a number of people don't like or will not like it (due to a lot of the cast's roles being pretty short, only Gustave and Zero being fully fleshed out of the characters and those who have a problem with Anderson's style), 'The Grand Budapest Hotel' is a visually stunning, hugely entertaining, wonderfully weird and impeccably cast and acted film.It really stuns visually, with cinematography that is not only clever in technique but also gorgeous in aesthetic and tight, fluid editing. The costumes, production design and hair and make-up richly deserved their Oscar/Academy Award wins, the costume and production design have a lusciously colourful fairy-tale feel while also given substance by the bleakly atmospheric quality that reflects the crime drama aspect of the story brilliantly.Alexandre Desplat also received an Oscar, and with its hauntingly hypnotic and entrancing tones it richly deserved it as to me it was by far the best score of those nominated. Anderson directs superbly, the story balances darkness and quirkiness to great effect (the prison scene is unforgettable) and it's never too simplistic or convoluted (though of course the visuals, dialogue and performances make much more of an impact) and the screenplay is a sublime mixture of the dark, the quirky, the witty and the subtle delivered with rapid-fire.'The Grand Budapest Hotel' boasts an impeccable cast and pretty much everybody does a splendid job, though many of the roles are short. My only criticism of the film is that Harvey Keitel and Saoirse Ronan are underused and just get lost amongst everything else, an unrecognisable Tilda Swinton also has little to do but still gives a bat-out-of-hell performance.Bill Murray, F. Murray Abraham, Jeff Goldblum, Jason Schwartzman and Owen Wilson give very entertaining performances, while Edward Norton is delightfully droll and Adrien Brody and especially Willem Dafoe bring sinister foreboding to the film. Some may say that Tony Revolori is overshadowed by the more experienced cast members (being the only newcomer in a large cast of big names), but to me he more than holds his own and effectively plays it straight. The film belongs to Ralph Fiennes, in what is essentially the heart of the film, while he has always been a fine actor he has not given a performance this brilliant in years, never knew he could be so riotously funny.In conclusion, a wonderful film and a hotel well worth revisiting more than once if to one's taste. 9/10 Bethany Cox",hotel well worth revisiting more than once,that it was directed by wes anderson who has unique style that really fascinates but admittedly not everybody will like or warm his style that cast is so stellar were reasons enough see grand budapest hotel first place as well as its many accolades critical acclaim while it isnt quite flawless it is easy see why number people dont like or will not like it due lot casts roles being pretty short only gustave zero being fully fleshed out characters those who have problem with andersons style grand budapest hotel is visually stunning hugely entertaining wonderfully weird impeccably cast acted film it really stuns visually with cinematography that is not only clever technique but also gorgeous aesthetic tight fluid editing costumes production design hair make up richly deserved their oscar academy award wins costume production design have lusciously colourful fairy tale feel while also given substance by bleakly atmospheric quality that reflects crime drama aspect story brilliantly alexandre desplat also received oscar with its hauntingly hypnotic entrancing tones it richly deserved it as me it was by far best score those nominated anderson directs superbly story balances darkness quirkiness great effect prison scene is unforgettable its never too simplistic or convoluted though course visuals dialogue performances make much more impact screenplay is sublime mixture dark quirky witty subtle delivered with rapid fire grand budapest hotel boasts impeccable cast pretty much everybody does splendid job though many roles are short my only criticism film is that harvey keitel saoirse ronan are underused just get lost amongst everything else unrecognisable tilda swinton also has little do but still gives bat out hell performance bill murray f murray abraham jeff goldblum jason schwartzman owen wilson give very entertaining performances while edward norton is delightfully droll adrien brody especially willem dafoe bring sinister foreboding film some may say that tony revolori is overshadowed by more experienced cast members being only newcomer large cast big names but me he more than holds his own effectively plays it straight film belongs ralph fiennes what is essentially heart film while he has always been fine actor he has not given performance this brilliant years never knew he could be so riotously funny conclusion wonderful film hotel well worth revisiting more than once if ones taste 9 10 bethany cox,0.660801158301158,0.3258767696267697,Positive,"{'Happy': 0.16, 'Angry': 0.07, 'Surprise': 0.27, 'Sad': 0.19, 'Fear': 0.32}"
8.0,Strange and pretty much impossible to describe.,"Wes Anderson's films are really hard to describe or define. Suffice to say that he is unique in his style--very unique. This uniqueness is what makes ""The Grand Budapest Hotel"" worth seeing. It's an odd story where a story is told within a story--and it's filled with famous actors making lots of odd cameos. And, like Anderson's other films, it's full of odd characters, unusual dialog and brisk-paced editing. And, not surprisingly, it's NOTHING like other films by other directors.The bottom line is that all these weird factors work together to make a film that you'll probably enjoy--but, like me, you won't be exactly sure why!",strange pretty much impossible describe,wes andersons films are really hard describe or define suffice say that he is unique his style very unique this uniqueness is what makes grand budapest hotel worth seeing its odd story where story is told within story its filled with famous actors making lots odd cameos like andersons other films its full odd characters unusual dialog brisk paced editing not surprisingly its nothing like other films by other directors bottom line is that all these weird factors work together make film that youll probably enjoy but like me you wont be exactly sure why,0.6366161616161616,0.06950757575757574,Positive,"{'Happy': 0.13, 'Angry': 0.04, 'Surprise': 0.26, 'Sad': 0.26, 'Fear': 0.3}"
8.0,"Absurd, funny, exciting, violent and colourful","Can a film be absurd, funny, exciting, violent and colourful at the same time? Yes. 'The Grand Budapest Hotel' combines all those elements. And I didn't even mention the most important characteristic: it is visually wonderful.In this film, director Wes Anderson creates his own universe, full of colourful characters, old-world charm and witty one-liners. The nice thing about creating your own universe is that you can make it look perfect. Every shot, every little detail and every set is flawless. From lead character Gustave H.'s purple jacket to the title of the newspaper announcing the war (The Trans-Alpine Yodel) - Anderson has given thought and attention to everything.The story is not very important, because it is merely a vehicle for the stunning visuals, the dark humour and the rapid-fire dialogue. It's all about a hotel concierge, Gustave H., who is being chased by various villains for stealing a painting. All this is set against the backdrop of the Nazis invading Central Europe (although in Anderson's fantasy world they are not called Nazis of course). Some of the scenes are very funny, but there is always a darker tone because of the looming war. Anderson doesn't shy away from extreme violence, but he shows it in an offbeat and almost comical manner.My favourite scene, in which it all comes together, shows concierges in hotels all over Europe, calling each other to help Gustave H. Each of them is shown in his hotel (with a wonderful fantasy name of course), busy doing some important job like tasting the soup or giving first aid to an unconscious hotel guest, when he is being called away to the telephone. Each hands the job over to his assistant, and answers the phone. This fast succession of little scenes is done so perfectly, it's a great joy to watch.Ralph Fiennes steals the show as the sophisticated Gustave H., who never despairs, even in the most unfavourable circumstances. He is supported by a large number of star actors, who are sometimes almost unrecognizable. Because of the amount of support actors, some of them are a bit underused. Tilda Swinton gets rather little screen time, as does Harvey Keitel.The film moves forward at a breakneck speed. You have to be very alert in order not to miss something. The plot is not always very easy to follow, and the dialogue is fast. And there are the great camera angles and the wonderful detailed sets to pay attention to. I think by seeing the film a second time you can discover lots of things you didn't notice the first time.",absurd funny exciting violent colourful,can film be absurd funny exciting violent colourful at same time yes grand budapest hotel combines all those elements i didnt even mention most important characteristic it is visually wonderful this film director wes anderson creates his own universe full colourful characters old world charm witty one liners nice thing about creating your own universe is that you can make it look perfect every shot every little detail every set is flawless lead character gustave h s purple jacket title newspaper announcing war trans alpine yodel anderson has given thought attention everything story is not very important because it is merely vehicle stunning visuals dark humour rapid fire dialogue its all about hotel concierge gustave h who is being chased by various villains stealing painting all this is set against backdrop nazis invading central europe although andersons fantasy world they are not called nazis course some scenes are very funny but there is always darker tone because looming war anderson doesnt shy away extreme violence but he shows it offbeat almost comical manner my favourite scene which it all comes together shows concierges hotels all over europe calling each other help gustave h each them is shown his hotel with wonderful fantasy name course busy doing some important job like tasting soup or giving first aid unconscious hotel guest when he is being called away telephone each hands job over his assistant answers phone this fast succession little scenes is done so perfectly its great joy watch ralph fiennes steals show as sophisticated gustave h who never despairs even most unfavourable circumstances he is supported by large number star actors who are sometimes almost unrecognizable because amount support actors some them are bit underused tilda swinton gets rather little screen time as does harvey keitel film moves forward at breakneck speed you have be very alert order not miss something plot is not always very easy follow dialogue is fast there are great camera angles wonderful detailed sets pay attention i think by seeing film second time you can discover lots things you didnt notice first time,0.7068059916274203,0.2405286826268969,Positive,"{'Happy': 0.14, 'Angry': 0.05, 'Surprise': 0.35, 'Sad': 0.2, 'Fear': 0.26}"
8.0,Keep your hands off my lobby boy!,"The Grand Hotel Budapest is a zany, colorful and fascinating journey through old postcard Europe, such as only Hollywood can think of. With his old, almost square picture format Wes Anderson pays tribute to recent days, but with the whole movie. In addition to his brilliant humor and endearing characters, this film captures gems with seemingly small details and meticulous compositions. For me, now one of the funniest and most original movies of 2014.The style is unique. You will either like it or you won't. There is no middle ground here.With too many great actors to mention, they all gave outstanding performance that will keep you enchanted.",keep your hands off my lobby boy,grand hotel budapest is zany colorful fascinating journey through old postcard europe such as only hollywood can think with his old almost square picture format wes anderson pays tribute recent days but with whole movie addition his brilliant humor endearing characters this film captures gems with seemingly small details meticulous compositions me now one funniest most original movies 2014 style is unique you will either like it or you wont there is no middle ground here with too many great actors mention they all gave outstanding performance that will keep you enchanted,0.5828947368421054,0.3210526315789474,Positive,"{'Happy': 0.47, 'Angry': 0.0, 'Surprise': 0.13, 'Sad': 0.0, 'Fear': 0.4}"
8.0,A brilliantly entertaining fantasy outing by Wes Anderson,"The Grand Budapest Hotel is the latest from Wes Anderson, and what great fun it is. My review of Monuments Men pointed out that putting the likes of George Clooney, Matt Damon, Cate Blanchett, Jean Dujardin, Bill Murray and Hugh Bonneville in the same film was no guarantee of a good film. Following that logic, what should we make of the following turning up together: Ralph Fiennes, Bill Murray, F. Murray Abraham, Adrien Brody, Willem Defoe, Jeff Goldblum, Jude Law, Edward Norton, Tom Wilkinson, Saoirse Ronan, Owen Wilson and (a wonderfully made up) Tilda Swinton? The answer is a near masterpiece of cameos that add up to a highly entertaining and memorable film.In a complex serious of flashbacks, Tom Wilkinson plays an author remembering his younger self (Jude Law) being recounted, a number of years before, the life story of The Grand Budapest's mysterious elderly guest Zero Moustafa, played by Abraham. (Are you still with me?) Featuring strongly in this life story, Ralph Fiennes plays hotel concierge and lothario Gustave H., seducer of his elderly and wealthy guests. He is supported in this role – for everything outside the bedroom that is – by trainee Bellboy, and Gustave's protégé, Zero (in the younger form of Tony Revolori).Following the murder of one such guest (Tilda Swinton), Gustave is not surprised to feature strongly in her will, awarded a priceless Renaissance painting – Boy with Apple. This is much to the displeasure of her son Dimitri (Adrien Brody) and his evil henchman Jopling (Willem Defoe). What follows is a madcap pursuit across snowy landscapes, various grisly murders, a couple of civil wars, some disconnected fingers, a prison break and a downhill ski chase.All the cast seem to enjoy themselves immensely, but it is the production design and cinematography that really shines through: every single shot of the film is just a joy to look at, from the bright pastel colours of some scenes to the oak-panelled finery of the elderly lady's mansion. Beautifully crafted, beautifully lit,beautifully costumed, beautifully filmed. Bringing a film out so early in the new Oscar-year must be risky: but one can only hope that the voting members have a long enough memory to recognise this movie in these sorts of categories.There are some interesting crossovers to recent films: both 'The Book Thief' and 'The Monuments Men' were filmed – as this was – in Studio Babelsberg in Potsdam. No coincidence then that the steam train chugging through the East European countryside looked startlingly similar to that in the opening scenes of 'The Book Thief'; and if you have Bill Murray and Bob Balaban in town for Monuments Men, then why not stick them together for this film too? Simples! Alexandre Desplat turns up AGAIN with another quirky and fitting score.All in all, if you like the quirky style of films of the likes of Moulin Rouge then you'll love this. Highly recommended.(If you enjoyed this review, please check out my archive of other reviews and while there sign up to ""Follow the Fad""! Thanks!).",brilliantly entertaining fantasy outing by wes anderson,grand budapest hotel is latest wes anderson what great fun it is my review monuments men pointed out that putting likes george clooney matt damon cate blanchett jean dujardin bill murray hugh bonneville same film was no guarantee good film following that logic what should we make following turning up together ralph fiennes bill murray f murray abraham adrien brody willem defoe jeff goldblum jude law edward norton tom wilkinson saoirse ronan owen wilson wonderfully made up tilda swinton answer is near masterpiece cameos that add up highly entertaining memorable film complex serious flashbacks tom wilkinson plays author remembering his younger self jude law being recounted number years before life story grand budapests mysterious elderly guest zero moustafa played by abraham are you still with me featuring strongly this life story ralph fiennes plays hotel concierge lothario gustave h seducer his elderly wealthy guests he is supported this role everything outside bedroom that is by trainee bellboy gustaves prot g zero younger form tony revolori following murder one such guest tilda swinton gustave is not surprised feature strongly her will awarded priceless renaissance painting boy with apple this is much displeasure her son dimitri adrien brody his evil henchman jopling willem defoe what follows is madcap pursuit across snowy landscapes various grisly murders couple civil wars some disconnected fingers prison break downhill ski chase all cast seem enjoy themselves immensely but it is production design cinematography that really shines through every single shot film is just joy look at bright pastel colours some scenes oak panelled finery elderly ladys mansion beautifully crafted beautifully lit beautifully costumed beautifully filmed bringing film out so early new oscar year must be risky but one can only hope that voting members have long enough memory recognise this movie these sorts categories there are some interesting crossovers recent films both book thief monuments men were filmed as this was studio babelsberg potsdam no coincidence then that steam train chugging through east european countryside looked startlingly similar that opening scenes book thief if you have bill murray bob balaban town monuments men then why not stick them together this film too simples alexandre desplat turns up again with another quirky fitting score all all if you like quirky style films likes moulin rouge then youll love this highly recommended if you enjoyed this review please check out my archive other reviews while there sign up follow fad thanks,0.5788099035467458,0.25672400698716485,Positive,"{'Happy': 0.18, 'Angry': 0.07, 'Surprise': 0.25, 'Sad': 0.2, 'Fear': 0.29}"
,A Grand Adventure,"Wes Anderson is one of the most original film makers working today. None of his films can be categorized into any particular genre. His latest, The Grand Budapest Hotel, which opened the Berlin Film Festival, continues that trend. It is a tale within a tale within another tale. Whilst every shot has been meticulously arranged as though a work of Art hanging in a museum, story wise Anderson has let his imagination run wild. Though the tale (with Tom Wilkinson as the author of the story) and the tale within the tale (with Jude Law as the young author & F Murray Abraham as the mysterious owner of THe Grand Budapest Hotel) have straightforward narratives, the tale within the tale within the tale, which comprises the bulk of the film and is set in the years preceding the Second World War, is a wild uproarious train ride of story telling. It also boasts the cast of a life time: Ralph Fiennes, Tilda Swinton, Edward Norton, Adrien Brody, Willem Dafoe, Harvey Keitel, Jeff Goldblum, Bill Murray, Owen Wilson & countless cameos. It will delight Anderson fans but is more likely destined for Art house cinemas as it is too off center for mainstream audiences. The production design and music are outstanding and even the end credits are imaginatively done (and received another ovation from the audience).",grand adventure,wes anderson is one most original film makers working today none his films can be categorized into any particular genre his latest grand budapest hotel which opened berlin film festival continues that trend it is tale within tale within another tale whilst every shot has been meticulously arranged as though work art hanging museum story wise anderson has let his imagination run wild though tale with tom wilkinson as author story tale within tale with jude law as young author f murray abraham as mysterious owner grand budapest hotel have straightforward narratives tale within tale within tale which comprises bulk film is set years preceding second world war is wild uproarious train ride story telling it also boasts cast life time ralph fiennes tilda swinton edward norton adrien brody willem dafoe harvey keitel jeff goldblum bill murray owen wilson countless cameos it will delight anderson fans but is more likely destined art house cinemas as it is too off center mainstream audiences production design music are outstanding even end credits are imaginatively done received another ovation audience,0.6316666666666666,0.29583333333333334,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.17, 'Fear': 0.39}"
10.0,"""There are still faint glimmers of civilization left in this barbaric slaughterhouse that was once known as humanity... He was one of them. ""","Wes Anderson is one of the last directors -auteurs- who's got complete control on the film set and has the power to make whatever kind of film he desires. His distinct visual style is apparent since his 1996 debut Bottle Rcoket. But that was just a start, with every film he made he was perfecting his technique more and more. This marvelous attention to detail, the way he composes his shots( tracking shots, the symmetry, the characters running in slow-motion), chase scenes, love story, nostalgia, explanatory montages, the colourful set design and the prevalent theme of every one of his films: family. This all adds up to the reason why the audience enjoys Anderson's film so much. This all is brought to perfection in Grandhotel Budapest. Through complex narrative framework, which itself is a mockery of all these films that are being narrated by someone and is also being an excuse for not being too realistic, we get to a story of a young lobby boy named Zero Moustafa and Gustave H. (Ralph Fiennes)the concierge of the Grandhotel Budapest. Many of the female guests of the hotel mainly come to enjoy Gustave's company. When one of these ladies passes away, Gustave grabs Zero and boards a train for her mansion. Soon he's blamed for her murder and hunted by police led by Edward Norton and a grim-faced assassin played by Willem Dafoe. There also is a love story between two young teens - Zero and Agatha (Saoirse Ronan) who has a birthmark in the shape of Mexico.I frankly don't understand how can this film be successful in the USA. This film is just so typically European, that I guess some aspects of the film Americans just aren't familiar with. Some of the humor reminded of old French, Italian and Czech comedies. Wes Anderson remains to be a stand-out filmmaker who never disappoints with any of his creations and is a safe bet to rely on his qualities. You won't want to return to the real world when the credits start to roll.",there are still faint glimmers civilization left this barbaric slaughterhouse that was once known as humanity he was one them,wes anderson is one last directors auteurs whos got complete control film set has power make whatever kind film he desires his distinct visual style is apparent since his 1996 debut bottle rcoket but that was just start with every film he made he was perfecting his technique more more this marvelous attention detail way he composes his shots tracking shots symmetry characters running slow motion chase scenes love story nostalgia explanatory montages colourful set design prevalent theme every one his films family this all adds up reason why audience enjoys andersons film so much this all is brought perfection grandhotel budapest through complex narrative framework which itself is mockery all these films that are being narrated by someone is also being excuse not being too realistic we get story young lobby boy named zero moustafa gustave h ralph fiennes concierge grandhotel budapest many female guests hotel mainly come enjoy gustaves company when one these ladies passes away gustave grabs zero boards train her mansion soon hes blamed her murder hunted by police led by edward norton grim faced assassin played by willem dafoe there also is love story between two young teens zero agatha saoirse ronan who has birthmark shape mexico i frankly dont understand how can this film be successful usa this film is just so typically european that i guess some aspects film americans just arent familiar with some humor reminded old french italian czech comedies wes anderson remains be stand out filmmaker who never disappoints with any his creations is safe bet rely his qualities you wont want return real world when credits start roll,0.40454545454545454,0.1654040404040404,Positive,"{'Happy': 0.12, 'Angry': 0.1, 'Surprise': 0.17, 'Sad': 0.32, 'Fear': 0.29}"
9.0,A new high for Wes Anderson,"The Grand Budapest Hotel is an old relic in the eastern European former republic of Zubrowka. In 1985, the author of the book Grand Budapest Hotel (Tom Wilkinson) recounts how in 1968 he (Jude Law) got the story from Mr. Zero Moustafa (F. Murray Abraham). He talks about his early life as Lobby Boy (Tony Revolori) with the original concierge M. Gustave H. (Ralph Fiennes) in 1932 who was willed a priceless painting by Madame Celine Villeneuve Desgoffe und Taxis (Tilda Swinton) setting off a battle with the woman's family led by her son Dimitri (Adrien Brody) and the violent Jopling (Willem Dafoe). Gustave is arrested for Madame D's murder. Agatha (Saoirse Ronan) is the girl of purity who's in love with Zero. Kovacs (Jeff Goldblum) is the executor of the will.This is a new high for Wes Anderson. He's filled this with his usual unique visual style and his quirky characters. In addition, he has used it in an exciting thriller with a bit of mystery. There are some really dangerous bad guys. There is real tension that isn't always there for a Wes Anderson film. He always had the quirky, the fascinating and the unique. This has so much more than that. It's a pretty fun thrilling ride.",new high wes anderson,grand budapest hotel is old relic eastern european former republic zubrowka 1985 author book grand budapest hotel tom wilkinson recounts how 1968 he jude law got story mr zero moustafa f murray abraham he talks about his early life as lobby boy tony revolori with original concierge m gustave h ralph fiennes 1932 who was willed priceless painting by madame celine villeneuve desgoffe und taxis tilda swinton setting off battle with womans family led by her son dimitri adrien brody violent jopling willem dafoe gustave is arrested madame ds murder agatha saoirse ronan is girl purity whos love with zero kovacs jeff goldblum is executor will this is new high wes anderson hes filled this with his usual unique visual style his quirky characters addition he has used it exciting thriller with bit mystery there are some really dangerous bad guys there is real tension that isnt always there wes anderson film he always had quirky fascinating unique this has so much more than that its pretty fun thrilling ride,0.6401919191919192,0.1655909090909091,Positive,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.32, 'Sad': 0.23, 'Fear': 0.32}"
9.0,"Funny, sweet, inventive and wonderfully acted","A wonderfully funny fable of the adventures of world's greatest hotel concierge (a brilliant, inventive and hilarious performance by Ralph Fiennes) and the friendship he strikes up with the hotel's new lobby boy (a strong debut by newcomer Tony Revolori). The story goes in many unexpected directions, every one entertaining and eccentric, and the cast is full of first rate highly comic performances by F. Murray Abraham, Adrien Brody, Willem Dafoe, Jeff Goldblum, with terrific cameos by Bill Murray, Harvey Keitel, Edward Norton, Tilda Swinton, Jason Schwartzman, Tom Wilkinson, Owen Wilson, Jude Law and others I feel bad for forgetting here. While not Anderson's most profound film, it may be his most joyful. I don't think I stopped smiling from first frame to last, and I laughed out loud quite a few times. And yet, as in any good fable, there is some real poignancy as well. A top notch marriage of a lovingly crafted art-film and a wacky human comedy, something rarely pulled off with such panache. Even my friends who don't enjoy Anderson's work in general had nothing but good things to say. The sweetest treat of the movie year so far.",funny sweet inventive wonderfully acted,wonderfully funny fable adventures worlds greatest hotel concierge brilliant inventive hilarious performance by ralph fiennes friendship he strikes up with hotels new lobby boy strong debut by newcomer tony revolori story goes many unexpected directions every one entertaining eccentric cast is full first rate highly comic performances by f murray abraham adrien brody willem dafoe jeff goldblum with terrific cameos by bill murray harvey keitel edward norton tilda swinton jason schwartzman tom wilkinson owen wilson jude law others i feel bad forgetting here while not andersons most profound film it may be his most joyful i dont think i stopped smiling first frame last i laughed out loud quite few times yet as any good fable there is some real poignancy as well top notch marriage lovingly crafted art film wacky human comedy something rarely pulled off with such panache even my friends who dont enjoy andersons work general had nothing but good things say sweetest treat movie year so far,0.6634469696969697,0.32632575757575755,Positive,"{'Happy': 0.31, 'Angry': 0.03, 'Surprise': 0.39, 'Sad': 0.11, 'Fear': 0.17}"
9.0,Wes Anderson's Best?,"I would consider myself a Wes Anderson fan, however in saying that, I have only seen a handful of his movies. I was very excited for The Grand Budapest Hotel, because of its excellent cast, the fact it's directed by Wes Anderson and just by how unique it looked. After watching The Grand Budapest Hotel, I can confidently say that it's my new favourite Wes Anderson film, and probably his best.As I was hoping, the story to The Grand Budapest Hotel is very original and unique, some may even say strange. And as the movie goes on, the story only gets wilder and wilder. The film is often very hilarious, with some seriously funny dark humour thrown in there as well. Characters are extremely well written, with the bond between Gustave and Zero being the backbone of the whole movie as it's so well written. The Grand Budapest Hotel features an odd narrative structure that works very well for the film, again adding to the uniqueness and freshness of it. I wasn't exactly sure how the story would play out, as I purposely avoided all promotional materiel so I would know as little as possible before watching. This was a great benefit to my viewing experience as I loved everything I saw, and felt as though nothing was spoiled from watching too many trailers.I haven't been a huge fan of most of Ralph Fiennes' work since his phenomenal performance in 1993′s ""Schindler's List"", but this is easily his best performance since then. He proves he can do comedy just as well as he can do drama, providing a perfect balance of both. Newcomer Tony Revolori is excellent as well. I won't get into the whole supporting cast because there's so many who were all so great, but I was particularly impressed by Willem Dafoe, Adrien Brody, Harvey Keitel, Jude Law and Saoirse Ronan.The Grand Budapest Hotel is definitely a Wes Anderson film, down to its very core. If you know his style, then you known what to expect, as this movie is full of it. Thankfully though, it's not a case of style over substance, with a great story to accompany the gorgeous visuals. The colour palette is beautiful; it's nice to see lot's of bright colours when so many other films are so dark and dreary. The set design and costumes are perfect, and there's so much attention to detail within the sets. The cinematography is phenomenal, and I really like how the film was presented in different aspect ratios.You really can't go wrong with this film. It's probably Wes Anderson's best film, it has gorgeous visuals, excellent acting and a wonderful story. If you're a fan of Wes Anderson's previous work, you cannot miss this, and even if you're not a fan you should go and see it anyway.",wes andersons best,i would consider myself wes anderson fan however saying that i have only seen handful his movies i was very excited grand budapest hotel because its excellent cast fact its directed by wes anderson just by how unique it looked after watching grand budapest hotel i can confidently say that its my new favourite wes anderson film probably his best as i was hoping story grand budapest hotel is very original unique some may even say strange as movie goes story only gets wilder wilder film is often very hilarious with some seriously funny dark humour thrown there as well characters are extremely well written with bond between gustave zero being backbone whole movie as its so well written grand budapest hotel features odd narrative structure that works very well film again adding uniqueness freshness it i wasnt exactly sure how story would play out as i purposely avoided all promotional materiel so i would know as little as possible before watching this was great benefit my viewing experience as i loved everything i saw felt as though nothing was spoiled watching too many trailers i havent been huge fan most ralph fiennes work since his phenomenal performance 1993 s schindlers list but this is easily his best performance since then he proves he can do comedy just as well as he can do drama providing perfect balance both newcomer tony revolori is excellent as well i wont get into whole supporting cast because theres so many who were all so great but i was particularly impressed by willem dafoe adrien brody harvey keitel jude law saoirse ronan grand budapest hotel is definitely wes anderson film down its very core if you know his style then you known what expect as this movie is full it thankfully though its not case style over substance with great story accompany gorgeous visuals colour palette is beautiful its nice see lots bright colours when so many other films are so dark dreary set design costumes are perfect theres so much attention detail within sets cinematography is phenomenal i really like how film was presented different aspect ratios you really cant go wrong with this film its probably wes andersons best film it has gorgeous visuals excellent acting wonderful story if youre fan wes andersons previous work you cannot miss this even if youre not fan you should go see it anyway,0.6623625965537729,0.41571041295306005,Positive,"{'Happy': 0.19, 'Angry': 0.02, 'Surprise': 0.29, 'Sad': 0.18, 'Fear': 0.31}"
