Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,Masterclass Cinema,"This is hands down the most perfect film I have seen so far this year. I gave a score of 5/5 to movies like The Revenant, Spotlight and The Songs We Sang. But even with these excellent films I can always find a spot that doesn't quite sit right with me. With The Handmaiden, it is perfect; every frame handcrafted to perfection. Even with 4min of explicit sex taken away by my country's dumb censors, this is still perfect every way I see it.Auteur Park Chan-Wook's The Handmaiden is a superb exercise in form, structure and tone. With the latter, Park (Oldboy & Joint Security Area) has achieved something extraordinary. If any scene were to linger a few seconds longer or he had decided to focus on a certain issue, the film would have veered off to a different territory. As it is, and with all the major characters' kooky off-kilter portrayals, I can't pinpoint whether I was watching something real or abstract. I was also kept in awe by the intricate and resplendent set- design which suggests something dark and Gothic is working the undercurrents. There are of course some serious girl on girl action but that never encroaches into the spine of the story.Adapting Sarah Waters' Fingersmith, a Victorian tale awash with all manner of Dickensian motifs, Park spins an engrossing tale that ebbs and flows with a Hitchcockian suspense; it withholds as much as it discloses; it is an erotic tale that beats with raw fervour. It is at once a love story but also a menagerie showcasing human beings in their vilest forms. Park's finger hovers over all the buttons, teasing us gleefully but it is with the ultimate restraint that he never descends down to the usual tropes. The story is divided into three chapters; each told from a different character's perspective. The structure is Rashomon-esque but Park puts his own stamp on it. The film may be nearly 2.5 hours but I hardly moved in my seat; my senses kept spellbound as each twist hits me hard. When it ended I couldn't believe 2.5 hours have whizzed by. The plot is pulsating and it never lets up. There is even an octopus in it! This is definitely the most perfect film I have seen this year. You may not agree with me but for me this is cinema of the masterclass level.It's sexy time!",masterclass cinema,this is hands down most perfect film i have seen so far this year i gave score 5 5 movies like revenant spotlight songs we sang but even with these excellent films i can always find spot that doesnt quite sit right with me with handmaiden it is perfect every frame handcrafted perfection even with 4min explicit sex taken away by my countrys dumb censors this is still perfect every way i see it auteur park chan wooks handmaiden is superb exercise form structure tone with latter park oldboy joint security area has achieved something extraordinary if any scene were linger few seconds longer or he had decided focus certain issue film would have veered off different territory as it is with all major characters kooky off kilter portrayals i cant pinpoint whether i was watching something real or abstract i was also kept awe by intricate resplendent set design which suggests something dark gothic is working undercurrents there are course some serious girl girl action but that never encroaches into spine story adapting sarah waters fingersmith victorian tale awash with all manner dickensian motifs park spins engrossing tale that ebbs flows with hitchcockian suspense it withholds as much as it discloses it is erotic tale that beats with raw fervour it is at once love story but also menagerie showcasing human beings their vilest forms parks finger hovers over all buttons teasing us gleefully but it is with ultimate restraint that he never descends down usual tropes story is divided into three chapters each told different characters perspective structure is rashomon esque but park puts his own stamp it film may be nearly 2 5 hours but i hardly moved my seat my senses kept spellbound as each twist hits me hard when it ended i couldnt believe 2 5 hours have whizzed by plot is pulsating it never lets up there is even octopus it this is definitely most perfect film i have seen this year you may not agree with me but me this is cinema masterclass level its sexy time,0.5985529485529485,0.24492665742665737,Positive,"{'Happy': 0.08, 'Angry': 0.11, 'Surprise': 0.11, 'Sad': 0.24, 'Fear': 0.46}"
10.0,Just amazing,"""The Handmaiden"" is a crazily imaginative and beautiful movie by Chan-wook Park, who is at the top of his game in this story of a pickpocket that tries to steal the fortune of a naive, innocent rich woman that has been secluded in a mansion in the middle of nowhere. Of course, things will start to get complicated soon enough.Chan-wook Park has done a great job in adapting the original novel by Sarah Waters, and mixing it with the history of the Japanese invasion of Korea at the beginning of the twentieth century. The plot is a little bit silly sometimes, but Chan-wook Park makes it all tight and fast-paced, and even the most silly moment becomes a moment of beauty and fun. From the first moment, the viewer will be enthralled by the story of these two women and their relationship, and every plot development will just add fun to the whole.If the plot and the direction weren't amazing enough, the movie is as beautiful as they come. From the darkest moment, the most violent, to the most intimate, beauty transpires in every frame, and every scene comes to life and threatens to pop and break free from the screen. This is helped by the amazing work of all the cast, who does an incredible job in bringing this tale to life (it could be criticized, though, some of the heavily accented Japanese, for characters that are supposed to be able to pass as them).All in all, ""The Handmaiden"" is proof that a movie can have a plot, amazing direction, acting, scenery, craziness and the most beautiful package possible. And even if it is almost two hours and a half long, it feels like a breeze.You will fall in love with this movie. Just plain great.",just amazing,handmaiden is crazily imaginative beautiful movie by chan wook park who is at top his game this story pickpocket that tries steal fortune naive innocent rich woman that has been secluded mansion middle nowhere course things will start get complicated soon enough chan wook park has done great job adapting original novel by sarah waters mixing it with history japanese invasion korea at beginning twentieth century plot is little bit silly sometimes but chan wook park makes it all tight fast paced even most silly moment becomes moment beauty fun first moment viewer will be enthralled by story these two women their relationship every plot development will just add fun whole if plot direction werent amazing enough movie is as beautiful as they come darkest moment most violent most intimate beauty transpires every frame every scene comes life threatens pop break free screen this is helped by amazing work all cast who does incredible job bringing this tale life it could be criticized though some heavily accented japanese characters that are supposed be able pass as them all all handmaiden is proof that movie can have plot amazing direction acting scenery craziness most beautiful package possible even if it is almost two hours half long it feels like breeze you will fall love with this movie just plain great,0.5941220238095238,0.21985367063492067,Positive,"{'Happy': 0.24, 'Angry': 0.0, 'Surprise': 0.21, 'Sad': 0.13, 'Fear': 0.42}"
,Engaging and attractively packaged and delivered,"I knew nothing about this film coming into it, other that it being very well considered, and that it has some strong sexual content. This is probably the best way to watch it, as I did not know where the plot was going to start or go. Essentially a con man plans to seduce, marry, and abandon a wealthy unmarried woman – taking her from her uncle and then taking her money. To do this he employs the services of a young pickpocket to work as her handmaiden, and help work the plan from the inside, so to speak.What the film does with this basic plot is enjoyable and engaging. The narrative is solid, holds the interest without effort, and is very well paced and structured. I wonder would it work as well if I had known the source material, or had more knowledge of the wider plot. As a con, the plot is solidly enjoyable and avoids the silly flamboyance of some films where such a plot would be allowed to turn into a 'caper'. Within the plot are some surprisingly sexual elements, and these sit across the sweet, the sensual, and the dark. There is also a good amount of humor where it matters – in particular in part 1 of the film, this is used well in relation to the main character.The direction, production values, and general pacing of the film, all work together to give it a beautiful appearance and tone. It is quite sensuous to watch, with such great colors, sets, costumes, and designs. Within this the actors are all strong. Min-hee Kim and Tae- ri Kim in particular are engaging, although the downside of me being into their characters/performances was that it made the heavy nudity in some of their extended scenes feel a bit exploitative in nature. Jung-woo Ha is solid throughout, and Jin-woong Jo is just the right level of monster for the plot to work.A richly enjoyable film, that sits across so many elements and looks so good that it keeps the plot engaging throughout.",engaging attractively packaged delivered,i knew nothing about this film coming into it other that it being very well considered that it has some strong sexual content this is probably best way watch it as i did not know where plot was going start or go essentially con man plans seduce marry abandon wealthy unmarried woman taking her her uncle then taking her money do this he employs services young pickpocket work as her handmaiden help work plan inside so speak what film does with this basic plot is enjoyable engaging narrative is solid holds interest without effort is very well paced structured i wonder would it work as well if i had known source material or had more knowledge wider plot as con plot is solidly enjoyable avoids silly flamboyance some films where such plot would be allowed turn into caper within plot are some surprisingly sexual elements these sit across sweet sensual dark there is also good amount humor where it matters particular part 1 film this is used well relation main character direction production values general pacing film all work together give it beautiful appearance tone it is quite sensuous watch with such great colors sets costumes designs within this actors are all strong min hee kim tae ri kim particular are engaging although downside me being into their characters performances was that it made heavy nudity some their extended scenes feel bit exploitative nature jung woo ha is solid throughout jin woong jo is just right level monster plot work richly enjoyable film that sits across so many elements looks so good that it keeps plot engaging throughout,0.5436011904761905,0.29318452380952387,Positive,"{'Happy': 0.21, 'Angry': 0.0, 'Surprise': 0.24, 'Sad': 0.1, 'Fear': 0.45}"
9.0,The Handmaiden,"Park Chan-Wook explores the power of narrative (the way you tell a story and its ramifications), creating another astounding visual spectacle full of dark humor, sexual desire, betrayal and revenge, with intense performances and a wonderful production design, editing and score.",handmaiden,park chan wook explores power narrative way you tell story its ramifications creating another astounding visual spectacle full dark humor sexual desire betrayal revenge with intense performances wonderful production design editing score,0.6833333333333333,0.35714285714285715,Positive,"{'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.3, 'Sad': 0.3, 'Fear': 0.2}"
8.0,Classy South Korean Erotic Thriller Divided in Three Parts,"In Korea, the pickpocket Sook-Hee (Tae-ri Kim) is hired by the Japanese heiress Lady Hideko (Min-hee Kim) to be her personal servant. Hideko is supported by her Uncle Kouzuki (Jin-woong Jo) and the gold-digger ""Count Fujiwara"" (Jung-woo Ha), who is indeed son of peasants, wants to marry her to steal her inheritance. Sook-Hee is a small-time thief of the ring of the conman ""Count Fujiwara"" and is sent to help him in the confidence game. But soon Hideko and Sook- Hee get close to each other and become lovers. But Sook-Hee is pressed by Fujiwara to betray her friend. When Fujiwara marries Hideko, they go with Sook-Hee to an asylum and the nurses hold Sook- Hee believing that she is Hideko. Why Hideko poses of servant and leaves Sook-Hee in the asylum to stay with Count Fujiwara?""Ah-ga-ssi"", a.k.a. ""The Handmaiden"", is a classy South Korean erotic thriller divided in three parts and directed by Chan-wook Park. The first part is slow paced and shows the development of the relationship among Sook-Hee, Lady Hideko and ""Count Fujiwara"". The second part shows the abusive relationship of Uncle Kouzuki and Hideko since her childhood. The third part has many twists and shows the fate of each leader character. The cinematography is very beautiful and the eroticism is elegant and stylish. The screenplay has surprising plot points. My vote is eight.Title (Brazl): ""A Criada"" (""The Maid"")",classy south korean erotic thriller divided three parts,korea pickpocket sook hee tae ri kim is hired by japanese heiress lady hideko min hee kim be her personal servant hideko is supported by her uncle kouzuki jin woong jo gold digger count fujiwara jung woo ha who is indeed son peasants wants marry her steal her inheritance sook hee is small time thief ring conman count fujiwara is sent help him confidence game but soon hideko sook hee get close each other become lovers but sook hee is pressed by fujiwara betray her friend when fujiwara marries hideko they go with sook hee asylum nurses hold sook hee believing that she is hideko why hideko poses servant leaves sook hee asylum stay with count fujiwara ah ga ssi k handmaiden is classy south korean erotic thriller divided three parts directed by chan wook park first part is slow paced shows development relationship among sook hee lady hideko count fujiwara second part shows abusive relationship uncle kouzuki hideko since her childhood third part has many twists shows fate each leader character cinematography is very beautiful eroticism is elegant stylish screenplay has surprising plot points my vote is eight title brazl criada maid,0.5214912280701756,0.21973684210526315,Positive,"{'Happy': 0.16, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.0, 'Fear': 0.56}"
10.0,Sublime cinema - like Hithcock with the extremity of Oldboy and the sexual candour of Blue is the Warmest Colour.,"I consider Park Chan-Wook to be among the greats of cinema, alongside Scorsese, Tarantino, Fellini, Truffaut, Coppola, Tarkovsky and Nolan. So I had huge expectations going in, and boy, they were met.TheHandmaiden is a masterpiece in pretty much every sense. It is visually exquisite, Costumes, production design, cinematography, music, all combine to create a lush vision of Japan-occupied Korea in the 1930s. Park Chan-Wook is a visually meticulous filmmaker and no film so far of his has showcased his knack for visual storytelling better than the Handmaiden. I went into this film totally blind, which I honestly recommend all people doing, because the plot itself unfolds in such a beautifully engineered fashion.My best description of the film is a Rebecca-like Hitchcockian thriller with the extremity and depravity of films like Oldboy and Battle Royale, and the humanistic sexuality of Blue is the Warmest Colour. All actors are stunning in this film. The two women share an honest, tender romance that is both passionate and moving, with a refreshing candour about the nature of sexuality that is almost never seen in Hollywood productions. The Count is an incredibly charismatic performer who remains appealing despite his many despicable acts.But as always with a Park Chan-Wook film, the real star is the director himself. The way in which this story is crafted is nothing short of engrossing. The outrageous, depraved, sexy, fascinating plot is crafted through multiple perspectives, dashing across back and forth in time, to masterfully reveal key plot points across a never less than spellbinding two hour run time. Some would say the film is slow, but I felt as though the extended running time worked in the film's favour, in order to build character to the extent that the finale for the film feels momentously epic, a real feat considering the movie showcases only four key characters.I was utterly engrossed by this beautifully made film.",sublime cinema like hithcock with extremity oldboy sexual candour blue is warmest colour,i consider park chan wook be among greats cinema alongside scorsese tarantino fellini truffaut coppola tarkovsky nolan so i had huge expectations going boy they were met thehandmaiden is masterpiece pretty much every sense it is visually exquisite costumes production design cinematography music all combine create lush vision japan occupied korea 1930s park chan wook is visually meticulous filmmaker no film so far his has showcased his knack visual storytelling better than handmaiden i went into this film totally blind which i honestly recommend all people doing because plot itself unfolds such beautifully engineered fashion my best description film is rebecca like hitchcockian thriller with extremity depravity films like oldboy battle royale humanistic sexuality blue is warmest colour all actors are stunning this film two women share honest tender romance that is both passionate moving with refreshing candour about nature sexuality that is almost never seen hollywood productions count is incredibly charismatic performer who remains appealing despite his many despicable acts but as always with park chan wook film real star is director himself way which this story is crafted is nothing short engrossing outrageous depraved sexy fascinating plot is crafted through multiple perspectives dashing across back forth time masterfully reveal key plot points across never less than spellbinding two hour run time some would say film is slow but i felt as though extended running time worked films favour order build character extent that finale film feels momentously epic real feat considering movie showcases only four key characters i was utterly engrossed by this beautifully made film,0.6277777777777778,0.26150793650793647,Positive,"{'Happy': 0.12, 'Angry': 0.08, 'Surprise': 0.2, 'Sad': 0.24, 'Fear': 0.37}"
8.0,will need a 2nd viewing. I mean that as a compliment (mostly),"The Handmaiden is a film that unfolds with a classic film stylist (in particular I felt like Chanwook Park was in a kind of Brian De Palma mode as far as making an erotic dramatic-thriller with a camera that luxuriates in long shots, elaborate camera movements, and cinematic grammar that emphasizes operatic intentions, though it's maybe not the first time he's done this anyway), and is LOADED with story. What appears to be the story of a handmaiden who is put in as part of a long con by a man who wants to steal this wealthy woman's money is actually a story about storytelling, about weaving a pack of lies and an entire personality and, in reality, how that can start to crack apart when it comes to seeing humanity in another person and their vulnerabilities.There's a lot going on in this movie, and there is a lot that is... sordid and over the top in its sexuality. That's intentional, I'm sure, and Park never coddles his audience with what he's showing as far as sexuality; the two main women of the film, the handmaiden and her master/mistress or what have you, end up having an emotional connection and this leads to a sexual one. This has the most graphic lesbian sexuality on screen since Blue is the Warmest Color, but here the rawness is matched by the elegance of Park's direction, and while you get to see much of it, only some of it (but there *is* some) that is gratuitous. Otherwise, this is a story of backstabbing and betrayal, but all of it leading up to being in the larger sense about how people fit in to the circumstances they are in, how they have to not simply play but BECOME the characters they're playing - and how these images flip based on perceptions and how we see the scenes.Here's where I may become less articulate in my criticism: the film is in three parts, and I forgot about there being 'parts' as I was so into the film during its first part. There is a major betrayal, but then the movie goes into a 'Part 2', and it turns into a different story... a VERY different kind of story, and it is one that left me confused at first, left adrift, and only Park's direction kept me afloat. As Part 2 went on I got into the movie more, though you have to be prepared for scenes from part 1 being repeated - and whether this becomes tedious will vary depending on the viewer. Nothing is ever not gorgeous to look at, and Park is inspired by paintings and art in the real world, and it's completely sumptuous (I'd be rooting for this to win all the costume/production design awards come February), but there comes a point where the filmmakers are showing the 'here's what happened this scene' moments a little too much. I won't reveal why this is done except to say that the characters take on other roles we didn't expect, and their decisions and how they hide parts of their personalities makes for fascinating viewing. Some times.And then it gets to part 3, and the movie goes into being sordid melodrama and not much more. By this time, the filmmakers have to wrap the story up, and show what this man who has been trying to machinate everything for his own ends is met with a nasty fate. Overall there's so much about The Handmaiden to admire, from the performances by Min-hee Kim as Lady Hideko (appearing in part 1 as varieties of cold and distant and then close and warm and terrified in the other parts), Tae-ri Kim (Sookie, who has much to learn about the art of performance, I mean her character not the actress, she's great), and Jung-woo Ha as the 'Count' who has to remain in control for the whole runtime, but gives in to his passions too. And yet I also wonder if a first viewing trying to explain everything how I felt doesn't do the film justice: it moves slower and more languidly than other Park films, so it took longer to get in to, and the themes of conning and performance may be done stronger in any given Quentin Tarantino film (though here done with more taste and intense sexuality - i.e. the scene with the thimball on the tooth).Another viewing may give more, or less. I can tell you now it's worth seeing if you love pure CINEMA, the likes of which get made by directors with a passion for the form and expressing stories of early 20th century sexual excess and emotional f***ed-up ness (it is early 20th century Korea with a major Japanese influence - in that way it'd make a solid double feature with Kim Jee-Woon's Age of Shadows). As for whether it's a great film, I'm not so sure.",will need 2nd viewing i mean that as compliment mostly,handmaiden is film that unfolds with classic film stylist particular i felt like chanwook park was kind brian de palma mode as far as making erotic dramatic thriller with camera that luxuriates long shots elaborate camera movements cinematic grammar that emphasizes operatic intentions though its maybe not first time hes done this anyway is loaded with story what appears be story handmaiden who is put as part long con by man who wants steal this wealthy womans money is actually story about storytelling about weaving pack lies entire personality reality how that can start crack apart when it comes seeing humanity another person their vulnerabilities theres lot going this movie there is lot that is sordid over top its sexuality thats intentional im sure park never coddles his audience with what hes showing as far as sexuality two main women film handmaiden her master mistress or what have you end up having emotional connection this leads sexual one this has most graphic lesbian sexuality screen since blue is warmest color but here rawness is matched by elegance parks direction while you get see much it only some it but there is some that is gratuitous otherwise this is story backstabbing betrayal but all it leading up being larger sense about how people fit circumstances they are how they have not simply play but become characters theyre playing how these images flip based perceptions how we see scenes heres where i may become less articulate my criticism film is three parts i forgot about there being parts as i was so into film during its first part there is major betrayal but then movie goes into part 2 it turns into different story very different kind story it is one that left me confused at first left adrift only parks direction kept me afloat as part 2 went i got into movie more though you have be prepared scenes part 1 being repeated whether this becomes tedious will vary depending viewer nothing is ever not gorgeous look at park is inspired by paintings art real world its completely sumptuous id be rooting this win all costume production design awards come february but there comes point where filmmakers are showing heres what happened this scene moments little too much i wont reveal why this is done except say that characters take other roles we didnt expect their decisions how they hide parts their personalities makes fascinating viewing some times then it gets part 3 movie goes into being sordid melodrama not much more by this time filmmakers have wrap story up show what this man who has been trying machinate everything his own ends is met with nasty fate overall theres so much about handmaiden admire performances by min hee kim as lady hideko appearing part 1 as varieties cold distant then close warm terrified other parts tae ri kim sookie who has much learn about art performance i mean her character not actress shes great jung woo ha as count who has remain control whole runtime but gives his passions too yet i also wonder if first viewing trying explain everything how i felt doesnt do film justice it moves slower more languidly than other park films so it took longer get themes conning performance may be done stronger any given quentin tarantino film though here done with more taste intense sexuality i e scene with thimball tooth another viewing may give more or less i can tell you now its worth seeing if you love pure cinema likes which get made by directors with passion form expressing stories early 20th century sexual excess emotional f ed up ness it is early 20th century korea with major japanese influence that way itd make solid double feature with kim jee woons age shadows as whether its great film im not so sure,0.49266578483245144,0.12455687830687832,Positive,"{'Happy': 0.12, 'Angry': 0.06, 'Surprise': 0.19, 'Sad': 0.22, 'Fear': 0.42}"
9.0,Maid in Heaven...,"It's a slightly sordid affair, with plenty of flesh that's flayed and bare, but it is worth a look, it deploys quite a hook, to entice, to entangle, ensnare.A magical and mesmerising story that elegantly delivers and bestows; wraps, engulfs, smoothly flows; charms, chastises and glows - all the attributes your most adoring handmaiden should show.",maid heaven,its slightly sordid affair with plenty flesh thats flayed bare but it is worth look it deploys quite hook entice entangle ensnare magical mesmerising story that elegantly delivers bestows wraps engulfs smoothly flows charms chastises glows all attributes your most adoring handmaiden should show,0.5333333333333333,0.2854166666666667,Positive,"{'Happy': 0.27, 'Angry': 0.09, 'Surprise': 0.18, 'Sad': 0.09, 'Fear': 0.36}"
8.0,You gotta hand it to Park Chan-wook,"The Handmaiden is a beautifully told story in a beautifully shot film. Some of it's chosen exterior locations are so captivating and mesmerizing, you almost feel you're there, or wish you were. The actresses are beautiful and perform nothing short of excellent, the young girl (The Handmaiden) especially, such a professionally acted job. You'd expect more so sex scenes, that kind of left me a little downtrodden. The major lesbian one, amidst only a couple of others, in this near two and half hour piece, is one of the hottest and most explicit, I've ever seen, this one again, beautifully shot. The story involves a young girl, a new handmaiden, forced to defraud the wife of the husband, only the young girl falls for the wife, where the story kind of manipulates you, as to where the girl's intentions will lead, where revenge is thrown in too, as we go back in time to an earlier period, involving our young girl, and the wife, where we find ourselves returning to some old scenes, but with added stuff- purpose here. This is one you'd have to watch a couple of times to get the complete picture. Didn't understand the change in color of the subtitles, my only qualm. Acting by all is top notch, and our handmaiden is definitely something to ogle at. A handmaiden who's beautifully made. We too have some violence, and some humorous moments. Hopefully this film will command more attention from moviegoers in Adelaide, as here's one faultless cinematic experience, you should experience, and by no accounts, miss, as it will be your loss. The most impressive thing here though, above everything else here is the filming/photography from obviously a very talented photographer.",you gotta hand it park chan wook,handmaiden is beautifully told story beautifully shot film some its chosen exterior locations are so captivating mesmerizing you almost feel youre there or wish you were actresses are beautiful perform nothing short excellent young girl handmaiden especially such professionally acted job youd expect more so sex scenes that kind left me little downtrodden major lesbian one amidst only couple others this near two half hour piece is one hottest most explicit ive ever seen this one again beautifully shot story involves young girl new handmaiden forced defraud wife husband only young girl falls wife where story kind manipulates you as where girls intentions will lead where revenge is thrown too as we go back time earlier period involving our young girl wife where we find ourselves returning some old scenes but with added stuff purpose here this is one youd have watch couple times get complete picture didnt understand change color subtitles my only qualm acting by all is top notch our handmaiden is definitely something ogle at handmaiden whos beautifully made we too have some violence some humorous moments hopefully this film will command more attention moviegoers adelaide as heres one faultless cinematic experience you should experience by no accounts miss as it will be your loss most impressive thing here though above everything else here is filming photography obviously very talented photographer,0.59366391184573,0.3069249311294765,Positive,"{'Happy': 0.21, 'Angry': 0.05, 'Surprise': 0.26, 'Sad': 0.21, 'Fear': 0.26}"
9.0,Park Chan-wook crafts another masterpiece!,"When going into a movie by one of your favorite directors, it is easy to set high expectations. Rarely does the film fully meet those expectations, but when it does it is something special. Such is the case with Park Chan-wook's The Handmaiden (Mademoiselle). He has crafted an intricately woven tale of love and betrayal that highlights everything he can do so well from heightened sexual tension to gorgeous imagery. The film, which is an adaptation of the novel The Fingersmith, revolves around a woman who is hired as a handmaiden to a Japanese heiress. This is the very basic summary to a film that has a lot of depth underneath the surface and requires the audience's attention throughout the film. And as the plot goes on we discover the newly hired handmaiden may have some ulterior motives along with many of the other characters. Nothing is revealed too quickly and the film is split into a three-part structure that slowly pieces things together through flashbacks. It also uses a storytelling device that is typically owned by Tarantino where the same scene is shown from multiple perspectives and each adds a new layer to the story. All of these devices are used to full effect and create surprising twists on par with Park Chan-wook's Oldboy.What is immediately apparent from the start of the film is how well Park Chan-wook's aesthetic fits into the time period. His eye for gorgeous shots and camera angles makes the house in the film look like a work of art. The grounds around the house are also highlighted so well. Wide shots and lingering camera movements let you appreciate every little detail on screen and marvel at the beauty of it all. The score also fits in perfectly with the time period. It is never bombastic and always subtle, and perfectly captures the mood and feeling of each scene. Whether an intimate moment between the two women or a heated exchange between characters it's hard to realize how great the score is because of how organic it feels. Framing is also a very important addition to the story. Through the use of mirrors and reflections, Park Chan-wook suggests the double-sided nature of the characters. Also, he often obstructs part of the frame with an object and hides characters behind walls or glass to suggest we may not really see everything that is going on before us. This aspect of the film in particular I feel will only get better with subsequent viewing when you can understand all of characters motivations and desires. One thing that Park Chan-wook did so well with Stoker was creating a palpable feeling of sexual tension without using nudity or anything overtly sexual. In this film he succeeds with that throughout the entire film. Every look and every glance the two woman share conveys a longing and desire that permeates the whole film. In this film however, he continues that passion past suggestion into full on sex. There are multiple scenes with extended nudity but they are all filmed so artfully and sympathetically it always feels warranted. The scenes never feel awkward or exploitative and always are tasteful and almost poetic. Somehow despite what I was watching I still found myself admiring the camera-work and beautiful cinematography. One thing that surprised me in the film and I have not seen in Park Chan-wook's other work is the humor. It was never slapstick and usually more circumstantial, but the whole audience laughed out loud on numerous occasions. He showed a surprisingly great understanding of timing and every joke landed. One scene in particular dealt with suicide and could have come across as insensitive or callous. Due to the perfect timing, it was hilarious and even further developed the relationship between the characters. During the last act of the film, it does get unusually violent. There is a torture scene that seems out of place with the rest of the film. Though effective in its own right and thoroughly thrilling, it didn't sit right with me due to how subtle the rest of the film had been. This is a film that really stays with you and will take multiple viewing to really appreciate the complex story. The first film I have seen in a long time where I continued to think about it throughout the day and had multiple conversations about all aspects of the film. With The Handmaiden, Park Chan-wook has crafted a film that fully displays the craft and technical prowess he can show and it includes a story that that only gets better the more you think about it.The Handmaiden (2016) Directed by: Park Chan-wook Screenplay by: Seo-Kyung Chung, Park Chan-wook Starring: Jung-woo Ha, Min-hee Kim, Jin-woong Jo, Tae Ri Kim Run Time: 2 hour 25 minutes",park chan wook crafts another masterpiece,when going into movie by one your favorite directors it is easy set high expectations rarely does film fully meet those expectations but when it does it is something special such is case with park chan wooks handmaiden mademoiselle he has crafted intricately woven tale love betrayal that highlights everything he can do so well heightened sexual tension gorgeous imagery film which is adaptation novel fingersmith revolves around woman who is hired as handmaiden japanese heiress this is very basic summary film that has lot depth underneath surface requires audiences attention throughout film as plot goes we discover newly hired handmaiden may have some ulterior motives along with many other characters nothing is revealed too quickly film is split into three part structure that slowly pieces things together through flashbacks it also uses storytelling device that is typically owned by tarantino where same scene is shown multiple perspectives each adds new layer story all these devices are used full effect create surprising twists par with park chan wooks oldboy what is immediately apparent start film is how well park chan wooks aesthetic fits into time period his eye gorgeous shots camera angles makes house film look like work art grounds around house are also highlighted so well wide shots lingering camera movements let you appreciate every little detail screen marvel at beauty it all score also fits perfectly with time period it is never bombastic always subtle perfectly captures mood feeling each scene whether intimate moment between two women or heated exchange between characters its hard realize how great score is because how organic it feels framing is also very important addition story through use mirrors reflections park chan wook suggests double sided nature characters also he often obstructs part frame with object hides characters behind walls or glass suggest we may not really see everything that is going before us this aspect film particular i feel will only get better with subsequent viewing when you can understand all characters motivations desires one thing that park chan wook did so well with stoker was creating palpable feeling sexual tension without using nudity or anything overtly sexual this film he succeeds with that throughout entire film every look every glance two woman share conveys longing desire that permeates whole film this film however he continues that passion past suggestion into full sex there are multiple scenes with extended nudity but they are all filmed so artfully sympathetically it always feels warranted scenes never feel awkward or exploitative always are tasteful almost poetic somehow despite what i was watching i still found myself admiring camera work beautiful cinematography one thing that surprised me film i have not seen park chan wooks other work is humor it was never slapstick usually more circumstantial but whole audience laughed out loud numerous occasions he showed surprisingly great understanding timing every joke landed one scene particular dealt with suicide could have come across as insensitive or callous due perfect timing it was hilarious even further developed relationship between characters during last act film it does get unusually violent there is torture scene that seems out place with rest film though effective its own right thoroughly thrilling it didnt sit right with me due how subtle rest film had been this is film that really stays with you will take multiple viewing really appreciate complex story first film i have seen long time where i continued think about it throughout day had multiple conversations about all aspects film with handmaiden park chan wook has crafted film that fully displays craft technical prowess he can show it includes story that that only gets better more you think about it handmaiden 2016 directed by park chan wook screenplay by seo kyung chung park chan wook starring jung woo ha min hee kim jin woong jo tae ri kim run time 2 hour 25 minutes,0.5292656864208588,0.19360688162412285,Positive,"{'Happy': 0.15, 'Angry': 0.08, 'Surprise': 0.19, 'Sad': 0.18, 'Fear': 0.4}"
