Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,My favorite film from Pixar in over five years- Bird and company produce a triumph of a family film,"Writer-director Brad Bird here has something that I was caught off-guard by just a bit. I always expect Pixar films to be above-par, family entertainment, the kinds of films that can have an appeal to adults on a satirical, jab-in-the-side effect by having the characters reacting to each other as they would on a film with a higher rating, whilst giving the bright colors, action, and silliness that appeals to kids. Watching The Incredibles, their sixth feature-length offering, I wasn't so entertained and amused since their 98 film A Bug's Life, and it almost brought me back to the emotional impact I felt when in the theater for the first time getting Toy Story into my system. It's a film that takes on a type in society that we all know well (in the past they've done toys, bugs, monsters, undersea life, and now comic book archetypes) and transforms it superbly to the imaginative computer-animated landscape. This is also in credit due to Brad Bird, who proved five years ago with his sleeper The Iron Giant that he could transcend the genre and appeal with heart and vigor for almost every age bracket.So what little touches make The Incredibles so appealing? How it starts to deconstruct the idea of a superhero, perhaps, as well as how the family unit is shown in the usual conventions under unusual and funny circumstances. As an example, one of our heroes Mr. Incredible, a.k.a. Bob Parr (voiced wonderfully by Craig T. Nelson), goes to visit a woman who fixes and creates the uniforms of superheroes. In one scene she explains why a cape is not a good idea. This is the kind of scene that might not make it into most Hollywood movies, and would sometimes if not often be discredited as being too 'smart' for kids to get. But by appealing to a kind of level late teens and adults can relate to, it reaches a higher, far more intelligent plane. In fact, many of the best scenes in the film take on what we all know in films displaying the 'family unit' and morph it with the power and imagination of superheroes.I won't go too much into the plot as some may already have, except to say that what makes the story in and of itself appealing is how it is a fully formed story, and doesn't try and sell itself short like other animated films (i.e. Sharktale for example). It also uses it's PG-rating perimeter wisely, and Bird and company create action sequences that are as exciting, if not more so, than in the action films that have been released this year (in fact, some of the scenes in the climax, for my money, could rival a couple of those in Spider-Man 2). By setting up the right emotional bases with the characters- Bob, his wife Elasti-girl (Holly Hunter), their kids, and with supporting characters voiced finitely by the likes of Samuel L. Jackson and Jason Lee, by the time the high-charged, internally fantasy scenes take off, they take off with great conviction and excitement.Overall, The Incredibles is a film that is, in a way, what audiences wish they could get and rarely do- it's a film with wit and observance, a kind of video-game where the results are not as expectable as can be. Some kids may not get it as much as adults might, which is just as well, as it sometimes operates on a level like Antz did, only through the sphere of Disney. In other words, if you say the teaser trailer, which involved the out-of-shape Mr. Incredible trying with all his might to buckle his tights, you'll know what the film could bring. Personally, I can't wait to see it again.",my favorite film pixar over five years bird company produce triumph family film,writer director brad bird here has something that i was caught off guard by just bit i always expect pixar films be above par family entertainment kinds films that can have appeal adults satirical jab side effect by having characters reacting each other as they would film with higher rating whilst giving bright colors action silliness that appeals kids watching incredibles their sixth feature length offering i wasnt so entertained amused since their 98 film bugs life it almost brought me back emotional impact i felt when theater first time getting toy story into my system its film that takes type society that we all know well past theyve done toys bugs monsters undersea life now comic book archetypes transforms it superbly imaginative computer animated landscape this is also credit due brad bird who proved five years ago with his sleeper iron giant that he could transcend genre appeal with heart vigor almost every age bracket so what little touches make incredibles so appealing how it starts deconstruct idea superhero perhaps as well as how family unit is shown usual conventions under unusual funny circumstances as example one our heroes mr incredible k bob parr voiced wonderfully by craig t nelson goes visit woman who fixes creates uniforms superheroes one scene she explains why cape is not good idea this is kind scene that might not make it into most hollywood movies would sometimes if not often be discredited as being too smart kids get but by appealing kind level late teens adults can relate it reaches higher far more intelligent plane fact many best scenes film take what we all know films displaying family unit morph it with power imagination superheroes i wont go too much into plot as some may already have except say that what makes story itself appealing is how it is fully formed story doesnt try sell itself short like other animated films i e sharktale example it also uses its pg rating perimeter wisely bird company create action sequences that are as exciting if not more so than action films that have been released this year fact some scenes climax my money could rival couple those spider man 2 by setting up right emotional bases with characters bob his wife elasti girl holly hunter their kids with supporting characters voiced finitely by likes samuel l jackson jason lee by time high charged internally fantasy scenes take off they take off with great conviction excitement overall incredibles is film that is way what audiences wish they could get rarely do its film with wit observance kind video game where results are not as expectable as can be some kids may not get it as much as adults might which is just as well as it sometimes operates level like antz did only through sphere disney other words if you say teaser trailer which involved out shape mr incredible trying with all his might buckle his tights youll know what film could bring personally i cant wait see it again,0.5457224958949096,0.2409051724137931,Positive,"{'Happy': 0.14, 'Angry': 0.12, 'Surprise': 0.23, 'Sad': 0.17, 'Fear': 0.33}"
10.0,One of the best films ever made,"17 years after incredibles was released, it continues to be a compelling, entertaining, funny, smart, ambitious, original, mature and just simply enjoyable movie. The dialogue is exceptional and the animation holds up surprisingly well. The characters are well written and very fleshed out. It is an animated film about superheroes and yet the chatacters and world feel so real.It is my favourite pixar film and probably always will be. If you haven't seen this masterpiece yet, stop reading this review and go watch it right now. Infact, even if you've seen it before, just watch it right now. It is that freaking good.",one best films ever made,17 years after incredibles was released it continues be compelling entertaining funny smart ambitious original mature just simply enjoyable movie dialogue is exceptional animation holds up surprisingly well characters are well written very fleshed out it is animated film about superheroes yet chatacters world feel so real it is my favourite pixar film probably always will be if you havent seen this masterpiece yet stop reading this review go watch it right now infact even if youve seen it before just watch it right now it is that freaking good,0.5758928571428571,0.40796130952380955,Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.35, 'Sad': 0.24, 'Fear': 0.24}"
,"A Truly, Pardon the Pun, Incredible Movie","This is one of the finest animated films I have ever seen. Not only is it a fine animated film, it is a great film period. The film obviously takes its cue from several real life super hero comic books, especially The Fantastic Four and the Justice Society of America. The Fantastic Four comparison is obvious due to the fact that Elatigirl and Violet were obviously inspired by Mr. Fantastic (aka. Reed Richards) and the Invisible Woman (aka. Sue Storm Richards) respectively. The J.S.A. influence is a little more obscure. Several years ago, DC Comics issued a mini-series that attempted to explain the demise of the Justice Society by claiming that the group was forced to disband after their loyalty to America was questioned during the 1950's. In this film, all the heroes were forced into hiding after the government refused to pay for wrongful legal claims brought against the super heroes of this film. Also, there are many in jokes that the casual viewer might not get, but that made it enjoyable for comic book fans. This the island scenes look as if they could have been inspired by many of the series produced by Gerry Anderson of the 1960's (eg. the Thunderbirds and Captain Scarlet).Another thing that made this film unique was its look. If you notice, the city where the story takes place looks like a fairly modern metropolis. However, if you look at the cars in the film, most of them look as if they would have been more at home in the mid to late 1960's. Also, the way that many of the characters were dressed also could have put them in that time.However, the thing that I really loved about this film was the fact that even though it was geared primarily to children, it was dark enough in theme to appeal to adults. In fact, there are a couple of scenes that you wouldn't normally associate with a film geared towards children.This film is definitely a classic of animation and once again Pixar shows why they are the masters of computer animation.",truly pardon pun incredible movie,this is one finest animated films i have ever seen not only is it fine animated film it is great film period film obviously takes its cue several real life super hero comic books especially fantastic four justice society america fantastic four comparison is obvious due fact that elatigirl violet were obviously inspired by mr fantastic aka reed richards invisible woman aka sue storm richards respectively j s influence is little more obscure several years ago dc comics issued mini series that attempted explain demise justice society by claiming that group was forced disband after their loyalty america was questioned during 1950s this film all heroes were forced into hiding after government refused pay wrongful legal claims brought against super heroes this film also there are many jokes that casual viewer might not get but that made it enjoyable comic book fans this island scenes look as if they could have been inspired by many series produced by gerry anderson 1960s eg thunderbirds captain scarlet another thing that made this film unique was its look if you notice city where story takes place looks like fairly modern metropolis however if you look at cars film most them look as if they would have been more at home mid late 1960s also way that many characters were dressed also could have put them that time however thing that i really loved about this film was fact that even though it was geared primarily children it was dark enough theme appeal adults fact there are couple scenes that you wouldnt normally associate with film geared towards children this film is definitely classic animation once again pixar shows why they are masters computer animation,0.5132113821138211,0.21737804878048783,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.24, 'Sad': 0.27, 'Fear': 0.22}"
9.0,Charming and fun,"Shortly after Dreamworks screwed up with the uninspired ""Shark Tale"", Pixar contains its remarkably success story with ""The Incredibles"". And while I have to say that I liked ""Finding Nemo"" a bit better, ""The Incredibles"" is still an amazing movie.First of all, this is because it's funny. It's not so funny that you're constantly laughing out loud, but there are more than enough good jokes in the movie to keep you entertained, and it's full of good observations about superhero movies (note all the ridiculous superhero and villain names) and references to other movies. It's also a brilliant James Bond spoof/homage, containing all the gadgets, secret island bases and crazy schemes that made early Bond movies so much fun.Secondly, this movie has heart and charm in droves. It's full of memorably and likable characters you can really identify with and care about. Characters like Edna are instant classics. The voice acting is universally excellent, but Holly Hunter steals the show as Elastigirl. This is a movie that doesn't need toilet humor, characters modeled like celebrities, or a ""hip"" soundtrack...it easily succeeds on charm and style alone.Also, I found it to be a surprisingly good action movie. The plentiful action sequences are full of energy, extremely fast-paced, and exciting, and put many a live-action movie to shame.Finally, I also liked the tone and message of the movie. ""The Incredibles"" basically makes a plea against mediocrity, breaking with the politically correct idea that ""everybody is special"" (and thus nobody really is), and encouraging people to use the talents they have been given. I think this couldn't be more true. Not all people are equally talented (just compare Pixar to Dreamworks), but this is no reason to keep the talented people from not reaching their full potential just because it makes the less talented ones feel bad.""The Incredibles"", while maybe not as hilarious as I had hoped (though it's still very funny), is nonetheless an extremely entertaining movie, that manages to charm you wit its combination of great characters, lots of style, tongue-in-cheek attitude and good message. Highly recommended.****1/2 of ***** stars",charming fun,shortly after dreamworks screwed up with uninspired shark tale pixar contains its remarkably success story with incredibles while i have say that i liked finding nemo bit better incredibles is still amazing movie first all this is because its funny its not so funny that youre constantly laughing out loud but there are more than enough good jokes movie keep you entertained its full good observations about superhero movies note all ridiculous superhero villain names references other movies its also brilliant james bond spoof homage containing all gadgets secret island bases crazy schemes that made early bond movies so much fun secondly this movie has heart charm droves its full memorably likable characters you can really identify with care about characters like edna are instant classics voice acting is universally excellent but holly hunter steals show as elastigirl this is movie that doesnt need toilet humor characters modeled like celebrities or hip soundtrack it easily succeeds charm style alone also i found it be surprisingly good action movie plentiful action sequences are full energy extremely fast paced exciting put many live action movie shame finally i also liked tone message movie incredibles basically makes plea against mediocrity breaking with politically correct idea that everybody is special thus nobody really is encouraging people use talents they have been given i think this couldnt be more true not all people are equally talented just compare pixar dreamworks but this is no reason keep talented people not reaching their full potential just because it makes less talented ones feel bad incredibles while maybe not as hilarious as i had hoped though its still very funny is nonetheless extremely entertaining movie that manages charm you wit its combination great characters lots style tongue cheek attitude good message highly recommended 1 2 stars,0.5546630036630039,0.26031035631035626,Positive,"{'Happy': 0.22, 'Angry': 0.04, 'Surprise': 0.26, 'Sad': 0.2, 'Fear': 0.28}"
10.0,"Wonderful, beautiful to watch, all in all, incredible.","WOW! What a movie. I can honestly say this is in my top ten movies of all time, how do Pixar continue to out do themselves at every movie release?The Incredibles is a fantastic story, wonderfully scripted and with the most stunning animation you have ever seen, it provides a perfectly rounded story with plenty of action, laughs and (almost) tears.Basically, this is a story of a man encountering a mid life crisis and leaping headlong into it without a care or a thought for his family, proving exceedingly selfish and failing to see the good in his life. Meanwhile the wife is left to try and look after the family. Really, that's the story. Now, what Pixar have done is drop in the idea that the parents are Superheroes, banned from being Super many years previously by the Government and the people, trying to live a normal life. Add to the mix that some of their children have inherited their own powers and that the Super villains are planning a comeback, and you have this wonderful movie.I can't begin to convey how wonderful the animation is, it's perfect. I mean you'll always be looking at it knowing it's animation, but when the story takes you along you'll suddenly realize you're still watching animation. The subtle difference is that you forget, and there are parts (for instance when the father is cheering his son during the race) that you actually think it is real. The effects for water, fire (two of the hardest things to recreate in animation) and lava are wonderful to watch and caught me drawing a breath when I first saw them.The characters and acting are wonderful, and you will find yourself caring about them as real people. At some points I could feel a big swallow coming up and a wavering adams apple, obviously due to the food earlier, nothing to do with the movie.I often find that movies aren't paced well, that they either have too long or too short an introduction to the characters, or the events that lead up to the pivotal point of the movie are unbalanced against the climax, all sorts of combinations. Not here, this move is perfect and well balanced, the story takes you along just when you are ready, and there were no points where I wished we could move on, or something could happen quicker. My only frustration were at the kids, and this was only because they were behaving exactly as real kids would.It was interesting to see the comparisons and links to other famous Superheroes through comic-lore. Definitely with nods to The Fantastic Four, Silver Surfer and huge nods to The Watchmen. My only concern is that there is so much similarity to The Watchmen that those who haven't read the graphic novel will be saying ""That's the Incredibles movie"" when Watchmen finally comes to fruition.The short film showing before this was wonderful in itself, and had the audience laughing out loud loads. Excellent, and once again, outdoes every short that they've produced before. Boundin' was beautifully animated and wonderfully told. Guaranteed to bring a huge big smile to your face.All in all I think this movie is perfect and truly incredible.",wonderful beautiful watch all all incredible,wow what movie i can honestly say this is my top ten movies all time how do pixar continue out do themselves at every movie release incredibles is fantastic story wonderfully scripted with most stunning animation you have ever seen it provides perfectly rounded story with plenty action laughs almost tears basically this is story man encountering mid life crisis leaping headlong into it without care or thought his family proving exceedingly selfish failing see good his life meanwhile wife is left try look after family really thats story now what pixar have done is drop idea that parents are superheroes banned being super many years previously by government people trying live normal life add mix that some their children have inherited their own powers that super villains are planning comeback you have this wonderful movie i cant begin convey how wonderful animation is its perfect i mean youll always be looking at it knowing its animation but when story takes you along youll suddenly realize youre still watching animation subtle difference is that you forget there are parts instance when father is cheering his son during race that you actually think it is real effects water fire two hardest things recreate animation lava are wonderful watch caught me drawing breath when i first saw them characters acting are wonderful you will find yourself caring about them as real people at some points i could feel big swallow coming up wavering adams apple obviously due food earlier nothing do with movie i often find that movies arent paced well that they either have too long or too short introduction characters or events that lead up pivotal point movie are unbalanced against climax all sorts combinations not here this move is perfect well balanced story takes you along just when you are ready there were no points where i wished we could move or something could happen quicker my only frustration were at kids this was only because they were behaving exactly as real kids would it was interesting see comparisons links other famous superheroes through comic lore definitely with nods fantastic four silver surfer huge nods watchmen my only concern is that there is so much similarity watchmen that those who havent read graphic novel will be saying thats incredibles movie when watchmen finally comes fruition short film showing before this was wonderful itself had audience laughing out loud loads excellent once again outdoes every short that theyve produced before boundin was beautifully animated wonderfully told guaranteed bring huge big smile your face all all i think this movie is perfect truly incredible,0.6308449074074073,0.3491740319865319,Positive,"{'Happy': 0.12, 'Angry': 0.05, 'Surprise': 0.39, 'Sad': 0.19, 'Fear': 0.24}"
10.0,"Dahling, dahling, dahling.... this movie is incredible","I hope that this movie does really well because this has to be one of the best animated movies I have ever seen. The story is really cool and it's obvious that there is a lot of respect here for the source of superheroes, whether it be comic books, serial flicks or Saturday morning cartoons.The movie has an undeniably cool retro feel to it and it shows not only in the design of the picture but also in the music, which definitely sounds like something out of a 60's 007 flick. It is also unusually dark, especially for a Pixar flick. I'm not saying it's dark where people are getting their heads delivered to someone in a box or family members are sleeping with each other or anything like that but there were moments where I found myself wondering if a little kid might be able to deal with the intensity of what was going on on screen. Maybe it was the fact that the heroes were in very real danger most of the time. The bad guys weren't out to catch them as much as they were out to kill them. When you discover who the film's villain is, you can literally feel his anger coming off the screen. I may be over-exaggerating a bit but then again, it really is to the film's credit that it deals with human emotions in the way that it does.Even though you are watching a film that is populated by CGI characters, the emotions they convey in what they say and do come across as purely believable. Whether watching Bob Parr interact with people at his job or just sitting at his desk was something that rang true to me, just in the feeling of it. Everything about this movie has a very concrete feel to it, even while looking like something you'd see in a comic book. The computer graphics in general were absolutely amazing and the voice acting is excellent across the board, so good in fact, that I really can't pick a favorite from the entire cast. I have to say that Craig T. Nelson and Holly Hunter were very good as Mr. Incredible and Elastigirl respectively. They had a moment near the end of the film that actually touched me but you can see that for yourselves. Samuel L. Jackson was hilarious and thankfully, he wasn't overused. Dash and Violet were realized so well that every time they came up on screen, I loved every minute of it. Dash, in particular was one of the funniest characters in the movie. Jason Lee made for a formidable villain as Syndrome. I loved the fact that he was your typical antagonist but was also aware of the conventions surrounding such a role, like when he chides himself for 'monologuing'. He was also one ruthless bastard, I'll give him that. Even the bit part characters were hilarious. There was a kid on a tricycle in this movie who comes out twice and made me laugh out loud both times. In fact, this movie reminds me of why I like Finding Nemo over Monsters, Inc. In Finding Nemo, not only are the main characters great but every other character they run into makes some kind of impression on you. Remember all the characters that Marlin and Dory ran into on their adventures together? Of course you do. Whether it was that crazy pelican with the Australian accent, Willem Dafoe as Gill, leader of the fishtank crew, or Bruce the Shark, you remember them after all is said and done and it makes the viewing experience that much richer. That's exactly how The Incredibles is. Every character that appears will make you laugh or intrigue you in some way. I have to admit that I was laughing myself throughout the entire movie, especially with the character of Edna Mode who almost steals the movie. Man, even the end credits are awesome! I have to give the director Brad Bird a big thumbs up for this one. He pulled it off and hopefully this will attract attention to his other animated film, ""The Iron Giant"", which was sadly overlooked when it was released and is also a really great film.All in all, I can't recommend this movie enough. I left very satisfied and felt no need to compare this to the rest of Pixar's movies. This one is just as good if not better than any other animated movie released this year and rightfully deserves its place among the best animated movies of all time.RATING: ***** out of *****.",dahling dahling dahling this movie is incredible,i hope that this movie does really well because this has be one best animated movies i have ever seen story is really cool its obvious that there is lot respect here source superheroes whether it be comic books serial flicks or saturday morning cartoons movie has undeniably cool retro feel it it shows not only design picture but also music which definitely sounds like something out 60s 007 flick it is also unusually dark especially pixar flick im not saying its dark where people are getting their heads delivered someone box or family members are sleeping with each other or anything like that but there were moments where i found myself wondering if little kid might be able deal with intensity what was going screen maybe it was fact that heroes were very real danger most time bad guys werent out catch them as much as they were out kill them when you discover who films villain is you can literally feel his anger coming off screen i may be over exaggerating bit but then again it really is films credit that it deals with human emotions way that it does even though you are watching film that is populated by cgi characters emotions they convey what they say do come across as purely believable whether watching bob parr interact with people at his job or just sitting at his desk was something that rang true me just feeling it everything about this movie has very concrete feel it even while looking like something youd see comic book computer graphics general were absolutely amazing voice acting is excellent across board so good fact that i really cant pick favorite entire cast i have say that craig t nelson holly hunter were very good as mr incredible elastigirl respectively they had moment near end film that actually touched me but you can see that yourselves samuel l jackson was hilarious thankfully he wasnt overused dash violet were realized so well that every time they came up screen i loved every minute it dash particular was one funniest characters movie jason lee made formidable villain as syndrome i loved fact that he was your typical antagonist but was also aware conventions surrounding such role like when he chides himself monologuing he was also one ruthless bastard ill give him that even bit part characters were hilarious there was kid tricycle this movie who comes out twice made me laugh out loud both times fact this movie reminds me why i like finding nemo over monsters inc finding nemo not only are main characters great but every other character they run into makes some kind impression you remember all characters that marlin dory ran into their adventures together course you do whether it was that crazy pelican with australian accent willem dafoe as gill leader fishtank crew or bruce shark you remember them after all is said done it makes viewing experience that much richer thats exactly how incredibles is every character that appears will make you laugh or intrigue you some way i have admit that i was laughing myself throughout entire movie especially with character edna mode who almost steals movie man even end credits are awesome i have give director brad bird big thumbs up this one he pulled it off hopefully this will attract attention his other animated film iron giant which was sadly overlooked when it was released is also really great film all all i cant recommend this movie enough i left very satisfied felt no need compare this rest pixars movies this one is just as good if not better than any other animated movie released this year rightfully deserves its place among best animated movies all time rating out,0.5515570175438597,0.2005811403508772,Positive,"{'Happy': 0.16, 'Angry': 0.03, 'Surprise': 0.28, 'Sad': 0.2, 'Fear': 0.33}"
10.0,Truly Incredible,"I finally saw Pixar/Disney's ""The Incredibles"" after several scheduling glitches. Writer and Director Brad Bird's ""The Incredibles"" is truly incredible. It is one of the best movies of the year. The CGI animation is both cutting edge and simply stunning, and like all Pixar projects it has a solid story as it's foundation. Bird uses the Superhero mythology to tell a funny and poignant story: that when we forfeit or withhold our greatness, we are not being true to ourselves, and more importantly it is a disservice to those around us. As the story begins, Mr. Incredible (Craig T. Nelson) was the superhero's Superhero. As voiced by Nelson, Mr. Incredible, is very confident, on the verge of cocky. He uses his super strength and powers for good. He marries super, Elasticgirl (Holly Hunter). However, Mr. Incredible soon falls victim like his fellow ""Supers"" to the plight of our litigious society-- the people they save are suing them. Instead of getting malpractice insurance (which would have been a different movie), the persecuted... and prosecuted Supers assume their secret identities in a covert government relocation program. They also promise never to use their powers again even for good.We catch up 15 years later with Mr. Incredible, now just Bob Parr, insurance claim adjuster. He is suffering. His wife Helen, the former Elasticgirl, is busy getting settled in their new home with their kids, Violet (Sarah Vowell), Dash (Spencer Fox), and little Jack Jack. Violet and Dash have super powers, and Jack Jack is not yet toilet trained. Bob is totally frustrated by his job, and really the lie he is forced to live. Every week he and fellow Super, Lucius Best aka Frozone (Samuel L. Jackson), on their ""bowling"" night, listen to the police radio band so that they can save people in danger. Mild mannered life is killing Bob. He tells Helen regarding Dash's 4th grade graduation, that they keep ""creating new ways to celebrate mediocrity"".One day Bob is contacted by the mysterious, Mirage (Elizabeth Pena), enlisting his super powers for an undisclosed benefactor. Bob, still super strong, no longer has the six pack abdominals. He proceeds to train and trim the waistline. He sees his suit designer, Edna 'E' Mode (Brad Bird), to fix his super suit. In a hilarious exchange, E enrolls Mr. Incredible in a new suit, sans cape. It is disclosed that the benefactor is villain, Syndrome (Jason Lee). Turns out that Mr. Incredible was the one responsible for Syndrome's genesis when he invalidated the young Syndrome 15 years ago. Thus, we have the classic Superhero tale of conflict and revenge.What also distinguishes ""The Incredibles"" along with the story about reclaiming greatness, is that it is about family. In a very touching scene when Mr. Incredible is about to do battle with the seemingly invincible Omnidroid, he admits to Helen ""...I'm not strong enough..."" Having super powers is great. Having the love of family is truly powerful. Craig T. Nelson is perfect as Mr. Incredible. He is bold, funny, and endearingly vulnerable. Holly Hunter is solid and folksy as Helen, who also projects a quiet power. Jason Lee is at his annoying best as Syndrome. Brad Bird as 'E' steals every scene that she is in. Director Brad Bird's ""The Incredibles"" is amazing to look at, and also has something special and touching to say.",truly incredible,i finally saw pixar disneys incredibles after several scheduling glitches writer director brad birds incredibles is truly incredible it is one best movies year cgi animation is both cutting edge simply stunning like all pixar projects it has solid story as its foundation bird uses superhero mythology tell funny poignant story that when we forfeit or withhold our greatness we are not being true ourselves more importantly it is disservice those around us as story begins mr incredible craig t nelson was superheros superhero as voiced by nelson mr incredible is very confident verge cocky he uses his super strength powers good he marries super elasticgirl holly hunter however mr incredible soon falls victim like his fellow supers plight our litigious society people they save are suing them instead getting malpractice insurance which would have been different movie persecuted prosecuted supers assume their secret identities covert government relocation program they also promise never use their powers again even good we catch up 15 years later with mr incredible now just bob parr insurance claim adjuster he is suffering his wife helen former elasticgirl is busy getting settled their new home with their kids violet sarah vowell dash spencer fox little jack jack violet dash have super powers jack jack is not yet toilet trained bob is totally frustrated by his job really lie he is forced live every week he fellow super lucius best aka frozone samuel l jackson their bowling night listen police radio band so that they can save people danger mild mannered life is killing bob he tells helen regarding dashs 4th grade graduation that they keep creating new ways celebrate mediocrity one day bob is contacted by mysterious mirage elizabeth pena enlisting his super powers undisclosed benefactor bob still super strong no longer has six pack abdominals he proceeds train trim waistline he sees his suit designer edna e mode brad bird fix his super suit hilarious exchange e enrolls mr incredible new suit sans cape it is disclosed that benefactor is villain syndrome jason lee turns out that mr incredible was one responsible syndromes genesis when he invalidated young syndrome 15 years ago thus we have classic superhero tale conflict revenge what also distinguishes incredibles along with story about reclaiming greatness is that it is about family very touching scene when mr incredible is about do battle with seemingly invincible omnidroid he admits helen im not strong enough having super powers is great having love family is truly powerful craig t nelson is perfect as mr incredible he is bold funny endearingly vulnerable holly hunter is solid folksy as helen who also projects quiet power jason lee is at his annoying best as syndrome brad bird as e steals every scene that she is director brad birds incredibles is amazing look at also has something special touching say,0.606104481104481,0.30234365859365864,Positive,"{'Happy': 0.12, 'Angry': 0.12, 'Surprise': 0.37, 'Sad': 0.18, 'Fear': 0.22}"
8.0,Good Entertainemt For About Any Age,"This was somewhat of a surprise hit when it came out in 2004. Most of the attention was on a competing animated film but this is the one that turned out to be a huge box-office success. Word of mouth helped his immensely. It's what made me check it out, as several friends recommended it. I wound up agreeing with them: it's excellent entertainment.The visuals and sound are very impressive, but it's the story that carries this film: a solid combination of humor, drama, suspense, family ties and action. The action, as in many modern-day films, was overdone in the last half hour of the movie but overall....the DVD is a good investment since people 3 to 63 should enjoy this.As an adult, it's not always easy to keep my attention for two hours with animation but the fact this movie does, tells you how good the story is presented. There are wonderful colors in here, too, and a good 5.1 surround system with a sub-woofer would probably blow the roof off!",good entertainemt about any age,this was somewhat surprise hit when it came out 2004 most attention was competing animated film but this is one that turned out be huge box office success word mouth helped his immensely its what made me check it out as several friends recommended it i wound up agreeing with them its excellent entertainment visuals sound are very impressive but its story that carries this film solid combination humor drama suspense family ties action action as many modern day films was overdone last half hour movie but overall dvd is good investment since people 3 63 should enjoy this as adult its not always easy keep my attention two hours with animation but fact this movie does tells you how good story is presented there are wonderful colors here too good 5 1 surround system with sub woofer would probably blow roof off,0.46527777777777773,0.37777777777777777,Positive,"{'Happy': 0.26, 'Angry': 0.09, 'Surprise': 0.24, 'Sad': 0.18, 'Fear': 0.24}"
9.0,The Incredibles 2004 Review,"An amazing family film and also one of the best superhero films of all time. Action is amazing, especially in the final act with such a range of powers all used brilliantly. And do I need to say anything about the animation? Pixar just knocks it out of the park every time. The Incredibles is just full of personality and charm, making it endlessly rewatchable.Also we need a Frozone solo movie.",incredibles 2004 review,amazing family film also one best superhero films all time action is amazing especially final act with such range powers all used brilliantly do i need say anything about animation pixar just knocks it out park every time incredibles is just full personality charm making it endlessly rewatchable also we need frozone solo movie,0.6666666666666666,0.3805555555555556,Positive,"{'Happy': 0.08, 'Angry': 0.08, 'Surprise': 0.46, 'Sad': 0.08, 'Fear': 0.31}"
10.0,"Very predictable, but very lovable at the same time","Yes, I've seen this story a million times. I'm also not a very big fan of Disney and Pixar together, but this time they got me hooked. After fearing to rent this, many of my friends convinced me that I should take a look at it. So, I did and feel in love with it.The effects, I feel like today, there are way too many fancy computer effect movies. But it works with ""The Incredibles"" because that's half the humor with it. There are some very reconizable voices in there that you know very well.Is this just a kid's movie? No, it does contain some adult humor. I can see with parents taking their kids to the theater, it has to be somewhat enjoyable to adults too. So as a family or whether you have children or little relatives, I would recommend this movie for you guys. It is very enjoyable and fun to watch.10/10",very predictable but very lovable at same time,yes ive seen this story million times im also not very big fan disney pixar together but this time they got me hooked after fearing rent this many my friends convinced me that i should take look at it so i did feel love with it effects i feel like today there are way too many fancy computer effect movies but it works with incredibles because thats half humor with it there are some very reconizable voices there that you know very well is this just kids movie no it does contain some adult humor i can see with parents taking their kids theater it has be somewhat enjoyable adults too so as family or whether you have children or little relatives i would recommend this movie you guys it is very enjoyable fun watch 10 10,0.41657264957264956,0.2323888888888889,Positive,"{'Happy': 0.32, 'Angry': 0.05, 'Surprise': 0.32, 'Sad': 0.09, 'Fear': 0.23}"
