Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10.0,One of the Most Unique and Beautiful Friendships ever Committed to Film,"Do not look at this through the prism of ""Foreign Films"". You'd be wasting your time and miss something far too important.Hollywood does scale like nobody else, leaving the competition gasping in its wake. France does intimacy, and brutality. Nothing is sacred. And rather than try to revive the New Wave or emulate Hollywood like most widely seen French films of late, ""Intouchables"" harnesses its core strengths - ease with intimacy, willingness to ridicule anything and brutal honesty - and delivers one of the funniest, most honest and touching films I have ever seen.Sy is a failed robber, going through the motions and playing the stereotypical jobless émigré. Cluzet is a romantic and melancholy mind trapped in a useless body. The circumstances that bring them together are too funny to spoil here, but meet they do, and an awkward relationship quickly blossoms as they bring out the best in each other.The film's simplicity is delightfully misleading: the script is a masterpiece of comedy writing, and however good the rest of the cast is, the central duo is magical. Sy's comic timing will have you in stitches, but it is his honesty and vulnerability that make you fall in love with the character. Cluzet isn't your typical sad-sack, instead, much of the finest pleasures in the film consist in watching him use his keen mind to mess with the world around him (a subplot about an abstract painting really takes the biscuit, you'll know it when you see it).This is one of the most unique, beautiful and honest friendships ever committed to film. It will make you laugh, it will make you cry... a delightful celebration of everything in life that makes it worthwhile.",one most unique beautiful friendships ever committed film,do not look at this through prism foreign films youd be wasting your time miss something far too important hollywood does scale like nobody else leaving competition gasping its wake france does intimacy brutality nothing is sacred rather than try revive new wave or emulate hollywood like most widely seen french films late intouchables harnesses its core strengths ease with intimacy willingness ridicule anything brutal honesty delivers one funniest most honest touching films i have ever seen sy is failed robber going through motions playing stereotypical jobless migr cluzet is romantic melancholy mind trapped useless body circumstances that bring them together are too funny spoil here but meet they do awkward relationship quickly blossoms as they bring out best each other films simplicity is delightfully misleading script is masterpiece comedy writing however good rest cast is central duo is magical sys comic timing will have you stitches but it is his honesty vulnerability that make you fall love with character cluzet isnt your typical sad sack instead much finest pleasures film consist watching him use his keen mind mess with world around him subplot about abstract painting really takes biscuit youll know it when you see it this is one most unique beautiful honest friendships ever committed film it will make you laugh it will make you cry delightful celebration everything life that makes it worthwhile,0.5971987315010571,0.2058844256518675,Positive,"{'Happy': 0.17, 'Angry': 0.05, 'Surprise': 0.28, 'Sad': 0.28, 'Fear': 0.22}"
10.0,Touché ...,"In less than two months, ""Untouchable"" became the second most successful French film by number of spectators, such an event by itself that people went then to see it, not because they thought it was good but to see what was so good in it: that's the virtual circle of success. My biggest disappointment in 2011 was with ""The Tree of Life"", a movie I sincerely wanted to love but couldn't, and I left the theater before it ended with a bitter taste of frustration. Proportionally, my greatest positive surprise came with ""Untouchable"" because it was the opposite expectation: I was sure I would dislike it, figuring the movie manipulated viewers through the overused device of the improbable friendship. Why such preconceived negativity? Well, when a young black guy from French suburbs, darkly depicted in Mathieu Kassovitz 'Hate' and infamous for its occasional riots, befriends a rich quadriplegic, I immediately think of 'good feelings', 'mainstream populism'  unaware that I apply to myself a cynical judgment that can undermine my very way to enjoy not just this film, but any film. After all, why getting ready for hatred when it's so relieving to give the benefit of the doubt and get ready for appreciation? Especially since more than 15 millions of French people, from different ages and backgrounds liked it. So, I saw it  and loved it.The story of ""Untouchable"" is the kind of unintentional masterpiece that only movies can provide every once in a while, it has no other pretension than to depict a magnificent and inspiring friendship story starting as a simple job. A young man with a Senegalese background, Omar Sy as Driss, only needs a signature to prove that he attended an interview for a live-in carer job. For some strange reason, Paul, the rich man, played by a wonderful François Cluzet, gives him the job, with a one-month trial period. The reason of this choice is smoothly handled by the script: the film starts with all the job applicants, every one of them unnaturally posing and getting mixed in prepared answers. Then, Driss casually enters, without waiting for his turn or knocking on the door, he's got enough problems to deal with, unemployment, an experience in jail, being a pariah for society, and undesirable even in his own family, especially her adoptive aunt. Driss' attitude pleases Paul, because after his paragliding accident, he can't feel his body from neck to toes, and needs caring almost 24 hours per days and 7 days per week, so he really doesn't have time for bullshit either. And this is a remarkable aspect in the script written by the two directors Eric Toledano and Olivier Nakache: it doesn't waste time cementing the friendship, the two leads rapidly get fond of each other, a feeling illustrated in the poster with both posing with natural smiles. The film shows Omar's struggle to learn how 'needy' Paul is, which provides some priceless comedic moments, but ""Untouchable"" goes immediately to the core, an eye-opening message about the life endured by a handicapped person, making all the wealth in the world pointless and the richness of heart and mind, priceless. Through Driss and Paul's interaction, the film explores the real needs of people in life, respect and understanding, acceptance and love. Maybe if it was handled by other directors, it would have been predictable but in ""Untouchable"", the complicity between the two heroes feels absolutely real. There's one scene when Driss shave the bushy beard of Paul, well, I won't spoil it for you, but the part was a clever mix of realism and comedy because anyone would have done what Driss did at one moment, and that's the secret of the film: it feels real.Some movies can work with a good story but they need good performances, in ""Untouchable"", it's almost impossible to determine who carried the film, both Cluzet and Sy were great. And I don't get the complaints: why they didn't respect the original story where the carer was an Arab, or how they 'sugarcoated' the handicap? I even heard that in America, they were accusing the film of racism because Driss was portrayed as a sort of (I quote) 'helper monkey'? Seriously, this is getting old The way handicap is approached never flirts with an exaggerated pathos, nor the opposite, which is the most intelligent achievement. There's a sort of heart's intelligence in the way Omar teases Cluzet with his own handicap, and the film provides the extraordinary message that pleasure and thrills have unlimited media, whether they come from pot, an ear-massage or even paragliding. Many of Paul's friends criticizes the presence of Driss in Paul's life, but Paul doesn't care: Omar is a man full of life, big, tall and strong, and when he uses violence to teach a man the respect of a parking sign, Paul admits this is the right method. Both are in the same wavelength. I wondered if the title ""Untouchable"" referred to the lowest caste in India, echoing the two men's conditions, both outcasts physically and socially, but I guess, their relationship evolves into a friendship precisely because they're both strong-minded, and together, they become even stronger, until getting untouchables ... in the noblest meaning of the word.There are real people in ""Untouchable"", nothing works as plot devices even if some situations are so cinematically appealing: Omar inviting everybody to dance during Paul's birthday, his learning of the aristocratic world, the art of abstract painting, and the way he breaks the conventions with an unconventional charisma reaches a level of energetic comedy that reminds of the greatest days of Eddie Murphy, with Cluzet as a perfect straight-man not deprived from a sense of humor. ""Untouchable"" is simply an inspiring story of friendship with whatever defines this beautiful virtue. And yes, it's one of the best French films ever, and certainly one of the best of 2011.",touch,less than two months untouchable became second most successful french film by number spectators such event by itself that people went then see it not because they thought it was good but see what was so good it thats virtual circle success my biggest disappointment 2011 was with tree life movie i sincerely wanted love but couldnt i left theater before it ended with bitter taste frustration proportionally my greatest positive surprise came with untouchable because it was opposite expectation i was sure i would dislike it figuring movie manipulated viewers through overused device improbable friendship why such preconceived negativity well when young black guy french suburbs darkly depicted mathieu kassovitz hate infamous its occasional riots befriends rich quadriplegic i immediately think good feelings mainstream populism unaware that i apply myself cynical judgment that can undermine my very way enjoy not just this film but any film after all why getting ready hatred when its so relieving give benefit doubt get ready appreciation especially since more than 15 millions french people different ages backgrounds liked it so i saw it loved it story untouchable is kind unintentional masterpiece that only movies can provide every once while it has no other pretension than depict magnificent inspiring friendship story starting as simple job young man with senegalese background omar sy as driss only needs signature prove that he attended interview live carer job some strange reason paul rich man played by wonderful fran ois cluzet gives him job with one month trial period reason this choice is smoothly handled by script film starts with all job applicants every one them unnaturally posing getting mixed prepared answers then driss casually enters without waiting his turn or knocking door hes got enough problems deal with unemployment experience jail being pariah society undesirable even his own family especially her adoptive aunt driss attitude pleases paul because after his paragliding accident he cant feel his body neck toes needs caring almost 24 hours per days 7 days per week so he really doesnt have time bullshit either this is remarkable aspect script written by two directors eric toledano olivier nakache it doesnt waste time cementing friendship two leads rapidly get fond each other feeling illustrated poster with both posing with natural smiles film shows omars struggle learn how needy paul is which provides some priceless comedic moments but untouchable goes immediately core eye opening message about life endured by handicapped person making all wealth world pointless richness heart mind priceless through driss pauls interaction film explores real needs people life respect understanding acceptance love maybe if it was handled by other directors it would have been predictable but untouchable complicity between two heroes feels absolutely real theres one scene when driss shave bushy beard paul well i wont spoil it you but part was clever mix realism comedy because anyone would have done what driss did at one moment thats secret film it feels real some movies can work with good story but they need good performances untouchable its almost impossible determine who carried film both cluzet sy were great i dont get complaints why they didnt respect original story where carer was arab or how they sugarcoated handicap i even heard that america they were accusing film racism because driss was portrayed as sort i quote helper monkey seriously this is getting old way handicap is approached never flirts with exaggerated pathos nor opposite which is most intelligent achievement theres sort hearts intelligence way omar teases cluzet with his own handicap film provides extraordinary message that pleasure thrills have unlimited media whether they come pot ear massage or even paragliding many pauls friends criticizes presence driss pauls life but paul doesnt care omar is man full life big tall strong when he uses violence teach man respect parking sign paul admits this is right method both are same wavelength i wondered if title untouchable referred lowest caste india echoing two mens conditions both outcasts physically socially but i guess their relationship evolves into friendship precisely because theyre both strong minded together they become even stronger until getting untouchables noblest meaning word there are real people untouchable nothing works as plot devices even if some situations are so cinematically appealing omar inviting everybody dance during pauls birthday his learning aristocratic world art abstract painting way he breaks conventions with unconventional charisma reaches level energetic comedy that reminds greatest days eddie murphy with cluzet as perfect straight man not deprived sense humor untouchable is simply inspiring story friendship with whatever defines this beautiful virtue yes its one best french films ever certainly one best 2011,0.5452579202579202,0.23844867594867591,Positive,"{'Happy': 0.23, 'Angry': 0.03, 'Surprise': 0.17, 'Sad': 0.21, 'Fear': 0.36}"
10.0,"A magnificent, sensitive movie","It's not because I'm French that I appreciated this movie which I've seen twice. Too give the really infamous appreciation of the reader from Toronto to the French public, qualifying us of a segregationist country is difficult to gulp especially coming from north America which has not a very glorious past on the matter even in recent years. Perhaps the commentator should see the movie ""The help"" to refresh his memory... But what I'd like to say here apart of praising the fabulous interpretation of both leading actors is to remind that this is a true story, it did not come out from the directors and scriptwriter heads.Philippe Pozzo Di Borgo born in 51, got a dramatic para-glider accident in the French Alps in 1993 being totally deprived of movements from the base of his neck to the tip of his feet. 3 Years later his wife died and he was helped out of his depression by Abdel Sellou his life-aid assistant. He published his terrible story in 2001 under the title ""the second breath"" (in French ""Le second soufflé""). The directors have had the compliments of Di Borgo for the way they adapted his story. If in any way this was biased he would never had accepted the film to be left in that state. The Di Borgo family is a very old and wealthy family whose origins goes far back in the history of France, and their residence in Paris is considered to be one the jewels of the capital at the same level as The Hotel de Sully in Paris. What is shown in the film is exactly what happens everywhere in the world as far as handicapped are concerned: tendency to overwhelm them with pity which is more diminishing them as if their fate is not enough for them to swallow every minute or second each day. The way the racial problem is viewed is properly demonstrated. The police behaves in different ways depending of the color of your skin or your country's origin and sorry to say North America is a very good example of this so perhaps is not a proper judge on this matter.The authors had the courage to state this straightforwardly. The film shows on the contrary how a man with a very limited education at the beginning, a former convict, is capable progressively to change his views, and find in himself at the same time the good Samaritan aspects and help with humor and punch, his handicapped boss to find a new belief in his shattered life at 42! At the same time the boss demonstrates an open-mindedness which was not obvious to get not only because of his handicap but because of his origins and his wealth at first. Let's not illusion ourselves on the matter, everywhere in the world few wealthy people would accept to have as an aid an ex convict whichever color his skin should be! It's a fantastic lesson of tolerance, and friendship. For just those reason this movie would deserve an Oscar or Golden Globe awards.09/07/2013 : I've just seen that under ""Crazy credits"" is mentioned that 5% of the revenues of the film will go to an institutions caring for disabled persons. I just don't see what's crazy about that! I find this kind of remark particularly shocking and insulting both for the producers and the actors especially in this case where the story told is a true one.I suggest the administrator to delete that remark or change its qualification.",magnificent sensitive movie,its not because im french that i appreciated this movie which ive seen twice too give really infamous appreciation reader toronto french public qualifying us segregationist country is difficult gulp especially coming north america which has not very glorious past matter even recent years perhaps commentator should see movie help refresh his memory but what id like say here apart praising fabulous interpretation both leading actors is remind that this is true story it did not come out directors scriptwriter heads philippe pozzo di borgo born 51 got dramatic para glider accident french alps 1993 being totally deprived movements base his neck tip his feet 3 years later his wife died he was helped out his depression by abdel sellou his life aid assistant he published his terrible story 2001 under title second breath french le second souffl directors have had compliments di borgo way they adapted his story if any way this was biased he would never had accepted film be left that state di borgo family is very old wealthy family whose origins goes far back history france their residence paris is considered be one jewels capital at same level as hotel de sully paris what is shown film is exactly what happens everywhere world as far as handicapped are concerned tendency overwhelm them with pity which is more diminishing them as if their fate is not enough them swallow every minute or second each day way racial problem is viewed is properly demonstrated police behaves different ways depending color your skin or your countrys origin sorry say north america is very good example this so perhaps is not proper judge this matter authors had courage state this straightforwardly film shows contrary how man with very limited education at beginning former convict is capable progressively change his views find himself at same time good samaritan aspects help with humor punch his handicapped boss find new belief his shattered life at 42 at same time boss demonstrates open mindedness which was not obvious get not only because his handicap but because his origins his wealth at first lets not illusion ourselves matter everywhere world few wealthy people would accept have as aid ex convict whichever color his skin should be its fantastic lesson tolerance friendship just those reason this movie would deserve oscar or golden globe awards 09 07 2013 ive just seen that under crazy credits is mentioned that 5 revenues film will go institutions caring disabled persons i just dont see whats crazy about that i find this kind remark particularly shocking insulting both producers actors especially this case where story told is true one i suggest administrator delete that remark or change its qualification,0.5004728084415584,0.007424580627705615,Positive,"{'Happy': 0.15, 'Angry': 0.0, 'Surprise': 0.19, 'Sad': 0.24, 'Fear': 0.41}"
10.0,Just excellent,"I am now trying to find words to describe this movie for an hour. I couldn't.You've seen it, or you haven't. It's monumental and outrageously good.The cast is brilliant. The jokes lovely. The story and the idea behind the movie is beautiful. Especially when you've worked/lived with handicapped people. The music is such a perfect choice, it is unbelievable.I hope this movie makes a plenty of people think about how good their life is and how bad it could have been.Bottom line: Oscar-worthy. Period.",just excellent,i am now trying find words describe this movie hour i couldnt youve seen it or you havent its monumental outrageously good cast is brilliant jokes lovely story idea behind movie is beautiful especially when youve worked lived with handicapped people music is such perfect choice it is unbelievable i hope this movie makes plenty people think about how good their life is how bad it could have been bottom line oscar worthy period,0.832051282051282,0.3564102564102564,Positive,"{'Happy': 0.37, 'Angry': 0.11, 'Surprise': 0.11, 'Sad': 0.21, 'Fear': 0.21}"
9.0,A Film of True Humanity : Comedy in the Face of Hardship,"It has been 9 weeks now since Intoucblaes has come to the movie theaters. I did not give it much thought at first, but the universal acclaim I have heard convinced me to go see it. I don't over-stating the universality of the acclaim, people of various races, classes, colors & countries told me it was a must see. I had no expectations, and I was floored. Intouchables, directed by Eric Toledano and Olivier Nakache, starring Francois Cluzet and Omar Sy is possibly the best French movie of the year. This is not because of a lack of worthy contenders, but truly because Intouchables is that profound. It touches on themes of presumptions, social class difference, health, and as naïve as it may sound, the universality of humanity. The story is not as important as is the relationship that is displayed between the two protagonists. Philippe (played by Cluzet) a rich aristocrat that loves adrenaline rushes finds himself a paraplegic after a paragliding incident. Driss (played by Sy) is, in appearance a typical hoodlum from the ghetto. The two are brought together and wonders happen. The audience then sees how the men affect one another as they engage in a truly honest relationship. Driss is charismatic, lighthearted and funny, helping make Philippe's life enjoyable again. In the process the traditionally cold French aristocracy around Philippe warms up and lightens. He is like a hot knife through cold butter. Again, it is not so much the story that is important as is the social commentary. The commentary is not judgmental and is very subtle, revealed only in the contrasts the director chose in the story and its contexts. His method reminded me of a sort of Zen approach to comedy. One example you can catch from the trailer alone is the contrast between the able bodied black Driss and t the crippled white man, etc. The audience is also given wonderful sights of Paris and France as we go through the Pyrenees, Cabourg and the various streets of Paris. On paper the review does not make the movie justice. It is hilarious in a way that is true, honest and by which anyone can relate to. Most importantly it is revealing and comforting in its reminder of the essential in life : love. It's approach is simple, pure and honest and that makes it worthy of the title of ""best movie of the year"". I cannot say more; the film must be experienced. My friends tried, they failed, so I trusted them and I saw it. It floored me. Go and be floored. PS - I heard American studios have purchased the rights for the film. They will need a brilliant director, screenwriters and perfect actors to make the original justice in the way ""The Departed"" did for ""Infernal Affairs"".",film true humanity comedy face hardship,it has been 9 weeks now since intoucblaes has come movie theaters i did not give it much thought at first but universal acclaim i have heard convinced me go see it i dont over stating universality acclaim people various races classes colors countries told me it was must see i had no expectations i was floored intouchables directed by eric toledano olivier nakache starring francois cluzet omar sy is possibly best french movie year this is not because lack worthy contenders but truly because intouchables is that profound it touches themes presumptions social class difference health as na ve as it may sound universality humanity story is not as important as is relationship that is displayed between two protagonists philippe played by cluzet rich aristocrat that loves adrenaline rushes finds himself paraplegic after paragliding incident driss played by sy is appearance typical hoodlum ghetto two are brought together wonders happen audience then sees how men affect one another as they engage truly honest relationship driss is charismatic lighthearted funny helping make philippes life enjoyable again process traditionally cold french aristocracy around philippe warms up lightens he is like hot knife through cold butter again it is not so much story that is important as is social commentary commentary is not judgmental is very subtle revealed only contrasts director chose story its contexts his method reminded me sort zen approach comedy one example you can catch trailer alone is contrast between able bodied black driss t crippled white man etc audience is also given wonderful sights paris france as we go through pyrenees cabourg various streets paris paper review does not make movie justice it is hilarious way that is true honest by which anyone can relate most importantly it is revealing comforting its reminder essential life love its approach is simple pure honest that makes it worthy title best movie year i cannot say more film must be experienced my friends tried they failed so i trusted them i saw it it floored me go be floored ps i heard american studios have purchased rights film they will need brilliant director screenwriters perfect actors make original justice way departed did infernal affairs,0.6074929971988796,0.2698879551820728,Positive,"{'Happy': 0.13, 'Angry': 0.01, 'Surprise': 0.28, 'Sad': 0.24, 'Fear': 0.34}"
9.0,Beautiful and Uplifting Story of Friendship,"In Paris, the aristocratic and intellectual Philippe (François Cluzet) is a quadriplegic millionaire that is interviewing candidates for the position of his caretaker with his red-haired secretary Magalie (Audrey Fleurot). Out of the blue, the rude African Driss (Omar Sy) cuts the line of candidates and brings a document from the Social Security and asks to Phillipe to sign it to prove that he is seeking a job position to receive his unemployment insurance.Philippe challenges Driss and offers a period of adaptation of one week to him to gain experience helping him. Then Driss would decide whether he would like to stay with him or not. Driss accepts the bet and moves to the mansion, changing the boring life of Phillipe and his employees. ""Intouchables"" is a beautiful and uplifting story of friendship based on a true story. My daughter had watched this movie a couple of months ago when she was traveling on vacation and recommended it a lot to me and yesterday I saw it on DVD.The screenplay is excellent and the directors and writers Olivier Nakache and Eric Toledano have a magnificent work. This theme in the hands of a weak director could transform the uplifting story into a corny or melodramatic movie. But they succeeded making a funny and touching comedy.The cast is also fantastic, and the chemistry between François Cluzet and Omar Sy is amazing. Anne Le Ny is also wonderful and Audrey Fleurot is a very beautiful woman and excellent actress in her ambiguous role luring Driss. In the end, I went to bed late but feeling good. My vote is nine.Title (Brazil): ""Intocáveis (""Untouchables"")",beautiful uplifting story friendship,paris aristocratic intellectual philippe fran ois cluzet is quadriplegic millionaire that is interviewing candidates position his caretaker with his red haired secretary magalie audrey fleurot out blue rude african driss omar sy cuts line candidates brings document social security asks phillipe sign it prove that he is seeking job position receive his unemployment insurance philippe challenges driss offers period adaptation one week him gain experience helping him then driss would decide whether he would like stay with him or not driss accepts bet moves mansion changing boring life phillipe his employees intouchables is beautiful uplifting story friendship based true story my daughter had watched this movie couple months ago when she was traveling vacation recommended it lot me yesterday i saw it dvd screenplay is excellent directors writers olivier nakache eric toledano have magnificent work this theme hands weak director could transform uplifting story into corny or melodramatic movie but they succeeded making funny touching comedy cast is also fantastic chemistry between fran ois cluzet omar sy is amazing anne le ny is also wonderful audrey fleurot is very beautiful woman excellent actress her ambiguous role luring driss end i went bed late but feeling good my vote is nine title brazil intoc veis untouchables,0.6496376811594203,0.3460144927536232,Positive,"{'Happy': 0.21, 'Angry': 0.04, 'Surprise': 0.17, 'Sad': 0.21, 'Fear': 0.38}"
10.0,"Wonderful, funny and touching","Well, I've just got out of the theater and i must say that all the reviews are right. this is an amazing film! The actors are simply the best, Omar is not only a great comic but also a great actor.The filming has a certain touch that brings to mind ""What's Eating Gilbert Grape"" in the way the director was able to capture not only the suffering of Phillip but also the joy.Not wanting to spoil the film for others, i highly recommend seeing this in the theaters and with a loved one.It is also a good film for teenagers as it holds a few wonderful life lessons.Enjoy.",wonderful funny touching,well ive just got out theater i must say that all reviews are right this is amazing film actors are simply best omar is not only great comic but also great actor filming has certain touch that brings mind whats eating gilbert grape way director was able capture not only suffering phillip but also joy not wanting spoil film others i highly recommend seeing this theaters with loved one it is also good film teenagers as it holds few wonderful life lessons enjoy,0.6586071428571427,0.4880000000000001,Positive,"{'Happy': 0.27, 'Angry': 0.0, 'Surprise': 0.36, 'Sad': 0.18, 'Fear': 0.18}"
,Probably the best French film for years,"Being french and a film maker myself, I have high standards for ratings, and this one definitely deserves in 10/10. I've not seen a film showing our world with such humour in a long time. The jokes are absurd and possibly, with a touch of British humour to them. The directing is beautiful, the acting is incredible, the shots are somehow truthful, if I can say that about a shot. It may be Omar Sy's first time in a leading role, for a major production, but he really delivered, and not just in the funny parts, the delivery of emotions was just spotless. Francois Cluzet was also just as brilliant, as he usually is. I will be recommending this film to everyone, and seriously hoping it will be released in the UK soon enough for me to see it again! Only negative aspect... the Americans are thinking of doing a remake... why do they always have to? I mean would you reconsider remaking the ""Joconde"" or the Sixtine Chapel to American standards? Film is an art like any other, it travels the world as it is... no need for remakes...",probably best french film years,being french film maker myself i have high standards ratings this one definitely deserves 10 10 ive not seen film showing our world with such humour long time jokes are absurd possibly with touch british humour them directing is beautiful acting is incredible shots are somehow truthful if i can say that about shot it may be omar sys first time leading role major production but he really delivered not just funny parts delivery emotions was just spotless francois cluzet was also just as brilliant as he usually is i will be recommending this film everyone seriously hoping it will be released uk soon enough me see it again only negative aspect americans are thinking doing remake why do they always have i mean would you reconsider remaking joconde or sixtine chapel american standards film is art like any other it travels world as it is no need remakes,0.5019444444444444,0.11858024691358025,Positive,"{'Happy': 0.13, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.26, 'Fear': 0.3}"
8.0,a touching yet funny French comedy,"I have seen this movie tonight at a preview session as the official french national release is set on 2011, November 2nd. Eric Toledano and Olivier Nakashe, accompanied by the lead actor Omar Sy were meeting the audience and cheerfully answering questions.The movie is very well written. Although opening on a flash-forward, it is fairly classic comedy about the meeting of two opposite people who were very unlikely to meet. The first one is a paraplegic white middle aged very rich and lonely man, the other one is a young black, poor, unemployed, coming from poor suburbs and a very large family.What makes the quality of the film, beside the humour present in every scene in which Omar Sy appears (actually most of the film), is the emotion you can feel, through increasingly attaching characters.The story is based upon a true story, and real characters.If you want to watch and enjoyable comedy, with very touching moments, this is a must go.There are interesting insights about arts as well (paintings, classical music, and funk music). What is art? What is its use?",touching yet funny french comedy,i have seen this movie tonight at preview session as official french national release is set 2011 november 2nd eric toledano olivier nakashe accompanied by lead actor omar sy were meeting audience cheerfully answering questions movie is very well written although opening flash forward it is fairly classic comedy about meeting two opposite people who were very unlikely meet first one is paraplegic white middle aged very rich lonely man other one is young black poor unemployed coming poor suburbs very large family what makes quality film beside humour present every scene which omar sy appears actually most film is emotion you can feel through increasingly attaching characters story is based upon true story real characters if you want watch enjoyable comedy with very touching moments this is must go there are interesting insights about arts as well paintings classical music funk music what is art what is its use,0.4063492063492064,0.1130357142857143,Positive,"{'Happy': 0.14, 'Angry': 0.06, 'Surprise': 0.17, 'Sad': 0.31, 'Fear': 0.31}"
10.0,One of the best movies ever seen in 50 yrs,"This is one of the best movies we have ever seen. My wife and I see 3 movies a week on average over The past 40 years. Saying it is one of the best is quite a statement. This French movie with sub titles is simply Spectacular. The storyline involves a man crippled in An accident, his wife has passed away and he cannot Find adequate help which he requires 24/7. Until he meets the Most unlikely of people to care for him. The acting by Omar Sy & Mr. Cluzet Is the very best. The movie has everything you want in a Movie. It has compassion and is spectacularly Funny. Run to see this movie. The two prime Actors must be recognized for a whole host Of awards. Wow!",one best movies ever seen 50 yrs,this is one best movies we have ever seen my wife i see 3 movies week average over past 40 years saying it is one best is quite statement this french movie with sub titles is simply spectacular storyline involves man crippled accident his wife has passed away he cannot find adequate help which he requires 24 7 until he meets most unlikely people care him acting by omar sy mr cluzet is very best movie has everything you want movie it has compassion is spectacularly funny run see this movie two prime actors must be recognized whole host awards wow,0.4382222222222223,0.33888888888888885,Positive,"{'Happy': 0.0, 'Angry': 0.05, 'Surprise': 0.5, 'Sad': 0.1, 'Fear': 0.35}"
