Rating,Review Title,Review,Cleaned Review Title,Cleaned Review,Subjectivity,Polarity,Sentiment,Emotion Scale
10,Beautiful in every detail,"I say it in all honesty,,, This movie is amazingly wonderful...I will watch the movie several times until my mind comprehends this beauty in all its details...The script is smart, the writing is perfect, the acting was really outstanding. Directing, filming, and everything was done as if it were a painting... I am amazed at those who evaluate this movie in a negative way!!! I ask the workers on this site to check the reviews because some of them, and most of them, have not actually seen the movie.",beautiful every detail,i say it all honesty this movie is amazingly wonderful i will watch movie several times until my mind comprehends this beauty all its details script is smart writing is perfect acting was really outstanding directing filming everything was done as if it were painting i am amazed at those who evaluate this movie negative way i ask workers this site check reviews because some them most them have not actually seen movie,0.5517857142857142,0.37642857142857145,Positive,"{'Happy': 0.19, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.19, 'Fear': 0.19}"
10,To know the truth,"When I watched this movie, I merged with it because it carries a message and opens the mind, not like other boring and repetitive movies! It is a movie I have never seen before and I encourage everyone to watch the movie to know how to be patient with misfortunes.",know truth,when i watched this movie i merged with it because it carries message opens mind not like other boring repetitive movies it is movie i have never seen before i encourage everyone watch movie know how be patient with misfortunes,0.5416666666666666,-0.4583333333333333,Negative,"{'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.43, 'Sad': 0.29, 'Fear': 0.14}"
10,Excellent and real,"It is a very well made and excellent film In fact, this film shows the oppression of Fatemeh Zahra and Hazrat Ali, which happened in history.I suggest everyone to watch this movie and the real event.",excellent real,it is very well made excellent film fact this film shows oppression fatemeh zahra hazrat ali which happened history i suggest everyone watch this movie real event,0.6875,0.625,Positive,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.43, 'Fear': 0.14}"
10,The lady of Heaven,I flew from paris to new york to see this film and I am not disappointed. I learned a lot of things in 2:20 and I invite people to see it. We do not get bored during the whole film an incredible story.,lady heaven,i flew paris new york see this film i am not disappointed i learned lot things 2 20 i invite people see it we do not get bored during whole film incredible story,0.7009090909090909,0.22227272727272726,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.44, 'Fear': 0.22}"
10,Don't miss to watch this film,"I can't stop my crying for the lady of heaven Fatima Why did they bother their only daughter of his prophet so much ?? 😭😭😭 What had she done ??Prophet Muhammad (p.b.u.h) said: Fatima is a part of my body. Whoever bothers her, has bothered me.Sahih Bukhari Hadith No: 3767 and 3714.",dont miss watch this film,i cant stop my crying lady heaven fatima why did they bother their only daughter his prophet so much what had she done prophet muhammad p b u h said fatima is part my body whoever bothers her has bothered me sahih bukhari hadith no 3767 3714,0.6,0.0,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.8, 'Sad': 0.2, 'Fear': 0.0}"
10,Wow!! Omg!!! Great Job! Definitely have to watch it again,"OMG!! OMG!I dont know what to say other than being surprised and shocked of how good the movie is. I need to watch the movie few more times, I dont think it is a movie that to be watch only once. Best part of the movie is the battle in the first hour, never seen a battle scene like that, I got so excited and almost started screening and yelling with the worriers. There is many amazing scenes in the movie but again I definitely have to watch it again and I miss the movie, like..... its that type of movie that when you are out of it you feel like buy another ticket, go back and again.Enjoyed watching it and cried few times but feel bad that I didn't watch it again when I was in USA.Waiting for the movie to get to Canada theatres.",wow omg great job definitely have watch it again,omg omg i dont know what say other than being surprised shocked how good movie is i need watch movie few more times i dont think it is movie that be watch only once best part movie is battle first hour never seen battle scene like that i got so excited almost started screening yelling with worriers there is many amazing scenes movie but again i definitely have watch it again i miss movie like its that type movie that when you are out it you feel like buy another ticket go back again enjoyed watching it cried few times but feel bad that i didnt watch it again when i was usa waiting movie get canada theatres,0.56375,0.17500000000000002,Positive,"{'Happy': 0.1, 'Angry': 0.0, 'Surprise': 0.66, 'Sad': 0.1, 'Fear': 0.14}"
10,"Finally! Don't believe in the ""1 star"" paid reviews here.","I have been waiting for this movie for over a year now and my wait for extremely worth it. Loved it totally.Don't believe in the ""1 star"" paid reviews here. Every historical fact was taken from an authentic source material of Islamic history.Do watch it!!!",finally dont believe 1 star paid reviews here,i have been waiting this movie over year now my wait extremely worth it loved it totally dont believe 1 star paid reviews here every historical fact was taken authentic source material islamic history do watch it,0.5666666666666668,0.25,Positive,"{'Happy': 0.12, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.38}"
10,"Nice movie, advise to see it.","Nice. Amazing movie, shows the value of human and peace to live good life in the presence of terrorism and bad people in life ,also shows there's good people in every time even before 1000 years. So we need such these good people nowadays.",nice movie advise see it,nice amazing movie shows value human peace live good life presence terrorism bad people life also shows theres good people every time even before 1000 years so we need such these good people nowadays,0.6466666666666667,0.3336363636363637,Positive,"{'Happy': 0.45, 'Angry': 0.0, 'Surprise': 0.09, 'Sad': 0.09, 'Fear': 0.36}"
10,Lady Fatima's fight for peace against unimaginable odds,"A great movie that links the present with the past and its events are based on things that have already happened. I found some people here saying that the movie is bad and they didn't watch it at all. Haha, I'm sure they are followers of Abu Bakr and Omar, the terrorist criminals. Those who say that the movie is bad, they want to hide the story of Lady Fatima so that people do not know the crimes of Abu Bakr and Omar. I'm sure everyone who watched it would want to watch it again and would recommend it.",lady fatimas fight peace against unimaginable odds,great movie that links present with past its events are based things that have already happened i found some people here saying that movie is bad they didnt watch it at all haha im sure they are followers abu bakr omar terrorist criminals those who say that movie is bad they want hide story lady fatima so that people do not know crimes abu bakr omar im sure everyone who watched it would want watch it again would recommend it,0.5513888888888888,0.04375000000000005,Positive,"{'Happy': 0.09, 'Angry': 0.05, 'Surprise': 0.27, 'Sad': 0.36, 'Fear': 0.23}"
10,i love it,The UNTOLD story of lady Fatima not everyone know it so you need to watch this movie to know her and discover the real Islam and the sorrows of Lady Fatima.,i love it,untold story lady fatima not everyone know it so you need watch this movie know her discover real islam sorrows lady fatima,0.45,0.35,Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.4, 'Sad': 0.4, 'Fear': 0.0}"
